time,Brooklyn,pts.away,score,pts.home,Utah
8:02.0,D. Russell misses 2-pt shot from 22 ft,,4-9,,
8:00.0,,,4-9,,Defensive rebound by D. Favors
7:43.0,Personal foul by D. Carroll (drawn by R. Rubio),,4-9,,
7:39.0,,,4-12,3,J. Ingles makes 3-pt shot from 24 ft (assist by D. Mitchell)
7:37.0,Brooklyn full timeout,,4-12,,
7:19.0,R. Hollis-Jefferson misses 2-pt shot from 11 ft,,4-12,,
7:16.0,,,4-12,,Defensive rebound by R. Rubio
7:06.0,,,4-12,,Turnover by D. Mitchell (bad pass; steal by T. Mozgov)
6:51.0,D. Russell makes 2-pt shot from 4 ft,2,6-12,,
6:36.0,,,6-12,,Turnover by D. Mitchell (bad pass; steal by R. Hollis-Jefferson)
6:31.0,Turnover by R. Hollis-Jefferson (bad pass; steal by T. Sefolosha),,6-12,,
6:30.0,,,6-12,,Turnover by T. Sefolosha (bad pass)
6:30.0,T. Booker enters the game for R. Hollis-Jefferson,,6-12,,
6:17.0,Turnover by T. Mozgov (lost ball; steal by R. Rubio),,6-12,,
6:13.0,,,6-12,,Shooting foul by A. Crabbe (drawn by D. Mitchell)
6:13.0,,,6-13,1,D. Mitchell makes free throw 1 of 2
6:13.0,,,6-13,,J. Jerebko enters the game for J. Ingles
6:13.0,,,6-13,,R. Neto enters the game for R. Rubio
6:13.0,Q. Acy enters the game for T. Mozgov,,6-13,,
6:13.0,,,6-14,1,D. Mitchell makes free throw 2 of 2
6:13.0,,,6-14,,J. Ingles enters the game for T. Sefolosha
6:05.0,D. Russell makes 3-pt shot from 25 ft (assist by T. Booker),3,9-14,,
5:50.0,,,9-16,2,J. Ingles makes 2-pt shot from 10 ft
5:32.0,T. Booker makes 2-pt shot from 6 ft,2,11-16,,
5:17.0,,,11-16,,D. Mitchell misses 3-pt shot from 25 ft
5:13.0,Defensive rebound by T. Booker,,11-16,,
5:07.0,D. Russell makes 2-pt shot from 1 ft,2,13-16,,
4:51.0,,,13-16,,Turnover by R. Neto (out of bounds lost ball)
4:51.0,C. LeVert enters the game for A. Crabbe,,13-16,,
4:37.0,Shooting foul by J. Jerebko (drawn by D. Carroll),,13-16,,
4:37.0,D. Carroll makes free throw 1 of 2,1,14-16,,
4:37.0,,,14-16,,R. Hood enters the game for D. Mitchell
4:37.0,D. Carroll makes free throw 2 of 2,1,15-16,,
4:16.0,,,15-18,2,D. Favors makes 2-pt shot from 2 ft (assist by J. Ingles)
4:14.0,,,15-18,,Personal foul by R. Neto (drawn by D. Russell)
4:14.0,D. Russell makes free throw 1 of 2,1,16-18,,
4:14.0,J. Harris enters the game for D. Carroll,,16-18,,
4:14.0,D. Russell makes free throw 2 of 2,1,17-18,,
3:59.0,,,17-18,,J. Ingles misses 3-pt shot from 26 ft
3:54.0,Defensive rebound by C. LeVert,,17-18,,
3:51.0,Q. Acy misses 3-pt shot from 27 ft,,17-18,,
3:50.0,,,17-18,,Defensive rebound by Team
3:46.0,,,17-18,,Utah full timeout
3:46.0,,,17-18,,A. Burks enters the game for J. Ingles
3:46.0,,,17-18,,E. Udoh enters the game for D. Favors
3:40.0,,,17-18,,Turnover by E. Udoh (bad pass)
3:25.0,T. Booker makes 2-pt shot from 2 ft,2,19-18,,
3:17.0,,,19-18,,R. Rubio enters the game for R. Neto
3:17.0,I. Whitehead enters the game for D. Russell,,19-18,,
3:14.0,Personal foul by C. LeVert (drawn by R. Hood),,19-18,,
3:01.0,,,19-20,2,A. Burks makes 2-pt shot from 15 ft
2:42.0,T. Booker misses 2-pt shot from 2 ft (block by E. Udoh),,19-20,,
2:39.0,Offensive rebound by T. Booker,,19-20,,
2:35.0,T. Booker makes 2-pt shot from 7 ft,2,21-20,,
2:17.0,,,21-20,,Turnover by E. Udoh (lost ball; steal by C. LeVert)
2:14.0,,,21-20,,Personal foul by E. Udoh (drawn by T. Booker)
2:14.0,T. Booker makes free throw 1 of 2,1,22-20,,
2:14.0,T. Booker makes free throw 2 of 2,1,23-20,,
2:05.0,,,23-20,,R. Hood misses 3-pt shot from 24 ft
2:05.0,Defensive rebound by Team,,23-20,,
2:05.0,,,23-20,,Loose ball foul by E. Udoh (drawn by Q. Acy)
2:05.0,Q. Acy makes free throw 1 of 2,1,24-20,,
2:05.0,Q. Acy makes free throw 2 of 2,1,25-20,,
1:46.0,,,25-20,,E. Udoh misses 2-pt shot from 15 ft (block by T. Booker)
1:43.0,Defensive rebound by Q. Acy,,25-20,,
1:33.0,T. Booker misses 2-pt shot from 15 ft,,25-20,,
1:31.0,,,25-20,,Defensive rebound by R. Rubio
1:23.0,,,25-20,,J. Jerebko misses 3-pt shot from 24 ft
1:19.0,Defensive rebound by T. Booker,,25-20,,
1:01.0,Turnover by I. Whitehead (lost ball; steal by J. Jerebko),,25-20,,
0:56.0,,,25-22,2,R. Rubio makes 2-pt shot from 18 ft
0:44.0,I. Whitehead misses 3-pt shot from 25 ft,,25-22,,
0:42.0,,,25-22,,Defensive rebound by R. Rubio
0:22.0,,,25-22,,A. Burks misses 3-pt shot from 25 ft
0:19.0,,,25-22,,Offensive rebound by E. Udoh
0:02.0,Personal foul by J. Harris (drawn by R. Rubio),,25-22,,
0:00.0,,,25-25,3,R. Hood makes 3-pt shot from 25 ft (assist by R. Rubio)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,C. LeVert misses 2-pt shot from 11 ft,,25-25,,
11:38.0,,,25-25,,Defensive rebound by R. Rubio
11:20.0,,,25-28,3,R. Hood makes 3-pt shot from 23 ft (assist by R. Rubio)
11:04.0,,,25-28,,Shooting block foul by E. Udoh (drawn by I. Whitehead)
11:04.0,I. Whitehead makes free throw 1 of 2,1,26-28,,
11:04.0,,,26-28,,D. Favors enters the game for E. Udoh
11:04.0,I. Whitehead makes free throw 2 of 2,1,27-28,,
10:42.0,,,27-30,2,D. Favors makes 2-pt shot from 4 ft
10:35.0,T. Mozgov makes 2-pt shot from 5 ft (assist by I. Whitehead),2,29-30,,
10:21.0,,,29-32,2,D. Favors makes 2-pt shot from 2 ft (assist by R. Rubio)
10:21.0,,,29-32,,Shooting foul by R. Hollis-Jefferson (drawn by D. Favors)
10:21.0,,,29-33,1,D. Favors makes free throw 1 of 1
10:05.0,Turnover by I. Whitehead (bad pass; steal by T. Sefolosha),,29-33,,
9:58.0,,,29-35,2,R. Hood makes 2-pt shot from 18 ft
9:43.0,Turnover by C. LeVert (bad pass; steal by T. Sefolosha),,29-35,,
9:37.0,,,29-35,,Shooting foul by I. Whitehead (drawn by T. Sefolosha)
9:37.0,,,29-36,1,T. Sefolosha makes free throw 1 of 2
9:37.0,,,29-36,,D. Mitchell enters the game for R. Rubio
9:37.0,,,29-36,,R. O'Neale enters the game for A. Burks
9:37.0,,,29-37,1,T. Sefolosha makes free throw 2 of 2
9:30.0,Shooting foul by D. Mitchell (drawn by I. Whitehead),,29-37,,
9:30.0,I. Whitehead misses free throw 1 of 2,,29-37,,
9:30.0,Offensive rebound by Team,,29-37,,
9:30.0,I. Whitehead misses free throw 2 of 2,,29-37,,
9:27.0,,,29-37,,Defensive rebound by R. O'Neale
9:17.0,,,29-37,,D. Mitchell misses 2-pt shot from 3 ft
9:11.0,,,29-37,,Offensive rebound by D. Mitchell
9:11.0,,,29-39,2,D. Mitchell makes 2-pt shot at rim
9:05.0,A. Crabbe enters the game for J. Harris,,29-39,,
9:05.0,Q. Acy enters the game for T. Mozgov,,29-39,,
8:51.0,C. LeVert misses 2-pt shot from 15 ft,,29-39,,
8:51.0,,,29-39,,Defensive rebound by Team
8:37.0,,,29-42,3,R. Hood makes 3-pt shot from 25 ft
8:35.0,Brooklyn full timeout,,29-42,,
8:35.0,D. Russell enters the game for I. Whitehead,,29-42,,
8:23.0,Q. Acy misses 3-pt shot from 24 ft,,29-42,,
8:18.0,Offensive rebound by R. Hollis-Jefferson,,29-42,,
8:17.0,R. Hollis-Jefferson misses 2-pt shot from 5 ft (block by D. Favors),,29-42,,
8:14.0,,,29-42,,Defensive rebound by T. Sefolosha
7:58.0,,,29-45,3,R. Hood makes 3-pt shot from 25 ft (assist by D. Mitchell)
7:37.0,Q. Acy makes 3-pt shot from 25 ft (assist by C. LeVert),3,32-45,,
7:14.0,Personal foul by Q. Acy (drawn by D. Favors),,32-45,,
7:14.0,,,32-45,,J. Ingles enters the game for R. Hood
7:14.0,,,32-45,,R. Rubio enters the game for R. O'Neale
7:14.0,D. Carroll enters the game for Q. Acy,,32-45,,
7:14.0,T. Booker enters the game for C. LeVert,,32-45,,
7:07.0,,,32-47,2,D. Mitchell makes 2-pt shot from 1 ft
6:58.0,A. Crabbe misses 3-pt shot from 24 ft,,32-47,,
6:57.0,,,32-47,,Defensive rebound by D. Favors
6:44.0,,,32-47,,D. Favors misses 2-pt shot from 20 ft
6:41.0,Defensive rebound by D. Russell,,32-47,,
6:32.0,D. Russell makes 2-pt shot from 2 ft,2,34-47,,
6:11.0,,,34-47,,D. Favors misses 2-pt shot from 2 ft
6:09.0,Defensive rebound by A. Crabbe,,34-47,,
6:01.0,Turnover by T. Booker (traveling),,34-47,,
6:01.0,,,34-47,,E. Udoh enters the game for D. Favors
5:45.0,,,34-49,2,D. Mitchell makes 2-pt shot from 2 ft
5:34.0,D. Carroll misses 3-pt shot from 25 ft,,34-49,,
5:32.0,Offensive rebound by R. Hollis-Jefferson,,34-49,,
5:23.0,D. Carroll makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson),3,37-49,,
4:59.0,,,37-49,,R. Rubio misses 3-pt shot from 24 ft
4:57.0,Defensive rebound by D. Russell,,37-49,,
4:54.0,,,37-49,,Personal foul by J. Ingles (drawn by T. Booker)
4:51.0,Shooting foul by T. Sefolosha (drawn by D. Russell),,37-49,,
4:51.0,D. Russell misses free throw 1 of 2,,37-49,,
4:51.0,Offensive rebound by Team,,37-49,,
4:51.0,D. Russell makes free throw 2 of 2,1,38-49,,
4:41.0,,,38-51,2,D. Mitchell makes 2-pt shot from 14 ft
4:28.0,Turnover by A. Crabbe (bad pass; steal by T. Sefolosha),,38-51,,
4:25.0,,,38-54,3,T. Sefolosha makes 3-pt shot from 23 ft
4:24.0,Brooklyn full timeout,,38-54,,
4:24.0,,,38-54,,D. Favors enters the game for E. Udoh
4:24.0,Q. Acy enters the game for R. Hollis-Jefferson,,38-54,,
4:10.0,A. Crabbe misses 2-pt shot from 10 ft,,38-54,,
4:08.0,,,38-54,,Defensive rebound by J. Ingles
3:54.0,,,38-54,,T. Sefolosha misses 2-pt shot from 5 ft (block by A. Crabbe)
3:51.0,Defensive rebound by D. Russell,,38-54,,
3:48.0,A. Crabbe misses 3-pt shot from 24 ft,,38-54,,
3:44.0,,,38-54,,Defensive rebound by D. Mitchell
3:29.0,,,38-54,,Turnover by J. Ingles (lost ball; steal by Q. Acy)
3:24.0,Shooting foul by R. Rubio (drawn by D. Russell),,38-54,,
3:24.0,D. Russell makes free throw 1 of 2,1,39-54,,
3:24.0,,,39-54,,R. Hood enters the game for T. Sefolosha
3:24.0,D. Russell misses free throw 2 of 2,,39-54,,
3:22.0,,,39-54,,Defensive rebound by J. Ingles
3:10.0,,,39-57,3,J. Ingles makes 3-pt shot from 23 ft (assist by R. Hood)
2:42.0,D. Carroll misses 3-pt shot from 23 ft,,39-57,,
2:42.0,,,39-57,,Defensive rebound by Team
2:42.0,Loose ball foul by T. Booker,,39-57,,
2:42.0,Technical foul by T. Booker,,39-57,,
2:42.0,,,39-57,,R. Rubio misses technical free throw
2:42.0,,,39-57,,Offensive rebound by Team
2:42.0,R. Hollis-Jefferson enters the game for T. Booker,,39-57,,
2:31.0,,,39-57,,D. Mitchell misses 2-pt shot from 19 ft
2:26.0,Defensive rebound by A. Crabbe,,39-57,,
2:14.0,Shooting foul by R. Hood (drawn by R. Hollis-Jefferson),,39-57,,
2:14.0,R. Hollis-Jefferson makes free throw 1 of 2,1,40-57,,
2:14.0,R. Hollis-Jefferson makes free throw 2 of 2,1,41-57,,
2:01.0,,,41-57,,R. Hood misses 2-pt shot from 9 ft
1:57.0,,,41-57,,Offensive rebound by D. Favors
1:56.0,,,41-59,2,D. Favors makes 2-pt shot from 2 ft
1:48.0,D. Russell makes 2-pt shot from 5 ft,2,43-59,,
1:30.0,,,43-59,,Shooting foul by A. Crabbe (drawn by D. Favors)
1:30.0,,,43-60,1,D. Favors makes free throw 1 of 2
1:30.0,,,43-61,1,D. Favors makes free throw 2 of 2
1:18.0,Shooting foul by J. Ingles (drawn by R. Hollis-Jefferson),,43-61,,
1:18.0,R. Hollis-Jefferson makes free throw 1 of 2,1,44-61,,
1:18.0,R. Hollis-Jefferson makes free throw 2 of 2,1,45-61,,
0:59.0,,,45-61,,R. Hood misses 2-pt shot from 5 ft
0:57.0,,,45-61,,Offensive rebound by D. Favors
0:56.0,,,45-61,,J. Ingles misses 3-pt shot from 25 ft
0:56.0,Defensive rebound by Q. Acy,,45-61,,
0:46.0,D. Russell misses 2-pt shot from 13 ft,,45-61,,
0:43.0,,,45-61,,Defensive rebound by R. Hood
0:38.0,,,45-61,,Offensive foul by D. Mitchell (drawn by Q. Acy)
0:38.0,,,45-61,,Turnover by D. Mitchell (offensive foul)
0:38.0,,,45-61,,T. Sefolosha enters the game for D. Mitchell
0:27.0,D. Russell misses 3-pt shot from 25 ft,,45-61,,
0:24.0,,,45-61,,Defensive rebound by J. Ingles
0:02.0,,,45-61,,R. Hood misses 2-pt shot from 15 ft
0:02.0,Defensive rebound by D. Carroll,,45-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,Turnover by D. Russell (lost ball; steal by R. Rubio),,45-61,,
11:37.0,,,45-61,,Turnover by R. Rubio (bad pass)
11:32.0,Offensive foul by D. Carroll (drawn by D. Mitchell),,45-61,,
11:32.0,Turnover by D. Carroll (offensive foul),,45-61,,
11:19.0,,,45-61,,Turnover by J. Ingles (traveling)
11:08.0,Shooting foul by T. Sefolosha (drawn by R. Hollis-Jefferson),,45-61,,
11:08.0,R. Hollis-Jefferson misses free throw 1 of 2,,45-61,,
11:08.0,Offensive rebound by Team,,45-61,,
11:08.0,R. Hollis-Jefferson makes free throw 2 of 2,1,46-61,,
10:50.0,,,46-63,2,R. Rubio makes 2-pt shot from 12 ft
10:40.0,Shooting foul by D. Mitchell (drawn by T. Mozgov),,46-63,,
10:40.0,T. Mozgov makes free throw 1 of 2,1,47-63,,
10:40.0,,,47-63,,R. Hood enters the game for D. Mitchell
10:40.0,T. Mozgov misses free throw 2 of 2,,47-63,,
10:38.0,Offensive rebound by Team,,47-63,,
10:29.0,Turnover by T. Mozgov (lost ball; steal by D. Favors),,47-63,,
10:14.0,,,47-63,,D. Favors misses 2-pt shot from 14 ft
10:11.0,Defensive rebound by D. Russell,,47-63,,
10:05.0,Turnover by D. Carroll (bad pass),,47-63,,
9:56.0,,,47-65,2,J. Ingles makes 2-pt shot from 2 ft (assist by T. Sefolosha)
9:49.0,,,47-65,,Personal foul by R. Rubio (drawn by D. Russell)
9:49.0,Q. Acy enters the game for T. Mozgov,,47-65,,
9:40.0,D. Russell makes 2-pt shot from 1 ft,2,49-65,,
9:23.0,,,49-67,2,T. Sefolosha makes 2-pt shot from 10 ft (assist by J. Ingles)
9:05.0,D. Carroll misses 3-pt shot from 24 ft,,49-67,,
9:00.0,,,49-67,,Defensive rebound by R. Rubio
8:54.0,,,49-67,,T. Sefolosha misses 3-pt shot from 23 ft
8:48.0,Defensive rebound by A. Crabbe,,49-67,,
8:46.0,D. Russell misses 2-pt shot from 2 ft,,49-67,,
8:43.0,,,49-67,,Defensive rebound by D. Favors
8:37.0,Personal foul by A. Crabbe (drawn by D. Favors),,49-67,,
8:21.0,,,49-67,,T. Sefolosha misses 2-pt shot from 1 ft
8:19.0,,,49-67,,Offensive rebound by D. Favors
8:17.0,,,49-67,,R. Hood misses 3-pt shot from 25 ft
8:14.0,Defensive rebound by D. Carroll,,49-67,,
8:06.0,D. Carroll makes 3-pt shot from 24 ft (assist by Q. Acy),3,52-67,,
8:04.0,,,52-67,,Utah full timeout
7:43.0,,,52-67,,R. Hood misses 2-pt shot from 22 ft
7:40.0,,,52-67,,Offensive rebound by J. Ingles
7:33.0,,,52-67,,Shooting foul by Q. Acy (drawn by D. Favors)
7:33.0,,,52-68,1,D. Favors makes free throw 1 of 2
7:33.0,,,52-68,,D. Favors misses free throw 2 of 2
7:30.0,Defensive rebound by R. Hollis-Jefferson,,52-68,,
7:14.0,D. Russell makes 2-pt shot from 17 ft,2,54-68,,
7:02.0,,,54-68,,Shooting foul by D. Carroll (drawn by J. Ingles)
7:02.0,,,54-69,1,J. Ingles makes free throw 1 of 2
7:02.0,,,54-70,1,J. Ingles makes free throw 2 of 2
6:47.0,A. Crabbe makes 2-pt shot from 21 ft,2,56-70,,
6:26.0,,,56-70,,D. Favors misses 2-pt shot from 2 ft (block by R. Hollis-Jefferson)
6:22.0,Defensive rebound by D. Russell,,56-70,,
6:21.0,Q. Acy makes 2-pt shot from 1 ft (assist by D. Russell),2,58-70,,
6:05.0,Personal foul by D. Russell (drawn by D. Favors),,58-70,,
6:05.0,,,58-70,,E. Udoh enters the game for R. Rubio
6:05.0,,,58-70,,R. Neto enters the game for D. Favors
6:05.0,C. LeVert enters the game for D. Carroll,,58-70,,
6:05.0,J. Harris enters the game for A. Crabbe,,58-70,,
5:56.0,,,58-70,,E. Udoh misses 2-pt shot from 1 ft
5:55.0,Defensive rebound by Q. Acy,,58-70,,
5:52.0,,,58-70,,Personal foul by T. Sefolosha (drawn by R. Hollis-Jefferson)
5:43.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by Q. Acy),2,60-70,,
5:27.0,,,60-70,,Turnover by J. Ingles (bad pass)
5:15.0,Q. Acy misses 2-pt shot from 10 ft,,60-70,,
5:15.0,,,60-70,,Defensive rebound by Team
5:15.0,,,60-70,,J. Jerebko enters the game for T. Sefolosha
5:05.0,,,60-72,2,R. Hood makes 2-pt shot from 2 ft (assist by E. Udoh)
4:51.0,D. Russell makes 2-pt shot from 10 ft,2,62-72,,
4:33.0,,,62-72,,R. Hood misses 2-pt shot from 19 ft
4:32.0,Defensive rebound by Team,,62-72,,
4:32.0,T. Booker enters the game for R. Hollis-Jefferson,,62-72,,
4:22.0,D. Russell makes 2-pt shot from 15 ft,2,64-72,,
3:59.0,,,64-75,3,R. Neto makes 3-pt shot from 24 ft (assist by J. Ingles)
3:38.0,Q. Acy misses 3-pt shot from 25 ft,,64-75,,
3:35.0,,,64-75,,Defensive rebound by E. Udoh
3:18.0,,,64-78,3,J. Ingles makes 3-pt shot from 24 ft
3:16.0,Brooklyn full timeout,,64-78,,
3:16.0,,,64-78,,A. Burks enters the game for R. Neto
3:16.0,D. Carroll enters the game for Q. Acy,,64-78,,
2:57.0,,,64-78,,Personal foul by J. Jerebko (drawn by D. Carroll)
2:57.0,D. Carroll makes free throw 1 of 2,1,65-78,,
2:57.0,,,65-78,,R. Rubio enters the game for J. Ingles
2:57.0,I. Whitehead enters the game for D. Russell,,65-78,,
2:57.0,D. Carroll misses free throw 2 of 2,,65-78,,
2:53.0,,,65-78,,Defensive rebound by E. Udoh
2:42.0,,,65-78,,A. Burks misses 3-pt shot from 25 ft
2:37.0,Defensive rebound by I. Whitehead,,65-78,,
2:32.0,I. Whitehead misses 2-pt shot from 2 ft,,65-78,,
2:30.0,,,65-78,,Defensive rebound by R. Hood
2:27.0,,,65-78,,Turnover by R. Hood (lost ball; steal by D. Carroll)
2:23.0,Shooting foul by E. Udoh (drawn by C. LeVert),,65-78,,
2:23.0,C. LeVert makes free throw 1 of 2,1,66-78,,
2:23.0,C. LeVert makes free throw 2 of 2,1,67-78,,
2:13.0,,,67-81,3,R. Hood makes 3-pt shot from 25 ft (assist by R. Rubio)
1:54.0,D. Carroll misses 2-pt shot from 7 ft,,67-81,,
1:52.0,,,67-81,,Defensive rebound by R. Rubio
1:42.0,,,67-83,2,A. Burks makes 2-pt shot from 2 ft (assist by R. Rubio)
1:27.0,I. Whitehead makes 2-pt shot from 1 ft,2,69-83,,
1:09.0,,,69-83,,R. Rubio misses 2-pt shot from 14 ft
1:05.0,Defensive rebound by I. Whitehead,,69-83,,
1:00.0,I. Whitehead makes 2-pt shot from 1 ft,2,71-83,,
0:51.0,,,71-83,,Utah full timeout
0:51.0,,,71-83,,D. Mitchell enters the game for R. Hood
0:44.0,,,71-83,,Turnover by A. Burks (bad pass; steal by J. Harris)
0:38.0,J. Harris misses 3-pt shot from 24 ft,,71-83,,
0:35.0,Offensive rebound by T. Booker,,71-83,,
0:31.0,T. Booker misses 2-pt shot from 1 ft,,71-83,,
0:30.0,Offensive rebound by C. LeVert,,71-83,,
0:30.0,C. LeVert makes 2-pt shot from 1 ft,2,73-83,,
0:08.0,,,73-85,2,D. Mitchell makes 2-pt shot from 7 ft
0:01.0,I. Whitehead makes 2-pt shot from 1 ft,2,75-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,75-85,,D. Mitchell misses 3-pt shot from 25 ft
11:44.0,Defensive rebound by Q. Acy,,75-85,,
11:37.0,I. Whitehead misses 2-pt shot from 9 ft,,75-85,,
11:34.0,,,75-85,,Defensive rebound by A. Burks
11:26.0,,,75-85,,A. Burks misses 2-pt shot from 17 ft
11:23.0,Defensive rebound by C. LeVert,,75-85,,
11:12.0,T. Booker makes 2-pt shot from 6 ft (assist by C. LeVert),2,77-85,,
10:57.0,,,77-87,2,R. Rubio makes 2-pt shot from 2 ft (assist by D. Mitchell)
10:39.0,C. LeVert makes 2-pt shot from 1 ft,2,79-87,,
10:24.0,,,79-89,2,D. Mitchell makes 2-pt shot from 13 ft
10:08.0,J. Harris misses 3-pt shot from 24 ft,,79-89,,
10:04.0,Offensive rebound by T. Booker,,79-89,,
10:03.0,T. Booker misses 2-pt shot from 1 ft,,79-89,,
10:00.0,,,79-89,,Defensive rebound by D. Favors
9:54.0,,,79-89,,Shooting foul by J. Harris (drawn by A. Burks)
9:54.0,,,79-90,1,A. Burks makes free throw 1 of 2
9:54.0,,,79-90,,J. Ingles enters the game for R. Rubio
9:54.0,,,79-91,1,A. Burks makes free throw 2 of 2
9:45.0,Shooting foul by A. Burks (drawn by Q. Acy),,79-91,,
9:45.0,Q. Acy makes free throw 1 of 2,1,80-91,,
9:45.0,Q. Acy misses free throw 2 of 2,,80-91,,
9:43.0,,,80-91,,Defensive rebound by D. Favors
9:29.0,,,80-91,,D. Mitchell misses 2-pt shot from 11 ft
9:28.0,Defensive rebound by Team,,80-91,,
9:28.0,,,80-91,,Loose ball foul by D. Favors (drawn by C. LeVert)
9:12.0,T. Booker misses 3-pt shot from 25 ft,,80-91,,
9:10.0,,,80-91,,Defensive rebound by Team
9:10.0,Loose ball foul by Q. Acy (drawn by T. Sefolosha),,80-91,,
9:00.0,,,80-93,2,D. Mitchell makes 2-pt shot from 3 ft
9:00.0,,,80-93,,Shooting foul by C. LeVert (drawn by D. Mitchell)
9:00.0,D. Russell enters the game for I. Whitehead,,80-93,,
9:00.0,A. Crabbe enters the game for C. LeVert,,80-93,,
9:00.0,,,80-94,1,D. Mitchell makes free throw 1 of 1
8:45.0,T. Booker makes 2-pt shot from 5 ft,2,82-94,,
8:31.0,,,82-94,,D. Mitchell misses 3-pt shot from 25 ft
8:29.0,,,82-94,,Offensive rebound by D. Favors
8:28.0,,,82-96,2,D. Favors makes 2-pt shot from 2 ft
8:16.0,D. Russell makes 3-pt shot from 24 ft,3,85-96,,
7:59.0,,,85-96,,D. Mitchell misses 2-pt shot from 2 ft
7:57.0,Defensive rebound by Q. Acy,,85-96,,
7:49.0,Q. Acy misses 3-pt shot from 24 ft,,85-96,,
7:46.0,,,85-96,,Defensive rebound by D. Favors
7:38.0,,,85-96,,Shooting foul by J. Harris (drawn by D. Favors)
7:38.0,,,85-97,1,D. Favors makes free throw 1 of 2
7:38.0,,,85-97,,R. Rubio enters the game for A. Burks
7:38.0,,,85-97,,R. Hood enters the game for D. Mitchell
7:38.0,R. Hollis-Jefferson enters the game for Q. Acy,,85-97,,
7:38.0,D. Carroll enters the game for T. Booker,,85-97,,
7:38.0,,,85-98,1,D. Favors makes free throw 2 of 2
7:26.0,R. Hollis-Jefferson misses 2-pt shot at rim,,85-98,,
7:23.0,,,85-98,,Defensive rebound by T. Sefolosha
7:04.0,,,85-100,2,D. Favors makes 2-pt shot from 2 ft (assist by R. Rubio)
6:44.0,D. Russell misses 2-pt shot from 2 ft,,85-100,,
6:42.0,,,85-100,,Defensive rebound by J. Ingles
6:35.0,,,85-102,2,J. Ingles makes 2-pt shot from 5 ft
6:35.0,Brooklyn full timeout,,85-102,,
6:25.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by J. Harris),2,87-102,,
6:25.0,Shooting foul by D. Favors (drawn by R. Hollis-Jefferson),,87-102,,
6:25.0,R. Hollis-Jefferson makes free throw 1 of 1,1,88-102,,
6:09.0,,,88-102,,Turnover by R. Hood (lost ball; steal by J. Harris)
6:04.0,Turnover by R. Hollis-Jefferson (out of bounds lost ball),,88-102,,
5:49.0,,,88-102,,R. Hood misses 3-pt shot from 25 ft
