time,Indiana,pts.away,score,pts.home,Brooklyn
4:02.0,D. Sabonis misses 2-pt shot at rim,,47-37,,
4:02.0,Offensive rebound by D. Sabonis,,47-37,,
4:02.0,D. Sabonis misses 2-pt shot at rim,,47-37,,
4:02.0,,,47-37,,Defensive rebound by Team
4:02.0,Loose ball foul by D. Sabonis (drawn by T. Zeller),,47-37,,
4:02.0,M. Turner enters the game for D. Sabonis,,47-37,,
3:49.0,,,47-37,,R. Hollis-Jefferson misses 2-pt shot from 3 ft
3:45.0,Defensive rebound by T. Young,,47-37,,
3:38.0,T. Young misses 3-pt shot from 24 ft,,47-37,,
3:35.0,,,47-37,,Defensive rebound by S. Dinwiddie
3:25.0,,,47-40,3,R. Hollis-Jefferson makes 3-pt shot from 22 ft (assist by S. Dinwiddie)
3:03.0,M. Turner makes 2-pt shot from 3 ft (assist by T. Young),2,49-40,,
2:56.0,,,49-42,2,T. Zeller makes 2-pt shot from 2 ft (assist by S. Dinwiddie)
2:46.0,C. Joseph makes 2-pt shot from 16 ft,2,51-42,,
2:25.0,,,51-45,3,A. Crabbe makes 3-pt shot from 26 ft (assist by S. Dinwiddie)
2:16.0,Indiana full timeout,,51-45,,
2:16.0,B. Bogdanovic enters the game for C. Joseph,,51-45,,
2:07.0,V. Oladipo makes 2-pt shot from 1 ft (assist by M. Turner),2,53-45,,
1:47.0,,,53-45,,R. Hollis-Jefferson misses 2-pt shot from 17 ft
1:45.0,Defensive rebound by B. Bogdanovic,,53-45,,
1:44.0,,,53-45,,Personal foul by S. Dinwiddie (drawn by T. Young)
1:39.0,V. Oladipo misses 2-pt shot from 15 ft,,53-45,,
1:36.0,,,53-45,,Defensive rebound by C. LeVert
1:27.0,,,53-45,,R. Hollis-Jefferson misses 3-pt shot from 23 ft
1:25.0,Defensive rebound by B. Bogdanovic,,53-45,,
1:18.0,V. Oladipo makes 3-pt shot from 26 ft (assist by B. Bogdanovic),3,56-45,,
0:57.0,,,56-45,,Turnover by A. Crabbe (lost ball; steal by T. Young)
0:41.0,Turnover by B. Bogdanovic (lost ball; steal by C. LeVert),,56-45,,
0:35.0,,,56-45,,C. LeVert misses 2-pt shot from 5 ft
0:35.0,,,56-45,,Offensive rebound by T. Zeller
0:30.0,,,56-45,,T. Zeller misses 2-pt shot from 2 ft (block by M. Turner)
0:30.0,Defensive rebound by V. Oladipo,,56-45,,
0:28.0,V. Oladipo makes 2-pt shot from 4 ft (assist by D. Collison),2,58-45,,
0:28.0,Shooting foul by S. Dinwiddie (drawn by V. Oladipo),,58-45,,
0:28.0,,,58-45,,Q. Acy enters the game for T. Zeller
0:28.0,V. Oladipo makes free throw 1 of 1,1,59-45,,
0:10.0,,,59-48,3,Q. Acy makes 3-pt shot from 23 ft (assist by S. Dinwiddie)
0:00.0,D. Collison misses 2-pt shot from 7 ft,,59-48,,
0:00.0,,,59-48,,Defensive rebound by S. Dinwiddie
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,Turnover by M. Turner (out of bounds lost ball),,59-48,,
11:27.0,,,59-48,,T. Zeller misses 2-pt shot from 6 ft
11:25.0,Defensive rebound by V. Oladipo,,59-48,,
11:17.0,Offensive charge foul by M. Turner (drawn by T. Zeller),,59-48,,
11:17.0,Turnover by M. Turner (offensive foul),,59-48,,
11:08.0,Personal foul by D. Collison (drawn by S. Dinwiddie),,59-48,,
11:03.0,,,59-50,2,S. Dinwiddie makes 2-pt shot from 15 ft
10:53.0,,,59-50,,Violation by D. Carroll (kicked ball)
10:44.0,M. Turner makes 2-pt shot from 17 ft (assist by D. Collison),2,61-50,,
10:30.0,,,61-50,,D. Carroll misses 3-pt shot from 24 ft
10:26.0,Defensive rebound by D. Collison,,61-50,,
10:21.0,,,61-50,,Personal foul by A. Crabbe (drawn by T. Young)
10:13.0,M. Turner makes 2-pt shot from 17 ft (assist by D. Collison),2,63-50,,
9:57.0,,,63-50,,Shooting foul by T. Young (drawn by R. Hollis-Jefferson)
9:57.0,,,63-51,1,R. Hollis-Jefferson makes free throw 1 of 2
9:57.0,,,63-52,1,R. Hollis-Jefferson makes free throw 2 of 2
9:44.0,V. Oladipo misses 3-pt shot from 24 ft,,63-52,,
9:43.0,,,63-52,,Defensive rebound by Team
9:28.0,,,63-54,2,R. Hollis-Jefferson makes 2-pt shot from 13 ft (assist by A. Crabbe)
9:14.0,M. Turner misses 2-pt shot from 19 ft,,63-54,,
9:10.0,Offensive rebound by D. Collison,,63-54,,
9:02.0,D. Collison misses 2-pt shot from 20 ft,,63-54,,
8:59.0,,,63-54,,Defensive rebound by R. Hollis-Jefferson
8:52.0,,,63-54,,A. Crabbe misses 3-pt shot from 24 ft
8:50.0,,,63-54,,Offensive rebound by R. Hollis-Jefferson
8:39.0,,,63-54,,R. Hollis-Jefferson misses 2-pt shot from 10 ft (block by M. Turner)
8:36.0,,,63-54,,Offensive rebound by T. Zeller
8:32.0,,,63-54,,Shooting foul by T. Young (drawn by T. Zeller)
8:32.0,,,63-55,1,T. Zeller makes free throw 1 of 2
8:32.0,,,63-55,,C. LeVert enters the game for S. Dinwiddie
8:32.0,,,63-55,,T. Zeller misses free throw 2 of 2
8:29.0,Defensive rebound by B. Bogdanovic,,63-55,,
8:13.0,T. Young makes 2-pt shot from 3 ft (assist by D. Collison),2,65-55,,
7:47.0,,,65-57,2,T. Zeller makes 2-pt shot at rim (assist by R. Hollis-Jefferson)
7:30.0,B. Bogdanovic misses 3-pt shot from 24 ft,,65-57,,
7:29.0,,,65-57,,Defensive rebound by T. Zeller
7:06.0,,,65-57,,Turnover by A. Crabbe (bad pass; steal by M. Turner)
7:06.0,Shooting foul by A. Crabbe (drawn by D. Collison),,65-57,,
7:06.0,D. Collison misses free throw 1 of 2,,65-57,,
7:06.0,Offensive rebound by Team,,65-57,,
7:06.0,,,65-57,,Q. Acy enters the game for T. Zeller
7:06.0,D. Collison makes free throw 2 of 2,1,66-57,,
6:46.0,,,66-59,2,D. Carroll makes 2-pt shot from 1 ft (assist by A. Crabbe)
6:32.0,V. Oladipo makes 3-pt shot from 26 ft,3,69-59,,
6:11.0,,,69-61,2,Q. Acy makes 2-pt shot from 1 ft (assist by D. Carroll)
5:52.0,T. Young misses 3-pt shot from 23 ft,,69-61,,
5:50.0,,,69-61,,Defensive rebound by D. Carroll
5:41.0,,,69-61,,R. Hollis-Jefferson misses 2-pt shot from 13 ft
5:37.0,Defensive rebound by M. Turner,,69-61,,
5:22.0,B. Bogdanovic misses 3-pt shot from 27 ft,,69-61,,
5:19.0,,,69-61,,Defensive rebound by C. LeVert
5:07.0,,,69-63,2,C. LeVert makes 2-pt shot from 7 ft (assist by A. Crabbe)
5:07.0,Indiana full timeout,,69-63,,
5:07.0,,,69-63,,J. Harris enters the game for R. Hollis-Jefferson
5:07.0,,,69-63,,J. Allen enters the game for A. Crabbe
4:48.0,,,69-63,,Personal foul by D. Carroll (drawn by M. Turner)
4:46.0,Offensive foul by M. Turner (drawn by C. LeVert),,69-63,,
4:46.0,Turnover by M. Turner (offensive foul),,69-63,,
4:34.0,Personal foul by D. Collison (drawn by C. LeVert),,69-63,,
4:34.0,C. Joseph enters the game for B. Bogdanovic,,69-63,,
4:20.0,Jump ball: J. Allen vs. V. Oladipo (D. Carroll gains possession),,,,Jump ball: J. Allen vs. V. Oladipo (D. Carroll gains possession)
4:20.0,,,69-63,,Turnover by Team (shot clock)
3:57.0,D. Collison makes 2-pt shot from 20 ft,2,71-63,,
3:48.0,,,71-63,,C. LeVert misses 3-pt shot from 25 ft
3:46.0,Defensive rebound by M. Turner,,71-63,,
3:36.0,,,71-63,,Personal foul by J. Harris (drawn by M. Turner)
3:36.0,D. Sabonis enters the game for T. Young,,71-63,,
3:24.0,D. Collison makes 2-pt shot from 21 ft,2,73-63,,
2:57.0,,,73-63,,Q. Acy misses 2-pt shot from 14 ft
2:53.0,Defensive rebound by C. Joseph,,73-63,,
2:45.0,M. Turner misses 2-pt shot from 20 ft,,73-63,,
2:42.0,,,73-63,,Defensive rebound by J. Allen
2:36.0,,,73-63,,Brooklyn full timeout
2:36.0,,,73-63,,N. Stauskas enters the game for D. Carroll
2:36.0,L. Stephenson enters the game for V. Oladipo,,73-63,,
2:26.0,,,73-63,,Shooting foul by D. Collison (drawn by C. LeVert)
2:26.0,,,73-64,1,C. LeVert makes free throw 1 of 2
2:26.0,,,73-64,,C. LeVert misses free throw 2 of 2
2:23.0,Defensive rebound by L. Stephenson,,73-64,,
2:01.0,Shooting foul by N. Stauskas (drawn by C. Joseph),,73-64,,
2:01.0,C. Joseph makes free throw 1 of 3,1,74-64,,
2:01.0,C. Joseph makes free throw 2 of 3,1,75-64,,
2:01.0,C. Joseph makes free throw 3 of 3,1,76-64,,
1:49.0,,,76-64,,Shooting foul by C. Joseph (drawn by J. Allen)
1:49.0,,,76-65,1,J. Allen makes free throw 1 of 2
1:49.0,,,76-66,1,J. Allen makes free throw 2 of 2
1:32.0,M. Turner makes 2-pt shot from 1 ft (assist by D. Collison),2,78-66,,
1:16.0,,,78-68,2,J. Harris makes 2-pt shot from 9 ft
1:02.0,C. Joseph misses 3-pt shot from 22 ft,,78-68,,
1:00.0,Offensive rebound by D. Sabonis,,78-68,,
0:59.0,,,78-68,,Violation by C. LeVert (kicked ball)
0:54.0,,,78-68,,Violation by C. LeVert (kicked ball)
0:48.0,D. Collison misses 2-pt shot from 12 ft,,78-68,,
0:44.0,,,78-68,,Defensive rebound by J. Harris
0:34.0,,,78-70,2,J. Harris makes 2-pt shot from 12 ft
0:21.0,Turnover by D. Sabonis (turnover),,78-70,,
0:06.0,,,78-72,2,J. Harris makes 2-pt shot from 3 ft (assist by C. LeVert)
0:00.0,D. Collison makes 2-pt shot from 20 ft,2,80-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,80-74,2,J. Allen makes 2-pt shot at rim (assist by N. Stauskas)
11:46.0,,,80-74,,Shooting foul by D. Sabonis (drawn by J. Allen)
11:46.0,,,80-75,1,J. Allen makes free throw 1 of 1
11:31.0,B. Bogdanovic misses 3-pt shot from 22 ft,,80-75,,
11:28.0,,,80-75,,Defensive rebound by J. Allen
11:21.0,,,80-75,,Q. Acy misses 3-pt shot from 24 ft
11:18.0,Defensive rebound by C. Joseph,,80-75,,
11:03.0,D. Sabonis misses 2-pt shot from 4 ft,,80-75,,
11:00.0,Offensive rebound by D. Sabonis,,80-75,,
11:00.0,D. Sabonis makes 2-pt shot at rim,2,82-75,,
10:49.0,,,82-75,,N. Stauskas misses 2-pt shot from 17 ft
10:48.0,,,82-75,,S. Dinwiddie enters the game for C. LeVert
10:48.0,,,82-75,,Offensive rebound by Team
10:46.0,Jump ball: J. Allen vs. D. Sabonis (J. Harris gains possession),,,,Jump ball: J. Allen vs. D. Sabonis (J. Harris gains possession)
10:33.0,,,82-75,,J. Allen misses 2-pt shot from 4 ft
10:30.0,Defensive rebound by V. Oladipo,,82-75,,
10:21.0,D. Sabonis misses 2-pt shot from 3 ft,,82-75,,
10:21.0,,,82-75,,Defensive rebound by S. Dinwiddie
10:14.0,,,82-75,,Offensive charge foul by J. Allen (drawn by V. Oladipo)
10:14.0,,,82-75,,Turnover by J. Allen (offensive foul)
10:14.0,,,82-75,,R. Hollis-Jefferson enters the game for Q. Acy
10:14.0,,,82-75,,T. Zeller enters the game for J. Allen
10:00.0,Turnover by C. Joseph (bad pass; steal by R. Hollis-Jefferson),,82-75,,
9:52.0,,,82-75,,R. Hollis-Jefferson misses 2-pt shot from 6 ft (block by C. Joseph)
9:49.0,Defensive rebound by D. Sabonis,,82-75,,
9:36.0,C. Joseph makes 2-pt shot from 9 ft,2,84-75,,
9:20.0,,,84-75,,S. Dinwiddie misses 3-pt shot from 26 ft
9:17.0,Defensive rebound by V. Oladipo,,84-75,,
9:09.0,D. Sabonis makes 2-pt shot from 2 ft (assist by V. Oladipo),2,86-75,,
8:51.0,,,86-75,,Turnover by J. Harris (bad pass; steal by V. Oladipo)
8:46.0,V. Oladipo makes 2-pt shot from 2 ft (assist by C. Joseph),2,88-75,,
8:46.0,,,88-75,,Brooklyn full timeout
8:46.0,,,88-75,,A. Crabbe enters the game for N. Stauskas
8:25.0,,,88-75,,Shooting foul by V. Oladipo (drawn by S. Dinwiddie)
8:25.0,,,88-76,1,S. Dinwiddie makes free throw 1 of 3
8:25.0,,,88-77,1,S. Dinwiddie makes free throw 2 of 3
8:25.0,,,88-77,,C. LeVert enters the game for J. Harris
8:25.0,,,88-78,1,S. Dinwiddie makes free throw 3 of 3
8:16.0,V. Oladipo makes 2-pt shot from 1 ft (assist by L. Stephenson),2,90-78,,
8:08.0,,,90-78,,C. LeVert misses 3-pt shot from 23 ft
8:05.0,Defensive rebound by V. Oladipo,,90-78,,
7:56.0,L. Stephenson makes 2-pt shot from 12 ft,2,92-78,,
7:39.0,,,92-80,2,C. LeVert makes 2-pt shot from 7 ft (assist by S. Dinwiddie)
7:21.0,L. Stephenson misses 2-pt shot from 3 ft,,92-80,,
7:20.0,Offensive rebound by Team,,92-80,,
7:20.0,,,92-80,,Q. Acy enters the game for T. Zeller
7:08.0,D. Sabonis makes 2-pt shot from 1 ft (assist by V. Oladipo),2,94-80,,
6:50.0,,,94-80,,S. Dinwiddie misses 3-pt shot from 26 ft
6:47.0,Defensive rebound by L. Stephenson,,94-80,,
6:38.0,L. Stephenson misses 2-pt shot from 5 ft (block by R. Hollis-Jefferson),,94-80,,
6:35.0,,,94-80,,Defensive rebound by Team
6:34.0,,,94-80,,Shooting foul by D. Sabonis (drawn by R. Hollis-Jefferson)
6:34.0,,,94-81,1,R. Hollis-Jefferson makes free throw 1 of 2
6:34.0,,,94-82,1,R. Hollis-Jefferson makes free throw 2 of 2
6:10.0,Turnover by D. Sabonis (lost ball; steal by C. LeVert),,94-82,,
6:00.0,,,94-84,2,C. LeVert makes 2-pt shot from 6 ft
6:00.0,,,94-84,,Shooting foul by C. Joseph (drawn by C. LeVert)
6:00.0,,,94-84,,J. Harris enters the game for S. Dinwiddie
6:00.0,,,94-84,,C. LeVert misses free throw 1 of 1
6:00.0,Defensive rebound by L. Stephenson,,94-84,,
6:00.0,Indiana full timeout,,94-84,,
6:00.0,D. Collison enters the game for L. Stephenson,,94-84,,
6:00.0,T. Young enters the game for D. Sabonis,,94-84,,
6:00.0,M. Turner enters the game for B. Bogdanovic,,94-84,,
5:42.0,Offensive charge foul by V. Oladipo (drawn by Q. Acy),,94-84,,
5:42.0,Turnover by V. Oladipo (offensive foul),,94-84,,
5:32.0,,,94-86,2,C. LeVert makes 2-pt shot from 6 ft
5:12.0,Turnover by V. Oladipo (turnover),,94-86,,
5:04.0,,,94-86,,J. Harris misses 3-pt shot from 25 ft
5:00.0,Defensive rebound by T. Young,,94-86,,
4:47.0,M. Turner makes 2-pt shot from 1 ft (assist by D. Collison),2,96-86,,
4:37.0,,,96-89,3,Q. Acy makes 3-pt shot from 25 ft (assist by C. LeVert)
4:12.0,,,96-89,,Personal foul by J. Harris (drawn by M. Turner)
3:59.0,C. Joseph makes 2-pt shot from 11 ft,2,98-89,,
3:59.0,C. Joseph makes technical free throw,1,99-89,,
3:50.0,,,99-89,,Turnover by R. Hollis-Jefferson (bad pass)
3:37.0,D. Collison misses 2-pt shot from 23 ft,,99-89,,
3:33.0,Offensive rebound by C. Joseph,,99-89,,
3:19.0,Shooting foul by Q. Acy (drawn by V. Oladipo),,99-89,,
3:19.0,V. Oladipo misses free throw 1 of 2,,99-89,,
3:19.0,Offensive rebound by Team,,99-89,,
3:19.0,V. Oladipo makes free throw 2 of 2,1,100-89,,
3:11.0,,,100-89,,Turnover by C. LeVert (turnover)
3:11.0,Indiana full timeout,,100-89,,
2:55.0,D. Collison makes 2-pt shot from 22 ft,2,102-89,,
2:42.0,,,102-89,,Q. Acy misses 2-pt shot from 2 ft
