time,Memphis,pts.away,score,pts.home,Denver
0:13.0,Defensive rebound by M. Gasol,,72-76,,
0:02.0,,,72-76,,Personal take foul by M. Plumlee (drawn by T. Evans)
0:01.0,T. Evans makes 2-pt shot from 2 ft (assist by D. Brooks),2,74-76,,
0:00.0,,,74-76,,E. Mudiay misses 3-pt shot from 72 ft
0:00.0,Defensive rebound by J. Martin,,74-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Turnover by T. Evans (turnover),,74-76,,
11:25.0,,,74-76,,G. Harris misses 3-pt shot from 23 ft
11:19.0,,,74-76,,Offensive rebound by N. Jokic
11:15.0,,,74-78,2,N. Jokic makes 2-pt shot from 3 ft
10:55.0,J. Martin misses 3-pt shot from 24 ft,,74-78,,
10:52.0,,,74-78,,Defensive rebound by N. Jokic
10:31.0,,,74-78,,J. Murray misses 2-pt shot from 5 ft
10:29.0,Defensive rebound by D. Davis,,74-78,,
10:20.0,Shooting foul by J. Murray (drawn by T. Evans),,74-78,,
10:20.0,T. Evans misses free throw 1 of 2,,74-78,,
10:20.0,Offensive rebound by Team,,74-78,,
10:20.0,T. Evans misses free throw 2 of 2,,74-78,,
10:16.0,Offensive rebound by J. Martin,,74-78,,
10:02.0,B. McLemore misses 3-pt shot from 25 ft,,74-78,,
10:00.0,,,74-78,,Defensive rebound by N. Jokic
9:52.0,,,74-78,,N. Jokic misses 3-pt shot from 25 ft
9:52.0,Defensive rebound by T. Evans,,74-78,,
9:31.0,T. Evans misses 2-pt shot from 21 ft,,74-78,,
9:27.0,,,74-78,,Defensive rebound by J. Hernangomez
9:16.0,,,74-78,,N. Jokic misses 2-pt shot from 2 ft (block by D. Brooks)
9:12.0,Defensive rebound by D. Brooks,,74-78,,
9:10.0,Turnover by D. Brooks (lost ball; steal by G. Harris),,74-78,,
9:09.0,Personal foul by T. Evans (drawn by G. Harris),,74-78,,
9:09.0,M. Chalmers enters the game for T. Evans,,74-78,,
9:09.0,C. Parsons enters the game for D. Brooks,,74-78,,
9:09.0,,,74-78,,K. Faried enters the game for T. Lyles
9:09.0,J. Green enters the game for J. Martin,,74-78,,
8:59.0,,,74-80,2,N. Jokic makes 2-pt shot from 3 ft (assist by G. Harris)
8:36.0,B. McLemore makes 2-pt shot from 3 ft,2,76-80,,
8:18.0,,,76-82,2,N. Jokic makes 2-pt shot from 4 ft
8:13.0,Memphis full timeout,,76-82,,
8:13.0,M. Gasol enters the game for D. Davis,,76-82,,
8:02.0,Turnover by M. Gasol (lost ball; steal by J. Murray),,76-82,,
7:58.0,,,76-84,2,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic)
7:32.0,M. Chalmers makes 3-pt shot from 24 ft,3,79-84,,
7:07.0,,,79-86,2,J. Murray makes 2-pt shot from 11 ft
6:46.0,C. Parsons misses 2-pt shot from 4 ft (block by K. Faried),,79-86,,
6:45.0,,,79-86,,Defensive rebound by J. Murray
6:45.0,Personal foul by M. Chalmers (drawn by J. Murray),,79-86,,
6:31.0,,,79-88,2,N. Jokic makes 2-pt shot from 11 ft
6:22.0,Memphis full timeout,,79-88,,
6:22.0,T. Evans enters the game for B. McLemore,,79-88,,
6:14.0,T. Evans makes 2-pt shot from 3 ft,2,81-88,,
5:57.0,,,81-88,,Shooting foul by M. Chalmers (drawn by K. Faried)
5:57.0,,,81-89,1,K. Faried makes free throw 1 of 2
5:57.0,D. Brooks enters the game for C. Parsons,,81-89,,
5:57.0,,,81-89,,K. Faried misses free throw 2 of 2
5:54.0,,,81-89,,Offensive rebound by N. Jokic
5:43.0,,,81-92,3,N. Jokic makes 3-pt shot from 25 ft (assist by J. Murray)
5:23.0,Turnover by T. Evans (bad pass; steal by G. Harris),,81-92,,
5:23.0,Personal foul by D. Brooks (drawn by G. Harris),,81-92,,
5:09.0,,,81-95,3,J. Hernangomez makes 3-pt shot from 24 ft (assist by G. Harris)
4:54.0,,,81-95,,Personal foul by N. Jokic (drawn by M. Gasol)
4:43.0,J. Green makes 2-pt shot from 2 ft,2,83-95,,
4:28.0,,,83-95,,Offensive foul by N. Jokic (drawn by M. Chalmers)
4:28.0,,,83-95,,Turnover by N. Jokic (offensive foul)
4:21.0,M. Chalmers makes 2-pt shot from 2 ft,2,85-95,,
4:21.0,,,85-95,,Denver full timeout
4:01.0,,,85-95,,J. Murray misses 2-pt shot from 12 ft
3:58.0,,,85-95,,Offensive rebound by Team
3:45.0,,,85-95,,N. Jokic misses 3-pt shot from 26 ft
3:41.0,,,85-95,,Offensive rebound by Team
3:21.0,,,85-95,,G. Harris misses 3-pt shot from 25 ft
3:18.0,Defensive rebound by Team,,85-95,,
3:03.0,D. Brooks misses 3-pt shot from 26 ft,,85-95,,
2:59.0,,,85-95,,Defensive rebound by J. Hernangomez
2:53.0,Personal foul by M. Chalmers (drawn by K. Faried),,85-95,,
2:53.0,,,85-96,1,K. Faried makes free throw 1 of 2
2:53.0,,,85-97,1,K. Faried makes free throw 2 of 2
2:37.0,,,85-97,,Personal foul by J. Hernangomez (drawn by D. Brooks)
2:37.0,M. Gasol makes free throw 1 of 1,1,86-97,,
2:31.0,Shooting foul by G. Harris (drawn by T. Evans),,86-97,,
2:31.0,T. Evans misses free throw 1 of 2,,86-97,,
2:31.0,Offensive rebound by Team,,86-97,,
2:31.0,T. Evans misses free throw 2 of 2,,86-97,,
2:27.0,,,86-97,,Defensive rebound by K. Faried
2:07.0,,,86-97,,J. Murray misses 3-pt shot from 26 ft
2:05.0,,,86-97,,Offensive rebound by N. Jokic
2:01.0,,,86-97,,Turnover by N. Jokic (lost ball; steal by M. Gasol)
1:57.0,M. Chalmers makes 3-pt shot from 26 ft (assist by M. Gasol),3,89-97,,
1:38.0,,,89-97,,N. Jokic misses 2-pt shot from 3 ft
1:38.0,,,89-97,,Offensive rebound by K. Faried
1:38.0,,,89-99,2,K. Faried makes 2-pt shot at rim
1:38.0,Memphis full timeout,,89-99,,
1:30.0,Turnover by T. Evans (bad pass; steal by J. Hernangomez),,89-99,,
1:12.0,,,89-99,,G. Harris misses 3-pt shot from 24 ft
1:10.0,,,89-99,,Offensive rebound by N. Jokic
1:10.0,,,89-101,2,N. Jokic makes 2-pt shot from 2 ft
1:10.0,,,89-101,,Shooting foul by D. Brooks (drawn by N. Jokic)
1:10.0,,,89-102,1,N. Jokic makes free throw 1 of 1
1:10.0,Memphis full timeout,,89-102,,
1:08.0,M. Chalmers misses 3-pt shot from 26 ft,,89-102,,
1:06.0,Offensive rebound by J. Green,,89-102,,
