time,Portland,pts.away,score,pts.home,Houston
6:01.0,E. Davis enters the game for J. Nurkic,,8-10,,
6:01.0,,,8-11,1,G. Green makes free throw 2 of 2
5:38.0,A. Aminu misses 2-pt shot from 20 ft,,8-11,,
5:38.0,Offensive rebound by E. Davis,,8-11,,
5:32.0,D. Lillard misses 3-pt shot from 29 ft,,8-11,,
5:32.0,,,8-11,,Defensive rebound by P. Tucker
5:25.0,,,8-11,,E. Gordon misses 3-pt shot from 25 ft
5:25.0,Defensive rebound by E. Davis,,8-11,,
5:17.0,C. McCollum makes 2-pt shot from 10 ft,2,10-11,,
5:01.0,,,10-11,,Turnover by G. Green (bad pass)
5:01.0,Z. Collins enters the game for D. Lillard,,10-11,,
5:01.0,S. Napier enters the game for E. Turner,,10-11,,
4:46.0,C. McCollum makes 3-pt shot from 27 ft (assist by S. Napier),3,13-11,,
4:33.0,,,13-13,2,E. Gordon makes 2-pt shot from 2 ft
4:33.0,,,13-13,,Shooting foul by E. Davis (drawn by E. Gordon)
4:33.0,,,13-13,,T. Black enters the game for R. Anderson
4:33.0,,,13-14,1,E. Gordon makes free throw 1 of 1
4:14.0,Shooting foul by P. Tucker (drawn by S. Napier),,13-14,,
4:14.0,S. Napier makes free throw 1 of 2,1,14-14,,
4:14.0,S. Napier misses free throw 2 of 2,,14-14,,
4:14.0,,,14-14,,Defensive rebound by P. Tucker
3:57.0,,,14-17,3,G. Green makes 3-pt shot from 26 ft (assist by T. Ariza)
3:45.0,C. McCollum misses 2-pt shot from 17 ft,,14-17,,
3:41.0,,,14-17,,Defensive rebound by T. Ariza
3:34.0,,,14-17,,E. Gordon misses 2-pt shot from 3 ft
3:33.0,,,14-17,,Offensive rebound by T. Black
3:33.0,,,14-19,2,T. Black makes 2-pt shot at rim
3:33.0,Portland full timeout,,14-19,,
3:33.0,M. Harkless enters the game for A. Aminu,,14-19,,
3:13.0,Z. Collins makes 3-pt shot from 24 ft (assist by S. Napier),3,17-19,,
2:58.0,,,17-19,,G. Green misses 3-pt shot from 25 ft
2:56.0,Defensive rebound by E. Davis,,17-19,,
2:42.0,Turnover by Z. Collins (bad pass),,17-19,,
2:42.0,P. Connaughton enters the game for C. McCollum,,17-19,,
2:34.0,,,17-19,,T. Ariza misses 2-pt shot from 4 ft
2:32.0,,,17-19,,Offensive rebound by T. Black
2:30.0,,,17-19,,P. Tucker misses 2-pt shot from 23 ft
2:28.0,,,17-19,,Offensive rebound by E. Gordon
2:24.0,,,17-19,,E. Gordon misses 3-pt shot from 27 ft
2:24.0,Defensive rebound by E. Davis,,17-19,,
2:03.0,E. Davis makes 2-pt shot from 7 ft (assist by P. Connaughton),2,19-19,,
1:44.0,,,19-21,2,T. Black makes 2-pt shot from 2 ft (assist by G. Green)
1:24.0,Turnover by S. Napier (out of bounds lost ball),,19-21,,
1:24.0,,,19-21,,C. Paul enters the game for E. Gordon
1:17.0,Personal foul by S. Napier (drawn by C. Paul),,19-21,,
1:17.0,,,19-22,1,C. Paul makes free throw 1 of 2
1:17.0,,,19-23,1,C. Paul makes free throw 2 of 2
1:00.0,P. Connaughton misses 2-pt shot from 5 ft (block by G. Green),,19-23,,
1:00.0,Offensive rebound by Team,,19-23,,
0:57.0,Z. Collins misses 2-pt shot from 13 ft,,19-23,,
0:55.0,,,19-23,,Defensive rebound by G. Green
0:42.0,,,19-25,2,C. Paul makes 2-pt shot from 13 ft
0:37.0,Turnover by S. Napier (lost ball; steal by C. Paul),,19-25,,
0:32.0,,,19-25,,T. Ariza misses 2-pt shot from 2 ft
0:31.0,,,19-25,,Offensive rebound by Team
0:29.0,,,19-25,,C. Paul misses 2-pt shot from 14 ft
0:25.0,Defensive rebound by E. Davis,,19-25,,
0:08.0,,,19-25,,Personal foul by T. Black (drawn by S. Napier)
0:08.0,C. McCollum enters the game for Z. Collins,,19-25,,
0:03.0,P. Connaughton misses 3-pt shot from 23 ft,,19-25,,
0:00.0,,,19-25,,Defensive rebound by C. Paul
0:00.0,,,19-25,,C. Paul misses 3-pt shot from 49 ft
0:00.0,,,19-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,19-25,,Violation by G. Green (kicked ball)
11:37.0,S. Napier misses 2-pt shot from 20 ft,,19-25,,
11:32.0,,,19-25,,Defensive rebound by C. Paul
11:22.0,,,19-25,,T. Black misses 2-pt shot from 3 ft
11:21.0,Defensive rebound by Team,,19-25,,
11:21.0,,,19-25,,Loose ball foul by T. Black (drawn by Z. Collins)
11:08.0,S. Napier makes 3-pt shot from 27 ft (assist by M. Harkless),3,22-25,,
10:56.0,,,22-25,,Offensive foul by T. Black (drawn by S. Napier)
10:56.0,,,22-25,,Turnover by T. Black (offensive foul)
10:56.0,,,22-25,,C. Capela enters the game for T. Black
10:56.0,,,22-25,,R. Anderson enters the game for T. Ariza
10:37.0,M. Harkless misses 3-pt shot from 23 ft,,22-25,,
10:34.0,Offensive rebound by E. Davis,,22-25,,
10:28.0,S. Napier misses 2-pt shot from 11 ft,,22-25,,
10:25.0,,,22-25,,Defensive rebound by G. Green
10:21.0,,,22-25,,Shooting foul by P. Connaughton (drawn by P. Tucker)
10:21.0,,,22-26,1,P. Tucker makes free throw 1 of 2
10:21.0,,,22-27,1,P. Tucker makes free throw 2 of 2
10:04.0,P. Connaughton misses 2-pt shot from 20 ft,,22-27,,
10:00.0,,,22-27,,Defensive rebound by C. Paul
9:52.0,,,22-27,,Offensive foul by C. Capela (drawn by E. Davis)
9:52.0,,,22-27,,Turnover by C. Capela (offensive foul)
9:52.0,E. Turner enters the game for E. Davis,,22-27,,
9:52.0,J. Nurkic enters the game for Z. Collins,,22-27,,
9:38.0,J. Nurkic misses 2-pt shot from 6 ft,,22-27,,
9:32.0,,,22-27,,Defensive rebound by R. Anderson
9:31.0,Personal foul by S. Napier (drawn by C. Paul),,22-27,,
9:31.0,D. Lillard enters the game for S. Napier,,22-27,,
9:22.0,,,22-27,,C. Paul misses 3-pt shot from 22 ft
9:18.0,,,22-27,,Offensive rebound by C. Capela
9:02.0,,,22-29,2,C. Capela makes 2-pt shot from 2 ft
8:44.0,Offensive charge foul by J. Nurkic (drawn by P. Tucker),,22-29,,
8:44.0,Turnover by J. Nurkic (offensive foul),,22-29,,
8:30.0,,,22-31,2,P. Tucker makes 2-pt shot from 3 ft (assist by G. Green)
8:29.0,Portland full timeout,,22-31,,
8:29.0,,,22-31,,T. Black enters the game for C. Paul
8:29.0,,,22-31,,E. Gordon enters the game for C. Capela
8:29.0,C. McCollum enters the game for M. Harkless,,22-31,,
8:29.0,A. Aminu enters the game for P. Connaughton,,22-31,,
8:18.0,Shooting foul by E. Gordon (drawn by D. Lillard),,22-31,,
8:18.0,D. Lillard makes free throw 1 of 2,1,23-31,,
8:18.0,D. Lillard makes free throw 2 of 2,1,24-31,,
8:05.0,,,24-33,2,R. Anderson makes 2-pt shot from 17 ft (assist by E. Gordon)
8:05.0,,,24-33,,Shooting foul by A. Aminu (drawn by R. Anderson)
8:05.0,,,24-34,1,R. Anderson makes free throw 1 of 1
7:52.0,D. Lillard misses 3-pt shot from 28 ft,,24-34,,
7:49.0,,,24-34,,Defensive rebound by G. Green
7:43.0,,,24-34,,G. Green misses 3-pt shot from 25 ft
7:40.0,Defensive rebound by J. Nurkic,,24-34,,
7:19.0,A. Aminu misses 3-pt shot from 26 ft,,24-34,,
7:17.0,Offensive rebound by Team,,24-34,,
7:17.0,,,24-34,,Loose ball foul by R. Anderson (drawn by J. Nurkic)
7:09.0,J. Nurkic makes 2-pt shot from 3 ft (assist by C. McCollum),2,26-34,,
6:56.0,,,26-34,,Shooting foul by C. McCollum (drawn by E. Gordon)
6:56.0,,,26-35,1,E. Gordon makes free throw 1 of 2
6:56.0,,,26-36,1,E. Gordon makes free throw 2 of 2
6:42.0,J. Nurkic makes 2-pt shot from 8 ft (assist by D. Lillard),2,28-36,,
6:30.0,,,28-36,,Turnover by G. Green (lost ball; steal by D. Lillard)
6:26.0,D. Lillard makes 2-pt shot from 3 ft,2,30-36,,
6:13.0,,,30-38,2,T. Black makes 2-pt shot from 3 ft (assist by G. Green)
6:13.0,,,30-38,,Shooting foul by J. Nurkic (drawn by T. Black)
6:13.0,,,30-38,,T. Ariza enters the game for P. Tucker
6:13.0,,,30-38,,C. Paul enters the game for G. Green
6:13.0,E. Davis enters the game for J. Nurkic,,30-38,,
6:13.0,,,30-39,1,T. Black makes free throw 1 of 1
5:58.0,D. Lillard makes 2-pt shot from 3 ft,2,32-39,,
5:51.0,,,32-42,3,E. Gordon makes 3-pt shot from 26 ft (assist by T. Ariza)
5:38.0,,,32-42,,Personal foul by E. Gordon (drawn by A. Aminu)
5:25.0,C. McCollum makes 3-pt shot from 27 ft (assist by E. Davis),3,35-42,,
5:09.0,,,35-44,2,R. Anderson makes 2-pt shot from 3 ft (assist by C. Paul)
5:09.0,,,35-44,,Shooting foul by E. Davis (drawn by R. Anderson)
5:09.0,,,35-44,,R. Anderson misses free throw 1 of 1
5:09.0,Defensive rebound by E. Turner,,35-44,,
5:00.0,Turnover by D. Lillard (bad pass; steal by T. Black),,35-44,,
4:55.0,,,35-44,,R. Anderson misses 3-pt shot from 26 ft
4:51.0,Defensive rebound by D. Lillard,,35-44,,
4:46.0,Turnover by D. Lillard (bad pass; steal by T. Black),,35-44,,
4:33.0,,,35-46,2,T. Black makes 2-pt shot from 2 ft (assist by C. Paul)
4:32.0,Portland full timeout,,35-46,,
4:21.0,Shooting foul by E. Gordon (drawn by C. McCollum),,35-46,,
4:21.0,C. McCollum makes free throw 1 of 2,1,36-46,,
4:21.0,C. McCollum makes free throw 2 of 2,1,37-46,,
4:05.0,,,37-48,2,C. Paul makes 2-pt shot from 16 ft
4:05.0,,,37-48,,Shooting foul by E. Turner (drawn by C. Paul)
4:05.0,,,37-48,,G. Green enters the game for E. Gordon
4:05.0,,,37-49,1,C. Paul makes free throw 1 of 1
3:52.0,Offensive foul by E. Davis (drawn by T. Black),,37-49,,
3:52.0,Turnover by E. Davis (offensive foul),,37-49,,
3:42.0,,,37-51,2,C. Paul makes 2-pt shot from 15 ft
3:28.0,,,37-51,,Personal foul by C. Paul (drawn by D. Lillard)
3:28.0,D. Lillard makes free throw 1 of 2,1,38-51,,
3:28.0,D. Lillard makes free throw 2 of 2,1,39-51,,
3:10.0,,,39-53,2,T. Black makes 2-pt shot from 1 ft (assist by C. Paul)
3:10.0,,,39-53,,Shooting foul by C. McCollum (drawn by T. Black)
3:10.0,,,39-53,,T. Black misses free throw 1 of 1
3:10.0,Defensive rebound by A. Aminu,,39-53,,
2:55.0,Shooting foul by G. Green (drawn by E. Turner),,39-53,,
2:55.0,E. Turner makes free throw 1 of 2,1,40-53,,
2:55.0,S. Napier enters the game for D. Lillard,,40-53,,
2:55.0,E. Turner misses free throw 2 of 2,,40-53,,
2:55.0,,,40-53,,Defensive rebound by R. Anderson
2:47.0,,,40-53,,C. Paul misses 3-pt shot from 27 ft
2:44.0,Defensive rebound by S. Napier,,40-53,,
2:34.0,Turnover by S. Napier (bad pass; steal by C. Paul),,40-53,,
2:27.0,,,40-53,,R. Anderson misses 2-pt shot from 5 ft
2:24.0,,,40-53,,Offensive rebound by T. Black
2:22.0,,,40-53,,Turnover by T. Black (bad pass; steal by S. Napier)
2:17.0,Turnover by C. McCollum (lost ball; steal by C. Paul),,40-53,,
2:13.0,,,40-53,,G. Green misses 2-pt shot from 1 ft
2:12.0,,,40-53,,G. Green misses 2-pt shot from 1 ft (block by C. McCollum)
2:12.0,,,40-53,,Offensive rebound by G. Green
2:11.0,,,40-53,,Offensive rebound by T. Black
2:10.0,,,40-53,,T. Black misses 2-pt shot from 3 ft
2:09.0,Defensive rebound by S. Napier,,40-53,,
1:50.0,E. Davis makes 2-pt shot from 5 ft (assist by C. McCollum),2,42-53,,
1:34.0,,,42-53,,C. Paul misses 2-pt shot from 14 ft
1:30.0,,,42-53,,Offensive rebound by C. Paul
1:28.0,,,42-53,,R. Anderson misses 3-pt shot from 27 ft
1:25.0,Defensive rebound by Team,,42-53,,
1:13.0,C. McCollum misses 2-pt shot from 16 ft,,42-53,,
1:09.0,,,42-53,,Defensive rebound by C. Paul
1:01.0,,,42-53,,T. Ariza misses 2-pt shot from 3 ft
0:59.0,Defensive rebound by E. Davis,,42-53,,
0:54.0,Shooting foul by T. Black (drawn by S. Napier),,42-53,,
0:54.0,S. Napier makes free throw 1 of 2,1,43-53,,
0:54.0,,,43-53,,P. Tucker enters the game for T. Black
0:54.0,M. Harkless enters the game for E. Turner,,43-53,,
0:54.0,P. Connaughton enters the game for A. Aminu,,43-53,,
0:54.0,S. Napier misses free throw 2 of 2,,43-53,,
0:54.0,,,43-53,,Defensive rebound by T. Ariza
0:41.0,,,43-53,,Turnover by T. Ariza (lost ball; steal by C. McCollum)
0:36.0,C. McCollum makes 2-pt shot from 7 ft,2,45-53,,
0:28.0,,,45-53,,G. Green misses 3-pt shot from 27 ft
0:24.0,Defensive rebound by M. Harkless,,45-53,,
0:11.0,C. McCollum misses 2-pt shot from 11 ft,,45-53,,
0:09.0,,,45-53,,Defensive rebound by P. Tucker
0:01.0,,,45-53,,Shooting foul by S. Napier (drawn by C. Paul)
0:01.0,,,45-54,1,C. Paul makes free throw 1 of 2
0:01.0,,,45-55,1,C. Paul makes free throw 2 of 2
0:01.0,Turnover by P. Connaughton (bad pass),,45-55,,
0:00.0,,,45-55,,Turnover by P. Tucker (bad pass)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,D. Lillard makes 2-pt shot from 2 ft (assist by E. Turner),2,47-55,,
11:29.0,,,47-55,,T. Ariza misses 3-pt shot from 27 ft
11:25.0,Defensive rebound by D. Lillard,,47-55,,
11:19.0,E. Turner makes 3-pt shot from 25 ft (assist by D. Lillard),3,50-55,,
11:04.0,,,50-58,3,E. Gordon makes 3-pt shot from 26 ft (assist by C. Paul)
10:42.0,A. Aminu makes 3-pt shot from 22 ft (assist by J. Nurkic),3,53-58,,
10:25.0,,,53-60,2,C. Paul makes 2-pt shot from 15 ft (assist by C. Capela)
10:11.0,,,53-60,,Personal foul by C. Paul (drawn by D. Lillard)
10:06.0,J. Nurkic misses 2-pt shot from 2 ft,,53-60,,
10:04.0,Offensive rebound by J. Nurkic,,53-60,,
10:03.0,J. Nurkic misses 2-pt shot from 1 ft,,53-60,,
10:03.0,Offensive rebound by J. Nurkic,,53-60,,
10:01.0,J. Nurkic misses 2-pt shot from 2 ft (block by C. Capela),,53-60,,
10:01.0,,,53-60,,Defensive rebound by T. Ariza
9:54.0,,,53-62,2,C. Paul makes 2-pt shot from 12 ft
9:31.0,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard),2,55-62,,
9:15.0,,,55-62,,C. Paul misses 3-pt shot from 28 ft
9:12.0,Defensive rebound by C. McCollum,,55-62,,
9:05.0,E. Turner makes 2-pt shot from 4 ft,2,57-62,,
8:48.0,,,57-64,2,E. Gordon makes 2-pt shot from 2 ft
8:28.0,A. Aminu misses 2-pt shot from 6 ft,,57-64,,
8:26.0,,,57-64,,Defensive rebound by T. Ariza
8:04.0,,,57-67,3,C. Paul makes 3-pt shot from 28 ft
7:43.0,J. Nurkic misses 2-pt shot from 19 ft,,57-67,,
7:41.0,,,57-67,,Defensive rebound by T. Ariza
7:30.0,,,57-69,2,C. Capela makes 2-pt shot from 5 ft (assist by C. Paul)
7:30.0,Shooting block foul by A. Aminu (drawn by C. Capela),,57-69,,
7:30.0,,,57-69,,C. Capela misses free throw 1 of 1
7:28.0,Defensive rebound by E. Turner,,57-69,,
7:21.0,D. Lillard makes 2-pt shot from 1 ft,2,59-69,,
7:04.0,,,59-69,,C. Paul misses 3-pt shot from 24 ft
7:02.0,Defensive rebound by E. Turner,,59-69,,
6:47.0,E. Turner makes 2-pt shot from 6 ft,2,61-69,,
6:47.0,Shooting foul by E. Gordon (drawn by E. Turner),,61-69,,
6:47.0,,,61-69,,Houston full timeout
6:47.0,,,61-69,,G. Green enters the game for C. Paul
6:47.0,E. Turner makes free throw 1 of 1,1,62-69,,
6:34.0,Personal foul by E. Turner (drawn by E. Gordon),,62-69,,
6:26.0,Personal foul by D. Lillard (drawn by T. Ariza),,62-69,,
6:19.0,,,62-69,,E. Gordon misses 3-pt shot from 26 ft
6:16.0,Defensive rebound by D. Lillard,,62-69,,
6:11.0,D. Lillard misses 3-pt shot from 31 ft,,62-69,,
6:10.0,,,62-69,,Defensive rebound by Team
5:59.0,,,62-69,,Turnover by C. Capela (traveling)
5:59.0,,,62-69,,P. Tucker enters the game for C. Capela
5:41.0,Turnover by C. McCollum (bad pass; steal by T. Ariza),,62-69,,
5:32.0,,,62-72,3,E. Gordon makes 3-pt shot from 28 ft
5:11.0,J. Nurkic makes 2-pt shot from 2 ft,2,64-72,,
5:01.0,,,64-74,2,E. Gordon makes 2-pt shot from 2 ft
4:37.0,J. Nurkic misses 2-pt shot from 7 ft,,64-74,,
4:36.0,Offensive rebound by C. McCollum,,64-74,,
4:35.0,C. McCollum makes 2-pt shot from 2 ft,2,66-74,,
4:23.0,,,66-76,2,P. Tucker makes 2-pt shot from 3 ft (assist by E. Gordon)
4:15.0,Shooting foul by P. Tucker (drawn by D. Lillard),,66-76,,
4:15.0,D. Lillard makes free throw 1 of 2,1,67-76,,
4:15.0,S. Napier enters the game for E. Turner,,67-76,,
4:15.0,P. Connaughton enters the game for C. McCollum,,67-76,,
4:15.0,D. Lillard makes free throw 2 of 2,1,68-76,,
4:04.0,,,68-76,,Offensive foul by T. Ariza (drawn by D. Lillard)
4:04.0,,,68-76,,Turnover by T. Ariza (offensive foul)
3:47.0,D. Lillard makes 3-pt shot from 25 ft,3,71-76,,
3:35.0,,,71-76,,E. Gordon misses 3-pt shot from 29 ft
3:32.0,Defensive rebound by J. Nurkic,,71-76,,
3:27.0,S. Napier misses 3-pt shot from 25 ft,,71-76,,
3:25.0,,,71-76,,Defensive rebound by T. Ariza
3:16.0,,,71-79,3,E. Gordon makes 3-pt shot from 24 ft (assist by T. Ariza)
2:57.0,D. Lillard misses 3-pt shot from 26 ft,,71-79,,
2:57.0,Offensive rebound by Team,,71-79,,
2:57.0,,,71-79,,Loose ball foul by G. Green (drawn by J. Nurkic)
2:57.0,Portland full timeout,,71-79,,
2:57.0,,,71-79,,C. Paul enters the game for E. Gordon
2:57.0,,,71-79,,T. Black enters the game for R. Anderson
2:57.0,E. Davis enters the game for A. Aminu,,71-79,,
2:57.0,Z. Collins enters the game for J. Nurkic,,71-79,,
2:41.0,Shooting foul by P. Tucker (drawn by E. Davis),,71-79,,
2:41.0,E. Davis misses free throw 1 of 2,,71-79,,
2:41.0,Offensive rebound by Team,,71-79,,
2:41.0,E. Davis makes free throw 2 of 2,1,72-79,,
2:26.0,,,72-79,,Turnover by C. Paul (lost ball; steal by D. Lillard)
2:20.0,E. Davis makes 2-pt shot at rim (assist by D. Lillard),2,74-79,,
2:06.0,,,74-79,,P. Tucker misses 2-pt shot from 4 ft (block by E. Davis)
2:06.0,,,74-79,,Offensive rebound by Team
2:06.0,C. McCollum enters the game for D. Lillard,,74-79,,
2:01.0,,,74-79,,C. Paul misses 2-pt shot from 12 ft
1:58.0,Defensive rebound by E. Davis,,74-79,,
1:45.0,C. McCollum misses 2-pt shot from 7 ft,,74-79,,
1:45.0,,,74-79,,Defensive rebound by T. Black
1:35.0,,,74-81,2,T. Black makes 2-pt shot from 2 ft (assist by C. Paul)
1:35.0,Technical foul by E. Davis (drawn by T. Black),,74-81,,
1:35.0,,,74-81,,C. Capela enters the game for T. Black
1:35.0,,,74-82,1,C. Paul makes flagrant free throw 1 of 1
1:25.0,,,74-84,2,P. Tucker makes 2-pt shot from 5 ft (assist by C. Paul)
0:59.0,P. Connaughton misses 2-pt shot from 3 ft (block by C. Capela),,74-84,,
0:59.0,Offensive rebound by Z. Collins,,74-84,,
0:59.0,Turnover by Team (shot clock),,74-84,,
0:51.0,,,74-84,,C. Paul misses 2-pt shot from 11 ft
0:49.0,Defensive rebound by Team,,74-84,,
0:49.0,,,74-84,,Loose ball foul by C. Capela (drawn by E. Davis)
0:49.0,E. Davis misses free throw 1 of 2,,74-84,,
0:49.0,Offensive rebound by Team,,74-84,,
0:49.0,,,74-84,,R. Anderson enters the game for C. Capela
0:49.0,E. Davis makes free throw 2 of 2,1,75-84,,
0:31.0,,,75-84,,C. Paul misses 2-pt shot from 14 ft
0:28.0,Defensive rebound by C. McCollum,,75-84,,
0:07.0,C. McCollum makes 2-pt shot from 3 ft,2,77-84,,
0:00.0,,,77-86,2,C. Paul makes 2-pt shot from 15 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,77-86,,Offensive foul by P. Tucker (drawn by S. Napier)
11:45.0,,,77-86,,Turnover by P. Tucker (offensive foul)
11:34.0,P. Connaughton makes 2-pt shot from 21 ft (assist by C. McCollum),2,79-86,,
11:12.0,,,79-89,3,C. Paul makes 3-pt shot from 24 ft
10:52.0,Shooting foul by C. Paul (drawn by S. Napier),,79-89,,
10:52.0,S. Napier makes free throw 1 of 2,1,80-89,,
10:52.0,S. Napier makes free throw 2 of 2,1,81-89,,
10:29.0,,,81-89,,C. Paul misses 3-pt shot from 28 ft
10:26.0,,,81-89,,Offensive rebound by Team
10:24.0,,,81-89,,R. Anderson misses 3-pt shot from 27 ft
10:21.0,Defensive rebound by P. Connaughton,,81-89,,
10:14.0,S. Napier misses 3-pt shot from 23 ft,,81-89,,
10:11.0,,,81-89,,Defensive rebound by G. Green
10:04.0,,,81-92,3,G. Green makes 3-pt shot from 27 ft (assist by R. Anderson)
9:45.0,S. Napier makes 2-pt shot from 2 ft,2,83-92,,
9:28.0,,,83-92,,C. Paul misses 3-pt shot from 26 ft
9:27.0,Defensive rebound by C. McCollum,,83-92,,
9:20.0,Z. Collins makes 2-pt shot from 1 ft (assist by C. McCollum),2,85-92,,
9:19.0,,,85-92,,Houston full timeout
9:19.0,,,85-92,,E. Gordon enters the game for T. Ariza
9:19.0,,,85-92,,C. Capela enters the game for C. Paul
9:05.0,,,85-94,2,C. Capela makes 2-pt shot from 1 ft (assist by G. Green)
8:48.0,S. Napier misses 3-pt shot from 25 ft (block by E. Gordon),,85-94,,
8:44.0,,,85-94,,Defensive rebound by G. Green
8:30.0,,,85-94,,G. Green misses 2-pt shot from 13 ft
8:28.0,Defensive rebound by E. Davis,,85-94,,
8:23.0,C. McCollum misses 3-pt shot from 25 ft,,85-94,,
8:21.0,Offensive rebound by Team,,85-94,,
8:21.0,,,85-94,,Loose ball foul by R. Anderson (drawn by Z. Collins)
8:21.0,D. Lillard enters the game for C. McCollum,,85-94,,
8:21.0,E. Turner enters the game for P. Connaughton,,85-94,,
8:17.0,S. Napier misses 2-pt shot from 2 ft (block by R. Anderson),,85-94,,
8:15.0,Offensive rebound by Team,,85-94,,
8:13.0,D. Lillard misses 2-pt shot from 2 ft,,85-94,,
8:09.0,,,85-94,,Defensive rebound by C. Capela
8:04.0,,,85-96,2,E. Gordon makes 2-pt shot from 4 ft
7:55.0,E. Davis makes 2-pt shot from 2 ft (assist by D. Lillard),2,87-96,,
7:55.0,Shooting foul by R. Anderson (drawn by E. Davis),,87-96,,
7:55.0,E. Davis misses free throw 1 of 1,,87-96,,
7:55.0,,,87-96,,Defensive rebound by R. Anderson
