time,Oklahoma City,pts.away,score,pts.home,San Antonio
3:12.0,,,46-49,,P. Mills misses 3-pt shot from 24 ft
3:05.0,,,46-49,,Offensive rebound by L. Aldridge
3:05.0,,,46-51,2,L. Aldridge makes 2-pt shot at rim
3:02.0,,,46-51,,Personal foul by K. Anderson (drawn by S. Adams)
2:56.0,,,46-51,,Personal foul by K. Anderson (drawn by C. Anthony)
2:56.0,,,46-51,,D. Green enters the game for K. Anderson
2:54.0,C. Anthony makes 3-pt shot from 25 ft (assist by C. Brewer),3,49-51,,
2:37.0,,,49-53,2,D. Murray makes 2-pt shot from 9 ft
2:22.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,51-53,,
2:06.0,,,51-55,2,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Murray)
1:38.0,Turnover by P. George (bad pass; steal by R. Gay),,51-55,,
1:34.0,,,51-57,2,R. Gay makes 2-pt shot from 1 ft
1:19.0,Turnover by R. Westbrook (bad pass),,51-57,,
0:58.0,,,51-59,2,L. Aldridge makes 2-pt shot from 15 ft
0:54.0,C. Anthony makes 3-pt shot from 24 ft (assist by P. George),3,54-59,,
0:33.0,,,54-59,,L. Aldridge misses 2-pt shot from 16 ft
0:30.0,Defensive rebound by P. George,,54-59,,
0:27.0,C. Brewer misses 3-pt shot from 22 ft,,54-59,,
0:23.0,Offensive rebound by C. Brewer,,54-59,,
0:02.0,P. George makes 2-pt shot from 10 ft,2,56-59,,
0:00.0,,,56-59,,Turnover by R. Gay (bad pass; steal by R. Westbrook)
0:00.0,R. Westbrook misses 3-pt shot from 25 ft,,56-59,,
0:00.0,Offensive rebound by Team,,56-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Personal foul by R. Westbrook (drawn by P. Gasol),,56-59,,
11:44.0,,,56-61,2,D. Murray makes 2-pt shot from 2 ft (assist by K. Anderson)
11:25.0,P. George misses 2-pt shot from 2 ft,,56-61,,
11:21.0,,,56-61,,Defensive rebound by L. Aldridge
11:08.0,,,56-61,,Turnover by P. Mills (bad pass; steal by P. George)
11:05.0,P. George makes 2-pt shot at rim,2,58-61,,
10:44.0,,,58-61,,L. Aldridge misses 2-pt shot from 14 ft
10:42.0,Defensive rebound by R. Westbrook,,58-61,,
10:35.0,S. Adams misses 2-pt shot from 4 ft (block by L. Aldridge),,58-61,,
10:32.0,,,58-61,,Defensive rebound by P. Gasol
10:28.0,,,58-61,,D. Murray misses 2-pt shot from 10 ft
10:25.0,,,58-61,,Offensive rebound by L. Aldridge
10:22.0,,,58-61,,P. Gasol misses 2-pt shot from 8 ft
10:16.0,,,58-61,,Offensive rebound by L. Aldridge
10:16.0,,,58-61,,L. Aldridge misses 2-pt shot at rim
10:15.0,Defensive rebound by R. Westbrook,,58-61,,
10:14.0,R. Westbrook misses 2-pt shot from 2 ft (block by D. Murray),,58-61,,
10:14.0,Offensive rebound by Team,,58-61,,
10:14.0,Oklahoma City full timeout,,58-61,,
10:06.0,C. Anthony makes 3-pt shot from 24 ft (assist by C. Brewer),3,61-61,,
9:45.0,,,61-64,3,K. Anderson makes 3-pt shot from 23 ft (assist by D. Murray)
9:24.0,Turnover by R. Westbrook (turnover),,61-64,,
9:01.0,,,61-64,,D. Murray misses 2-pt shot from 9 ft (block by R. Westbrook)
8:55.0,Defensive rebound by P. George,,61-64,,
8:54.0,P. George misses 3-pt shot from 24 ft,,61-64,,
8:49.0,,,61-64,,Defensive rebound by L. Aldridge
8:39.0,,,61-64,,Turnover by P. Mills (bad pass)
8:36.0,,,61-64,,Personal foul by K. Anderson (drawn by P. George)
8:36.0,,,61-64,,D. Green enters the game for K. Anderson
8:28.0,Turnover by C. Brewer (bad pass; steal by D. Murray),,61-64,,
