time,Toronto,pts.away,score,pts.home,New Orleans
8:46.0,,,73-73,,Turnover by D. Cousins (offensive foul)
8:36.0,D. DeRozan makes 3-pt shot from 25 ft (assist by K. Lowry),3,76-73,,
8:20.0,,,76-75,2,D. Cunningham makes 2-pt shot from 2 ft (assist by J. Holiday)
8:10.0,D. DeRozan misses 2-pt shot from 11 ft (block by E. Moore),,76-75,,
8:01.0,Offensive rebound by D. DeRozan,,76-75,,
7:58.0,Offensive charge foul by J. Valanciunas (drawn by A. Davis),,76-75,,
7:58.0,Turnover by J. Valanciunas (offensive foul),,76-75,,
7:50.0,Personal foul by J. Valanciunas (drawn by J. Holiday),,76-75,,
7:42.0,,,76-75,,Shooting foul by O. Anunoby (drawn by J. Holiday)
7:42.0,,,76-76,1,J. Holiday makes free throw 1 of 2
7:42.0,P. Siakam enters the game for O. Anunoby,,76-76,,
7:42.0,,,76-77,1,J. Holiday makes free throw 2 of 2
7:30.0,K. Lowry misses 3-pt shot from 25 ft,,76-77,,
7:26.0,,,76-77,,Defensive rebound by D. Cousins
7:16.0,,,76-77,,Turnover by D. Cousins (out of bounds lost ball)
7:05.0,D. DeRozan misses 2-pt shot from 21 ft,,76-77,,
7:00.0,,,76-77,,Defensive rebound by D. Cousins
6:54.0,,,76-79,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
6:39.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,78-79,,
6:28.0,,,78-79,,D. Cousins misses 3-pt shot from 25 ft
6:24.0,Defensive rebound by K. Lowry,,78-79,,
6:11.0,S. Ibaka misses 2-pt shot from 2 ft (block by D. Cousins),,78-79,,
6:11.0,Offensive rebound by Team,,78-79,,
6:11.0,,,78-79,,New Orleans full timeout
6:07.0,D. DeRozan misses 3-pt shot from 23 ft,,78-79,,
5:59.0,,,78-79,,Defensive rebound by D. Cunningham
5:49.0,,,78-79,,D. Cunningham misses 3-pt shot from 23 ft
5:46.0,Defensive rebound by D. DeRozan,,78-79,,
5:32.0,K. Lowry makes 2-pt shot from 1 ft (assist by J. Valanciunas),2,80-79,,
5:32.0,Shooting foul by E. Moore (drawn by K. Lowry),,80-79,,
5:32.0,,,80-79,,D. Miller enters the game for E. Moore
5:32.0,K. Lowry makes free throw 1 of 1,1,81-79,,
5:08.0,,,81-79,,Turnover by D. Cousins (lost ball; steal by D. DeRozan)
5:01.0,K. Lowry misses 3-pt shot from 25 ft,,81-79,,
5:00.0,,,81-79,,Defensive rebound by Team
5:00.0,Loose ball foul by J. Valanciunas (drawn by D. Cousins),,81-79,,
5:00.0,J. Poeltl enters the game for J. Valanciunas,,81-79,,
4:37.0,,,81-79,,A. Davis misses 2-pt shot from 14 ft
4:33.0,Defensive rebound by S. Ibaka,,81-79,,
4:30.0,,,81-79,,Personal foul by J. Holiday (drawn by J. Poeltl)
4:30.0,,,81-79,,J. Nelson enters the game for D. Cousins
4:22.0,D. DeRozan makes 2-pt shot from 12 ft,2,83-79,,
3:59.0,,,83-79,,J. Nelson misses 3-pt shot from 26 ft
3:55.0,,,83-79,,Offensive rebound by A. Davis
3:52.0,,,83-82,3,D. Miller makes 3-pt shot from 26 ft (assist by D. Cunningham)
3:37.0,,,83-82,,Personal foul by D. Miller (drawn by J. Poeltl)
3:27.0,S. Ibaka makes 2-pt shot from 10 ft (assist by K. Lowry),2,85-82,,
3:13.0,,,85-82,,J. Holiday misses 3-pt shot from 25 ft
3:08.0,Defensive rebound by D. DeRozan,,85-82,,
3:02.0,D. DeRozan makes 2-pt shot from 8 ft,2,87-82,,
2:48.0,,,87-82,,D. Cunningham misses 3-pt shot from 24 ft
2:44.0,Defensive rebound by P. Siakam,,87-82,,
2:40.0,K. Lowry makes 3-pt shot from 24 ft (assist by P. Siakam),3,90-82,,
2:23.0,,,90-84,2,D. Miller makes 2-pt shot from 10 ft (assist by J. Nelson)
2:17.0,Turnover by K. Lowry (bad pass),,90-84,,
2:17.0,Toronto full timeout,,90-84,,
2:17.0,,,90-84,,C. Diallo enters the game for J. Holiday
2:17.0,,,90-84,,E. Moore enters the game for D. Cunningham
2:17.0,F. VanVleet enters the game for K. Lowry,,90-84,,
2:17.0,C. Miles enters the game for S. Ibaka,,90-84,,
2:03.0,,,90-86,2,J. Nelson makes 2-pt shot from 1 ft
1:42.0,Turnover by P. Siakam (bad pass; steal by A. Davis),,90-86,,
1:25.0,,,90-86,,J. Nelson misses 2-pt shot from 22 ft
1:19.0,,,90-86,,Offensive rebound by C. Diallo
1:18.0,,,90-86,,C. Diallo misses 2-pt shot from 2 ft
1:13.0,Defensive rebound by F. VanVleet,,90-86,,
1:11.0,D. DeRozan makes 2-pt shot from 1 ft,2,92-86,,
0:57.0,,,92-86,,E. Moore misses 2-pt shot from 4 ft (block by P. Siakam)
0:51.0,,,92-86,,Offensive rebound by E. Moore
0:49.0,,,92-86,,E. Moore misses 2-pt shot from 1 ft
0:48.0,Defensive rebound by D. DeRozan,,92-86,,
0:46.0,C. Miles makes 3-pt shot from 25 ft (assist by D. DeRozan),3,95-86,,
0:32.0,,,95-86,,A. Davis misses 2-pt shot from 7 ft
0:31.0,,,95-86,,Offensive rebound by Team
0:30.0,,,95-86,,C. Diallo misses 2-pt shot from 19 ft
0:25.0,Defensive rebound by D. DeRozan,,95-86,,
0:04.0,F. VanVleet makes 3-pt shot from 28 ft (assist by P. Siakam),3,98-86,,
0:00.0,,,98-86,,E. Moore misses 2-pt shot from 20 ft (block by J. Poeltl)
0:00.0,,,98-86,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,98-89,3,E. Moore makes 3-pt shot from 23 ft (assist by D. Cousins)
11:21.0,J. Poeltl misses 2-pt shot from 1 ft,,98-89,,
11:11.0,Offensive rebound by K. Lowry,,98-89,,
11:11.0,K. Lowry makes 2-pt shot at rim,2,100-89,,
10:59.0,Personal foul by J. Poeltl (drawn by D. Cousins),,100-89,,
10:47.0,,,100-91,2,E. Moore makes 2-pt shot from 10 ft (assist by D. Cousins)
10:28.0,,,100-91,,Personal foul by D. Miller (drawn by F. VanVleet)
10:22.0,J. Poeltl makes 2-pt shot at rim (assist by C. Miles),2,102-91,,
10:03.0,,,102-93,2,D. Cousins makes 2-pt shot from 2 ft
9:43.0,C. Miles makes 3-pt shot from 27 ft (assist by F. VanVleet),3,105-93,,
9:32.0,,,105-93,,E. Moore misses 2-pt shot from 2 ft (block by J. Poeltl)
9:28.0,Defensive rebound by Team,,105-93,,
9:24.0,,,105-93,,Shooting block foul by D. Miller (drawn by J. Poeltl)
9:24.0,J. Poeltl misses free throw 1 of 2,,105-93,,
9:24.0,Offensive rebound by Team,,105-93,,
9:24.0,,,105-93,,A. Davis enters the game for D. Miller
9:24.0,J. Poeltl makes free throw 2 of 2,1,106-93,,
9:11.0,,,106-93,,E. Moore misses 3-pt shot from 24 ft
9:06.0,Defensive rebound by K. Lowry,,106-93,,
8:59.0,P. Siakam misses 3-pt shot from 24 ft,,106-93,,
8:55.0,,,106-93,,Defensive rebound by J. Nelson
8:44.0,,,106-93,,A. Davis misses 2-pt shot from 4 ft
8:42.0,Defensive rebound by K. Lowry,,106-93,,
8:42.0,,,106-93,,Loose ball foul by A. Davis (drawn by K. Lowry)
8:31.0,F. VanVleet makes 2-pt shot at rim,2,108-93,,
8:21.0,,,108-93,,D. Cousins misses 2-pt shot from 1 ft (block by J. Poeltl)
8:21.0,Defensive rebound by C. Miles,,108-93,,
8:17.0,P. Siakam misses 2-pt shot from 2 ft,,108-93,,
8:17.0,,,108-93,,Defensive rebound by E. Moore
8:09.0,,,108-93,,E. Moore misses 3-pt shot from 25 ft
7:56.0,Defensive rebound by K. Lowry,,108-93,,
7:52.0,K. Lowry misses 3-pt shot from 23 ft,,108-93,,
7:46.0,,,108-93,,Defensive rebound by J. Holiday
7:46.0,Personal foul by F. VanVleet (drawn by A. Davis),,108-93,,
7:46.0,S. Ibaka enters the game for P. Siakam,,108-93,,
7:41.0,Personal foul by S. Ibaka (drawn by A. Davis),,108-93,,
7:28.0,,,108-93,,Turnover by A. Davis (lost ball; steal by F. VanVleet)
7:19.0,F. VanVleet makes 2-pt shot from 2 ft,2,110-93,,
7:18.0,,,110-93,,New Orleans full timeout
7:02.0,,,110-95,2,D. Cousins makes 2-pt shot from 2 ft
7:02.0,,,110-95,,Shooting foul by J. Poeltl (drawn by D. Cousins)
7:02.0,,,110-96,1,D. Cousins makes free throw 1 of 1
6:50.0,F. VanVleet misses 2-pt shot from 15 ft,,110-96,,
6:45.0,,,110-96,,Defensive rebound by D. Cousins
6:41.0,,,110-96,,Turnover by J. Nelson (lost ball; steal by S. Ibaka)
6:35.0,C. Miles misses 3-pt shot from 26 ft,,110-96,,
6:30.0,,,110-96,,Defensive rebound by A. Davis
6:27.0,,,110-96,,Shooting foul by S. Ibaka (drawn by A. Davis)
6:27.0,,,110-97,1,A. Davis makes free throw 1 of 2
6:27.0,D. DeRozan enters the game for C. Miles,,110-97,,
6:27.0,J. Valanciunas enters the game for J. Poeltl,,110-97,,
6:27.0,,,110-98,1,A. Davis makes free throw 2 of 2
6:14.0,,,110-98,,Personal foul by J. Holiday (drawn by K. Lowry)
6:03.0,F. VanVleet misses 2-pt shot from 1 ft,,110-98,,
5:57.0,Offensive rebound by J. Valanciunas,,110-98,,
5:57.0,J. Valanciunas makes 2-pt shot at rim,2,112-98,,
5:48.0,,,112-98,,D. Cousins misses 3-pt shot from 26 ft
5:42.0,,,112-98,,Offensive rebound by J. Holiday
5:41.0,,,112-100,2,J. Holiday makes 2-pt shot from 2 ft
5:27.0,Turnover by D. DeRozan (lost ball; steal by A. Davis),,112-100,,
5:19.0,,,112-100,,A. Davis misses 2-pt shot from 2 ft (block by S. Ibaka)
5:11.0,Defensive rebound by J. Valanciunas,,112-100,,
5:06.0,S. Ibaka misses 3-pt shot from 23 ft,,112-100,,
5:00.0,,,112-100,,Defensive rebound by J. Nelson
4:51.0,,,112-100,,Offensive charge foul by D. Cousins (drawn by J. Valanciunas)
4:51.0,,,112-100,,Turnover by D. Cousins (offensive foul)
4:51.0,Toronto full timeout,,112-100,,
4:36.0,D. DeRozan makes 2-pt shot from 9 ft,2,114-100,,
4:20.0,,,114-103,3,D. Cousins makes 3-pt shot from 24 ft (assist by J. Holiday)
4:00.0,D. DeRozan misses 2-pt shot from 17 ft,,114-103,,
3:56.0,,,114-103,,Defensive rebound by J. Nelson
3:49.0,,,114-103,,A. Davis misses 2-pt shot from 17 ft
3:44.0,Defensive rebound by K. Lowry,,114-103,,
3:38.0,Shooting foul by A. Davis (drawn by J. Valanciunas),,114-103,,
3:38.0,J. Valanciunas makes free throw 1 of 2,1,115-103,,
3:38.0,J. Valanciunas makes free throw 2 of 2,1,116-103,,
3:20.0,,,116-103,,J. Nelson misses 3-pt shot from 24 ft
3:17.0,Defensive rebound by J. Valanciunas,,116-103,,
3:13.0,K. Lowry makes 3-pt shot from 26 ft (assist by F. VanVleet),3,119-103,,
2:56.0,,,119-103,,J. Holiday misses 2-pt shot from 7 ft
2:53.0,Defensive rebound by J. Valanciunas,,119-103,,
2:48.0,Turnover by K. Lowry (bad pass; steal by J. Nelson),,119-103,,
2:46.0,,,119-105,2,E. Moore makes 2-pt shot from 2 ft (assist by J. Nelson)
2:19.0,D. DeRozan misses 2-pt shot from 22 ft,,119-105,,
2:16.0,Offensive rebound by K. Lowry,,119-105,,
2:10.0,Shooting foul by E. Moore (drawn by K. Lowry),,119-105,,
2:10.0,K. Lowry makes free throw 1 of 2,1,120-105,,
2:10.0,,,120-105,,J. Jones enters the game for D. Cousins
2:10.0,,,120-105,,C. Diallo enters the game for J. Holiday
2:10.0,,,120-105,,D. Miller enters the game for A. Davis
2:10.0,,,120-105,,C. Cooke enters the game for E. Moore
2:10.0,A. McKinnie enters the game for D. DeRozan,,120-105,,
