time,Toronto,pts.away,score,pts.home,Boston
0:32.0,D. DeRozan makes 2-pt shot from 2 ft (assist by K. Lowry),2,55-51,,
0:18.0,,,55-53,2,J. Tatum makes 2-pt shot from 7 ft
0:01.0,K. Lowry misses 3-pt shot from 22 ft,,55-53,,
0:00.0,,,55-53,,Defensive rebound by J. Tatum
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,Offensive charge foul by S. Ibaka (drawn by A. Baynes),,55-53,,
11:41.0,Turnover by S. Ibaka (offensive foul),,55-53,,
11:24.0,,,55-53,,A. Horford misses 3-pt shot from 23 ft
11:24.0,Defensive rebound by K. Lowry,,55-53,,
11:19.0,K. Lowry makes 2-pt shot from 1 ft,2,57-53,,
11:19.0,,,57-53,,Violation by A. Horford (def goaltending)
11:06.0,,,57-53,,Shooting foul by O. Anunoby (drawn by J. Tatum)
11:06.0,,,57-54,1,J. Tatum makes free throw 1 of 2
11:06.0,,,57-55,1,J. Tatum makes free throw 2 of 2
10:46.0,Shooting foul by A. Baynes (drawn by O. Anunoby),,57-55,,
10:46.0,O. Anunoby misses free throw 1 of 2,,57-55,,
10:46.0,Offensive rebound by Team,,57-55,,
10:46.0,O. Anunoby makes free throw 2 of 2,1,58-55,,
10:35.0,,,58-55,,Shooting foul by S. Ibaka (drawn by A. Horford)
10:35.0,,,58-56,1,A. Horford makes free throw 1 of 2
10:35.0,,,58-57,1,A. Horford makes free throw 2 of 2
10:24.0,D. DeRozan makes 2-pt shot from 11 ft (assist by K. Lowry),2,60-57,,
10:12.0,,,60-57,,J. Brown misses 2-pt shot from 10 ft
10:10.0,Defensive rebound by S. Ibaka,,60-57,,
10:01.0,K. Lowry misses 3-pt shot from 24 ft,,60-57,,
10:01.0,Offensive rebound by J. Valanciunas,,60-57,,
10:01.0,,,60-57,,Personal foul by J. Brown (drawn by J. Valanciunas)
9:56.0,D. DeRozan makes 2-pt shot from 10 ft (assist by K. Lowry),2,62-57,,
9:40.0,,,62-57,,T. Rozier misses 2-pt shot from 11 ft
9:40.0,Defensive rebound by Team,,62-57,,
9:40.0,,,62-57,,Personal foul by A. Horford (drawn by S. Ibaka)
9:22.0,J. Valanciunas misses 2-pt shot from 2 ft,,62-57,,
9:19.0,,,62-57,,Defensive rebound by J. Tatum
9:17.0,,,62-59,2,J. Tatum makes 2-pt shot from 2 ft
9:17.0,Violation by S. Ibaka (def goaltending),,62-59,,
8:57.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by O. Anunoby),2,64-59,,
8:41.0,,,64-59,,A. Horford misses 2-pt shot from 4 ft (block by J. Valanciunas)
8:38.0,Defensive rebound by J. Valanciunas,,64-59,,
8:32.0,D. DeRozan misses 3-pt shot from 24 ft,,64-59,,
8:29.0,,,64-59,,Defensive rebound by J. Tatum
8:29.0,,,64-59,,T. Rozier misses 3-pt shot from 25 ft
8:28.0,,,64-59,,Offensive rebound by A. Baynes
8:28.0,,,64-59,,A. Baynes misses 2-pt shot from 2 ft
8:28.0,Defensive rebound by K. Lowry,,64-59,,
8:17.0,O. Anunoby misses 3-pt shot from 24 ft,,64-59,,
8:17.0,Offensive rebound by S. Ibaka,,64-59,,
8:17.0,S. Ibaka misses 2-pt shot from 8 ft,,64-59,,
8:17.0,Offensive rebound by J. Valanciunas,,64-59,,
8:13.0,Shooting foul by A. Baynes (drawn by J. Valanciunas),,64-59,,
8:13.0,J. Valanciunas makes free throw 1 of 2,1,65-59,,
8:13.0,J. Valanciunas misses free throw 2 of 2,,65-59,,
8:10.0,,,65-59,,Defensive rebound by A. Baynes
7:49.0,,,65-59,,J. Brown misses 3-pt shot from 26 ft
7:45.0,Defensive rebound by S. Ibaka,,65-59,,
7:41.0,Turnover by D. DeRozan (traveling),,65-59,,
7:26.0,,,65-61,2,J. Tatum makes 2-pt shot from 17 ft (assist by A. Baynes)
7:09.0,O. Anunoby makes 2-pt shot from 1 ft (assist by K. Lowry),2,67-61,,
6:52.0,,,67-61,,Boston full timeout
6:52.0,,,67-61,,M. Morris enters the game for J. Brown
6:52.0,,,67-61,,A. Nader enters the game for A. Horford
6:37.0,,,67-61,,M. Morris misses 3-pt shot from 26 ft
6:34.0,,,67-61,,Offensive rebound by T. Rozier
6:32.0,,,67-64,3,J. Tatum makes 3-pt shot from 26 ft (assist by T. Rozier)
6:13.0,D. DeRozan makes 2-pt shot from 20 ft,2,69-64,,
5:53.0,,,69-64,,A. Nader misses 2-pt shot from 8 ft (block by S. Ibaka)
5:53.0,,,69-64,,Offensive rebound by Team
5:48.0,,,69-66,2,M. Morris makes 2-pt shot from 3 ft (assist by J. Tatum)
5:48.0,,,69-66,,Shooting foul by J. Valanciunas (drawn by M. Morris)
5:48.0,,,69-67,1,M. Morris makes free throw 1 of 1
5:30.0,S. Ibaka makes 3-pt shot from 24 ft (assist by D. DeRozan),3,72-67,,
5:21.0,,,72-70,3,J. Tatum makes 3-pt shot from 26 ft (assist by M. Morris)
5:08.0,,,72-70,,Personal foul by J. Tatum (drawn by D. DeRozan)
5:08.0,D. DeRozan makes free throw 1 of 2,1,73-70,,
5:08.0,D. DeRozan makes free throw 2 of 2,1,74-70,,
5:00.0,,,74-70,,Shooting foul by K. Lowry (drawn by T. Rozier)
5:00.0,,,74-71,1,T. Rozier makes free throw 1 of 2
5:00.0,,,74-71,,T. Rozier misses free throw 2 of 2
4:57.0,Defensive rebound by S. Ibaka,,74-71,,
4:34.0,K. Lowry misses 3-pt shot from 32 ft,,74-71,,
4:30.0,,,74-71,,Defensive rebound by M. Morris
4:21.0,,,74-73,2,M. Morris makes 2-pt shot from 13 ft
4:21.0,,,74-73,,Shooting foul by S. Ibaka (drawn by M. Morris)
4:21.0,,,74-74,1,M. Morris makes free throw 1 of 1
4:21.0,Toronto full timeout,,74-74,,
4:21.0,P. Siakam enters the game for O. Anunoby,,74-74,,
4:21.0,J. Poeltl enters the game for S. Ibaka,,74-74,,
4:21.0,C. Miles enters the game for J. Valanciunas,,74-74,,
3:57.0,D. DeRozan misses 3-pt shot from 25 ft,,74-74,,
3:57.0,,,74-74,,Defensive rebound by Team
3:57.0,Personal foul by P. Siakam (drawn by A. Nader),,74-74,,
3:57.0,,,74-75,1,A. Nader makes free throw 1 of 2
3:57.0,,,74-76,1,A. Nader makes free throw 2 of 2
3:43.0,C. Miles misses 3-pt shot from 24 ft,,74-76,,
3:41.0,,,74-76,,Defensive rebound by J. Tatum
3:30.0,,,74-76,,T. Rozier misses 2-pt shot from 4 ft (block by J. Poeltl)
3:26.0,Defensive rebound by C. Miles,,74-76,,
3:16.0,K. Lowry misses 3-pt shot from 24 ft,,74-76,,
3:13.0,,,74-76,,Defensive rebound by M. Morris
2:58.0,,,74-76,,M. Morris misses 3-pt shot from 27 ft
2:55.0,Defensive rebound by C. Miles,,74-76,,
2:49.0,C. Miles misses 2-pt shot from 2 ft,,74-76,,
2:47.0,,,74-76,,Defensive rebound by J. Tatum
2:40.0,,,74-76,,A. Nader misses 3-pt shot from 25 ft
2:37.0,Defensive rebound by P. Siakam,,74-76,,
2:26.0,Shooting foul by A. Baynes (drawn by D. DeRozan),,74-76,,
2:26.0,D. DeRozan makes free throw 1 of 2,1,75-76,,
2:26.0,,,75-76,,G. Monroe enters the game for T. Rozier
2:26.0,,,75-76,,A. Horford enters the game for A. Baynes
2:26.0,F. VanVleet enters the game for K. Lowry,,75-76,,
2:26.0,D. DeRozan makes free throw 2 of 2,1,76-76,,
2:09.0,,,76-76,,Shooting foul by C. Miles (drawn by M. Morris)
2:09.0,,,76-77,1,M. Morris makes free throw 1 of 2
2:09.0,,,76-78,1,M. Morris makes free throw 2 of 2
1:59.0,Turnover by C. Miles (turnover),,76-78,,
1:48.0,,,76-78,,J. Tatum misses 2-pt shot from 2 ft
1:47.0,Defensive rebound by D. DeRozan,,76-78,,
1:34.0,Shooting foul by A. Nader (drawn by D. DeRozan),,76-78,,
1:34.0,D. DeRozan makes free throw 1 of 2,1,77-78,,
1:34.0,D. DeRozan misses free throw 2 of 2,,77-78,,
1:31.0,,,77-78,,Defensive rebound by G. Monroe
1:16.0,,,77-80,2,G. Monroe makes 2-pt shot from 2 ft
1:04.0,Shooting foul by A. Nader (drawn by C. Miles),,77-80,,
1:04.0,C. Miles makes free throw 1 of 3,1,78-80,,
1:04.0,C. Miles makes free throw 2 of 3,1,79-80,,
1:04.0,C. Miles makes free throw 3 of 3,1,80-80,,
0:51.0,,,80-82,2,J. Tatum makes 2-pt shot from 2 ft
0:29.0,D. DeRozan makes 2-pt shot from 9 ft (assist by F. VanVleet),2,82-82,,
0:14.0,,,82-82,,G. Monroe misses 2-pt shot from 2 ft
0:12.0,Defensive rebound by J. Poeltl,,82-82,,
0:00.0,D. DeRozan makes 2-pt shot from 2 ft,2,84-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,84-82,,Turnover by G. Monroe (traveling)
11:22.0,Turnover by C. Miles (lost ball; steal by A. Horford),,84-82,,
11:18.0,,,84-84,2,T. Rozier makes 2-pt shot from 1 ft
11:11.0,P. Siakam makes 2-pt shot at rim (assist by F. VanVleet),2,86-84,,
10:49.0,,,86-84,,Shooting foul by C. Miles (drawn by M. Morris)
10:49.0,,,86-85,1,M. Morris makes free throw 1 of 2
10:49.0,,,86-86,1,M. Morris makes free throw 2 of 2
10:34.0,C. Miles misses 3-pt shot from 24 ft,,86-86,,
10:30.0,,,86-86,,Defensive rebound by T. Rozier
10:23.0,,,86-88,2,A. Horford makes 2-pt shot from 5 ft (assist by T. Rozier)
9:59.0,D. Wright misses 3-pt shot from 24 ft,,86-88,,
9:56.0,,,86-88,,Defensive rebound by G. Monroe
9:35.0,,,86-88,,A. Horford misses 2-pt shot from 8 ft
9:32.0,Defensive rebound by C. Miles,,86-88,,
9:29.0,F. VanVleet makes 2-pt shot from 3 ft,2,88-88,,
9:29.0,,,88-88,,Violation by A. Horford (def goaltending)
9:12.0,,,88-90,2,M. Morris makes 2-pt shot from 7 ft
9:01.0,,,88-90,,Personal foul by G. Monroe (drawn by C. Miles)
8:57.0,D. Wright misses 2-pt shot from 3 ft,,88-90,,
8:56.0,,,88-90,,Defensive rebound by A. Horford
8:48.0,,,88-92,2,T. Rozier makes 2-pt shot from 7 ft
8:43.0,Toronto full timeout,,88-92,,
8:43.0,,,88-92,,J. Brown enters the game for A. Horford
8:43.0,N. Powell enters the game for C. Miles,,88-92,,
8:43.0,S. Ibaka enters the game for P. Siakam,,88-92,,
8:28.0,N. Powell makes 2-pt shot from 8 ft (assist by F. VanVleet),2,90-92,,
8:11.0,,,90-92,,T. Rozier misses 3-pt shot from 27 ft
8:09.0,Defensive rebound by S. Ibaka,,90-92,,
7:46.0,S. Ibaka makes 2-pt shot from 12 ft,2,92-92,,
7:26.0,,,92-92,,J. Brown misses 2-pt shot from 2 ft
7:26.0,Defensive rebound by Team,,92-92,,
7:26.0,,,92-92,,Loose ball foul by G. Monroe (drawn by S. Ibaka)
7:16.0,,,92-92,,Personal foul by J. Brown (drawn by J. Poeltl)
7:02.0,N. Powell misses 3-pt shot from 25 ft,,92-92,,
7:00.0,Offensive rebound by S. Ibaka,,92-92,,
6:55.0,J. Poeltl misses 2-pt shot from 5 ft (block by J. Brown),,92-92,,
6:49.0,Offensive rebound by N. Powell,,92-92,,
6:45.0,F. VanVleet misses 3-pt shot from 22 ft,,92-92,,
6:39.0,,,92-92,,Defensive rebound by M. Morris
6:35.0,,,92-92,,T. Rozier misses 2-pt shot from 12 ft
6:32.0,Defensive rebound by D. Wright,,92-92,,
6:32.0,Offensive charge foul by D. Wright (drawn by T. Rozier),,92-92,,
6:32.0,Turnover by D. Wright (offensive foul),,92-92,,
6:32.0,,,92-92,,J. Tatum enters the game for T. Rozier
6:32.0,D. DeRozan enters the game for D. Wright,,92-92,,
6:32.0,K. Lowry enters the game for F. VanVleet,,92-92,,
6:21.0,,,92-94,2,J. Brown makes 2-pt shot from 2 ft
5:59.0,D. DeRozan misses 2-pt shot from 14 ft,,92-94,,
5:58.0,,,92-94,,Defensive rebound by Team
5:58.0,Loose ball foul by S. Ibaka (drawn by S. Ojeleye),,92-94,,
5:58.0,J. Valanciunas enters the game for S. Ibaka,,92-94,,
5:44.0,,,92-94,,M. Morris misses 3-pt shot from 26 ft
5:43.0,,,92-94,,Offensive rebound by G. Monroe
5:42.0,,,92-94,,Boston full timeout
5:42.0,P. Siakam enters the game for J. Poeltl,,92-94,,
5:31.0,,,92-94,,J. Tatum misses 2-pt shot from 12 ft
5:28.0,Defensive rebound by P. Siakam,,92-94,,
5:26.0,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry),2,94-94,,
5:13.0,Personal foul by N. Powell (drawn by J. Tatum),,94-94,,
5:13.0,,,94-94,,A. Horford enters the game for S. Ojeleye
5:13.0,,,94-94,,T. Rozier enters the game for G. Monroe
5:05.0,,,94-96,2,A. Horford makes 2-pt shot from 1 ft (assist by T. Rozier)
5:05.0,,,94-96,,Shooting foul by D. DeRozan (drawn by A. Horford)
5:05.0,,,94-97,1,A. Horford makes free throw 1 of 1
4:40.0,N. Powell misses 3-pt shot from 24 ft,,94-97,,
4:38.0,,,94-97,,Defensive rebound by M. Morris
4:36.0,,,94-97,,J. Tatum misses 2-pt shot from 2 ft
4:33.0,Defensive rebound by D. DeRozan,,94-97,,
4:33.0,Turnover by D. DeRozan (bad pass),,94-97,,
4:18.0,,,94-100,3,M. Morris makes 3-pt shot from 26 ft (assist by T. Rozier)
4:06.0,P. Siakam misses 2-pt shot from 3 ft (block by M. Morris),,94-100,,
4:05.0,Offensive rebound by Team,,94-100,,
4:05.0,S. Ibaka enters the game for J. Valanciunas,,94-100,,
3:56.0,Turnover by P. Siakam (lost ball; steal by J. Brown),,94-100,,
