time,Utah,pts.away,score,pts.home,New York
3:13.0,,,25-23,,Personal foul by T. Hardaway (drawn by T. Sefolosha)
3:13.0,Utah full timeout,,25-23,,
3:13.0,,,25-23,,F. Ntilikina enters the game for J. Jack
2:56.0,R. Hood misses 3-pt shot from 25 ft,,25-23,,
2:55.0,Offensive rebound by T. Sefolosha,,25-23,,
2:41.0,D. Mitchell misses 2-pt shot from 2 ft (block by K. Porzingis),,25-23,,
2:40.0,,,25-23,,Defensive rebound by K. O'Quinn
2:26.0,,,25-23,,Turnover by K. O'Quinn (bad pass; steal by A. Burks)
2:23.0,Shooting foul by K. O'Quinn (drawn by T. Sefolosha),,25-23,,
2:23.0,,,25-23,,L. Thomas enters the game for K. Porzingis
2:23.0,R. Rubio enters the game for D. Mitchell,,25-23,,
2:23.0,T. Sefolosha makes free throw 1 of 2,1,26-23,,
2:23.0,T. Sefolosha makes free throw 2 of 2,1,27-23,,
2:03.0,,,27-23,,L. Thomas misses 2-pt shot from 6 ft
2:02.0,Defensive rebound by A. Burks,,27-23,,
1:50.0,Turnover by A. Burks (bad pass; steal by K. O'Quinn),,27-23,,
1:39.0,,,27-23,,K. O'Quinn misses 2-pt shot from 5 ft (block by E. Udoh)
1:38.0,,,27-23,,Offensive rebound by K. O'Quinn
1:37.0,,,27-25,2,K. O'Quinn makes 2-pt shot from 2 ft
1:25.0,R. Hood misses 2-pt shot from 1 ft,,27-25,,
1:24.0,,,27-25,,Defensive rebound by D. McDermott
1:21.0,,,27-25,,Shooting foul by A. Burks (drawn by T. Hardaway)
1:21.0,,,27-26,1,T. Hardaway makes free throw 1 of 2
1:21.0,,,27-27,1,T. Hardaway makes free throw 2 of 2
1:15.0,,,27-27,,Personal foul by F. Ntilikina (drawn by R. Rubio)
1:02.0,T. Sefolosha misses 2-pt shot from 6 ft (block by K. O'Quinn),,27-27,,
1:01.0,,,27-27,,Defensive rebound by T. Hardaway
0:53.0,,,27-27,,T. Hardaway misses 3-pt shot from 25 ft
0:52.0,Defensive rebound by T. Sefolosha,,27-27,,
0:38.0,R. Hood makes 3-pt shot from 23 ft (assist by T. Sefolosha),3,30-27,,
0:23.0,,,30-27,,F. Ntilikina misses 2-pt shot from 22 ft
0:21.0,Defensive rebound by A. Burks,,30-27,,
0:02.0,R. Hood misses 3-pt shot from 25 ft,,30-27,,
0:00.0,,,30-27,,Defensive rebound by D. McDermott
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Shooting foul by K. O'Quinn (drawn by A. Burks),,30-27,,
11:49.0,A. Burks makes free throw 1 of 2,1,31-27,,
11:49.0,A. Burks makes free throw 2 of 2,1,32-27,,
11:31.0,,,32-27,,C. Lee misses 2-pt shot from 10 ft
11:30.0,Defensive rebound by A. Burks,,32-27,,
11:16.0,Shooting foul by C. Lee (drawn by R. Rubio),,32-27,,
11:16.0,R. Rubio makes free throw 1 of 2,1,33-27,,
11:16.0,R. Rubio makes free throw 2 of 2,1,34-27,,
11:05.0,,,34-27,,F. Ntilikina misses 2-pt shot from 11 ft
11:03.0,Defensive rebound by A. Burks,,34-27,,
10:46.0,,,34-27,,Personal foul by F. Ntilikina (drawn by T. Sefolosha)
10:39.0,R. Hood misses 2-pt shot from 19 ft,,34-27,,
10:38.0,,,34-27,,Defensive rebound by D. McDermott
10:27.0,,,34-27,,Turnover by C. Lee (bad pass; steal by T. Sefolosha)
10:20.0,Turnover by T. Sefolosha (bad pass; steal by F. Ntilikina),,34-27,,
10:11.0,,,34-30,3,D. McDermott makes 3-pt shot from 22 ft (assist by L. Thomas)
9:56.0,R. Rubio misses 2-pt shot from 18 ft,,34-30,,
9:55.0,,,34-30,,Defensive rebound by K. O'Quinn
9:43.0,,,34-32,2,F. Ntilikina makes 2-pt shot from 19 ft
9:40.0,Utah full timeout,,34-32,,
9:40.0,J. Jerebko enters the game for T. Sefolosha,,34-32,,
9:24.0,J. Jerebko makes 3-pt shot from 26 ft (assist by R. Hood),3,37-32,,
9:00.0,,,37-32,,C. Lee misses 2-pt shot from 3 ft (block by R. Hood)
8:59.0,,,37-32,,Offensive rebound by C. Lee
8:58.0,,,37-32,,Turnover by C. Lee (bad pass)
8:37.0,Turnover by E. Udoh (lost ball; steal by K. O'Quinn),,37-32,,
8:36.0,Personal foul by R. Hood (drawn by F. Ntilikina),,37-32,,
8:36.0,D. Mitchell enters the game for R. Hood,,37-32,,
8:36.0,D. Favors enters the game for E. Udoh,,37-32,,
8:20.0,,,37-32,,Turnover by F. Ntilikina (bad pass; steal by D. Favors)
8:19.0,,,37-32,,Personal foul by F. Ntilikina (drawn by A. Burks)
8:19.0,,,37-32,,J. Jack enters the game for F. Ntilikina
8:19.0,,,37-32,,K. Porzingis enters the game for L. Thomas
8:07.0,D. Favors misses 2-pt shot from 5 ft,,37-32,,
8:04.0,,,37-32,,Defensive rebound by K. Porzingis
7:45.0,,,37-32,,J. Jack misses 2-pt shot from 21 ft
7:44.0,Defensive rebound by D. Favors,,37-32,,
7:33.0,Offensive foul by D. Favors (drawn by K. Porzingis),,37-32,,
7:33.0,Turnover by D. Favors (offensive foul),,37-32,,
7:25.0,,,37-32,,E. Kanter enters the game for K. O'Quinn
7:22.0,Personal foul by J. Jerebko (drawn by K. Porzingis),,37-32,,
7:07.0,,,37-32,,C. Lee misses 3-pt shot from 22 ft
7:06.0,Defensive rebound by D. Favors,,37-32,,
6:44.0,A. Burks misses 2-pt shot from 3 ft,,37-32,,
6:43.0,Offensive rebound by D. Favors,,37-32,,
6:43.0,D. Favors misses 2-pt shot at rim,,37-32,,
6:42.0,Offensive rebound by Team,,37-32,,
6:42.0,J. Ingles enters the game for A. Burks,,37-32,,
6:38.0,D. Favors misses 2-pt shot from 3 ft,,37-32,,
6:37.0,,,37-32,,Defensive rebound by D. McDermott
6:28.0,,,37-34,2,K. Porzingis makes 2-pt shot from 12 ft
6:15.0,Turnover by D. Favors (traveling),,37-34,,
6:02.0,,,37-36,2,K. Porzingis makes 2-pt shot from 15 ft
5:53.0,Utah full timeout,,37-36,,
5:44.0,J. Ingles makes 2-pt shot from 2 ft (assist by D. Mitchell),2,39-36,,
5:20.0,,,39-36,,K. Porzingis misses 2-pt shot from 13 ft
5:19.0,,,39-36,,Offensive rebound by C. Lee
5:15.0,,,39-38,2,J. Jack makes 2-pt shot from 18 ft (assist by C. Lee)
4:59.0,J. Jerebko makes 3-pt shot from 23 ft (assist by D. Mitchell),3,42-38,,
4:38.0,,,42-38,,Turnover by K. Porzingis (lost ball; steal by R. Rubio)
4:38.0,,,42-38,,Personal foul by K. Porzingis (drawn by R. Rubio)
4:38.0,R. Rubio makes free throw 1 of 2,1,43-38,,
4:38.0,R. Rubio makes free throw 2 of 2,1,44-38,,
4:19.0,,,44-38,,D. McDermott misses 3-pt shot from 26 ft
4:18.0,Defensive rebound by J. Jerebko,,44-38,,
4:08.0,J. Jerebko makes 3-pt shot from 25 ft (assist by R. Rubio),3,47-38,,
4:07.0,,,47-38,,New York full timeout
4:07.0,,,47-38,,T. Hardaway enters the game for D. McDermott
4:07.0,R. Hood enters the game for R. Rubio,,47-38,,
3:55.0,,,47-40,2,E. Kanter makes 2-pt shot from 7 ft (assist by C. Lee)
3:55.0,,,47-40,,Shooting foul by D. Favors (drawn by E. Kanter)
3:55.0,,,47-41,1,E. Kanter makes free throw 1 of 1
3:43.0,D. Mitchell makes 3-pt shot from 25 ft (assist by D. Favors),3,50-41,,
3:22.0,,,50-44,3,T. Hardaway makes 3-pt shot from 25 ft (assist by K. Porzingis)
3:02.0,D. Favors makes 2-pt shot at rim (assist by J. Ingles),2,52-44,,
2:43.0,,,52-46,2,K. Porzingis makes 2-pt shot from 1 ft
2:29.0,,,52-46,,Personal foul by T. Hardaway (drawn by R. Hood)
2:29.0,R. Hood makes free throw 1 of 2,1,53-46,,
2:29.0,R. Hood makes free throw 2 of 2,1,54-46,,
2:08.0,,,54-48,2,T. Hardaway makes 2-pt shot from 1 ft (assist by K. Porzingis)
1:47.0,D. Mitchell makes 3-pt shot from 26 ft,3,57-48,,
1:33.0,,,57-48,,Turnover by K. Porzingis (traveling)
1:33.0,R. Rubio enters the game for J. Ingles,,57-48,,
1:14.0,D. Mitchell makes 3-pt shot from 22 ft (assist by R. Hood),3,60-48,,
0:55.0,,,60-50,2,C. Lee makes 2-pt shot from 7 ft (assist by J. Jack)
0:39.0,D. Favors misses 2-pt shot from 10 ft,,60-50,,
0:38.0,Offensive rebound by J. Jerebko,,60-50,,
0:34.0,J. Jerebko misses 3-pt shot from 24 ft,,60-50,,
0:33.0,,,60-50,,Defensive rebound by E. Kanter
0:17.0,,,60-50,,J. Jack misses 2-pt shot from 15 ft
0:16.0,,,60-50,,Offensive rebound by E. Kanter
0:12.0,,,60-50,,E. Kanter misses 2-pt shot from 1 ft
0:11.0,,,60-50,,Offensive rebound by K. Porzingis
0:10.0,,,60-50,,K. Porzingis misses 2-pt shot from 2 ft
0:09.0,Defensive rebound by D. Favors,,60-50,,
0:07.0,Turnover by D. Favors (bad pass),,60-50,,
0:05.0,Personal foul by R. Rubio (drawn by J. Jack),,60-50,,
0:05.0,T. Sefolosha enters the game for D. Mitchell,,60-50,,
0:00.0,,,60-50,,C. Lee misses 2-pt shot from 22 ft
0:00.0,,,60-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,R. Rubio misses 2-pt shot from 15 ft,,60-50,,
11:42.0,,,60-50,,Defensive rebound by E. Kanter
11:19.0,,,60-50,,C. Lee misses 2-pt shot from 20 ft
11:18.0,,,60-50,,Offensive rebound by K. Porzingis
11:07.0,,,60-52,2,K. Porzingis makes 2-pt shot from 17 ft
10:49.0,J. Jerebko misses 2-pt shot from 2 ft (block by K. Porzingis),,60-52,,
10:48.0,Offensive rebound by J. Jerebko,,60-52,,
10:47.0,J. Jerebko misses 2-pt shot from 3 ft,,60-52,,
10:46.0,D. Favors misses 2-pt shot at rim,,60-52,,
10:46.0,Offensive rebound by D. Favors,,60-52,,
10:45.0,,,60-52,,Defensive rebound by K. Porzingis
10:38.0,,,60-52,,C. Lee misses 3-pt shot from 24 ft
10:37.0,,,60-52,,Offensive rebound by Team
10:31.0,,,60-55,3,C. Lee makes 3-pt shot from 23 ft (assist by J. Jack)
10:16.0,J. Jerebko misses 3-pt shot from 26 ft,,60-55,,
10:15.0,,,60-55,,Defensive rebound by T. Hardaway
10:08.0,,,60-57,2,T. Hardaway makes 2-pt shot at rim
9:56.0,R. Hood enters the game for D. Mitchell,,60-57,,
9:46.0,R. Hood misses 3-pt shot from 22 ft,,60-57,,
9:45.0,Offensive rebound by D. Favors,,60-57,,
9:34.0,R. Hood makes 3-pt shot from 25 ft (assist by J. Ingles),3,63-57,,
9:10.0,,,63-59,2,K. Porzingis makes 2-pt shot from 16 ft
8:52.0,,,63-59,,Personal foul by E. Kanter (drawn by D. Favors)
8:41.0,R. Rubio makes 3-pt shot from 25 ft (assist by D. Favors),3,66-59,,
8:29.0,,,66-59,,Turnover by J. Jack (bad pass)
8:11.0,R. Rubio misses 3-pt shot from 24 ft,,66-59,,
8:09.0,,,66-59,,Defensive rebound by C. Lee
8:04.0,Personal foul by R. Rubio (drawn by K. Porzingis),,66-59,,
7:56.0,,,66-61,2,E. Kanter makes 2-pt shot from 8 ft
7:36.0,D. Favors misses 2-pt shot from 4 ft,,66-61,,
7:35.0,,,66-61,,Defensive rebound by K. Porzingis
7:28.0,,,66-63,2,E. Kanter makes 2-pt shot at rim (assist by J. Jack)
7:11.0,,,66-63,,Personal foul by J. Jack (drawn by D. Favors)
7:00.0,R. Hood makes 2-pt shot from 5 ft,2,68-63,,
6:44.0,,,68-63,,T. Hardaway misses 3-pt shot from 25 ft
6:43.0,Defensive rebound by J. Jerebko,,68-63,,
6:24.0,R. Rubio makes 2-pt shot from 18 ft,2,70-63,,
6:17.0,,,70-63,,New York full timeout
6:17.0,T. Sefolosha enters the game for R. Rubio,,70-63,,
6:17.0,D. Mitchell enters the game for J. Jerebko,,70-63,,
6:10.0,,,70-63,,K. Porzingis misses 2-pt shot from 17 ft
6:10.0,Defensive rebound by J. Ingles,,70-63,,
5:47.0,R. Hood makes 3-pt shot from 26 ft,3,73-63,,
5:23.0,,,73-63,,C. Lee misses 2-pt shot from 20 ft
5:23.0,Defensive rebound by J. Ingles,,73-63,,
5:08.0,D. Favors makes 2-pt shot from 1 ft (assist by D. Mitchell),2,75-63,,
4:49.0,,,75-65,2,C. Lee makes 2-pt shot from 1 ft (assist by E. Kanter)
4:26.0,D. Mitchell misses 3-pt shot from 27 ft,,75-65,,
4:25.0,,,75-65,,Defensive rebound by K. Porzingis
4:13.0,,,75-67,2,J. Jack makes 2-pt shot from 9 ft
3:50.0,Turnover by T. Sefolosha (bad pass),,75-67,,
3:39.0,,,75-70,3,C. Lee makes 3-pt shot from 26 ft (assist by T. Hardaway)
3:31.0,Utah full timeout,,75-70,,
3:31.0,A. Burks enters the game for D. Favors,,75-70,,
3:31.0,E. Udoh enters the game for J. Ingles,,75-70,,
3:15.0,R. Hood makes 3-pt shot from 26 ft,3,78-70,,
3:00.0,,,78-70,,K. Porzingis misses 3-pt shot from 25 ft
2:59.0,Defensive rebound by D. Mitchell,,78-70,,
2:51.0,Turnover by D. Mitchell (bad pass),,78-70,,
2:51.0,,,78-70,,K. O'Quinn enters the game for E. Kanter
2:38.0,,,78-72,2,K. Porzingis makes 2-pt shot from 11 ft
2:14.0,R. Hood makes 2-pt shot from 18 ft,2,80-72,,
1:59.0,,,80-72,,Shooting foul by R. Hood (drawn by C. Lee)
1:59.0,,,80-73,1,C. Lee makes free throw 1 of 2
1:59.0,,,80-74,1,C. Lee makes free throw 2 of 2
1:41.0,Shooting foul by K. O'Quinn (drawn by R. Hood),,80-74,,
1:41.0,R. Hood misses free throw 1 of 3,,80-74,,
1:41.0,Offensive rebound by Team,,80-74,,
1:41.0,R. Hood makes free throw 2 of 3,1,81-74,,
1:41.0,R. Hood makes free throw 3 of 3,1,82-74,,
1:27.0,,,82-74,,Turnover by J. Jack (bad pass; steal by T. Sefolosha)
1:20.0,T. Sefolosha misses 3-pt shot from 24 ft,,82-74,,
1:19.0,,,82-74,,Defensive rebound by Team
1:05.0,,,82-74,,T. Hardaway misses 2-pt shot from 8 ft (block by A. Burks)
1:05.0,,,82-74,,Offensive rebound by T. Hardaway
1:05.0,,,82-74,,Shooting foul by E. Udoh (drawn by T. Hardaway)
1:05.0,,,82-74,,D. McDermott enters the game for C. Lee
1:05.0,,,82-74,,F. Ntilikina enters the game for J. Jack
1:05.0,,,82-74,,T. Hardaway misses free throw 1 of 2
1:05.0,,,82-74,,Offensive rebound by Team
1:05.0,,,82-75,1,T. Hardaway makes free throw 2 of 2
0:46.0,R. Hood misses 2-pt shot from 13 ft,,82-75,,
0:42.0,Offensive rebound by R. Hood,,82-75,,
0:34.0,D. Mitchell misses 2-pt shot from 19 ft,,82-75,,
0:30.0,,,82-75,,Defensive rebound by T. Hardaway
0:12.0,,,82-77,2,K. O'Quinn makes 2-pt shot at rim (assist by T. Hardaway)
0:01.0,A. Burks misses 3-pt shot from 30 ft,,82-77,,
0:00.0,Offensive rebound by Team,,82-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,82-77,,L. Thomas misses 2-pt shot from 8 ft
11:41.0,,,82-77,,Offensive rebound by L. Thomas
11:39.0,,,82-77,,T. Hardaway misses 2-pt shot from 2 ft (block by A. Burks)
11:35.0,Defensive rebound by A. Burks,,82-77,,
11:20.0,T. Sefolosha makes 3-pt shot from 22 ft (assist by R. Rubio),3,85-77,,
10:50.0,,,85-80,3,T. Hardaway makes 3-pt shot from 27 ft
10:39.0,,,85-80,,Personal foul by F. Ntilikina (drawn by R. Rubio)
10:39.0,J. Ingles enters the game for R. Hood,,85-80,,
10:29.0,R. Rubio misses 2-pt shot from 18 ft,,85-80,,
10:27.0,,,85-80,,Defensive rebound by K. O'Quinn
10:17.0,,,85-80,,Shooting foul by E. Udoh (drawn by L. Thomas)
10:17.0,,,85-80,,L. Thomas misses free throw 1 of 2
10:17.0,,,85-80,,Offensive rebound by Team
10:17.0,,,85-81,1,L. Thomas makes free throw 2 of 2
10:04.0,E. Udoh misses 2-pt shot from 6 ft,,85-81,,
10:02.0,,,85-81,,Defensive rebound by L. Thomas
9:56.0,Personal foul by R. Rubio (drawn by T. Hardaway),,85-81,,
9:56.0,D. Mitchell enters the game for T. Sefolosha,,85-81,,
9:47.0,,,85-81,,Shooting foul by E. Udoh (drawn by T. Hardaway)
9:47.0,,,85-82,1,T. Hardaway makes free throw 1 of 2
9:47.0,,,85-83,1,T. Hardaway makes free throw 2 of 2
9:31.0,,,85-83,,C. Lee enters the game for T. Hardaway
9:26.0,D. Mitchell misses 2-pt shot from 1 ft (block by K. O'Quinn),,85-83,,
9:24.0,,,85-83,,Defensive rebound by K. O'Quinn
9:12.0,,,85-83,,Turnover by K. O'Quinn (bad pass)
9:11.0,D. Favors enters the game for E. Udoh,,85-83,,
9:06.0,,,85-83,,Personal foul by K. O'Quinn (drawn by J. Ingles)
9:01.0,,,85-83,,Personal foul by L. Thomas (drawn by J. Ingles)
8:46.0,Shooting foul by L. Thomas (drawn by J. Ingles),,85-83,,
8:46.0,J. Ingles makes free throw 1 of 2,1,86-83,,
8:46.0,J. Ingles makes free throw 2 of 2,1,87-83,,
8:38.0,Personal foul by A. Burks (drawn by D. McDermott),,87-83,,
8:33.0,,,87-85,2,F. Ntilikina makes 2-pt shot from 17 ft
8:10.0,D. Mitchell makes 2-pt shot from 3 ft,2,89-85,,
7:58.0,,,89-87,2,F. Ntilikina makes 2-pt shot from 21 ft
7:42.0,,,89-87,,Personal foul by C. Lee (drawn by A. Burks)
7:42.0,A. Burks makes free throw 1 of 2,1,90-87,,
7:42.0,A. Burks makes free throw 2 of 2,1,91-87,,
7:25.0,,,91-89,2,L. Thomas makes 2-pt shot from 1 ft
6:58.0,R. Rubio misses 3-pt shot from 26 ft,,91-89,,
6:57.0,,,91-89,,Defensive rebound by D. McDermott
6:49.0,,,91-89,,F. Ntilikina misses 3-pt shot from 25 ft
6:47.0,,,91-89,,Offensive rebound by K. O'Quinn
6:42.0,,,91-91,2,D. McDermott makes 2-pt shot from 2 ft
6:42.0,Violation by A. Burks (def goaltending),,91-91,,
6:42.0,R. Hood enters the game for R. Rubio,,91-91,,
6:18.0,R. Hood makes 2-pt shot from 1 ft,2,93-91,,
6:08.0,,,93-91,,New York full timeout
6:08.0,,,93-91,,T. Hardaway enters the game for K. O'Quinn
6:08.0,,,93-91,,K. Porzingis enters the game for L. Thomas
6:00.0,,,93-91,,D. McDermott misses 3-pt shot from 22 ft
5:58.0,Defensive rebound by D. Favors,,93-91,,
5:38.0,R. Hood misses 2-pt shot from 17 ft,,93-91,,
5:36.0,,,93-91,,Defensive rebound by C. Lee
5:22.0,,,93-91,,D. McDermott misses 3-pt shot from 25 ft
5:21.0,Defensive rebound by D. Mitchell,,93-91,,
5:13.0,Turnover by D. Mitchell (lost ball; steal by F. Ntilikina),,93-91,,
5:06.0,,,93-91,,F. Ntilikina misses 2-pt shot from 2 ft (block by R. Hood)
5:03.0,Defensive rebound by D. Mitchell,,93-91,,
5:03.0,D. Mitchell misses 2-pt shot from 3 ft,,93-91,,
5:02.0,,,93-91,,Defensive rebound by D. McDermott
4:52.0,,,93-91,,C. Lee misses 2-pt shot from 2 ft
4:52.0,Defensive rebound by J. Ingles,,93-91,,
4:39.0,R. Hood misses 3-pt shot from 25 ft,,93-91,,
4:35.0,,,93-91,,Defensive rebound by F. Ntilikina
4:34.0,Personal foul by D. Mitchell (drawn by F. Ntilikina),,93-91,,
4:34.0,,,93-92,1,F. Ntilikina makes free throw 1 of 2
4:34.0,,,93-92,,F. Ntilikina misses free throw 2 of 2
4:30.0,Defensive rebound by J. Ingles,,93-92,,
4:09.0,A. Burks misses 2-pt shot from 20 ft,,93-92,,
4:06.0,,,93-92,,Defensive rebound by C. Lee
4:04.0,,,93-94,2,T. Hardaway makes 2-pt shot at rim (assist by C. Lee)
3:47.0,D. Mitchell misses 2-pt shot from 7 ft,,93-94,,
3:44.0,,,93-94,,Defensive rebound by F. Ntilikina
3:25.0,,,93-94,,K. Porzingis misses 2-pt shot from 8 ft
3:21.0,Defensive rebound by D. Favors,,93-94,,
3:17.0,Utah full timeout,,93-94,,
3:17.0,R. Rubio enters the game for A. Burks,,93-94,,
3:08.0,Offensive foul by R. Hood (drawn by T. Hardaway),,93-94,,
3:08.0,Turnover by R. Hood (offensive foul),,93-94,,
2:59.0,Personal foul by R. Hood (drawn by K. Porzingis),,93-94,,
2:59.0,Turnover by R. Hood (turnover),,93-94,,
2:59.0,,,93-95,1,K. Porzingis makes free throw 1 of 2
2:59.0,,,93-96,1,K. Porzingis makes free throw 2 of 2
2:35.0,D. Mitchell misses 2-pt shot from 14 ft (block by D. McDermott),,93-96,,
2:33.0,,,93-96,,Defensive rebound by T. Hardaway
2:28.0,,,93-96,,T. Hardaway misses 2-pt shot from 1 ft (block by D. Favors)
2:27.0,,,93-96,,Offensive rebound by Team
2:21.0,,,93-99,3,K. Porzingis makes 3-pt shot from 29 ft (assist by T. Hardaway)
2:05.0,R. Hood misses 3-pt shot from 25 ft,,93-99,,
2:01.0,,,93-99,,Defensive rebound by K. Porzingis
1:47.0,,,93-99,,T. Hardaway misses 3-pt shot from 27 ft
1:44.0,Defensive rebound by R. Rubio,,93-99,,
1:39.0,J. Ingles makes 3-pt shot from 23 ft (assist by R. Hood),3,96-99,,
1:25.0,,,96-99,,K. Porzingis misses 3-pt shot from 26 ft
1:22.0,Defensive rebound by R. Rubio,,96-99,,
1:14.0,R. Rubio makes 2-pt shot from 13 ft,2,98-99,,
1:14.0,,,98-99,,New York full timeout
0:52.0,,,98-99,,T. Hardaway misses 2-pt shot from 2 ft (block by D. Favors)
0:49.0,,,98-99,,Offensive rebound by F. Ntilikina
0:32.0,,,98-102,3,T. Hardaway makes 3-pt shot from 26 ft
0:32.0,Utah full timeout,,98-102,,
0:32.0,,,98-102,,L. Thomas enters the game for D. McDermott
