time,Oklahoma City,pts.away,score,pts.home,Washington
7:44.0,Turnover by R. Westbrook (bad pass; steal by B. Beal),,10-15,,
7:38.0,,,10-15,,O. Porter misses 2-pt shot from 6 ft
7:35.0,Defensive rebound by P. George,,10-15,,
7:30.0,C. Anthony misses 3-pt shot from 26 ft,,10-15,,
7:27.0,Offensive rebound by S. Adams,,10-15,,
7:27.0,,,10-15,,Personal foul by M. Gortat (drawn by S. Adams)
7:18.0,P. George misses 3-pt shot from 26 ft,,10-15,,
7:14.0,,,10-15,,Defensive rebound by M. Morris
7:04.0,,,10-18,3,B. Beal makes 3-pt shot from 24 ft
6:55.0,Turnover by C. Anthony (traveling),,10-18,,
6:50.0,Personal foul by T. Ferguson (drawn by O. Porter),,10-18,,
6:37.0,,,10-18,,M. Morris misses 2-pt shot from 10 ft
6:35.0,Defensive rebound by C. Anthony,,10-18,,
6:32.0,R. Westbrook makes 2-pt shot from 20 ft (assist by C. Anthony),2,12-18,,
6:07.0,,,12-18,,B. Beal misses 2-pt shot from 18 ft
6:04.0,Defensive rebound by T. Ferguson,,12-18,,
5:54.0,R. Westbrook misses 2-pt shot from 14 ft,,12-18,,
5:52.0,,,12-18,,Defensive rebound by O. Porter
5:47.0,,,12-18,,B. Beal misses 2-pt shot from 3 ft
5:45.0,Defensive rebound by C. Anthony,,12-18,,
5:38.0,S. Adams misses 2-pt shot from 1 ft (block by M. Morris),,12-18,,
5:38.0,Offensive rebound by Team,,12-18,,
5:38.0,,,12-18,,I. Mahinmi enters the game for M. Gortat
5:30.0,T. Ferguson misses 3-pt shot from 27 ft,,12-18,,
5:27.0,,,12-18,,Defensive rebound by B. Beal
5:16.0,,,12-18,,Turnover by T. Satoransky (bad pass; steal by S. Adams)
4:58.0,R. Westbrook misses 3-pt shot from 25 ft,,12-18,,
4:56.0,,,12-18,,Defensive rebound by O. Porter
4:46.0,,,12-20,2,M. Morris makes 2-pt shot from 9 ft (assist by O. Porter)
4:23.0,P. George makes 3-pt shot from 22 ft (assist by R. Westbrook),3,15-20,,
4:15.0,,,15-20,,Washington full timeout
4:15.0,,,15-20,,K. Oubre enters the game for M. Morris
4:06.0,,,15-20,,Shooting foul by C. Anthony (drawn by O. Porter)
4:06.0,,,15-21,1,O. Porter makes free throw 1 of 2
4:06.0,,,15-22,1,O. Porter makes free throw 2 of 2
3:53.0,S. Adams misses 2-pt shot from 3 ft,,15-22,,
3:50.0,,,15-22,,Defensive rebound by K. Oubre
3:46.0,,,15-24,2,I. Mahinmi makes 2-pt shot from 2 ft (assist by O. Porter)
3:30.0,R. Westbrook misses 2-pt shot from 3 ft,,15-24,,
3:29.0,S. Adams misses 2-pt shot at rim,,15-24,,
3:29.0,Offensive rebound by S. Adams,,15-24,,
3:28.0,Offensive rebound by S. Adams,,15-24,,
3:27.0,S. Adams misses 2-pt shot at rim,,15-24,,
3:26.0,,,15-24,,Defensive rebound by I. Mahinmi
3:16.0,,,15-24,,T. Satoransky misses 3-pt shot from 22 ft
3:14.0,Defensive rebound by Team,,15-24,,
3:06.0,Shooting foul by O. Porter (drawn by S. Adams),,15-24,,
3:06.0,S. Adams makes free throw 1 of 2,1,16-24,,
3:06.0,S. Adams misses free throw 2 of 2,,16-24,,
3:04.0,Offensive rebound by Team,,16-24,,
3:04.0,,,16-24,,Personal foul by I. Mahinmi (drawn by R. Westbrook)
2:57.0,P. George makes 3-pt shot from 26 ft (assist by R. Westbrook),3,19-24,,
2:39.0,Violation by S. Adams (kicked ball),,19-24,,
2:31.0,,,19-24,,Shooting foul by T. Ferguson (drawn by B. Beal)
2:31.0,,,19-24,,B. Beal misses free throw 1 of 2
2:31.0,,,19-24,,Offensive rebound by Team
2:31.0,,,19-24,,M. Scott enters the game for O. Porter
2:31.0,,,19-25,1,B. Beal makes free throw 2 of 2
2:25.0,,,19-25,,T. Frazier enters the game for T. Satoransky
2:17.0,Shooting foul by M. Scott (drawn by S. Adams),,19-25,,
2:17.0,S. Adams makes free throw 1 of 2,1,20-25,,
2:17.0,R. Felton enters the game for R. Westbrook,,20-25,,
2:17.0,J. Grant enters the game for C. Anthony,,20-25,,
2:17.0,S. Adams makes free throw 2 of 2,1,21-25,,
2:00.0,,,21-25,,B. Beal misses 3-pt shot from 26 ft
1:56.0,Defensive rebound by J. Grant,,21-25,,
1:48.0,P. George makes 2-pt shot from 18 ft,2,23-25,,
1:26.0,,,23-27,2,M. Scott makes 2-pt shot from 8 ft (assist by K. Oubre)
1:10.0,P. George misses 3-pt shot from 26 ft,,23-27,,
1:08.0,,,23-27,,Defensive rebound by M. Scott
1:02.0,,,23-27,,T. Frazier misses 2-pt shot from 2 ft (block by S. Adams)
0:58.0,Defensive rebound by S. Adams,,23-27,,
0:46.0,P. George makes 2-pt shot from 2 ft,2,25-27,,
0:32.0,,,25-30,3,K. Oubre makes 3-pt shot from 25 ft (assist by T. Frazier)
0:09.0,J. Grant misses 2-pt shot from 5 ft (block by I. Mahinmi),,25-30,,
0:06.0,,,25-30,,Defensive rebound by I. Mahinmi
0:00.0,,,25-30,,B. Beal misses 2-pt shot from 22 ft
0:00.0,,,25-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,J. Grant makes 2-pt shot from 1 ft (assist by R. Felton),2,27-30,,
11:15.0,,,27-30,,J. Meeks misses 2-pt shot from 12 ft
11:12.0,,,27-30,,Offensive rebound by J. Meeks
11:11.0,,,27-33,3,K. Oubre makes 3-pt shot from 26 ft (assist by J. Meeks)
10:50.0,R. Felton misses 2-pt shot from 9 ft,,27-33,,
10:47.0,,,27-33,,Defensive rebound by I. Mahinmi
10:38.0,,,27-33,,K. Oubre misses 3-pt shot from 25 ft
10:35.0,Defensive rebound by J. Grant,,27-33,,
10:29.0,R. Felton misses 3-pt shot from 25 ft,,27-33,,
10:24.0,,,27-33,,Defensive rebound by K. Oubre
10:20.0,,,27-33,,T. Frazier misses 3-pt shot from 24 ft
10:19.0,,,27-33,,Offensive rebound by Team
10:17.0,,,27-33,,M. Scott misses 2-pt shot from 21 ft
10:13.0,Defensive rebound by R. Felton,,27-33,,
10:09.0,,,27-33,,Shooting block foul by I. Mahinmi (drawn by J. Grant)
10:09.0,J. Grant makes free throw 1 of 2,1,28-33,,
10:09.0,J. Grant makes free throw 2 of 2,1,29-33,,
10:02.0,,,29-33,,J. Meeks misses 3-pt shot from 26 ft
10:01.0,Defensive rebound by Team,,29-33,,
10:01.0,,,29-33,,Loose ball foul by I. Mahinmi (drawn by J. Grant)
10:01.0,,,29-33,,M. Morris enters the game for I. Mahinmi
9:52.0,Shooting foul by K. Oubre (drawn by J. Grant),,29-33,,
9:52.0,J. Grant makes free throw 1 of 2,1,30-33,,
9:52.0,J. Grant makes free throw 2 of 2,1,31-33,,
9:35.0,,,31-35,2,M. Scott makes 2-pt shot from 17 ft
9:08.0,Turnover by R. Felton (lost ball; steal by T. Frazier),,31-35,,
9:05.0,,,31-35,,Shooting foul by R. Felton (drawn by K. Oubre)
9:05.0,,,31-36,1,K. Oubre makes free throw 1 of 2
9:05.0,,,31-37,1,K. Oubre makes free throw 2 of 2
8:48.0,Turnover by J. Grant (lost ball; steal by M. Scott),,31-37,,
8:39.0,,,31-37,,M. Scott misses 2-pt shot from 12 ft
8:34.0,Defensive rebound by J. Huestis,,31-37,,
8:24.0,Shooting foul by T. Frazier (drawn by R. Felton),,31-37,,
8:24.0,R. Felton makes free throw 1 of 2,1,32-37,,
8:24.0,R. Westbrook enters the game for J. Huestis,,32-37,,
8:24.0,R. Felton makes free throw 2 of 2,1,33-37,,
8:01.0,,,33-37,,T. Frazier misses 2-pt shot from 4 ft (block by P. Patterson)
8:01.0,Defensive rebound by A. Abrines,,33-37,,
7:55.0,R. Westbrook makes 2-pt shot from 3 ft (assist by R. Felton),2,35-37,,
7:55.0,,,35-37,,Washington full timeout
7:55.0,S. Adams enters the game for J. Grant,,35-37,,
7:44.0,,,35-37,,Turnover by K. Oubre (lost ball; steal by R. Westbrook)
7:42.0,,,35-37,,Personal foul by K. Oubre (drawn by S. Adams)
7:42.0,S. Adams misses free throw 1 of 2,,35-37,,
7:42.0,Offensive rebound by Team,,35-37,,
7:42.0,S. Adams makes free throw 2 of 2,1,36-37,,
7:23.0,,,36-37,,Turnover by M. Morris (lost ball; steal by R. Westbrook)
7:17.0,R. Westbrook makes 2-pt shot from 2 ft (assist by R. Felton),2,38-37,,
7:04.0,,,38-37,,J. Meeks misses 3-pt shot from 24 ft
7:01.0,Defensive rebound by P. Patterson,,38-37,,
6:51.0,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook),2,40-37,,
6:51.0,Shooting foul by M. Morris (drawn by S. Adams),,40-37,,
6:51.0,,,40-37,,T. Satoransky enters the game for T. Frazier
6:51.0,,,40-37,,M. Gortat enters the game for J. Meeks
6:51.0,,,40-37,,B. Beal enters the game for M. Scott
6:51.0,S. Adams misses free throw 1 of 1,,40-37,,
6:49.0,,,40-37,,Defensive rebound by M. Morris
6:36.0,,,40-39,2,B. Beal makes 2-pt shot from 13 ft (assist by K. Oubre)
6:28.0,Oklahoma City full timeout,,40-39,,
6:28.0,C. Anthony enters the game for R. Felton,,40-39,,
6:28.0,P. George enters the game for P. Patterson,,40-39,,
6:23.0,Turnover by R. Westbrook (bad pass),,40-39,,
6:12.0,,,40-39,,Turnover by K. Oubre (bad pass; steal by A. Abrines)
6:09.0,Shooting foul by B. Beal (drawn by P. George),,40-39,,
6:09.0,P. George makes free throw 1 of 2,1,41-39,,
6:09.0,,,41-39,,O. Porter enters the game for K. Oubre
6:09.0,P. George makes free throw 2 of 2,1,42-39,,
5:51.0,,,42-41,2,B. Beal makes 2-pt shot at rim (assist by T. Satoransky)
5:43.0,A. Abrines misses 3-pt shot from 28 ft,,42-41,,
5:40.0,,,42-41,,Defensive rebound by T. Satoransky
5:36.0,Personal foul by A. Abrines (drawn by M. Morris),,42-41,,
5:36.0,J. Grant enters the game for A. Abrines,,42-41,,
5:24.0,,,42-41,,B. Beal misses 2-pt shot from 16 ft
5:20.0,,,42-41,,Offensive rebound by T. Satoransky
5:18.0,,,42-41,,M. Morris misses 3-pt shot from 27 ft
5:14.0,Defensive rebound by P. George,,42-41,,
5:08.0,Turnover by R. Westbrook (bad pass; steal by B. Beal),,42-41,,
5:07.0,Personal foul by R. Westbrook (drawn by B. Beal),,42-41,,
5:07.0,,,42-42,1,B. Beal makes technical free throw
4:52.0,,,42-42,,M. Morris misses 3-pt shot from 23 ft
4:51.0,,,42-42,,Offensive rebound by Team
4:51.0,Loose ball foul by P. George (drawn by M. Gortat),,42-42,,
4:40.0,,,42-42,,M. Gortat misses 2-pt shot from 2 ft (block by J. Grant)
4:40.0,Defensive rebound by Team,,42-42,,
4:30.0,C. Anthony misses 2-pt shot from 2 ft,,42-42,,
4:26.0,,,42-42,,Defensive rebound by O. Porter
4:21.0,,,42-42,,Shooting foul by J. Grant (drawn by M. Gortat)
4:21.0,,,42-43,1,M. Gortat makes free throw 1 of 2
4:21.0,,,42-44,1,M. Gortat makes free throw 2 of 2
4:05.0,P. George makes 3-pt shot from 27 ft (assist by R. Westbrook),3,45-44,,
3:41.0,,,45-44,,O. Porter misses 2-pt shot from 10 ft
3:39.0,Defensive rebound by J. Grant,,45-44,,
3:34.0,C. Anthony misses 3-pt shot from 25 ft,,45-44,,
3:30.0,,,45-44,,Defensive rebound by B. Beal
3:20.0,,,45-44,,M. Morris misses 3-pt shot from 26 ft
3:16.0,Defensive rebound by J. Grant,,45-44,,
3:13.0,Turnover by P. George (out of bounds lost ball),,45-44,,
3:02.0,,,45-44,,O. Porter misses 3-pt shot from 25 ft
2:59.0,Defensive rebound by S. Adams,,45-44,,
2:56.0,R. Westbrook misses 2-pt shot from 21 ft,,45-44,,
2:52.0,,,45-44,,Defensive rebound by B. Beal
2:36.0,,,45-44,,M. Gortat misses 2-pt shot from 11 ft
2:34.0,Defensive rebound by S. Adams,,45-44,,
2:29.0,P. George makes 3-pt shot from 23 ft (assist by R. Westbrook),3,48-44,,
2:07.0,,,48-44,,M. Gortat misses 2-pt shot from 11 ft
2:04.0,Defensive rebound by J. Grant,,48-44,,
2:02.0,R. Westbrook misses 2-pt shot at rim (block by M. Morris),,48-44,,
1:58.0,S. Adams makes 2-pt shot from 3 ft (assist by R. Westbrook),2,50-44,,
1:58.0,Offensive rebound by R. Westbrook,,50-44,,
1:45.0,,,50-46,2,B. Beal makes 2-pt shot from 2 ft
1:34.0,P. George misses 3-pt shot from 29 ft,,50-46,,
1:31.0,,,50-46,,Defensive rebound by T. Satoransky
1:28.0,,,50-46,,Shooting foul by J. Grant (drawn by O. Porter)
1:28.0,Technical foul by R. Westbrook,,50-46,,
1:28.0,,,50-47,1,B. Beal makes technical free throw
1:28.0,,,50-48,1,O. Porter makes free throw 1 of 2
1:28.0,,,50-49,1,O. Porter makes free throw 2 of 2
1:14.0,Turnover by S. Adams (turnover),,50-49,,
0:56.0,,,50-49,,T. Satoransky misses 2-pt shot from 1 ft
0:55.0,Defensive rebound by S. Adams,,50-49,,
0:54.0,C. Anthony misses 3-pt shot from 26 ft,,50-49,,
0:50.0,,,50-49,,Defensive rebound by M. Morris
0:41.0,,,50-51,2,O. Porter makes 2-pt shot from 8 ft
0:32.0,C. Anthony makes 2-pt shot from 1 ft (assist by R. Westbrook),2,52-51,,
0:11.0,,,52-51,,O. Porter misses 2-pt shot from 16 ft
0:08.0,,,52-51,,Offensive rebound by B. Beal
0:04.0,,,52-53,2,O. Porter makes 2-pt shot at rim (assist by B. Beal)
0:00.0,J. Grant makes 2-pt shot from 19 ft,2,54-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,R. Westbrook misses 2-pt shot from 3 ft,,54-53,,
11:49.0,,,54-53,,Defensive rebound by M. Gortat
11:39.0,,,54-53,,Shooting foul by C. Anthony (drawn by T. Satoransky)
11:39.0,,,54-54,1,T. Satoransky makes free throw 1 of 2
11:39.0,,,54-55,1,T. Satoransky makes free throw 2 of 2
11:22.0,,,54-55,,Personal foul by O. Porter (drawn by P. George)
11:15.0,C. Anthony misses 3-pt shot from 24 ft,,54-55,,
11:11.0,Offensive rebound by P. George,,54-55,,
11:11.0,Offensive foul by S. Adams (drawn by T. Satoransky),,54-55,,
11:11.0,Turnover by S. Adams (offensive foul),,54-55,,
10:54.0,,,54-55,,M. Gortat misses 2-pt shot from 1 ft (block by C. Anthony)
10:54.0,Defensive rebound by C. Anthony,,54-55,,
10:48.0,C. Anthony makes 2-pt shot at rim,2,56-55,,
10:48.0,Shooting foul by O. Porter (drawn by C. Anthony),,56-55,,
10:48.0,C. Anthony makes free throw 1 of 1,1,57-55,,
10:36.0,,,57-57,2,M. Gortat makes 2-pt shot from 1 ft (assist by M. Morris)
10:36.0,Technical foul by R. Westbrook (drawn by M. Gortat),,57-57,,
10:36.0,,,57-58,1,M. Gortat makes flagrant free throw 1 of 1
10:11.0,,,57-60,2,M. Gortat makes 2-pt shot from 15 ft (assist by B. Beal)
9:56.0,C. Anthony makes 3-pt shot from 26 ft (assist by S. Adams),3,60-60,,
9:37.0,,,60-62,2,M. Gortat makes 2-pt shot from 1 ft (assist by M. Morris)
9:27.0,,,60-62,,Personal take foul by M. Morris (drawn by S. Adams)
9:19.0,C. Anthony makes 2-pt shot from 12 ft,2,62-62,,
8:52.0,,,62-62,,B. Beal misses 2-pt shot from 18 ft
8:51.0,,,62-62,,Offensive rebound by Team
8:51.0,Loose ball foul by T. Ferguson (drawn by O. Porter),,62-62,,
8:35.0,,,62-62,,B. Beal misses 3-pt shot from 28 ft
8:31.0,Defensive rebound by T. Ferguson,,62-62,,
8:31.0,,,62-62,,Personal foul by T. Satoransky (drawn by R. Westbrook)
8:24.0,Turnover by P. George (bad pass; steal by O. Porter),,62-62,,
8:18.0,,,62-62,,B. Beal misses 3-pt shot from 25 ft
8:15.0,Defensive rebound by R. Westbrook,,62-62,,
8:13.0,Turnover by R. Westbrook (bad pass),,62-62,,
8:01.0,Personal foul by R. Westbrook (drawn by T. Satoransky),,62-62,,
7:55.0,,,62-62,,O. Porter misses 3-pt shot from 25 ft
7:51.0,Defensive rebound by C. Anthony,,62-62,,
7:48.0,Offensive foul by S. Adams,,62-62,,
7:48.0,Turnover by S. Adams (offensive foul),,62-62,,
7:48.0,Technical foul by S. Adams,,62-62,,
7:48.0,,,62-62,,B. Beal misses technical free throw
7:48.0,,,62-62,,Offensive rebound by Team
7:32.0,,,62-64,2,M. Morris makes 2-pt shot from 14 ft (assist by T. Satoransky)
7:32.0,,,62-64,,Shooting foul by C. Anthony (drawn by M. Morris)
7:32.0,Oklahoma City full timeout,,62-64,,
7:32.0,,,62-65,1,M. Morris makes free throw 1 of 1
7:20.0,C. Anthony misses 3-pt shot from 25 ft,,62-65,,
7:17.0,,,62-65,,Defensive rebound by O. Porter
6:59.0,,,62-67,2,O. Porter makes 2-pt shot from 14 ft (assist by B. Beal)
6:47.0,Turnover by R. Westbrook (bad pass),,62-67,,
6:36.0,,,62-67,,M. Morris misses 2-pt shot from 7 ft
6:32.0,Defensive rebound by R. Westbrook,,62-67,,
6:29.0,C. Anthony misses 2-pt shot from 1 ft,,62-67,,
6:26.0,Offensive rebound by S. Adams,,62-67,,
6:26.0,Turnover by S. Adams (step out of bounds),,62-67,,
6:11.0,Personal foul by T. Ferguson (drawn by O. Porter),,62-67,,
6:11.0,,,62-68,1,O. Porter makes free throw 1 of 2
6:11.0,,,62-69,1,O. Porter makes free throw 2 of 2
5:58.0,R. Westbrook makes 3-pt shot from 24 ft (assist by C. Anthony),3,65-69,,
5:44.0,,,65-71,2,B. Beal makes 2-pt shot from 2 ft (assist by T. Satoransky)
5:23.0,C. Anthony misses 3-pt shot from 24 ft,,65-71,,
5:21.0,Offensive rebound by T. Ferguson,,65-71,,
5:19.0,,,65-71,,Personal block foul by M. Morris (drawn by P. George)
5:19.0,P. George makes free throw 1 of 2,1,66-71,,
5:19.0,,,66-71,,K. Oubre enters the game for O. Porter
5:19.0,J. Huestis enters the game for T. Ferguson,,66-71,,
5:19.0,P. George misses free throw 2 of 2,,66-71,,
5:14.0,,,66-71,,Defensive rebound by M. Morris
5:03.0,,,66-71,,M. Morris misses 2-pt shot from 7 ft (block by C. Anthony)
5:03.0,,,66-71,,Offensive rebound by Team
5:00.0,,,66-71,,Offensive foul by M. Gortat (drawn by P. George)
5:00.0,,,66-71,,Turnover by M. Gortat (offensive foul)
4:53.0,Turnover by R. Westbrook (lost ball; steal by T. Satoransky),,66-71,,
4:44.0,,,66-71,,T. Satoransky misses 2-pt shot from 2 ft
4:42.0,,,66-71,,Offensive rebound by M. Gortat
4:41.0,,,66-71,,M. Gortat misses 2-pt shot from 1 ft
4:41.0,Defensive rebound by J. Huestis,,66-71,,
4:24.0,Shooting foul by M. Gortat (drawn by C. Anthony),,66-71,,
4:24.0,C. Anthony misses free throw 1 of 2,,66-71,,
4:24.0,Offensive rebound by Team,,66-71,,
4:24.0,,,66-71,,I. Mahinmi enters the game for M. Gortat
4:24.0,C. Anthony makes free throw 2 of 2,1,67-71,,
4:05.0,,,67-73,2,I. Mahinmi makes 2-pt shot from 10 ft (assist by M. Morris)
3:56.0,,,67-73,,Personal foul by I. Mahinmi (drawn by R. Westbrook)
3:56.0,R. Westbrook makes free throw 1 of 2,1,68-73,,
3:56.0,R. Westbrook makes free throw 2 of 2,1,69-73,,
3:32.0,,,69-73,,M. Morris misses 2-pt shot from 11 ft
3:30.0,Defensive rebound by J. Huestis,,69-73,,
3:25.0,R. Westbrook misses 2-pt shot from 3 ft (block by T. Satoransky),,69-73,,
3:21.0,,,69-73,,Defensive rebound by M. Morris
3:20.0,,,69-73,,K. Oubre misses 2-pt shot from 2 ft (block by C. Anthony)
3:20.0,,,69-73,,Offensive rebound by Team
3:06.0,,,69-73,,I. Mahinmi misses 2-pt shot from 1 ft
3:04.0,Defensive rebound by S. Adams,,69-73,,
3:02.0,P. George misses 3-pt shot from 26 ft,,69-73,,
2:58.0,,,69-73,,Defensive rebound by I. Mahinmi
2:58.0,,,69-73,,Turnover by I. Mahinmi (bad pass)
2:46.0,,,69-73,,Personal foul by K. Oubre (drawn by P. George)
2:46.0,,,69-73,,Washington full timeout
2:46.0,,,69-73,,T. Frazier enters the game for T. Satoransky
2:46.0,R. Felton enters the game for R. Westbrook,,69-73,,
2:46.0,P. George makes free throw 1 of 2,1,70-73,,
2:46.0,P. George makes free throw 2 of 2,1,71-73,,
2:37.0,,,71-73,,Offensive foul by I. Mahinmi (drawn by J. Huestis)
2:37.0,,,71-73,,Turnover by I. Mahinmi (offensive foul)
2:37.0,,,71-73,,M. Scott enters the game for I. Mahinmi
2:21.0,P. George makes 2-pt shot at rim,2,73-73,,
1:59.0,,,73-75,2,M. Morris makes 2-pt shot from 17 ft (assist by B. Beal)
1:47.0,Shooting foul by M. Morris (drawn by P. George),,73-75,,
1:47.0,P. George makes free throw 1 of 2,1,74-75,,
1:47.0,,,74-75,,J. Meeks enters the game for B. Beal
1:47.0,J. Grant enters the game for C. Anthony,,74-75,,
1:47.0,P. Patterson enters the game for S. Adams,,74-75,,
1:47.0,P. George makes free throw 2 of 2,1,75-75,,
1:25.0,,,75-75,,M. Scott misses 3-pt shot from 26 ft
1:22.0,Defensive rebound by P. Patterson,,75-75,,
1:13.0,P. George misses 2-pt shot from 1 ft (block by J. Meeks),,75-75,,
1:09.0,,,75-75,,Defensive rebound by J. Meeks
0:52.0,,,75-75,,M. Scott misses 2-pt shot from 14 ft
0:49.0,Defensive rebound by P. George,,75-75,,
0:45.0,R. Felton misses 2-pt shot from 16 ft,,75-75,,
0:42.0,,,75-75,,Defensive rebound by M. Scott
0:36.0,,,75-75,,M. Scott misses 2-pt shot from 16 ft
0:32.0,Defensive rebound by P. George,,75-75,,
0:19.0,,,75-75,,Personal foul by K. Oubre (drawn by P. George)
0:19.0,P. George misses free throw 1 of 2,,75-75,,
0:19.0,Offensive rebound by Team,,75-75,,
0:19.0,P. George makes free throw 2 of 2,1,76-75,,
0:19.0,,,76-75,,B. Beal enters the game for K. Oubre
0:01.0,,,76-75,,B. Beal misses 2-pt shot from 5 ft
0:00.0,,,76-75,,T. Frazier misses 2-pt shot from 5 ft (block by P. Patterson)
0:00.0,,,76-75,,Offensive rebound by T. Frazier
0:00.0,,,76-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,76-75,,K. Oubre misses 3-pt shot from 28 ft
11:36.0,Defensive rebound by R. Felton,,76-75,,
11:30.0,Offensive foul by P. Patterson (drawn by M. Scott),,76-75,,
11:30.0,Turnover by P. Patterson (offensive foul),,76-75,,
11:30.0,,,76-75,,O. Porter enters the game for J. Meeks
11:09.0,,,76-75,,M. Scott misses 2-pt shot from 14 ft
11:05.0,Defensive rebound by J. Huestis,,76-75,,
10:53.0,,,76-75,,Personal foul by T. Frazier (drawn by P. Patterson)
10:53.0,A. Abrines enters the game for P. George,,76-75,,
10:48.0,Shooting foul by T. Frazier (drawn by R. Felton),,76-75,,
10:48.0,R. Felton makes free throw 1 of 2,1,77-75,,
10:48.0,R. Felton makes free throw 2 of 2,1,78-75,,
10:36.0,,,78-77,2,B. Beal makes 2-pt shot from 15 ft
10:20.0,A. Abrines misses 3-pt shot from 25 ft,,78-77,,
10:17.0,Offensive rebound by J. Grant,,78-77,,
10:17.0,J. Grant misses 2-pt shot from 4 ft (block by O. Porter),,78-77,,
10:17.0,,,78-77,,Defensive rebound by B. Beal
10:05.0,,,78-77,,Turnover by B. Beal (bad pass; steal by J. Huestis)
9:56.0,R. Felton misses 2-pt shot from 15 ft,,78-77,,
9:53.0,,,78-77,,Defensive rebound by T. Frazier
9:31.0,,,78-79,2,O. Porter makes 2-pt shot from 18 ft (assist by B. Beal)
9:02.0,Turnover by Team (shot clock),,78-79,,
9:02.0,R. Westbrook enters the game for R. Felton,,78-79,,
8:43.0,,,78-79,,Shooting foul by P. Patterson (drawn by M. Scott)
8:43.0,,,78-80,1,M. Scott makes free throw 1 of 2
8:43.0,S. Adams enters the game for J. Grant,,78-80,,
8:43.0,,,78-81,1,M. Scott makes free throw 2 of 2
8:33.0,Turnover by R. Westbrook (bad pass),,78-81,,
8:27.0,,,78-81,,Shooting foul by A. Abrines (drawn by K. Oubre)
8:27.0,,,78-82,1,K. Oubre makes free throw 1 of 2
8:27.0,,,78-83,1,K. Oubre makes free throw 2 of 2
8:19.0,J. Huestis makes 3-pt shot from 22 ft (assist by R. Westbrook),3,81-83,,
8:03.0,,,81-83,,B. Beal misses 2-pt shot from 18 ft
8:00.0,Defensive rebound by P. Patterson,,81-83,,
7:55.0,P. Patterson misses 3-pt shot from 26 ft,,81-83,,
7:51.0,,,81-83,,Defensive rebound by B. Beal
7:39.0,,,81-83,,Turnover by O. Porter (bad pass)
7:31.0,Shooting foul by M. Scott (drawn by A. Abrines),,81-83,,
7:31.0,A. Abrines makes free throw 1 of 2,1,82-83,,
