time,Philadelphia,pts.away,score,pts.home,Dallas
8:14.0,,,38-33,,H. Barnes enters the game for D. Nowitzki
8:14.0,T. McConnell enters the game for B. Simmons,,38-33,,
8:14.0,,,38-34,1,D. Harris makes free throw 2 of 2
7:57.0,R. Covington misses 2-pt shot from 3 ft,,38-34,,
7:55.0,A. Johnson makes 2-pt shot at rim,2,40-34,,
7:52.0,Offensive rebound by A. Johnson,,40-34,,
7:33.0,,,40-37,3,H. Barnes makes 3-pt shot from 25 ft (assist by D. Smith)
7:15.0,D. Saric misses 2-pt shot from 1 ft,,40-37,,
7:14.0,,,40-37,,Defensive rebound by D. Powell
7:05.0,,,40-39,2,Y. Ferrell makes 2-pt shot from 2 ft (assist by D. Powell)
6:51.0,R. Covington makes 3-pt shot from 25 ft (assist by T. McConnell),3,43-39,,
6:36.0,,,43-39,,H. Barnes misses 3-pt shot from 24 ft
6:34.0,Defensive rebound by A. Johnson,,43-39,,
6:19.0,T. McConnell misses 2-pt shot at rim,,43-39,,
6:16.0,,,43-39,,Defensive rebound by D. Powell
6:12.0,,,43-41,2,H. Barnes makes 2-pt shot from 2 ft (assist by D. Smith)
5:56.0,J. Bayless makes 3-pt shot from 22 ft (assist by D. Saric),3,46-41,,
5:55.0,,,46-41,,Dallas full timeout
5:55.0,,,46-41,,W. Matthews enters the game for D. Powell
5:55.0,,,46-41,,N. Noel enters the game for D. Harris
5:55.0,N. Stauskas enters the game for D. Saric,,46-41,,
5:32.0,,,46-44,3,H. Barnes makes 3-pt shot from 23 ft (assist by Y. Ferrell)
5:08.0,J. Bayless misses 3-pt shot from 25 ft,,46-44,,
5:08.0,,,46-44,,Defensive rebound by D. Smith
5:01.0,,,46-44,,D. Smith misses 2-pt shot from 19 ft
5:01.0,Defensive rebound by A. Johnson,,46-44,,
4:48.0,T. McConnell makes 2-pt shot from 12 ft,2,48-44,,
4:28.0,,,48-44,,Turnover by D. Smith (bad pass; steal by A. Johnson)
4:26.0,T. McConnell makes 2-pt shot from 1 ft,2,50-44,,
4:16.0,,,50-47,3,W. Matthews makes 3-pt shot from 23 ft (assist by D. Smith)
4:06.0,Philadelphia full timeout,,50-47,,
4:06.0,J. Anderson enters the game for A. Johnson,,50-47,,
4:06.0,J. Embiid enters the game for R. Covington,,50-47,,
4:01.0,J. Embiid misses 3-pt shot from 24 ft,,50-47,,
3:57.0,,,50-47,,Defensive rebound by N. Noel
3:42.0,,,50-47,,Turnover by D. Smith (bad pass; steal by J. Anderson)
3:27.0,J. Embiid makes 2-pt shot from 11 ft,2,52-47,,
3:14.0,,,52-49,2,W. Matthews makes 2-pt shot from 5 ft
3:14.0,,,52-49,,Shooting foul by N. Stauskas (drawn by W. Matthews)
3:14.0,,,52-50,1,W. Matthews makes free throw 1 of 1
2:57.0,Turnover by J. Embiid (lost ball; steal by H. Barnes),,52-50,,
2:45.0,,,52-50,,H. Barnes misses 3-pt shot from 26 ft
2:42.0,Defensive rebound by T. McConnell,,52-50,,
2:40.0,,,52-50,,Shooting block foul by W. Matthews (drawn by J. Embiid)
2:40.0,J. Embiid misses free throw 1 of 2,,52-50,,
2:40.0,Offensive rebound by Team,,52-50,,
2:40.0,,,52-50,,J. Barea enters the game for N. Noel
2:40.0,,,52-50,,D. Nowitzki enters the game for Y. Ferrell
2:40.0,J. Embiid makes free throw 2 of 2,1,53-50,,
2:26.0,,,53-52,2,H. Barnes makes 2-pt shot from 2 ft
2:16.0,J. Embiid misses 2-pt shot from 11 ft,,53-52,,
2:16.0,,,53-52,,Defensive rebound by W. Matthews
2:07.0,,,53-54,2,W. Matthews makes 2-pt shot from 1 ft
1:52.0,N. Stauskas makes 2-pt shot from 19 ft (assist by J. Embiid),2,55-54,,
1:35.0,Personal foul by J. Bayless (drawn by W. Matthews),,55-54,,
1:35.0,,,55-55,1,W. Matthews makes free throw 1 of 2
1:35.0,R. Covington enters the game for J. Bayless,,55-55,,
1:35.0,,,55-56,1,W. Matthews makes free throw 2 of 2
1:22.0,J. Embiid misses 2-pt shot from 6 ft (block by D. Nowitzki),,55-56,,
1:19.0,,,55-56,,Defensive rebound by H. Barnes
1:17.0,,,55-56,,Turnover by W. Matthews (bad pass; steal by N. Stauskas)
1:12.0,J. Anderson misses 2-pt shot from 13 ft,,55-56,,
1:08.0,,,55-56,,Defensive rebound by W. Matthews
0:49.0,,,55-56,,Turnover by D. Nowitzki (out of bounds lost ball)
0:49.0,Philadelphia full timeout,,55-56,,
0:49.0,J. Bayless enters the game for J. Anderson,,55-56,,
0:33.0,Shooting foul by D. Nowitzki (drawn by N. Stauskas),,55-56,,
0:33.0,N. Stauskas makes free throw 1 of 2,1,56-56,,
0:33.0,N. Stauskas makes free throw 2 of 2,1,57-56,,
0:15.0,,,57-56,,J. Barea misses 3-pt shot from 26 ft
0:12.0,Defensive rebound by T. McConnell,,57-56,,
0:06.0,J. Bayless misses 3-pt shot from 25 ft,,57-56,,
0:04.0,,,57-56,,Defensive rebound by Team
0:04.0,A. Johnson enters the game for J. Embiid,,57-56,,
0:00.0,,,57-56,,D. Smith misses 3-pt shot from 31 ft
0:00.0,,,57-56,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,57-56,,Turnover by D. Smith (bad pass; steal by B. Simmons)
11:36.0,R. Covington misses 3-pt shot from 25 ft,,57-56,,
11:32.0,Offensive rebound by D. Saric,,57-56,,
