time,Minnesota,pts.away,score,pts.home,New Orleans
5:47.0,,,10-13,,E. Moore misses 3-pt shot from 23 ft
5:43.0,,,10-13,,Offensive rebound by D. Cousins
5:41.0,,,10-13,,J. Holiday misses 3-pt shot from 23 ft
5:33.0,,,10-13,,Offensive rebound by D. Cousins
5:33.0,,,10-15,2,D. Cousins makes 2-pt shot at rim
5:18.0,J. Butler misses 2-pt shot from 19 ft,,10-15,,
5:15.0,,,10-15,,Defensive rebound by D. Cousins
5:08.0,,,10-17,2,D. Cousins makes 2-pt shot from 1 ft
4:46.0,K. Towns makes 2-pt shot from 15 ft (assist by T. Gibson),2,12-17,,
4:37.0,,,12-19,2,A. Davis makes 2-pt shot at rim (assist by R. Rondo)
4:15.0,A. Wiggins misses 2-pt shot from 14 ft,,12-19,,
4:15.0,Offensive rebound by A. Wiggins,,12-19,,
4:05.0,T. Gibson misses 2-pt shot from 6 ft (block by D. Cousins),,12-19,,
4:05.0,Offensive rebound by T. Jones,,12-19,,
3:57.0,T. Jones misses 2-pt shot from 7 ft,,12-19,,
3:57.0,Offensive rebound by A. Wiggins,,12-19,,
3:57.0,A. Wiggins makes 2-pt shot from 2 ft,2,14-19,,
3:53.0,,,14-19,,Turnover by R. Rondo (lost ball; steal by T. Gibson)
3:49.0,J. Butler makes 2-pt shot from 2 ft (assist by T. Gibson),2,16-19,,
3:40.0,,,16-21,2,A. Davis makes 2-pt shot from 8 ft
3:18.0,,,16-21,,J. Nelson enters the game for A. Davis
3:18.0,,,16-21,,D. Cunningham enters the game for R. Rondo
3:18.0,J. Crawford enters the game for K. Towns,,16-21,,
3:18.0,G. Dieng enters the game for J. Butler,,16-21,,
3:15.0,J. Crawford makes 2-pt shot from 16 ft,2,18-21,,
3:01.0,,,18-21,,E. Moore misses 3-pt shot from 25 ft
2:58.0,Defensive rebound by G. Dieng,,18-21,,
2:44.0,Shooting foul by E. Moore (drawn by G. Dieng),,18-21,,
2:44.0,,,18-21,,New Orleans full timeout
2:44.0,,,18-21,,D. Miller enters the game for E. Moore
2:44.0,G. Dieng makes free throw 1 of 2,1,19-21,,
2:44.0,G. Dieng makes free throw 2 of 2,1,20-21,,
2:24.0,,,20-23,2,D. Cunningham makes 2-pt shot from 3 ft (assist by D. Cousins)
2:08.0,T. Gibson makes 2-pt shot from 2 ft (assist by A. Wiggins),2,22-23,,
1:47.0,,,22-26,3,J. Holiday makes 3-pt shot from 25 ft (assist by D. Cousins)
1:32.0,A. Wiggins makes 2-pt shot from 20 ft,2,24-26,,
1:19.0,,,24-26,,Turnover by J. Nelson (bad pass)
1:08.0,,,24-26,,Personal foul by D. Cousins (drawn by A. Wiggins)
1:06.0,Shooting foul by D. Miller (drawn by A. Wiggins),,24-26,,
1:06.0,A. Wiggins makes free throw 1 of 2,1,25-26,,
1:06.0,,,25-26,,A. Davis enters the game for D. Cousins
1:06.0,A. Wiggins makes free throw 2 of 2,1,26-26,,
0:57.0,,,26-26,,Turnover by J. Holiday (lost ball; steal by T. Jones)
0:57.0,Turnover by T. Gibson (traveling),,26-26,,
0:57.0,,,26-26,,T. Allen enters the game for J. Holiday
0:46.0,,,26-29,3,D. Cunningham makes 3-pt shot from 22 ft (assist by T. Allen)
0:36.0,J. Crawford makes 2-pt shot from 17 ft (assist by G. Dieng),2,28-29,,
0:19.0,,,28-29,,T. Allen misses 2-pt shot from 4 ft
0:17.0,Defensive rebound by T. Gibson,,28-29,,
0:01.0,J. Crawford misses 3-pt shot from 28 ft,,28-29,,
0:01.0,,,28-29,,Defensive rebound by A. Davis
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,J. Butler misses 2-pt shot from 14 ft,,28-29,,
11:35.0,Offensive rebound by K. Towns,,28-29,,
11:32.0,G. Dieng makes 2-pt shot from 21 ft (assist by K. Towns),2,30-29,,
11:16.0,,,30-29,,D. Miller misses 2-pt shot from 4 ft
11:13.0,Defensive rebound by K. Towns,,30-29,,
10:54.0,J. Crawford makes 2-pt shot from 2 ft,2,32-29,,
10:54.0,,,32-29,,Violation by D. Cunningham (def goaltending)
10:38.0,Personal foul by A. Brooks (drawn by A. Davis),,32-29,,
10:29.0,,,32-32,3,T. Allen makes 3-pt shot from 22 ft (assist by J. Nelson)
10:12.0,K. Towns makes 3-pt shot from 26 ft (assist by A. Brooks),3,35-32,,
9:58.0,,,35-32,,A. Davis misses 2-pt shot from 5 ft
9:58.0,,,35-32,,Offensive rebound by Team
9:56.0,,,35-32,,D. Miller misses 2-pt shot from 14 ft
9:53.0,Defensive rebound by K. Towns,,35-32,,
9:50.0,A. Brooks misses 3-pt shot from 24 ft,,35-32,,
9:50.0,,,35-32,,Defensive rebound by T. Allen
9:36.0,,,35-32,,Turnover by T. Allen (lost ball; steal by J. Butler)
9:27.0,J. Crawford misses 3-pt shot from 27 ft,,35-32,,
9:21.0,,,35-32,,Defensive rebound by D. Cunningham
9:18.0,,,35-34,2,J. Nelson makes 2-pt shot from 1 ft
8:51.0,G. Dieng makes 2-pt shot from 14 ft (assist by J. Crawford),2,37-34,,
8:44.0,,,37-34,,New Orleans full timeout
8:26.0,,,37-34,,T. Allen misses 3-pt shot from 25 ft
8:23.0,Defensive rebound by G. Dieng,,37-34,,
8:21.0,Turnover by G. Dieng (bad pass; steal by J. Nelson),,37-34,,
8:08.0,,,37-34,,A. Davis misses 2-pt shot from 17 ft
8:04.0,Defensive rebound by K. Towns,,37-34,,
7:52.0,,,37-34,,Personal foul by J. Nelson (drawn by J. Butler)
7:52.0,,,37-34,,D. Cousins enters the game for D. Cunningham
7:39.0,A. Brooks makes 2-pt shot from 1 ft,2,39-34,,
7:31.0,,,39-34,,Offensive charge foul by A. Davis (drawn by G. Dieng)
7:31.0,,,39-34,,Turnover by A. Davis (offensive foul)
7:31.0,,,39-34,,J. Holiday enters the game for J. Nelson
7:31.0,,,39-34,,R. Rondo enters the game for D. Miller
7:21.0,Turnover by A. Brooks (bad pass; steal by R. Rondo),,39-34,,
7:20.0,,,39-36,2,A. Davis makes 2-pt shot at rim
7:20.0,,,39-36,,Shooting foul by A. Brooks (drawn by A. Davis)
7:20.0,T. Jones enters the game for J. Butler,,39-36,,
7:20.0,A. Wiggins enters the game for A. Brooks,,39-36,,
7:20.0,,,39-37,1,A. Davis makes free throw 1 of 1
7:02.0,T. Jones makes 2-pt shot from 10 ft (assist by G. Dieng),2,41-37,,
6:54.0,,,41-37,,Turnover by R. Rondo (lost ball; steal by G. Dieng)
6:53.0,,,41-37,,Personal foul by J. Holiday (drawn by T. Jones)
6:41.0,J. Crawford misses 2-pt shot from 20 ft,,41-37,,
6:38.0,,,41-37,,Defensive rebound by A. Davis
6:31.0,,,41-37,,J. Holiday misses 2-pt shot from 1 ft
6:29.0,,,41-37,,Offensive rebound by T. Allen
6:27.0,,,41-39,2,A. Davis makes 2-pt shot at rim (assist by T. Allen)
6:07.0,A. Wiggins makes 2-pt shot at rim (assist by K. Towns),2,43-39,,
5:56.0,,,43-41,2,A. Davis makes 2-pt shot from 5 ft (assist by R. Rondo)
5:34.0,J. Crawford makes 2-pt shot from 9 ft,2,45-41,,
5:17.0,,,45-43,2,A. Davis makes 2-pt shot from 11 ft (assist by D. Cousins)
5:05.0,Turnover by A. Wiggins (bad pass; steal by J. Holiday),,45-43,,
4:59.0,,,45-43,,A. Davis misses 2-pt shot from 2 ft
4:58.0,Defensive rebound by Team,,45-43,,
4:58.0,,,45-43,,E. Moore enters the game for T. Allen
4:58.0,J. Butler enters the game for J. Crawford,,45-43,,
4:48.0,K. Towns misses 3-pt shot from 25 ft,,45-43,,
4:41.0,Offensive rebound by G. Dieng,,45-43,,
4:41.0,Offensive charge foul by K. Towns (drawn by A. Davis),,45-43,,
4:41.0,Turnover by K. Towns (offensive foul),,45-43,,
4:41.0,T. Gibson enters the game for G. Dieng,,45-43,,
4:26.0,,,45-43,,A. Davis misses 2-pt shot from 1 ft
4:26.0,Defensive rebound by T. Gibson,,45-43,,
4:26.0,,,45-43,,Technical foul by A. Davis
4:26.0,J. Butler makes technical free throw,1,46-43,,
4:11.0,Shooting foul by A. Davis,,46-43,,
4:11.0,,,46-43,,Technical foul by A. Davis
4:11.0,J. Butler makes technical free throw,1,47-43,,
4:11.0,K. Towns makes free throw 1 of 2,1,48-43,,
4:11.0,K. Towns makes free throw 2 of 2,1,49-43,,
4:11.0,,,49-43,,D. Cunningham enters the game for A. Davis
3:56.0,,,49-43,,R. Rondo misses 2-pt shot from 1 ft
3:56.0,Defensive rebound by T. Gibson,,49-43,,
3:56.0,,,49-43,,Loose ball foul by D. Cunningham (drawn by T. Gibson)
3:46.0,J. Butler makes 2-pt shot from 1 ft (assist by T. Jones),2,51-43,,
3:30.0,,,51-43,,J. Holiday misses 2-pt shot from 14 ft
3:30.0,Defensive rebound by K. Towns,,51-43,,
3:12.0,T. Gibson makes 2-pt shot from 2 ft (assist by J. Butler),2,53-43,,
3:01.0,,,53-43,,D. Cousins misses 3-pt shot from 26 ft
2:58.0,Defensive rebound by J. Butler,,53-43,,
2:51.0,Offensive charge foul by K. Towns (drawn by D. Cousins),,53-43,,
2:51.0,Turnover by K. Towns (offensive foul),,53-43,,
2:51.0,Minnesota full timeout,,53-43,,
2:51.0,G. Dieng enters the game for K. Towns,,53-43,,
2:35.0,,,53-43,,Turnover by J. Holiday (bad pass; steal by T. Jones)
2:31.0,J. Butler makes 2-pt shot at rim (assist by A. Wiggins),2,55-43,,
2:26.0,,,55-43,,Turnover by J. Holiday (bad pass; steal by G. Dieng)
2:21.0,T. Gibson makes 2-pt shot at rim (assist by G. Dieng),2,57-43,,
2:12.0,,,57-43,,Shooting foul by G. Dieng (drawn by J. Holiday)
2:12.0,,,57-44,1,J. Holiday makes free throw 1 of 2
2:12.0,,,57-45,1,J. Holiday makes free throw 2 of 2
1:53.0,G. Dieng misses 3-pt shot from 23 ft,,57-45,,
1:50.0,,,57-45,,Defensive rebound by Team
1:38.0,,,57-48,3,J. Holiday makes 3-pt shot from 26 ft (assist by D. Cousins)
1:24.0,,,57-48,,Personal foul by R. Rondo (drawn by T. Jones)
1:24.0,T. Jones makes free throw 1 of 2,1,58-48,,
1:24.0,T. Jones misses free throw 2 of 2,,58-48,,
1:21.0,,,58-48,,Defensive rebound by D. Cunningham
1:02.0,,,58-48,,D. Cunningham misses 2-pt shot from 11 ft
1:02.0,Defensive rebound by T. Gibson,,58-48,,
1:01.0,,,58-48,,Personal foul by R. Rondo (drawn by T. Gibson)
1:01.0,T. Gibson makes free throw 1 of 2,1,59-48,,
1:01.0,,,59-48,,J. Nelson enters the game for R. Rondo
1:01.0,T. Gibson makes free throw 2 of 2,1,60-48,,
0:48.0,Def 3 sec tech foul by T. Gibson,,60-48,,
0:48.0,,,60-49,1,E. Moore makes technical free throw
0:34.0,,,60-49,,J. Nelson misses 3-pt shot from 24 ft
0:34.0,,,60-49,,Offensive rebound by Team
0:34.0,,,60-49,,Turnover by Team (shot clock)
0:13.0,G. Dieng makes 2-pt shot from 17 ft,2,62-49,,
0:06.0,Personal take foul by A. Wiggins (drawn by J. Holiday),,62-49,,
0:00.0,,,62-49,,Turnover by D. Cousins (lost ball; steal by G. Dieng)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:54.0,,,62-49,,Personal foul by D. Cousins (drawn by K. Towns)
11:44.0,A. Wiggins misses 2-pt shot from 20 ft,,62-49,,
11:41.0,,,62-49,,Defensive rebound by D. Cunningham
11:23.0,,,62-49,,D. Cousins misses 3-pt shot from 24 ft
11:18.0,Defensive rebound by T. Jones,,62-49,,
11:09.0,Offensive charge foul by K. Towns (drawn by D. Cousins),,62-49,,
11:09.0,Turnover by K. Towns (offensive foul),,62-49,,
11:09.0,G. Dieng enters the game for K. Towns,,62-49,,
10:59.0,,,62-49,,J. Holiday misses 2-pt shot from 10 ft
10:57.0,Defensive rebound by A. Wiggins,,62-49,,
10:51.0,T. Gibson misses 2-pt shot from 19 ft,,62-49,,
10:49.0,,,62-49,,Defensive rebound by D. Cunningham
10:33.0,,,62-51,2,J. Holiday makes 2-pt shot from 1 ft
10:10.0,A. Wiggins misses 2-pt shot from 20 ft,,62-51,,
10:08.0,,,62-51,,Defensive rebound by D. Cousins
9:56.0,,,62-53,2,D. Cousins makes 2-pt shot from 3 ft
9:34.0,T. Jones makes 2-pt shot from 20 ft,2,64-53,,
9:08.0,,,64-53,,J. Holiday misses 3-pt shot from 23 ft
9:04.0,Defensive rebound by A. Wiggins,,64-53,,
9:01.0,J. Butler makes 3-pt shot from 23 ft (assist by T. Jones),3,67-53,,
8:49.0,,,67-55,2,D. Cousins makes 2-pt shot from 1 ft
8:49.0,,,67-55,,Shooting foul by T. Jones (drawn by D. Cousins)
8:49.0,,,67-56,1,D. Cousins makes free throw 1 of 1
8:32.0,G. Dieng misses 2-pt shot from 20 ft,,67-56,,
8:29.0,,,67-56,,Defensive rebound by E. Moore
8:28.0,Technical foul by G. Dieng (drawn by D. Cousins),,67-56,,
8:28.0,,,67-56,,D. Cousins misses free throw 1 of 2
8:28.0,,,67-56,,Offensive rebound by Team
8:28.0,,,67-57,1,D. Cousins makes free throw 2 of 2
8:24.0,,,67-57,,E. Moore misses 2-pt shot from 4 ft (block by A. Wiggins)
8:17.0,Defensive rebound by G. Dieng,,67-57,,
8:11.0,J. Butler makes 2-pt shot from 1 ft (assist by G. Dieng),2,69-57,,
8:04.0,,,69-60,3,D. Cousins makes 3-pt shot from 24 ft (assist by R. Rondo)
7:35.0,A. Wiggins misses 3-pt shot from 25 ft,,69-60,,
7:34.0,Offensive rebound by T. Gibson,,69-60,,
7:30.0,T. Jones misses 2-pt shot from 10 ft,,69-60,,
7:27.0,,,69-60,,Defensive rebound by D. Cousins
7:19.0,,,69-60,,D. Cousins misses 3-pt shot from 25 ft
7:19.0,Defensive rebound by T. Gibson,,69-60,,
7:12.0,Turnover by T. Jones (bad pass),,69-60,,
7:05.0,,,69-60,,D. Cunningham misses 3-pt shot from 22 ft
6:59.0,,,69-60,,Offensive rebound by E. Moore
6:57.0,,,69-60,,J. Holiday misses 3-pt shot from 25 ft
6:53.0,Defensive rebound by A. Wiggins,,69-60,,
6:46.0,T. Gibson makes 2-pt shot from 2 ft,2,71-60,,
6:40.0,,,71-62,2,J. Holiday makes 2-pt shot at rim (assist by R. Rondo)
6:14.0,A. Wiggins makes 2-pt shot from 20 ft,2,73-62,,
6:04.0,Personal foul by G. Dieng (drawn by D. Cousins),,73-62,,
6:04.0,,,73-62,,New Orleans full timeout
6:04.0,,,73-62,,J. Nelson enters the game for R. Rondo
6:04.0,,,73-62,,D. Miller enters the game for D. Cunningham
5:54.0,,,73-62,,Turnover by D. Cousins (bad pass)
5:40.0,G. Dieng makes 2-pt shot from 18 ft (assist by A. Wiggins),2,75-62,,
5:25.0,,,75-62,,E. Moore misses 2-pt shot from 14 ft
5:21.0,Defensive rebound by T. Jones,,75-62,,
5:12.0,A. Wiggins makes 3-pt shot from 25 ft (assist by T. Jones),3,78-62,,
4:59.0,,,78-65,3,J. Holiday makes 3-pt shot from 25 ft (assist by E. Moore)
4:38.0,A. Wiggins makes 3-pt shot from 25 ft (assist by T. Jones),3,81-65,,
4:14.0,,,81-65,,Turnover by D. Cousins (turnover)
4:00.0,G. Dieng makes 2-pt shot from 20 ft (assist by A. Wiggins),2,83-65,,
3:57.0,,,83-65,,New Orleans full timeout
3:57.0,,,83-65,,T. Allen enters the game for E. Moore
3:57.0,J. Crawford enters the game for J. Butler,,83-65,,
3:42.0,,,83-65,,Turnover by D. Cousins (bad pass; steal by G. Dieng)
3:37.0,J. Crawford makes 2-pt shot from 20 ft (assist by T. Jones),2,85-65,,
3:20.0,,,85-68,3,D. Miller makes 3-pt shot from 24 ft (assist by D. Cousins)
2:54.0,A. Wiggins makes 2-pt shot from 12 ft (assist by G. Dieng),2,87-68,,
2:36.0,,,87-70,2,J. Holiday makes 2-pt shot from 8 ft
2:20.0,A. Wiggins makes 3-pt shot from 25 ft,3,90-70,,
2:07.0,,,90-73,3,D. Miller makes 3-pt shot from 26 ft (assist by J. Holiday)
1:51.0,T. Jones makes 3-pt shot from 23 ft (assist by A. Wiggins),3,93-73,,
1:37.0,,,93-73,,J. Holiday misses 3-pt shot from 23 ft
1:33.0,Defensive rebound by T. Gibson,,93-73,,
1:13.0,Turnover by J. Crawford (bad pass),,93-73,,
1:13.0,,,93-73,,C. Diallo enters the game for D. Cousins
1:03.0,,,93-76,3,D. Miller makes 3-pt shot from 26 ft (assist by C. Diallo)
0:43.0,Turnover by G. Dieng (bad pass),,93-76,,
0:39.0,,,93-76,,D. Miller misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by T. Jones,,93-76,,
0:26.0,J. Crawford misses 2-pt shot from 7 ft,,93-76,,
0:26.0,Offensive rebound by J. Crawford,,93-76,,
0:26.0,,,93-76,,Loose ball foul by C. Diallo (drawn by J. Crawford)
0:09.0,Turnover by A. Wiggins (lost ball; steal by J. Holiday),,93-76,,
0:05.0,,,93-76,,Offensive charge foul by T. Allen (drawn by G. Dieng)
0:05.0,,,93-76,,Turnover by T. Allen (offensive foul)
0:05.0,K. Towns enters the game for G. Dieng,,93-76,,
0:02.0,A. Wiggins misses 3-pt shot from 27 ft,,93-76,,
0:02.0,,,93-76,,Defensive rebound by C. Diallo
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,93-76,,T. Allen misses 2-pt shot from 17 ft
11:37.0,,,93-76,,Offensive rebound by D. Cousins
11:35.0,,,93-78,2,T. Allen makes 2-pt shot from 1 ft (assist by D. Cousins)
11:13.0,J. Crawford misses 3-pt shot from 27 ft,,93-78,,
11:08.0,,,93-78,,Defensive rebound by J. Nelson
11:00.0,,,93-80,2,J. Nelson makes 2-pt shot at rim
10:36.0,J. Butler makes 2-pt shot from 5 ft,2,95-80,,
10:21.0,,,95-80,,D. Miller misses 3-pt shot from 25 ft
10:21.0,Defensive rebound by G. Dieng,,95-80,,
10:04.0,Offensive foul by K. Towns (drawn by T. Allen),,95-80,,
10:04.0,Turnover by K. Towns (offensive foul),,95-80,,
10:04.0,,,95-80,,J. Holiday enters the game for E. Moore
10:04.0,A. Brooks enters the game for T. Jones,,95-80,,
10:04.0,T. Gibson enters the game for K. Towns,,95-80,,
9:45.0,,,95-83,3,J. Nelson makes 3-pt shot from 23 ft (assist by J. Holiday)
9:22.0,A. Brooks misses 3-pt shot from 27 ft,,95-83,,
9:16.0,Offensive rebound by G. Dieng,,95-83,,
9:07.0,A. Brooks makes 3-pt shot from 22 ft (assist by J. Crawford),3,98-83,,
8:55.0,,,98-83,,T. Allen misses 2-pt shot from 2 ft
8:55.0,,,98-83,,Offensive rebound by T. Allen
8:54.0,,,98-83,,Shooting foul by G. Dieng (drawn by T. Allen)
8:54.0,,,98-84,1,T. Allen makes free throw 1 of 2
8:54.0,,,98-85,1,T. Allen makes free throw 2 of 2
8:34.0,J. Crawford misses 2-pt shot from 2 ft,,98-85,,
8:32.0,,,98-85,,Defensive rebound by D. Cousins
8:21.0,,,98-88,3,J. Holiday makes 3-pt shot from 24 ft (assist by J. Nelson)
8:19.0,Minnesota full timeout,,98-88,,
8:19.0,,,98-88,,R. Rondo enters the game for T. Allen
8:19.0,T. Jones enters the game for A. Brooks,,98-88,,
7:59.0,T. Jones makes 3-pt shot from 27 ft (assist by J. Butler),3,101-88,,
7:43.0,,,101-88,,D. Cousins misses 3-pt shot from 26 ft
7:40.0,Defensive rebound by T. Gibson,,101-88,,
7:19.0,T. Jones makes 2-pt shot from 6 ft (assist by J. Butler),2,103-88,,
7:19.0,Shooting foul by D. Miller (drawn by T. Jones),,103-88,,
7:19.0,T. Jones makes free throw 1 of 1,1,104-88,,
7:12.0,,,104-88,,Turnover by R. Rondo (bad pass; steal by T. Jones)
6:56.0,G. Dieng misses 3-pt shot from 23 ft,,104-88,,
6:51.0,,,104-88,,Defensive rebound by D. Cousins
6:34.0,,,104-88,,D. Miller misses 2-pt shot from 21 ft
6:30.0,Defensive rebound by J. Butler,,104-88,,
6:24.0,Turnover by J. Butler (lost ball; steal by J. Nelson),,104-88,,
6:16.0,,,104-88,,J. Holiday misses 3-pt shot from 26 ft
6:13.0,Defensive rebound by J. Butler,,104-88,,
6:01.0,J. Butler misses 2-pt shot from 2 ft (block by J. Holiday),,104-88,,
6:01.0,Offensive rebound by Team,,104-88,,
6:01.0,,,104-88,,New Orleans full timeout
6:01.0,A. Wiggins enters the game for J. Butler,,104-88,,
5:56.0,A. Wiggins makes 2-pt shot from 11 ft,2,106-88,,
5:39.0,Jump ball: D. Cousins vs. T. Jones (R. Rondo gains possession),,,,Jump ball: D. Cousins vs. T. Jones (R. Rondo gains possession)
5:26.0,,,106-88,,D. Miller misses 3-pt shot from 28 ft
5:23.0,,,106-88,,Offensive rebound by J. Holiday
5:19.0,,,106-90,2,J. Holiday makes 2-pt shot from 2 ft (assist by R. Rondo)
4:57.0,A. Wiggins makes 2-pt shot from 1 ft,2,108-90,,
4:46.0,,,108-92,2,D. Cousins makes 2-pt shot from 1 ft (assist by J. Holiday)
4:24.0,G. Dieng makes 2-pt shot from 18 ft (assist by T. Gibson),2,110-92,,
4:07.0,,,110-95,3,J. Holiday makes 3-pt shot from 25 ft (assist by R. Rondo)
3:41.0,A. Wiggins misses 2-pt shot from 14 ft,,110-95,,
3:35.0,,,110-95,,Defensive rebound by D. Cousins
3:31.0,,,110-95,,R. Rondo misses 3-pt shot from 23 ft
3:29.0,Defensive rebound by T. Gibson,,110-95,,
3:04.0,G. Dieng misses 3-pt shot from 23 ft,,110-95,,
3:04.0,Turnover by Team (shot clock),,110-95,,
3:04.0,J. Butler enters the game for J. Crawford,,110-95,,
3:03.0,Offensive rebound by Team,,110-95,,
2:50.0,,,110-95,,J. Holiday misses 2-pt shot from 2 ft
2:50.0,Defensive rebound by A. Wiggins,,110-95,,
2:29.0,Shooting foul by J. Holiday (drawn by A. Wiggins),,110-95,,
2:29.0,A. Wiggins makes free throw 1 of 3,1,111-95,,
2:29.0,A. Wiggins makes free throw 2 of 3,1,112-95,,
2:29.0,,,112-95,,C. Diallo enters the game for D. Cousins
2:29.0,,,112-95,,I. Clark enters the game for R. Rondo
2:29.0,,,112-95,,E. Moore enters the game for J. Holiday
2:29.0,J. Crawford enters the game for J. Butler,,112-95,,
2:29.0,A. Wiggins makes free throw 3 of 3,1,113-95,,
2:14.0,,,113-97,2,I. Clark makes 2-pt shot from 12 ft (assist by D. Miller)
1:53.0,G. Dieng makes 2-pt shot from 20 ft (assist by T. Jones),2,115-97,,
1:46.0,,,115-100,3,D. Miller makes 3-pt shot from 25 ft (assist by J. Nelson)
1:25.0,G. Dieng misses 2-pt shot from 13 ft,,115-100,,
1:20.0,Offensive rebound by T. Gibson,,115-100,,
1:16.0,Turnover by T. Gibson (lost ball; steal by D. Miller),,115-100,,
1:11.0,,,115-102,2,E. Moore makes 2-pt shot from 2 ft (assist by I. Clark)
0:49.0,Shooting foul by I. Clark (drawn by J. Crawford),,115-102,,
0:49.0,J. Crawford makes free throw 1 of 3,1,116-102,,
0:49.0,J. Crawford misses free throw 2 of 3,,116-102,,
0:49.0,Offensive rebound by Team,,116-102,,
0:49.0,A. Brooks enters the game for A. Wiggins,,116-102,,
0:49.0,M. Georges-Hunt enters the game for T. Gibson,,116-102,,
0:49.0,J. Crawford makes free throw 3 of 3,1,117-102,,
0:35.0,,,117-102,,Turnover by D. Miller (bad pass)
0:22.0,G. Dieng makes 3-pt shot from 25 ft (assist by J. Crawford),3,120-102,,
0:09.0,,,120-102,,E. Moore misses 2-pt shot from 10 ft
0:06.0,Defensive rebound by A. Brooks,,120-102,,
