time,Detroit,pts.away,score,pts.home,Portland
7:01.0,Loose ball foul by J. Ennis (drawn by J. Nurkic),,30-38,,
7:01.0,A. Drummond enters the game for A. Tolliver,,30-38,,
6:42.0,,,30-40,2,J. Nurkic makes 2-pt shot from 18 ft (assist by C. McCollum)
6:29.0,B. Griffin makes 3-pt shot from 24 ft (assist by I. Smith),3,33-40,,
6:12.0,,,33-42,2,E. Turner makes 2-pt shot from 17 ft
5:55.0,L. Kennard makes 2-pt shot from 16 ft (assist by B. Griffin),2,35-42,,
5:42.0,,,35-44,2,C. McCollum makes 2-pt shot from 1 ft (assist by J. Nurkic)
5:32.0,,,35-44,,Personal foul by A. Aminu (drawn by B. Griffin)
5:32.0,B. Griffin makes free throw 1 of 2,1,36-44,,
5:32.0,,,36-44,,P. Connaughton enters the game for E. Turner
5:32.0,,,36-44,,D. Lillard enters the game for C. McCollum
5:32.0,,,36-44,,M. Harkless enters the game for S. Napier
5:32.0,R. Bullock enters the game for L. Kennard,,36-44,,
5:32.0,B. Griffin misses free throw 2 of 2,,36-44,,
5:32.0,,,36-44,,Defensive rebound by D. Lillard
5:07.0,,,36-46,2,J. Nurkic makes 2-pt shot from 17 ft
4:55.0,B. Griffin misses 2-pt shot from 4 ft,,36-46,,
4:55.0,,,36-46,,Defensive rebound by J. Nurkic
4:39.0,Personal foul by J. Ennis (drawn by A. Aminu),,36-46,,
4:39.0,,,36-47,1,A. Aminu makes free throw 1 of 2
4:39.0,A. Tolliver enters the game for I. Smith,,36-47,,
4:39.0,D. Buycks enters the game for B. Griffin,,36-47,,
4:39.0,S. Johnson enters the game for J. Ennis,,36-47,,
4:39.0,,,36-48,1,A. Aminu makes free throw 2 of 2
4:24.0,A. Tolliver makes 3-pt shot from 25 ft (assist by D. Buycks),3,39-48,,
4:11.0,,,39-48,,Shooting foul by D. Buycks (drawn by D. Lillard)
4:11.0,,,39-49,1,D. Lillard makes free throw 1 of 3
4:11.0,,,39-50,1,D. Lillard makes free throw 2 of 3
4:11.0,,,39-51,1,D. Lillard makes free throw 3 of 3
4:00.0,D. Buycks misses 2-pt shot from 2 ft,,39-51,,
3:58.0,Offensive rebound by A. Drummond,,39-51,,
3:58.0,A. Drummond misses 2-pt shot at rim,,39-51,,
3:58.0,Offensive rebound by R. Bullock,,39-51,,
3:56.0,S. Johnson misses 3-pt shot from 25 ft,,39-51,,
3:53.0,,,39-51,,Defensive rebound by A. Aminu
3:47.0,Personal foul by A. Tolliver (drawn by J. Nurkic),,39-51,,
3:47.0,,,39-51,,J. Nurkic misses free throw 1 of 2
3:47.0,,,39-51,,Offensive rebound by Team
3:47.0,,,39-52,1,J. Nurkic makes free throw 2 of 2
3:32.0,S. Johnson misses 2-pt shot from 10 ft,,39-52,,
3:30.0,,,39-52,,Defensive rebound by A. Aminu
3:20.0,,,39-52,,J. Nurkic misses 2-pt shot from 20 ft
3:17.0,,,39-52,,Offensive rebound by D. Lillard
3:16.0,,,39-54,2,D. Lillard makes 2-pt shot at rim
3:00.0,Turnover by D. Buycks (bad pass),,39-54,,
3:00.0,B. Griffin enters the game for A. Drummond,,39-54,,
2:45.0,,,39-54,,D. Lillard misses 2-pt shot from 20 ft
2:43.0,,,39-54,,Offensive rebound by D. Lillard
2:43.0,,,39-54,,Shooting foul by A. Tolliver (drawn by D. Lillard)
2:43.0,Detroit full timeout,,39-54,,
2:43.0,L. Kennard enters the game for S. Johnson,,39-54,,
2:43.0,A. Drummond enters the game for A. Tolliver,,39-54,,
2:43.0,,,39-55,1,D. Lillard makes free throw 1 of 2
2:43.0,,,39-56,1,D. Lillard makes free throw 2 of 2
2:31.0,R. Bullock makes 3-pt shot from 25 ft (assist by L. Kennard),3,42-56,,
2:12.0,,,42-56,,J. Nurkic misses 2-pt shot from 1 ft
2:10.0,Defensive rebound by B. Griffin,,42-56,,
2:04.0,L. Kennard makes 3-pt shot from 25 ft (assist by B. Griffin),3,45-56,,
1:43.0,,,45-56,,D. Lillard misses 3-pt shot from 28 ft
1:40.0,Defensive rebound by R. Bullock,,45-56,,
1:22.0,Turnover by L. Kennard (lost ball; steal by D. Lillard),,45-56,,
1:19.0,,,45-58,2,P. Connaughton makes 2-pt shot from 1 ft (assist by D. Lillard)
0:56.0,Turnover by D. Buycks (bad pass; steal by A. Aminu),,45-58,,
0:43.0,,,45-58,,M. Harkless misses 2-pt shot from 1 ft
0:41.0,Defensive rebound by B. Griffin,,45-58,,
0:36.0,Turnover by B. Griffin (lost ball; steal by P. Connaughton),,45-58,,
0:31.0,,,45-60,2,A. Aminu makes 2-pt shot at rim (assist by D. Lillard)
0:15.0,D. Buycks misses 2-pt shot from 2 ft (block by A. Aminu),,45-60,,
0:12.0,,,45-60,,Defensive rebound by J. Nurkic
0:00.0,,,45-60,,D. Lillard misses 2-pt shot from 1 ft
0:00.0,,,45-60,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,45-60,,J. Nurkic misses 2-pt shot from 1 ft
11:38.0,,,45-60,,Offensive rebound by Team
11:29.0,,,45-60,,C. McCollum misses 3-pt shot from 25 ft
11:25.0,,,45-60,,Offensive rebound by J. Nurkic
11:21.0,,,45-60,,Turnover by J. Nurkic (lost ball; steal by I. Smith)
11:11.0,R. Bullock misses 2-pt shot from 3 ft,,45-60,,
11:08.0,Offensive rebound by R. Bullock,,45-60,,
11:07.0,R. Bullock misses 2-pt shot from 2 ft,,45-60,,
11:07.0,,,45-60,,Defensive rebound by A. Aminu
11:00.0,Personal foul by J. Ennis (drawn by M. Harkless),,45-60,,
10:45.0,,,45-60,,J. Nurkic misses 2-pt shot from 4 ft (block by A. Drummond)
10:42.0,Defensive rebound by B. Griffin,,45-60,,
10:32.0,A. Drummond makes 2-pt shot from 1 ft (assist by B. Griffin),2,47-60,,
10:14.0,,,47-60,,A. Aminu misses 3-pt shot from 25 ft
10:12.0,Defensive rebound by A. Drummond,,47-60,,
10:08.0,Turnover by I. Smith (bad pass),,47-60,,
9:51.0,,,47-62,2,C. McCollum makes 2-pt shot from 12 ft (assist by M. Harkless)
9:26.0,I. Smith makes 3-pt shot from 23 ft (assist by B. Griffin),3,50-62,,
8:58.0,,,50-62,,J. Nurkic misses 2-pt shot from 3 ft
8:57.0,,,50-62,,Offensive rebound by J. Nurkic
8:56.0,,,50-64,2,J. Nurkic makes 2-pt shot from 1 ft
8:36.0,B. Griffin makes 2-pt shot at rim,2,52-64,,
8:26.0,,,52-66,2,M. Harkless makes 2-pt shot from 1 ft (assist by D. Lillard)
8:12.0,Shooting foul by J. Nurkic (drawn by A. Drummond),,52-66,,
8:12.0,A. Drummond makes free throw 1 of 2,1,53-66,,
8:12.0,A. Drummond misses free throw 2 of 2,,53-66,,
8:10.0,,,53-66,,Defensive rebound by J. Nurkic
7:57.0,,,53-66,,D. Lillard misses 3-pt shot from 27 ft
7:53.0,Defensive rebound by I. Smith,,53-66,,
7:50.0,I. Smith misses 2-pt shot from 2 ft (block by D. Lillard),,53-66,,
7:48.0,Jump ball: D. Lillard vs. I. Smith (C. McCollum gains possession),,,,Jump ball: D. Lillard vs. I. Smith (C. McCollum gains possession)
7:48.0,,,53-66,,Offensive rebound by Team
7:40.0,,,53-66,,M. Harkless misses 3-pt shot from 22 ft
7:37.0,Defensive rebound by A. Drummond,,53-66,,
7:18.0,B. Griffin misses 2-pt shot from 3 ft,,53-66,,
7:16.0,,,53-66,,Defensive rebound by J. Nurkic
7:05.0,,,53-66,,D. Lillard misses 2-pt shot from 21 ft
7:04.0,Defensive rebound by A. Drummond,,53-66,,
6:54.0,J. Ennis misses 2-pt shot from 2 ft (block by C. McCollum),,53-66,,
6:50.0,,,53-66,,Defensive rebound by C. McCollum
6:41.0,,,53-68,2,C. McCollum makes 2-pt shot from 10 ft
6:41.0,Detroit full timeout,,53-68,,
6:41.0,L. Kennard enters the game for J. Ennis,,53-68,,
6:17.0,R. Bullock makes 2-pt shot from 21 ft (assist by B. Griffin),2,55-68,,
6:01.0,Violation by A. Drummond (kicked ball),,55-68,,
5:54.0,,,55-68,,C. McCollum misses 3-pt shot from 25 ft
5:51.0,Defensive rebound by A. Drummond,,55-68,,
5:43.0,Turnover by B. Griffin (bad pass; steal by M. Harkless),,55-68,,
5:32.0,,,55-70,2,J. Nurkic makes 2-pt shot from 1 ft (assist by A. Aminu)
5:13.0,L. Kennard makes 2-pt shot from 20 ft,2,57-70,,
4:58.0,,,57-70,,Turnover by A. Aminu (bad pass; steal by R. Bullock)
4:58.0,,,57-70,,Personal take foul by J. Nurkic (drawn by R. Bullock)
4:58.0,,,57-70,,Z. Collins enters the game for A. Aminu
4:58.0,,,57-70,,E. Davis enters the game for J. Nurkic
4:58.0,D. Buycks enters the game for A. Drummond,,57-70,,
4:58.0,A. Tolliver enters the game for I. Smith,,57-70,,
4:47.0,,,57-70,,Violation by E. Davis (kicked ball)
4:33.0,B. Griffin misses 3-pt shot from 29 ft,,57-70,,
4:30.0,,,57-70,,Defensive rebound by Z. Collins
4:14.0,,,57-70,,Turnover by Z. Collins (step out of bounds)
4:14.0,,,57-70,,E. Turner enters the game for M. Harkless
4:14.0,S. Johnson enters the game for R. Bullock,,57-70,,
4:00.0,B. Griffin misses 2-pt shot from 2 ft (block by D. Lillard),,57-70,,
3:57.0,,,57-70,,Defensive rebound by Z. Collins
3:49.0,,,57-70,,Turnover by E. Turner (bad pass; steal by D. Buycks)
3:37.0,S. Johnson misses 3-pt shot from 24 ft,,57-70,,
3:35.0,,,57-70,,Defensive rebound by E. Davis
3:22.0,,,57-70,,Z. Collins misses 3-pt shot from 22 ft
3:19.0,Defensive rebound by S. Johnson,,57-70,,
3:08.0,S. Johnson misses 2-pt shot from 20 ft,,57-70,,
3:07.0,,,57-70,,Defensive rebound by E. Davis
2:50.0,,,57-70,,Turnover by C. McCollum (out of bounds lost ball)
2:50.0,,,57-70,,Portland full timeout
2:50.0,,,57-70,,P. Connaughton enters the game for C. McCollum
2:50.0,A. Drummond enters the game for B. Griffin,,57-70,,
2:40.0,L. Kennard misses 2-pt shot from 10 ft,,57-70,,
2:37.0,,,57-70,,Defensive rebound by E. Davis
2:21.0,,,57-73,3,Z. Collins makes 3-pt shot from 24 ft (assist by D. Lillard)
2:07.0,D. Buycks misses 2-pt shot from 19 ft,,57-73,,
2:05.0,,,57-73,,Defensive rebound by D. Lillard
1:58.0,,,57-76,3,D. Lillard makes 3-pt shot from 26 ft
1:43.0,A. Tolliver makes 3-pt shot from 25 ft (assist by L. Kennard),3,60-76,,
1:23.0,,,60-76,,E. Turner misses 2-pt shot from 2 ft
1:22.0,Defensive rebound by A. Drummond,,60-76,,
1:15.0,Shooting foul by E. Davis (drawn by A. Drummond),,60-76,,
1:15.0,A. Drummond makes free throw 1 of 2,1,61-76,,
1:15.0,A. Drummond makes free throw 2 of 2,1,62-76,,
0:55.0,,,62-76,,Shooting foul by A. Tolliver (drawn by E. Davis)
0:55.0,,,62-77,1,E. Davis makes free throw 1 of 2
0:55.0,,,62-78,1,E. Davis makes free throw 2 of 2
0:42.0,L. Kennard misses 2-pt shot from 19 ft (block by P. Connaughton),,62-78,,
0:40.0,Offensive rebound by L. Kennard,,62-78,,
0:38.0,S. Johnson misses 2-pt shot from 1 ft,,62-78,,
0:36.0,,,62-78,,Defensive rebound by D. Lillard
0:34.0,Personal foul by D. Buycks (drawn by D. Lillard),,62-78,,
0:34.0,,,62-79,1,D. Lillard makes free throw 1 of 2
0:34.0,,,62-80,1,D. Lillard makes free throw 2 of 2
0:24.0,Shooting foul by E. Davis (drawn by A. Drummond),,62-80,,
0:24.0,A. Drummond misses free throw 1 of 2,,62-80,,
0:24.0,Offensive rebound by Team,,62-80,,
0:24.0,,,62-80,,C. McCollum enters the game for E. Turner
0:24.0,A. Drummond makes free throw 2 of 2,1,63-80,,
0:02.0,,,63-80,,D. Lillard misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by A. Drummond,,63-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,A. Tolliver misses 3-pt shot from 24 ft,,63-80,,
11:43.0,,,63-80,,Defensive rebound by C. McCollum
11:27.0,,,63-80,,S. Napier misses 3-pt shot from 25 ft
11:23.0,Defensive rebound by A. Drummond,,63-80,,
11:07.0,A. Drummond makes 2-pt shot from 3 ft (assist by S. Johnson),2,65-80,,
10:47.0,,,65-80,,C. McCollum misses 2-pt shot from 14 ft
10:46.0,Defensive rebound by A. Drummond,,65-80,,
10:29.0,D. Buycks makes 2-pt shot from 16 ft,2,67-80,,
10:11.0,,,67-82,2,E. Davis makes 2-pt shot from 2 ft (assist by C. McCollum)
9:56.0,L. Kennard misses 2-pt shot from 1 ft,,67-82,,
9:53.0,Offensive rebound by A. Drummond,,67-82,,
9:53.0,A. Drummond makes 2-pt shot at rim,2,69-82,,
9:26.0,,,69-82,,S. Napier misses 2-pt shot from 13 ft
9:23.0,Defensive rebound by S. Johnson,,69-82,,
9:18.0,A. Tolliver misses 3-pt shot from 22 ft,,69-82,,
9:16.0,Offensive rebound by A. Drummond,,69-82,,
9:14.0,A. Drummond misses 2-pt shot from 1 ft,,69-82,,
9:14.0,,,69-82,,Defensive rebound by E. Turner
9:05.0,,,69-84,2,C. McCollum makes 2-pt shot from 14 ft
8:45.0,S. Johnson makes 2-pt shot from 1 ft,2,71-84,,
8:45.0,Shooting foul by C. McCollum (drawn by S. Johnson),,71-84,,
8:45.0,B. Griffin enters the game for A. Drummond,,71-84,,
8:45.0,S. Johnson makes free throw 1 of 1,1,72-84,,
8:33.0,Personal foul by B. Griffin (drawn by C. McCollum),,72-84,,
8:25.0,,,72-84,,C. McCollum misses 2-pt shot from 17 ft
8:24.0,Defensive rebound by S. Johnson,,72-84,,
8:18.0,S. Johnson makes 2-pt shot from 1 ft,2,74-84,,
7:54.0,,,74-84,,S. Napier misses 2-pt shot from 3 ft
7:51.0,,,74-84,,Offensive rebound by S. Napier
7:51.0,,,74-84,,S. Napier misses 2-pt shot at rim
7:50.0,Defensive rebound by B. Griffin,,74-84,,
7:48.0,,,74-84,,D. Lillard enters the game for S. Napier
7:48.0,,,74-84,,A. Aminu enters the game for Z. Collins
7:44.0,Turnover by D. Buycks (bad pass; steal by E. Turner),,74-84,,
7:39.0,,,74-86,2,E. Turner makes 2-pt shot from 15 ft
7:34.0,Detroit full timeout,,74-86,,
7:34.0,Technical foul by L. Kennard,,74-86,,
7:34.0,,,74-87,1,D. Lillard makes technical free throw
7:10.0,S. Johnson misses 3-pt shot from 22 ft,,74-87,,
7:07.0,,,74-87,,Defensive rebound by A. Aminu
6:54.0,Personal foul by S. Johnson (drawn by E. Turner),,74-87,,
6:54.0,I. Smith enters the game for S. Johnson,,74-87,,
6:54.0,R. Bullock enters the game for D. Buycks,,74-87,,
6:47.0,,,74-87,,D. Lillard misses 3-pt shot from 27 ft
6:45.0,Defensive rebound by L. Kennard,,74-87,,
6:31.0,L. Kennard misses 3-pt shot from 28 ft,,74-87,,
6:28.0,,,74-87,,Defensive rebound by C. McCollum
6:20.0,,,74-87,,D. Lillard misses 2-pt shot from 2 ft
6:20.0,,,74-87,,Offensive rebound by Team
6:20.0,Loose ball foul by B. Griffin (drawn by E. Davis),,74-87,,
6:19.0,,,74-89,2,C. McCollum makes 2-pt shot from 1 ft (assist by E. Turner)
5:59.0,R. Bullock makes 3-pt shot from 25 ft (assist by B. Griffin),3,77-89,,
5:39.0,,,77-91,2,E. Turner makes 2-pt shot from 17 ft (assist by A. Aminu)
5:23.0,B. Griffin misses 3-pt shot from 24 ft,,77-91,,
5:22.0,,,77-91,,Defensive rebound by A. Aminu
5:04.0,,,77-91,,D. Lillard misses 2-pt shot from 2 ft
5:02.0,Defensive rebound by I. Smith,,77-91,,
4:54.0,I. Smith misses 3-pt shot from 25 ft,,77-91,,
4:52.0,Offensive rebound by B. Griffin,,77-91,,
4:52.0,B. Griffin makes 2-pt shot at rim,2,79-91,,
4:52.0,Shooting foul by A. Aminu (drawn by B. Griffin),,79-91,,
4:52.0,,,79-91,,M. Harkless enters the game for E. Turner
4:52.0,,,79-91,,J. Nurkic enters the game for E. Davis
4:52.0,A. Drummond enters the game for A. Tolliver,,79-91,,
4:52.0,B. Griffin makes free throw 1 of 1,1,80-91,,
4:37.0,,,80-91,,Turnover by C. McCollum (bad pass)
4:24.0,L. Kennard misses 2-pt shot from 2 ft,,80-91,,
4:22.0,Offensive rebound by A. Drummond,,80-91,,
4:22.0,A. Drummond makes 2-pt shot at rim,2,82-91,,
4:22.0,,,82-91,,Portland full timeout
4:04.0,,,82-91,,Turnover by A. Aminu (bad pass)
3:51.0,Shooting foul by D. Lillard (drawn by L. Kennard),,82-91,,
3:51.0,L. Kennard makes free throw 1 of 2,1,83-91,,
3:51.0,L. Kennard makes free throw 2 of 2,1,84-91,,
3:37.0,,,84-94,3,A. Aminu makes 3-pt shot from 23 ft (assist by J. Nurkic)
3:27.0,,,84-94,,Personal foul by A. Aminu (drawn by L. Kennard)
3:10.0,B. Griffin misses 2-pt shot from 2 ft,,84-94,,
3:08.0,,,84-94,,Defensive rebound by A. Aminu
3:00.0,,,84-94,,D. Lillard misses 3-pt shot from 26 ft
2:58.0,Defensive rebound by A. Drummond,,84-94,,
2:48.0,B. Griffin misses 2-pt shot from 4 ft,,84-94,,
2:45.0,,,84-94,,Defensive rebound by A. Aminu
