time,Dallas,pts.away,score,pts.home,Utah
7:56.0,,,7-15,,Defensive rebound by R. Gobert
7:44.0,,,7-15,,D. Favors misses 2-pt shot from 16 ft
7:41.0,Defensive rebound by D. Nowitzki,,7-15,,
7:28.0,,,7-15,,Def 3 sec tech foul by R. Gobert
7:28.0,D. Nowitzki makes technical free throw,1,8-15,,
7:23.0,W. Matthews makes 2-pt shot from 15 ft,2,10-15,,
7:09.0,,,10-15,,D. Mitchell misses 2-pt shot from 20 ft
7:07.0,Defensive rebound by D. Smith,,10-15,,
6:58.0,D. Smith misses 2-pt shot from 5 ft,,10-15,,
6:56.0,Offensive rebound by D. Smith,,10-15,,
6:52.0,D. Smith misses 3-pt shot from 25 ft,,10-15,,
6:48.0,,,10-15,,Defensive rebound by J. Ingles
6:40.0,,,10-15,,J. Ingles misses 3-pt shot from 26 ft
6:38.0,Defensive rebound by D. Nowitzki,,10-15,,
6:32.0,J. Barea makes 2-pt shot from 4 ft,2,12-15,,
6:18.0,,,12-18,3,D. Mitchell makes 3-pt shot from 23 ft (assist by J. Ingles)
6:02.0,J. Barea makes 2-pt shot from 14 ft,2,14-18,,
5:50.0,,,14-18,,R. Rubio misses 2-pt shot from 20 ft
5:49.0,Defensive rebound by D. Nowitzki,,14-18,,
5:43.0,Turnover by H. Barnes (lost ball; steal by R. Rubio),,14-18,,
5:30.0,,,14-18,,D. Mitchell misses 3-pt shot from 26 ft
5:26.0,,,14-18,,Offensive rebound by R. Rubio
5:24.0,,,14-20,2,R. Rubio makes 2-pt shot from 16 ft
5:14.0,Dallas full timeout,,14-20,,
5:14.0,S. Mejri enters the game for D. Nowitzki,,14-20,,
5:14.0,Y. Ferrell enters the game for J. Barea,,14-20,,
5:14.0,,,14-20,,J. Crowder enters the game for J. Ingles
5:14.0,,,14-20,,J. Jerebko enters the game for R. Rubio
5:14.0,,,14-20,,R. O'Neale enters the game for D. Favors
5:02.0,H. Barnes misses 2-pt shot from 15 ft,,14-20,,
4:58.0,Offensive rebound by S. Mejri,,14-20,,
4:56.0,Y. Ferrell misses 3-pt shot from 25 ft,,14-20,,
4:56.0,,,14-20,,Defensive rebound by J. Jerebko
4:42.0,,,14-22,2,J. Crowder makes 2-pt shot from 2 ft (assist by R. O'Neale)
4:28.0,D. Smith makes 2-pt shot from 7 ft,2,16-22,,
4:10.0,,,16-24,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Crowder)
4:10.0,,,16-24,,Shooting foul by H. Barnes (drawn by R. Gobert)
4:10.0,,,16-25,1,R. Gobert makes free throw 1 of 1
4:00.0,W. Matthews misses 3-pt shot from 25 ft,,16-25,,
3:56.0,,,16-25,,Defensive rebound by J. Jerebko
3:40.0,,,16-27,2,J. Crowder makes 2-pt shot from 2 ft (assist by D. Mitchell)
3:13.0,D. Smith misses 3-pt shot from 26 ft,,16-27,,
3:10.0,,,16-27,,Defensive rebound by J. Crowder
3:05.0,,,16-30,3,R. O'Neale makes 3-pt shot from 26 ft (assist by J. Jerebko)
2:47.0,,,16-30,,Personal foul by R. Gobert (drawn by W. Matthews)
2:47.0,,,16-30,,D. Favors enters the game for R. Gobert
2:47.0,K. Collinsworth enters the game for D. Smith,,16-30,,
2:35.0,W. Matthews misses 3-pt shot from 26 ft,,16-30,,
2:35.0,,,16-30,,Defensive rebound by J. Jerebko
2:13.0,,,16-30,,Turnover by J. Jerebko (bad pass; steal by S. Mejri)
2:02.0,Y. Ferrell makes 2-pt shot from 17 ft,2,18-30,,
1:48.0,Personal foul by K. Collinsworth (drawn by D. Mitchell),,18-30,,
1:48.0,,,18-30,,J. Ingles enters the game for D. Mitchell
1:38.0,,,18-33,3,J. Crowder makes 3-pt shot from 25 ft
1:30.0,Shooting foul by J. Crowder (drawn by W. Matthews),,18-33,,
1:30.0,W. Matthews makes free throw 1 of 2,1,19-33,,
1:30.0,W. Matthews makes free throw 2 of 2,1,20-33,,
1:19.0,,,20-33,,J. Ingles misses 2-pt shot from 1 ft
1:18.0,Defensive rebound by S. Mejri,,20-33,,
1:11.0,Turnover by K. Collinsworth (bad pass; steal by J. Crowder),,20-33,,
1:06.0,,,20-33,,J. Jerebko misses 2-pt shot from 2 ft
1:05.0,,,20-33,,Offensive rebound by D. Favors
1:05.0,,,20-33,,D. Favors misses 2-pt shot at rim
1:05.0,,,20-33,,Offensive rebound by Team
1:05.0,,,20-33,,A. Burks enters the game for J. Jerebko
1:03.0,,,20-33,,J. Crowder misses 3-pt shot from 22 ft
0:59.0,Defensive rebound by K. Collinsworth,,20-33,,
0:50.0,Turnover by S. Mejri (lost ball; steal by J. Ingles),,20-33,,
0:50.0,Personal foul by S. Mejri (drawn by J. Ingles),,20-33,,
0:50.0,,,20-34,1,J. Ingles makes free throw 1 of 2
0:50.0,D. Nowitzki enters the game for K. Collinsworth,,20-34,,
0:50.0,D. McDermott enters the game for W. Matthews,,20-34,,
0:50.0,J. Barea enters the game for S. Mejri,,20-34,,
0:50.0,D. Powell enters the game for H. Barnes,,20-34,,
0:50.0,,,20-35,1,J. Ingles makes free throw 2 of 2
0:36.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by J. Barea),3,23-35,,
0:29.0,,,23-35,,J. Ingles misses 3-pt shot from 26 ft
0:25.0,Defensive rebound by J. Barea,,23-35,,
0:06.0,J. Barea misses 3-pt shot from 25 ft,,23-35,,
0:04.0,,,23-35,,Defensive rebound by A. Burks
0:00.0,,,23-35,,A. Burks misses 3-pt shot from 25 ft
0:00.0,,,23-35,,Offensive rebound by R. O'Neale
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,D. Powell makes 2-pt shot from 2 ft (assist by J. Barea),2,25-35,,
11:27.0,,,25-35,,J. Crowder misses 3-pt shot from 25 ft
11:24.0,Defensive rebound by Y. Ferrell,,25-35,,
11:16.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by Y. Ferrell),2,27-35,,
10:49.0,,,27-37,2,A. Burks makes 2-pt shot from 5 ft
10:39.0,D. Nowitzki makes 2-pt shot from 20 ft (assist by J. Barea),2,29-37,,
10:17.0,,,29-37,,R. Rubio misses 2-pt shot from 17 ft
10:13.0,Defensive rebound by D. Nowitzki,,29-37,,
10:01.0,D. Nowitzki misses 2-pt shot from 15 ft,,29-37,,
9:58.0,,,29-37,,Defensive rebound by R. Rubio
9:45.0,,,29-37,,A. Burks misses 2-pt shot from 1 ft
9:43.0,Defensive rebound by J. Barea,,29-37,,
9:42.0,,,29-37,,Personal foul by R. Rubio (drawn by J. Barea)
9:28.0,Y. Ferrell misses 3-pt shot from 24 ft,,29-37,,
9:24.0,Offensive rebound by D. Powell,,29-37,,
9:14.0,J. Barea misses 2-pt shot from 19 ft,,29-37,,
9:12.0,Offensive rebound by Team,,29-37,,
9:12.0,,,29-37,,Loose ball foul by D. Favors (drawn by D. Powell)
9:12.0,,,29-37,,R. Gobert enters the game for A. Burks
9:12.0,,,29-37,,R. O'Neale enters the game for J. Jerebko
9:04.0,Turnover by Y. Ferrell (bad pass),,29-37,,
8:50.0,,,29-37,,Shooting foul by D. Nowitzki (drawn by D. Favors)
8:50.0,,,29-38,1,D. Favors makes free throw 1 of 2
8:50.0,,,29-38,,D. Favors misses free throw 2 of 2
8:48.0,Defensive rebound by D. Powell,,29-38,,
8:34.0,,,29-38,,Personal foul by R. O'Neale (drawn by D. Powell)
8:29.0,D. McDermott makes 3-pt shot from 25 ft (assist by J. Barea),3,32-38,,
8:10.0,,,32-38,,J. Crowder misses 2-pt shot from 19 ft
8:06.0,,,32-38,,Offensive rebound by R. Gobert
8:06.0,,,32-38,,R. Gobert misses 2-pt shot at rim
8:04.0,Defensive rebound by D. McDermott,,32-38,,
8:01.0,J. Barea misses 3-pt shot from 25 ft,,32-38,,
7:59.0,,,32-38,,Defensive rebound by J. Crowder
7:53.0,Personal foul by D. McDermott (drawn by J. Crowder),,32-38,,
7:53.0,,,32-38,,J. Ingles enters the game for J. Crowder
7:42.0,,,32-38,,Turnover by R. Gobert (lost ball; steal by D. McDermott)
7:39.0,Y. Ferrell makes 2-pt shot from 4 ft,2,34-38,,
7:39.0,,,34-38,,Utah full timeout
7:39.0,,,34-38,,D. Mitchell enters the game for R. Rubio
7:17.0,,,34-40,2,J. Ingles makes 2-pt shot from 19 ft
7:03.0,D. McDermott misses 2-pt shot from 2 ft,,34-40,,
7:00.0,,,34-40,,Defensive rebound by D. Favors
6:56.0,,,34-40,,Shooting foul by D. McDermott (drawn by R. O'Neale)
6:56.0,,,34-41,1,R. O'Neale makes free throw 1 of 2
6:56.0,,,34-42,1,R. O'Neale makes free throw 2 of 2
6:41.0,D. McDermott makes 3-pt shot from 26 ft (assist by J. Barea),3,37-42,,
6:25.0,,,37-42,,R. O'Neale misses 2-pt shot from 7 ft
6:24.0,,,37-42,,Offensive rebound by R. O'Neale
6:22.0,,,37-42,,D. Favors misses 2-pt shot from 7 ft
6:22.0,Defensive rebound by Team,,37-42,,
6:22.0,,,37-42,,Loose ball foul by D. Favors (drawn by D. Nowitzki)
6:22.0,,,37-42,,J. Crowder enters the game for D. Favors
6:09.0,D. McDermott makes 2-pt shot from 6 ft (assist by J. Barea),2,39-42,,
5:46.0,,,39-42,,D. Mitchell misses 2-pt shot from 9 ft
5:44.0,Defensive rebound by D. Nowitzki,,39-42,,
5:41.0,J. Barea makes 2-pt shot from 2 ft (assist by D. Nowitzki),2,41-42,,
5:41.0,,,41-42,,Utah full timeout
5:41.0,,,41-42,,A. Burks enters the game for R. O'Neale
5:30.0,,,41-42,,Turnover by D. Mitchell (bad pass; steal by Y. Ferrell)
5:20.0,D. Nowitzki misses 3-pt shot from 26 ft,,41-42,,
5:20.0,Offensive rebound by D. Powell,,41-42,,
5:20.0,,,41-42,,Personal foul by J. Crowder (drawn by D. Powell)
5:20.0,D. Powell makes free throw 1 of 2,1,42-42,,
5:20.0,D. Powell makes free throw 2 of 2,1,43-42,,
5:06.0,,,43-42,,Turnover by J. Ingles (bad pass)
4:54.0,,,43-42,,Personal foul by J. Ingles (drawn by D. Powell)
4:54.0,D. Powell makes free throw 1 of 2,1,44-42,,
4:54.0,D. Powell makes free throw 2 of 2,1,45-42,,
4:29.0,,,45-42,,J. Crowder misses 3-pt shot from 24 ft
4:29.0,,,45-42,,Offensive rebound by Team
4:29.0,,,45-42,,Turnover by Team (shot clock)
4:16.0,J. Barea makes 2-pt shot from 3 ft,2,47-42,,
3:58.0,,,47-42,,A. Burks misses 2-pt shot from 19 ft
3:54.0,Defensive rebound by Y. Ferrell,,47-42,,
3:45.0,D. McDermott misses 3-pt shot from 22 ft (block by J. Ingles),,47-42,,
3:45.0,Offensive rebound by Team,,47-42,,
3:35.0,D. Powell makes 2-pt shot from 3 ft (assist by J. Barea),2,49-42,,
3:20.0,,,49-42,,J. Crowder misses 3-pt shot from 25 ft
3:17.0,Defensive rebound by D. Nowitzki,,49-42,,
3:07.0,J. Barea misses 2-pt shot from 14 ft,,49-42,,
3:05.0,,,49-42,,Defensive rebound by D. Mitchell
3:02.0,,,49-45,3,J. Ingles makes 3-pt shot from 26 ft (assist by D. Mitchell)
3:01.0,,,49-45,,Away from play foul by R. Gobert (drawn by D. McDermott)
3:01.0,D. McDermott misses free throw 1 of 2,,49-45,,
3:01.0,Offensive rebound by Team,,49-45,,
3:01.0,,,49-45,,R. Rubio enters the game for A. Burks
3:01.0,H. Barnes enters the game for J. Barea,,49-45,,
3:01.0,D. Smith enters the game for D. Nowitzki,,49-45,,
3:01.0,D. McDermott makes free throw 2 of 2,1,50-45,,
2:44.0,Personal foul by Y. Ferrell (drawn by R. Rubio),,50-45,,
2:44.0,W. Matthews enters the game for Y. Ferrell,,50-45,,
2:32.0,,,50-47,2,R. Gobert makes 2-pt shot from 3 ft (assist by J. Ingles)
2:13.0,W. Matthews misses 2-pt shot from 7 ft,,50-47,,
2:13.0,,,50-47,,Defensive rebound by Team
1:56.0,,,50-47,,R. Rubio misses 3-pt shot from 25 ft
1:54.0,,,50-47,,Offensive rebound by Team
1:54.0,Loose ball foul by W. Matthews (drawn by R. Gobert),,50-47,,
1:54.0,,,50-47,,R. Gobert misses free throw 1 of 2
1:54.0,,,50-47,,Offensive rebound by Team
1:54.0,,,50-48,1,R. Gobert makes free throw 2 of 2
1:40.0,H. Barnes misses 3-pt shot from 26 ft,,50-48,,
1:37.0,,,50-48,,Defensive rebound by R. Gobert
1:31.0,,,50-48,,J. Ingles misses 3-pt shot from 25 ft
1:29.0,Defensive rebound by D. Smith,,50-48,,
1:20.0,D. Smith misses 2-pt shot from 2 ft,,50-48,,
1:18.0,,,50-48,,Defensive rebound by R. Rubio
1:10.0,,,50-50,2,J. Ingles makes 2-pt shot from 3 ft (assist by R. Rubio)
0:44.0,D. Powell misses 2-pt shot from 16 ft,,50-50,,
0:43.0,,,50-50,,Defensive rebound by D. Mitchell
0:38.0,,,50-53,3,D. Mitchell makes 3-pt shot from 24 ft
0:31.0,D. Powell misses 3-pt shot from 26 ft,,50-53,,
0:28.0,,,50-53,,Defensive rebound by R. Gobert
0:07.0,,,50-53,,D. Mitchell misses 3-pt shot from 25 ft
0:04.0,Defensive rebound by D. Smith,,50-53,,
0:00.0,D. Smith misses 3-pt shot from 32 ft,,50-53,,
0:00.0,Offensive rebound by Team,,50-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,H. Barnes misses 3-pt shot from 25 ft,,50-53,,
11:43.0,,,50-53,,Defensive rebound by Team
11:33.0,,,50-53,,Turnover by R. Gobert (lost ball; steal by J. Barea)
11:27.0,J. Barea makes 2-pt shot from 2 ft,2,52-53,,
11:17.0,,,52-53,,Shooting foul by D. Nowitzki (drawn by D. Mitchell)
11:17.0,,,52-53,,D. Mitchell misses free throw 1 of 2
11:17.0,,,52-53,,Offensive rebound by Team
11:17.0,,,52-54,1,D. Mitchell makes free throw 2 of 2
11:02.0,W. Matthews makes 3-pt shot from 22 ft (assist by J. Barea),3,55-54,,
10:48.0,,,55-57,3,D. Mitchell makes 3-pt shot from 22 ft (assist by R. Rubio)
10:20.0,H. Barnes makes 2-pt shot from 3 ft,2,57-57,,
10:08.0,,,57-57,,R. Rubio misses 2-pt shot from 6 ft (block by D. Nowitzki)
10:07.0,Defensive rebound by H. Barnes,,57-57,,
10:07.0,,,57-57,,Personal foul by J. Ingles (drawn by J. Barea)
9:56.0,D. Nowitzki misses 3-pt shot from 25 ft,,57-57,,
9:52.0,,,57-57,,Defensive rebound by D. Mitchell
9:46.0,,,57-59,2,D. Favors makes 2-pt shot from 13 ft (assist by D. Mitchell)
9:16.0,D. Nowitzki misses 3-pt shot from 32 ft,,57-59,,
9:15.0,Offensive rebound by Team,,57-59,,
9:15.0,Turnover by Team (shot clock),,57-59,,
9:00.0,,,57-61,2,D. Mitchell makes 2-pt shot from 7 ft
8:54.0,Offensive foul by D. Smith (drawn by R. Rubio),,57-61,,
8:54.0,Turnover by D. Smith (offensive foul),,57-61,,
8:54.0,Y. Ferrell enters the game for D. Smith,,57-61,,
8:39.0,,,57-61,,D. Mitchell misses 2-pt shot from 19 ft
8:36.0,Defensive rebound by D. Nowitzki,,57-61,,
8:18.0,W. Matthews misses 2-pt shot from 9 ft (block by J. Ingles),,57-61,,
8:15.0,,,57-61,,Defensive rebound by R. Gobert
8:12.0,,,57-63,2,D. Favors makes 2-pt shot from 2 ft (assist by R. Rubio)
8:12.0,,,57-63,,Shooting foul by H. Barnes (drawn by D. Favors)
8:12.0,Dallas full timeout,,57-63,,
8:12.0,,,57-64,1,D. Favors makes free throw 1 of 1
7:59.0,H. Barnes misses 2-pt shot from 15 ft,,57-64,,
7:57.0,,,57-64,,Defensive rebound by D. Mitchell
7:39.0,,,57-64,,D. Mitchell misses 2-pt shot from 4 ft
7:38.0,Defensive rebound by D. Nowitzki,,57-64,,
7:33.0,W. Matthews makes 3-pt shot from 25 ft (assist by Y. Ferrell),3,60-64,,
7:06.0,,,60-64,,J. Ingles misses 3-pt shot from 42 ft
7:03.0,,,60-64,,Offensive rebound by R. Rubio
6:46.0,,,60-64,,D. Favors misses 3-pt shot from 23 ft
6:42.0,Defensive rebound by W. Matthews,,60-64,,
6:37.0,,,60-64,,Personal foul by D. Mitchell (drawn by J. Barea)
6:32.0,D. Nowitzki makes 2-pt shot from 21 ft (assist by J. Barea),2,62-64,,
6:12.0,,,62-67,3,D. Mitchell makes 3-pt shot from 22 ft (assist by R. Rubio)
5:44.0,D. Nowitzki misses 3-pt shot from 26 ft,,62-67,,
5:41.0,,,62-67,,Defensive rebound by D. Mitchell
5:26.0,,,62-67,,J. Ingles misses 3-pt shot from 25 ft
5:24.0,Defensive rebound by D. Nowitzki,,62-67,,
5:11.0,Personal foul by D. Nowitzki,,62-67,,
5:11.0,Turnover by D. Nowitzki (turnover),,62-67,,
5:11.0,Technical foul by D. Nowitzki,,62-67,,
5:11.0,,,62-68,1,D. Mitchell makes technical free throw
5:11.0,,,62-68,,J. Crowder enters the game for R. Rubio
5:11.0,,,62-68,,R. O'Neale enters the game for D. Favors
5:11.0,S. Mejri enters the game for J. Barea,,62-68,,
5:11.0,D. Smith enters the game for D. Nowitzki,,62-68,,
4:51.0,,,62-68,,Loose ball foul by R. O'Neale (drawn by Y. Ferrell)
4:51.0,,,62-68,,Turnover by R. O'Neale (turnover)
4:30.0,H. Barnes makes 2-pt shot from 11 ft,2,64-68,,
4:14.0,,,64-70,2,R. Gobert makes 2-pt shot from 6 ft (assist by D. Mitchell)
4:06.0,Turnover by D. Smith (traveling),,64-70,,
3:43.0,,,64-70,,D. Mitchell misses 3-pt shot from 28 ft
3:39.0,Defensive rebound by Y. Ferrell,,64-70,,
3:33.0,Y. Ferrell misses 2-pt shot from 19 ft,,64-70,,
3:30.0,Offensive rebound by Team,,64-70,,
3:30.0,Jump ball: R. Gobert vs. S. Mejri,,,,Jump ball: R. Gobert vs. S. Mejri
3:30.0,Personal foul by S. Mejri (drawn by R. Gobert),,64-70,,
3:30.0,Turnover by S. Mejri (turnover),,64-70,,
3:10.0,,,64-70,,D. Mitchell misses 2-pt shot from 7 ft
3:10.0,Defensive rebound by W. Matthews,,64-70,,
3:05.0,Shooting foul by J. Ingles (drawn by D. Smith),,64-70,,
3:05.0,D. Smith makes free throw 1 of 2,1,65-70,,
3:05.0,,,65-70,,A. Burks enters the game for J. Ingles
3:05.0,D. Smith misses free throw 2 of 2,,65-70,,
2:50.0,,,65-70,,Defensive rebound by R. Gobert
2:47.0,,,65-70,,J. Crowder misses 2-pt shot from 15 ft
2:47.0,Defensive rebound by Y. Ferrell,,65-70,,
2:44.0,W. Matthews misses 3-pt shot from 25 ft,,65-70,,
2:44.0,,,65-70,,Defensive rebound by R. O'Neale
2:36.0,,,65-70,,Utah full timeout
2:36.0,,,65-70,,D. Favors enters the game for R. Gobert
2:28.0,,,65-70,,Turnover by D. Mitchell (bad pass; steal by W. Matthews)
2:22.0,D. Smith misses 2-pt shot from 3 ft (block by D. Favors),,65-70,,
2:22.0,Offensive rebound by Team,,65-70,,
2:22.0,Turnover by Y. Ferrell (bad pass),,65-70,,
2:06.0,,,65-70,,A. Burks misses 2-pt shot from 15 ft
2:03.0,Defensive rebound by H. Barnes,,65-70,,
1:58.0,,,65-70,,Personal foul by D. Mitchell (drawn by D. Smith)
1:58.0,D. Smith makes free throw 1 of 2,1,66-70,,
1:58.0,D. Smith makes free throw 2 of 2,1,67-70,,
1:39.0,,,67-70,,A. Burks misses 3-pt shot from 26 ft
1:35.0,Defensive rebound by S. Mejri,,67-70,,
1:29.0,D. Smith makes 2-pt shot from 14 ft,2,69-70,,
1:14.0,,,69-70,,J. Jerebko enters the game for J. Crowder
1:06.0,,,69-70,,R. O'Neale misses 3-pt shot from 23 ft
1:02.0,Defensive rebound by S. Mejri,,69-70,,
0:56.0,D. Smith misses 2-pt shot from 14 ft,,69-70,,
0:53.0,,,69-70,,Defensive rebound by A. Burks
0:44.0,,,69-70,,R. O'Neale misses 3-pt shot from 22 ft
0:40.0,Defensive rebound by D. Smith,,69-70,,
0:31.0,Turnover by D. Smith (bad pass; steal by D. Mitchell),,69-70,,
0:27.0,,,69-72,2,A. Burks makes 2-pt shot from 3 ft (assist by R. O'Neale)
0:05.0,H. Barnes makes 2-pt shot from 16 ft,2,71-72,,
0:00.0,,,71-74,2,D. Mitchell makes 2-pt shot from 2 ft (assist by R. O'Neale)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,71-76,2,A. Burks makes 2-pt shot from 2 ft (assist by J. Ingles)
11:20.0,J. Barea misses 2-pt shot from 7 ft,,71-76,,
11:17.0,,,71-76,,Defensive rebound by J. Ingles
11:10.0,,,71-76,,D. Favors misses 2-pt shot from 1 ft
11:08.0,Defensive rebound by D. Nowitzki,,71-76,,
11:02.0,J. Barea misses 2-pt shot from 2 ft,,71-76,,
10:59.0,,,71-76,,Defensive rebound by J. Jerebko
10:52.0,,,71-76,,Offensive foul by A. Burks (drawn by J. Barea)
10:52.0,,,71-76,,Turnover by A. Burks (offensive foul)
10:33.0,Y. Ferrell misses 3-pt shot from 26 ft,,71-76,,
10:31.0,,,71-76,,Defensive rebound by D. Favors
10:23.0,,,71-76,,J. Ingles misses 2-pt shot from 1 ft (block by D. Nowitzki)
10:23.0,Defensive rebound by Team,,71-76,,
10:04.0,J. Barea makes 3-pt shot from 23 ft (assist by Y. Ferrell),3,74-76,,
9:41.0,,,74-76,,Shooting foul by D. Nowitzki (drawn by J. Jerebko)
9:41.0,,,74-77,1,J. Jerebko makes free throw 1 of 2
9:41.0,,,74-78,1,J. Jerebko makes free throw 2 of 2
9:30.0,D. McDermott makes 3-pt shot from 23 ft (assist by Y. Ferrell),3,77-78,,
9:12.0,Personal foul by D. McDermott (drawn by J. Ingles),,77-78,,
9:02.0,,,77-80,2,R. O'Neale makes 2-pt shot from 3 ft (assist by J. Ingles)
8:49.0,Y. Ferrell makes 3-pt shot from 25 ft (assist by J. Barea),3,80-80,,
8:28.0,,,80-82,2,D. Favors makes 2-pt shot from 3 ft (assist by J. Ingles)
8:28.0,,,80-82,,Shooting foul by D. McDermott (drawn by D. Favors)
8:28.0,,,80-82,,J. Crowder enters the game for A. Burks
8:28.0,,,80-82,,R. Rubio enters the game for J. Ingles
8:28.0,,,80-82,,D. Favors misses free throw 1 of 1
8:26.0,Defensive rebound by D. Powell,,80-82,,
8:09.0,D. Powell makes 2-pt shot from 5 ft (assist by J. Barea),2,82-82,,
7:50.0,,,82-84,2,D. Favors makes 2-pt shot from 4 ft (assist by R. Rubio)
7:23.0,D. Nowitzki misses 2-pt shot from 14 ft,,82-84,,
7:21.0,,,82-84,,Defensive rebound by R. Rubio
7:08.0,,,82-84,,R. O'Neale misses 2-pt shot from 2 ft
7:02.0,,,82-84,,Offensive rebound by D. Favors
7:00.0,,,82-84,,J. Crowder misses 3-pt shot from 24 ft
6:57.0,,,82-84,,Offensive rebound by R. O'Neale
6:50.0,,,82-84,,Utah full timeout
6:50.0,,,82-84,,R. Gobert enters the game for J. Jerebko
6:50.0,,,82-84,,D. Mitchell enters the game for R. O'Neale
6:44.0,,,82-84,,Shooting foul by D. Nowitzki (drawn by R. Gobert)
6:44.0,,,82-84,,R. Gobert misses free throw 1 of 2
6:44.0,,,82-84,,Offensive rebound by Team
6:44.0,,,82-85,1,R. Gobert makes free throw 2 of 2
6:30.0,J. Barea misses 3-pt shot from 26 ft,,82-85,,
6:27.0,Offensive rebound by Team,,82-85,,
6:27.0,,,82-85,,Loose ball foul by R. Rubio (drawn by D. Powell)
6:20.0,,,82-85,,Personal foul by R. Gobert (drawn by D. Powell)
6:03.0,Y. Ferrell makes 3-pt shot from 25 ft (assist by D. Powell),3,85-85,,
5:42.0,,,85-85,,D. Mitchell misses 3-pt shot from 24 ft
5:39.0,Defensive rebound by J. Barea,,85-85,,
5:34.0,Dallas full timeout,,85-85,,
5:34.0,,,85-85,,J. Ingles enters the game for D. Favors
5:22.0,,,85-85,,Violation by D. Mitchell (kicked ball)
5:13.0,J. Barea makes 2-pt shot from 7 ft,2,87-85,,
4:55.0,,,87-85,,D. Mitchell misses 2-pt shot from 4 ft
4:53.0,Defensive rebound by Y. Ferrell,,87-85,,
4:52.0,Offensive foul by Y. Ferrell (drawn by R. Rubio),,87-85,,
4:52.0,Turnover by Y. Ferrell (offensive foul),,87-85,,
4:38.0,,,87-85,,R. Rubio misses 3-pt shot from 25 ft
4:36.0,,,87-85,,Offensive rebound by J. Crowder
4:31.0,,,87-85,,J. Crowder misses 2-pt shot from 6 ft (block by D. Nowitzki)
4:31.0,,,87-85,,Offensive rebound by Team
4:20.0,,,87-87,2,D. Mitchell makes 2-pt shot from 1 ft
4:05.0,J. Barea misses 2-pt shot from 5 ft,,87-87,,
4:04.0,,,87-87,,Defensive rebound by Team
4:04.0,Loose ball foul by D. Powell (drawn by R. Rubio),,87-87,,
4:04.0,,,87-88,1,R. Rubio makes free throw 1 of 2
4:04.0,H. Barnes enters the game for D. McDermott,,87-88,,
4:04.0,W. Matthews enters the game for D. Nowitzki,,87-88,,
4:04.0,,,87-89,1,R. Rubio makes free throw 2 of 2
