time,Charlotte,pts.away,score,pts.home,Phoenix
1:18.0,,,47-56,,Defensive rebound by D. Booker
1:10.0,,,47-56,,T. Chandler misses 2-pt shot at rim
1:08.0,Defensive rebound by M. Kidd-Gilchrist,,47-56,,
1:05.0,M. Kidd-Gilchrist misses 2-pt shot at rim,,47-56,,
1:02.0,Offensive rebound by Team,,47-56,,
0:57.0,Turnover by D. Howard (traveling),,47-56,,
0:41.0,,,47-59,3,D. Booker makes 3-pt shot from 26 ft
0:28.0,K. Walker misses 2-pt shot at rim,,47-59,,
0:27.0,Offensive rebound by F. Kaminsky,,47-59,,
0:25.0,K. Walker misses 3-pt shot from 23 ft,,47-59,,
0:21.0,,,47-59,,Defensive rebound by J. Dudley
0:21.0,,,47-59,,Turnover by J. Dudley (bad pass; steal by J. Lamb)
0:13.0,,,47-59,,Technical foul by T. Warren
0:13.0,K. Walker makes technical free throw,1,48-59,,
0:13.0,,,48-59,,T. Daniels enters the game for T. Warren
0:01.0,F. Kaminsky misses 3-pt shot from 25 ft,,48-59,,
0:00.0,Offensive rebound by Team,,48-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,48-62,3,D. Bender makes 3-pt shot from 24 ft (assist by D. Booker)
11:23.0,M. Kidd-Gilchrist misses 2-pt shot from 19 ft,,48-62,,
11:20.0,,,48-62,,Defensive rebound by D. Bender
11:16.0,,,48-62,,Turnover by J. Jackson (bad pass; steal by D. Howard)
11:11.0,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by J. Jackson),,48-62,,
11:09.0,,,48-62,,Defensive rebound by T. Warren
11:05.0,,,48-64,2,T. Warren makes 2-pt shot at rim
10:49.0,Shooting foul by T. Chandler (drawn by D. Howard),,48-64,,
10:49.0,D. Howard makes free throw 1 of 2,1,49-64,,
10:49.0,D. Howard makes free throw 2 of 2,1,50-64,,
10:28.0,,,50-64,,J. Jackson misses 2-pt shot at rim
10:25.0,Defensive rebound by K. Walker,,50-64,,
10:21.0,N. Batum misses 3-pt shot from 25 ft,,50-64,,
10:17.0,Offensive rebound by M. Kidd-Gilchrist,,50-64,,
10:11.0,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum),3,53-64,,
9:49.0,,,53-66,2,D. Bender makes 2-pt shot from 7 ft
9:36.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by K. Walker),2,55-66,,
9:19.0,,,55-69,3,D. Booker makes 3-pt shot from 24 ft
9:03.0,K. Walker misses 2-pt shot from 17 ft (block by T. Warren),,55-69,,
8:58.0,,,55-69,,Defensive rebound by T. Chandler
8:57.0,,,55-72,3,D. Booker makes 3-pt shot from 26 ft
8:42.0,D. Howard makes 2-pt shot from 17 ft (assist by F. Kaminsky),2,57-72,,
8:21.0,,,57-75,3,T. Warren makes 3-pt shot from 25 ft (assist by D. Bender)
8:21.0,Charlotte full timeout,,57-75,,
8:12.0,F. Kaminsky misses 3-pt shot from 24 ft,,57-75,,
8:09.0,,,57-75,,Defensive rebound by J. Jackson
7:53.0,,,57-78,3,D. Bender makes 3-pt shot from 24 ft (assist by D. Booker)
7:40.0,T. Graham enters the game for F. Kaminsky,,57-78,,
7:36.0,N. Batum makes 2-pt shot from 18 ft,2,59-78,,
7:17.0,,,59-78,,D. Booker misses 2-pt shot from 7 ft
7:15.0,Defensive rebound by N. Batum,,59-78,,
7:10.0,T. Graham makes 2-pt shot from 20 ft (assist by K. Walker),2,61-78,,
6:52.0,,,61-78,,Turnover by J. Jackson (bad pass; steal by T. Graham)
6:48.0,K. Walker misses 2-pt shot from 11 ft,,61-78,,
6:44.0,Offensive rebound by Team,,61-78,,
6:36.0,N. Batum misses 3-pt shot from 24 ft,,61-78,,
6:33.0,,,61-78,,Defensive rebound by T. Chandler
6:29.0,,,61-78,,Offensive foul by T. Chandler (drawn by M. Kidd-Gilchrist)
6:29.0,,,61-78,,Turnover by T. Chandler (offensive foul)
6:17.0,T. Graham misses 3-pt shot from 25 ft,,61-78,,
6:17.0,Offensive rebound by N. Batum,,61-78,,
6:17.0,Shooting foul by T. Warren (drawn by N. Batum),,61-78,,
6:17.0,N. Batum makes free throw 1 of 2,1,62-78,,
6:17.0,N. Batum makes free throw 2 of 2,1,63-78,,
6:02.0,,,63-80,2,J. Jackson makes 2-pt shot from 16 ft (assist by T. Chandler)
5:46.0,K. Walker misses 2-pt shot from 18 ft,,63-80,,
5:44.0,,,63-80,,Defensive rebound by D. Bender
5:35.0,,,63-80,,Turnover by D. Booker (lost ball; steal by T. Graham)
5:33.0,,,63-80,,Technical foul by D. Booker (drawn by N. Batum)
5:33.0,N. Batum makes flagrant free throw 1 of 2,1,64-80,,
5:33.0,N. Batum makes flagrant free throw 2 of 2,1,65-80,,
5:27.0,T. Graham misses 3-pt shot from 27 ft,,65-80,,
5:23.0,Offensive rebound by D. Howard,,65-80,,
5:21.0,K. Walker makes 3-pt shot from 25 ft (assist by D. Howard),3,68-80,,
5:00.0,,,68-82,2,D. Booker makes 2-pt shot from 18 ft
4:34.0,K. Walker misses 3-pt shot from 26 ft,,68-82,,
4:30.0,Offensive rebound by D. Howard,,68-82,,
4:30.0,Shooting foul by T. Chandler (drawn by D. Howard),,68-82,,
4:30.0,D. Howard makes free throw 1 of 2,1,69-82,,
4:30.0,,,69-82,,A. Len enters the game for T. Chandler
4:30.0,D. Howard misses free throw 2 of 2,,69-82,,
4:27.0,,,69-82,,Defensive rebound by A. Len
4:17.0,,,69-85,3,D. Booker makes 3-pt shot from 24 ft
3:54.0,K. Walker makes 2-pt shot at rim,2,71-85,,
3:49.0,,,71-85,,T. Warren misses 2-pt shot from 7 ft
3:48.0,Defensive rebound by D. Howard,,71-85,,
3:43.0,K. Walker makes 2-pt shot from 1 ft,2,73-85,,
3:43.0,Shooting foul by A. Len (drawn by K. Walker),,73-85,,
3:43.0,,,73-85,,T. Daniels enters the game for J. Jackson
3:43.0,J. Lamb enters the game for M. Kidd-Gilchrist,,73-85,,
3:43.0,K. Walker makes free throw 1 of 1,1,74-85,,
3:32.0,,,74-85,,D. Bender misses 3-pt shot from 24 ft
3:29.0,Defensive rebound by D. Howard,,74-85,,
3:20.0,Shooting foul by T. Daniels (drawn by K. Walker),,74-85,,
3:20.0,K. Walker misses free throw 1 of 3,,74-85,,
3:20.0,Offensive rebound by Team,,74-85,,
3:20.0,K. Walker makes free throw 2 of 3,1,75-85,,
3:20.0,K. Walker makes free throw 3 of 3,1,76-85,,
2:59.0,,,76-85,,T. Daniels misses 3-pt shot from 24 ft
2:55.0,,,76-85,,Offensive rebound by A. Len
2:55.0,,,76-85,,Shooting foul by K. Walker (drawn by A. Len)
2:55.0,,,76-85,,Phoenix full timeout
2:55.0,,,76-85,,J. Dudley enters the game for D. Bender
2:55.0,,,76-86,1,A. Len makes free throw 1 of 2
2:55.0,,,76-87,1,A. Len makes free throw 2 of 2
2:30.0,N. Batum misses 3-pt shot from 25 ft,,76-87,,
2:26.0,Offensive rebound by T. Graham,,76-87,,
2:06.0,D. Howard misses 2-pt shot from 11 ft,,76-87,,
2:03.0,,,76-87,,Defensive rebound by A. Len
2:01.0,,,76-87,,Offensive charge foul by T. Warren (drawn by K. Walker)
2:01.0,,,76-87,,Turnover by T. Warren (offensive foul)
2:01.0,C. Zeller enters the game for D. Howard,,76-87,,
1:49.0,C. Zeller makes 2-pt shot at rim (assist by K. Walker),2,78-87,,
1:24.0,,,78-87,,J. Dudley misses 3-pt shot from 22 ft
1:21.0,Defensive rebound by Team,,78-87,,
1:14.0,T. Graham makes 2-pt shot at rim (assist by K. Walker),2,80-87,,
1:14.0,Shooting foul by A. Len (drawn by T. Graham),,80-87,,
1:14.0,,,80-87,,D. House enters the game for D. Booker
1:14.0,,,80-87,,T. Ulis enters the game for T. Warren
1:14.0,M. Carter-Williams enters the game for K. Walker,,80-87,,
1:14.0,T. Graham makes free throw 1 of 1,1,81-87,,
0:56.0,,,81-89,2,A. Len makes 2-pt shot at rim (assist by T. Ulis)
0:45.0,N. Batum makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,84-89,,
0:36.0,,,84-89,,Shooting foul by J. Lamb (drawn by T. Daniels)
0:36.0,,,84-90,1,T. Daniels makes free throw 1 of 3
0:36.0,,,84-91,1,T. Daniels makes free throw 2 of 3
0:36.0,,,84-92,1,T. Daniels makes free throw 3 of 3
0:23.0,M. Carter-Williams makes 2-pt shot from 1 ft (assist by N. Batum),2,86-92,,
0:03.0,,,86-92,,Shooting foul by N. Batum (drawn by A. Len)
0:03.0,,,86-93,1,A. Len makes free throw 1 of 2
0:03.0,,,86-94,1,A. Len makes free throw 2 of 2
0:00.0,T. Graham misses 3-pt shot from 42 ft,,86-94,,
0:00.0,Offensive rebound by Team,,86-94,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,T. Graham makes 2-pt shot at rim,2,88-94,,
11:35.0,,,88-94,,Turnover by A. Len (bad pass; steal by M. Carter-Williams)
11:29.0,J. Lamb makes 2-pt shot at rim (assist by M. Carter-Williams),2,90-94,,
11:15.0,,,90-94,,Turnover by J. Dudley (bad pass)
11:15.0,,,90-94,,T. Chandler enters the game for A. Len
10:57.0,M. Carter-Williams makes 3-pt shot from 26 ft (assist by J. Lamb),3,93-94,,
10:39.0,,,93-94,,Turnover by T. Ulis (out of bounds lost ball)
10:21.0,J. Lamb misses 2-pt shot from 7 ft,,93-94,,
10:20.0,Offensive rebound by Team,,93-94,,
10:16.0,Jump ball: T. Chandler vs. C. Zeller (M. Carter-Williams gains possession),,,,Jump ball: T. Chandler vs. C. Zeller (M. Carter-Williams gains possession)
10:06.0,Shooting foul by D. House (drawn by M. Kidd-Gilchrist),,93-94,,
10:06.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,94-94,,
10:06.0,,,94-94,,D. Booker enters the game for T. Ulis
10:06.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,95-94,,
9:53.0,,,95-94,,T. Daniels misses 2-pt shot from 22 ft
9:49.0,Defensive rebound by C. Zeller,,95-94,,
9:43.0,J. Lamb misses 2-pt shot at rim (block by T. Chandler),,95-94,,
9:43.0,,,95-94,,Defensive rebound by Team
9:17.0,,,95-96,2,D. House makes 2-pt shot at rim (assist by D. Booker)
8:57.0,T. Graham makes 3-pt shot from 25 ft (assist by J. Lamb),3,98-96,,
8:56.0,,,98-96,,Phoenix full timeout
8:45.0,,,98-96,,Turnover by T. Chandler (bad pass; steal by M. Kidd-Gilchrist)
8:25.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft,2,100-96,,
8:10.0,,,100-96,,D. House misses 3-pt shot from 22 ft
8:07.0,Defensive rebound by C. Zeller,,100-96,,
7:55.0,J. Lamb misses 2-pt shot from 7 ft,,100-96,,
7:53.0,,,100-96,,Defensive rebound by D. House
7:38.0,,,100-96,,D. Booker misses 2-pt shot from 5 ft
7:35.0,Defensive rebound by J. Lamb,,100-96,,
7:30.0,M. Carter-Williams makes 3-pt shot from 22 ft (assist by M. Kidd-Gilchrist),3,103-96,,
7:00.0,,,103-96,,D. House misses 3-pt shot from 22 ft
6:56.0,Defensive rebound by T. Graham,,103-96,,
6:53.0,C. Zeller makes 2-pt shot at rim (assist by T. Graham),2,105-96,,
6:53.0,Shooting foul by D. Booker (drawn by C. Zeller),,105-96,,
6:53.0,,,105-96,,D. Bender enters the game for J. Dudley
6:53.0,,,105-96,,T. Warren enters the game for D. House
6:53.0,,,105-96,,J. Jackson enters the game for T. Daniels
6:53.0,K. Walker enters the game for M. Kidd-Gilchrist,,105-96,,
6:53.0,D. Howard enters the game for T. Graham,,105-96,,
6:53.0,C. Zeller makes free throw 1 of 1,1,106-96,,
6:37.0,,,106-96,,Turnover by J. Jackson (bad pass; steal by D. Howard)
6:29.0,Turnover by K. Walker (lost ball; steal by J. Jackson),,106-96,,
6:26.0,,,106-98,2,T. Warren makes 2-pt shot at rim (assist by J. Jackson)
6:26.0,,,106-98,,Shooting foul by J. Lamb (drawn by T. Warren)
6:26.0,,,106-98,,T. Ulis enters the game for D. Booker
6:26.0,,,106-99,1,T. Warren makes free throw 1 of 1
6:11.0,M. Carter-Williams misses 3-pt shot from 25 ft,,106-99,,
6:08.0,,,106-99,,Defensive rebound by T. Chandler
6:02.0,,,106-101,2,J. Jackson makes 2-pt shot from 3 ft
6:02.0,Charlotte full timeout,,106-101,,
6:02.0,N. Batum enters the game for M. Carter-Williams,,106-101,,
5:47.0,J. Lamb makes 2-pt shot at rim (assist by C. Zeller),2,108-101,,
5:31.0,,,108-101,,T. Warren misses 2-pt shot from 20 ft
5:28.0,Defensive rebound by D. Howard,,108-101,,
5:21.0,K. Walker misses 2-pt shot from 16 ft,,108-101,,
5:20.0,Offensive rebound by Team,,108-101,,
5:20.0,,,108-101,,Loose ball foul by T. Ulis (drawn by C. Zeller)
4:59.0,J. Lamb misses 3-pt shot from 23 ft,,108-101,,
4:55.0,,,108-101,,Defensive rebound by T. Chandler
4:45.0,,,108-101,,Turnover by D. Bender (lost ball; steal by J. Lamb)
4:39.0,J. Lamb makes 2-pt shot at rim (assist by C. Zeller),2,110-101,,
4:39.0,,,110-101,,Phoenix full timeout
