time,Boston,pts.away,score,pts.home,Milwaukee
8:18.0,Defensive rebound by J. Tatum,,12-7,,
8:13.0,Offensive charge foul by D. Theis (drawn by G. Antetokounmpo),,12-7,,
8:13.0,Turnover by D. Theis (offensive foul),,12-7,,
7:54.0,,,12-7,,K. Middleton misses 2-pt shot from 14 ft (block by K. Irving)
7:51.0,,,12-7,,Offensive rebound by K. Middleton
7:48.0,,,12-7,,M. Brogdon misses 2-pt shot from 3 ft
7:45.0,Defensive rebound by A. Horford,,12-7,,
7:39.0,Turnover by J. Brown (bad pass),,12-7,,
7:21.0,,,12-7,,M. Brogdon misses 3-pt shot from 22 ft
7:17.0,Defensive rebound by J. Brown,,12-7,,
7:01.0,D. Theis misses 2-pt shot at rim,,12-7,,
6:58.0,,,12-7,,Defensive rebound by D. Liggins
6:47.0,,,12-7,,K. Middleton misses 2-pt shot from 5 ft
6:44.0,Defensive rebound by D. Theis,,12-7,,
6:42.0,K. Irving makes 3-pt shot from 25 ft,3,15-7,,
6:40.0,,,15-7,,Milwaukee full timeout
6:40.0,,,15-7,,G. Monroe enters the game for T. Maker
6:40.0,,,15-7,,M. Teletovic enters the game for G. Antetokounmpo
6:40.0,A. Baynes enters the game for D. Theis,,15-7,,
6:40.0,M. Smart enters the game for A. Horford,,15-7,,
6:26.0,,,15-7,,Turnover by M. Brogdon (bad pass; steal by J. Brown)
6:11.0,A. Baynes makes 2-pt shot from 11 ft (assist by K. Irving),2,17-7,,
6:01.0,,,17-9,2,M. Brogdon makes 2-pt shot from 1 ft (assist by G. Monroe)
5:47.0,J. Brown misses 3-pt shot from 26 ft,,17-9,,
5:44.0,,,17-9,,Defensive rebound by M. Brogdon
5:38.0,,,17-11,2,M. Brogdon makes 2-pt shot at rim
5:14.0,J. Brown misses 2-pt shot from 3 ft,,17-11,,
5:12.0,,,17-11,,Defensive rebound by G. Monroe
5:04.0,,,17-13,2,K. Middleton makes 2-pt shot from 19 ft
4:49.0,Shooting foul by G. Monroe (drawn by A. Baynes),,17-13,,
4:49.0,A. Baynes makes free throw 1 of 2,1,18-13,,
4:49.0,,,18-13,,M. Dellavedova enters the game for M. Brogdon
4:49.0,T. Rozier enters the game for J. Brown,,18-13,,
4:49.0,A. Baynes makes free throw 2 of 2,1,19-13,,
4:34.0,,,19-13,,Turnover by G. Monroe (bad pass; steal by J. Tatum)
4:33.0,Shooting foul by M. Dellavedova (drawn by J. Tatum),,19-13,,
4:33.0,J. Tatum makes free throw 1 of 2,1,20-13,,
4:33.0,J. Tatum makes free throw 2 of 2,1,21-13,,
4:19.0,,,21-15,2,K. Middleton makes 2-pt shot from 13 ft
4:02.0,Turnover by A. Baynes (turnover),,21-15,,
3:48.0,,,21-17,2,G. Monroe makes 2-pt shot from 15 ft (assist by K. Middleton)
3:30.0,Shooting foul by K. Middleton (drawn by A. Baynes),,21-17,,
3:30.0,A. Baynes makes free throw 1 of 2,1,22-17,,
3:30.0,,,22-17,,G. Antetokounmpo enters the game for K. Middleton
3:30.0,A. Horford enters the game for J. Tatum,,22-17,,
3:30.0,A. Baynes makes free throw 2 of 2,1,23-17,,
3:15.0,,,23-19,2,G. Monroe makes 2-pt shot from 11 ft
2:51.0,A. Horford makes 2-pt shot from 11 ft,2,25-19,,
2:44.0,,,25-19,,M. Teletovic misses 3-pt shot from 27 ft
2:41.0,Defensive rebound by T. Rozier,,25-19,,
2:28.0,K. Irving makes 2-pt shot at rim,2,27-19,,
2:15.0,,,27-21,2,M. Dellavedova makes 2-pt shot from 12 ft
1:55.0,Boston full timeout,,27-21,,
1:49.0,Turnover by M. Smart (step out of bounds),,27-21,,
1:31.0,,,27-21,,G. Monroe misses 2-pt shot from 13 ft
1:28.0,Defensive rebound by K. Irving,,27-21,,
1:12.0,K. Irving misses 2-pt shot from 11 ft,,27-21,,
1:09.0,,,27-21,,Defensive rebound by M. Dellavedova
1:02.0,,,27-21,,M. Teletovic misses 3-pt shot from 24 ft
0:59.0,Defensive rebound by A. Horford,,27-21,,
0:49.0,Turnover by A. Horford (traveling),,27-21,,
0:49.0,J. Brown enters the game for K. Irving,,27-21,,
0:49.0,S. Larkin enters the game for M. Smart,,27-21,,
0:37.0,,,27-21,,G. Antetokounmpo misses 2-pt shot from 2 ft
0:37.0,,,27-21,,Offensive rebound by Team
0:34.0,,,27-21,,G. Monroe misses 2-pt shot from 2 ft
0:31.0,Defensive rebound by A. Baynes,,27-21,,
0:14.0,T. Rozier misses 2-pt shot from 18 ft (block by D. Liggins),,27-21,,
0:14.0,,,27-21,,Defensive rebound by M. Teletovic
0:14.0,,,27-21,,Technical foul by D. Liggins
0:14.0,A. Horford makes technical free throw,1,28-21,,
0:03.0,,,28-21,,Shooting foul by A. Baynes (drawn by G. Antetokounmpo)
0:03.0,,,28-22,1,G. Antetokounmpo makes free throw 1 of 2
0:03.0,,,28-23,1,G. Antetokounmpo makes free throw 2 of 2
0:00.0,T. Rozier misses 3-pt shot from 36 ft,,28-23,,
0:00.0,Offensive rebound by Team,,28-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,28-23,,G. Antetokounmpo misses 2-pt shot from 19 ft
11:43.0,Defensive rebound by T. Rozier,,28-23,,
11:37.0,J. Brown misses 3-pt shot from 25 ft,,28-23,,
11:33.0,Offensive rebound by S. Ojeleye,,28-23,,
11:27.0,S. Larkin misses 2-pt shot from 1 ft,,28-23,,
11:24.0,,,28-23,,Defensive rebound by G. Antetokounmpo
11:20.0,,,28-23,,M. Teletovic misses 3-pt shot from 25 ft
11:17.0,Defensive rebound by T. Rozier,,28-23,,
11:06.0,Personal foul by J. Brown (drawn by M. Teletovic),,28-23,,
11:05.0,J. Brown misses 2-pt shot from 1 ft,,28-23,,
11:05.0,,,28-23,,Defensive rebound by Team
10:51.0,,,28-25,2,G. Antetokounmpo makes 2-pt shot from 9 ft (assist by M. Dellavedova)
10:28.0,J. Brown misses 3-pt shot from 23 ft,,28-25,,
10:24.0,,,28-25,,Defensive rebound by G. Monroe
10:18.0,,,28-25,,G. Antetokounmpo misses 2-pt shot from 20 ft
10:15.0,Defensive rebound by T. Rozier,,28-25,,
10:11.0,S. Ojeleye misses 3-pt shot from 26 ft,,28-25,,
10:07.0,,,28-25,,Defensive rebound by G. Monroe
10:04.0,,,28-25,,Turnover by G. Antetokounmpo (palming)
9:46.0,Offensive charge foul by A. Horford (drawn by M. Teletovic),,28-25,,
9:46.0,Turnover by A. Horford (offensive foul),,28-25,,
9:46.0,,,28-25,,J. Henson enters the game for G. Monroe
9:31.0,,,28-25,,Turnover by M. Dellavedova (bad pass; steal by T. Rozier)
9:28.0,T. Rozier misses 2-pt shot from 2 ft,,28-25,,
9:28.0,J. Brown misses 2-pt shot from 1 ft,,28-25,,
9:28.0,Offensive rebound by J. Brown,,28-25,,
9:17.0,,,28-25,,Defensive rebound by M. Teletovic
9:14.0,,,28-25,,Shooting foul by A. Horford (drawn by G. Antetokounmpo)
9:14.0,,,28-26,1,G. Antetokounmpo makes free throw 1 of 2
9:14.0,,,28-26,,G. Antetokounmpo misses free throw 2 of 2
9:10.0,Defensive rebound by J. Brown,,28-26,,
9:01.0,S. Larkin misses 3-pt shot from 25 ft,,28-26,,
8:58.0,,,28-26,,Defensive rebound by M. Dellavedova
8:47.0,,,28-26,,M. Brogdon misses 2-pt shot from 1 ft
8:45.0,Defensive rebound by A. Horford,,28-26,,
8:35.0,A. Horford makes 2-pt shot at rim,2,30-26,,
8:24.0,Def 3 sec tech foul by S. Ojeleye,,30-26,,
8:24.0,,,30-27,1,M. Brogdon makes technical free throw
8:15.0,,,30-27,,M. Dellavedova misses 2-pt shot from 9 ft
8:12.0,Defensive rebound by A. Horford,,30-27,,
8:02.0,T. Rozier misses 2-pt shot from 5 ft,,30-27,,
7:59.0,Offensive rebound by T. Rozier,,30-27,,
7:56.0,J. Brown misses 3-pt shot from 22 ft,,30-27,,
7:53.0,,,30-27,,Defensive rebound by M. Brogdon
7:49.0,,,30-27,,G. Antetokounmpo misses 2-pt shot from 1 ft (block by J. Brown)
7:45.0,Defensive rebound by S. Larkin,,30-27,,
7:43.0,,,30-27,,Personal foul by J. Henson (drawn by J. Brown)
7:43.0,,,30-27,,K. Middleton enters the game for M. Teletovic
7:43.0,D. Theis enters the game for S. Larkin,,30-27,,
7:43.0,K. Irving enters the game for A. Horford,,30-27,,
7:33.0,J. Brown misses 2-pt shot from 3 ft,,30-27,,
7:33.0,,,30-27,,Defensive rebound by J. Henson
7:19.0,Jump ball: M. Brogdon vs. K. Irving (G. Antetokounmpo gains possession),,,,Jump ball: M. Brogdon vs. K. Irving (G. Antetokounmpo gains possession)
7:13.0,,,30-27,,K. Middleton misses 2-pt shot from 6 ft
7:13.0,Defensive rebound by D. Theis,,30-27,,
6:45.0,K. Irving makes 2-pt shot from 10 ft,2,32-27,,
6:28.0,,,32-30,3,M. Brogdon makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
6:04.0,K. Irving makes 2-pt shot from 2 ft,2,34-30,,
5:51.0,,,34-33,3,M. Dellavedova makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
5:30.0,T. Rozier misses 3-pt shot from 26 ft (block by M. Brogdon),,34-33,,
5:30.0,,,34-33,,Defensive rebound by K. Middleton
5:20.0,,,34-33,,Turnover by K. Middleton (bad pass; steal by K. Irving)
5:18.0,Shooting foul by G. Antetokounmpo (drawn by J. Brown),,34-33,,
5:18.0,,,34-33,,Milwaukee full timeout
5:18.0,,,34-33,,T. Snell enters the game for M. Dellavedova
5:18.0,M. Smart enters the game for T. Rozier,,34-33,,
5:18.0,A. Horford enters the game for S. Ojeleye,,34-33,,
5:18.0,J. Brown makes free throw 1 of 2,1,35-33,,
5:18.0,J. Brown makes free throw 2 of 2,1,36-33,,
4:59.0,,,36-35,2,G. Antetokounmpo makes 2-pt shot from 6 ft
4:41.0,K. Irving makes 3-pt shot from 29 ft (assist by D. Theis),3,39-35,,
4:14.0,,,39-37,2,T. Snell makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
3:55.0,M. Smart misses 3-pt shot from 28 ft,,39-37,,
3:53.0,,,39-37,,Defensive rebound by M. Brogdon
3:50.0,,,39-39,2,M. Brogdon makes 2-pt shot from 2 ft
3:35.0,,,39-39,,Personal foul by M. Brogdon (drawn by K. Irving)
3:35.0,J. Tatum enters the game for J. Brown,,39-39,,
3:20.0,Turnover by Team (shot clock),,39-39,,
3:02.0,Personal foul by M. Smart (drawn by G. Antetokounmpo),,39-39,,
3:00.0,,,39-39,,Offensive foul by J. Henson (drawn by M. Smart)
3:00.0,,,39-39,,Turnover by J. Henson (offensive foul)
2:39.0,J. Tatum misses 3-pt shot from 23 ft,,39-39,,
2:35.0,,,39-39,,Defensive rebound by G. Antetokounmpo
2:24.0,,,39-41,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Brogdon)
2:22.0,Boston full timeout,,39-41,,
2:04.0,K. Irving misses 3-pt shot from 22 ft,,39-41,,
2:01.0,,,39-41,,Defensive rebound by G. Antetokounmpo
1:52.0,,,39-41,,M. Brogdon misses 2-pt shot from 18 ft
1:47.0,Defensive rebound by D. Theis,,39-41,,
1:43.0,A. Horford makes 2-pt shot from 2 ft (assist by M. Smart),2,41-41,,
1:31.0,Personal foul by K. Irving (drawn by K. Middleton),,41-41,,
1:28.0,,,41-41,,Shooting foul by D. Theis (drawn by J. Henson)
1:28.0,,,41-41,,J. Henson misses free throw 1 of 2
1:28.0,,,41-41,,Offensive rebound by Team
1:28.0,A. Baynes enters the game for D. Theis,,41-41,,
1:28.0,,,41-42,1,J. Henson makes free throw 2 of 2
1:08.0,A. Baynes makes 2-pt shot from 16 ft (assist by J. Tatum),2,43-42,,
0:52.0,,,43-42,,T. Snell misses 2-pt shot from 8 ft
0:49.0,Defensive rebound by A. Baynes,,43-42,,
0:29.0,Turnover by K. Irving (lost ball; steal by G. Antetokounmpo),,43-42,,
0:25.0,,,43-44,2,K. Middleton makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
0:08.0,,,43-44,,Personal foul by M. Brogdon (drawn by K. Irving)
0:00.0,M. Smart misses 3-pt shot from 27 ft,,43-44,,
0:00.0,Offensive rebound by Team,,43-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,,,43-44,,Shooting foul by K. Irving (drawn by M. Brogdon)
11:52.0,,,43-44,,M. Brogdon misses free throw 1 of 2
11:52.0,,,43-44,,Offensive rebound by Team
11:52.0,,,43-44,,M. Brogdon misses free throw 2 of 2
11:47.0,Defensive rebound by A. Horford,,43-44,,
11:28.0,K. Irving makes 2-pt shot from 3 ft,2,45-44,,
11:09.0,,,45-46,2,G. Antetokounmpo makes 2-pt shot from 14 ft
10:39.0,A. Horford makes 3-pt shot from 26 ft (assist by K. Irving),3,48-46,,
10:28.0,,,48-49,3,T. Maker makes 3-pt shot from 28 ft (assist by M. Brogdon)
10:12.0,K. Irving misses 2-pt shot from 3 ft,,48-49,,
10:10.0,,,48-49,,Defensive rebound by M. Brogdon
10:10.0,,,48-51,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Brogdon)
10:10.0,,,48-51,,Shooting foul by D. Theis (drawn by G. Antetokounmpo)
10:10.0,,,48-52,1,G. Antetokounmpo makes free throw 1 of 1
9:53.0,A. Horford misses 2-pt shot from 2 ft,,48-52,,
9:51.0,,,48-52,,Defensive rebound by G. Antetokounmpo
9:42.0,,,48-54,2,G. Antetokounmpo makes 2-pt shot from 18 ft (assist by T. Snell)
9:16.0,A. Horford makes 2-pt shot from 4 ft,2,50-54,,
9:03.0,,,50-54,,T. Maker misses 3-pt shot from 26 ft
9:01.0,Defensive rebound by J. Brown,,50-54,,
8:43.0,A. Horford misses 3-pt shot from 26 ft,,50-54,,
8:40.0,,,50-54,,Defensive rebound by M. Brogdon
8:36.0,,,50-54,,Turnover by M. Brogdon (lost ball; steal by K. Irving)
8:35.0,Shooting foul by T. Snell (drawn by J. Brown),,50-54,,
8:35.0,J. Brown misses free throw 1 of 2,,50-54,,
8:35.0,Offensive rebound by Team,,50-54,,
8:35.0,J. Brown misses free throw 2 of 2,,50-54,,
8:19.0,,,50-54,,G. Antetokounmpo misses 2-pt shot from 2 ft
8:16.0,Defensive rebound by K. Irving,,50-54,,
8:12.0,Turnover by K. Irving (bad pass; steal by G. Antetokounmpo),,50-54,,
8:10.0,,,50-54,,Shooting foul by K. Irving (drawn by G. Antetokounmpo)
8:10.0,,,50-55,1,G. Antetokounmpo makes free throw 1 of 2
8:10.0,,,50-56,1,G. Antetokounmpo makes free throw 2 of 2
7:47.0,J. Tatum misses 2-pt shot from 19 ft,,50-56,,
7:44.0,,,50-56,,Defensive rebound by M. Brogdon
7:38.0,,,50-56,,G. Antetokounmpo misses 2-pt shot from 16 ft
7:38.0,Defensive rebound by D. Theis,,50-56,,
7:26.0,Turnover by A. Horford (bad pass; steal by K. Middleton),,50-56,,
7:20.0,,,50-56,,K. Middleton misses 2-pt shot from 2 ft (block by A. Horford)
7:17.0,,,50-56,,Offensive rebound by G. Antetokounmpo
7:17.0,Defensive rebound by J. Tatum,,50-56,,
7:17.0,Shooting foul by T. Snell (drawn by J. Tatum),,50-56,,
7:17.0,J. Tatum makes free throw 1 of 2,1,51-56,,
7:17.0,,,51-56,,D. Liggins enters the game for T. Snell
7:17.0,J. Tatum makes free throw 2 of 2,1,52-56,,
7:03.0,,,52-59,3,K. Middleton makes 3-pt shot from 26 ft (assist by T. Maker)
7:03.0,Boston full timeout,,52-59,,
6:47.0,J. Tatum makes 2-pt shot from 15 ft (assist by K. Irving),2,54-59,,
6:21.0,,,54-59,,M. Brogdon misses 2-pt shot from 1 ft (block by D. Theis)
6:21.0,,,54-59,,Offensive rebound by Team
6:18.0,,,54-59,,K. Middleton misses 2-pt shot from 14 ft
6:18.0,Defensive rebound by Team,,54-59,,
6:18.0,,,54-59,,Turnover by Team (shot clock)
5:48.0,K. Irving misses 2-pt shot at rim,,54-59,,
5:46.0,,,54-59,,Defensive rebound by T. Maker
5:45.0,,,54-61,2,G. Antetokounmpo makes 2-pt shot from 1 ft
5:28.0,J. Brown makes 3-pt shot from 27 ft (assist by A. Horford),3,57-61,,
5:11.0,,,57-61,,T. Maker misses 3-pt shot from 26 ft
5:08.0,Defensive rebound by D. Theis,,57-61,,
4:51.0,Turnover by A. Horford (bad pass; steal by G. Antetokounmpo),,57-61,,
4:49.0,,,57-61,,Shooting foul by D. Theis (drawn by D. Liggins)
4:49.0,,,57-61,,D. Liggins misses free throw 1 of 2
4:49.0,,,57-61,,Offensive rebound by Team
4:49.0,,,57-61,,M. Dellavedova enters the game for M. Brogdon
4:49.0,A. Baynes enters the game for J. Tatum,,57-61,,
4:49.0,M. Smart enters the game for D. Theis,,57-61,,
4:49.0,,,57-61,,D. Liggins misses free throw 2 of 2
4:46.0,Defensive rebound by A. Baynes,,57-61,,
4:30.0,Turnover by A. Baynes (bad pass; steal by T. Maker),,57-61,,
4:25.0,,,57-63,2,K. Middleton makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
4:14.0,K. Irving makes 2-pt shot from 14 ft,2,59-63,,
3:56.0,,,59-63,,K. Middleton misses 3-pt shot from 27 ft
3:53.0,Defensive rebound by A. Horford,,59-63,,
3:43.0,A. Horford makes 3-pt shot from 23 ft (assist by M. Smart),3,62-63,,
3:27.0,,,62-63,,M. Dellavedova misses 3-pt shot from 27 ft
3:23.0,Defensive rebound by A. Horford,,62-63,,
3:16.0,A. Horford makes 3-pt shot from 23 ft (assist by K. Irving),3,65-63,,
3:15.0,,,65-63,,Milwaukee full timeout
3:15.0,,,65-63,,M. Teletovic enters the game for T. Maker
3:15.0,,,65-63,,G. Monroe enters the game for G. Antetokounmpo
3:15.0,T. Rozier enters the game for K. Irving,,65-63,,
2:56.0,,,65-65,2,K. Middleton makes 2-pt shot from 3 ft (assist by M. Teletovic)
2:33.0,M. Smart misses 2-pt shot from 8 ft,,65-65,,
2:32.0,,,65-65,,Defensive rebound by Team
2:24.0,,,65-65,,Turnover by G. Monroe (bad pass)
2:24.0,J. Tatum enters the game for A. Horford,,65-65,,
2:07.0,M. Smart misses 2-pt shot from 2 ft,,65-65,,
2:04.0,,,65-65,,Defensive rebound by G. Monroe
1:55.0,,,65-67,2,G. Monroe makes 2-pt shot from 1 ft (assist by D. Liggins)
1:33.0,M. Smart misses 2-pt shot from 13 ft,,65-67,,
1:30.0,,,65-67,,Defensive rebound by G. Monroe
1:14.0,,,65-69,2,G. Monroe makes 2-pt shot from 3 ft
1:00.0,J. Brown makes 3-pt shot from 25 ft (assist by J. Tatum),3,68-69,,
0:42.0,,,68-69,,K. Middleton misses 2-pt shot from 7 ft
0:42.0,Defensive rebound by T. Rozier,,68-69,,
0:34.0,Shooting foul by D. Liggins (drawn by A. Baynes),,68-69,,
0:34.0,A. Baynes makes free throw 1 of 2,1,69-69,,
0:34.0,A. Baynes makes free throw 2 of 2,1,70-69,,
0:19.0,,,70-69,,Turnover by M. Teletovic (lost ball; steal by M. Smart)
0:00.0,Turnover by M. Smart (lost ball; steal by K. Middleton),,70-69,,
0:00.0,,,70-69,,Turnover by M. Teletovic (step out of bounds)
0:00.0,,,70-69,,G. Antetokounmpo enters the game for G. Monroe
0:00.0,K. Irving enters the game for M. Smart,,70-69,,
0:00.0,A. Horford enters the game for A. Baynes,,70-69,,
0:00.0,A. Horford makes 2-pt shot from 2 ft (assist by K. Irving),2,72-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,A. Baynes misses 2-pt shot at rim,,72-69,,
11:41.0,,,72-69,,Defensive rebound by G. Antetokounmpo
11:41.0,,,72-69,,Turnover by G. Antetokounmpo (palming)
11:25.0,T. Rozier makes 2-pt shot from 17 ft (assist by M. Smart),2,74-69,,
11:17.0,,,74-72,3,M. Teletovic makes 3-pt shot from 26 ft (assist by M. Dellavedova)
11:07.0,A. Baynes misses 2-pt shot from 19 ft,,74-72,,
11:03.0,,,74-72,,Defensive rebound by M. Teletovic
10:48.0,,,74-72,,G. Monroe misses 2-pt shot from 8 ft
10:46.0,Defensive rebound by A. Baynes,,74-72,,
10:41.0,M. Smart misses 3-pt shot from 28 ft,,74-72,,
10:38.0,,,74-72,,Defensive rebound by T. Snell
10:30.0,,,74-72,,Turnover by M. Dellavedova (bad pass; steal by T. Rozier)
10:23.0,T. Rozier makes 2-pt shot from 1 ft,2,76-72,,
10:00.0,,,76-72,,M. Teletovic misses 3-pt shot from 29 ft
10:00.0,Defensive rebound by T. Rozier,,76-72,,
9:54.0,T. Rozier misses 3-pt shot from 26 ft,,76-72,,
9:54.0,,,76-72,,Defensive rebound by G. Antetokounmpo
9:42.0,,,76-72,,G. Antetokounmpo misses 2-pt shot from 6 ft
9:42.0,Defensive rebound by M. Smart,,76-72,,
9:22.0,M. Smart makes 3-pt shot from 27 ft (assist by A. Baynes),3,79-72,,
9:21.0,,,79-72,,Milwaukee full timeout
9:21.0,,,79-72,,M. Brogdon enters the game for M. Teletovic
9:05.0,,,79-72,,G. Monroe misses 2-pt shot from 1 ft
9:05.0,Defensive rebound by Team,,79-72,,
9:00.0,Jump ball: G. Monroe vs. A. Baynes (J. Tatum gains possession),,,,Jump ball: G. Monroe vs. A. Baynes (J. Tatum gains possession)
8:49.0,S. Ojeleye misses 3-pt shot from 27 ft,,79-72,,
8:44.0,,,79-72,,Defensive rebound by G. Monroe
8:24.0,,,79-72,,G. Antetokounmpo misses 2-pt shot from 12 ft
8:22.0,Defensive rebound by A. Baynes,,79-72,,
8:00.0,T. Rozier misses 2-pt shot from 3 ft,,79-72,,
7:57.0,,,79-72,,Defensive rebound by G. Antetokounmpo
7:52.0,,,79-72,,M. Brogdon misses 3-pt shot from 22 ft
7:48.0,Defensive rebound by A. Baynes,,79-72,,
7:27.0,M. Smart makes 3-pt shot from 25 ft (assist by S. Ojeleye),3,82-72,,
7:08.0,,,82-72,,G. Antetokounmpo misses 2-pt shot from 5 ft
7:06.0,Defensive rebound by A. Baynes,,82-72,,
7:02.0,M. Smart misses 3-pt shot from 26 ft,,82-72,,
6:57.0,,,82-72,,Defensive rebound by G. Antetokounmpo
6:56.0,,,82-72,,Offensive charge foul by G. Monroe (drawn by M. Smart)
6:56.0,,,82-72,,Turnover by G. Monroe (offensive foul)
6:56.0,,,82-72,,K. Middleton enters the game for M. Dellavedova
6:56.0,,,82-72,,J. Henson enters the game for G. Monroe
6:56.0,K. Irving enters the game for M. Smart,,82-72,,
6:33.0,J. Tatum makes 2-pt shot from 1 ft,2,84-72,,
6:20.0,,,84-75,3,T. Snell makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
6:13.0,,,84-75,,Personal foul by M. Brogdon (drawn by J. Tatum)
6:13.0,A. Horford enters the game for A. Baynes,,84-75,,
6:08.0,Turnover by J. Tatum (traveling),,84-75,,
5:51.0,,,84-78,3,T. Snell makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
5:51.0,Boston full timeout,,84-78,,
5:51.0,M. Smart enters the game for J. Tatum,,84-78,,
5:51.0,A. Baynes enters the game for T. Rozier,,84-78,,
5:51.0,J. Brown enters the game for S. Ojeleye,,84-78,,
5:42.0,,,84-78,,Personal foul by K. Middleton (drawn by J. Brown)
5:26.0,A. Horford makes 3-pt shot from 27 ft (assist by K. Irving),3,87-78,,
5:10.0,,,87-78,,Turnover by G. Antetokounmpo (traveling)
4:50.0,K. Irving misses 2-pt shot from 13 ft,,87-78,,
4:49.0,Offensive rebound by J. Brown,,87-78,,
4:49.0,Shooting foul by K. Middleton (drawn by J. Brown),,87-78,,
4:49.0,J. Brown misses free throw 1 of 2,,87-78,,
4:49.0,Offensive rebound by Team,,87-78,,
4:49.0,J. Brown makes free throw 2 of 2,1,88-78,,
4:27.0,,,88-81,3,M. Brogdon makes 3-pt shot from 26 ft (assist by K. Middleton)
4:08.0,A. Baynes misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,88-81,,
4:04.0,,,88-81,,Defensive rebound by J. Henson
3:54.0,,,88-83,2,M. Brogdon makes 2-pt shot from 1 ft
3:29.0,K. Irving makes 2-pt shot from 2 ft,2,90-83,,
3:23.0,,,90-83,,Turnover by K. Middleton (out of bounds lost ball)
2:58.0,K. Irving misses 2-pt shot from 15 ft,,90-83,,
2:56.0,,,90-83,,Defensive rebound by J. Henson
2:52.0,,,90-83,,T. Snell misses 3-pt shot from 24 ft
2:48.0,Defensive rebound by A. Horford,,90-83,,
2:29.0,K. Irving misses 3-pt shot from 26 ft,,90-83,,
2:25.0,Offensive rebound by J. Brown,,90-83,,
2:05.0,K. Irving makes 2-pt shot from 2 ft (assist by A. Horford),2,92-83,,
2:05.0,,,92-83,,Milwaukee full timeout
1:59.0,Personal foul by A. Baynes (drawn by J. Henson),,92-83,,
1:55.0,,,92-83,,Turnover by K. Middleton (out of bounds lost ball)
1:39.0,A. Baynes makes 2-pt shot at rim (assist by M. Smart),2,94-83,,
1:28.0,,,94-86,3,G. Antetokounmpo makes 3-pt shot from 27 ft (assist by M. Brogdon)
