time,Toronto,pts.away,score,pts.home,Philadelphia
6:56.0,,,10-13,,Personal foul by B. Simmons (drawn by D. DeRozan)
6:56.0,,,10-13,,Philadelphia full timeout
6:48.0,D. DeRozan makes 2-pt shot from 11 ft (assist by J. Valanciunas),2,12-13,,
6:30.0,Personal foul by S. Ibaka (drawn by D. Saric),,12-13,,
6:19.0,,,12-13,,J. Embiid misses 2-pt shot from 18 ft
6:16.0,Defensive rebound by O. Anunoby,,12-13,,
5:59.0,Turnover by J. Valanciunas (turnover),,12-13,,
5:51.0,,,12-15,2,B. Simmons makes 2-pt shot from 1 ft (assist by D. Saric)
5:40.0,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan),2,14-15,,
5:29.0,,,14-18,3,J. Embiid makes 3-pt shot from 25 ft (assist by T. McConnell)
5:15.0,D. DeRozan misses 2-pt shot from 2 ft (block by B. Simmons),,14-18,,
5:15.0,,,14-18,,A. Johnson enters the game for J. Embiid
5:14.0,Defensive rebound by Team,,14-18,,
5:11.0,O. Anunoby misses 2-pt shot from 2 ft (block by A. Johnson),,14-18,,
5:11.0,,,14-18,,Defensive rebound by A. Johnson
4:58.0,,,14-20,2,B. Simmons makes 2-pt shot from 10 ft
4:44.0,S. Ibaka makes 2-pt shot from 1 ft (assist by K. Lowry),2,16-20,,
4:20.0,,,16-20,,D. Saric misses 3-pt shot from 28 ft
4:18.0,Defensive rebound by D. DeRozan,,16-20,,
4:11.0,,,16-20,,Personal foul by A. Johnson (drawn by J. Valanciunas)
4:11.0,,,16-20,,J. Redick enters the game for J. Bayless
4:11.0,,,16-20,,R. Covington enters the game for D. Saric
4:11.0,,,16-20,,T. Booker enters the game for B. Simmons
4:11.0,J. Poeltl enters the game for O. Anunoby,,16-20,,
4:11.0,C. Miles enters the game for J. Valanciunas,,16-20,,
4:00.0,J. Poeltl makes 2-pt shot from 1 ft (assist by C. Miles),2,18-20,,
3:59.0,,,18-20,,Philadelphia full timeout
3:59.0,P. Siakam enters the game for S. Ibaka,,18-20,,
3:48.0,,,18-20,,Turnover by R. Covington (traveling)
3:40.0,Shooting foul by T. Booker (drawn by D. DeRozan),,18-20,,
3:40.0,D. DeRozan misses free throw 1 of 2,,18-20,,
3:40.0,Offensive rebound by Team,,18-20,,
3:40.0,D. DeRozan makes free throw 2 of 2,1,19-20,,
3:23.0,,,19-23,3,J. Redick makes 3-pt shot from 25 ft (assist by R. Covington)
3:03.0,D. DeRozan makes 2-pt shot from 9 ft,2,21-23,,
2:52.0,,,21-23,,Turnover by J. Redick (bad pass)
2:45.0,D. DeRozan misses 2-pt shot from 7 ft (block by T. McConnell),,21-23,,
2:41.0,,,21-23,,Defensive rebound by A. Johnson
2:38.0,,,21-25,2,T. Booker makes 2-pt shot from 1 ft (assist by T. McConnell)
2:28.0,J. Poeltl misses 2-pt shot from 5 ft (block by T. Booker),,21-25,,
2:25.0,,,21-25,,Defensive rebound by A. Johnson
2:22.0,,,21-27,2,J. Redick makes 2-pt shot from 19 ft (assist by T. McConnell)
2:11.0,Toronto full timeout,,21-27,,
2:11.0,,,21-27,,J. Embiid enters the game for A. Johnson
2:11.0,D. Wright enters the game for K. Lowry,,21-27,,
2:01.0,D. DeRozan misses 3-pt shot from 28 ft,,21-27,,
1:59.0,,,21-27,,Defensive rebound by Team
1:45.0,,,21-27,,T. McConnell misses 2-pt shot from 3 ft
1:43.0,Defensive rebound by J. Poeltl,,21-27,,
1:28.0,D. Wright misses 3-pt shot from 23 ft,,21-27,,
1:24.0,,,21-27,,Defensive rebound by J. Embiid
1:20.0,,,21-29,2,T. Booker makes 2-pt shot from 1 ft (assist by J. Redick)
1:20.0,,,21-29,,Shooting foul by C. Miles (drawn by T. Booker)
1:20.0,,,21-30,1,T. Booker makes free throw 1 of 1
1:11.0,,,21-30,,Personal foul by T. Booker (drawn by P. Siakam)
1:11.0,F. VanVleet enters the game for D. DeRozan,,21-30,,
0:56.0,P. Siakam misses 2-pt shot from 9 ft,,21-30,,
0:54.0,,,21-30,,Defensive rebound by Team
0:38.0,,,21-30,,J. Embiid misses 2-pt shot from 3 ft (block by J. Poeltl)
0:35.0,Defensive rebound by D. Wright,,21-30,,
0:33.0,F. VanVleet misses 2-pt shot from 2 ft (block by T. Booker),,21-30,,
0:32.0,Offensive rebound by D. Wright,,21-30,,
0:31.0,D. Wright makes 2-pt shot from 1 ft,2,23-30,,
0:19.0,,,23-30,,Shooting foul by P. Siakam (drawn by T. Booker)
0:19.0,,,23-31,1,T. Booker makes free throw 1 of 2
0:19.0,,,23-32,1,T. Booker makes free throw 2 of 2
0:02.0,C. Miles misses 3-pt shot from 23 ft,,23-32,,
0:02.0,,,23-32,,Defensive rebound by J. Redick
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,23-32,,J. Redick misses 3-pt shot from 25 ft
11:39.0,Defensive rebound by J. Poeltl,,23-32,,
11:27.0,Shooting foul by T. Luwawu-Cabarrot (drawn by F. VanVleet),,23-32,,
11:27.0,F. VanVleet makes free throw 1 of 2,1,24-32,,
11:27.0,F. VanVleet makes free throw 2 of 2,1,25-32,,
11:14.0,,,25-32,,Offensive foul by J. Embiid (drawn by J. Poeltl)
11:14.0,,,25-32,,Turnover by J. Embiid (offensive foul)
11:06.0,Offensive foul by F. VanVleet (drawn by J. Redick),,25-32,,
11:06.0,Turnover by F. VanVleet (offensive foul),,25-32,,
10:55.0,,,25-34,2,T. McConnell makes 2-pt shot from 10 ft
10:40.0,Turnover by P. Siakam (bad pass; steal by T. McConnell),,25-34,,
10:34.0,,,25-34,,Turnover by T. Booker (lost ball; steal by P. Siakam)
10:26.0,Shooting foul by T. Booker (drawn by J. Poeltl),,25-34,,
10:26.0,J. Poeltl makes free throw 1 of 2,1,26-34,,
10:26.0,J. Poeltl makes free throw 2 of 2,1,27-34,,
10:12.0,Personal foul by J. Poeltl (drawn by J. Embiid),,27-34,,
10:05.0,,,27-34,,Turnover by J. Embiid (traveling)
10:05.0,,,27-34,,D. Saric enters the game for T. Booker
9:48.0,F. VanVleet makes 2-pt shot from 10 ft,2,29-34,,
9:33.0,Personal foul by C. Miles (drawn by T. McConnell),,29-34,,
9:20.0,,,29-34,,T. McConnell misses 2-pt shot from 12 ft
9:16.0,Defensive rebound by C. Miles,,29-34,,
9:13.0,Turnover by C. Miles (bad pass; steal by J. Redick),,29-34,,
9:05.0,,,29-36,2,J. Embiid makes 2-pt shot from 4 ft (assist by T. McConnell)
8:51.0,F. VanVleet misses 2-pt shot from 18 ft,,29-36,,
8:48.0,,,29-36,,Defensive rebound by T. McConnell
8:36.0,,,29-36,,Turnover by D. Saric (bad pass; steal by D. Wright)
8:30.0,D. Wright misses 2-pt shot from 2 ft,,29-36,,
8:28.0,,,29-36,,Defensive rebound by T. McConnell
8:25.0,,,29-39,3,J. Redick makes 3-pt shot from 28 ft (assist by T. McConnell)
8:25.0,Toronto full timeout,,29-39,,
8:25.0,,,29-39,,A. Johnson enters the game for T. McConnell
8:25.0,,,29-39,,B. Simmons enters the game for J. Embiid
8:25.0,K. Lowry enters the game for J. Poeltl,,29-39,,
8:25.0,J. Valanciunas enters the game for D. Wright,,29-39,,
8:10.0,J. Valanciunas misses 2-pt shot from 15 ft,,29-39,,
8:07.0,,,29-39,,Defensive rebound by D. Saric
8:01.0,Personal foul by J. Valanciunas (drawn by T. Luwawu-Cabarrot),,29-39,,
7:56.0,,,29-39,,D. Saric misses 3-pt shot from 25 ft
7:53.0,Defensive rebound by J. Valanciunas,,29-39,,
7:45.0,K. Lowry misses 2-pt shot from 4 ft,,29-39,,
7:43.0,,,29-39,,Defensive rebound by J. Redick
7:37.0,,,29-39,,D. Saric misses 2-pt shot from 5 ft
7:37.0,Defensive rebound by Team,,29-39,,
7:31.0,Shooting foul by D. Saric (drawn by C. Miles),,29-39,,
7:31.0,C. Miles makes free throw 1 of 2,1,30-39,,
7:31.0,,,30-39,,R. Covington enters the game for T. Luwawu-Cabarrot
7:31.0,,,30-39,,J. Bayless enters the game for J. Redick
7:31.0,S. Ibaka enters the game for P. Siakam,,30-39,,
7:31.0,D. DeRozan enters the game for J. Valanciunas,,30-39,,
7:31.0,C. Miles makes free throw 2 of 2,1,31-39,,
7:13.0,,,31-39,,Turnover by B. Simmons (bad pass)
6:57.0,S. Ibaka misses 2-pt shot from 2 ft (block by D. Saric),,31-39,,
6:54.0,,,31-39,,Defensive rebound by D. Saric
6:54.0,,,31-39,,Offensive charge foul by B. Simmons (drawn by F. VanVleet)
6:54.0,,,31-39,,Turnover by B. Simmons (offensive foul)
6:49.0,Shooting foul by B. Simmons (drawn by F. VanVleet),,31-39,,
6:49.0,F. VanVleet makes free throw 1 of 2,1,32-39,,
6:49.0,,,32-39,,T. McConnell enters the game for B. Simmons
6:49.0,F. VanVleet makes free throw 2 of 2,1,33-39,,
6:34.0,,,33-39,,T. McConnell misses 3-pt shot from 22 ft
6:29.0,,,33-39,,Offensive rebound by A. Johnson
6:28.0,,,33-39,,A. Johnson misses 2-pt shot from 7 ft
6:28.0,Defensive rebound by S. Ibaka,,33-39,,
6:21.0,Turnover by D. DeRozan (bad pass; steal by D. Saric),,33-39,,
6:14.0,Personal foul by K. Lowry (drawn by R. Covington),,33-39,,
6:05.0,Personal foul by F. VanVleet (drawn by R. Covington),,33-39,,
6:05.0,,,33-40,1,R. Covington makes free throw 1 of 2
6:05.0,,,33-41,1,R. Covington makes free throw 2 of 2
5:55.0,Turnover by D. DeRozan (lost ball; steal by R. Covington),,33-41,,
5:55.0,Personal foul by D. DeRozan,,33-41,,
5:55.0,,,33-41,,Technical foul by T. McConnell
5:55.0,Technical foul by D. DeRozan,,33-41,,
5:55.0,,,33-42,1,T. McConnell makes free throw 1 of 2
5:55.0,O. Anunoby enters the game for C. Miles,,33-42,,
5:55.0,,,33-42,,T. McConnell misses free throw 2 of 2
5:52.0,Defensive rebound by S. Ibaka,,33-42,,
5:37.0,K. Lowry misses 2-pt shot from 20 ft,,33-42,,
5:34.0,Offensive rebound by K. Lowry,,33-42,,
5:32.0,S. Ibaka misses 2-pt shot from 17 ft,,33-42,,
5:32.0,,,33-42,,Defensive rebound by A. Johnson
5:24.0,,,33-44,2,T. McConnell makes 2-pt shot from 2 ft
5:14.0,,,33-44,,Personal foul by R. Covington (drawn by D. DeRozan)
5:14.0,D. DeRozan makes free throw 1 of 2,1,34-44,,
5:14.0,J. Valanciunas enters the game for F. VanVleet,,34-44,,
5:14.0,D. DeRozan makes free throw 2 of 2,1,35-44,,
5:04.0,,,35-46,2,D. Saric makes 2-pt shot from 2 ft (assist by A. Johnson)
4:52.0,O. Anunoby misses 3-pt shot from 26 ft,,35-46,,
4:51.0,,,35-46,,Defensive rebound by Team
4:51.0,Loose ball foul by J. Valanciunas (drawn by A. Johnson),,35-46,,
4:51.0,,,35-46,,A. Johnson misses free throw 1 of 2
4:51.0,,,35-46,,Offensive rebound by Team
4:51.0,L. Nogueira enters the game for J. Valanciunas,,35-46,,
4:51.0,,,35-47,1,A. Johnson makes free throw 2 of 2
4:39.0,Shooting foul by A. Johnson (drawn by K. Lowry),,35-47,,
4:39.0,K. Lowry makes free throw 1 of 2,1,36-47,,
4:39.0,K. Lowry makes free throw 2 of 2,1,37-47,,
4:20.0,,,37-49,2,A. Johnson makes 2-pt shot from 1 ft (assist by T. McConnell)
4:02.0,S. Ibaka makes 2-pt shot from 2 ft (assist by L. Nogueira),2,39-49,,
3:49.0,,,39-51,2,T. McConnell makes 2-pt shot from 8 ft
3:37.0,K. Lowry misses 2-pt shot from 3 ft,,39-51,,
3:35.0,,,39-51,,Defensive rebound by T. McConnell
3:31.0,,,39-51,,D. Saric misses 3-pt shot from 25 ft
3:29.0,Defensive rebound by K. Lowry,,39-51,,
3:25.0,Shooting foul by D. Saric (drawn by K. Lowry),,39-51,,
3:25.0,K. Lowry makes free throw 1 of 2,1,40-51,,
3:25.0,,,40-51,,J. Embiid enters the game for A. Johnson
3:25.0,P. Siakam enters the game for S. Ibaka,,40-51,,
3:25.0,K. Lowry makes free throw 2 of 2,1,41-51,,
3:03.0,,,41-51,,J. Embiid misses 2-pt shot from 7 ft
3:00.0,,,41-51,,Offensive rebound by J. Bayless
3:00.0,,,41-53,2,J. Bayless makes 2-pt shot at rim
2:40.0,D. DeRozan misses 3-pt shot from 26 ft,,41-53,,
2:39.0,,,41-53,,Defensive rebound by Team
2:39.0,,,41-53,,Philadelphia full timeout
2:29.0,,,41-55,2,J. Embiid makes 2-pt shot from 3 ft
2:29.0,,,41-55,,Shooting foul by L. Nogueira (drawn by J. Embiid)
2:29.0,,,41-55,,J. Embiid misses free throw 1 of 1
2:27.0,Defensive rebound by O. Anunoby,,41-55,,
2:05.0,D. DeRozan misses 2-pt shot from 13 ft,,41-55,,
2:03.0,,,41-55,,Defensive rebound by J. Bayless
1:51.0,,,41-55,,D. Saric misses 2-pt shot from 15 ft
1:48.0,Defensive rebound by P. Siakam,,41-55,,
1:45.0,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry),2,43-55,,
1:33.0,,,43-57,2,J. Embiid makes 2-pt shot from 2 ft
1:23.0,K. Lowry misses 2-pt shot from 18 ft,,43-57,,
1:21.0,,,43-57,,Defensive rebound by J. Embiid
1:15.0,,,43-57,,J. Embiid misses 2-pt shot from 18 ft
1:12.0,Defensive rebound by O. Anunoby,,43-57,,
1:03.0,,,43-57,,T. Booker enters the game for D. Saric
0:56.0,Turnover by D. DeRozan (bad pass; steal by T. McConnell),,43-57,,
0:54.0,,,43-59,2,R. Covington makes 2-pt shot from 1 ft (assist by T. McConnell)
0:43.0,P. Siakam makes 2-pt shot from 2 ft (assist by K. Lowry),2,45-59,,
0:35.0,Violation by K. Lowry (kicked ball),,45-59,,
0:34.0,,,45-59,,J. Embiid misses 3-pt shot from 26 ft
0:30.0,Defensive rebound by P. Siakam,,45-59,,
0:27.0,P. Siakam makes 2-pt shot from 2 ft,2,47-59,,
0:06.0,,,47-59,,Turnover by T. McConnell (lost ball; steal by K. Lowry)
0:01.0,D. DeRozan makes 2-pt shot from 16 ft (assist by L. Nogueira),2,49-59,,
0:00.0,,,49-59,,R. Covington misses 3-pt shot from 63 ft
0:00.0,,,49-59,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,49-61,2,J. Redick makes 2-pt shot from 18 ft (assist by B. Simmons)
11:36.0,,,49-61,,Personal foul by B. Simmons (drawn by K. Lowry)
11:27.0,Offensive foul by K. Lowry (drawn by B. Simmons),,49-61,,
11:27.0,Turnover by K. Lowry (offensive foul),,49-61,,
11:10.0,,,49-61,,Shooting foul by S. Ibaka (drawn by D. Saric)
11:10.0,,,49-62,1,D. Saric makes free throw 1 of 2
11:10.0,,,49-63,1,D. Saric makes free throw 2 of 2
10:46.0,S. Ibaka misses 2-pt shot from 7 ft,,49-63,,
10:45.0,,,49-63,,Defensive rebound by Team
10:35.0,,,49-63,,B. Simmons misses 2-pt shot from 8 ft
10:33.0,,,49-63,,Offensive rebound by J. Embiid
10:31.0,,,49-65,2,J. Embiid makes 2-pt shot from 1 ft
10:21.0,K. Lowry makes 2-pt shot from 16 ft,2,51-65,,
10:07.0,,,51-67,2,J. Redick makes 2-pt shot from 2 ft (assist by J. Embiid)
9:57.0,K. Lowry misses 3-pt shot from 26 ft,,51-67,,
9:53.0,Offensive rebound by O. Anunoby,,51-67,,
9:49.0,J. Valanciunas makes 2-pt shot at rim (assist by S. Ibaka),2,53-67,,
9:36.0,Technical foul by K. Lowry (drawn by J. Redick),,53-67,,
9:36.0,,,53-68,1,J. Redick makes free throw 1 of 1
9:28.0,,,53-68,,J. Redick misses 3-pt shot from 27 ft
9:24.0,Defensive rebound by S. Ibaka,,53-68,,
9:07.0,S. Ibaka misses 3-pt shot from 25 ft,,53-68,,
9:04.0,,,53-68,,Defensive rebound by D. Saric
8:59.0,,,53-68,,J. Redick misses 3-pt shot from 24 ft
8:54.0,,,53-68,,Offensive rebound by D. Saric
8:54.0,,,53-70,2,D. Saric makes 2-pt shot from 8 ft
8:54.0,,,53-71,1,J. Redick makes technical free throw
8:38.0,S. Ibaka makes 2-pt shot from 14 ft,2,55-71,,
8:22.0,,,55-73,2,J. Embiid makes 2-pt shot from 11 ft
8:12.0,K. Lowry misses 2-pt shot from 8 ft,,55-73,,
8:12.0,Offensive rebound by Team,,55-73,,
8:12.0,,,55-73,,Loose ball foul by J. Redick (drawn by J. Valanciunas)
8:05.0,K. Lowry misses 3-pt shot from 26 ft,,55-73,,
8:01.0,,,55-73,,Defensive rebound by R. Covington
7:52.0,,,55-73,,Turnover by R. Covington (lost ball; steal by O. Anunoby)
7:47.0,D. DeRozan makes 2-pt shot from 1 ft (assist by O. Anunoby),2,57-73,,
7:40.0,,,57-76,3,R. Covington makes 3-pt shot from 24 ft (assist by B. Simmons)
7:14.0,S. Ibaka misses 2-pt shot from 4 ft (block by B. Simmons),,57-76,,
7:11.0,,,57-76,,Defensive rebound by D. Saric
7:08.0,,,57-76,,R. Covington misses 3-pt shot from 25 ft
7:07.0,Defensive rebound by S. Ibaka,,57-76,,
7:07.0,Toronto full timeout,,57-76,,
7:07.0,J. Poeltl enters the game for O. Anunoby,,57-76,,
7:07.0,P. Siakam enters the game for S. Ibaka,,57-76,,
7:07.0,F. VanVleet enters the game for J. Valanciunas,,57-76,,
6:52.0,P. Siakam makes 3-pt shot from 23 ft (assist by D. DeRozan),3,60-76,,
6:35.0,,,60-76,,Turnover by J. Embiid (bad pass; steal by K. Lowry)
6:29.0,K. Lowry misses 2-pt shot from 4 ft,,60-76,,
6:27.0,Offensive rebound by J. Poeltl,,60-76,,
6:12.0,F. VanVleet misses 2-pt shot from 5 ft,,60-76,,
6:10.0,,,60-76,,Defensive rebound by R. Covington
5:56.0,,,60-76,,Turnover by J. Embiid (lost ball; steal by D. DeRozan)
5:52.0,F. VanVleet misses 3-pt shot from 24 ft,,60-76,,
5:48.0,Offensive rebound by P. Siakam,,60-76,,
5:48.0,P. Siakam makes 2-pt shot from 6 ft,2,62-76,,
5:48.0,,,62-76,,Philadelphia full timeout
5:38.0,,,62-76,,Turnover by J. Embiid (bad pass)
5:32.0,Shooting foul by J. Embiid (drawn by D. DeRozan),,62-76,,
5:32.0,D. DeRozan makes free throw 1 of 2,1,63-76,,
5:32.0,D. DeRozan makes free throw 2 of 2,1,64-76,,
5:23.0,,,64-76,,Offensive charge foul by D. Saric (drawn by K. Lowry)
5:23.0,,,64-76,,Turnover by D. Saric (offensive foul)
5:23.0,,,64-76,,A. Johnson enters the game for J. Redick
5:23.0,,,64-76,,T. McConnell enters the game for J. Embiid
5:15.0,D. DeRozan misses 2-pt shot from 18 ft,,64-76,,
5:10.0,Offensive rebound by J. Poeltl,,64-76,,
5:06.0,K. Lowry misses 2-pt shot from 3 ft,,64-76,,
5:04.0,,,64-76,,Defensive rebound by D. Saric
4:49.0,,,64-78,2,T. McConnell makes 2-pt shot from 1 ft
4:34.0,P. Siakam misses 3-pt shot from 25 ft,,64-78,,
4:30.0,,,64-78,,Defensive rebound by R. Covington
4:27.0,,,64-80,2,A. Johnson makes 2-pt shot from 3 ft (assist by B. Simmons)
4:07.0,D. DeRozan misses 3-pt shot from 23 ft,,64-80,,
4:05.0,,,64-80,,Defensive rebound by A. Johnson
3:53.0,,,64-80,,Shooting foul by P. Siakam (drawn by R. Covington)
3:53.0,,,64-81,1,R. Covington makes free throw 1 of 2
3:53.0,,,64-81,,T. Booker enters the game for D. Saric
3:53.0,C. Miles enters the game for K. Lowry,,64-81,,
3:53.0,,,64-82,1,R. Covington makes free throw 2 of 2
3:40.0,Turnover by C. Miles (traveling),,64-82,,
3:28.0,Personal foul by D. DeRozan (drawn by B. Simmons),,64-82,,
3:28.0,,,64-82,,J. Redick enters the game for B. Simmons
3:22.0,Technical foul by F. VanVleet,,64-82,,
3:22.0,,,64-83,1,J. Redick makes technical free throw
3:11.0,,,64-83,,R. Covington misses 3-pt shot from 27 ft
3:08.0,Defensive rebound by P. Siakam,,64-83,,
3:02.0,C. Miles misses 3-pt shot from 26 ft,,64-83,,
2:57.0,,,64-83,,Defensive rebound by J. Redick
2:53.0,Personal foul by D. DeRozan (drawn by A. Johnson),,64-83,,
2:53.0,,,64-84,1,A. Johnson makes free throw 1 of 2
2:53.0,,,64-85,1,A. Johnson makes free throw 2 of 2
2:44.0,P. Siakam makes 2-pt shot from 5 ft (assist by D. DeRozan),2,66-85,,
2:44.0,Shooting foul by R. Covington (drawn by P. Siakam),,66-85,,
2:44.0,P. Siakam misses free throw 1 of 1,,66-85,,
2:42.0,,,66-85,,Defensive rebound by T. McConnell
2:34.0,,,66-85,,R. Covington misses 3-pt shot from 26 ft
2:30.0,Defensive rebound by J. Poeltl,,66-85,,
2:26.0,C. Miles misses 3-pt shot from 24 ft,,66-85,,
2:22.0,,,66-85,,Defensive rebound by J. Redick
2:15.0,,,66-87,2,T. McConnell makes 2-pt shot from 11 ft
1:54.0,,,66-87,,Personal foul by T. Booker (drawn by F. VanVleet)
1:54.0,F. VanVleet makes free throw 1 of 2,1,67-87,,
1:54.0,,,67-87,,J. Embiid enters the game for A. Johnson
1:54.0,,,67-87,,J. Bayless enters the game for R. Covington
1:54.0,D. Wright enters the game for D. DeRozan,,67-87,,
1:54.0,F. VanVleet makes free throw 2 of 2,1,68-87,,
1:45.0,Personal foul by J. Poeltl (drawn by J. Embiid),,68-87,,
1:45.0,,,68-88,1,J. Embiid makes free throw 1 of 2
1:45.0,,,68-89,1,J. Embiid makes free throw 2 of 2
1:25.0,D. Wright makes 3-pt shot from 25 ft,3,71-89,,
1:12.0,,,71-89,,J. Embiid misses 3-pt shot from 26 ft
1:07.0,Defensive rebound by F. VanVleet,,71-89,,
1:02.0,F. VanVleet misses 2-pt shot from 4 ft,,71-89,,
1:01.0,,,71-89,,Defensive rebound by J. Embiid
1:01.0,Personal foul by P. Siakam (drawn by J. Embiid),,71-89,,
1:01.0,,,71-89,,J. Embiid misses free throw 1 of 2
1:01.0,,,71-89,,Offensive rebound by Team
1:01.0,,,71-90,1,J. Embiid makes free throw 2 of 2
0:49.0,C. Miles misses 3-pt shot from 25 ft,,71-90,,
0:46.0,Offensive rebound by J. Poeltl,,71-90,,
0:46.0,C. Miles makes 3-pt shot from 25 ft (assist by J. Poeltl),3,74-90,,
0:34.0,,,74-93,3,T. McConnell makes 3-pt shot from 25 ft (assist by J. Redick)
0:15.0,Shooting foul by T. Booker (drawn by J. Poeltl),,74-93,,
0:15.0,J. Poeltl makes free throw 1 of 2,1,75-93,,
0:15.0,J. Poeltl misses free throw 2 of 2,,75-93,,
0:12.0,,,75-93,,Defensive rebound by T. McConnell
0:03.0,,,75-93,,J. Embiid misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by Team,,75-93,,
0:00.0,F. VanVleet misses 3-pt shot from 57 ft,,75-93,,
0:00.0,Offensive rebound by Team,,75-93,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,D. Wright makes 3-pt shot from 25 ft,3,78-93,,
11:23.0,,,78-93,,T. McConnell misses 3-pt shot from 23 ft
11:20.0,Defensive rebound by F. VanVleet,,78-93,,
11:16.0,F. VanVleet misses 2-pt shot from 3 ft (block by J. Embiid),,78-93,,
11:15.0,Offensive rebound by P. Siakam,,78-93,,
11:12.0,J. Poeltl misses 2-pt shot from 5 ft (block by T. Booker),,78-93,,
11:12.0,,,78-93,,Defensive rebound by Team
11:12.0,Personal foul by D. Wright (drawn by J. Bayless),,78-93,,
11:12.0,Toronto full timeout,,78-93,,
11:12.0,K. Lowry enters the game for F. VanVleet,,78-93,,
10:50.0,,,78-93,,Turnover by Team (shot clock)
10:43.0,C. Miles misses 3-pt shot from 25 ft,,78-93,,
10:40.0,,,78-93,,Defensive rebound by J. Embiid
10:30.0,,,78-95,2,T. McConnell makes 2-pt shot from 3 ft (assist by J. Embiid)
10:19.0,D. Wright makes 3-pt shot from 25 ft,3,81-95,,
9:55.0,,,81-95,,Shooting foul by P. Siakam (drawn by J. Embiid)
9:55.0,,,81-96,1,J. Embiid makes free throw 1 of 2
9:55.0,,,81-97,1,J. Embiid makes free throw 2 of 2
9:46.0,C. Miles makes 3-pt shot from 26 ft (assist by D. Wright),3,84-97,,
9:26.0,,,84-97,,J. Redick misses 2-pt shot from 17 ft
9:25.0,Defensive rebound by K. Lowry,,84-97,,
9:25.0,,,84-97,,Personal foul by T. Booker (drawn by K. Lowry)
9:25.0,,,84-97,,B. Simmons enters the game for J. Redick
9:25.0,,,84-97,,D. Saric enters the game for T. Booker
