time,Orlando,pts.away,score,pts.home,Portland
6:21.0,,,19-13,3,D. Lillard makes 3-pt shot from 24 ft
6:05.0,E. Fournier misses 3-pt shot from 25 ft,,19-13,,
6:04.0,,,19-13,,Defensive rebound by N. Vonleh
5:43.0,,,19-13,,J. Nurkic misses 3-pt shot from 25 ft
5:41.0,Defensive rebound by A. Gordon,,19-13,,
5:31.0,Turnover by N. Vucevic (bad pass),,19-13,,
5:31.0,,,19-13,,E. Turner enters the game for M. Harkless
5:25.0,,,19-15,2,D. Lillard makes 2-pt shot at rim
5:09.0,E. Payton makes 3-pt shot from 26 ft (assist by E. Fournier),3,22-15,,
4:46.0,,,22-15,,C. McCollum misses 3-pt shot from 23 ft
4:45.0,Defensive rebound by N. Vucevic,,22-15,,
4:34.0,E. Fournier misses 3-pt shot from 25 ft,,22-15,,
4:32.0,Offensive rebound by T. Ross,,22-15,,
4:26.0,A. Gordon misses 3-pt shot from 22 ft,,22-15,,
4:22.0,,,22-15,,Defensive rebound by J. Nurkic
4:13.0,,,22-15,,D. Lillard misses 3-pt shot from 30 ft
4:10.0,Defensive rebound by N. Vucevic,,22-15,,
3:57.0,A. Gordon makes 3-pt shot from 26 ft (assist by N. Vucevic),3,25-15,,
3:40.0,,,25-15,,Shooting foul by E. Fournier (drawn by C. McCollum)
3:40.0,,,25-16,1,C. McCollum makes free throw 1 of 2
3:40.0,,,25-16,,E. Davis enters the game for J. Nurkic
3:40.0,J. Simmons enters the game for E. Payton,,25-16,,
3:40.0,S. Mack enters the game for T. Ross,,25-16,,
3:40.0,,,25-17,1,C. McCollum makes free throw 2 of 2
3:25.0,N. Vucevic makes 2-pt shot from 14 ft,2,27-17,,
3:17.0,,,27-17,,D. Lillard misses 2-pt shot at rim
3:14.0,Defensive rebound by S. Mack,,27-17,,
3:10.0,N. Vucevic makes 2-pt shot at rim (assist by A. Gordon),2,29-17,,
2:44.0,,,29-17,,D. Lillard misses 2-pt shot at rim
2:43.0,,,29-17,,Offensive rebound by N. Vonleh
2:40.0,,,29-19,2,N. Vonleh makes 2-pt shot at rim
2:34.0,A. Gordon misses 2-pt shot from 15 ft,,29-19,,
2:31.0,,,29-19,,Defensive rebound by D. Lillard
2:17.0,,,29-21,2,N. Vonleh makes 2-pt shot from 7 ft
2:16.0,Orlando full timeout,,29-21,,
2:16.0,,,29-21,,P. Connaughton enters the game for C. McCollum
1:52.0,A. Gordon misses 3-pt shot from 25 ft,,29-21,,
1:52.0,,,29-21,,Defensive rebound by Team
1:52.0,B. Biyombo enters the game for A. Gordon,,29-21,,
1:52.0,M. Speights enters the game for N. Vucevic,,29-21,,
1:33.0,,,29-24,3,D. Lillard makes 3-pt shot from 28 ft (assist by P. Connaughton)
1:15.0,Shooting foul by N. Vonleh (drawn by E. Fournier),,29-24,,
1:15.0,E. Fournier makes free throw 1 of 2,1,30-24,,
1:15.0,E. Fournier makes free throw 2 of 2,1,31-24,,
1:04.0,,,31-24,,E. Turner misses 3-pt shot from 24 ft
1:02.0,Defensive rebound by B. Biyombo,,31-24,,
0:50.0,S. Mack misses 2-pt shot from 1 ft (block by E. Davis),,31-24,,
0:47.0,,,31-24,,Defensive rebound by E. Turner
0:33.0,,,31-24,,P. Connaughton misses 3-pt shot from 27 ft
0:29.0,Defensive rebound by B. Biyombo,,31-24,,
0:09.0,J. Simmons makes 2-pt shot from 1 ft,2,33-24,,
0:00.0,,,33-24,,P. Connaughton misses 3-pt shot from 22 ft
0:00.0,,,33-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,M. Speights makes 3-pt shot from 26 ft (assist by J. Simmons),3,36-24,,
11:20.0,,,36-24,,Turnover by S. Napier (bad pass; steal by M. Hezonja)
11:04.0,J. Simmons makes 2-pt shot from 2 ft,2,38-24,,
10:42.0,,,38-24,,S. Napier misses 2-pt shot from 18 ft
10:40.0,Defensive rebound by B. Biyombo,,38-24,,
10:35.0,Offensive foul by M. Speights (drawn by S. Napier),,38-24,,
10:35.0,Turnover by M. Speights (offensive foul),,38-24,,
10:20.0,,,38-24,,E. Turner misses 2-pt shot from 18 ft
10:18.0,Defensive rebound by B. Biyombo,,38-24,,
9:59.0,M. Speights misses 3-pt shot from 25 ft,,38-24,,
9:56.0,,,38-24,,Defensive rebound by N. Vonleh
9:49.0,,,38-26,2,E. Turner makes 2-pt shot from 8 ft
9:35.0,M. Hezonja misses 3-pt shot from 22 ft,,38-26,,
9:33.0,Offensive rebound by M. Hezonja,,38-26,,
9:22.0,,,38-26,,Personal foul by S. Napier (drawn by J. Simmons)
9:16.0,J. Simmons misses 2-pt shot from 9 ft,,38-26,,
9:14.0,,,38-26,,Defensive rebound by N. Vonleh
9:04.0,,,38-26,,S. Napier misses 2-pt shot from 1 ft (block by B. Biyombo)
9:03.0,,,38-26,,Offensive rebound by Team
8:53.0,,,38-26,,E. Turner misses 3-pt shot from 24 ft
8:51.0,Defensive rebound by J. Simmons,,38-26,,
8:41.0,,,38-26,,C. McCollum enters the game for P. Connaughton
8:34.0,S. Mack misses 3-pt shot from 25 ft,,38-26,,
8:29.0,,,38-26,,Defensive rebound by N. Vonleh
8:20.0,,,38-26,,E. Turner misses 2-pt shot from 8 ft
8:18.0,,,38-26,,Offensive rebound by N. Vonleh
8:15.0,,,38-28,2,C. McCollum makes 2-pt shot from 8 ft
7:55.0,J. Simmons makes 2-pt shot from 19 ft,2,40-28,,
7:37.0,,,40-31,3,S. Napier makes 3-pt shot from 24 ft (assist by N. Vonleh)
7:17.0,Turnover by J. Simmons (lost ball; steal by E. Davis),,40-31,,
7:10.0,,,40-31,,C. McCollum misses 3-pt shot from 25 ft
7:07.0,Defensive rebound by S. Mack,,40-31,,
7:02.0,M. Speights makes 2-pt shot from 1 ft (assist by S. Mack),2,42-31,,
7:02.0,,,42-31,,Portland full timeout
7:02.0,E. Payton enters the game for S. Mack,,42-31,,
6:47.0,,,42-31,,N. Vonleh misses 2-pt shot from 20 ft
6:43.0,,,42-31,,Offensive rebound by E. Davis
6:39.0,,,42-34,3,S. Napier makes 3-pt shot from 24 ft (assist by C. McCollum)
6:20.0,M. Speights makes 3-pt shot from 24 ft (assist by E. Payton),3,45-34,,
6:01.0,,,45-34,,E. Turner misses 2-pt shot from 11 ft
5:59.0,Defensive rebound by B. Biyombo,,45-34,,
5:44.0,M. Speights makes 2-pt shot from 3 ft (assist by J. Simmons),2,47-34,,
5:30.0,,,47-34,,N. Vonleh misses 2-pt shot from 20 ft
5:28.0,Defensive rebound by J. Simmons,,47-34,,
5:20.0,J. Simmons misses 2-pt shot from 16 ft,,47-34,,
5:17.0,,,47-34,,Defensive rebound by C. McCollum
5:06.0,,,47-36,2,S. Napier makes 2-pt shot from 1 ft
4:42.0,M. Speights misses 3-pt shot from 26 ft,,47-36,,
4:40.0,,,47-36,,Defensive rebound by E. Davis
4:33.0,,,47-36,,S. Napier misses 2-pt shot from 19 ft
4:33.0,,,47-36,,Offensive rebound by Team
4:33.0,Loose ball foul by B. Biyombo (drawn by E. Davis),,47-36,,
4:33.0,,,47-36,,D. Lillard enters the game for E. Turner
4:33.0,,,47-36,,M. Harkless enters the game for S. Napier
4:33.0,,,47-36,,J. Nurkic enters the game for N. Vonleh
4:33.0,E. Fournier enters the game for M. Hezonja,,47-36,,
4:33.0,T. Ross enters the game for J. Simmons,,47-36,,
4:23.0,,,47-38,2,C. McCollum makes 2-pt shot from 21 ft
4:23.0,Orlando full timeout,,47-38,,
4:23.0,,,47-38,,S. Napier enters the game for E. Davis
4:23.0,A. Gordon enters the game for M. Speights,,47-38,,
4:23.0,N. Vucevic enters the game for B. Biyombo,,47-38,,
4:10.0,Turnover by N. Vucevic (traveling),,47-38,,
3:54.0,,,47-41,3,S. Napier makes 3-pt shot from 23 ft (assist by D. Lillard)
3:42.0,E. Payton misses 2-pt shot from 20 ft,,47-41,,
3:42.0,,,47-41,,Defensive rebound by Team
3:42.0,Loose ball foul by E. Fournier (drawn by J. Nurkic),,47-41,,
3:27.0,,,47-43,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
3:05.0,E. Fournier misses 2-pt shot from 17 ft,,47-43,,
3:02.0,,,47-43,,Defensive rebound by M. Harkless
2:55.0,,,47-45,2,C. McCollum makes 2-pt shot from 17 ft (assist by J. Nurkic)
2:54.0,Orlando full timeout,,47-45,,
2:34.0,E. Fournier misses 2-pt shot at rim,,47-45,,
2:33.0,,,47-45,,Defensive rebound by C. McCollum
2:28.0,,,47-45,,D. Lillard misses 3-pt shot from 24 ft
2:25.0,,,47-45,,Offensive rebound by J. Nurkic
2:25.0,,,47-45,,J. Nurkic misses 2-pt shot at rim
2:24.0,Defensive rebound by N. Vucevic,,47-45,,
2:17.0,Turnover by N. Vucevic (bad pass; steal by S. Napier),,47-45,,
2:11.0,,,47-47,2,D. Lillard makes 2-pt shot at rim (assist by C. McCollum)
1:52.0,N. Vucevic misses 2-pt shot at rim,,47-47,,
1:50.0,Offensive rebound by E. Payton,,47-47,,
1:46.0,E. Fournier misses 3-pt shot from 22 ft,,47-47,,
1:44.0,,,47-47,,Defensive rebound by Team
1:27.0,,,47-49,2,J. Nurkic makes 2-pt shot from 22 ft (assist by S. Napier)
1:13.0,Turnover by E. Payton (lost ball; steal by S. Napier),,47-49,,
0:57.0,,,47-51,2,C. McCollum makes 2-pt shot from 1 ft (assist by J. Nurkic)
0:49.0,Turnover by E. Payton (lost ball; steal by S. Napier),,47-51,,
0:44.0,,,47-51,,D. Lillard misses 2-pt shot from 3 ft
0:40.0,,,47-51,,Offensive rebound by J. Nurkic
0:40.0,,,47-51,,J. Nurkic misses 2-pt shot at rim
0:40.0,,,47-51,,Offensive rebound by J. Nurkic
0:39.0,,,47-51,,J. Nurkic misses 2-pt shot at rim
0:38.0,Defensive rebound by E. Fournier,,47-51,,
0:29.0,,,47-51,,Personal foul by S. Napier (drawn by E. Payton)
0:24.0,Turnover by E. Fournier (out of bounds lost ball),,47-51,,
0:24.0,J. Simmons enters the game for E. Fournier,,47-51,,
0:14.0,Personal foul by E. Payton (drawn by D. Lillard),,47-51,,
0:14.0,,,47-51,,P. Connaughton enters the game for J. Nurkic
0:00.0,,,47-51,,Turnover by Team (shot clock)
0:00.0,,,47-51,,J. Nurkic enters the game for P. Connaughton
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,N. Vucevic misses 3-pt shot from 24 ft,,47-51,,
11:36.0,Offensive rebound by E. Payton,,47-51,,
11:33.0,T. Ross makes 2-pt shot at rim,2,49-51,,
11:18.0,,,49-54,3,D. Lillard makes 3-pt shot from 22 ft
10:55.0,T. Ross misses 2-pt shot from 8 ft,,49-54,,
10:54.0,,,49-54,,Defensive rebound by D. Lillard
10:46.0,,,49-56,2,J. Nurkic makes 2-pt shot from 11 ft (assist by D. Lillard)
10:30.0,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Payton),2,51-56,,
10:11.0,,,51-59,3,D. Lillard makes 3-pt shot from 25 ft (assist by P. Connaughton)
9:58.0,E. Fournier misses 2-pt shot from 11 ft,,51-59,,
9:56.0,Offensive rebound by A. Gordon,,51-59,,
9:48.0,A. Gordon misses 3-pt shot from 24 ft,,51-59,,
9:45.0,,,51-59,,Defensive rebound by M. Harkless
9:39.0,,,51-59,,J. Nurkic misses 2-pt shot from 2 ft
9:37.0,Defensive rebound by N. Vucevic,,51-59,,
9:26.0,N. Vucevic misses 2-pt shot from 20 ft,,51-59,,
9:24.0,,,51-59,,Defensive rebound by P. Connaughton
9:10.0,,,51-61,2,P. Connaughton makes 2-pt shot from 1 ft (assist by D. Lillard)
8:56.0,E. Fournier makes 2-pt shot from 19 ft (assist by E. Payton),2,53-61,,
8:43.0,,,53-61,,J. Nurkic misses 2-pt shot from 16 ft
8:42.0,Defensive rebound by A. Gordon,,53-61,,
8:35.0,N. Vucevic misses 3-pt shot from 25 ft,,53-61,,
8:33.0,,,53-61,,Defensive rebound by D. Lillard
8:22.0,,,53-63,2,M. Harkless makes 2-pt shot at rim (assist by D. Lillard)
8:22.0,Orlando full timeout,,53-63,,
8:08.0,E. Fournier makes 2-pt shot from 3 ft,2,55-63,,
7:49.0,,,55-66,3,D. Lillard makes 3-pt shot from 26 ft
7:38.0,Turnover by A. Gordon (traveling),,55-66,,
7:26.0,,,55-66,,C. McCollum misses 2-pt shot from 11 ft
7:23.0,Defensive rebound by A. Gordon,,55-66,,
7:07.0,A. Gordon makes 2-pt shot at rim (assist by N. Vucevic),2,57-66,,
6:47.0,,,57-66,,Turnover by P. Connaughton (step out of bounds)
6:34.0,E. Payton misses 3-pt shot from 24 ft,,57-66,,
6:31.0,,,57-66,,Defensive rebound by J. Nurkic
6:25.0,,,57-66,,C. McCollum misses 2-pt shot from 4 ft
6:24.0,Defensive rebound by N. Vucevic,,57-66,,
6:19.0,E. Payton misses 2-pt shot at rim,,57-66,,
6:19.0,,,57-66,,Defensive rebound by D. Lillard
6:12.0,,,57-66,,D. Lillard misses 2-pt shot from 1 ft
6:10.0,Defensive rebound by N. Vucevic,,57-66,,
6:06.0,Shooting foul by C. McCollum (drawn by E. Fournier),,57-66,,
6:06.0,E. Fournier makes free throw 1 of 2,1,58-66,,
6:06.0,,,58-66,,E. Davis enters the game for J. Nurkic
6:06.0,J. Simmons enters the game for T. Ross,,58-66,,
6:06.0,E. Fournier makes free throw 2 of 2,1,59-66,,
5:46.0,,,59-66,,Shooting foul by J. Simmons (drawn by C. McCollum)
5:46.0,,,59-67,1,C. McCollum makes free throw 1 of 2
5:46.0,,,59-67,,E. Turner enters the game for P. Connaughton
5:46.0,,,59-68,1,C. McCollum makes free throw 2 of 2
5:28.0,J. Simmons makes 2-pt shot from 1 ft,2,61-68,,
5:28.0,Shooting foul by E. Turner (drawn by J. Simmons),,61-68,,
5:28.0,J. Simmons makes free throw 1 of 1,1,62-68,,
5:09.0,,,62-70,2,M. Harkless makes 2-pt shot at rim (assist by E. Turner)
5:02.0,E. Payton misses 2-pt shot at rim,,62-70,,
5:00.0,,,62-70,,Defensive rebound by E. Davis
4:56.0,,,62-70,,Turnover by C. McCollum (lost ball; steal by A. Gordon)
4:51.0,A. Gordon misses 3-pt shot from 24 ft,,62-70,,
4:47.0,Offensive rebound by E. Payton,,62-70,,
4:43.0,Shooting foul by M. Harkless (drawn by A. Gordon),,62-70,,
4:43.0,A. Gordon makes free throw 1 of 2,1,63-70,,
4:43.0,A. Gordon makes free throw 2 of 2,1,64-70,,
4:29.0,,,64-70,,D. Lillard misses 3-pt shot from 24 ft
4:26.0,Defensive rebound by N. Vucevic,,64-70,,
4:19.0,E. Fournier misses 2-pt shot from 15 ft,,64-70,,
4:16.0,,,64-70,,Defensive rebound by E. Davis
4:04.0,,,64-70,,C. McCollum misses 3-pt shot from 23 ft
4:02.0,,,64-70,,Offensive rebound by E. Davis
4:02.0,,,64-72,2,E. Davis makes 2-pt shot at rim
3:38.0,E. Fournier makes 3-pt shot from 25 ft (assist by N. Vucevic),3,67-72,,
3:14.0,,,67-72,,Turnover by E. Davis (lost ball; steal by A. Gordon)
3:11.0,,,67-72,,N. Vonleh enters the game for M. Harkless
3:11.0,S. Mack enters the game for E. Payton,,67-72,,
3:11.0,,,67-72,,S. Napier enters the game for D. Lillard
3:04.0,Jump ball: C. McCollum vs. A. Gordon (E. Fournier gains possession),,,,Jump ball: C. McCollum vs. A. Gordon (E. Fournier gains possession)
2:55.0,Turnover by A. Gordon (lost ball; steal by C. McCollum),,67-72,,
2:44.0,,,67-72,,Turnover by E. Davis (offensive goaltending)
2:44.0,,,67-72,,Portland full timeout
2:44.0,B. Biyombo enters the game for A. Gordon,,67-72,,
2:44.0,M. Speights enters the game for N. Vucevic,,67-72,,
2:29.0,M. Speights misses 2-pt shot from 22 ft,,67-72,,
2:26.0,,,67-72,,Defensive rebound by E. Davis
2:13.0,,,67-72,,E. Turner misses 2-pt shot from 16 ft
2:11.0,Defensive rebound by J. Simmons,,67-72,,
2:06.0,,,67-72,,Personal foul by C. McCollum (drawn by J. Simmons)
1:55.0,J. Simmons makes 2-pt shot from 4 ft,2,69-72,,
1:31.0,,,69-75,3,S. Napier makes 3-pt shot from 22 ft (assist by C. McCollum)
1:18.0,Offensive charge foul by J. Simmons (drawn by C. McCollum),,69-75,,
1:18.0,Turnover by J. Simmons (offensive foul),,69-75,,
1:18.0,,,69-75,,J. Nurkic enters the game for E. Davis
1:02.0,,,69-75,,N. Vonleh misses 2-pt shot from 19 ft
1:00.0,Defensive rebound by M. Speights,,69-75,,
0:42.0,E. Fournier makes 2-pt shot from 18 ft,2,71-75,,
0:31.0,,,71-75,,C. McCollum misses 2-pt shot from 4 ft (block by M. Speights)
0:29.0,,,71-75,,Offensive rebound by C. McCollum
0:19.0,,,71-75,,E. Turner misses 2-pt shot from 17 ft
0:16.0,Defensive rebound by B. Biyombo,,71-75,,
0:00.0,B. Biyombo misses 2-pt shot from 13 ft,,71-75,,
0:00.0,Offensive rebound by Team,,71-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,71-75,,N. Vonleh misses 2-pt shot from 2 ft (block by B. Biyombo)
11:46.0,Defensive rebound by T. Ross,,71-75,,
11:25.0,J. Simmons misses 2-pt shot from 4 ft,,71-75,,
11:22.0,,,71-75,,Defensive rebound by N. Vonleh
11:02.0,,,71-77,2,E. Turner makes 2-pt shot from 10 ft
10:50.0,T. Ross makes 3-pt shot from 23 ft (assist by S. Mack),3,74-77,,
10:31.0,,,74-77,,D. Lillard misses 3-pt shot from 25 ft
10:28.0,Defensive rebound by T. Ross,,74-77,,
10:14.0,J. Simmons misses 2-pt shot from 2 ft,,74-77,,
10:12.0,,,74-77,,Defensive rebound by D. Lillard
10:09.0,,,74-77,,S. Napier misses 2-pt shot from 20 ft
10:08.0,Defensive rebound by M. Speights,,74-77,,
9:56.0,Offensive foul by B. Biyombo (drawn by S. Napier),,74-77,,
9:56.0,Turnover by B. Biyombo (offensive foul),,74-77,,
9:37.0,,,74-79,2,D. Lillard makes 2-pt shot from 5 ft (assist by J. Nurkic)
9:18.0,S. Mack makes 2-pt shot from 8 ft,2,76-79,,
8:51.0,,,76-79,,Turnover by D. Lillard (traveling)
8:26.0,S. Mack misses 2-pt shot from 1 ft (block by S. Napier),,76-79,,
8:23.0,Offensive rebound by S. Mack,,76-79,,
8:22.0,S. Mack makes 2-pt shot from 1 ft,2,78-79,,
8:09.0,,,78-79,,J. Nurkic misses 2-pt shot from 4 ft
8:07.0,Defensive rebound by M. Speights,,78-79,,
7:59.0,T. Ross misses 3-pt shot from 25 ft,,78-79,,
7:56.0,,,78-79,,Defensive rebound by J. Nurkic
7:46.0,,,78-79,,Shooting foul by T. Ross (drawn by E. Turner)
7:46.0,,,78-79,,E. Turner misses free throw 1 of 2
7:46.0,,,78-79,,Offensive rebound by Team
7:46.0,,,78-79,,C. McCollum enters the game for S. Napier
7:46.0,,,78-79,,M. Harkless enters the game for N. Vonleh
7:46.0,A. Gordon enters the game for M. Speights,,78-79,,
7:46.0,E. Fournier enters the game for S. Mack,,78-79,,
7:46.0,,,78-80,1,E. Turner makes free throw 2 of 2
7:34.0,J. Simmons misses 2-pt shot from 16 ft,,78-80,,
7:31.0,,,78-80,,Defensive rebound by C. McCollum
7:21.0,,,78-80,,D. Lillard misses 3-pt shot from 25 ft
7:20.0,,,78-80,,Offensive rebound by Team
7:20.0,,,78-80,,Portland full timeout
7:20.0,,,78-80,,S. Napier enters the game for E. Turner
7:20.0,N. Vucevic enters the game for B. Biyombo,,78-80,,
7:10.0,Personal foul by J. Simmons (drawn by J. Nurkic),,78-80,,
7:03.0,,,78-80,,Offensive foul by J. Nurkic (drawn by J. Simmons)
7:03.0,,,78-80,,Turnover by J. Nurkic (offensive foul)
6:52.0,E. Fournier makes 3-pt shot from 25 ft (assist by T. Ross),3,81-80,,
6:34.0,,,81-80,,S. Napier misses 2-pt shot at rim (block by E. Fournier)
6:34.0,,,81-80,,Offensive rebound by Team
6:34.0,E. Payton enters the game for J. Simmons,,81-80,,
6:26.0,,,81-80,,C. McCollum misses 2-pt shot from 13 ft
6:25.0,Defensive rebound by E. Fournier,,81-80,,
6:15.0,A. Gordon misses 2-pt shot from 12 ft,,81-80,,
6:11.0,,,81-80,,Defensive rebound by D. Lillard
6:03.0,,,81-82,2,J. Nurkic makes 2-pt shot from 5 ft
5:48.0,Turnover by E. Fournier (lost ball; steal by C. McCollum),,81-82,,
5:43.0,,,81-82,,Turnover by C. McCollum (bad pass)
5:31.0,Offensive foul by E. Fournier (drawn by C. McCollum),,81-82,,
5:31.0,Turnover by E. Fournier (offensive foul),,81-82,,
5:13.0,,,81-84,2,M. Harkless makes 2-pt shot at rim (assist by S. Napier)
4:59.0,E. Payton makes 2-pt shot from 13 ft,2,83-84,,
4:32.0,,,83-87,3,C. McCollum makes 3-pt shot from 27 ft
4:30.0,Orlando full timeout,,83-87,,
4:17.0,E. Fournier misses 2-pt shot from 1 ft,,83-87,,
4:15.0,,,83-87,,Defensive rebound by M. Harkless
3:55.0,,,83-87,,J. Nurkic misses 2-pt shot from 4 ft
3:53.0,,,83-87,,Offensive rebound by J. Nurkic
3:50.0,,,83-87,,J. Nurkic misses 2-pt shot from 4 ft
3:49.0,Defensive rebound by E. Fournier,,83-87,,
3:46.0,T. Ross misses 3-pt shot from 25 ft,,83-87,,
3:43.0,,,83-87,,Defensive rebound by D. Lillard
3:25.0,,,83-87,,Shooting foul by N. Vucevic (drawn by D. Lillard)
3:25.0,,,83-88,1,D. Lillard makes free throw 1 of 2
3:25.0,J. Simmons enters the game for T. Ross,,83-88,,
3:25.0,,,83-89,1,D. Lillard makes free throw 2 of 2
3:12.0,,,83-89,,Personal foul by J. Nurkic (drawn by N. Vucevic)
3:07.0,E. Payton makes 3-pt shot from 23 ft (assist by E. Fournier),3,86-89,,
2:48.0,,,86-89,,C. McCollum misses 2-pt shot from 6 ft
2:47.0,Defensive rebound by N. Vucevic,,86-89,,
2:35.0,E. Fournier misses 3-pt shot from 27 ft,,86-89,,
2:31.0,,,86-89,,Defensive rebound by D. Lillard
2:16.0,,,86-92,3,S. Napier makes 3-pt shot from 24 ft (assist by D. Lillard)
2:07.0,N. Vucevic misses 3-pt shot from 24 ft,,86-92,,
2:04.0,,,86-92,,Defensive rebound by D. Lillard
1:43.0,,,86-95,3,C. McCollum makes 3-pt shot from 24 ft (assist by J. Nurkic)
1:43.0,Orlando full timeout,,86-95,,
1:34.0,A. Gordon makes 3-pt shot from 25 ft (assist by J. Simmons),3,89-95,,
1:16.0,,,89-97,2,D. Lillard makes 2-pt shot at rim
1:11.0,Turnover by E. Payton (lost ball; steal by C. McCollum),,89-97,,
0:50.0,,,89-97,,D. Lillard misses 2-pt shot from 20 ft
0:48.0,Defensive rebound by N. Vucevic,,89-97,,
0:42.0,J. Simmons makes 3-pt shot from 25 ft (assist by E. Payton),3,92-97,,
0:20.0,,,92-99,2,S. Napier makes 2-pt shot from 1 ft
0:20.0,Orlando full timeout,,92-99,,
0:06.0,Shooting foul by D. Lillard (drawn by J. Simmons),,92-99,,
0:06.0,J. Simmons makes free throw 1 of 2,1,93-99,,
0:06.0,J. Simmons makes free throw 2 of 2,1,94-99,,
0:02.0,Personal take foul by E. Payton (drawn by C. McCollum),,94-99,,
