time,Chicago,pts.away,score,pts.home,Washington
6:09.0,,,18-11,,M. Morris misses 2-pt shot from 8 ft
6:06.0,,,18-11,,Offensive rebound by J. Wall
6:01.0,,,18-11,,O. Porter misses 3-pt shot from 23 ft
5:59.0,Defensive rebound by R. Lopez,,18-11,,
5:55.0,D. Valentine makes 2-pt shot at rim (assist by R. Lopez),2,20-11,,
5:42.0,,,20-14,3,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall)
5:31.0,,,20-14,,I. Mahinmi enters the game for O. Porter
5:31.0,,,20-14,,K. Oubre enters the game for M. Gortat
5:29.0,J. Holiday misses 3-pt shot from 25 ft,,20-14,,
5:26.0,,,20-14,,Defensive rebound by B. Beal
5:18.0,,,20-17,3,J. Wall makes 3-pt shot from 24 ft (assist by B. Beal)
5:00.0,K. Dunn misses 3-pt shot from 25 ft,,20-17,,
4:58.0,,,20-17,,Defensive rebound by K. Oubre
4:49.0,,,20-20,3,K. Oubre makes 3-pt shot from 24 ft (assist by J. Wall)
4:39.0,K. Dunn makes 2-pt shot from 11 ft,2,22-20,,
4:31.0,,,22-20,,Turnover by J. Wall (bad pass; steal by J. Holiday)
4:28.0,,,22-20,,Personal foul by J. Wall (drawn by J. Holiday)
4:21.0,J. Holiday makes 2-pt shot from 17 ft (assist by K. Dunn),2,24-20,,
4:00.0,,,24-20,,M. Morris misses 2-pt shot from 17 ft
3:56.0,Defensive rebound by J. Holiday,,24-20,,
3:48.0,D. Valentine makes 2-pt shot from 6 ft (assist by K. Dunn),2,26-20,,
3:32.0,,,26-23,3,B. Beal makes 3-pt shot from 25 ft (assist by K. Oubre)
3:14.0,,,26-23,,Personal foul by M. Morris (drawn by L. Markkanen)
3:14.0,,,26-23,,M. Scott enters the game for M. Morris
3:14.0,N. Mirotic enters the game for L. Markkanen,,26-23,,
3:14.0,D. Nwaba enters the game for D. Valentine,,26-23,,
3:05.0,J. Holiday makes 2-pt shot from 17 ft (assist by N. Mirotic),2,28-23,,
2:50.0,,,28-23,,Turnover by J. Wall (bad pass; steal by D. Nwaba)
2:46.0,Shooting foul by M. Scott (drawn by D. Nwaba),,28-23,,
2:46.0,Chicago full timeout,,28-23,,
2:46.0,B. Portis enters the game for K. Dunn,,28-23,,
2:46.0,J. Grant enters the game for R. Lopez,,28-23,,
2:46.0,D. Nwaba makes free throw 1 of 2,1,29-23,,
2:46.0,D. Nwaba misses free throw 2 of 2,,29-23,,
2:44.0,,,29-23,,Defensive rebound by K. Oubre
2:29.0,,,29-23,,B. Beal misses 2-pt shot from 15 ft
2:25.0,,,29-23,,Offensive rebound by M. Scott
2:15.0,,,29-23,,K. Oubre misses 3-pt shot from 24 ft
2:12.0,Defensive rebound by B. Portis,,29-23,,
2:09.0,,,29-23,,T. Satoransky enters the game for J. Wall
2:02.0,J. Holiday misses 2-pt shot from 19 ft,,29-23,,
1:58.0,,,29-23,,Defensive rebound by M. Scott
1:44.0,,,29-26,3,M. Scott makes 3-pt shot from 23 ft (assist by B. Beal)
1:33.0,Shooting foul by I. Mahinmi (drawn by B. Portis),,29-26,,
1:33.0,B. Portis makes free throw 1 of 2,1,30-26,,
1:33.0,B. Portis makes free throw 2 of 2,1,31-26,,
1:23.0,,,31-26,,B. Beal misses 3-pt shot from 25 ft
1:21.0,Defensive rebound by J. Grant,,31-26,,
1:21.0,,,31-26,,Personal foul by B. Beal (drawn by J. Grant)
1:21.0,J. Grant makes free throw 1 of 2,1,32-26,,
1:21.0,,,32-26,,J. Meeks enters the game for B. Beal
1:21.0,J. Grant makes free throw 2 of 2,1,33-26,,
1:08.0,Def 3 sec tech foul by B. Portis,,33-26,,
1:08.0,,,33-26,,J. Meeks misses technical free throw
1:08.0,,,33-26,,Offensive rebound by Team
0:55.0,,,33-28,2,M. Scott makes 2-pt shot from 1 ft (assist by K. Oubre)
0:47.0,N. Mirotic makes 2-pt shot from 1 ft (assist by J. Grant),2,35-28,,
0:40.0,,,35-28,,T. Satoransky misses 2-pt shot from 17 ft
0:35.0,Defensive rebound by D. Nwaba,,35-28,,
0:28.0,J. Grant misses 3-pt shot from 25 ft,,35-28,,
0:25.0,Offensive rebound by D. Nwaba,,35-28,,
0:22.0,D. Nwaba misses 2-pt shot from 1 ft,,35-28,,
0:21.0,,,35-28,,Defensive rebound by Team
0:21.0,Loose ball foul by D. Nwaba (drawn by J. Meeks),,35-28,,
0:06.0,,,35-28,,J. Meeks misses 3-pt shot from 24 ft
0:03.0,,,35-28,,Offensive rebound by K. Oubre
0:03.0,,,35-28,,Shooting foul by D. Nwaba (drawn by K. Oubre)
0:03.0,,,35-29,1,K. Oubre makes free throw 1 of 2
0:03.0,,,35-30,1,K. Oubre makes free throw 2 of 2
0:00.0,J. Holiday makes 3-pt shot from 27 ft (assist by N. Mirotic),3,38-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,38-33,3,M. Scott makes 3-pt shot from 25 ft (assist by J. Meeks)
11:28.0,,,38-33,,Personal foul by K. Oubre (drawn by N. Mirotic)
11:20.0,D. Nwaba makes 2-pt shot from 2 ft (assist by N. Mirotic),2,40-33,,
11:20.0,Shooting foul by J. Meeks (drawn by D. Nwaba),,40-33,,
11:20.0,D. Nwaba makes free throw 1 of 1,1,41-33,,
11:03.0,,,41-35,2,M. Scott makes 2-pt shot from 13 ft (assist by J. Meeks)
10:44.0,B. Portis misses 3-pt shot from 26 ft,,41-35,,
10:40.0,Offensive rebound by D. Nwaba,,41-35,,
10:39.0,N. Mirotic makes 3-pt shot from 25 ft (assist by D. Nwaba),3,44-35,,
10:23.0,,,44-35,,T. Satoransky misses 2-pt shot from 16 ft
10:19.0,Defensive rebound by B. Portis,,44-35,,
10:16.0,B. Portis makes 2-pt shot from 1 ft,2,46-35,,
10:16.0,,,46-35,,Washington full timeout
10:16.0,,,46-35,,M. Gortat enters the game for K. Oubre
10:16.0,,,46-35,,J. Wall enters the game for J. Meeks
10:16.0,,,46-35,,B. Beal enters the game for I. Mahinmi
10:16.0,,,46-35,,M. Morris enters the game for M. Scott
10:16.0,,,46-35,,O. Porter enters the game for T. Satoransky
9:59.0,,,46-35,,J. Wall misses 2-pt shot at rim
9:57.0,Defensive rebound by B. Portis,,46-35,,
9:49.0,N. Mirotic misses 3-pt shot from 29 ft,,46-35,,
9:46.0,,,46-35,,Defensive rebound by M. Gortat
9:42.0,,,46-37,2,J. Wall makes 2-pt shot at rim
9:18.0,J. Grant misses 2-pt shot from 16 ft,,46-37,,
9:16.0,Offensive rebound by B. Portis,,46-37,,
9:13.0,Turnover by B. Portis (lost ball; steal by M. Morris),,46-37,,
9:00.0,,,46-40,3,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall)
8:57.0,Chicago full timeout,,46-40,,
8:57.0,K. Dunn enters the game for J. Grant,,46-40,,
8:47.0,N. Mirotic misses 3-pt shot from 25 ft,,46-40,,
8:44.0,,,46-40,,Defensive rebound by B. Beal
8:27.0,,,46-40,,B. Beal misses 2-pt shot from 1 ft
8:25.0,Defensive rebound by P. Zipser,,46-40,,
8:20.0,N. Mirotic makes 2-pt shot from 1 ft (assist by D. Nwaba),2,48-40,,
8:01.0,,,48-40,,O. Porter misses 2-pt shot from 8 ft
7:59.0,Defensive rebound by P. Zipser,,48-40,,
7:48.0,B. Portis makes 2-pt shot from 15 ft (assist by K. Dunn),2,50-40,,
7:20.0,,,50-40,,Turnover by B. Beal (bad pass; steal by P. Zipser)
7:15.0,B. Portis misses 2-pt shot from 2 ft (block by J. Wall),,50-40,,
7:12.0,,,50-40,,Defensive rebound by B. Beal
7:08.0,Personal foul by P. Zipser (drawn by J. Wall),,50-40,,
7:00.0,Personal foul by K. Dunn (drawn by J. Wall),,50-40,,
6:48.0,,,50-42,2,O. Porter makes 2-pt shot from 1 ft
6:48.0,,,50-42,,K. Oubre enters the game for M. Morris
6:33.0,,,50-42,,Personal foul by O. Porter (drawn by N. Mirotic)
6:19.0,B. Portis makes 2-pt shot from 2 ft (assist by K. Dunn),2,52-42,,
6:00.0,,,52-42,,Turnover by M. Gortat (lost ball; steal by D. Nwaba)
5:55.0,D. Nwaba misses 2-pt shot at rim (block by J. Wall),,52-42,,
5:52.0,,,52-42,,Defensive rebound by O. Porter
5:49.0,,,52-44,2,K. Oubre makes 2-pt shot from 1 ft (assist by B. Beal)
5:39.0,N. Mirotic makes 2-pt shot from 20 ft,2,54-44,,
5:13.0,,,54-44,,Turnover by M. Gortat (offensive goaltending)
5:13.0,,,54-44,,M. Scott enters the game for M. Gortat
5:13.0,J. Holiday enters the game for B. Portis,,54-44,,
5:13.0,L. Markkanen enters the game for D. Nwaba,,54-44,,
5:13.0,D. Valentine enters the game for P. Zipser,,54-44,,
5:03.0,K. Dunn misses 3-pt shot from 25 ft,,54-44,,
5:03.0,Offensive rebound by Team,,54-44,,
5:03.0,,,54-44,,Loose ball foul by K. Oubre
5:03.0,,,54-44,,Technical foul by K. Oubre
5:03.0,J. Holiday misses technical free throw,,54-44,,
5:03.0,Offensive rebound by Team,,54-44,,
4:52.0,N. Mirotic makes 2-pt shot from 20 ft,2,56-44,,
4:36.0,,,56-46,2,J. Wall makes 2-pt shot from 1 ft
4:21.0,N. Mirotic misses 2-pt shot from 2 ft,,56-46,,
4:20.0,,,56-46,,Defensive rebound by J. Wall
4:15.0,,,56-48,2,K. Oubre makes 2-pt shot from 2 ft (assist by J. Wall)
4:06.0,Offensive foul by N. Mirotic (drawn by J. Wall),,56-48,,
4:06.0,Turnover by N. Mirotic (offensive foul),,56-48,,
3:57.0,,,56-48,,J. Wall misses 3-pt shot from 25 ft
3:53.0,Defensive rebound by L. Markkanen,,56-48,,
3:47.0,D. Valentine misses 3-pt shot from 24 ft,,56-48,,
3:44.0,Offensive rebound by N. Mirotic,,56-48,,
3:43.0,N. Mirotic misses 2-pt shot from 2 ft (block by M. Scott),,56-48,,
3:43.0,Offensive rebound by N. Mirotic,,56-48,,
3:34.0,J. Holiday misses 3-pt shot from 26 ft,,56-48,,
3:32.0,,,56-48,,Defensive rebound by O. Porter
3:32.0,Personal foul by J. Holiday (drawn by K. Oubre),,56-48,,
3:32.0,R. Lopez enters the game for N. Mirotic,,56-48,,
3:29.0,,,56-51,3,M. Scott makes 3-pt shot from 25 ft (assist by B. Beal)
3:06.0,K. Dunn misses 2-pt shot from 3 ft,,56-51,,
3:03.0,,,56-51,,Defensive rebound by O. Porter
3:01.0,,,56-53,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
3:01.0,Chicago full timeout,,56-53,,
2:50.0,R. Lopez makes 2-pt shot from 2 ft,2,58-53,,
2:50.0,Shooting foul by M. Scott (drawn by R. Lopez),,58-53,,
2:50.0,R. Lopez makes free throw 1 of 1,1,59-53,,
2:33.0,,,59-53,,B. Beal misses 3-pt shot from 25 ft
2:30.0,Defensive rebound by K. Dunn,,59-53,,
2:17.0,R. Lopez makes 2-pt shot from 8 ft,2,61-53,,
1:56.0,,,61-55,2,O. Porter makes 2-pt shot from 2 ft (assist by J. Wall)
1:31.0,L. Markkanen misses 3-pt shot from 26 ft,,61-55,,
1:28.0,,,61-55,,Defensive rebound by M. Scott
1:22.0,,,61-55,,O. Porter misses 3-pt shot from 26 ft
1:17.0,Defensive rebound by K. Dunn,,61-55,,
1:12.0,K. Dunn makes 2-pt shot from 2 ft,2,63-55,,
1:00.0,,,63-57,2,B. Beal makes 2-pt shot at rim
0:44.0,D. Valentine misses 2-pt shot from 14 ft,,63-57,,
0:41.0,,,63-57,,Defensive rebound by J. Wall
0:39.0,,,63-57,,Shooting foul by D. Valentine (drawn by J. Wall)
0:39.0,,,63-57,,J. Wall misses free throw 1 of 2
0:39.0,,,63-57,,Offensive rebound by Team
0:39.0,J. Grant enters the game for K. Dunn,,63-57,,
0:39.0,,,63-57,,J. Wall misses free throw 2 of 2
0:36.0,Defensive rebound by J. Holiday,,63-57,,
0:29.0,L. Markkanen misses 3-pt shot from 26 ft,,63-57,,
0:26.0,,,63-57,,Defensive rebound by M. Scott
0:04.0,,,63-59,2,B. Beal makes 2-pt shot from 12 ft
0:00.0,J. Grant misses 3-pt shot from 26 ft,,63-59,,
0:00.0,Offensive rebound by Team,,63-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,63-59,,B. Beal misses 3-pt shot from 25 ft
11:36.0,,,63-59,,Offensive rebound by M. Morris
11:33.0,,,63-61,2,M. Morris makes 2-pt shot from 14 ft (assist by O. Porter)
11:10.0,Turnover by L. Markkanen (traveling),,63-61,,
10:59.0,,,63-61,,J. Wall misses 3-pt shot from 25 ft
10:56.0,Defensive rebound by K. Dunn,,63-61,,
10:38.0,R. Lopez makes 2-pt shot at rim (assist by K. Dunn),2,65-61,,
10:38.0,Shooting foul by J. Wall (drawn by R. Lopez),,65-61,,
10:38.0,R. Lopez makes free throw 1 of 1,1,66-61,,
10:16.0,,,66-61,,B. Beal misses 2-pt shot from 7 ft
10:14.0,,,66-61,,Offensive rebound by M. Morris
10:07.0,,,66-61,,M. Morris misses 2-pt shot from 11 ft
10:06.0,Defensive rebound by J. Holiday,,66-61,,
10:06.0,,,66-61,,Personal foul by B. Beal (drawn by K. Dunn)
9:40.0,R. Lopez misses 2-pt shot from 12 ft,,66-61,,
9:38.0,,,66-61,,Defensive rebound by O. Porter
9:34.0,,,66-61,,Turnover by J. Wall (bad pass)
9:27.0,Offensive charge foul by K. Dunn (drawn by M. Gortat),,66-61,,
9:27.0,Turnover by K. Dunn (offensive foul),,66-61,,
9:11.0,,,66-63,2,M. Gortat makes 2-pt shot from 1 ft (assist by B. Beal)
8:56.0,Turnover by L. Markkanen (bad pass; steal by M. Morris),,66-63,,
8:44.0,,,66-66,3,B. Beal makes 3-pt shot from 25 ft
8:25.0,R. Lopez makes 2-pt shot from 14 ft (assist by K. Dunn),2,68-66,,
8:11.0,,,68-68,2,B. Beal makes 2-pt shot from 17 ft (assist by J. Wall)
7:59.0,L. Markkanen misses 3-pt shot from 26 ft,,68-68,,
7:55.0,,,68-68,,Defensive rebound by B. Beal
7:45.0,,,68-68,,J. Wall misses 2-pt shot from 2 ft
7:43.0,Defensive rebound by L. Markkanen,,68-68,,
7:39.0,,,68-68,,Personal foul by O. Porter (drawn by K. Dunn)
7:33.0,R. Lopez makes 2-pt shot from 6 ft,2,70-68,,
7:08.0,,,70-68,,J. Wall misses 2-pt shot from 17 ft
7:05.0,Defensive rebound by L. Markkanen,,70-68,,
7:02.0,D. Valentine makes 3-pt shot from 24 ft (assist by K. Dunn),3,73-68,,
6:35.0,,,73-70,2,M. Gortat makes 2-pt shot from 6 ft
6:22.0,K. Dunn misses 2-pt shot from 1 ft,,73-70,,
6:19.0,,,73-70,,Defensive rebound by B. Beal
6:17.0,,,73-70,,Shooting foul by D. Valentine (drawn by J. Wall)
6:17.0,,,73-70,,Washington full timeout
6:17.0,,,73-71,1,J. Wall makes free throw 1 of 2
6:17.0,,,73-72,1,J. Wall makes free throw 2 of 2
5:59.0,J. Holiday makes 2-pt shot from 5 ft,2,75-72,,
5:37.0,,,75-72,,O. Porter misses 3-pt shot from 25 ft
5:32.0,Defensive rebound by L. Markkanen,,75-72,,
5:18.0,R. Lopez makes 2-pt shot from 13 ft (assist by K. Dunn),2,77-72,,
4:54.0,,,77-72,,J. Wall misses 2-pt shot from 18 ft
4:48.0,,,77-72,,Offensive rebound by M. Gortat
4:48.0,,,77-74,2,M. Gortat makes 2-pt shot at rim
4:39.0,K. Dunn misses 2-pt shot from 1 ft (block by J. Wall),,77-74,,
4:39.0,Offensive rebound by Team,,77-74,,
4:39.0,,,77-74,,M. Scott enters the game for M. Gortat
4:32.0,D. Valentine misses 3-pt shot from 25 ft,,77-74,,
4:29.0,,,77-74,,Defensive rebound by M. Morris
4:21.0,,,77-74,,O. Porter misses 2-pt shot from 22 ft
4:17.0,Defensive rebound by K. Dunn,,77-74,,
4:11.0,K. Dunn makes 3-pt shot from 27 ft,3,80-74,,
3:55.0,Personal foul by K. Dunn (drawn by J. Wall),,80-74,,
3:55.0,,,80-74,,K. Oubre enters the game for O. Porter
3:55.0,J. Grant enters the game for K. Dunn,,80-74,,
3:55.0,D. Nwaba enters the game for R. Lopez,,80-74,,
3:55.0,N. Mirotic enters the game for D. Valentine,,80-74,,
3:41.0,,,80-74,,J. Wall misses 2-pt shot from 15 ft
3:38.0,Defensive rebound by N. Mirotic,,80-74,,
3:29.0,N. Mirotic makes 3-pt shot from 26 ft (assist by J. Grant),3,83-74,,
3:13.0,,,83-74,,M. Scott misses 2-pt shot from 9 ft
3:13.0,,,83-74,,Offensive rebound by M. Morris
3:13.0,Personal foul by L. Markkanen (drawn by M. Morris),,83-74,,
3:13.0,B. Portis enters the game for L. Markkanen,,83-74,,
3:08.0,,,83-77,3,B. Beal makes 3-pt shot from 23 ft (assist by K. Oubre)
2:52.0,B. Portis misses 2-pt shot from 6 ft (block by J. Wall),,83-77,,
2:49.0,,,83-77,,Defensive rebound by B. Beal
2:43.0,,,83-80,3,J. Wall makes 3-pt shot from 25 ft (assist by B. Beal)
2:42.0,Chicago full timeout,,83-80,,
2:32.0,N. Mirotic misses 3-pt shot from 28 ft,,83-80,,
2:29.0,,,83-80,,Defensive rebound by Team
2:16.0,,,83-80,,M. Morris misses 2-pt shot from 18 ft
2:11.0,Defensive rebound by D. Nwaba,,83-80,,
1:52.0,Turnover by N. Mirotic (traveling),,83-80,,
1:36.0,,,83-80,,K. Oubre misses 3-pt shot from 23 ft
1:32.0,Defensive rebound by D. Nwaba,,83-80,,
1:27.0,Shooting foul by K. Oubre (drawn by J. Grant),,83-80,,
1:27.0,J. Grant makes free throw 1 of 2,1,84-80,,
1:27.0,,,84-80,,T. Satoransky enters the game for J. Wall
1:27.0,J. Grant makes free throw 2 of 2,1,85-80,,
1:13.0,,,85-80,,B. Beal misses 2-pt shot from 20 ft
1:11.0,,,85-80,,Offensive rebound by M. Morris
1:11.0,Personal foul by J. Grant (drawn by M. Morris),,85-80,,
1:03.0,,,85-83,3,K. Oubre makes 3-pt shot from 26 ft (assist by M. Scott)
0:55.0,N. Mirotic makes 3-pt shot from 29 ft (assist by J. Grant),3,88-83,,
0:48.0,,,88-83,,Turnover by B. Beal (bad pass; steal by N. Mirotic)
0:45.0,Shooting foul by K. Oubre (drawn by D. Nwaba),,88-83,,
0:45.0,D. Nwaba makes free throw 1 of 2,1,89-83,,
0:45.0,D. Nwaba misses free throw 2 of 2,,89-83,,
0:42.0,,,89-83,,Defensive rebound by M. Morris
0:27.0,,,89-83,,B. Beal misses 2-pt shot from 17 ft
0:23.0,Defensive rebound by D. Nwaba,,89-83,,
0:03.0,J. Holiday misses 3-pt shot from 24 ft,,89-83,,
0:00.0,,,89-83,,Defensive rebound by M. Morris
0:00.0,,,89-83,,M. Morris misses 3-pt shot from 74 ft
0:00.0,,,89-83,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,J. Grant misses 3-pt shot from 25 ft,,89-83,,
11:42.0,Offensive rebound by B. Portis,,89-83,,
11:40.0,B. Portis makes 2-pt shot at rim,2,91-83,,
11:17.0,,,91-85,2,M. Scott makes 2-pt shot from 13 ft (assist by B. Beal)
11:00.0,,,91-85,,Personal foul by K. Oubre (drawn by D. Nwaba)
10:49.0,D. Nwaba misses 2-pt shot from 9 ft,,91-85,,
10:47.0,,,91-85,,Defensive rebound by K. Oubre
10:34.0,,,91-85,,M. Scott misses 3-pt shot from 26 ft
10:28.0,,,91-85,,Offensive rebound by O. Porter
10:28.0,,,91-87,2,O. Porter makes 2-pt shot at rim
10:19.0,B. Portis misses 2-pt shot from 2 ft,,91-87,,
10:16.0,,,91-87,,Defensive rebound by K. Oubre
10:14.0,,,91-87,,Turnover by K. Oubre (bad pass; steal by D. Nwaba)
10:06.0,D. Nwaba makes 2-pt shot from 1 ft (assist by N. Mirotic),2,93-87,,
10:06.0,,,93-87,,Washington full timeout
10:06.0,,,93-87,,J. Wall enters the game for K. Oubre
9:52.0,,,93-89,2,B. Beal makes 2-pt shot at rim
9:30.0,J. Grant misses 3-pt shot from 26 ft,,93-89,,
9:27.0,,,93-89,,Defensive rebound by O. Porter
9:14.0,,,93-89,,J. Wall misses 3-pt shot from 27 ft
9:10.0,Defensive rebound by B. Portis,,93-89,,
8:58.0,Turnover by B. Portis (bad pass; steal by O. Porter),,93-89,,
8:52.0,,,93-92,3,T. Satoransky makes 3-pt shot from 25 ft (assist by B. Beal)
8:36.0,Offensive foul by N. Mirotic (drawn by T. Satoransky),,93-92,,
8:36.0,Turnover by N. Mirotic (offensive foul),,93-92,,
8:36.0,K. Dunn enters the game for J. Grant,,93-92,,
8:25.0,,,93-94,2,M. Scott makes 2-pt shot from 11 ft (assist by B. Beal)
8:23.0,Chicago full timeout,,93-94,,
8:12.0,Shooting foul by B. Beal (drawn by K. Dunn),,93-94,,
8:12.0,K. Dunn makes free throw 1 of 2,1,94-94,,
8:12.0,K. Dunn makes free throw 2 of 2,1,95-94,,
7:47.0,,,95-94,,J. Wall misses 2-pt shot from 23 ft
7:45.0,Defensive rebound by Team,,95-94,,
7:33.0,K. Dunn makes 2-pt shot from 17 ft,2,97-94,,
7:08.0,,,97-94,,B. Beal misses 2-pt shot from 2 ft (block by D. Nwaba)
7:08.0,,,97-94,,Offensive rebound by Team
7:05.0,,,97-94,,B. Beal misses 3-pt shot from 23 ft
7:02.0,Defensive rebound by K. Dunn,,97-94,,
6:58.0,Turnover by B. Portis (out of bounds lost ball),,97-94,,
6:40.0,,,97-94,,M. Scott misses 2-pt shot from 14 ft
6:36.0,Defensive rebound by B. Portis,,97-94,,
6:24.0,Turnover by N. Mirotic (lost ball; steal by O. Porter),,97-94,,
6:22.0,Personal foul by K. Dunn (drawn by J. Wall),,97-94,,
6:22.0,L. Markkanen enters the game for B. Portis,,97-94,,
6:22.0,J. Grant enters the game for K. Dunn,,97-94,,
6:22.0,,,97-94,,M. Gortat enters the game for T. Satoransky
6:14.0,,,97-96,2,B. Beal makes 2-pt shot from 2 ft
6:05.0,N. Mirotic misses 3-pt shot from 26 ft,,97-96,,
6:02.0,,,97-96,,Defensive rebound by B. Beal
5:58.0,,,97-96,,J. Wall misses 2-pt shot at rim
5:56.0,Defensive rebound by N. Mirotic,,97-96,,
5:48.0,P. Zipser misses 2-pt shot from 1 ft,,97-96,,
5:46.0,,,97-96,,Defensive rebound by O. Porter
5:39.0,,,97-99,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
5:14.0,N. Mirotic makes 2-pt shot from 2 ft,2,99-99,,
5:00.0,,,99-99,,J. Wall misses 2-pt shot from 1 ft
4:57.0,Defensive rebound by L. Markkanen,,99-99,,
4:48.0,,,99-99,,Personal foul by J. Wall (drawn by D. Nwaba)
4:48.0,J. Holiday enters the game for P. Zipser,,99-99,,
4:40.0,D. Nwaba makes 2-pt shot from 5 ft,2,101-99,,
4:40.0,Shooting foul by O. Porter (drawn by D. Nwaba),,101-99,,
4:40.0,D. Nwaba misses free throw 1 of 1,,101-99,,
4:37.0,,,101-99,,Defensive rebound by M. Gortat
4:21.0,,,101-101,2,B. Beal makes 2-pt shot from 2 ft
3:56.0,Turnover by J. Grant (bad pass; steal by J. Wall),,101-101,,
3:54.0,Personal foul by D. Nwaba (drawn by J. Wall),,101-101,,
3:54.0,K. Dunn enters the game for J. Grant,,101-101,,
3:40.0,,,101-101,,B. Beal misses 2-pt shot from 20 ft
3:37.0,Defensive rebound by K. Dunn,,101-101,,
3:29.0,L. Markkanen makes 3-pt shot from 26 ft (assist by K. Dunn),3,104-101,,
3:14.0,,,104-101,,O. Porter misses 2-pt shot from 19 ft
3:12.0,,,104-101,,Offensive rebound by M. Gortat
