time,Cleveland,pts.away,score,pts.home,Milwaukee
1:04.0,,,113-112,,Defensive rebound by G. Antetokounmpo
0:58.0,,,113-115,3,T. Snell makes 3-pt shot from 26 ft (assist by E. Bledsoe)
0:58.0,Cleveland full timeout,,113-115,,
0:34.0,L. James misses 3-pt shot from 24 ft,,113-115,,
0:31.0,Offensive rebound by D. Wade,,113-115,,
0:29.0,K. Korver misses 3-pt shot from 28 ft,,113-115,,
0:29.0,,,113-115,,Defensive rebound by T. Snell
0:05.0,,,113-117,2,G. Antetokounmpo makes 2-pt shot from 1 ft
0:05.0,,,113-117,,Shooting foul by K. Korver (drawn by G. Antetokounmpo)
0:05.0,,,113-118,1,G. Antetokounmpo makes free throw 1 of 1
0:05.0,Cleveland full timeout,,113-118,,
0:02.0,L. James makes 3-pt shot from 27 ft,3,116-118,,
0:01.0,Personal take foul by J. Crowder (drawn by K. Middleton),,116-118,,
0:01.0,,,116-119,1,K. Middleton makes free throw 1 of 2
0:01.0,,,116-119,,K. Middleton misses free throw 2 of 2
0:00.0,Defensive rebound by L. James,,116-119,,
0:00.0,L. James misses 3-pt shot from 75 ft,,116-119,,
0:00.0,Offensive rebound by Team,,116-119,,
