time,Toronto,pts.away,score,pts.home,Washington
6:53.0,,,11-20,,M. Morris misses 3-pt shot from 25 ft
6:50.0,,,11-20,,Offensive rebound by J. Wall
6:48.0,,,11-20,,J. Wall misses 3-pt shot from 24 ft
6:45.0,,,11-20,,Offensive rebound by M. Morris
6:44.0,,,11-20,,K. Oubre misses 3-pt shot from 24 ft
6:41.0,Defensive rebound by J. Valanciunas,,11-20,,
6:29.0,S. Ibaka misses 2-pt shot from 15 ft,,11-20,,
6:25.0,,,11-20,,Defensive rebound by K. Oubre
6:23.0,Personal foul by D. DeRozan (drawn by J. Wall),,11-20,,
6:11.0,,,11-20,,J. Wall misses 2-pt shot from 11 ft
6:08.0,,,11-20,,Offensive rebound by M. Gortat
6:08.0,,,11-20,,M. Gortat misses 2-pt shot at rim
6:08.0,Defensive rebound by Team,,11-20,,
5:53.0,D. DeRozan misses 3-pt shot from 27 ft,,11-20,,
5:50.0,,,11-20,,Defensive rebound by M. Morris
5:37.0,,,11-20,,K. Oubre misses 2-pt shot from 7 ft
5:35.0,Defensive rebound by J. Valanciunas,,11-20,,
5:29.0,S. Ibaka makes 2-pt shot from 8 ft (assist by K. Lowry),2,13-20,,
5:10.0,,,13-20,,J. Wall misses 2-pt shot from 3 ft
5:10.0,,,13-20,,Offensive rebound by Team
5:10.0,,,13-20,,M. Scott enters the game for M. Morris
5:00.0,J. Poeltl enters the game for J. Valanciunas,,13-20,,
4:48.0,,,13-22,2,M. Scott makes 2-pt shot from 13 ft (assist by J. Wall)
4:28.0,D. DeRozan misses 2-pt shot from 13 ft,,13-22,,
4:25.0,,,13-22,,Defensive rebound by M. Gortat
4:10.0,,,13-22,,B. Beal misses 2-pt shot from 4 ft
4:08.0,Defensive rebound by D. DeRozan,,13-22,,
4:01.0,S. Ibaka makes 3-pt shot from 25 ft (assist by D. DeRozan),3,16-22,,
3:59.0,,,16-22,,Washington full timeout
3:59.0,,,16-22,,I. Mahinmi enters the game for K. Oubre
3:59.0,,,16-22,,T. Satoransky enters the game for M. Gortat
3:59.0,C. Miles enters the game for O. Anunoby,,16-22,,
3:42.0,,,16-22,,M. Scott misses 2-pt shot from 11 ft
3:39.0,Defensive rebound by K. Lowry,,16-22,,
3:35.0,S. Ibaka misses 2-pt shot from 11 ft,,16-22,,
3:33.0,Offensive rebound by S. Ibaka,,16-22,,
3:30.0,C. Miles misses 3-pt shot from 27 ft,,16-22,,
3:30.0,,,16-22,,Defensive rebound by M. Scott
3:22.0,,,16-22,,Turnover by J. Wall (bad pass)
3:15.0,S. Ibaka misses 2-pt shot from 18 ft,,16-22,,
3:12.0,,,16-22,,Defensive rebound by M. Scott
3:06.0,,,16-22,,T. Satoransky misses 3-pt shot from 23 ft
3:05.0,,,16-22,,Offensive rebound by Team
3:05.0,P. Siakam enters the game for S. Ibaka,,16-22,,
3:05.0,,,16-22,,T. Lawson enters the game for B. Beal
2:51.0,,,16-22,,Shooting foul by J. Poeltl (drawn by I. Mahinmi)
2:51.0,,,16-23,1,I. Mahinmi makes free throw 1 of 2
2:51.0,,,16-24,1,I. Mahinmi makes free throw 2 of 2
2:37.0,K. Lowry misses 3-pt shot from 27 ft,,16-24,,
2:33.0,,,16-24,,Defensive rebound by M. Scott
2:24.0,,,16-24,,J. Wall misses 2-pt shot from 2 ft
2:22.0,Defensive rebound by P. Siakam,,16-24,,
2:18.0,,,16-24,,Personal foul by I. Mahinmi (drawn by K. Lowry)
2:18.0,D. Wright enters the game for K. Lowry,,16-24,,
2:14.0,D. DeRozan makes 2-pt shot from 15 ft,2,18-24,,
1:52.0,Personal foul by J. Poeltl (drawn by M. Scott),,18-24,,
1:52.0,,,18-25,1,M. Scott makes free throw 1 of 2
1:52.0,J. Valanciunas enters the game for J. Poeltl,,18-25,,
1:52.0,,,18-26,1,M. Scott makes free throw 2 of 2
1:39.0,J. Valanciunas misses 2-pt shot from 11 ft,,18-26,,
1:34.0,Offensive rebound by D. Wright,,18-26,,
1:34.0,D. Wright misses 2-pt shot at rim,,18-26,,
1:32.0,,,18-26,,Defensive rebound by T. Lawson
1:29.0,,,18-28,2,M. Scott makes 2-pt shot at rim (assist by J. Wall)
1:12.0,P. Siakam makes 2-pt shot from 19 ft (assist by D. DeRozan),2,20-28,,
0:50.0,,,20-30,2,M. Scott makes 2-pt shot from 12 ft (assist by J. Wall)
0:34.0,J. Valanciunas misses 2-pt shot from 15 ft,,20-30,,
0:30.0,,,20-30,,Defensive rebound by T. Lawson
0:08.0,,,20-30,,J. Wall misses 2-pt shot from 14 ft
0:05.0,Defensive rebound by J. Valanciunas,,20-30,,
0:01.0,D. DeRozan misses 2-pt shot from 7 ft,,20-30,,
0:01.0,Offensive rebound by Team,,20-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,D. Wright makes 2-pt shot from 8 ft,2,22-30,,
11:26.0,,,22-32,2,T. Lawson makes 2-pt shot from 15 ft
11:09.0,C. Miles misses 2-pt shot from 15 ft,,22-32,,
11:04.0,Offensive rebound by J. Valanciunas,,22-32,,
11:04.0,J. Valanciunas makes 2-pt shot at rim,2,24-32,,
10:57.0,,,24-32,,I. Mahinmi misses 2-pt shot from 6 ft
10:54.0,Defensive rebound by J. Valanciunas,,24-32,,
10:48.0,J. Valanciunas makes 2-pt shot from 3 ft (assist by F. VanVleet),2,26-32,,
10:28.0,,,26-32,,B. Beal misses 3-pt shot from 25 ft
10:25.0,Defensive rebound by F. VanVleet,,26-32,,
10:16.0,Turnover by F. VanVleet (bad pass; steal by M. Scott),,26-32,,
10:16.0,Violation by P. Siakam (kicked ball),,26-32,,
10:04.0,,,26-32,,M. Scott misses 2-pt shot from 10 ft (block by P. Siakam)
10:04.0,,,26-32,,Offensive rebound by Team
10:02.0,,,26-32,,M. Scott misses 2-pt shot from 3 ft (block by J. Valanciunas)
9:59.0,Defensive rebound by P. Siakam,,26-32,,
9:49.0,D. Wright misses 2-pt shot from 11 ft,,26-32,,
9:45.0,,,26-32,,Defensive rebound by M. Scott
9:36.0,,,26-32,,T. Lawson misses 3-pt shot from 25 ft
9:32.0,Defensive rebound by F. VanVleet,,26-32,,
9:29.0,C. Miles makes 2-pt shot from 2 ft (assist by F. VanVleet),2,28-32,,
9:28.0,,,28-32,,Washington full timeout
9:28.0,,,28-32,,M. Morris enters the game for M. Scott
9:13.0,,,28-34,2,I. Mahinmi makes 2-pt shot from 7 ft (assist by B. Beal)
9:00.0,F. VanVleet makes 2-pt shot from 16 ft,2,30-34,,
8:35.0,,,30-34,,B. Beal misses 2-pt shot from 14 ft
8:33.0,Defensive rebound by P. Siakam,,30-34,,
8:16.0,P. Siakam makes 2-pt shot from 3 ft (assist by F. VanVleet),2,32-34,,
7:57.0,Personal foul by F. VanVleet (drawn by T. Lawson),,32-34,,
7:57.0,,,32-34,,K. Oubre enters the game for T. Lawson
7:57.0,,,32-34,,J. Wall enters the game for I. Mahinmi
7:57.0,,,32-34,,M. Gortat enters the game for T. Satoransky
7:55.0,,,32-34,,Turnover by B. Beal (bad pass; steal by D. Wright)
7:53.0,Shooting foul by M. Morris (drawn by P. Siakam),,32-34,,
7:53.0,P. Siakam makes free throw 1 of 2,1,33-34,,
7:53.0,P. Siakam misses free throw 2 of 2,,33-34,,
7:50.0,,,33-34,,Defensive rebound by K. Oubre
7:40.0,Personal foul by P. Siakam (drawn by J. Wall),,33-34,,
7:26.0,,,33-34,,J. Wall misses 3-pt shot from 26 ft
7:24.0,,,33-34,,Offensive rebound by M. Morris
7:21.0,,,33-36,2,M. Morris makes 2-pt shot from 5 ft
7:02.0,Turnover by C. Miles (traveling),,33-36,,
6:49.0,,,33-36,,K. Oubre misses 3-pt shot from 25 ft
6:46.0,Defensive rebound by F. VanVleet,,33-36,,
6:42.0,F. VanVleet misses 3-pt shot from 26 ft,,33-36,,
6:38.0,,,33-36,,Defensive rebound by M. Gortat
6:18.0,,,33-38,2,M. Morris makes 2-pt shot from 16 ft
5:56.0,,,33-38,,Personal foul by K. Oubre (drawn by F. VanVleet)
5:56.0,K. Lowry enters the game for C. Miles,,33-38,,
5:56.0,D. DeRozan enters the game for D. Wright,,33-38,,
5:49.0,K. Lowry makes 2-pt shot from 13 ft,2,35-38,,
5:29.0,,,35-38,,Turnover by B. Beal (bad pass)
5:24.0,K. Lowry makes 2-pt shot from 10 ft,2,37-38,,
5:09.0,,,37-40,2,J. Wall makes 2-pt shot from 2 ft
5:01.0,F. VanVleet misses 2-pt shot from 14 ft,,37-40,,
4:58.0,,,37-40,,Defensive rebound by M. Morris
4:57.0,Personal foul by P. Siakam (drawn by K. Oubre),,37-40,,
4:57.0,J. Poeltl enters the game for J. Valanciunas,,37-40,,
4:57.0,S. Ibaka enters the game for P. Siakam,,37-40,,
4:37.0,,,37-42,2,B. Beal makes 2-pt shot from 1 ft
4:29.0,K. Lowry misses 3-pt shot from 28 ft,,37-42,,
4:25.0,,,37-42,,Defensive rebound by M. Morris
4:10.0,,,37-45,3,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall)
3:59.0,Toronto full timeout,,37-45,,
3:59.0,O. Anunoby enters the game for F. VanVleet,,37-45,,
3:51.0,D. DeRozan misses 2-pt shot from 17 ft,,37-45,,
3:49.0,,,37-45,,Defensive rebound by Team
3:28.0,,,37-45,,B. Beal misses 2-pt shot from 20 ft
3:25.0,,,37-45,,Offensive rebound by M. Morris
3:19.0,,,37-47,2,J. Wall makes 2-pt shot from 14 ft
3:03.0,J. Poeltl makes 2-pt shot from 1 ft (assist by D. DeRozan),2,39-47,,
2:49.0,,,39-47,,Shooting foul by O. Anunoby (drawn by B. Beal)
2:49.0,,,39-48,1,B. Beal makes free throw 1 of 2
2:49.0,,,39-49,1,B. Beal makes free throw 2 of 2
2:40.0,K. Lowry makes 3-pt shot from 27 ft,3,42-49,,
2:24.0,,,42-51,2,J. Wall makes 2-pt shot at rim
2:02.0,O. Anunoby makes 3-pt shot from 27 ft (assist by K. Lowry),3,45-51,,
1:37.0,,,45-53,2,M. Morris makes 2-pt shot from 7 ft
1:27.0,K. Lowry misses 2-pt shot from 5 ft,,45-53,,
1:27.0,,,45-53,,Defensive rebound by Team
1:16.0,,,45-53,,M. Gortat misses 2-pt shot at rim (block by S. Ibaka)
1:12.0,Defensive rebound by J. Poeltl,,45-53,,
1:10.0,D. DeRozan makes 2-pt shot from 2 ft,2,47-53,,
1:05.0,,,47-53,,Turnover by B. Beal (bad pass)
1:05.0,,,47-53,,T. Satoransky enters the game for K. Oubre
0:50.0,K. Lowry makes 3-pt shot from 27 ft,3,50-53,,
0:40.0,,,50-53,,B. Beal misses 3-pt shot from 25 ft
0:37.0,Defensive rebound by Team,,50-53,,
0:34.0,,,50-53,,Personal foul by B. Beal (drawn by K. Lowry)
0:30.0,K. Lowry misses 3-pt shot from 28 ft (block by B. Beal),,50-53,,
0:27.0,,,50-53,,Defensive rebound by J. Wall
0:03.0,,,50-53,,J. Wall misses 2-pt shot from 19 ft
0:02.0,,,50-53,,Offensive rebound by M. Morris
0:01.0,,,50-53,,B. Beal misses 2-pt shot from 23 ft
0:01.0,,,50-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,J. Valanciunas makes 2-pt shot from 6 ft (assist by K. Lowry),2,52-53,,
11:30.0,,,52-53,,Shooting foul by K. Lowry (drawn by B. Beal)
11:30.0,,,52-54,1,B. Beal makes free throw 1 of 2
11:30.0,,,52-55,1,B. Beal makes free throw 2 of 2
11:17.0,O. Anunoby makes 2-pt shot from 1 ft (assist by D. DeRozan),2,54-55,,
10:55.0,,,54-58,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
10:46.0,S. Ibaka misses 2-pt shot from 9 ft,,54-58,,
10:43.0,,,54-58,,Defensive rebound by M. Gortat
10:33.0,,,54-58,,Turnover by J. Wall (bad pass)
10:21.0,Turnover by K. Lowry (step out of bounds),,54-58,,
10:11.0,Personal foul by D. DeRozan (drawn by M. Morris),,54-58,,
10:04.0,,,54-58,,M. Gortat misses 2-pt shot from 5 ft (block by J. Valanciunas)
10:00.0,Defensive rebound by S. Ibaka,,54-58,,
9:53.0,Shooting foul by B. Beal (drawn by O. Anunoby),,54-58,,
9:53.0,O. Anunoby makes free throw 1 of 2,1,55-58,,
9:53.0,O. Anunoby makes free throw 2 of 2,1,56-58,,
9:38.0,,,56-60,2,J. Wall makes 2-pt shot from 19 ft
9:23.0,,,56-60,,Shooting block foul by M. Gortat (drawn by J. Valanciunas)
9:23.0,J. Valanciunas makes free throw 1 of 2,1,57-60,,
9:23.0,J. Valanciunas makes free throw 2 of 2,1,58-60,,
9:03.0,,,58-62,2,J. Wall makes 2-pt shot from 1 ft (assist by M. Gortat)
8:47.0,S. Ibaka misses 3-pt shot from 26 ft,,58-62,,
8:44.0,,,58-62,,Defensive rebound by K. Oubre
8:38.0,,,58-62,,K. Oubre misses 2-pt shot from 2 ft
8:35.0,Defensive rebound by K. Lowry,,58-62,,
8:32.0,Shooting foul by K. Oubre (drawn by K. Lowry),,58-62,,
8:32.0,K. Lowry makes free throw 1 of 2,1,59-62,,
8:32.0,K. Lowry misses free throw 2 of 2,,59-62,,
8:29.0,Offensive rebound by Team,,59-62,,
8:08.0,D. DeRozan makes 2-pt shot from 8 ft,2,61-62,,
7:52.0,,,61-62,,B. Beal misses 3-pt shot from 25 ft
7:48.0,,,61-62,,Offensive rebound by M. Morris
7:42.0,,,61-62,,J. Wall misses 3-pt shot from 26 ft
7:40.0,Defensive rebound by K. Lowry,,61-62,,
7:40.0,,,61-62,,Personal take foul by M. Morris (drawn by K. Lowry)
7:22.0,S. Ibaka misses 3-pt shot from 24 ft,,61-62,,
7:18.0,,,61-62,,Defensive rebound by M. Morris
7:03.0,,,61-64,2,J. Wall makes 2-pt shot from 17 ft
6:52.0,Toronto full timeout,,61-64,,
6:42.0,Shooting foul by K. Oubre (drawn by D. DeRozan),,61-64,,
6:42.0,D. DeRozan makes free throw 1 of 2,1,62-64,,
6:42.0,,,62-64,,T. Satoransky enters the game for K. Oubre
6:42.0,D. DeRozan makes free throw 2 of 2,1,63-64,,
6:33.0,,,63-64,,Offensive foul by M. Morris (drawn by S. Ibaka)
6:33.0,,,63-64,,Turnover by M. Morris (offensive foul)
6:22.0,D. DeRozan makes 2-pt shot at rim (assist by K. Lowry),2,65-64,,
5:56.0,,,65-64,,T. Satoransky misses 2-pt shot from 16 ft
5:53.0,Defensive rebound by J. Valanciunas,,65-64,,
5:30.0,S. Ibaka misses 2-pt shot from 4 ft (block by M. Morris),,65-64,,
5:30.0,Offensive rebound by Team,,65-64,,
5:30.0,Turnover by Team (shot clock),,65-64,,
5:16.0,,,65-66,2,J. Wall makes 2-pt shot from 17 ft
4:48.0,S. Ibaka makes 2-pt shot from 12 ft (assist by K. Lowry),2,67-66,,
4:31.0,,,67-66,,Turnover by M. Morris (bad pass; steal by J. Valanciunas)
4:17.0,D. DeRozan misses 2-pt shot from 9 ft,,67-66,,
4:13.0,,,67-66,,Defensive rebound by M. Morris
4:08.0,,,67-66,,J. Wall misses 2-pt shot from 3 ft
4:08.0,Defensive rebound by O. Anunoby,,67-66,,
3:55.0,Offensive foul by J. Valanciunas (drawn by J. Wall),,67-66,,
3:55.0,Turnover by J. Valanciunas (offensive foul),,67-66,,
3:55.0,,,67-66,,M. Scott enters the game for M. Gortat
3:55.0,D. Wright enters the game for O. Anunoby,,67-66,,
3:43.0,,,67-66,,Turnover by J. Wall (bad pass; steal by D. Wright)
3:40.0,D. Wright misses 2-pt shot from 2 ft (block by J. Wall),,67-66,,
3:37.0,,,67-66,,Defensive rebound by B. Beal
3:35.0,,,67-69,3,B. Beal makes 3-pt shot from 27 ft
3:21.0,J. Valanciunas misses 2-pt shot from 4 ft,,67-69,,
3:21.0,Offensive rebound by J. Valanciunas,,67-69,,
3:18.0,J. Valanciunas misses 2-pt shot from 1 ft,,67-69,,
3:17.0,Offensive rebound by J. Valanciunas,,67-69,,
3:16.0,J. Valanciunas misses 2-pt shot from 2 ft,,67-69,,
3:16.0,,,67-69,,Defensive rebound by J. Wall
3:15.0,,,67-69,,Washington full timeout
3:15.0,,,67-69,,T. Lawson enters the game for J. Wall
3:15.0,J. Poeltl enters the game for S. Ibaka,,67-69,,
3:15.0,C. Miles enters the game for J. Valanciunas,,67-69,,
3:12.0,,,67-69,,M. Morris misses 3-pt shot from 26 ft
3:09.0,Defensive rebound by J. Poeltl,,67-69,,
3:01.0,C. Miles misses 3-pt shot from 25 ft,,67-69,,
2:55.0,,,67-69,,Defensive rebound by B. Beal
2:44.0,,,67-69,,Turnover by B. Beal (bad pass)
2:30.0,C. Miles misses 2-pt shot from 16 ft,,67-69,,
2:27.0,,,67-69,,Defensive rebound by M. Scott
2:16.0,,,67-69,,Shooting foul by C. Miles (drawn by T. Lawson)
2:16.0,,,67-70,1,T. Lawson makes free throw 1 of 2
2:16.0,F. VanVleet enters the game for K. Lowry,,67-70,,
2:16.0,,,67-71,1,T. Lawson makes free throw 2 of 2
1:57.0,C. Miles makes 2-pt shot from 9 ft,2,69-71,,
1:41.0,Personal foul by C. Miles (drawn by M. Scott),,69-71,,
1:38.0,,,69-71,,Shooting foul by J. Poeltl (drawn by M. Morris)
1:38.0,,,69-72,1,M. Morris makes free throw 1 of 2
1:38.0,,,69-72,,M. Morris misses free throw 2 of 2
1:36.0,Defensive rebound by D. DeRozan,,69-72,,
1:23.0,D. DeRozan misses 2-pt shot from 12 ft,,69-72,,
1:16.0,Offensive rebound by J. Poeltl,,69-72,,
1:16.0,J. Poeltl makes 2-pt shot at rim,2,71-72,,
1:02.0,,,71-72,,Shooting foul by J. Poeltl (drawn by B. Beal)
1:02.0,,,71-73,1,B. Beal makes free throw 1 of 2
1:02.0,,,71-74,1,B. Beal makes free throw 2 of 2
0:38.0,F. VanVleet misses 3-pt shot from 29 ft (block by B. Beal),,71-74,,
0:35.0,,,71-74,,Defensive rebound by M. Morris
0:27.0,,,71-76,2,B. Beal makes 2-pt shot from 7 ft
0:08.0,D. DeRozan makes 2-pt shot from 12 ft,2,73-76,,
0:01.0,,,73-76,,B. Beal misses 2-pt shot from 12 ft
0:00.0,,,73-76,,Offensive rebound by T. Satoransky
0:00.0,,,73-78,2,T. Satoransky makes 2-pt shot at rim
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,73-78,,M. Morris misses 2-pt shot from 1 ft
11:37.0,Defensive rebound by D. Wright,,73-78,,
11:33.0,Shooting foul by T. Satoransky (drawn by J. Poeltl),,73-78,,
11:33.0,J. Poeltl makes free throw 1 of 2,1,74-78,,
11:33.0,,,74-78,,J. Wall enters the game for B. Beal
11:33.0,J. Poeltl makes free throw 2 of 2,1,75-78,,
11:17.0,,,75-78,,M. Scott misses 2-pt shot from 12 ft
11:13.0,Defensive rebound by J. Poeltl,,75-78,,
10:56.0,,,75-78,,M. Gortat enters the game for M. Morris
10:52.0,J. Poeltl misses 3-pt shot from 25 ft,,75-78,,
10:49.0,,,75-78,,Defensive rebound by J. Wall
10:41.0,,,75-78,,J. Wall misses 2-pt shot from 16 ft
10:38.0,Defensive rebound by J. Poeltl,,75-78,,
10:21.0,F. VanVleet makes 3-pt shot from 28 ft (assist by J. Poeltl),3,78-78,,
9:58.0,,,78-78,,Shooting foul by P. Siakam (drawn by J. Wall)
9:58.0,,,78-79,1,J. Wall makes free throw 1 of 2
9:58.0,,,78-79,,B. Beal enters the game for T. Satoransky
9:58.0,,,78-80,1,J. Wall makes free throw 2 of 2
9:36.0,P. Siakam makes 2-pt shot from 12 ft,2,80-80,,
9:15.0,,,80-80,,B. Beal misses 2-pt shot from 3 ft
9:13.0,Defensive rebound by F. VanVleet,,80-80,,
9:13.0,,,80-80,,Personal foul by T. Lawson (drawn by F. VanVleet)
9:06.0,D. Wright misses 2-pt shot from 12 ft,,80-80,,
9:05.0,Offensive rebound by J. Poeltl,,80-80,,
9:04.0,J. Poeltl misses 2-pt shot from 2 ft,,80-80,,
9:03.0,Offensive rebound by J. Poeltl,,80-80,,
9:03.0,Shooting foul by T. Lawson (drawn by J. Poeltl),,80-80,,
9:03.0,J. Poeltl misses free throw 1 of 2,,80-80,,
9:03.0,Offensive rebound by Team,,80-80,,
9:03.0,J. Poeltl makes free throw 2 of 2,1,81-80,,
8:47.0,,,81-80,,Turnover by J. Wall (bad pass; steal by P. Siakam)
8:40.0,C. Miles makes 3-pt shot from 24 ft (assist by D. Wright),3,84-80,,
8:40.0,,,84-80,,Washington full timeout
8:40.0,,,84-80,,M. Morris enters the game for M. Scott
8:25.0,,,84-80,,T. Lawson misses 2-pt shot from 3 ft
8:22.0,,,84-80,,Offensive rebound by M. Gortat
8:21.0,,,84-83,3,B. Beal makes 3-pt shot from 26 ft (assist by M. Gortat)
7:51.0,Turnover by D. Wright (lost ball; steal by T. Lawson),,84-83,,
7:49.0,,,84-83,,Turnover by M. Gortat (bad pass; steal by C. Miles)
7:42.0,F. VanVleet misses 3-pt shot from 23 ft,,84-83,,
7:39.0,Offensive rebound by P. Siakam,,84-83,,
7:30.0,D. Wright makes 2-pt shot from 5 ft,2,86-83,,
7:15.0,,,86-83,,B. Beal misses 2-pt shot from 3 ft (block by P. Siakam)
7:15.0,Defensive rebound by D. Wright,,86-83,,
7:00.0,,,86-83,,Personal foul by T. Lawson (drawn by F. VanVleet)
6:54.0,J. Poeltl misses 2-pt shot from 3 ft,,86-83,,
6:52.0,Offensive rebound by P. Siakam,,86-83,,
6:51.0,P. Siakam makes 2-pt shot at rim,2,88-83,,
6:27.0,,,88-83,,J. Wall misses 2-pt shot from 20 ft
6:24.0,,,88-83,,Offensive rebound by M. Morris
6:15.0,,,88-83,,Shooting foul by J. Poeltl (drawn by J. Wall)
6:15.0,,,88-84,1,J. Wall makes free throw 1 of 2
6:15.0,,,88-84,,K. Oubre enters the game for T. Lawson
6:15.0,,,88-85,1,J. Wall makes free throw 2 of 2
6:15.0,Toronto full timeout,,88-85,,
6:15.0,K. Lowry enters the game for C. Miles,,88-85,,
6:15.0,J. Valanciunas enters the game for J. Poeltl,,88-85,,
6:03.0,J. Valanciunas makes 2-pt shot at rim (assist by D. Wright),2,90-85,,
5:39.0,,,90-85,,B. Beal misses 3-pt shot from 27 ft
5:35.0,Defensive rebound by P. Siakam,,90-85,,
5:12.0,K. Lowry makes 2-pt shot from 4 ft,2,92-85,,
4:53.0,,,92-85,,K. Oubre misses 2-pt shot from 20 ft
4:51.0,Defensive rebound by P. Siakam,,92-85,,
4:47.0,F. VanVleet misses 3-pt shot from 25 ft,,92-85,,
4:43.0,Offensive rebound by D. Wright,,92-85,,
4:28.0,J. Valanciunas misses 2-pt shot from 12 ft,,92-85,,
4:25.0,,,92-85,,Defensive rebound by M. Gortat
4:22.0,,,92-88,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
4:01.0,K. Lowry makes 2-pt shot from 5 ft,2,94-88,,
3:53.0,,,94-88,,Turnover by B. Beal (bad pass; steal by D. Wright)
3:49.0,P. Siakam makes 2-pt shot from 2 ft (assist by F. VanVleet),2,96-88,,
3:49.0,Shooting foul by J. Wall (drawn by P. Siakam),,96-88,,
3:49.0,,,96-88,,Washington full timeout
3:49.0,,,96-88,,T. Lawson enters the game for M. Gortat
3:49.0,P. Siakam misses free throw 1 of 1,,96-88,,
3:49.0,,,96-88,,Defensive rebound by B. Beal
3:35.0,,,96-90,2,M. Morris makes 2-pt shot from 2 ft (assist by J. Wall)
3:31.0,Toronto full timeout,,96-90,,
3:31.0,D. DeRozan enters the game for F. VanVleet,,96-90,,
3:12.0,,,96-90,,Personal foul by M. Morris (drawn by K. Lowry)
3:12.0,K. Lowry makes free throw 1 of 2,1,97-90,,
3:12.0,K. Lowry makes free throw 2 of 2,1,98-90,,
2:57.0,,,98-90,,J. Wall misses 3-pt shot from 26 ft
2:54.0,Defensive rebound by K. Lowry,,98-90,,
2:38.0,K. Lowry misses 3-pt shot from 25 ft,,98-90,,
2:34.0,,,98-90,,Defensive rebound by T. Lawson
2:34.0,Personal foul by J. Valanciunas (drawn by T. Lawson),,98-90,,
2:25.0,,,98-90,,Turnover by B. Beal (bad pass; steal by D. Wright)
2:13.0,P. Siakam misses 2-pt shot at rim,,98-90,,
2:10.0,Offensive rebound by K. Lowry,,98-90,,
1:55.0,K. Lowry makes 2-pt shot from 1 ft,2,100-90,,
1:47.0,,,100-90,,J. Wall misses 2-pt shot from 2 ft
1:47.0,Defensive rebound by J. Valanciunas,,100-90,,
1:39.0,Toronto full timeout,,100-90,,
