time,Phoenix,pts.away,score,pts.home,Boston
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,G. Monroe misses 2-pt shot from 8 ft,,22-31,,
11:41.0,Offensive rebound by Team,,22-31,,
11:32.0,D. Booker makes 2-pt shot from 12 ft,2,24-31,,
11:15.0,,,24-31,,M. Morris misses 3-pt shot from 22 ft
11:14.0,Defensive rebound by D. Booker,,24-31,,
11:08.0,J. Jackson makes 2-pt shot from 1 ft (assist by D. Booker),2,26-31,,
10:54.0,,,26-33,2,D. Theis makes 2-pt shot from 13 ft (assist by T. Rozier)
10:31.0,G. Monroe misses 2-pt shot from 3 ft,,26-33,,
10:31.0,Offensive rebound by D. Booker,,26-33,,
10:27.0,Turnover by Team (shot clock),,26-33,,
10:13.0,Personal foul by G. Monroe,,26-33,,
10:13.0,Technical foul by G. Monroe,,26-33,,
10:13.0,,,26-33,,M. Morris misses technical free throw
10:13.0,,,26-33,,Offensive rebound by Team
10:04.0,,,26-33,,M. Morris misses 3-pt shot from 26 ft
10:02.0,Defensive rebound by G. Monroe,,26-33,,
9:52.0,,,26-33,,Personal foul by D. Theis (drawn by G. Monroe)
9:46.0,J. Jackson makes 2-pt shot from 5 ft,2,28-33,,
9:31.0,,,28-33,,M. Morris misses 2-pt shot from 14 ft
9:30.0,,,28-33,,Offensive rebound by D. Theis
9:30.0,,,28-35,2,D. Theis makes 2-pt shot at rim
9:20.0,M. James makes 2-pt shot from 16 ft,2,30-35,,
9:05.0,,,30-35,,M. Morris misses 2-pt shot from 18 ft
9:03.0,Defensive rebound by J. Jackson,,30-35,,
8:56.0,M. James misses 3-pt shot from 27 ft,,30-35,,
8:54.0,Offensive rebound by G. Monroe,,30-35,,
8:51.0,G. Monroe makes 2-pt shot from 1 ft,2,32-35,,
8:25.0,,,32-38,3,M. Smart makes 3-pt shot from 33 ft (assist by D. Theis)
7:58.0,D. Bender misses 3-pt shot from 31 ft,,32-38,,
7:54.0,Offensive rebound by M. James,,32-38,,
7:53.0,G. Monroe makes 2-pt shot from 1 ft (assist by M. James),2,34-38,,
7:38.0,,,34-40,2,D. Theis makes 2-pt shot from 14 ft (assist by M. Smart)
7:13.0,D. Bender makes 3-pt shot from 22 ft (assist by G. Monroe),3,37-40,,
6:57.0,Personal foul by D. Booker (drawn by M. Smart),,37-40,,
6:57.0,,,37-40,,Boston full timeout
6:57.0,,,37-40,,J. Tatum enters the game for M. Morris
6:57.0,,,37-40,,K. Irving enters the game for M. Smart
6:57.0,T. Warren enters the game for J. Jackson,,37-40,,
6:57.0,T. Ulis enters the game for M. James,,37-40,,
6:51.0,,,37-40,,S. Ojeleye misses 3-pt shot from 23 ft
6:51.0,Defensive rebound by T. Warren,,37-40,,
6:35.0,T. Warren misses 2-pt shot from 17 ft,,37-40,,
6:35.0,Offensive rebound by Team,,37-40,,
6:28.0,T. Warren misses 2-pt shot from 6 ft,,37-40,,
6:26.0,,,37-40,,Defensive rebound by D. Theis
6:21.0,,,37-43,3,T. Rozier makes 3-pt shot from 29 ft (assist by K. Irving)
6:04.0,D. Booker makes 2-pt shot from 5 ft,2,39-43,,
5:54.0,,,39-46,3,J. Tatum makes 3-pt shot from 24 ft (assist by K. Irving)
5:34.0,D. Bender misses 3-pt shot from 26 ft,,39-46,,
5:33.0,Offensive rebound by Team,,39-46,,
5:33.0,,,39-46,,Loose ball foul by D. Theis (drawn by G. Monroe)
5:33.0,,,39-46,,A. Horford enters the game for D. Theis
5:33.0,,,39-46,,A. Baynes enters the game for S. Ojeleye
5:18.0,T. Warren misses 3-pt shot from 25 ft,,39-46,,
5:15.0,,,39-46,,Defensive rebound by Team
5:15.0,Loose ball foul by G. Monroe (drawn by A. Baynes),,39-46,,
5:15.0,T. Chandler enters the game for G. Monroe,,39-46,,
5:06.0,,,39-46,,Offensive foul by T. Rozier (drawn by T. Ulis)
5:06.0,,,39-46,,Turnover by T. Rozier (offensive foul)
4:48.0,T. Warren misses 2-pt shot from 12 ft,,39-46,,
4:42.0,,,39-46,,Defensive rebound by J. Tatum
4:42.0,,,39-46,,J. Tatum misses 2-pt shot from 2 ft (block by D. Bender)
4:41.0,,,39-46,,Offensive rebound by Team
4:32.0,,,39-46,,J. Brown enters the game for T. Rozier
4:32.0,M. Chriss enters the game for D. Bender,,39-46,,
4:27.0,Jump ball: A. Baynes vs. D. Booker (A. Horford gains possession),,,,Jump ball: A. Baynes vs. D. Booker (A. Horford gains possession)
4:25.0,,,39-46,,A. Horford misses 2-pt shot from 23 ft
4:25.0,Defensive rebound by Team,,39-46,,
4:25.0,,,39-46,,Loose ball foul by A. Baynes (drawn by M. Chriss)
4:12.0,D. Booker makes 2-pt shot from 1 ft,2,41-46,,
3:52.0,,,41-46,,Shooting foul by T. Chandler (drawn by J. Brown)
3:52.0,,,41-47,1,J. Brown makes free throw 1 of 2
3:52.0,,,41-47,,M. Morris enters the game for A. Baynes
3:52.0,,,41-48,1,J. Brown makes free throw 2 of 2
3:46.0,D. Booker makes 2-pt shot from 3 ft,2,43-48,,
3:28.0,,,43-48,,K. Irving misses 2-pt shot from 2 ft
3:25.0,Defensive rebound by D. Booker,,43-48,,
3:20.0,Shooting foul by A. Horford (drawn by D. Booker),,43-48,,
3:20.0,D. Booker makes free throw 1 of 2,1,44-48,,
3:20.0,D. Booker makes free throw 2 of 2,1,45-48,,
3:04.0,,,45-48,,Boston full timeout
3:04.0,,,45-48,,M. Smart enters the game for J. Tatum
2:59.0,,,45-48,,M. Morris misses 3-pt shot from 23 ft
2:57.0,Defensive rebound by Team,,45-48,,
2:50.0,D. Booker misses 3-pt shot from 25 ft,,45-48,,
2:46.0,,,45-48,,Defensive rebound by M. Smart
2:35.0,,,45-48,,Shooting foul by M. Chriss (drawn by J. Brown)
2:35.0,,,45-48,,J. Brown misses free throw 1 of 2
2:35.0,,,45-48,,Offensive rebound by Team
2:35.0,,,45-49,1,J. Brown makes free throw 2 of 2
2:22.0,D. Booker makes 2-pt shot from 1 ft (assist by T. Chandler),2,47-49,,
2:22.0,Shooting foul by M. Smart (drawn by D. Booker),,47-49,,
2:22.0,D. Booker makes free throw 1 of 1,1,48-49,,
2:02.0,,,48-52,3,J. Brown makes 3-pt shot from 25 ft (assist by K. Irving)
1:41.0,T. Warren makes 2-pt shot from 16 ft (assist by T. Chandler),2,50-52,,
1:21.0,,,50-55,3,A. Horford makes 3-pt shot from 27 ft (assist by J. Brown)
1:04.0,T. Ulis misses 2-pt shot from 4 ft,,50-55,,
1:03.0,Offensive rebound by T. Chandler,,50-55,,
1:03.0,T. Chandler misses 2-pt shot at rim,,50-55,,
1:03.0,Offensive rebound by T. Chandler,,50-55,,
1:01.0,T. Chandler makes 2-pt shot at rim,2,52-55,,
0:49.0,,,52-57,2,A. Horford makes 2-pt shot from 10 ft (assist by K. Irving)
0:33.0,D. Booker makes 2-pt shot from 18 ft,2,54-57,,
0:17.0,J. Jackson enters the game for D. Booker,,54-57,,
0:15.0,,,54-60,3,M. Morris makes 3-pt shot from 23 ft (assist by K. Irving)
0:02.0,T. Warren misses 2-pt shot from 3 ft (block by M. Smart),,54-60,,
0:00.0,,,54-60,,Defensive rebound by M. Morris
0:00.0,,,54-60,,M. Morris misses 3-pt shot from 59 ft
0:00.0,,,54-60,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,D. Booker misses 2-pt shot from 13 ft,,54-60,,
11:42.0,,,54-60,,Defensive rebound by J. Tatum
11:29.0,,,54-60,,D. Theis misses 2-pt shot from 15 ft
11:26.0,Defensive rebound by M. Chriss,,54-60,,
11:07.0,D. Booker makes 2-pt shot from 9 ft,2,56-60,,
10:49.0,,,56-60,,J. Tatum misses 2-pt shot from 20 ft
10:47.0,Defensive rebound by T. Chandler,,56-60,,
10:43.0,Shooting foul by J. Tatum (drawn by J. Jackson),,56-60,,
10:43.0,J. Jackson misses free throw 1 of 2,,56-60,,
10:43.0,Offensive rebound by Team,,56-60,,
10:43.0,J. Jackson makes free throw 2 of 2,1,57-60,,
10:22.0,,,57-60,,K. Irving misses 2-pt shot from 12 ft
10:19.0,Defensive rebound by T. Chandler,,57-60,,
10:14.0,,,57-60,,Personal foul by J. Brown (drawn by D. Booker)
10:14.0,T. Warren enters the game for J. Jackson,,57-60,,
10:08.0,Turnover by T. Ulis (bad pass; steal by D. Theis),,57-60,,
10:07.0,Personal foul by T. Ulis (drawn by D. Theis),,57-60,,
9:52.0,,,57-60,,D. Theis misses 3-pt shot from 25 ft
9:48.0,Defensive rebound by T. Chandler,,57-60,,
9:40.0,T. Ulis makes 2-pt shot from 2 ft,2,59-60,,
9:28.0,,,59-60,,M. Smart enters the game for D. Theis
9:19.0,,,59-62,2,A. Horford makes 2-pt shot from 1 ft (assist by M. Smart)
9:05.0,T. Chandler makes 2-pt shot at rim (assist by D. Booker),2,61-62,,
8:48.0,,,61-64,2,K. Irving makes 2-pt shot from 3 ft (assist by A. Horford)
8:33.0,D. Booker misses 2-pt shot from 6 ft,,61-64,,
8:31.0,,,61-64,,Defensive rebound by A. Horford
8:28.0,,,61-64,,Turnover by K. Irving (lost ball; steal by T. Warren)
8:24.0,D. Booker misses 2-pt shot from 3 ft (block by A. Horford),,61-64,,
8:24.0,Offensive rebound by Team,,61-64,,
8:18.0,T. Warren makes 2-pt shot from 8 ft (assist by M. Chriss),2,63-64,,
8:06.0,,,63-64,,A. Horford misses 3-pt shot from 25 ft
8:06.0,Defensive rebound by M. Chriss,,63-64,,
7:56.0,D. Booker makes 2-pt shot from 3 ft,2,65-64,,
7:44.0,Def 3 sec tech foul by T. Chandler,,65-64,,
7:44.0,,,65-65,1,K. Irving makes technical free throw
7:36.0,,,65-65,,K. Irving misses 2-pt shot from 19 ft
7:32.0,Defensive rebound by T. Chandler,,65-65,,
7:22.0,T. Ulis misses 2-pt shot from 9 ft (block by J. Brown),,65-65,,
7:22.0,Offensive rebound by Team,,65-65,,
7:16.0,D. Booker misses 3-pt shot from 26 ft,,65-65,,
7:14.0,Offensive rebound by Team,,65-65,,
7:05.0,T. Chandler makes 2-pt shot at rim (assist by D. Booker),2,67-65,,
6:54.0,,,67-65,,Turnover by J. Tatum (bad pass; steal by M. Chriss)
6:46.0,Turnover by D. Booker (lost ball; steal by K. Irving),,67-65,,
6:36.0,,,67-65,,M. Smart misses 3-pt shot from 25 ft
6:33.0,,,67-65,,Offensive rebound by M. Smart
6:32.0,,,67-65,,M. Smart misses 3-pt shot from 26 ft
6:28.0,,,67-65,,Offensive rebound by A. Horford
6:27.0,,,67-68,3,A. Horford makes 3-pt shot from 23 ft
6:25.0,Phoenix full timeout,,67-68,,
6:25.0,,,67-68,,M. Morris enters the game for J. Brown
6:25.0,D. Bender enters the game for M. Chriss,,67-68,,
6:25.0,M. James enters the game for T. Ulis,,67-68,,
6:11.0,T. Chandler makes 2-pt shot at rim (assist by M. James),2,69-68,,
5:56.0,,,69-70,2,A. Horford makes 2-pt shot at rim (assist by M. Smart)
5:37.0,T. Warren makes 2-pt shot from 3 ft,2,71-70,,
5:14.0,,,71-72,2,K. Irving makes 2-pt shot at rim (assist by A. Horford)
4:54.0,D. Booker makes 2-pt shot from 3 ft,2,73-72,,
4:42.0,,,73-75,3,M. Smart makes 3-pt shot from 26 ft (assist by A. Horford)
4:23.0,D. Bender misses 2-pt shot from 4 ft,,73-75,,
4:21.0,,,73-75,,Defensive rebound by A. Horford
4:19.0,,,73-77,2,M. Morris makes 2-pt shot from 2 ft (assist by A. Horford)
4:19.0,,,73-77,,Shooting foul by D. Booker (drawn by M. Morris)
4:19.0,,,73-77,,A. Baynes enters the game for A. Horford
4:19.0,G. Monroe enters the game for T. Chandler,,73-77,,
4:19.0,M. Chriss enters the game for D. Bender,,73-77,,
4:19.0,,,73-78,1,M. Morris makes free throw 1 of 1
4:08.0,D. Booker makes 2-pt shot from 17 ft,2,75-78,,
3:48.0,,,75-78,,M. Smart misses 3-pt shot from 26 ft
3:46.0,Defensive rebound by M. James,,75-78,,
3:37.0,T. Warren makes 2-pt shot from 3 ft (assist by G. Monroe),2,77-78,,
3:37.0,Shooting foul by J. Tatum (drawn by T. Warren),,77-78,,
3:37.0,T. Warren misses free throw 1 of 1,,77-78,,
3:34.0,,,77-78,,Defensive rebound by M. Morris
3:23.0,,,77-78,,Turnover by K. Irving (lost ball; steal by T. Warren)
3:18.0,T. Warren misses 2-pt shot from 2 ft,,77-78,,
3:16.0,Offensive rebound by M. James,,77-78,,
3:07.0,M. Chriss misses 3-pt shot from 26 ft,,77-78,,
3:07.0,,,77-78,,Defensive rebound by M. Morris
2:52.0,,,77-78,,M. Morris misses 2-pt shot from 5 ft
2:52.0,,,77-78,,Offensive rebound by Team
2:52.0,,,77-78,,Boston full timeout
2:52.0,J. Jackson enters the game for T. Warren,,77-78,,
2:51.0,,,77-78,,Shooting foul by J. Jackson (drawn by J. Tatum)
2:51.0,,,77-79,1,J. Tatum makes free throw 1 of 2
2:51.0,,,77-80,1,J. Tatum makes free throw 2 of 2
2:31.0,Turnover by G. Monroe (bad pass; steal by J. Tatum),,77-80,,
2:28.0,,,77-80,,Shooting foul by M. Chriss (drawn by M. Morris)
2:28.0,,,77-81,1,M. Morris makes free throw 1 of 2
2:28.0,D. Bender enters the game for M. Chriss,,77-81,,
2:28.0,,,77-82,1,M. Morris makes free throw 2 of 2
2:19.0,D. Booker misses 2-pt shot from 18 ft,,77-82,,
2:16.0,,,77-82,,Defensive rebound by M. Morris
2:06.0,,,77-84,2,J. Tatum makes 2-pt shot from 19 ft
2:04.0,Phoenix full timeout,,77-84,,
2:04.0,,,77-84,,T. Rozier enters the game for K. Irving
2:04.0,T. Warren enters the game for J. Jackson,,77-84,,
1:51.0,T. Warren makes 2-pt shot from 10 ft (assist by D. Bender),2,79-84,,
1:38.0,,,79-84,,A. Baynes misses 2-pt shot from 18 ft
1:35.0,Defensive rebound by G. Monroe,,79-84,,
1:30.0,M. James misses 2-pt shot from 3 ft (block by A. Baynes),,79-84,,
1:30.0,Offensive rebound by Team,,79-84,,
1:30.0,,,79-84,,S. Ojeleye enters the game for J. Tatum
1:22.0,D. Booker misses 3-pt shot from 27 ft,,79-84,,
1:21.0,Offensive rebound by Team,,79-84,,
1:21.0,,,79-84,,Loose ball foul by A. Baynes (drawn by G. Monroe)
1:17.0,G. Monroe misses 2-pt shot from 7 ft,,79-84,,
1:14.0,,,79-84,,Defensive rebound by M. Morris
1:10.0,,,79-84,,T. Rozier misses 2-pt shot from 5 ft
1:10.0,Defensive rebound by Team,,79-84,,
0:55.0,G. Monroe misses 2-pt shot at rim,,79-84,,
0:52.0,,,79-84,,Defensive rebound by M. Morris
0:44.0,,,79-84,,Turnover by M. Morris (bad pass; steal by T. Warren)
0:39.0,T. Warren misses 2-pt shot from 18 ft,,79-84,,
0:37.0,,,79-84,,Defensive rebound by M. Morris
0:30.0,,,79-87,3,S. Ojeleye makes 3-pt shot from 22 ft (assist by M. Smart)
0:08.0,D. Booker misses 2-pt shot from 14 ft,,79-87,,
0:05.0,,,79-87,,Defensive rebound by T. Rozier
0:02.0,,,79-89,2,M. Morris makes 2-pt shot at rim (assist by T. Rozier)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,79-91,2,M. Smart makes 2-pt shot from 9 ft
11:21.0,T. Daniels misses 3-pt shot from 25 ft,,79-91,,
11:19.0,,,79-91,,Defensive rebound by T. Rozier
11:06.0,,,79-93,2,M. Morris makes 2-pt shot from 19 ft
10:49.0,M. James misses 2-pt shot from 15 ft,,79-93,,
10:46.0,,,79-93,,Defensive rebound by S. Ojeleye
10:33.0,,,79-95,2,A. Baynes makes 2-pt shot from 1 ft (assist by M. Smart)
10:20.0,T. Daniels misses 3-pt shot from 24 ft,,79-95,,
10:19.0,,,79-95,,Defensive rebound by M. Morris
10:11.0,,,79-95,,J. Brown enters the game for M. Smart
10:00.0,,,79-95,,Shooting foul by G. Monroe (drawn by M. Morris)
10:00.0,,,79-96,1,M. Morris makes free throw 1 of 2
10:00.0,J. Dudley enters the game for D. Bender,,79-96,,
10:00.0,,,79-96,,M. Morris misses free throw 2 of 2
9:57.0,Defensive rebound by G. Monroe,,79-96,,
9:40.0,T. Warren makes 2-pt shot from 18 ft,2,81-96,,
9:23.0,,,81-96,,T. Rozier misses 2-pt shot from 21 ft
9:19.0,Defensive rebound by T. Warren,,81-96,,
9:16.0,T. Daniels misses 3-pt shot from 23 ft,,81-96,,
9:15.0,,,81-96,,Defensive rebound by Team
9:04.0,,,81-96,,Turnover by A. Baynes (bad pass; steal by T. Daniels)
9:04.0,,,81-96,,Personal foul by J. Brown (drawn by T. Daniels)
8:41.0,M. James makes 2-pt shot from 1 ft,2,83-96,,
8:23.0,Personal foul by M. James (drawn by T. Rozier),,83-96,,
8:17.0,,,83-96,,M. Morris misses 3-pt shot from 22 ft
8:14.0,Defensive rebound by J. Dudley,,83-96,,
8:06.0,T. Warren misses 2-pt shot from 13 ft,,83-96,,
8:03.0,,,83-96,,Defensive rebound by A. Baynes
7:57.0,,,83-96,,T. Rozier misses 2-pt shot from 4 ft
7:55.0,Defensive rebound by G. Monroe,,83-96,,
7:49.0,M. James makes 2-pt shot from 1 ft,2,85-96,,
7:49.0,,,85-96,,Boston full timeout
7:49.0,,,85-96,,A. Horford enters the game for A. Baynes
7:49.0,T. Chandler enters the game for G. Monroe,,85-96,,
7:49.0,D. Booker enters the game for T. Daniels,,85-96,,
7:25.0,,,85-96,,Shooting foul by J. Dudley (drawn by J. Brown)
7:25.0,,,85-97,1,J. Brown makes free throw 1 of 2
7:25.0,,,85-97,,J. Brown misses free throw 2 of 2
7:23.0,Defensive rebound by J. Dudley,,85-97,,
7:08.0,D. Booker makes 2-pt shot from 8 ft,2,87-97,,
6:55.0,,,87-100,3,S. Ojeleye makes 3-pt shot from 24 ft (assist by A. Horford)
6:33.0,D. Booker misses 2-pt shot from 9 ft,,87-100,,
6:31.0,Offensive rebound by T. Chandler,,87-100,,
6:29.0,T. Warren makes 3-pt shot from 26 ft (assist by J. Dudley),3,90-100,,
6:10.0,,,90-100,,T. Rozier misses 3-pt shot from 25 ft
6:08.0,Defensive rebound by T. Chandler,,90-100,,
6:02.0,M. James makes 2-pt shot from 3 ft,2,92-100,,
5:38.0,,,92-100,,A. Horford misses 2-pt shot from 13 ft
5:33.0,Defensive rebound by J. Dudley,,92-100,,
5:30.0,D. Booker misses 3-pt shot from 26 ft,,92-100,,
5:27.0,,,92-100,,Defensive rebound by S. Ojeleye
5:16.0,,,92-100,,A. Horford misses 3-pt shot from 25 ft
5:14.0,Defensive rebound by T. Chandler,,92-100,,
5:02.0,M. James misses 3-pt shot from 26 ft,,92-100,,
5:00.0,,,92-100,,Defensive rebound by T. Rozier
4:46.0,,,92-100,,J. Brown misses 2-pt shot from 17 ft
4:44.0,Defensive rebound by T. Chandler,,92-100,,
4:36.0,J. Dudley makes 2-pt shot from 23 ft (assist by M. James),2,94-100,,
4:36.0,,,94-100,,Boston full timeout
4:36.0,,,94-100,,K. Irving enters the game for T. Rozier
4:36.0,,,94-100,,M. Smart enters the game for M. Morris
4:36.0,,,94-100,,J. Tatum enters the game for S. Ojeleye
4:36.0,T. Ulis enters the game for M. James,,94-100,,
4:25.0,,,94-102,2,J. Tatum makes 2-pt shot at rim (assist by A. Horford)
4:01.0,D. Booker misses 2-pt shot from 13 ft (block by J. Tatum),,94-102,,
3:59.0,,,94-102,,Defensive rebound by M. Smart
3:45.0,,,94-102,,Turnover by K. Irving (bad pass; steal by T. Warren)
3:40.0,T. Ulis misses 2-pt shot at rim,,94-102,,
3:39.0,Offensive rebound by T. Chandler,,94-102,,
3:38.0,T. Chandler misses 2-pt shot from 3 ft,,94-102,,
3:37.0,Offensive rebound by T. Warren,,94-102,,
3:37.0,T. Warren misses 2-pt shot from 1 ft,,94-102,,
3:36.0,Offensive rebound by T. Warren,,94-102,,
3:36.0,T. Warren misses 2-pt shot from 1 ft,,94-102,,
3:35.0,Offensive rebound by T. Chandler,,94-102,,
3:35.0,T. Chandler misses 2-pt shot from 1 ft,,94-102,,
3:34.0,T. Warren misses 2-pt shot from 2 ft,,94-102,,
3:34.0,Offensive rebound by T. Warren,,94-102,,
3:33.0,Offensive rebound by T. Warren,,94-102,,
3:33.0,T. Warren misses 2-pt shot from 2 ft,,94-102,,
3:32.0,Offensive rebound by T. Chandler,,94-102,,
3:31.0,T. Chandler makes 2-pt shot from 2 ft,2,96-102,,
3:11.0,,,96-102,,Shooting foul by D. Booker (drawn by M. Smart)
3:11.0,,,96-103,1,M. Smart makes free throw 1 of 2
3:11.0,,,96-103,,M. Smart misses free throw 2 of 2
3:09.0,Defensive rebound by T. Chandler,,96-103,,
3:05.0,Phoenix full timeout,,96-103,,
2:55.0,D. Booker makes 2-pt shot at rim (assist by J. Dudley),2,98-103,,
2:38.0,,,98-105,2,J. Tatum makes 2-pt shot from 2 ft (assist by M. Smart)
2:34.0,T. Warren makes 2-pt shot from 1 ft,2,100-105,,
2:34.0,Shooting foul by M. Smart (drawn by T. Warren),,100-105,,
2:34.0,J. Jackson enters the game for J. Dudley,,100-105,,
2:34.0,T. Warren makes free throw 1 of 1,1,101-105,,
2:22.0,,,101-105,,K. Irving misses 2-pt shot from 16 ft
2:22.0,Defensive rebound by T. Chandler,,101-105,,
2:09.0,T. Chandler makes 2-pt shot from 1 ft (assist by T. Ulis),2,103-105,,
1:53.0,,,103-108,3,K. Irving makes 3-pt shot from 24 ft
1:36.0,J. Jackson misses 2-pt shot from 4 ft (block by J. Tatum),,103-108,,
1:36.0,,,103-108,,Defensive rebound by Team
