time,Houston,pts.away,score,pts.home,Utah
7:35.0,Defensive rebound by T. Ariza,,8-3,,
7:25.0,C. Capela misses 2-pt shot from 2 ft (block by J. Crowder),,8-3,,
7:21.0,Offensive rebound by C. Paul,,8-3,,
7:20.0,C. Paul misses 3-pt shot from 25 ft,,8-3,,
7:18.0,Offensive rebound by C. Capela,,8-3,,
7:16.0,P. Tucker misses 2-pt shot from 3 ft (block by J. Crowder),,8-3,,
7:14.0,,,8-3,,Defensive rebound by J. Ingles
7:14.0,Personal foul by J. Harden (drawn by J. Ingles),,8-3,,
7:02.0,,,8-3,,J. Crowder misses 2-pt shot from 1 ft
7:01.0,Defensive rebound by C. Capela,,8-3,,
6:52.0,E. Gordon enters the game for C. Paul,,8-3,,
6:38.0,J. Harden misses 2-pt shot from 16 ft,,8-3,,
6:34.0,Offensive rebound by P. Tucker,,8-3,,
6:26.0,P. Tucker makes 3-pt shot from 23 ft (assist by E. Gordon),3,11-3,,
6:01.0,,,11-5,2,D. Exum makes 2-pt shot from 2 ft
5:42.0,J. Harden makes 2-pt shot from 9 ft,2,13-5,,
5:31.0,,,13-7,2,D. Exum makes 2-pt shot from 7 ft
5:07.0,C. Capela makes 2-pt shot from 6 ft (assist by J. Harden),2,15-7,,
4:59.0,,,15-10,3,J. Ingles makes 3-pt shot from 26 ft
4:53.0,Houston full timeout,,15-10,,
4:53.0,,,15-10,,D. Favors enters the game for R. Gobert
4:53.0,N. Hilario enters the game for T. Ariza,,15-10,,
4:53.0,L. Mbah a Moute enters the game for C. Capela,,15-10,,
4:33.0,Shooting foul by J. Crowder (drawn by N. Hilario),,15-10,,
4:33.0,N. Hilario makes free throw 1 of 2,1,16-10,,
4:33.0,N. Hilario makes free throw 2 of 2,1,17-10,,
4:17.0,,,17-12,2,J. Ingles makes 2-pt shot from 1 ft (assist by J. Crowder)
4:13.0,Turnover by J. Harden (bad pass),,17-12,,
4:13.0,G. Green enters the game for P. Tucker,,17-12,,
3:56.0,,,17-12,,Shooting foul by N. Hilario (drawn by J. Crowder)
3:56.0,,,17-13,1,J. Crowder makes free throw 1 of 2
3:56.0,,,17-14,1,J. Crowder makes free throw 2 of 2
3:37.0,Shooting foul by J. Crowder (drawn by J. Harden),,17-14,,
3:37.0,J. Harden makes free throw 1 of 2,1,18-14,,
3:37.0,,,18-14,,J. Jerebko enters the game for J. Ingles
3:37.0,,,18-14,,A. Burks enters the game for J. Crowder
3:37.0,J. Harden makes free throw 2 of 2,1,19-14,,
3:31.0,,,19-14,,Shooting foul by G. Green (drawn by D. Exum)
3:31.0,,,19-15,1,D. Exum makes free throw 1 of 2
3:31.0,,,19-15,,D. Exum misses free throw 2 of 2
3:30.0,Defensive rebound by N. Hilario,,19-15,,
3:15.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,19-15,,
3:11.0,,,19-15,,Defensive rebound by D. Mitchell
3:00.0,,,19-17,2,D. Mitchell makes 2-pt shot from 7 ft (assist by A. Burks)
2:47.0,Shooting foul by D. Exum (drawn by J. Harden),,19-17,,
2:47.0,J. Harden makes free throw 1 of 2,1,20-17,,
2:47.0,,,20-17,,R. Neto enters the game for D. Mitchell
2:47.0,J. Harden makes free throw 2 of 2,1,21-17,,
2:34.0,,,21-19,2,D. Exum makes 2-pt shot from 4 ft
2:19.0,E. Gordon makes 2-pt shot from 2 ft (assist by J. Harden),2,23-19,,
1:58.0,,,23-19,,D. Exum misses 2-pt shot from 6 ft
1:57.0,Defensive rebound by J. Harden,,23-19,,
1:51.0,G. Green makes 3-pt shot from 23 ft,3,26-19,,
1:37.0,,,26-21,2,D. Exum makes 2-pt shot from 2 ft
1:16.0,J. Harden makes 2-pt shot from 1 ft,2,28-21,,
1:06.0,,,28-23,2,D. Favors makes 2-pt shot from 2 ft (assist by D. Exum)
0:49.0,Turnover by J. Harden (bad pass; steal by D. Favors),,28-23,,
0:43.0,,,28-23,,A. Burks misses 2-pt shot from 2 ft
0:40.0,,,28-23,,Offensive rebound by A. Burks
0:38.0,,,28-23,,J. Jerebko misses 3-pt shot from 26 ft
0:36.0,Defensive rebound by L. Mbah a Moute,,28-23,,
0:29.0,Shooting foul by D. Exum (drawn by J. Harden),,28-23,,
0:29.0,J. Harden makes free throw 1 of 3,1,29-23,,
0:29.0,J. Harden misses free throw 2 of 3,,29-23,,
0:29.0,Offensive rebound by Team,,29-23,,
0:29.0,,,29-23,,R. O'Neale enters the game for D. Exum
0:29.0,,,29-23,,D. Mitchell enters the game for R. Neto
0:29.0,C. Paul enters the game for G. Green,,29-23,,
0:29.0,J. Harden makes free throw 3 of 3,1,30-23,,
0:07.0,,,30-23,,R. O'Neale misses 3-pt shot from 22 ft
0:03.0,Defensive rebound by E. Gordon,,30-23,,
0:00.0,E. Gordon misses 2-pt shot from 3 ft,,30-23,,
0:00.0,,,30-23,,Defensive rebound by A. Burks
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,30-23,,A. Burks misses 2-pt shot from 5 ft (block by L. Mbah a Moute)
11:35.0,Defensive rebound by C. Paul,,30-23,,
11:27.0,,,30-23,,Personal foul by J. Jerebko (drawn by L. Mbah a Moute)
11:14.0,C. Paul makes 2-pt shot from 6 ft,2,32-23,,
11:05.0,,,32-23,,R. Neto misses 2-pt shot from 18 ft
11:01.0,Defensive rebound by C. Paul,,32-23,,
10:50.0,G. Green makes 3-pt shot from 22 ft (assist by C. Paul),3,35-23,,
10:27.0,,,35-23,,Turnover by R. O'Neale (lost ball; steal by N. Hilario)
10:23.0,L. Mbah a Moute makes 2-pt shot at rim,2,37-23,,
10:23.0,Shooting foul by R. O'Neale (drawn by L. Mbah a Moute),,37-23,,
10:23.0,,,37-23,,J. Crowder enters the game for J. Jerebko
10:23.0,,,37-23,,J. Ingles enters the game for A. Burks
10:23.0,C. Capela enters the game for N. Hilario,,37-23,,
10:23.0,L. Mbah a Moute makes free throw 1 of 1,1,38-23,,
10:02.0,,,38-23,,R. Neto misses 2-pt shot from 2 ft
10:00.0,Defensive rebound by C. Paul,,38-23,,
9:57.0,G. Green misses 3-pt shot from 24 ft,,38-23,,
9:54.0,,,38-23,,Defensive rebound by J. Crowder
9:47.0,,,38-23,,R. Neto misses 2-pt shot from 1 ft
9:45.0,Defensive rebound by G. Green,,38-23,,
9:36.0,E. Gordon misses 3-pt shot from 25 ft,,38-23,,
9:33.0,,,38-23,,Defensive rebound by R. Gobert
9:27.0,,,38-26,3,J. Crowder makes 3-pt shot from 26 ft (assist by R. Neto)
9:07.0,,,38-26,,D. Mitchell enters the game for R. Neto
8:59.0,C. Paul makes 2-pt shot from 13 ft,2,40-26,,
8:48.0,,,40-26,,J. Ingles misses 3-pt shot from 26 ft
8:45.0,Defensive rebound by C. Paul,,40-26,,
8:31.0,G. Green misses 3-pt shot from 24 ft,,40-26,,
8:29.0,,,40-26,,Defensive rebound by R. O'Neale
8:23.0,Shooting block foul by G. Green (drawn by R. O'Neale),,40-26,,
8:23.0,,,40-27,1,R. O'Neale makes free throw 1 of 2
8:23.0,P. Tucker enters the game for G. Green,,40-27,,
8:23.0,,,40-28,1,R. O'Neale makes free throw 2 of 2
8:13.0,C. Paul misses 3-pt shot from 25 ft,,40-28,,
8:10.0,,,40-28,,Defensive rebound by R. Gobert
7:59.0,,,40-28,,R. O'Neale misses 3-pt shot from 27 ft
7:56.0,,,40-28,,Offensive rebound by R. Gobert
7:54.0,,,40-28,,R. Gobert misses 2-pt shot from 2 ft
7:53.0,Defensive rebound by C. Capela,,40-28,,
7:46.0,Offensive charge foul by E. Gordon (drawn by J. Crowder),,40-28,,
7:46.0,Turnover by E. Gordon (offensive foul),,40-28,,
7:46.0,T. Ariza enters the game for E. Gordon,,40-28,,
7:46.0,J. Harden enters the game for L. Mbah a Moute,,40-28,,
7:26.0,,,40-28,,Utah full timeout
7:20.0,,,40-28,,J. Crowder misses 3-pt shot from 32 ft
7:16.0,Defensive rebound by C. Paul,,40-28,,
6:58.0,J. Harden misses 3-pt shot from 25 ft,,40-28,,
6:54.0,Offensive rebound by C. Capela,,40-28,,
6:53.0,T. Ariza makes 3-pt shot from 26 ft (assist by P. Tucker),3,43-28,,
6:40.0,,,43-28,,D. Mitchell misses 2-pt shot from 1 ft
6:39.0,Defensive rebound by C. Capela,,43-28,,
6:34.0,,,43-28,,D. Favors enters the game for R. Gobert
6:34.0,E. Gordon enters the game for C. Paul,,43-28,,
6:30.0,Offensive foul by E. Gordon (drawn by D. Mitchell),,43-28,,
6:30.0,Turnover by E. Gordon (offensive foul),,43-28,,
6:07.0,,,43-30,2,D. Mitchell makes 2-pt shot from 2 ft
5:59.0,Turnover by J. Harden (bad pass; steal by J. Ingles),,43-30,,
5:55.0,,,43-30,,J. Ingles misses 2-pt shot from 1 ft
5:54.0,,,43-30,,Offensive rebound by Team
5:53.0,Loose ball foul by J. Harden (drawn by D. Favors),,43-30,,
5:40.0,,,43-30,,J. Crowder misses 2-pt shot from 13 ft
5:37.0,Defensive rebound by C. Capela,,43-30,,
5:28.0,J. Harden misses 2-pt shot from 4 ft,,43-30,,
5:26.0,,,43-30,,Defensive rebound by D. Mitchell
5:23.0,,,43-32,2,R. O'Neale makes 2-pt shot from 2 ft (assist by D. Mitchell)
5:12.0,P. Tucker makes 3-pt shot from 23 ft (assist by E. Gordon),3,46-32,,
4:55.0,,,46-32,,D. Mitchell misses 3-pt shot from 26 ft
4:53.0,Defensive rebound by E. Gordon,,46-32,,
4:46.0,T. Ariza misses 3-pt shot from 23 ft,,46-32,,
4:43.0,,,46-32,,Defensive rebound by J. Crowder
4:36.0,,,46-35,3,D. Mitchell makes 3-pt shot from 22 ft (assist by J. Crowder)
4:15.0,E. Gordon misses 2-pt shot from 3 ft,,46-35,,
4:13.0,,,46-35,,Defensive rebound by R. O'Neale
4:10.0,,,46-37,2,R. O'Neale makes 2-pt shot at rim
4:10.0,Houston full timeout,,46-37,,
4:10.0,C. Paul enters the game for C. Capela,,46-37,,
3:47.0,J. Harden misses 3-pt shot from 23 ft,,46-37,,
3:44.0,,,46-37,,Defensive rebound by R. O'Neale
3:39.0,,,46-37,,J. Crowder misses 3-pt shot from 24 ft
3:36.0,Defensive rebound by T. Ariza,,46-37,,
3:31.0,C. Paul makes 2-pt shot from 4 ft,2,48-37,,
3:31.0,Shooting foul by R. O'Neale (drawn by C. Paul),,48-37,,
3:31.0,C. Paul makes free throw 1 of 1,1,49-37,,
3:15.0,C. Capela enters the game for E. Gordon,,49-37,,
3:09.0,,,49-37,,D. Mitchell misses 3-pt shot from 25 ft
3:06.0,Defensive rebound by P. Tucker,,49-37,,
2:54.0,C. Paul misses 3-pt shot from 25 ft,,49-37,,
2:52.0,,,49-37,,Defensive rebound by J. Ingles
2:39.0,,,49-39,2,R. O'Neale makes 2-pt shot from 3 ft (assist by J. Ingles)
2:27.0,J. Harden misses 2-pt shot from 1 ft,,49-39,,
2:24.0,,,49-39,,Defensive rebound by J. Crowder
2:20.0,Technical foul by P. Tucker (drawn by J. Ingles),,49-39,,
2:20.0,,,49-39,,R. Gobert enters the game for D. Favors
2:20.0,,,49-39,,J. Ingles misses flagrant free throw 1 of 2
2:20.0,,,49-39,,Offensive rebound by Team
2:20.0,,,49-40,1,J. Ingles makes flagrant free throw 2 of 2
2:13.0,Personal foul by C. Capela (drawn by R. Gobert),,49-40,,
2:02.0,,,49-42,2,D. Mitchell makes 2-pt shot from 2 ft
2:02.0,,,49-42,,Shooting foul by P. Tucker (drawn by D. Mitchell)
2:02.0,,,49-43,1,D. Mitchell makes free throw 1 of 1
1:49.0,J. Harden makes 2-pt shot from 6 ft,2,51-43,,
1:37.0,,,51-45,2,D. Mitchell makes 2-pt shot from 2 ft
1:37.0,,,51-45,,Shooting foul by T. Ariza (drawn by D. Mitchell)
1:37.0,,,51-46,1,D. Mitchell makes free throw 1 of 1
1:32.0,,,51-46,,Personal foul by D. Mitchell (drawn by C. Paul)
1:22.0,C. Capela makes 2-pt shot from 2 ft,2,53-46,,
1:06.0,,,53-48,2,D. Mitchell makes 2-pt shot from 2 ft
0:55.0,J. Harden makes 2-pt shot from 2 ft,2,55-48,,
0:41.0,,,55-48,,D. Mitchell misses 2-pt shot from 2 ft
0:39.0,Defensive rebound by C. Capela,,55-48,,
0:33.0,C. Paul misses 2-pt shot from 8 ft,,55-48,,
0:31.0,,,55-48,,Defensive rebound by R. Gobert
0:31.0,,,55-48,,Turnover by R. O'Neale (out of bounds lost ball)
0:26.0,C. Paul makes 2-pt shot from 12 ft,2,57-48,,
0:26.0,Shooting foul by R. Gobert (drawn by C. Paul),,57-48,,
0:26.0,C. Paul makes free throw 1 of 1,1,58-48,,
0:04.0,,,58-48,,Turnover by R. O'Neale (bad pass; steal by C. Paul)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,58-48,,J. Crowder misses 3-pt shot from 24 ft
11:38.0,Defensive rebound by C. Capela,,58-48,,
11:24.0,J. Harden makes 3-pt shot from 26 ft (assist by C. Paul),3,61-48,,
11:12.0,,,61-48,,Shooting foul by C. Capela (drawn by D. Mitchell)
11:12.0,,,61-49,1,D. Mitchell makes free throw 1 of 2
11:12.0,,,61-50,1,D. Mitchell makes free throw 2 of 2
10:56.0,C. Paul makes 2-pt shot from 10 ft (assist by C. Capela),2,63-50,,
10:38.0,,,63-50,,D. Mitchell misses 3-pt shot from 25 ft
10:34.0,Defensive rebound by P. Tucker,,63-50,,
10:24.0,P. Tucker misses 3-pt shot from 25 ft,,63-50,,
10:21.0,,,63-50,,Defensive rebound by J. Crowder
10:03.0,,,63-50,,Turnover by D. Mitchell (out of bounds lost ball)
9:43.0,T. Ariza misses 3-pt shot from 24 ft,,63-50,,
9:41.0,,,63-50,,Defensive rebound by J. Ingles
9:33.0,,,63-50,,Turnover by R. O'Neale (lost ball; steal by J. Harden)
9:32.0,,,63-50,,Personal foul by D. Mitchell (drawn by C. Paul)
9:21.0,C. Paul makes 2-pt shot from 17 ft,2,65-50,,
8:55.0,,,65-53,3,J. Ingles makes 3-pt shot from 23 ft (assist by R. O'Neale)
8:27.0,J. Harden misses 2-pt shot from 4 ft,,65-53,,
8:25.0,Offensive rebound by C. Capela,,65-53,,
8:25.0,C. Capela misses 2-pt shot from 2 ft,,65-53,,
8:25.0,,,65-53,,Defensive rebound by R. Gobert
8:13.0,,,65-55,2,J. Ingles makes 2-pt shot from 4 ft
7:58.0,C. Paul makes 2-pt shot from 11 ft,2,67-55,,
7:47.0,,,67-55,,Turnover by J. Ingles (lost ball; steal by J. Harden)
7:43.0,T. Ariza misses 3-pt shot from 24 ft,,67-55,,
7:38.0,,,67-55,,Defensive rebound by D. Mitchell
7:27.0,,,67-55,,J. Crowder misses 3-pt shot from 22 ft
7:24.0,Defensive rebound by C. Paul,,67-55,,
7:07.0,J. Harden misses 3-pt shot from 23 ft,,67-55,,
7:03.0,,,67-55,,Defensive rebound by R. O'Neale
6:57.0,,,67-57,2,R. Gobert makes 2-pt shot from 2 ft (assist by J. Ingles)
6:57.0,Houston full timeout,,67-57,,
6:57.0,E. Gordon enters the game for C. Paul,,67-57,,
6:57.0,,,67-57,,D. Exum enters the game for R. O'Neale
6:41.0,Turnover by J. Harden (bad pass; steal by R. Gobert),,67-57,,
6:36.0,,,67-57,,J. Crowder misses 2-pt shot from 3 ft
6:34.0,Defensive rebound by C. Capela,,67-57,,
6:29.0,E. Gordon misses 3-pt shot from 22 ft,,67-57,,
6:28.0,Offensive rebound by Team,,67-57,,
6:28.0,,,67-57,,Loose ball foul by J. Ingles (drawn by P. Tucker)
6:19.0,E. Gordon makes 2-pt shot from 2 ft (assist by C. Capela),2,69-57,,
6:04.0,,,69-57,,Turnover by R. Gobert (traveling)
5:49.0,E. Gordon makes 3-pt shot from 28 ft,3,72-57,,
5:29.0,,,72-57,,D. Exum misses 3-pt shot from 22 ft
5:26.0,,,72-57,,Offensive rebound by R. Gobert
5:26.0,Personal foul by T. Ariza (drawn by R. Gobert),,72-57,,
5:26.0,,,72-57,,R. O'Neale enters the game for D. Exum
5:13.0,L. Mbah a Moute enters the game for T. Ariza,,72-57,,
5:08.0,,,72-57,,D. Mitchell misses 3-pt shot from 22 ft
5:04.0,Defensive rebound by P. Tucker,,72-57,,
4:59.0,J. Harden misses 3-pt shot from 26 ft,,72-57,,
4:55.0,,,72-57,,Defensive rebound by Team
4:55.0,,,72-57,,J. Jerebko enters the game for J. Crowder
4:44.0,Violation by C. Capela (kicked ball),,72-57,,
4:36.0,,,72-57,,J. Ingles misses 3-pt shot from 25 ft
4:34.0,Defensive rebound by C. Capela,,72-57,,
4:24.0,Turnover by J. Harden (lost ball; steal by D. Mitchell),,72-57,,
4:17.0,,,72-57,,Turnover by R. Gobert (offensive goaltending)
4:06.0,E. Gordon misses 3-pt shot from 25 ft,,72-57,,
4:03.0,,,72-57,,Defensive rebound by D. Mitchell
3:57.0,,,72-57,,D. Mitchell misses 2-pt shot from 2 ft (block by P. Tucker)
3:57.0,Defensive rebound by P. Tucker,,72-57,,
3:54.0,,,72-57,,Personal foul by R. O'Neale (drawn by E. Gordon)
3:54.0,,,72-57,,A. Burks enters the game for D. Mitchell
3:46.0,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden),2,74-57,,
3:30.0,G. Green enters the game for P. Tucker,,74-57,,
3:30.0,,,74-57,,Utah full timeout
3:30.0,C. Paul enters the game for J. Harden,,74-57,,
3:30.0,N. Hilario enters the game for C. Capela,,74-57,,
3:23.0,,,74-57,,J. Ingles misses 3-pt shot from 26 ft
3:20.0,Defensive rebound by C. Paul,,74-57,,
3:05.0,C. Paul misses 2-pt shot from 16 ft,,74-57,,
3:01.0,Offensive rebound by N. Hilario,,74-57,,
3:00.0,C. Paul makes 2-pt shot from 17 ft (assist by N. Hilario),2,76-57,,
2:44.0,Personal foul by N. Hilario (drawn by J. Ingles),,76-57,,
2:44.0,,,76-57,,D. Favors enters the game for R. O'Neale
2:44.0,,,76-57,,R. Neto enters the game for R. Gobert
2:38.0,,,76-57,,Shooting foul by N. Hilario (drawn by D. Favors)
2:38.0,,,76-57,,D. Favors misses free throw 1 of 2
2:38.0,,,76-57,,Offensive rebound by Team
2:38.0,,,76-58,1,D. Favors makes free throw 2 of 2
2:26.0,Turnover by N. Hilario (bad pass),,76-58,,
2:05.0,,,76-58,,R. Neto misses 2-pt shot from 1 ft
2:03.0,Defensive rebound by L. Mbah a Moute,,76-58,,
1:45.0,E. Gordon misses 3-pt shot from 25 ft,,76-58,,
1:43.0,,,76-58,,Defensive rebound by A. Burks
1:30.0,,,76-58,,Turnover by A. Burks (lost ball; steal by L. Mbah a Moute)
1:25.0,G. Green misses 3-pt shot from 25 ft,,76-58,,
1:22.0,,,76-58,,Defensive rebound by J. Ingles
1:15.0,,,76-60,2,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles)
0:54.0,N. Hilario misses 2-pt shot from 3 ft,,76-60,,
0:52.0,,,76-60,,Defensive rebound by A. Burks
0:44.0,,,76-62,2,J. Ingles makes 2-pt shot from 1 ft (assist by D. Favors)
0:30.0,C. Paul makes 3-pt shot from 24 ft,3,79-62,,
0:12.0,,,79-62,,J. Ingles misses 3-pt shot from 23 ft
0:09.0,,,79-62,,Offensive rebound by D. Favors
0:06.0,,,79-65,3,R. Neto makes 3-pt shot from 24 ft (assist by J. Jerebko)
0:00.0,C. Paul misses 3-pt shot from 41 ft,,79-65,,
0:00.0,Offensive rebound by Team,,79-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:59.0,,,79-65,,Personal foul by R. Neto (drawn by C. Paul)
11:38.0,C. Paul misses 3-pt shot from 28 ft,,79-65,,
11:34.0,,,79-65,,Defensive rebound by J. Jerebko
11:30.0,,,79-65,,Turnover by D. Mitchell (bad pass; steal by L. Mbah a Moute)
11:27.0,Turnover by L. Mbah a Moute (lost ball; steal by D. Mitchell),,79-65,,
11:06.0,,,79-68,3,D. Mitchell makes 3-pt shot from 30 ft (assist by J. Ingles)
10:44.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,79-68,,
10:40.0,,,79-68,,Defensive rebound by D. Mitchell
10:25.0,,,79-70,2,R. Neto makes 2-pt shot from 2 ft
10:11.0,Shooting foul by D. Mitchell (drawn by E. Gordon),,79-70,,
10:11.0,E. Gordon makes free throw 1 of 2,1,80-70,,
10:11.0,P. Tucker enters the game for L. Mbah a Moute,,80-70,,
10:11.0,T. Ariza enters the game for G. Green,,80-70,,
10:11.0,E. Gordon makes free throw 2 of 2,1,81-70,,
9:56.0,,,81-70,,Offensive charge foul by D. Favors (drawn by P. Tucker)
9:56.0,,,81-70,,Turnover by D. Favors (offensive foul)
9:40.0,C. Paul makes 2-pt shot from 19 ft,2,83-70,,
9:23.0,Personal foul by E. Gordon (drawn by J. Ingles),,83-70,,
9:10.0,,,83-70,,R. Neto misses 3-pt shot from 24 ft (block by C. Paul)
9:10.0,,,83-70,,Offensive rebound by Team
9:08.0,,,83-70,,Turnover by Team (shot clock)
8:47.0,C. Paul misses 2-pt shot from 15 ft,,83-70,,
8:45.0,,,83-70,,Defensive rebound by J. Ingles
8:36.0,,,83-70,,D. Mitchell misses 2-pt shot from 1 ft
8:34.0,,,83-70,,Offensive rebound by R. Neto
8:31.0,,,83-73,3,R. Neto makes 3-pt shot from 23 ft (assist by J. Jerebko)
8:10.0,E. Gordon misses 3-pt shot from 32 ft,,83-73,,
8:08.0,Offensive rebound by C. Capela,,83-73,,
8:08.0,,,83-74,1,D. Mitchell makes technical free throw
8:08.0,J. Harden enters the game for E. Gordon,,83-74,,
8:08.0,,,83-74,,R. Gobert enters the game for J. Ingles
8:08.0,,,83-74,,R. O'Neale enters the game for J. Jerebko
8:08.0,,,83-74,,J. Crowder enters the game for D. Favors
8:04.0,Jump ball: D. Mitchell vs. C. Capela (T. Ariza gains possession),,,,Jump ball: D. Mitchell vs. C. Capela (T. Ariza gains possession)
7:43.0,J. Harden misses 2-pt shot from 3 ft (block by R. Gobert),,83-74,,
7:39.0,,,83-74,,Defensive rebound by R. Neto
7:35.0,Personal foul by C. Paul (drawn by D. Mitchell),,83-74,,
7:35.0,,,83-74,,Utah full timeout
7:29.0,,,83-74,,D. Mitchell misses 2-pt shot from 5 ft
7:27.0,,,83-74,,Offensive rebound by D. Mitchell
7:26.0,,,83-74,,Turnover by D. Mitchell (bad pass; steal by C. Paul)
7:21.0,C. Capela makes 2-pt shot from 2 ft (assist by C. Paul),2,85-74,,
7:05.0,,,85-74,,Turnover by R. Neto (bad pass; steal by J. Harden)
7:02.0,Turnover by J. Harden (bad pass; steal by D. Mitchell),,85-74,,
6:58.0,,,85-76,2,D. Mitchell makes 2-pt shot from 2 ft
6:34.0,J. Harden misses 2-pt shot from 5 ft,,85-76,,
6:33.0,,,85-76,,Defensive rebound by J. Crowder
6:29.0,,,85-76,,J. Crowder misses 3-pt shot from 24 ft
6:22.0,,,85-76,,Offensive rebound by R. Gobert
6:22.0,,,85-78,2,R. Gobert makes 2-pt shot at rim
6:03.0,J. Harden misses 3-pt shot from 25 ft,,85-78,,
6:01.0,,,85-78,,Defensive rebound by D. Mitchell
5:58.0,,,85-78,,Shooting foul by T. Ariza (drawn by D. Mitchell)
5:58.0,,,85-79,1,D. Mitchell makes free throw 1 of 2
5:58.0,,,85-79,,J. Ingles enters the game for R. Neto
5:58.0,,,85-80,1,D. Mitchell makes free throw 2 of 2
5:53.0,,,85-80,,Personal foul by J. Ingles (drawn by T. Ariza)
5:39.0,C. Capela misses 2-pt shot from 4 ft,,85-80,,
5:37.0,Offensive rebound by C. Capela,,85-80,,
5:37.0,C. Capela makes 2-pt shot from 3 ft,2,87-80,,
5:30.0,Personal foul by J. Harden (drawn by J. Ingles),,87-80,,
5:12.0,,,87-80,,D. Mitchell misses 2-pt shot from 2 ft
5:08.0,Defensive rebound by J. Harden,,87-80,,
5:02.0,T. Ariza misses 3-pt shot from 23 ft,,87-80,,
4:58.0,,,87-80,,Defensive rebound by R. Gobert
4:50.0,,,87-80,,R. O'Neale misses 2-pt shot from 5 ft
4:49.0,Defensive rebound by C. Paul,,87-80,,
4:43.0,T. Ariza makes 3-pt shot from 22 ft (assist by C. Paul),3,90-80,,
4:21.0,,,90-82,2,J. Ingles makes 2-pt shot from 1 ft
3:59.0,C. Paul makes 2-pt shot from 13 ft,2,92-82,,
3:44.0,,,92-82,,R. O'Neale misses 3-pt shot from 23 ft
3:41.0,Defensive rebound by P. Tucker,,92-82,,
3:41.0,Houston full timeout,,92-82,,
3:41.0,,,92-82,,R. Neto enters the game for R. O'Neale
3:19.0,C. Paul misses 2-pt shot from 16 ft,,92-82,,
3:17.0,,,92-82,,Defensive rebound by D. Mitchell
3:10.0,,,92-82,,Turnover by R. Neto (bad pass; steal by C. Capela)
