time,Brooklyn,pts.away,score,pts.home,Milwaukee
5:01.0,,,10-20,,M. Dellavedova enters the game for J. Henson
5:01.0,C. LeVert enters the game for S. Dinwiddie,,10-20,,
5:01.0,D. Russell enters the game for D. Carroll,,10-20,,
4:47.0,D. Russell misses 2-pt shot from 18 ft,,10-20,,
4:47.0,Offensive rebound by Team,,10-20,,
4:35.0,Q. Acy misses 3-pt shot from 23 ft,,10-20,,
4:33.0,,,10-20,,Defensive rebound by S. Brown
4:29.0,,,10-23,3,K. Middleton makes 3-pt shot from 27 ft (assist by M. Dellavedova)
4:11.0,Q. Acy misses 3-pt shot from 26 ft,,10-23,,
4:07.0,,,10-23,,Defensive rebound by M. Dellavedova
4:03.0,,,10-23,,S. Brown misses 2-pt shot from 2 ft (block by J. Allen)
3:58.0,Defensive rebound by D. Russell,,10-23,,
3:56.0,Turnover by D. Russell (bad pass; steal by M. Dellavedova),,10-23,,
3:45.0,,,10-25,2,T. Maker makes 2-pt shot from 19 ft (assist by M. Dellavedova)
3:25.0,D. Russell misses 2-pt shot from 5 ft,,10-25,,
3:23.0,Offensive rebound by J. Allen,,10-25,,
3:22.0,J. Allen misses 2-pt shot from 2 ft,,10-25,,
3:22.0,,,10-25,,Defensive rebound by S. Brown
3:04.0,,,10-25,,T. Maker misses 2-pt shot from 3 ft
3:01.0,Defensive rebound by C. LeVert,,10-25,,
2:59.0,D. Russell misses 3-pt shot from 27 ft,,10-25,,
2:55.0,,,10-25,,Defensive rebound by T. Maker
2:44.0,,,10-25,,K. Middleton misses 2-pt shot from 16 ft
2:40.0,Defensive rebound by C. LeVert,,10-25,,
2:25.0,C. LeVert misses 2-pt shot from 14 ft,,10-25,,
2:22.0,,,10-25,,Defensive rebound by S. Brown
2:14.0,,,10-27,2,T. Snell makes 2-pt shot from 17 ft
1:57.0,Turnover by D. Russell (bad pass; steal by T. Maker),,10-27,,
1:57.0,Personal foul by D. Russell (drawn by S. Brown),,10-27,,
1:57.0,,,10-27,,Milwaukee full timeout
1:57.0,,,10-27,,J. Terry enters the game for T. Snell
1:49.0,,,10-29,2,T. Maker makes 2-pt shot from 16 ft (assist by S. Brown)
1:32.0,D. Russell makes 2-pt shot from 6 ft,2,12-29,,
1:20.0,Personal foul by J. Harris (drawn by T. Maker),,12-29,,
1:20.0,,,12-30,1,T. Maker makes free throw 1 of 2
1:20.0,,,12-30,,G. Antetokounmpo enters the game for K. Middleton
1:20.0,R. Hollis-Jefferson enters the game for Q. Acy,,12-30,,
1:20.0,,,12-31,1,T. Maker makes free throw 2 of 2
1:02.0,D. Russell misses 3-pt shot from 26 ft,,12-31,,
0:58.0,,,12-31,,Defensive rebound by S. Brown
0:56.0,,,12-31,,S. Brown misses 2-pt shot from 16 ft
0:52.0,Defensive rebound by J. Allen,,12-31,,
0:48.0,Turnover by D. Russell (bad pass),,12-31,,
0:48.0,S. Dinwiddie enters the game for D. Russell,,12-31,,
0:28.0,,,12-31,,Turnover by J. Terry (bad pass)
0:28.0,D. Russell enters the game for S. Dinwiddie,,12-31,,
0:18.0,J. Allen misses 2-pt shot from 3 ft (block by T. Maker),,12-31,,
0:14.0,,,12-31,,Defensive rebound by T. Maker
0:05.0,,,12-33,2,G. Antetokounmpo makes 2-pt shot from 2 ft
0:00.0,R. Hollis-Jefferson makes 3-pt shot from 26 ft (assist by C. LeVert),3,15-33,,
0:00.0,,,15-33,,T. Maker misses 3-pt shot from 66 ft
0:00.0,,,15-33,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,J. Harris makes 3-pt shot from 27 ft (assist by J. Okafor),3,18-33,,
11:22.0,,,18-33,,G. Antetokounmpo misses 2-pt shot from 4 ft
11:19.0,,,18-33,,Offensive rebound by G. Antetokounmpo
11:18.0,,,18-35,2,G. Antetokounmpo makes 2-pt shot from 1 ft
11:02.0,J. Harris misses 2-pt shot from 2 ft (block by T. Maker),,18-35,,
10:59.0,,,18-35,,Defensive rebound by J. Terry
10:56.0,,,18-37,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Terry)
10:29.0,C. LeVert misses 2-pt shot from 18 ft,,18-37,,
10:27.0,,,18-37,,Defensive rebound by G. Antetokounmpo
10:14.0,,,18-37,,T. Maker misses 2-pt shot from 17 ft
10:12.0,Defensive rebound by C. LeVert,,18-37,,
9:58.0,Turnover by D. Russell (bad pass; steal by G. Antetokounmpo),,18-37,,
9:55.0,,,18-37,,Shooting foul by R. Hollis-Jefferson (drawn by S. Brown)
9:55.0,,,18-38,1,S. Brown makes free throw 1 of 2
9:55.0,,,18-39,1,S. Brown makes free throw 2 of 2
9:43.0,,,18-39,,Personal foul by J. Terry (drawn by J. Okafor)
9:38.0,R. Hollis-Jefferson makes 2-pt shot from 15 ft (assist by J. Harris),2,20-39,,
9:21.0,,,20-39,,G. Antetokounmpo misses 2-pt shot from 19 ft
9:18.0,Defensive rebound by J. Okafor,,20-39,,
9:10.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,20-39,,
9:05.0,Offensive rebound by J. Harris,,20-39,,
8:56.0,J. Okafor makes 2-pt shot at rim (assist by C. LeVert),2,22-39,,
8:32.0,,,22-41,2,T. Maker makes 2-pt shot from 13 ft (assist by J. Terry)
8:21.0,R. Hollis-Jefferson misses 2-pt shot from 6 ft,,22-41,,
8:17.0,,,22-41,,Defensive rebound by T. Maker
8:13.0,,,22-43,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova)
8:13.0,Brooklyn full timeout,,22-43,,
7:54.0,D. Russell misses 2-pt shot from 17 ft,,22-43,,
7:51.0,,,22-43,,Defensive rebound by S. Brown
7:44.0,,,22-43,,S. Brown misses 3-pt shot from 27 ft
7:41.0,Defensive rebound by C. LeVert,,22-43,,
7:29.0,C. LeVert misses 2-pt shot from 2 ft,,22-43,,
7:28.0,Offensive rebound by Team,,22-43,,
7:28.0,,,22-43,,Loose ball foul by S. Brown (drawn by J. Okafor)
7:28.0,,,22-43,,E. Bledsoe enters the game for M. Dellavedova
7:28.0,A. Crabbe enters the game for D. Russell,,22-43,,
7:16.0,Shooting foul by S. Brown (drawn by A. Crabbe),,22-43,,
7:16.0,A. Crabbe makes free throw 1 of 3,1,23-43,,
7:16.0,A. Crabbe makes free throw 2 of 3,1,24-43,,
7:16.0,A. Crabbe makes free throw 3 of 3,1,25-43,,
7:01.0,,,25-43,,G. Antetokounmpo misses 2-pt shot from 8 ft
6:58.0,Defensive rebound by A. Crabbe,,25-43,,
6:44.0,Turnover by A. Crabbe (traveling),,25-43,,
6:44.0,,,25-43,,T. Snell enters the game for J. Terry
6:44.0,S. Dinwiddie enters the game for J. Harris,,25-43,,
6:44.0,D. Carroll enters the game for C. LeVert,,25-43,,
6:29.0,,,25-43,,Turnover by E. Bledsoe (bad pass; steal by R. Hollis-Jefferson)
6:25.0,Turnover by R. Hollis-Jefferson (bad pass),,25-43,,
6:25.0,,,25-43,,J. Henson enters the game for T. Maker
6:24.0,Personal take foul by J. Okafor (drawn by T. Snell),,25-43,,
6:24.0,J. Harris enters the game for R. Hollis-Jefferson,,25-43,,
6:14.0,,,25-46,3,G. Antetokounmpo makes 3-pt shot from 27 ft (assist by J. Henson)
5:54.0,D. Carroll misses 3-pt shot from 27 ft,,25-46,,
5:54.0,,,25-46,,Defensive rebound by Team
5:54.0,,,25-46,,K. Middleton enters the game for G. Antetokounmpo
5:54.0,Q. Acy enters the game for J. Okafor,,25-46,,
5:44.0,,,25-46,,E. Bledsoe misses 3-pt shot from 27 ft
5:41.0,Defensive rebound by D. Carroll,,25-46,,
5:28.0,J. Harris misses 2-pt shot from 7 ft (block by S. Brown),,25-46,,
5:28.0,Offensive rebound by Team,,25-46,,
5:24.0,A. Crabbe makes 2-pt shot from 4 ft (assist by J. Harris),2,27-46,,
4:57.0,,,27-46,,Turnover by E. Bledsoe (bad pass; steal by D. Carroll)
4:53.0,D. Carroll misses 2-pt shot at rim,,27-46,,
4:50.0,,,27-46,,Defensive rebound by S. Brown
4:48.0,,,27-46,,S. Brown misses 2-pt shot from 3 ft (block by S. Dinwiddie)
4:48.0,,,27-46,,Offensive rebound by Team
4:30.0,,,27-46,,Turnover by Team (shot clock)
4:14.0,J. Harris misses 2-pt shot from 8 ft,,27-46,,
4:12.0,,,27-46,,Defensive rebound by J. Henson
4:12.0,Personal foul by S. Dinwiddie (drawn by E. Bledsoe),,27-46,,
3:57.0,,,27-48,2,J. Henson makes 2-pt shot from 1 ft (assist by T. Snell)
3:57.0,,,27-48,,Shooting foul by J. Harris (drawn by J. Henson)
3:57.0,C. LeVert enters the game for J. Harris,,27-48,,
3:57.0,,,27-49,1,J. Henson makes free throw 1 of 1
3:40.0,Q. Acy misses 3-pt shot from 26 ft,,27-49,,
3:37.0,,,27-49,,Defensive rebound by S. Brown
3:25.0,,,27-49,,S. Brown misses 3-pt shot from 23 ft
3:22.0,Defensive rebound by Q. Acy,,27-49,,
3:09.0,C. LeVert misses 3-pt shot from 26 ft,,27-49,,
3:07.0,,,27-49,,Defensive rebound by J. Henson
2:51.0,,,27-51,2,K. Middleton makes 2-pt shot from 13 ft
2:42.0,,,27-51,,Personal foul by S. Brown (drawn by C. LeVert)
2:42.0,,,27-51,,Milwaukee full timeout
2:42.0,,,27-51,,G. Antetokounmpo enters the game for S. Brown
2:28.0,A. Crabbe makes 2-pt shot from 2 ft (assist by S. Dinwiddie),2,29-51,,
2:16.0,,,29-51,,Turnover by J. Henson (bad pass; steal by D. Carroll)
2:05.0,A. Crabbe misses 3-pt shot from 27 ft,,29-51,,
2:05.0,,,29-51,,Defensive rebound by Team
1:45.0,,,29-54,3,E. Bledsoe makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
1:25.0,Turnover by C. LeVert (step out of bounds),,29-54,,
1:25.0,J. Allen enters the game for Q. Acy,,29-54,,
1:17.0,,,29-54,,E. Bledsoe misses 2-pt shot from 2 ft
1:15.0,Defensive rebound by S. Dinwiddie,,29-54,,
1:13.0,Shooting foul by J. Henson (drawn by D. Carroll),,29-54,,
1:13.0,D. Carroll makes free throw 1 of 2,1,30-54,,
1:13.0,D. Carroll makes free throw 2 of 2,1,31-54,,
0:57.0,,,31-54,,Shooting foul by J. Allen (drawn by G. Antetokounmpo)
0:57.0,,,31-55,1,G. Antetokounmpo makes free throw 1 of 2
0:57.0,,,31-56,1,G. Antetokounmpo makes free throw 2 of 2
0:41.0,A. Crabbe misses 3-pt shot from 27 ft,,31-56,,
0:38.0,,,31-56,,Defensive rebound by J. Henson
0:29.0,,,31-56,,T. Snell misses 3-pt shot from 26 ft
0:27.0,Defensive rebound by A. Crabbe,,31-56,,
0:21.0,,,31-56,,Personal foul by T. Snell (drawn by A. Crabbe)
0:21.0,A. Crabbe makes free throw 1 of 2,1,32-56,,
0:21.0,A. Crabbe misses free throw 2 of 2,,32-56,,
0:19.0,,,32-56,,Defensive rebound by J. Henson
0:03.0,,,32-58,2,G. Antetokounmpo makes 2-pt shot from 1 ft
0:00.0,D. Carroll makes 3-pt shot from 27 ft (assist by S. Dinwiddie),3,35-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,S. Dinwiddie misses 3-pt shot from 26 ft,,35-58,,
11:41.0,,,35-58,,Defensive rebound by G. Antetokounmpo
11:41.0,,,35-58,,Offensive charge foul by G. Antetokounmpo (drawn by D. Carroll)
11:41.0,,,35-58,,Turnover by G. Antetokounmpo (offensive foul)
11:25.0,S. Dinwiddie misses 3-pt shot from 26 ft,,35-58,,
11:23.0,,,35-58,,Defensive rebound by G. Antetokounmpo
11:08.0,,,35-60,2,K. Middleton makes 2-pt shot from 18 ft (assist by E. Bledsoe)
10:40.0,D. Carroll misses 2-pt shot from 21 ft,,35-60,,
10:38.0,Offensive rebound by D. Carroll,,35-60,,
10:33.0,J. Harris makes 3-pt shot from 25 ft (assist by D. Carroll),3,38-60,,
10:21.0,Personal foul by A. Crabbe (drawn by T. Snell),,38-60,,
10:14.0,,,38-60,,E. Bledsoe misses 3-pt shot from 25 ft
10:11.0,Defensive rebound by A. Crabbe,,38-60,,
10:07.0,Shooting foul by G. Antetokounmpo (drawn by D. Carroll),,38-60,,
10:07.0,D. Carroll makes free throw 1 of 2,1,39-60,,
10:07.0,D. Carroll makes free throw 2 of 2,1,40-60,,
9:57.0,,,40-60,,E. Bledsoe misses 2-pt shot from 17 ft
9:54.0,Defensive rebound by D. Carroll,,40-60,,
9:47.0,A. Crabbe misses 2-pt shot from 2 ft,,40-60,,
9:39.0,Offensive rebound by T. Zeller,,40-60,,
9:39.0,T. Zeller makes 2-pt shot at rim,2,42-60,,
9:34.0,,,42-60,,Turnover by K. Middleton (bad pass)
9:21.0,J. Harris makes 3-pt shot from 26 ft,3,45-60,,
9:20.0,,,45-60,,Milwaukee full timeout
9:07.0,,,45-62,2,J. Henson makes 2-pt shot from 19 ft (assist by G. Antetokounmpo)
8:52.0,T. Zeller misses 2-pt shot from 4 ft,,45-62,,
8:49.0,Offensive rebound by T. Zeller,,45-62,,
8:49.0,T. Zeller makes 2-pt shot at rim,2,47-62,,
8:29.0,,,47-64,2,K. Middleton makes 2-pt shot from 17 ft
8:15.0,Shooting foul by J. Henson (drawn by S. Dinwiddie),,47-64,,
8:15.0,S. Dinwiddie makes free throw 1 of 2,1,48-64,,
8:15.0,S. Dinwiddie makes free throw 2 of 2,1,49-64,,
7:55.0,,,49-66,2,E. Bledsoe makes 2-pt shot from 14 ft (assist by J. Henson)
7:44.0,S. Dinwiddie makes 2-pt shot from 10 ft,2,51-66,,
7:32.0,,,51-66,,E. Bledsoe misses 3-pt shot from 27 ft
7:30.0,Defensive rebound by T. Zeller,,51-66,,
7:20.0,S. Dinwiddie misses 2-pt shot from 1 ft,,51-66,,
7:17.0,,,51-66,,Defensive rebound by G. Antetokounmpo
7:12.0,,,51-68,2,G. Antetokounmpo makes 2-pt shot at rim
7:05.0,D. Carroll makes 2-pt shot from 1 ft,2,53-68,,
6:54.0,,,53-68,,K. Middleton misses 3-pt shot from 27 ft
6:52.0,Defensive rebound by S. Dinwiddie,,53-68,,
6:49.0,Shooting foul by K. Middleton (drawn by D. Carroll),,53-68,,
6:49.0,D. Carroll makes free throw 1 of 2,1,54-68,,
6:49.0,D. Carroll misses free throw 2 of 2,,54-68,,
6:44.0,,,54-68,,Defensive rebound by J. Henson
6:32.0,,,54-70,2,J. Henson makes 2-pt shot at rim (assist by G. Antetokounmpo)
6:23.0,Brooklyn full timeout,,54-70,,
6:23.0,C. LeVert enters the game for S. Dinwiddie,,54-70,,
6:23.0,J. Allen enters the game for T. Zeller,,54-70,,
6:13.0,J. Allen makes 2-pt shot from 1 ft (assist by A. Crabbe),2,56-70,,
5:54.0,Personal foul by D. Carroll (drawn by G. Antetokounmpo),,56-70,,
5:42.0,,,56-73,3,E. Bledsoe makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
5:23.0,J. Harris makes 2-pt shot from 1 ft (assist by A. Crabbe),2,58-73,,
5:19.0,,,58-73,,S. Brown enters the game for G. Antetokounmpo
5:06.0,,,58-73,,E. Bledsoe misses 3-pt shot from 26 ft
5:03.0,Defensive rebound by J. Harris,,58-73,,
4:59.0,Turnover by D. Carroll (lost ball; steal by E. Bledsoe),,58-73,,
4:52.0,,,58-73,,K. Middleton misses 2-pt shot from 9 ft
4:52.0,,,58-73,,Offensive rebound by Team
4:52.0,,,58-73,,M. Dellavedova enters the game for E. Bledsoe
4:52.0,D. Russell enters the game for D. Carroll,,58-73,,
4:52.0,N. Stauskas enters the game for J. Harris,,58-73,,
4:52.0,Q. Acy enters the game for A. Crabbe,,58-73,,
4:34.0,,,58-75,2,J. Henson makes 2-pt shot from 2 ft (assist by M. Dellavedova)
4:20.0,D. Russell misses 2-pt shot from 20 ft,,58-75,,
4:18.0,,,58-75,,Defensive rebound by S. Brown
4:11.0,,,58-75,,Turnover by J. Henson (traveling)
3:55.0,N. Stauskas misses 3-pt shot from 28 ft,,58-75,,
3:51.0,Offensive rebound by J. Allen,,58-75,,
3:51.0,C. LeVert misses 3-pt shot from 27 ft,,58-75,,
3:51.0,Offensive rebound by J. Allen,,58-75,,
3:51.0,,,58-75,,Personal foul by J. Henson (drawn by J. Allen)
3:51.0,,,58-75,,T. Maker enters the game for J. Henson
3:36.0,C. LeVert misses 2-pt shot from 3 ft,,58-75,,
3:30.0,Offensive rebound by C. LeVert,,58-75,,
3:30.0,C. LeVert makes 2-pt shot at rim,2,60-75,,
3:16.0,,,60-75,,T. Snell misses 2-pt shot from 1 ft
3:14.0,Defensive rebound by Q. Acy,,60-75,,
3:06.0,Turnover by D. Russell (bad pass; steal by M. Dellavedova),,60-75,,
3:00.0,,,60-75,,T. Snell misses 3-pt shot from 27 ft
2:58.0,Defensive rebound by Team,,60-75,,
2:58.0,,,60-75,,J. Terry enters the game for T. Snell
2:41.0,D. Russell makes 2-pt shot at rim,2,62-75,,
2:21.0,,,62-75,,S. Brown misses 2-pt shot from 20 ft
2:19.0,Defensive rebound by C. LeVert,,62-75,,
2:10.0,Turnover by D. Russell (bad pass),,62-75,,
1:54.0,Personal take foul by N. Stauskas (drawn by T. Maker),,62-75,,
1:43.0,,,62-75,,K. Middleton misses 2-pt shot from 9 ft
1:39.0,Defensive rebound by C. LeVert,,62-75,,
1:32.0,J. Allen makes 2-pt shot from 1 ft (assist by C. LeVert),2,64-75,,
1:18.0,,,64-77,2,S. Brown makes 2-pt shot from 1 ft (assist by M. Dellavedova)
1:03.0,D. Russell makes 2-pt shot from 2 ft,2,66-77,,
0:51.0,,,66-77,,M. Dellavedova misses 2-pt shot from 5 ft
0:48.0,Defensive rebound by J. Allen,,66-77,,
0:43.0,D. Russell makes 3-pt shot from 27 ft,3,69-77,,
0:34.0,,,69-79,2,K. Middleton makes 2-pt shot from 17 ft
0:26.0,D. Russell makes 3-pt shot from 27 ft,3,72-79,,
0:05.0,,,72-81,2,K. Middleton makes 2-pt shot from 18 ft
0:00.0,D. Russell misses 3-pt shot from 39 ft,,72-81,,
0:00.0,Offensive rebound by Team,,72-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,72-83,2,G. Antetokounmpo makes 2-pt shot from 8 ft
11:23.0,D. Russell makes 2-pt shot from 12 ft,2,74-83,,
11:03.0,,,74-86,3,T. Maker makes 3-pt shot from 22 ft (assist by G. Antetokounmpo)
10:37.0,J. Allen makes 2-pt shot at rim (assist by D. Carroll),2,76-86,,
10:13.0,,,76-86,,Turnover by T. Maker (lost ball; steal by J. Allen)
10:13.0,,,76-86,,Personal foul by T. Maker (drawn by C. LeVert)
9:57.0,D. Carroll misses 3-pt shot from 28 ft,,76-86,,
9:54.0,,,76-86,,Defensive rebound by S. Brown
9:40.0,,,76-88,2,G. Antetokounmpo makes 2-pt shot from 9 ft
9:22.0,D. Carroll makes 2-pt shot from 1 ft (assist by J. Allen),2,78-88,,
9:09.0,,,78-91,3,M. Dellavedova makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
9:09.0,Brooklyn full timeout,,78-91,,
9:09.0,,,78-91,,E. Bledsoe enters the game for J. Terry
9:09.0,S. Dinwiddie enters the game for D. Russell,,78-91,,
9:09.0,J. Harris enters the game for N. Stauskas,,78-91,,
9:09.0,A. Crabbe enters the game for C. LeVert,,78-91,,
8:53.0,J. Allen makes 2-pt shot from 1 ft (assist by J. Harris),2,80-91,,
8:38.0,,,80-91,,E. Bledsoe misses 2-pt shot from 14 ft
8:35.0,Defensive rebound by A. Crabbe,,80-91,,
8:29.0,J. Harris misses 2-pt shot from 14 ft,,80-91,,
8:25.0,Offensive rebound by D. Carroll,,80-91,,
8:17.0,A. Crabbe misses 2-pt shot from 12 ft,,80-91,,
8:14.0,,,80-91,,Defensive rebound by T. Maker
8:10.0,,,80-91,,Turnover by M. Dellavedova (bad pass; steal by S. Dinwiddie)
8:03.0,J. Harris misses 3-pt shot from 26 ft,,80-91,,
7:58.0,,,80-91,,Defensive rebound by M. Dellavedova
7:45.0,,,80-91,,T. Maker misses 3-pt shot from 23 ft
7:43.0,Defensive rebound by D. Carroll,,80-91,,
7:28.0,Turnover by S. Dinwiddie (bad pass; steal by E. Bledsoe),,80-91,,
7:28.0,Personal foul by S. Dinwiddie (drawn by G. Antetokounmpo),,80-91,,
7:28.0,,,80-91,,J. Henson enters the game for T. Maker
7:28.0,Q. Acy enters the game for J. Allen,,80-91,,
7:11.0,,,80-91,,J. Henson misses 2-pt shot from 3 ft
7:08.0,Defensive rebound by Q. Acy,,80-91,,
6:51.0,D. Carroll makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,82-91,,
6:25.0,,,82-91,,G. Antetokounmpo misses 2-pt shot from 17 ft
6:22.0,Defensive rebound by J. Harris,,82-91,,
6:09.0,A. Crabbe misses 3-pt shot from 28 ft,,82-91,,
6:06.0,,,82-91,,Defensive rebound by G. Antetokounmpo
6:01.0,,,82-93,2,E. Bledsoe makes 2-pt shot at rim (assist by G. Antetokounmpo)
6:01.0,,,82-93,,Shooting foul by A. Crabbe (drawn by E. Bledsoe)
6:01.0,,,82-93,,T. Snell enters the game for M. Dellavedova
6:01.0,,,82-93,,K. Middleton enters the game for S. Brown
6:01.0,,,82-94,1,E. Bledsoe makes free throw 1 of 1
5:41.0,J. Harris misses 2-pt shot at rim (block by J. Henson),,82-94,,
5:38.0,,,82-94,,Defensive rebound by K. Middleton
5:34.0,,,82-94,,Shooting foul by Q. Acy (drawn by G. Antetokounmpo)
5:34.0,,,82-95,1,G. Antetokounmpo makes free throw 1 of 2
5:34.0,C. LeVert enters the game for J. Harris,,82-95,,
5:34.0,,,82-96,1,G. Antetokounmpo makes free throw 2 of 2
5:15.0,Shooting foul by J. Henson (drawn by S. Dinwiddie),,82-96,,
5:15.0,S. Dinwiddie makes free throw 1 of 2,1,83-96,,
5:15.0,S. Dinwiddie makes free throw 2 of 2,1,84-96,,
5:05.0,,,84-96,,E. Bledsoe misses 2-pt shot from 19 ft
5:02.0,Defensive rebound by Q. Acy,,84-96,,
4:54.0,Q. Acy misses 2-pt shot from 18 ft,,84-96,,
4:51.0,,,84-96,,Defensive rebound by E. Bledsoe
4:47.0,,,84-96,,E. Bledsoe misses 2-pt shot at rim
4:44.0,Defensive rebound by D. Carroll,,84-96,,
4:40.0,C. LeVert misses 3-pt shot from 27 ft,,84-96,,
4:35.0,,,84-96,,Defensive rebound by G. Antetokounmpo
4:22.0,,,84-96,,Shooting foul by Q. Acy (drawn by G. Antetokounmpo)
4:22.0,Brooklyn full timeout,,84-96,,
4:22.0,N. Stauskas enters the game for S. Dinwiddie,,84-96,,
4:22.0,J. Allen enters the game for D. Carroll,,84-96,,
4:22.0,D. Russell enters the game for A. Crabbe,,84-96,,
4:22.0,,,84-97,1,G. Antetokounmpo makes free throw 1 of 2
