time,Oklahoma City,pts.away,score,pts.home,Toronto
7:07.0,,,44-47,,Offensive rebound by Team
7:07.0,Loose ball foul by R. Westbrook (drawn by L. Nogueira),,44-47,,
7:07.0,,,44-47,,K. Lowry enters the game for N. Powell
6:54.0,,,44-49,2,D. Wright makes 2-pt shot from 13 ft
6:39.0,P. Patterson misses 2-pt shot from 1 ft,,44-49,,
6:36.0,,,44-49,,Defensive rebound by P. Siakam
6:24.0,,,44-51,2,L. Nogueira makes 2-pt shot from 1 ft (assist by K. Lowry)
6:24.0,,,44-51,,Shooting foul by R. Felton (drawn by L. Nogueira)
6:24.0,C. Brewer enters the game for J. Grant,,44-51,,
6:24.0,S. Adams enters the game for T. Ferguson,,44-51,,
6:24.0,C. Anthony enters the game for P. Patterson,,44-51,,
6:24.0,,,44-52,1,L. Nogueira makes free throw 1 of 1
6:09.0,R. Felton misses 2-pt shot from 19 ft,,44-52,,
6:07.0,,,44-52,,Defensive rebound by K. Lowry
6:02.0,,,44-54,2,P. Siakam makes 2-pt shot from 2 ft (assist by K. Lowry)
5:46.0,,,44-54,,Def 3 sec tech foul by L. Nogueira
5:46.0,R. Westbrook makes technical free throw,1,45-54,,
5:46.0,,,45-54,,J. Valanciunas enters the game for L. Nogueira
5:46.0,P. George enters the game for R. Felton,,45-54,,
5:32.0,P. George misses 3-pt shot from 22 ft,,45-54,,
5:29.0,Offensive rebound by R. Westbrook,,45-54,,
5:23.0,Turnover by P. George (bad pass; steal by D. Wright),,45-54,,
5:19.0,,,45-54,,C. Miles misses 2-pt shot from 1 ft (block by C. Anthony)
5:18.0,,,45-54,,Offensive rebound by Team
5:18.0,,,45-54,,S. Ibaka enters the game for C. Miles
5:18.0,,,45-54,,D. DeRozan enters the game for P. Siakam
5:17.0,,,45-54,,Turnover by J. Valanciunas (traveling)
5:05.0,Shooting foul by J. Valanciunas (drawn by S. Adams),,45-54,,
5:05.0,S. Adams makes free throw 1 of 2,1,46-54,,
5:05.0,S. Adams makes free throw 2 of 2,1,47-54,,
4:48.0,,,47-54,,D. DeRozan misses 2-pt shot from 1 ft
4:46.0,,,47-54,,Offensive rebound by S. Ibaka
4:46.0,,,47-54,,S. Ibaka misses 2-pt shot from 2 ft
4:44.0,Defensive rebound by R. Westbrook,,47-54,,
4:40.0,C. Brewer makes 2-pt shot from 1 ft (assist by R. Westbrook),2,49-54,,
4:26.0,,,49-56,2,D. DeRozan makes 2-pt shot from 1 ft (assist by D. Wright)
4:14.0,R. Westbrook makes 2-pt shot from 8 ft (assist by S. Adams),2,51-56,,
3:55.0,,,51-59,3,K. Lowry makes 3-pt shot from 27 ft (assist by D. DeRozan)
3:44.0,P. George makes 2-pt shot from 9 ft,2,53-59,,
3:44.0,Shooting foul by K. Lowry (drawn by P. George),,53-59,,
3:44.0,P. George makes free throw 1 of 1,1,54-59,,
3:39.0,,,54-59,,Toronto full timeout
3:39.0,,,54-59,,N. Powell enters the game for D. Wright
3:27.0,,,54-61,2,K. Lowry makes 2-pt shot from 18 ft
3:04.0,S. Adams misses 2-pt shot from 8 ft,,54-61,,
3:02.0,Offensive rebound by S. Adams,,54-61,,
3:00.0,C. Brewer makes 3-pt shot from 23 ft (assist by S. Adams),3,57-61,,
2:47.0,,,57-61,,K. Lowry misses 3-pt shot from 26 ft
2:44.0,Defensive rebound by P. George,,57-61,,
2:40.0,P. George misses 3-pt shot from 29 ft,,57-61,,
2:37.0,Offensive rebound by P. George,,57-61,,
2:36.0,Shooting foul by J. Valanciunas (drawn by P. George),,57-61,,
2:36.0,P. George makes free throw 1 of 2,1,58-61,,
2:36.0,P. George misses free throw 2 of 2,,58-61,,
2:35.0,,,58-61,,Defensive rebound by D. DeRozan
2:25.0,,,58-61,,Shooting foul by P. George (drawn by D. DeRozan)
2:25.0,,,58-61,,D. DeRozan misses free throw 1 of 2
2:25.0,,,58-61,,Offensive rebound by Team
2:25.0,,,58-62,1,D. DeRozan makes free throw 2 of 2
2:10.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,60-62,,
1:58.0,,,60-62,,Turnover by N. Powell (lost ball; steal by P. George)
1:53.0,C. Brewer misses 2-pt shot from 1 ft,,60-62,,
1:51.0,Offensive rebound by C. Brewer,,60-62,,
1:44.0,Shooting foul by K. Lowry (drawn by R. Westbrook),,60-62,,
1:44.0,R. Westbrook makes free throw 1 of 2,1,61-62,,
1:44.0,R. Westbrook makes free throw 2 of 2,1,62-62,,
1:31.0,,,62-62,,S. Ibaka misses 2-pt shot from 16 ft
1:29.0,Defensive rebound by R. Westbrook,,62-62,,
1:24.0,Turnover by R. Westbrook (bad pass; steal by S. Ibaka),,62-62,,
1:10.0,,,62-62,,N. Powell misses 3-pt shot from 23 ft
1:07.0,Defensive rebound by P. George,,62-62,,
1:02.0,,,62-62,,Personal foul by K. Lowry (drawn by P. George)
1:02.0,P. George makes free throw 1 of 2,1,63-62,,
1:02.0,,,63-62,,D. Wright enters the game for K. Lowry
1:02.0,P. George makes free throw 2 of 2,1,64-62,,
0:44.0,,,64-62,,D. DeRozan misses 3-pt shot from 23 ft
0:42.0,Defensive rebound by R. Westbrook,,64-62,,
0:30.0,C. Anthony misses 2-pt shot from 17 ft,,64-62,,
0:29.0,Offensive rebound by Team,,64-62,,
0:29.0,,,64-62,,Loose ball foul by J. Valanciunas (drawn by S. Adams)
0:29.0,S. Adams misses free throw 1 of 2,,64-62,,
0:29.0,Offensive rebound by Team,,64-62,,
0:29.0,,,64-62,,C. Miles enters the game for J. Valanciunas
0:29.0,S. Adams misses free throw 2 of 2,,64-62,,
0:27.0,,,64-62,,Defensive rebound by S. Ibaka
0:08.0,,,64-64,2,D. DeRozan makes 2-pt shot at rim
0:01.0,P. George makes 2-pt shot from 20 ft (assist by R. Westbrook),2,66-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,R. Westbrook misses 2-pt shot from 16 ft,,66-64,,
11:47.0,,,66-64,,Defensive rebound by K. Lowry
11:37.0,,,66-66,2,J. Valanciunas makes 2-pt shot from 4 ft (assist by D. DeRozan)
11:20.0,P. George misses 2-pt shot from 19 ft,,66-66,,
11:18.0,,,66-66,,Defensive rebound by O. Anunoby
10:56.0,,,66-68,2,O. Anunoby makes 2-pt shot at rim (assist by S. Ibaka)
10:38.0,Shooting foul by D. DeRozan (drawn by S. Adams),,66-68,,
10:38.0,S. Adams makes free throw 1 of 2,1,67-68,,
10:38.0,S. Adams makes free throw 2 of 2,1,68-68,,
10:20.0,,,68-70,2,K. Lowry makes 2-pt shot from 1 ft (assist by J. Valanciunas)
10:05.0,Turnover by P. George (bad pass),,68-70,,
9:58.0,,,68-73,3,K. Lowry makes 3-pt shot from 24 ft
9:56.0,Oklahoma City full timeout,,68-73,,
9:42.0,P. George misses 2-pt shot from 15 ft,,68-73,,
9:40.0,,,68-73,,Defensive rebound by S. Ibaka
9:29.0,,,68-73,,Turnover by S. Ibaka (lost ball; steal by C. Brewer)
9:25.0,P. George misses 2-pt shot from 1 ft (block by K. Lowry),,68-73,,
9:25.0,Offensive rebound by Team,,68-73,,
9:25.0,,,68-73,,Loose ball foul by K. Lowry (drawn by C. Brewer)
9:19.0,R. Westbrook makes 2-pt shot from 10 ft,2,70-73,,
9:00.0,,,70-73,,Turnover by K. Lowry (bad pass; steal by S. Adams)
8:56.0,Turnover by C. Brewer (bad pass),,70-73,,
8:56.0,,,70-73,,D. Wright enters the game for K. Lowry
8:40.0,,,70-73,,S. Ibaka misses 3-pt shot from 24 ft
8:37.0,Defensive rebound by C. Anthony,,70-73,,
8:19.0,R. Westbrook makes 2-pt shot from 1 ft,2,72-73,,
8:09.0,,,72-75,2,D. DeRozan makes 2-pt shot from 7 ft (assist by D. Wright)
7:52.0,C. Brewer makes 2-pt shot from 1 ft (assist by S. Adams),2,74-75,,
7:39.0,,,74-75,,D. DeRozan misses 2-pt shot from 6 ft
7:36.0,,,74-75,,Offensive rebound by S. Ibaka
7:36.0,,,74-75,,S. Ibaka misses 2-pt shot at rim
7:34.0,Defensive rebound by P. George,,74-75,,
7:32.0,C. Brewer misses 3-pt shot from 26 ft,,74-75,,
7:29.0,Offensive rebound by S. Adams,,74-75,,
7:27.0,P. George misses 3-pt shot from 23 ft,,74-75,,
7:27.0,,,74-75,,Defensive rebound by J. Valanciunas
7:16.0,,,74-77,2,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan)
7:07.0,S. Adams makes 2-pt shot from 11 ft (assist by R. Westbrook),2,76-77,,
6:52.0,,,76-77,,Shooting foul by P. George (drawn by O. Anunoby)
6:52.0,,,76-77,,O. Anunoby misses free throw 1 of 2
6:52.0,,,76-77,,Offensive rebound by Team
6:52.0,,,76-77,,O. Anunoby misses free throw 2 of 2
6:49.0,Defensive rebound by R. Westbrook,,76-77,,
6:42.0,Turnover by R. Westbrook (bad pass),,76-77,,
6:33.0,,,76-77,,D. Wright misses 3-pt shot from 25 ft
6:30.0,Defensive rebound by S. Adams,,76-77,,
6:26.0,R. Westbrook makes 2-pt shot from 20 ft,2,78-77,,
6:05.0,,,78-77,,Offensive foul by J. Valanciunas (drawn by C. Brewer)
6:05.0,,,78-77,,Turnover by J. Valanciunas (offensive foul)
6:05.0,Oklahoma City full timeout,,78-77,,
6:05.0,,,78-77,,J. Poeltl enters the game for O. Anunoby
6:05.0,,,78-77,,C. Miles enters the game for J. Valanciunas
5:54.0,S. Adams misses 2-pt shot from 8 ft,,78-77,,
5:51.0,Offensive rebound by R. Westbrook,,78-77,,
5:49.0,C. Anthony makes 3-pt shot from 27 ft (assist by R. Westbrook),3,81-77,,
5:36.0,,,81-80,3,C. Miles makes 3-pt shot from 26 ft (assist by D. DeRozan)
5:22.0,R. Westbrook makes 2-pt shot from 9 ft,2,83-80,,
5:22.0,Shooting foul by D. Wright (drawn by R. Westbrook),,83-80,,
5:22.0,R. Westbrook makes free throw 1 of 1,1,84-80,,
5:11.0,,,84-83,3,D. DeRozan makes 3-pt shot from 25 ft
4:56.0,R. Westbrook misses 2-pt shot from 1 ft,,84-83,,
4:53.0,Offensive rebound by S. Adams,,84-83,,
4:53.0,S. Adams misses 2-pt shot at rim,,84-83,,
4:52.0,,,84-83,,Defensive rebound by C. Miles
4:42.0,,,84-83,,Offensive charge foul by S. Ibaka (drawn by C. Brewer)
4:42.0,,,84-83,,Turnover by S. Ibaka (offensive foul)
4:32.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,86-83,,
4:15.0,,,86-85,2,J. Poeltl makes 2-pt shot from 1 ft (assist by D. Wright)
4:05.0,Shooting foul by J. Poeltl (drawn by S. Adams),,86-85,,
4:05.0,S. Adams misses free throw 1 of 2,,86-85,,
4:05.0,Offensive rebound by Team,,86-85,,
4:05.0,S. Adams makes free throw 2 of 2,1,87-85,,
3:51.0,,,87-85,,C. Miles misses 3-pt shot from 24 ft
3:49.0,Defensive rebound by R. Westbrook,,87-85,,
3:45.0,Offensive foul by S. Adams (drawn by J. Poeltl),,87-85,,
3:45.0,Turnover by S. Adams (offensive foul),,87-85,,
3:38.0,Personal foul by P. George (drawn by D. DeRozan),,87-85,,
3:31.0,,,87-85,,Shooting foul by S. Adams (drawn by S. Ibaka)
3:31.0,J. Grant enters the game for S. Adams,,87-85,,
3:31.0,,,87-86,1,S. Ibaka makes free throw 1 of 2
3:31.0,,,87-87,1,S. Ibaka makes free throw 2 of 2
3:19.0,C. Anthony makes 2-pt shot from 16 ft (assist by R. Westbrook),2,89-87,,
2:51.0,,,89-87,,S. Ibaka misses 2-pt shot from 14 ft
2:47.0,Defensive rebound by J. Grant,,89-87,,
2:41.0,J. Grant misses 3-pt shot from 26 ft,,89-87,,
2:38.0,,,89-87,,Defensive rebound by D. Wright
2:27.0,,,89-87,,S. Ibaka misses 2-pt shot from 14 ft
2:24.0,Defensive rebound by R. Westbrook,,89-87,,
2:18.0,P. George makes 2-pt shot from 1 ft,2,91-87,,
2:01.0,,,91-90,3,D. DeRozan makes 3-pt shot from 23 ft (assist by J. Poeltl)
1:39.0,C. Anthony makes 3-pt shot from 25 ft (assist by P. George),3,94-90,,
1:30.0,Personal foul by C. Brewer (drawn by D. DeRozan),,94-90,,
1:30.0,,,94-90,,P. Siakam enters the game for S. Ibaka
1:30.0,R. Felton enters the game for R. Westbrook,,94-90,,
1:18.0,,,94-90,,Shooting foul by J. Grant (drawn by J. Poeltl)
1:18.0,,,94-91,1,J. Poeltl makes free throw 1 of 2
1:18.0,,,94-92,1,J. Poeltl makes free throw 2 of 2
1:05.0,C. Anthony misses 2-pt shot from 20 ft,,94-92,,
1:02.0,,,94-92,,Defensive rebound by J. Poeltl
0:54.0,,,94-92,,D. DeRozan misses 2-pt shot from 3 ft
0:54.0,,,94-92,,Offensive rebound by J. Poeltl
0:54.0,,,94-94,2,J. Poeltl makes 2-pt shot at rim
0:42.0,J. Grant makes 2-pt shot from 2 ft (assist by P. George),2,96-94,,
0:42.0,Shooting foul by D. DeRozan (drawn by J. Grant),,96-94,,
0:42.0,J. Grant makes free throw 1 of 1,1,97-94,,
0:30.0,,,97-94,,Shooting foul by P. George (drawn by C. Miles)
0:30.0,,,97-95,1,C. Miles makes free throw 1 of 3
0:30.0,,,97-96,1,C. Miles makes free throw 2 of 3
0:30.0,,,97-96,,C. Miles misses free throw 3 of 3
0:28.0,Defensive rebound by Team,,97-96,,
0:22.0,Offensive foul by P. George (drawn by D. Wright),,97-96,,
0:22.0,Turnover by P. George (offensive foul),,97-96,,
0:22.0,T. Ferguson enters the game for P. George,,97-96,,
0:01.0,,,97-98,2,D. DeRozan makes 2-pt shot from 23 ft
0:00.0,C. Brewer misses 3-pt shot from 64 ft,,97-98,,
0:00.0,Offensive rebound by Team,,97-98,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,97-98,,Turnover by K. Lowry (bad pass)
11:24.0,J. Grant misses 2-pt shot from 5 ft,,97-98,,
11:22.0,,,97-98,,Defensive rebound by K. Lowry
11:18.0,,,97-98,,Turnover by P. Siakam (bad pass; steal by A. Abrines)
11:05.0,A. Abrines makes 3-pt shot from 26 ft (assist by P. Patterson),3,100-98,,
10:44.0,,,100-98,,C. Miles misses 3-pt shot from 26 ft
10:41.0,Defensive rebound by R. Felton,,100-98,,
10:34.0,R. Felton makes 3-pt shot from 26 ft,3,103-98,,
10:15.0,Personal block foul by A. Abrines (drawn by D. Wright),,103-98,,
10:05.0,,,103-100,2,P. Siakam makes 2-pt shot from 1 ft (assist by J. Poeltl)
9:43.0,R. Felton misses 2-pt shot from 18 ft,,103-100,,
9:40.0,,,103-100,,Defensive rebound by P. Siakam
9:33.0,,,103-102,2,C. Miles makes 2-pt shot at rim (assist by D. Wright)
9:07.0,Turnover by Team (shot clock),,103-102,,
8:48.0,,,103-102,,K. Lowry misses 2-pt shot from 6 ft (block by P. Patterson)
8:46.0,,,103-102,,Offensive rebound by K. Lowry
8:44.0,,,103-104,2,D. Wright makes 2-pt shot from 18 ft (assist by K. Lowry)
8:23.0,J. Grant makes 2-pt shot at rim (assist by P. Patterson),2,105-104,,
8:01.0,,,105-106,2,P. Siakam makes 2-pt shot from 1 ft (assist by K. Lowry)
7:50.0,R. Felton makes 2-pt shot from 15 ft,2,107-106,,
7:44.0,Personal foul by R. Felton (drawn by J. Poeltl),,107-106,,
7:44.0,S. Adams enters the game for R. Felton,,107-106,,
7:44.0,R. Westbrook enters the game for J. Grant,,107-106,,
7:28.0,,,107-108,2,D. Wright makes 2-pt shot from 10 ft
7:15.0,A. Abrines makes 3-pt shot from 25 ft (assist by R. Westbrook),3,110-108,,
6:49.0,,,110-111,3,K. Lowry makes 3-pt shot from 25 ft
6:34.0,R. Westbrook misses 2-pt shot from 2 ft,,110-111,,
6:32.0,Offensive rebound by S. Adams,,110-111,,
6:29.0,P. Patterson misses 3-pt shot from 23 ft,,110-111,,
6:26.0,Offensive rebound by Team,,110-111,,
6:26.0,,,110-111,,Toronto full timeout
6:26.0,,,110-111,,J. Valanciunas enters the game for J. Poeltl
6:19.0,Shooting foul by J. Valanciunas (drawn by R. Westbrook),,110-111,,
6:19.0,R. Westbrook misses free throw 1 of 2,,110-111,,
6:19.0,Offensive rebound by Team,,110-111,,
6:19.0,R. Westbrook makes free throw 2 of 2,1,111-111,,
6:08.0,,,111-111,,J. Valanciunas misses 2-pt shot from 4 ft
6:05.0,Defensive rebound by T. Ferguson,,111-111,,
5:51.0,R. Westbrook makes 2-pt shot from 12 ft,2,113-111,,
5:34.0,,,113-114,3,C. Miles makes 3-pt shot from 23 ft (assist by K. Lowry)
5:20.0,R. Westbrook makes 3-pt shot from 29 ft,3,116-114,,
5:07.0,,,116-114,,Shooting foul by R. Westbrook (drawn by K. Lowry)
5:07.0,,,116-115,1,K. Lowry makes free throw 1 of 3
5:07.0,,,116-116,1,K. Lowry makes free throw 2 of 3
5:07.0,Oklahoma City full timeout,,116-116,,
5:07.0,,,116-116,,D. DeRozan enters the game for D. Wright
5:07.0,C. Brewer enters the game for A. Abrines,,116-116,,
5:07.0,C. Anthony enters the game for T. Ferguson,,116-116,,
5:07.0,P. George enters the game for P. Patterson,,116-116,,
5:07.0,,,116-117,1,K. Lowry makes free throw 3 of 3
4:52.0,C. Anthony misses 3-pt shot from 26 ft,,116-117,,
4:49.0,Offensive rebound by R. Westbrook,,116-117,,
4:43.0,R. Westbrook misses 2-pt shot from 10 ft,,116-117,,
4:41.0,Offensive rebound by R. Westbrook,,116-117,,
4:39.0,R. Westbrook misses 2-pt shot from 2 ft,,116-117,,
4:39.0,Offensive rebound by R. Westbrook,,116-117,,
