time,San Antonio,pts.away,score,pts.home,Charlotte
4:13.0,Personal foul by D. Murray (drawn by K. Walker),,8-11,,
4:13.0,,,8-11,,C. Zeller enters the game for N. Batum
4:13.0,,,8-11,,J. Lamb enters the game for D. Howard
4:13.0,M. Ginobili enters the game for D. Green,,8-11,,
4:07.0,,,8-11,,K. Walker misses 3-pt shot from 25 ft
4:04.0,Defensive rebound by L. Aldridge,,8-11,,
3:44.0,R. Gay makes 2-pt shot from 10 ft,2,10-11,,
3:25.0,,,10-11,,Turnover by J. Lamb (out of bounds lost ball)
3:25.0,B. Forbes enters the game for K. Anderson,,10-11,,
3:03.0,L. Aldridge makes 2-pt shot from 10 ft (assist by D. Murray),2,12-11,,
2:43.0,,,12-13,2,C. Zeller makes 2-pt shot from 15 ft (assist by M. Kidd-Gilchrist)
2:23.0,B. Forbes misses 3-pt shot from 27 ft,,12-13,,
2:20.0,,,12-13,,Defensive rebound by M. Kidd-Gilchrist
2:07.0,,,12-13,,M. Kidd-Gilchrist misses 2-pt shot from 4 ft (block by L. Aldridge)
2:05.0,Defensive rebound by B. Forbes,,12-13,,
1:53.0,L. Aldridge makes 2-pt shot from 11 ft,2,14-13,,
1:53.0,,,14-13,,Charlotte full timeout
1:53.0,,,14-13,,F. Kaminsky enters the game for M. Williams
1:53.0,,,14-13,,M. Carter-Williams enters the game for M. Kidd-Gilchrist
1:53.0,,,14-13,,D. Bacon enters the game for K. Walker
1:53.0,P. Gasol enters the game for L. Aldridge,,14-13,,
1:36.0,,,14-13,,Turnover by M. Carter-Williams (bad pass; steal by R. Gay)
1:24.0,M. Ginobili misses 2-pt shot from 8 ft,,14-13,,
1:22.0,,,14-13,,Defensive rebound by F. Kaminsky
1:16.0,,,14-13,,Shooting foul by M. Ginobili (drawn by M. Carter-Williams)
1:16.0,,,14-14,1,M. Carter-Williams makes free throw 1 of 2
1:16.0,,,14-15,1,M. Carter-Williams makes free throw 2 of 2
1:01.0,B. Forbes misses 3-pt shot from 27 ft,,14-15,,
0:58.0,,,14-15,,Defensive rebound by D. Bacon
0:49.0,,,14-15,,M. Carter-Williams misses 3-pt shot from 23 ft
0:47.0,Defensive rebound by R. Gay,,14-15,,
0:40.0,R. Gay misses 3-pt shot from 28 ft,,14-15,,
0:38.0,,,14-15,,Defensive rebound by J. Lamb
0:32.0,,,14-15,,J. Lamb misses 2-pt shot from 15 ft
0:30.0,Defensive rebound by R. Gay,,14-15,,
0:21.0,D. Murray misses 2-pt shot from 13 ft,,14-15,,
0:19.0,Offensive rebound by P. Gasol,,14-15,,
0:14.0,B. Forbes misses 2-pt shot from 8 ft (block by J. Lamb),,14-15,,
0:11.0,,,14-15,,Defensive rebound by D. Bacon
0:08.0,,,14-15,,F. Kaminsky misses 2-pt shot from 1 ft
0:04.0,,,14-15,,Offensive rebound by C. Zeller
0:04.0,,,14-15,,C. Zeller misses 2-pt shot at rim
0:04.0,Defensive rebound by R. Gay,,14-15,,
0:04.0,,,14-15,,Personal foul by D. Bacon (drawn by P. Gasol)
0:00.0,P. Gasol misses 2-pt shot from 21 ft,,14-15,,
0:00.0,Offensive rebound by Team,,14-15,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,R. Gay misses 2-pt shot from 3 ft,,14-15,,
11:40.0,,,14-15,,Defensive rebound by D. Bacon
11:35.0,,,14-15,,J. Lamb misses 3-pt shot from 26 ft
11:32.0,,,14-15,,Offensive rebound by C. Zeller
11:30.0,,,14-15,,D. Bacon misses 3-pt shot from 24 ft
11:28.0,Defensive rebound by P. Gasol,,14-15,,
11:16.0,B. Forbes misses 2-pt shot from 20 ft,,14-15,,
11:12.0,,,14-15,,Defensive rebound by M. Carter-Williams
11:02.0,,,14-17,2,J. Lamb makes 2-pt shot from 1 ft (assist by F. Kaminsky)
10:39.0,B. Forbes misses 3-pt shot from 27 ft,,14-17,,
10:35.0,,,14-17,,Defensive rebound by M. Carter-Williams
10:30.0,,,14-17,,M. Carter-Williams misses 2-pt shot from 2 ft (block by D. Murray)
10:26.0,Defensive rebound by B. Forbes,,14-17,,
10:19.0,M. Ginobili makes 2-pt shot from 4 ft (assist by P. Gasol),2,16-17,,
10:04.0,,,16-17,,Shooting foul by P. Gasol (drawn by J. Lamb)
10:04.0,,,16-18,1,J. Lamb makes free throw 1 of 2
10:04.0,P. Mills enters the game for D. Murray,,16-18,,
10:04.0,D. Green enters the game for B. Forbes,,16-18,,
10:04.0,D. Bertans enters the game for R. Gay,,16-18,,
10:04.0,,,16-19,1,J. Lamb makes free throw 2 of 2
9:42.0,P. Gasol makes 2-pt shot from 10 ft,2,18-19,,
9:19.0,,,18-22,3,F. Kaminsky makes 3-pt shot from 26 ft (assist by J. Lamb)
8:54.0,K. Anderson enters the game for M. Ginobili,,18-22,,
8:49.0,P. Mills makes 3-pt shot from 26 ft (assist by K. Anderson),3,21-22,,
8:29.0,Personal foul by P. Mills (drawn by M. Carter-Williams),,21-22,,
8:23.0,,,21-22,,J. Lamb misses 2-pt shot from 2 ft
8:21.0,Defensive rebound by D. Bertans,,21-22,,
8:13.0,D. Green misses 3-pt shot from 23 ft,,21-22,,
8:09.0,,,21-22,,Defensive rebound by D. Bacon
8:04.0,,,21-22,,D. Bacon misses 2-pt shot from 9 ft
8:01.0,,,21-22,,Offensive rebound by J. Lamb
8:01.0,,,21-22,,J. Lamb misses 2-pt shot at rim
8:01.0,,,21-22,,Offensive rebound by Team
7:51.0,,,21-22,,F. Kaminsky misses 2-pt shot from 11 ft
7:49.0,Defensive rebound by P. Gasol,,21-22,,
7:38.0,K. Anderson makes 2-pt shot from 3 ft (assist by P. Gasol),2,23-22,,
7:22.0,,,23-24,2,D. Bacon makes 2-pt shot at rim (assist by J. Lamb)
6:58.0,Turnover by D. Green (bad pass; steal by F. Kaminsky),,23-24,,
6:50.0,,,23-24,,F. Kaminsky misses 3-pt shot from 26 ft
6:47.0,Defensive rebound by D. Green,,23-24,,
6:27.0,D. Bertans misses 3-pt shot from 27 ft,,23-24,,
6:25.0,,,23-24,,Defensive rebound by F. Kaminsky
6:15.0,,,23-24,,Charlotte full timeout
6:15.0,,,23-24,,D. Howard enters the game for D. Bacon
6:15.0,,,23-24,,N. Batum enters the game for C. Zeller
6:15.0,L. Aldridge enters the game for P. Gasol,,23-24,,
6:09.0,,,23-24,,Shooting foul by D. Bertans (drawn by D. Howard)
6:09.0,,,23-24,,D. Howard misses free throw 1 of 2
6:09.0,,,23-24,,Offensive rebound by Team
6:09.0,R. Gay enters the game for D. Bertans,,23-24,,
6:09.0,,,23-24,,D. Howard misses free throw 2 of 2
6:07.0,Defensive rebound by K. Anderson,,23-24,,
5:55.0,L. Aldridge makes 2-pt shot from 5 ft,2,25-24,,
5:38.0,,,25-24,,Turnover by M. Carter-Williams (traveling)
5:38.0,,,25-24,,K. Walker enters the game for M. Carter-Williams
5:28.0,D. Green makes 2-pt shot from 3 ft (assist by R. Gay),2,27-24,,
5:04.0,,,27-24,,J. Lamb misses 3-pt shot from 26 ft
5:01.0,,,27-24,,Offensive rebound by D. Howard
5:00.0,,,27-24,,N. Batum misses 3-pt shot from 26 ft
5:00.0,,,27-24,,Offensive rebound by Team
5:00.0,Loose ball foul by P. Mills (drawn by F. Kaminsky),,27-24,,
5:00.0,M. Ginobili enters the game for D. Green,,27-24,,
5:00.0,D. Murray enters the game for P. Mills,,27-24,,
4:43.0,,,27-24,,Turnover by J. Lamb (bad pass; steal by K. Anderson)
4:38.0,R. Gay makes 2-pt shot from 2 ft (assist by K. Anderson),2,29-24,,
4:17.0,,,29-24,,D. Howard misses 2-pt shot from 2 ft
4:15.0,Defensive rebound by L. Aldridge,,29-24,,
4:04.0,,,29-24,,Def 3 sec tech foul by J. Lamb
4:04.0,L. Aldridge makes technical free throw,1,30-24,,
4:04.0,,,30-24,,M. Kidd-Gilchrist enters the game for J. Lamb
3:48.0,K. Anderson makes 2-pt shot from 2 ft,2,32-24,,
3:32.0,,,32-24,,Offensive foul by D. Howard (drawn by R. Gay)
3:32.0,,,32-24,,Turnover by D. Howard (offensive foul)
3:19.0,R. Gay makes 2-pt shot from 4 ft,2,34-24,,
3:19.0,Shooting foul by F. Kaminsky (drawn by R. Gay),,34-24,,
3:19.0,R. Gay makes free throw 1 of 1,1,35-24,,
3:04.0,,,35-27,3,F. Kaminsky makes 3-pt shot from 24 ft (assist by K. Walker)
2:47.0,L. Aldridge misses 3-pt shot from 26 ft,,35-27,,
2:44.0,,,35-27,,Defensive rebound by F. Kaminsky
2:39.0,,,35-27,,Turnover by K. Walker (bad pass)
2:39.0,San Antonio full timeout,,35-27,,
2:39.0,,,35-27,,M. Williams enters the game for F. Kaminsky
2:17.0,,,35-27,,Personal foul by M. Williams (drawn by R. Gay)
2:17.0,,,35-27,,F. Kaminsky enters the game for M. Williams
2:17.0,D. Green enters the game for K. Anderson,,35-27,,
2:07.0,R. Gay misses 3-pt shot from 27 ft,,35-27,,
2:04.0,,,35-27,,Defensive rebound by N. Batum
1:51.0,,,35-29,2,D. Howard makes 2-pt shot at rim
1:41.0,,,35-29,,Violation by D. Howard (kicked ball)
1:34.0,M. Ginobili makes 3-pt shot from 26 ft (assist by R. Gay),3,38-29,,
1:13.0,,,38-29,,D. Howard misses 2-pt shot from 2 ft
1:12.0,,,38-29,,Offensive rebound by Team
1:08.0,,,38-29,,N. Batum misses 2-pt shot from 18 ft
1:05.0,Defensive rebound by R. Gay,,38-29,,
1:00.0,M. Ginobili misses 3-pt shot from 26 ft,,38-29,,
0:56.0,,,38-29,,Defensive rebound by D. Howard
0:44.0,Violation by D. Green (kicked ball),,38-29,,
0:42.0,,,38-29,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by D. Green)
0:39.0,,,38-29,,Offensive rebound by K. Walker
0:33.0,,,38-29,,F. Kaminsky misses 2-pt shot from 16 ft
0:30.0,,,38-29,,Offensive rebound by D. Howard
0:30.0,,,38-29,,D. Howard misses 2-pt shot at rim
0:29.0,Defensive rebound by R. Gay,,38-29,,
0:17.0,L. Aldridge makes 2-pt shot from 12 ft (assist by M. Ginobili),2,40-29,,
0:02.0,,,40-29,,N. Batum misses 3-pt shot from 26 ft
0:02.0,Defensive rebound by R. Gay,,40-29,,
0:00.0,R. Gay misses 3-pt shot from 77 ft,,40-29,,
0:00.0,Offensive rebound by Team,,40-29,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,L. Aldridge misses 2-pt shot from 17 ft,,40-29,,
11:44.0,,,40-29,,Defensive rebound by D. Howard
11:28.0,,,40-31,2,D. Howard makes 2-pt shot from 5 ft (assist by M. Williams)
11:13.0,P. Gasol makes 3-pt shot from 23 ft (assist by L. Aldridge),3,43-31,,
10:54.0,,,43-33,2,K. Walker makes 2-pt shot from 2 ft
10:36.0,K. Anderson makes 2-pt shot from 1 ft (assist by P. Gasol),2,45-33,,
10:25.0,,,45-33,,K. Walker misses 3-pt shot from 26 ft
10:23.0,,,45-33,,Offensive rebound by D. Howard
10:20.0,,,45-33,,Shooting foul by P. Gasol (drawn by D. Howard)
10:20.0,,,45-34,1,D. Howard makes free throw 1 of 2
10:20.0,,,45-35,1,D. Howard makes free throw 2 of 2
10:09.0,Shooting foul by D. Howard (drawn by P. Gasol),,45-35,,
10:09.0,P. Gasol makes free throw 1 of 2,1,46-35,,
10:09.0,P. Gasol makes free throw 2 of 2,1,47-35,,
9:58.0,,,47-35,,M. Williams misses 3-pt shot from 28 ft
9:56.0,Defensive rebound by P. Mills,,47-35,,
9:49.0,P. Gasol misses 3-pt shot from 25 ft,,47-35,,
9:47.0,,,47-35,,Defensive rebound by M. Williams
9:43.0,,,47-37,2,M. Kidd-Gilchrist makes 2-pt shot from 4 ft (assist by N. Batum)
9:43.0,,,47-37,,Shooting foul by P. Gasol (drawn by M. Kidd-Gilchrist)
9:43.0,,,47-38,1,M. Kidd-Gilchrist makes free throw 1 of 1
9:32.0,P. Gasol misses 2-pt shot from 18 ft,,47-38,,
9:29.0,Offensive rebound by P. Mills,,47-38,,
9:27.0,P. Mills makes 3-pt shot from 23 ft,3,50-38,,
9:13.0,,,50-38,,K. Walker misses 2-pt shot from 3 ft
9:12.0,,,50-38,,Offensive rebound by D. Howard
9:12.0,,,50-38,,Shooting foul by L. Aldridge (drawn by D. Howard)
9:12.0,,,50-39,1,D. Howard makes free throw 1 of 2
9:12.0,,,50-40,1,D. Howard makes free throw 2 of 2
8:57.0,Turnover by P. Mills (bad pass),,50-40,,
8:57.0,,,50-40,,Charlotte full timeout
8:57.0,,,50-40,,M. Carter-Williams enters the game for K. Walker
8:44.0,,,50-42,2,N. Batum makes 2-pt shot from 19 ft (assist by M. Carter-Williams)
8:23.0,P. Gasol makes 2-pt shot from 6 ft,2,52-42,,
8:04.0,,,52-42,,M. Carter-Williams misses 3-pt shot from 28 ft
8:03.0,Defensive rebound by D. Green,,52-42,,
7:45.0,D. Green makes 3-pt shot from 23 ft (assist by P. Mills),3,55-42,,
7:37.0,,,55-42,,Turnover by M. Carter-Williams (bad pass; steal by K. Anderson)
7:34.0,K. Anderson makes 2-pt shot at rim,2,57-42,,
7:20.0,,,57-42,,Charlotte full timeout
7:06.0,,,57-42,,D. Howard misses 2-pt shot from 1 ft
7:04.0,Defensive rebound by P. Gasol,,57-42,,
6:56.0,Shooting foul by M. Carter-Williams (drawn by P. Mills),,57-42,,
6:56.0,P. Mills misses free throw 1 of 3,,57-42,,
6:56.0,Offensive rebound by Team,,57-42,,
6:56.0,P. Mills makes free throw 2 of 3,1,58-42,,
6:56.0,P. Mills makes free throw 3 of 3,1,59-42,,
6:43.0,,,59-42,,Turnover by M. Williams (lost ball; steal by K. Anderson)
6:20.0,P. Gasol misses 3-pt shot from 26 ft,,59-42,,
6:16.0,Offensive rebound by L. Aldridge,,59-42,,
6:00.0,L. Aldridge misses 2-pt shot from 11 ft,,59-42,,
5:56.0,Offensive rebound by K. Anderson,,59-42,,
5:56.0,K. Anderson misses 2-pt shot at rim,,59-42,,
5:55.0,,,59-42,,Defensive rebound by D. Howard
5:47.0,,,59-42,,M. Carter-Williams misses 2-pt shot from 15 ft
5:43.0,Defensive rebound by L. Aldridge,,59-42,,
5:35.0,P. Gasol misses 3-pt shot from 26 ft,,59-42,,
5:32.0,Offensive rebound by L. Aldridge,,59-42,,
5:27.0,D. Green misses 3-pt shot from 25 ft,,59-42,,
5:24.0,,,59-42,,Defensive rebound by D. Howard
5:13.0,,,59-42,,M. Kidd-Gilchrist misses 2-pt shot from 12 ft
5:11.0,Defensive rebound by D. Green,,59-42,,
5:10.0,San Antonio full timeout,,59-42,,
5:10.0,,,59-42,,F. Kaminsky enters the game for M. Williams
5:10.0,,,59-42,,M. Monk enters the game for M. Kidd-Gilchrist
5:02.0,,,59-42,,Personal foul by D. Howard (drawn by P. Mills)
5:02.0,R. Gay enters the game for P. Gasol,,59-42,,
5:02.0,D. Murray enters the game for P. Mills,,59-42,,
5:00.0,,,59-42,,Loose ball foul by M. Carter-Williams (drawn by D. Murray)
4:49.0,Turnover by D. Murray (turnover),,59-42,,
4:49.0,B. Forbes enters the game for K. Anderson,,59-42,,
4:49.0,M. Ginobili enters the game for D. Murray,,59-42,,
4:42.0,,,59-42,,Shooting foul by M. Ginobili (drawn by N. Batum)
4:42.0,,,59-43,1,N. Batum makes free throw 1 of 2
4:42.0,,,59-44,1,N. Batum makes free throw 2 of 2
4:25.0,,,59-44,,Personal foul by N. Batum (drawn by M. Ginobili)
4:25.0,M. Ginobili makes free throw 1 of 2,1,60-44,,
4:25.0,D. Murray enters the game for B. Forbes,,60-44,,
4:25.0,M. Ginobili makes free throw 2 of 2,1,61-44,,
4:14.0,,,61-44,,M. Carter-Williams misses 2-pt shot from 4 ft (block by L. Aldridge)
4:11.0,Defensive rebound by D. Green,,61-44,,
4:06.0,Turnover by D. Murray (bad pass; steal by M. Carter-Williams),,61-44,,
4:01.0,,,61-44,,D. Howard misses 2-pt shot from 4 ft
4:00.0,,,61-44,,Offensive rebound by M. Carter-Williams
3:57.0,,,61-44,,Turnover by M. Carter-Williams (bad pass)
3:57.0,,,61-44,,J. Lamb enters the game for N. Batum
3:57.0,,,61-44,,C. Zeller enters the game for D. Howard
3:41.0,Turnover by R. Gay (bad pass; steal by C. Zeller),,61-44,,
3:27.0,,,61-46,2,F. Kaminsky makes 2-pt shot from 13 ft (assist by M. Monk)
3:27.0,San Antonio full timeout,,61-46,,
3:27.0,,,61-46,,K. Walker enters the game for M. Carter-Williams
3:27.0,P. Gasol enters the game for L. Aldridge,,61-46,,
3:16.0,M. Ginobili makes 2-pt shot from 1 ft,2,63-46,,
2:54.0,,,63-48,2,J. Lamb makes 2-pt shot from 2 ft (assist by C. Zeller)
2:42.0,M. Ginobili misses 2-pt shot from 3 ft (block by C. Zeller),,63-48,,
2:42.0,Offensive rebound by Team,,63-48,,
2:42.0,B. Forbes enters the game for D. Green,,63-48,,
2:37.0,Turnover by R. Gay (out of bounds lost ball),,63-48,,
2:21.0,,,63-50,2,F. Kaminsky makes 2-pt shot from 13 ft
2:11.0,Shooting foul by K. Walker (drawn by P. Gasol),,63-50,,
2:11.0,P. Gasol makes free throw 1 of 2,1,64-50,,
2:11.0,P. Gasol makes free throw 2 of 2,1,65-50,,
1:58.0,,,65-52,2,K. Walker makes 2-pt shot from 17 ft (assist by J. Lamb)
1:39.0,Shooting foul by F. Kaminsky (drawn by B. Forbes),,65-52,,
1:39.0,B. Forbes makes free throw 1 of 2,1,66-52,,
1:39.0,B. Forbes misses free throw 2 of 2,,66-52,,
1:37.0,,,66-52,,Defensive rebound by J. Lamb
1:31.0,,,66-54,2,J. Lamb makes 2-pt shot from 2 ft
1:16.0,P. Gasol makes 2-pt shot from 18 ft (assist by D. Murray),2,68-54,,
1:09.0,,,68-54,,Offensive foul by C. Zeller (drawn by D. Murray)
1:09.0,,,68-54,,Turnover by C. Zeller (offensive foul)
0:55.0,R. Gay makes 2-pt shot from 5 ft,2,70-54,,
0:47.0,,,70-56,2,K. Walker makes 2-pt shot from 2 ft
0:34.0,D. Murray makes 2-pt shot from 2 ft,2,72-56,,
0:28.0,,,72-58,2,K. Walker makes 2-pt shot from 16 ft
0:04.0,P. Gasol misses 2-pt shot from 9 ft,,72-58,,
0:02.0,Offensive rebound by M. Ginobili,,72-58,,
0:00.0,M. Ginobili misses 3-pt shot from 24 ft,,72-58,,
0:00.0,Offensive rebound by Team,,72-58,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,72-58,,M. Monk misses 3-pt shot from 26 ft
11:44.0,Defensive rebound by L. Aldridge,,72-58,,
11:36.0,M. Ginobili makes 2-pt shot from 13 ft,2,74-58,,
11:20.0,,,74-60,2,K. Walker makes 2-pt shot from 2 ft
11:04.0,Shooting foul by F. Kaminsky (drawn by R. Gay),,74-60,,
11:04.0,R. Gay makes free throw 1 of 2,1,75-60,,
11:04.0,R. Gay makes free throw 2 of 2,1,76-60,,
10:50.0,,,76-62,2,M. Monk makes 2-pt shot from 4 ft (assist by K. Walker)
10:33.0,K. Anderson makes 2-pt shot from 4 ft,2,78-62,,
10:13.0,,,78-62,,Shooting foul by P. Mills (drawn by F. Kaminsky)
10:13.0,,,78-63,1,F. Kaminsky makes free throw 1 of 2
10:13.0,D. Green enters the game for M. Ginobili,,78-63,,
10:13.0,,,78-64,1,F. Kaminsky makes free throw 2 of 2
9:56.0,Shooting foul by J. Lamb (drawn by K. Anderson),,78-64,,
9:56.0,K. Anderson makes free throw 1 of 2,1,79-64,,
9:56.0,K. Anderson makes free throw 2 of 2,1,80-64,,
9:42.0,,,80-64,,Shooting foul by R. Gay (drawn by M. Monk)
9:42.0,,,80-64,,M. Monk misses free throw 1 of 3
9:42.0,,,80-64,,Offensive rebound by Team
9:42.0,,,80-65,1,M. Monk makes free throw 2 of 3
9:42.0,,,80-66,1,M. Monk makes free throw 3 of 3
9:26.0,D. Green misses 2-pt shot from 17 ft,,80-66,,
9:21.0,,,80-66,,Defensive rebound by J. Lamb
9:13.0,,,80-68,2,J. Lamb makes 2-pt shot from 4 ft
8:54.0,L. Aldridge makes 2-pt shot from 19 ft (assist by P. Mills),2,82-68,,
8:40.0,,,82-68,,Turnover by K. Walker (bad pass; steal by R. Gay)
8:32.0,P. Mills makes 2-pt shot at rim (assist by R. Gay),2,84-68,,
8:15.0,,,84-68,,J. Lamb misses 2-pt shot from 18 ft
8:13.0,Defensive rebound by D. Green,,84-68,,
8:08.0,Shooting foul by C. Zeller (drawn by L. Aldridge),,84-68,,
8:08.0,L. Aldridge makes free throw 1 of 2,1,85-68,,
8:08.0,B. Forbes enters the game for R. Gay,,85-68,,
8:08.0,L. Aldridge makes free throw 2 of 2,1,86-68,,
7:54.0,,,86-68,,F. Kaminsky misses 3-pt shot from 23 ft
7:52.0,Defensive rebound by K. Anderson,,86-68,,
7:48.0,Shooting foul by C. Zeller (drawn by L. Aldridge),,86-68,,
7:48.0,L. Aldridge makes free throw 1 of 2,1,87-68,,
7:48.0,L. Aldridge makes free throw 2 of 2,1,88-68,,
7:35.0,Personal foul by B. Forbes (drawn by C. Zeller),,88-68,,
7:35.0,D. Murray enters the game for P. Mills,,88-68,,
7:26.0,,,88-70,2,K. Walker makes 2-pt shot from 3 ft
7:13.0,K. Anderson makes 2-pt shot from 17 ft,2,90-70,,
7:00.0,,,90-72,2,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker)
6:36.0,L. Aldridge misses 2-pt shot from 15 ft,,90-72,,
6:31.0,,,90-72,,Defensive rebound by J. Lamb
6:29.0,,,90-72,,Turnover by J. Lamb (bad pass; steal by K. Anderson)
6:26.0,Turnover by K. Anderson (bad pass; steal by J. Lamb),,90-72,,
6:19.0,,,90-74,2,C. Zeller makes 2-pt shot from 3 ft (assist by J. Lamb)
5:58.0,B. Forbes makes 2-pt shot from 1 ft (assist by L. Aldridge),2,92-74,,
5:43.0,,,92-74,,F. Kaminsky misses 3-pt shot from 27 ft
5:41.0,Defensive rebound by D. Murray,,92-74,,
5:26.0,L. Aldridge misses 2-pt shot from 5 ft,,92-74,,
5:24.0,Offensive rebound by D. Murray,,92-74,,
5:07.0,B. Forbes misses 2-pt shot from 17 ft,,92-74,,
5:05.0,,,92-74,,Defensive rebound by K. Walker
5:00.0,,,92-74,,Shooting foul by D. Murray (drawn by K. Walker)
5:00.0,,,92-74,,Charlotte full timeout
5:00.0,,,92-74,,K. Walker misses free throw 1 of 2
5:00.0,,,92-74,,Offensive rebound by Team
5:00.0,,,92-75,1,K. Walker makes free throw 2 of 2
4:44.0,Turnover by K. Anderson (bad pass; steal by C. Zeller),,92-75,,
4:38.0,,,92-75,,Shooting foul by L. Aldridge (drawn by J. Lamb)
4:38.0,,,92-76,1,J. Lamb makes free throw 1 of 2
4:38.0,,,92-77,1,J. Lamb makes free throw 2 of 2
4:34.0,Turnover by D. Green (bad pass; steal by C. Zeller),,92-77,,
