time,Indiana,pts.away,score,pts.home,Portland
10:44.0,Defensive rebound by L. Stephenson,,32-29,,
10:36.0,A. Jefferson misses 2-pt shot from 17 ft,,32-29,,
10:32.0,,,32-29,,Defensive rebound by Z. Collins
10:25.0,,,32-29,,S. Napier misses 2-pt shot at rim
10:23.0,,,32-29,,Offensive rebound by E. Davis
10:22.0,,,32-31,2,E. Davis makes 2-pt shot at rim
10:09.0,J. Young makes 2-pt shot from 2 ft (assist by A. Jefferson),2,34-31,,
10:00.0,,,34-31,,C. McCollum misses 3-pt shot from 25 ft
9:58.0,Defensive rebound by Team,,34-31,,
9:39.0,L. Stephenson misses 3-pt shot from 26 ft,,34-31,,
9:35.0,,,34-31,,Defensive rebound by Z. Collins
9:28.0,,,34-33,2,C. McCollum makes 2-pt shot from 1 ft
9:10.0,C. Joseph misses 2-pt shot from 17 ft,,34-33,,
9:08.0,,,34-33,,Defensive rebound by S. Napier
9:01.0,,,34-33,,Z. Collins misses 2-pt shot from 9 ft
8:58.0,Defensive rebound by A. Jefferson,,34-33,,
8:49.0,A. Jefferson makes 2-pt shot from 10 ft (assist by L. Stephenson),2,36-33,,
8:49.0,Shooting foul by E. Davis (drawn by A. Jefferson),,36-33,,
8:49.0,,,36-33,,E. Turner enters the game for P. Connaughton
8:49.0,A. Jefferson makes free throw 1 of 1,1,37-33,,
8:36.0,,,37-33,,Shooting foul by T. Leaf (drawn by S. Napier)
8:36.0,,,37-34,1,S. Napier makes free throw 1 of 2
8:36.0,,,37-35,1,S. Napier makes free throw 2 of 2
8:20.0,T. Leaf makes 2-pt shot from 13 ft,2,39-35,,
8:05.0,,,39-35,,C. McCollum misses 2-pt shot from 15 ft
8:03.0,,,39-35,,Offensive rebound by E. Davis
8:02.0,,,39-37,2,E. Davis makes 2-pt shot from 1 ft
7:49.0,L. Stephenson misses 2-pt shot from 17 ft,,39-37,,
7:47.0,,,39-37,,Defensive rebound by Z. Collins
7:37.0,,,39-37,,E. Turner misses 2-pt shot from 12 ft
7:35.0,,,39-37,,Offensive rebound by E. Davis
7:33.0,,,39-39,2,E. Davis makes 2-pt shot from 1 ft
7:28.0,Indiana full timeout,,39-39,,
7:28.0,,,39-39,,A. Aminu enters the game for E. Davis
7:28.0,,,39-39,,J. Nurkic enters the game for Z. Collins
7:28.0,D. Sabonis enters the game for A. Jefferson,,39-39,,
7:13.0,C. Joseph misses 2-pt shot from 11 ft,,39-39,,
7:09.0,,,39-39,,Defensive rebound by J. Nurkic
6:57.0,,,39-39,,Turnover by S. Napier (bad pass)
6:57.0,T. Young enters the game for T. Leaf,,39-39,,
6:47.0,L. Stephenson misses 2-pt shot from 15 ft,,39-39,,
6:44.0,,,39-39,,Defensive rebound by A. Aminu
6:33.0,,,39-39,,Turnover by A. Aminu (out of bounds lost ball)
6:33.0,B. Bogdanovic enters the game for L. Stephenson,,39-39,,
6:19.0,T. Young misses 3-pt shot from 25 ft,,39-39,,
6:16.0,,,39-39,,Defensive rebound by J. Nurkic
6:08.0,,,39-39,,Turnover by E. Turner (out of bounds lost ball)
5:58.0,J. Young misses 2-pt shot from 20 ft,,39-39,,
5:53.0,,,39-39,,Defensive rebound by J. Nurkic
5:42.0,,,39-39,,C. McCollum misses 2-pt shot from 14 ft
5:39.0,Defensive rebound by J. Young,,39-39,,
5:36.0,B. Bogdanovic misses 3-pt shot from 23 ft,,39-39,,
5:32.0,,,39-39,,Defensive rebound by J. Nurkic
5:26.0,,,39-39,,A. Aminu misses 3-pt shot from 25 ft
5:24.0,Defensive rebound by Team,,39-39,,
5:24.0,,,39-39,,Personal foul by C. McCollum (drawn by C. Joseph)
5:24.0,,,39-39,,D. Lillard enters the game for C. McCollum
5:24.0,V. Oladipo enters the game for J. Young,,39-39,,
5:24.0,D. Collison enters the game for C. Joseph,,39-39,,
5:05.0,V. Oladipo makes 2-pt shot from 17 ft,2,41-39,,
4:54.0,,,41-39,,Turnover by J. Nurkic (lost ball; steal by D. Sabonis)
4:43.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by T. Young),2,43-39,,
4:25.0,,,43-41,2,S. Napier makes 2-pt shot from 20 ft
4:25.0,,,43-41,,Shooting foul by V. Oladipo (drawn by S. Napier)
4:25.0,,,43-42,1,S. Napier makes free throw 1 of 1
4:08.0,B. Bogdanovic misses 2-pt shot from 5 ft (block by D. Lillard),,43-42,,
4:04.0,,,43-42,,Defensive rebound by A. Aminu
3:59.0,,,43-42,,E. Turner misses 3-pt shot from 22 ft
3:55.0,,,43-42,,Offensive rebound by A. Aminu
3:50.0,,,43-42,,S. Napier misses 3-pt shot from 26 ft
3:47.0,,,43-42,,Offensive rebound by J. Nurkic
3:42.0,,,43-44,2,J. Nurkic makes 2-pt shot from 20 ft (assist by A. Aminu)
3:27.0,D. Collison makes 2-pt shot from 19 ft,2,45-44,,
3:10.0,,,45-44,,J. Nurkic misses 2-pt shot from 7 ft
3:06.0,,,45-44,,Offensive rebound by J. Nurkic
3:05.0,,,45-44,,J. Nurkic misses 2-pt shot from 3 ft
3:03.0,Defensive rebound by D. Sabonis,,45-44,,
3:01.0,V. Oladipo misses 2-pt shot from 2 ft (block by S. Napier),,45-44,,
2:57.0,Jump ball: S. Napier vs. V. Oladipo (A. Aminu gains possession),,,,Jump ball: S. Napier vs. V. Oladipo (A. Aminu gains possession)
2:57.0,,,45-44,,Offensive rebound by Team
2:55.0,,,45-46,2,D. Lillard makes 2-pt shot at rim (assist by A. Aminu)
2:39.0,V. Oladipo misses 3-pt shot from 26 ft,,45-46,,
2:36.0,,,45-46,,Defensive rebound by J. Nurkic
2:28.0,,,45-46,,D. Lillard misses 2-pt shot from 6 ft
2:25.0,Defensive rebound by T. Young,,45-46,,
2:16.0,T. Young misses 3-pt shot from 23 ft,,45-46,,
2:14.0,,,45-46,,Defensive rebound by A. Aminu
2:04.0,,,45-46,,J. Nurkic misses 2-pt shot from 21 ft
2:01.0,Defensive rebound by B. Bogdanovic,,45-46,,
1:40.0,D. Sabonis makes 2-pt shot from 1 ft (assist by D. Collison),2,47-46,,
1:38.0,,,47-46,,Portland full timeout
1:38.0,,,47-46,,C. McCollum enters the game for S. Napier
1:20.0,,,47-46,,A. Aminu misses 2-pt shot from 11 ft
1:17.0,Defensive rebound by V. Oladipo,,47-46,,
1:03.0,T. Young misses 2-pt shot from 1 ft,,47-46,,
1:00.0,,,47-46,,Defensive rebound by J. Nurkic
0:52.0,,,47-46,,Shooting foul by D. Sabonis (drawn by D. Lillard)
0:52.0,,,47-47,1,D. Lillard makes free throw 1 of 2
0:52.0,,,47-48,1,D. Lillard makes free throw 2 of 2
0:33.0,Offensive foul by D. Sabonis (drawn by C. McCollum),,47-48,,
0:33.0,Turnover by D. Sabonis (offensive foul),,47-48,,
0:33.0,A. Jefferson enters the game for D. Sabonis,,47-48,,
0:30.0,,,47-48,,Shooting foul by A. Jefferson (drawn by J. Nurkic)
0:30.0,,,47-49,1,J. Nurkic makes free throw 1 of 2
0:30.0,,,47-50,1,J. Nurkic makes free throw 2 of 2
0:12.0,Turnover by V. Oladipo (lost ball; steal by J. Nurkic),,47-50,,
0:01.0,,,47-52,2,D. Lillard makes 2-pt shot from 1 ft
0:00.0,Turnover by T. Young (bad pass; steal by J. Nurkic),,47-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by J. Nurkic),,47-52,,
11:49.0,Offensive rebound by Team,,47-52,,
11:34.0,V. Oladipo misses 3-pt shot from 26 ft,,47-52,,
11:32.0,,,47-52,,Defensive rebound by A. Aminu
11:14.0,,,47-52,,E. Turner misses 3-pt shot from 26 ft
11:13.0,Defensive rebound by Team,,47-52,,
11:04.0,D. Collison misses 2-pt shot from 17 ft,,47-52,,
11:01.0,,,47-52,,Defensive rebound by J. Nurkic
10:54.0,,,47-52,,D. Lillard misses 2-pt shot from 2 ft
10:54.0,Defensive rebound by D. Sabonis,,47-52,,
10:35.0,V. Oladipo misses 3-pt shot from 27 ft,,47-52,,
10:35.0,,,47-52,,Defensive rebound by E. Turner
10:13.0,,,47-52,,D. Lillard misses 2-pt shot from 1 ft
10:10.0,Defensive rebound by T. Young,,47-52,,
10:06.0,D. Sabonis makes 2-pt shot from 1 ft (assist by T. Young),2,49-52,,
9:50.0,,,49-54,2,C. McCollum makes 2-pt shot from 12 ft (assist by D. Lillard)
9:40.0,V. Oladipo makes 2-pt shot from 2 ft,2,51-54,,
9:40.0,,,51-54,,Violation by J. Nurkic (def goaltending)
9:19.0,,,51-54,,J. Nurkic misses 2-pt shot from 11 ft
9:16.0,Defensive rebound by T. Young,,51-54,,
9:08.0,T. Young makes 2-pt shot from 2 ft,2,53-54,,
8:55.0,,,53-57,3,A. Aminu makes 3-pt shot from 22 ft (assist by C. McCollum)
8:38.0,D. Sabonis misses 2-pt shot from 21 ft,,53-57,,
8:36.0,,,53-57,,Defensive rebound by A. Aminu
8:31.0,,,53-57,,E. Turner misses 2-pt shot from 12 ft
8:31.0,Defensive rebound by T. Young,,53-57,,
8:21.0,D. Sabonis makes 2-pt shot at rim (assist by V. Oladipo),2,55-57,,
8:21.0,Shooting foul by A. Aminu (drawn by D. Sabonis),,55-57,,
8:21.0,D. Sabonis makes free throw 1 of 1,1,56-57,,
8:06.0,,,56-57,,A. Aminu misses 3-pt shot from 26 ft
8:01.0,,,56-57,,Offensive rebound by J. Nurkic
8:01.0,,,56-59,2,J. Nurkic makes 2-pt shot at rim
7:42.0,T. Young misses 2-pt shot from 17 ft,,56-59,,
7:39.0,,,56-59,,Defensive rebound by J. Nurkic
7:34.0,,,56-59,,Turnover by D. Lillard (bad pass; steal by T. Young)
7:28.0,B. Bogdanovic misses 3-pt shot from 25 ft,,56-59,,
7:23.0,Offensive rebound by B. Bogdanovic,,56-59,,
7:12.0,Turnover by D. Sabonis (traveling),,56-59,,
7:02.0,,,56-59,,C. McCollum misses 3-pt shot from 27 ft
6:59.0,Defensive rebound by B. Bogdanovic,,56-59,,
6:48.0,V. Oladipo makes 3-pt shot from 25 ft (assist by D. Sabonis),3,59-59,,
6:27.0,,,59-59,,D. Lillard misses 3-pt shot from 25 ft
6:26.0,,,59-59,,Offensive rebound by Team
6:26.0,,,59-59,,Portland full timeout
6:09.0,,,59-59,,Turnover by J. Nurkic (out of bounds lost ball)
5:58.0,V. Oladipo misses 2-pt shot from 19 ft,,59-59,,
5:55.0,,,59-59,,Defensive rebound by D. Lillard
5:47.0,,,59-62,3,C. McCollum makes 3-pt shot from 26 ft (assist by D. Lillard)
5:33.0,B. Bogdanovic misses 2-pt shot from 9 ft,,59-62,,
5:30.0,,,59-62,,Defensive rebound by E. Turner
5:28.0,,,59-62,,Turnover by E. Turner (lost ball; steal by D. Collison)
5:23.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by V. Oladipo),2,61-62,,
4:58.0,,,61-62,,A. Aminu misses 2-pt shot from 6 ft
4:56.0,Defensive rebound by D. Sabonis,,61-62,,
4:45.0,V. Oladipo misses 3-pt shot from 25 ft,,61-62,,
4:41.0,Offensive rebound by T. Young,,61-62,,
4:40.0,D. Collison makes 3-pt shot from 23 ft (assist by T. Young),3,64-62,,
4:13.0,,,64-62,,C. McCollum misses 3-pt shot from 26 ft
4:10.0,Defensive rebound by D. Sabonis,,64-62,,
3:59.0,D. Collison makes 2-pt shot from 14 ft,2,66-62,,
3:34.0,,,66-62,,E. Turner misses 2-pt shot from 11 ft
3:32.0,Defensive rebound by T. Young,,66-62,,
3:28.0,V. Oladipo misses 2-pt shot from 13 ft,,66-62,,
3:28.0,,,66-62,,Defensive rebound by A. Aminu
3:15.0,,,66-62,,D. Lillard misses 2-pt shot from 3 ft
3:10.0,,,66-62,,Offensive rebound by J. Nurkic
3:10.0,,,66-64,2,J. Nurkic makes 2-pt shot at rim
2:49.0,T. Young misses 2-pt shot from 16 ft,,66-64,,
2:46.0,Offensive rebound by D. Sabonis,,66-64,,
2:43.0,D. Collison makes 3-pt shot from 22 ft (assist by D. Sabonis),3,69-64,,
2:26.0,Away from play foul by T. Young (drawn by J. Nurkic),,69-64,,
2:26.0,Indiana full timeout,,69-64,,
2:26.0,,,69-64,,Z. Collins enters the game for E. Turner
2:26.0,,,69-64,,S. Napier enters the game for C. McCollum
2:26.0,,,69-64,,E. Davis enters the game for A. Aminu
2:26.0,,,69-64,,P. Connaughton enters the game for J. Nurkic
2:26.0,C. Joseph enters the game for V. Oladipo,,69-64,,
2:26.0,A. Jefferson enters the game for T. Young,,69-64,,
2:26.0,T. Leaf enters the game for D. Sabonis,,69-64,,
2:15.0,,,69-64,,P. Connaughton misses 2-pt shot from 17 ft
2:11.0,,,69-64,,Offensive rebound by E. Davis
1:57.0,,,69-66,2,E. Davis makes 2-pt shot from 1 ft (assist by S. Napier)
1:40.0,D. Collison makes 3-pt shot from 25 ft (assist by C. Joseph),3,72-66,,
1:22.0,,,72-68,2,D. Lillard makes 2-pt shot from 1 ft
1:04.0,A. Jefferson makes 2-pt shot from 14 ft (assist by D. Collison),2,74-68,,
0:46.0,,,74-71,3,D. Lillard makes 3-pt shot from 26 ft
0:30.0,D. Collison misses 3-pt shot from 25 ft (block by Z. Collins),,74-71,,
0:28.0,Offensive rebound by T. Leaf,,74-71,,
0:26.0,T. Leaf misses 2-pt shot from 1 ft,,74-71,,
0:24.0,,,74-71,,Defensive rebound by D. Lillard
0:06.0,,,74-71,,D. Lillard misses 3-pt shot from 28 ft
0:02.0,Defensive rebound by A. Jefferson,,74-71,,
0:01.0,Turnover by A. Jefferson (bad pass; steal by S. Napier),,74-71,,
0:00.0,,,74-74,3,S. Napier makes 3-pt shot from 23 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,74-74,,S. Napier misses 2-pt shot from 19 ft
11:40.0,,,74-74,,Offensive rebound by Z. Collins
11:40.0,,,74-76,2,Z. Collins makes 2-pt shot at rim
11:24.0,A. Jefferson misses 2-pt shot from 8 ft,,74-76,,
11:22.0,,,74-76,,Defensive rebound by E. Davis
11:15.0,,,74-76,,Portland full timeout
11:15.0,,,74-76,,D. Lillard enters the game for C. McCollum
11:09.0,,,74-76,,S. Napier misses 2-pt shot from 2 ft (block by A. Jefferson)
11:07.0,Defensive rebound by T. Leaf,,74-76,,
10:53.0,C. Joseph misses 3-pt shot from 22 ft,,74-76,,
10:51.0,,,74-76,,Defensive rebound by Z. Collins
10:41.0,,,74-76,,D. Lillard misses 2-pt shot from 8 ft
10:39.0,Defensive rebound by L. Stephenson,,74-76,,
10:25.0,T. Leaf misses 3-pt shot from 26 ft,,74-76,,
10:22.0,Offensive rebound by C. Joseph,,74-76,,
10:14.0,L. Stephenson misses 2-pt shot from 19 ft,,74-76,,
10:11.0,,,74-76,,Defensive rebound by S. Napier
9:55.0,,,74-79,3,S. Napier makes 3-pt shot from 25 ft (assist by D. Lillard)
9:43.0,A. Jefferson misses 2-pt shot from 10 ft,,74-79,,
9:41.0,,,74-79,,Defensive rebound by Z. Collins
9:34.0,,,74-82,3,D. Lillard makes 3-pt shot from 26 ft
9:33.0,Indiana full timeout,,74-82,,
9:33.0,,,74-82,,C. McCollum enters the game for P. Connaughton
9:33.0,V. Oladipo enters the game for J. Young,,74-82,,
9:33.0,T. Young enters the game for T. Leaf,,74-82,,
9:33.0,D. Sabonis enters the game for A. Jefferson,,74-82,,
9:21.0,Shooting foul by E. Davis (drawn by L. Stephenson),,74-82,,
9:21.0,L. Stephenson misses free throw 1 of 2,,74-82,,
9:21.0,Offensive rebound by Team,,74-82,,
9:21.0,L. Stephenson misses free throw 2 of 2,,74-82,,
9:17.0,Offensive rebound by D. Sabonis,,74-82,,
9:15.0,L. Stephenson misses 3-pt shot from 25 ft,,74-82,,
9:11.0,Offensive rebound by V. Oladipo,,74-82,,
9:08.0,V. Oladipo misses 3-pt shot from 25 ft,,74-82,,
9:05.0,,,74-82,,Defensive rebound by E. Davis
8:52.0,,,74-82,,D. Lillard misses 2-pt shot from 22 ft
8:49.0,Defensive rebound by V. Oladipo,,74-82,,
8:43.0,L. Stephenson misses 3-pt shot from 25 ft,,74-82,,
8:40.0,,,74-82,,Defensive rebound by E. Davis
8:33.0,,,74-82,,C. McCollum misses 2-pt shot from 9 ft
8:31.0,,,74-82,,Offensive rebound by E. Davis
8:18.0,,,74-82,,S. Napier misses 2-pt shot from 17 ft
8:15.0,Defensive rebound by C. Joseph,,74-82,,
8:00.0,D. Sabonis misses 2-pt shot from 1 ft,,74-82,,
7:54.0,Offensive rebound by T. Young,,74-82,,
7:54.0,T. Young makes 2-pt shot at rim,2,76-82,,
7:30.0,,,76-84,2,S. Napier makes 2-pt shot from 13 ft
7:20.0,Turnover by V. Oladipo (lost ball; steal by C. McCollum),,76-84,,
7:20.0,,,76-84,,Turnover by D. Lillard (out of bounds lost ball)
7:20.0,,,76-84,,J. Nurkic enters the game for E. Davis
7:20.0,,,76-84,,A. Aminu enters the game for Z. Collins
7:20.0,D. Collison enters the game for L. Stephenson,,76-84,,
7:11.0,Turnover by D. Sabonis (lost ball; steal by A. Aminu),,76-84,,
6:52.0,,,76-84,,A. Aminu misses 3-pt shot from 26 ft
6:48.0,Defensive rebound by T. Young,,76-84,,
6:41.0,V. Oladipo misses 2-pt shot from 17 ft,,76-84,,
6:39.0,,,76-84,,Defensive rebound by A. Aminu
6:29.0,,,76-84,,J. Nurkic misses 2-pt shot from 3 ft (block by V. Oladipo)
6:26.0,Defensive rebound by T. Young,,76-84,,
6:18.0,T. Young misses 2-pt shot at rim,,76-84,,
6:17.0,Offensive rebound by T. Young,,76-84,,
6:17.0,T. Young misses 2-pt shot at rim,,76-84,,
6:17.0,,,76-84,,Defensive rebound by Team
6:02.0,,,76-84,,Shooting foul by D. Collison (drawn by D. Lillard)
6:02.0,,,76-85,1,D. Lillard makes free throw 1 of 3
6:02.0,,,76-86,1,D. Lillard makes free throw 2 of 3
6:02.0,,,76-87,1,D. Lillard makes free throw 3 of 3
5:42.0,D. Collison misses 2-pt shot from 20 ft,,76-87,,
5:39.0,,,76-87,,Defensive rebound by C. McCollum
5:20.0,,,76-87,,J. Nurkic misses 2-pt shot from 13 ft
5:18.0,,,76-87,,Offensive rebound by D. Lillard
5:18.0,,,76-89,2,D. Lillard makes 2-pt shot at rim
5:18.0,Indiana full timeout,,76-89,,
5:08.0,Shooting foul by C. McCollum (drawn by V. Oladipo),,76-89,,
5:08.0,V. Oladipo misses free throw 1 of 2,,76-89,,
5:08.0,Offensive rebound by Team,,76-89,,
5:08.0,V. Oladipo makes free throw 2 of 2,1,77-89,,
4:52.0,,,77-89,,C. McCollum misses 3-pt shot from 27 ft
4:51.0,,,77-89,,Offensive rebound by Team
4:51.0,Loose ball foul by D. Sabonis (drawn by J. Nurkic),,77-89,,
4:43.0,,,77-91,2,D. Lillard makes 2-pt shot from 10 ft
4:43.0,,,77-91,,Shooting foul by D. Sabonis (drawn by D. Lillard)
4:43.0,,,77-92,1,D. Lillard makes free throw 1 of 1
4:32.0,V. Oladipo makes 2-pt shot from 10 ft,2,79-92,,
4:17.0,,,79-92,,D. Lillard misses 3-pt shot from 25 ft
4:14.0,Defensive rebound by T. Young,,79-92,,
4:05.0,V. Oladipo misses 3-pt shot from 25 ft,,79-92,,
4:03.0,,,79-92,,Defensive rebound by S. Napier
3:51.0,,,79-92,,Turnover by J. Nurkic (traveling)
3:40.0,D. Collison misses 2-pt shot from 15 ft (block by S. Napier),,79-92,,
3:33.0,,,79-92,,Defensive rebound by S. Napier
3:33.0,Personal foul by D. Collison (drawn by S. Napier),,79-92,,
3:33.0,,,79-92,,Portland full timeout
3:19.0,,,79-92,,A. Aminu misses 3-pt shot from 25 ft
3:16.0,Defensive rebound by V. Oladipo,,79-92,,
3:06.0,D. Collison makes 3-pt shot from 23 ft (assist by C. Joseph),3,82-92,,
2:48.0,,,82-92,,C. McCollum misses 3-pt shot from 25 ft
2:46.0,Defensive rebound by T. Young,,82-92,,
