time,Memphis,pts.away,score,pts.home,Cleveland
9:21.0,,,36-35,2,D. Wade makes 2-pt shot from 1 ft
9:10.0,J. Martin misses 2-pt shot from 10 ft,,36-35,,
9:06.0,,,36-35,,Defensive rebound by C. Frye
8:54.0,,,36-37,2,C. Frye makes 2-pt shot from 5 ft
8:44.0,Memphis full timeout,,36-37,,
8:44.0,J. Green enters the game for J. Martin,,36-37,,
8:44.0,T. Evans enters the game for M. Chalmers,,36-37,,
8:31.0,Turnover by J. Ennis (lost ball; steal by J. Green),,36-37,,
8:23.0,,,36-39,2,D. Wade makes 2-pt shot at rim (assist by J. Green)
8:08.0,J. Green makes 2-pt shot from 20 ft (assist by B. McLemore),2,38-39,,
7:44.0,,,38-39,,D. Wade misses 2-pt shot from 18 ft
7:42.0,Defensive rebound by J. Green,,38-39,,
7:34.0,T. Evans makes 2-pt shot from 3 ft,2,40-39,,
7:14.0,,,40-41,2,J. Green makes 2-pt shot at rim (assist by K. Korver)
6:50.0,Shooting foul by C. Osman (drawn by T. Evans),,40-41,,
6:50.0,T. Evans makes free throw 1 of 3,1,41-41,,
6:50.0,T. Evans makes free throw 2 of 3,1,42-41,,
6:50.0,D. Brooks enters the game for J. Ennis,,42-41,,
6:50.0,T. Evans makes free throw 3 of 3,1,43-41,,
6:40.0,,,43-44,3,K. Korver makes 3-pt shot from 25 ft (assist by D. Wade)
6:18.0,J. Green misses 3-pt shot from 22 ft,,43-44,,
6:14.0,,,43-44,,Defensive rebound by J. Green
6:08.0,,,43-46,2,D. Wade makes 2-pt shot from 1 ft
5:57.0,Shooting foul by C. Frye (drawn by T. Evans),,43-46,,
5:57.0,T. Evans makes free throw 1 of 2,1,44-46,,
5:57.0,,,44-46,,L. James enters the game for C. Osman
5:57.0,T. Evans makes free throw 2 of 2,1,45-46,,
5:48.0,,,45-46,,D. Wade misses 2-pt shot from 5 ft
5:46.0,Defensive rebound by M. Gasol,,45-46,,
5:45.0,Turnover by M. Gasol (bad pass; steal by J. Green),,45-46,,
5:36.0,,,45-49,3,K. Korver makes 3-pt shot from 24 ft (assist by D. Wade)
5:26.0,B. McLemore misses 3-pt shot from 26 ft,,45-49,,
5:26.0,,,45-49,,Defensive rebound by J. Green
5:01.0,,,45-49,,L. James misses 2-pt shot from 15 ft
5:00.0,Defensive rebound by T. Evans,,45-49,,
4:57.0,Turnover by T. Evans (bad pass),,45-49,,
4:57.0,,,45-49,,J. Smith enters the game for D. Wade
4:57.0,M. Chalmers enters the game for B. McLemore,,45-49,,
4:50.0,,,45-49,,Offensive foul by J. Smith (drawn by M. Chalmers)
4:50.0,,,45-49,,Turnover by J. Smith (offensive foul)
4:31.0,M. Gasol makes 2-pt shot from 10 ft,2,47-49,,
4:31.0,Shooting foul by C. Frye (drawn by M. Gasol),,47-49,,
4:31.0,,,47-49,,K. Love enters the game for C. Frye
4:31.0,M. Gasol misses free throw 1 of 1,,47-49,,
4:31.0,,,47-49,,Defensive rebound by K. Love
4:21.0,,,47-51,2,L. James makes 2-pt shot from 2 ft
4:21.0,,,47-51,,Shooting foul by D. Brooks (drawn by L. James)
4:21.0,,,47-52,1,L. James makes free throw 1 of 1
4:07.0,T. Evans misses 3-pt shot from 26 ft,,47-52,,
4:07.0,Offensive rebound by Team,,47-52,,
4:06.0,,,47-52,,Loose ball foul by J. Green (drawn by T. Evans)
3:52.0,Turnover by J. Green (traveling),,47-52,,
3:37.0,,,47-52,,J. Green misses 2-pt shot from 6 ft (block by M. Chalmers)
3:36.0,,,47-52,,Offensive rebound by J. Green
3:34.0,,,47-52,,J. Green misses 2-pt shot from 2 ft
3:33.0,Defensive rebound by M. Chalmers,,47-52,,
3:22.0,M. Gasol misses 2-pt shot from 11 ft,,47-52,,
3:22.0,,,47-52,,Defensive rebound by K. Love
3:13.0,,,47-54,2,L. James makes 2-pt shot from 1 ft
3:13.0,,,47-54,,Shooting foul by M. Chalmers (drawn by L. James)
3:13.0,,,47-54,,J. Crowder enters the game for J. Green
3:13.0,,,47-55,1,L. James makes free throw 1 of 1
3:02.0,M. Chalmers misses 3-pt shot from 25 ft,,47-55,,
2:58.0,,,47-55,,Defensive rebound by K. Love
2:43.0,,,47-58,3,K. Love makes 3-pt shot from 22 ft (assist by L. James)
2:41.0,Memphis full timeout,,47-58,,
2:23.0,M. Gasol misses 2-pt shot from 10 ft,,47-58,,
2:19.0,,,47-58,,Defensive rebound by K. Love
2:12.0,,,47-60,2,L. James makes 2-pt shot at rim (assist by K. Love)
2:12.0,,,47-60,,Shooting foul by M. Chalmers (drawn by L. James)
2:12.0,,,47-61,1,L. James makes free throw 1 of 1
1:48.0,T. Evans makes 2-pt shot from 1 ft (assist by M. Chalmers),2,49-61,,
1:48.0,Shooting foul by L. James (drawn by T. Evans),,49-61,,
1:48.0,B. McLemore enters the game for J. Green,,49-61,,
1:48.0,J. Martin enters the game for M. Chalmers,,49-61,,
1:48.0,T. Evans makes free throw 1 of 1,1,50-61,,
1:31.0,,,50-61,,J. Crowder misses 3-pt shot from 24 ft
1:28.0,Defensive rebound by T. Evans,,50-61,,
1:10.0,M. Gasol misses 2-pt shot from 8 ft,,50-61,,
1:07.0,,,50-61,,Defensive rebound by K. Love
1:06.0,,,50-61,,Turnover by L. James (bad pass)
1:06.0,J. Green enters the game for M. Gasol,,50-61,,
0:49.0,J. Green misses 2-pt shot from 3 ft (block by K. Korver),,50-61,,
0:49.0,Offensive rebound by Team,,50-61,,
0:42.0,D. Brooks misses 2-pt shot from 18 ft,,50-61,,
0:42.0,,,50-61,,Defensive rebound by K. Love
0:34.0,,,50-64,3,J. Smith makes 3-pt shot from 24 ft (assist by L. James)
0:11.0,T. Evans misses 2-pt shot from 3 ft,,50-64,,
0:06.0,Offensive rebound by T. Evans,,50-64,,
0:05.0,T. Evans makes 2-pt shot from 3 ft,2,52-64,,
0:00.0,,,52-66,2,L. James makes 2-pt shot from 16 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,52-66,,J. Crowder misses 3-pt shot from 25 ft
11:42.0,Defensive rebound by J. Green,,52-66,,
11:30.0,J. Green makes 2-pt shot from 19 ft (assist by D. Brooks),2,54-66,,
11:08.0,,,54-68,2,J. Smith makes 2-pt shot from 7 ft
10:51.0,Turnover by D. Brooks (bad pass; steal by J. Smith),,54-68,,
10:45.0,,,54-71,3,K. Love makes 3-pt shot from 26 ft (assist by J. Calderon)
10:21.0,D. Brooks makes 2-pt shot from 1 ft (assist by T. Evans),2,56-71,,
9:57.0,,,56-74,3,J. Crowder makes 3-pt shot from 26 ft (assist by L. James)
9:32.0,T. Evans makes 3-pt shot from 25 ft (assist by J. Green),3,59-74,,
9:10.0,,,59-74,,K. Love misses 3-pt shot from 22 ft
9:08.0,Defensive rebound by D. Brooks,,59-74,,
8:58.0,M. Gasol makes 2-pt shot from 11 ft (assist by T. Evans),2,61-74,,
8:56.0,,,61-74,,Cleveland full timeout
8:42.0,,,61-77,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
8:23.0,Turnover by D. Brooks (bad pass; steal by J. Smith),,61-77,,
8:14.0,,,61-79,2,L. James makes 2-pt shot from 2 ft
8:00.0,T. Evans misses 2-pt shot from 22 ft,,61-79,,
8:00.0,,,61-79,,Defensive rebound by K. Love
7:46.0,,,61-79,,L. James misses 2-pt shot from 13 ft
7:42.0,Defensive rebound by M. Gasol,,61-79,,
7:37.0,,,61-79,,Personal foul by J. Calderon (drawn by T. Evans)
7:33.0,B. McLemore misses 2-pt shot from 16 ft,,61-79,,
7:30.0,,,61-79,,Defensive rebound by J. Smith
7:25.0,,,61-79,,K. Love misses 2-pt shot from 3 ft (block by J. Green)
7:22.0,Defensive rebound by T. Evans,,61-79,,
7:18.0,B. McLemore makes 3-pt shot from 23 ft (assist by T. Evans),3,64-79,,
7:01.0,,,64-81,2,J. Smith makes 2-pt shot from 1 ft (assist by L. James)
6:45.0,T. Evans misses 2-pt shot from 6 ft,,64-81,,
6:45.0,Offensive rebound by J. Green,,64-81,,
6:45.0,J. Green misses 2-pt shot at rim,,64-81,,
6:43.0,,,64-81,,Defensive rebound by J. Smith
6:39.0,A. Harrison enters the game for M. Gasol,,64-81,,
6:26.0,,,64-81,,J. Smith misses 3-pt shot from 22 ft
6:26.0,Defensive rebound by D. Brooks,,64-81,,
6:17.0,A. Harrison makes 3-pt shot from 26 ft (assist by D. Brooks),3,67-81,,
6:00.0,,,67-81,,K. Love misses 2-pt shot from 2 ft
6:00.0,Defensive rebound by D. Brooks,,67-81,,
5:55.0,J. Green makes 2-pt shot at rim (assist by T. Evans),2,69-81,,
5:55.0,,,69-81,,Cleveland full timeout
5:55.0,,,69-81,,K. Korver enters the game for L. James
5:55.0,,,69-81,,D. Wade enters the game for J. Calderon
5:45.0,,,69-81,,Turnover by J. Smith (lost ball; steal by A. Harrison)
5:42.0,Offensive charge foul by J. Green (drawn by K. Love),,69-81,,
5:42.0,Turnover by J. Green (offensive foul),,69-81,,
5:20.0,,,69-81,,Shooting foul by B. McLemore (drawn by J. Smith)
5:20.0,,,69-82,1,J. Smith makes free throw 1 of 2
5:20.0,,,69-82,,J. Smith misses free throw 2 of 2
5:18.0,Defensive rebound by T. Evans,,69-82,,
5:09.0,J. Green makes 3-pt shot from 25 ft (assist by T. Evans),3,72-82,,
5:01.0,,,72-82,,Shooting foul by T. Evans (drawn by K. Love)
5:01.0,,,72-83,1,K. Love makes free throw 1 of 2
5:01.0,,,72-84,1,K. Love makes free throw 2 of 2
4:46.0,J. Green misses 2-pt shot from 3 ft (block by K. Korver),,72-84,,
4:42.0,,,72-84,,Defensive rebound by J. Smith
4:39.0,,,72-86,2,K. Love makes 2-pt shot at rim (assist by J. Smith)
4:36.0,Memphis full timeout,,72-86,,
4:36.0,,,72-86,,L. James enters the game for K. Love
4:20.0,Turnover by B. McLemore (lost ball; steal by D. Wade),,72-86,,
4:14.0,,,72-88,2,L. James makes 2-pt shot from 3 ft (assist by D. Wade)
3:51.0,T. Evans misses 3-pt shot from 29 ft,,72-88,,
3:47.0,,,72-88,,Defensive rebound by K. Korver
3:28.0,,,72-90,2,D. Wade makes 2-pt shot from 9 ft
3:28.0,,,72-90,,Shooting foul by B. McLemore (drawn by D. Wade)
3:28.0,M. Chalmers enters the game for T. Evans,,72-90,,
3:28.0,M. Gasol enters the game for B. McLemore,,72-90,,
3:28.0,,,72-91,1,D. Wade makes free throw 1 of 1
3:04.0,J. Green makes 3-pt shot from 23 ft (assist by A. Harrison),3,75-91,,
2:45.0,,,75-91,,K. Korver misses 3-pt shot from 25 ft
2:42.0,Defensive rebound by M. Gasol,,75-91,,
2:34.0,,,75-91,,Personal foul by D. Wade (drawn by D. Brooks)
2:34.0,,,75-91,,C. Frye enters the game for J. Smith
2:34.0,,,75-91,,J. Green enters the game for J. Crowder
2:34.0,J. Ennis enters the game for J. Green,,75-91,,
2:34.0,J. Martin enters the game for D. Brooks,,75-91,,
2:21.0,A. Harrison makes 3-pt shot from 25 ft (assist by M. Gasol),3,78-91,,
2:03.0,,,78-91,,Turnover by D. Wade (bad pass; steal by M. Gasol)
1:58.0,A. Harrison misses 2-pt shot from 1 ft (block by D. Wade),,78-91,,
1:58.0,,,78-91,,Defensive rebound by C. Frye
1:46.0,,,78-91,,Turnover by L. James (lost ball; steal by M. Gasol)
1:43.0,Shooting foul by C. Frye (drawn by A. Harrison),,78-91,,
1:43.0,A. Harrison makes free throw 1 of 2,1,79-91,,
1:43.0,A. Harrison makes free throw 2 of 2,1,80-91,,
1:18.0,,,80-91,,C. Frye misses 2-pt shot from 22 ft
1:17.0,Defensive rebound by J. Martin,,80-91,,
1:06.0,M. Chalmers misses 2-pt shot from 2 ft,,80-91,,
1:02.0,,,80-91,,Defensive rebound by C. Frye
0:48.0,,,80-91,,L. James misses 2-pt shot from 2 ft (block by M. Gasol)
0:46.0,Defensive rebound by J. Martin,,80-91,,
0:43.0,M. Chalmers misses 3-pt shot from 25 ft,,80-91,,
0:43.0,,,80-91,,Defensive rebound by D. Wade
0:33.0,,,80-93,2,D. Wade makes 2-pt shot from 6 ft
0:12.0,M. Gasol makes 2-pt shot from 17 ft (assist by A. Harrison),2,82-93,,
0:01.0,,,82-93,,L. James misses 2-pt shot from 21 ft
0:01.0,Defensive rebound by M. Chalmers,,82-93,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,M. Gasol makes 3-pt shot from 25 ft (assist by J. Martin),3,85-93,,
11:24.0,,,85-95,2,C. Frye makes 2-pt shot from 3 ft (assist by L. James)
10:59.0,A. Harrison makes 2-pt shot from 1 ft,2,87-95,,
10:59.0,Shooting foul by C. Frye (drawn by A. Harrison),,87-95,,
10:59.0,A. Harrison misses free throw 1 of 1,,87-95,,
10:57.0,,,87-95,,Defensive rebound by L. James
10:42.0,,,87-95,,Turnover by L. James (bad pass; steal by T. Evans)
10:32.0,M. Gasol makes 2-pt shot from 20 ft (assist by T. Evans),2,89-95,,
10:16.0,,,89-97,2,D. Wade makes 2-pt shot from 2 ft
9:51.0,Turnover by M. Gasol (traveling),,89-97,,
9:51.0,,,89-97,,Cleveland full timeout
9:51.0,,,89-97,,K. Love enters the game for C. Frye
9:39.0,Personal foul by J. Ennis (drawn by L. James),,89-97,,
9:26.0,,,89-97,,Shooting foul by J. Martin (drawn by J. Green)
9:26.0,,,89-98,1,J. Green makes free throw 1 of 2
9:26.0,,,89-99,1,J. Green makes free throw 2 of 2
9:07.0,J. Martin misses 2-pt shot from 6 ft,,89-99,,
9:05.0,,,89-99,,Defensive rebound by K. Love
9:00.0,,,89-99,,D. Wade misses 2-pt shot from 14 ft
8:57.0,Defensive rebound by T. Evans,,89-99,,
8:51.0,M. Gasol makes 2-pt shot from 7 ft (assist by T. Evans),2,91-99,,
8:35.0,,,91-99,,Turnover by L. James (bad pass; steal by A. Harrison)
8:18.0,M. Gasol misses 3-pt shot from 27 ft,,91-99,,
8:15.0,Offensive rebound by J. Ennis,,91-99,,
8:05.0,T. Evans makes 2-pt shot from 3 ft,2,93-99,,
7:54.0,,,93-99,,K. Korver misses 3-pt shot from 25 ft
7:52.0,Defensive rebound by J. Martin,,93-99,,
7:37.0,J. Martin makes 3-pt shot from 23 ft (assist by J. Ennis),3,96-99,,
7:23.0,,,96-99,,Shooting foul by J. Martin (drawn by L. James)
7:23.0,,,96-100,1,L. James makes free throw 1 of 2
7:23.0,,,96-100,,J. Smith enters the game for D. Wade
7:23.0,J. Green enters the game for M. Gasol,,96-100,,
7:23.0,,,96-101,1,L. James makes free throw 2 of 2
7:10.0,T. Evans misses 2-pt shot from 20 ft,,96-101,,
7:06.0,,,96-101,,Defensive rebound by J. Smith
7:02.0,,,96-103,2,K. Love makes 2-pt shot from 1 ft (assist by L. James)
6:45.0,A. Harrison misses 2-pt shot from 1 ft,,96-103,,
6:45.0,Offensive rebound by J. Green,,96-103,,
6:45.0,J. Green misses 2-pt shot at rim,,96-103,,
6:43.0,,,96-103,,Defensive rebound by J. Smith
6:37.0,,,96-103,,Shooting foul by J. Martin (drawn by L. James)
6:37.0,,,96-104,1,L. James makes free throw 1 of 2
6:37.0,M. Gasol enters the game for J. Martin,,96-104,,
6:37.0,,,96-105,1,L. James makes free throw 2 of 2
6:25.0,M. Gasol misses 2-pt shot from 6 ft (block by K. Korver),,96-105,,
6:25.0,,,96-105,,Defensive rebound by K. Love
6:16.0,,,96-107,2,L. James makes 2-pt shot from 1 ft
5:54.0,M. Gasol misses 3-pt shot from 25 ft,,96-107,,
5:54.0,,,96-107,,Defensive rebound by L. James
5:31.0,,,96-107,,L. James misses 3-pt shot from 24 ft
5:31.0,Defensive rebound by Team,,96-107,,
5:30.0,Memphis full timeout,,96-107,,
5:30.0,D. Brooks enters the game for J. Ennis,,96-107,,
5:06.0,Turnover by D. Brooks (lost ball; steal by J. Smith),,96-107,,
5:01.0,,,96-107,,K. Korver misses 3-pt shot from 24 ft
4:59.0,Defensive rebound by M. Gasol,,96-107,,
4:47.0,M. Gasol misses 2-pt shot from 3 ft (block by K. Korver),,96-107,,
4:47.0,Offensive rebound by Team,,96-107,,
4:38.0,T. Evans makes 3-pt shot from 24 ft (assist by J. Green),3,99-107,,
4:14.0,,,99-107,,K. Korver misses 2-pt shot from 7 ft
4:10.0,Defensive rebound by A. Harrison,,99-107,,
4:03.0,A. Harrison makes 2-pt shot from 3 ft,2,101-107,,
3:38.0,,,101-109,2,L. James makes 2-pt shot from 2 ft
3:28.0,T. Evans makes 3-pt shot from 25 ft,3,104-109,,
2:57.0,,,104-109,,L. James misses 2-pt shot from 19 ft
2:56.0,Defensive rebound by D. Brooks,,104-109,,
2:43.0,Shooting foul by K. Love (drawn by M. Gasol),,104-109,,
2:43.0,M. Gasol makes free throw 1 of 2,1,105-109,,
2:43.0,,,105-109,,D. Wade enters the game for J. Green
2:43.0,M. Gasol makes free throw 2 of 2,1,106-109,,
2:24.0,,,106-109,,Turnover by K. Love (out of bounds lost ball)
2:10.0,D. Brooks makes 3-pt shot from 26 ft (assist by T. Evans),3,109-109,,
1:46.0,,,109-109,,L. James misses 3-pt shot from 25 ft
1:44.0,,,109-109,,Offensive rebound by Team
1:22.0,,,109-111,2,L. James makes 2-pt shot from 2 ft
0:58.0,T. Evans misses 2-pt shot from 16 ft,,109-111,,
0:55.0,,,109-111,,Defensive rebound by K. Love
0:34.0,,,109-113,2,L. James makes 2-pt shot from 2 ft
0:34.0,,,109-113,,Shooting foul by D. Brooks (drawn by L. James)
0:34.0,,,109-114,1,L. James makes free throw 1 of 1
0:34.0,Memphis full timeout,,109-114,,
0:34.0,,,109-114,,J. Green enters the game for K. Love
0:28.0,Shooting foul by D. Wade (drawn by D. Brooks),,109-114,,
0:28.0,D. Brooks makes free throw 1 of 2,1,110-114,,
0:28.0,D. Brooks makes free throw 2 of 2,1,111-114,,
0:28.0,,,111-114,,K. Love enters the game for J. Green
0:28.0,J. Martin enters the game for A. Harrison,,111-114,,
0:05.0,,,111-116,2,L. James makes 2-pt shot from 22 ft
0:05.0,Memphis full timeout,,111-116,,
0:05.0,,,111-116,,J. Green enters the game for K. Love
0:05.0,A. Harrison enters the game for J. Martin,,111-116,,
0:03.0,M. Gasol misses 3-pt shot from 23 ft,,111-116,,
0:01.0,,,111-116,,Defensive rebound by Team
