time,Detroit,pts.away,score,pts.home,Houston
11:48.0,,,27-23,2,E. Gordon makes 2-pt shot at rim (assist by C. Capela)
11:34.0,A. Tolliver misses 3-pt shot from 26 ft,,27-23,,
11:31.0,,,27-23,,Defensive rebound by G. Green
11:21.0,,,27-23,,E. Gordon misses 3-pt shot from 27 ft
11:19.0,Defensive rebound by L. Kennard,,27-23,,
11:07.0,Turnover by A. Drummond (bad pass; steal by E. Gordon),,27-23,,
10:51.0,,,27-25,2,J. Johnson makes 2-pt shot from 20 ft (assist by E. Gordon)
10:27.0,Shooting foul by G. Green (drawn by A. Drummond),,27-25,,
10:27.0,A. Drummond misses free throw 1 of 2,,27-25,,
10:27.0,Offensive rebound by Team,,27-25,,
10:27.0,A. Drummond makes free throw 2 of 2,1,28-25,,
10:13.0,,,28-28,3,E. Gordon makes 3-pt shot from 22 ft (assist by C. Capela)
9:50.0,R. Jackson misses 2-pt shot from 8 ft (block by R. Anderson),,28-28,,
9:48.0,Offensive rebound by R. Jackson,,28-28,,
9:43.0,R. Jackson misses 3-pt shot from 23 ft,,28-28,,
9:39.0,,,28-28,,Defensive rebound by Team
9:27.0,,,28-28,,J. Johnson misses 3-pt shot from 22 ft
9:24.0,Defensive rebound by R. Jackson,,28-28,,
9:18.0,Shooting foul by C. Capela (drawn by A. Drummond),,28-28,,
9:18.0,A. Drummond misses free throw 1 of 2,,28-28,,
9:18.0,Offensive rebound by Team,,28-28,,
9:18.0,A. Drummond misses free throw 2 of 2,,28-28,,
9:18.0,,,28-28,,Defensive rebound by C. Capela
9:04.0,,,28-28,,C. Capela misses 2-pt shot from 4 ft
9:02.0,Defensive rebound by A. Drummond,,28-28,,
8:57.0,R. Jackson misses 2-pt shot from 18 ft,,28-28,,
8:55.0,,,28-28,,Defensive rebound by C. Capela
8:51.0,,,28-28,,G. Green misses 3-pt shot from 24 ft
8:49.0,Defensive rebound by A. Drummond,,28-28,,
8:34.0,A. Drummond makes 2-pt shot at rim (assist by A. Tolliver),2,30-28,,
8:22.0,,,30-30,2,R. Anderson makes 2-pt shot from 16 ft
8:22.0,,,30-30,,Shooting foul by L. Kennard (drawn by R. Anderson)
8:22.0,,,30-30,,R. Anderson misses free throw 1 of 1
8:22.0,Defensive rebound by A. Tolliver,,30-30,,
8:07.0,Shooting foul by J. Johnson (drawn by A. Drummond),,30-30,,
8:07.0,A. Drummond misses free throw 1 of 2,,30-30,,
8:07.0,Offensive rebound by Team,,30-30,,
8:07.0,A. Drummond makes free throw 2 of 2,1,31-30,,
7:57.0,,,31-30,,Turnover by E. Gordon (bad pass; steal by L. Kennard)
7:34.0,L. Kennard makes 2-pt shot from 14 ft,2,33-30,,
7:18.0,,,33-32,2,C. Capela makes 2-pt shot from 2 ft (assist by R. Anderson)
7:03.0,A. Drummond misses 2-pt shot from 8 ft,,33-32,,
7:01.0,,,33-32,,Defensive rebound by G. Green
6:55.0,,,33-35,3,E. Gordon makes 3-pt shot from 25 ft (assist by G. Green)
6:47.0,Detroit full timeout,,33-35,,
6:47.0,,,33-35,,T. Ariza enters the game for E. Gordon
6:47.0,,,33-35,,J. Harden enters the game for G. Green
6:47.0,,,33-35,,P. Tucker enters the game for R. Anderson
6:47.0,I. Smith enters the game for J. Ennis,,33-35,,
6:47.0,S. Johnson enters the game for R. Jackson,,33-35,,
6:35.0,L. Kennard makes 2-pt shot from 1 ft (assist by A. Drummond),2,35-35,,
6:21.0,,,35-35,,Turnover by J. Harden (bad pass; steal by S. Johnson)
6:17.0,I. Smith makes 2-pt shot from 1 ft,2,37-35,,
6:10.0,,,37-35,,P. Tucker misses 3-pt shot from 23 ft
6:07.0,Defensive rebound by S. Johnson,,37-35,,
5:53.0,Turnover by I. Smith (bad pass; steal by J. Johnson),,37-35,,
5:38.0,,,37-37,2,J. Johnson makes 2-pt shot at rim
5:38.0,,,37-37,,Shooting foul by L. Kennard (drawn by J. Johnson)
5:38.0,B. Griffin enters the game for A. Tolliver,,37-37,,
5:38.0,,,37-38,1,J. Johnson makes free throw 1 of 1
5:25.0,L. Kennard misses 3-pt shot from 25 ft,,37-38,,
5:23.0,,,37-38,,Defensive rebound by C. Capela
5:13.0,,,37-38,,J. Johnson misses 3-pt shot from 24 ft
5:10.0,Defensive rebound by I. Smith,,37-38,,
5:04.0,B. Griffin makes 2-pt shot from 1 ft,2,39-38,,
4:43.0,,,39-38,,T. Ariza misses 2-pt shot from 7 ft (block by S. Johnson)
4:43.0,,,39-38,,Offensive rebound by Team
4:43.0,R. Bullock enters the game for L. Kennard,,39-38,,
4:38.0,,,39-38,,J. Harden misses 3-pt shot from 23 ft
4:35.0,Defensive rebound by A. Drummond,,39-38,,
4:21.0,I. Smith makes 2-pt shot from 10 ft (assist by B. Griffin),2,41-38,,
3:58.0,,,41-38,,T. Ariza misses 3-pt shot from 24 ft
3:54.0,Defensive rebound by A. Drummond,,41-38,,
3:42.0,,,41-38,,Def 3 sec tech foul by C. Capela
3:42.0,,,41-38,,E. Gordon enters the game for J. Johnson
3:42.0,B. Griffin makes technical free throw,1,42-38,,
3:40.0,S. Johnson makes 2-pt shot from 1 ft (assist by R. Bullock),2,44-38,,
3:25.0,,,44-41,3,P. Tucker makes 3-pt shot from 23 ft (assist by E. Gordon)
2:59.0,B. Griffin makes 2-pt shot from 3 ft,2,46-41,,
2:48.0,,,46-41,,E. Gordon misses 2-pt shot from 7 ft
2:46.0,Defensive rebound by I. Smith,,46-41,,
2:42.0,A. Drummond makes 2-pt shot at rim (assist by I. Smith),2,48-41,,
2:31.0,,,48-41,,T. Ariza misses 3-pt shot from 22 ft
2:29.0,Defensive rebound by S. Johnson,,48-41,,
2:24.0,Turnover by R. Bullock (step out of bounds),,48-41,,
2:24.0,,,48-41,,Houston full timeout
2:24.0,,,48-41,,G. Green enters the game for C. Capela
2:18.0,,,48-44,3,G. Green makes 3-pt shot from 22 ft (assist by T. Ariza)
1:49.0,Detroit full timeout,,48-44,,
1:48.0,Turnover by B. Griffin (bad pass; steal by E. Gordon),,48-44,,
1:34.0,,,48-44,,Turnover by E. Gordon (lost ball; steal by R. Bullock)
1:31.0,S. Johnson misses 2-pt shot from 3 ft (block by J. Harden),,48-44,,
1:31.0,,,48-44,,Defensive rebound by Team
1:31.0,L. Kennard enters the game for S. Johnson,,48-44,,
1:15.0,,,48-44,,P. Tucker misses 2-pt shot from 4 ft
1:13.0,Defensive rebound by B. Griffin,,48-44,,
1:06.0,Turnover by L. Kennard (bad pass; steal by G. Green),,48-44,,
0:59.0,,,48-46,2,J. Harden makes 2-pt shot at rim
0:37.0,L. Kennard misses 3-pt shot from 23 ft,,48-46,,
0:34.0,,,48-46,,Defensive rebound by J. Harden
0:28.0,,,48-46,,J. Harden misses 3-pt shot from 25 ft
0:26.0,Defensive rebound by B. Griffin,,48-46,,
0:22.0,R. Bullock makes 2-pt shot at rim (assist by B. Griffin),2,50-46,,
0:01.0,,,50-46,,Shooting foul by R. Bullock (drawn by J. Harden)
0:01.0,,,50-47,1,J. Harden makes free throw 1 of 2
0:01.0,,,50-48,1,J. Harden makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,50-51,3,E. Gordon makes 3-pt shot from 25 ft
11:20.0,Turnover by B. Griffin (bad pass; steal by J. Harden),,50-51,,
11:12.0,Technical foul by B. Griffin (drawn by J. Harden),,50-51,,
11:12.0,,,50-51,,J. Harden misses flagrant free throw 1 of 3
11:12.0,,,50-51,,Offensive rebound by Team
11:12.0,,,50-52,1,J. Harden makes free throw 2 of 3
11:12.0,,,50-53,1,J. Harden makes free throw 3 of 3
11:05.0,,,50-56,3,T. Ariza makes 3-pt shot from 22 ft (assist by E. Gordon)
10:38.0,,,50-56,,Personal foul by T. Ariza (drawn by A. Drummond)
10:28.0,A. Drummond makes 2-pt shot at rim (assist by B. Griffin),2,52-56,,
10:21.0,,,52-56,,T. Ariza misses 3-pt shot from 24 ft
10:20.0,Defensive rebound by A. Drummond,,52-56,,
9:58.0,R. Jackson misses 3-pt shot from 26 ft,,52-56,,
9:52.0,Offensive rebound by A. Drummond,,52-56,,
9:52.0,A. Drummond misses 2-pt shot at rim,,52-56,,
9:52.0,Offensive rebound by R. Jackson,,52-56,,
9:48.0,B. Griffin misses 3-pt shot from 24 ft,,52-56,,
9:44.0,,,52-56,,Defensive rebound by C. Capela
9:34.0,,,52-56,,Turnover by C. Capela (bad pass; steal by R. Jackson)
9:21.0,,,52-56,,Violation by T. Ariza (kicked ball)
9:11.0,B. Griffin makes 2-pt shot at rim,2,54-56,,
9:11.0,Shooting foul by J. Harden (drawn by B. Griffin),,54-56,,
9:11.0,B. Griffin makes free throw 1 of 1,1,55-56,,
8:48.0,,,55-56,,E. Gordon misses 2-pt shot from 1 ft (block by A. Drummond)
8:48.0,,,55-56,,Offensive rebound by Team
8:45.0,,,55-56,,T. Ariza misses 2-pt shot from 12 ft
8:45.0,,,55-56,,Offensive rebound by Team
8:45.0,,,55-56,,Turnover by Team (shot clock)
8:31.0,S. Johnson makes 3-pt shot from 24 ft (assist by B. Griffin),3,58-56,,
8:14.0,,,58-58,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
7:58.0,R. Jackson misses 3-pt shot from 25 ft,,58-58,,
7:55.0,Offensive rebound by S. Johnson,,58-58,,
7:53.0,R. Jackson misses 3-pt shot from 25 ft,,58-58,,
7:51.0,,,58-58,,Defensive rebound by C. Capela
7:44.0,,,58-58,,J. Harden misses 3-pt shot from 25 ft
7:40.0,,,58-58,,Offensive rebound by C. Capela
7:30.0,,,58-58,,J. Harden misses 2-pt shot from 4 ft
7:29.0,,,58-58,,Offensive rebound by C. Capela
7:28.0,,,58-60,2,C. Capela makes 2-pt shot from 3 ft
7:11.0,B. Griffin makes 2-pt shot from 8 ft,2,60-60,,
7:05.0,,,60-60,,Shooting foul by B. Griffin (drawn by E. Gordon)
7:05.0,,,60-61,1,E. Gordon makes free throw 1 of 2
7:05.0,I. Smith enters the game for R. Jackson,,60-61,,
7:05.0,,,60-61,,E. Gordon misses free throw 2 of 2
7:05.0,Defensive rebound by A. Drummond,,60-61,,
6:44.0,I. Smith misses 3-pt shot from 23 ft,,60-61,,
6:39.0,,,60-61,,Defensive rebound by C. Capela
6:35.0,,,60-61,,Turnover by J. Harden (bad pass; steal by R. Bullock)
6:22.0,R. Bullock misses 3-pt shot from 25 ft,,60-61,,
6:19.0,,,60-61,,Defensive rebound by P. Tucker
6:07.0,,,60-61,,P. Tucker misses 3-pt shot from 24 ft
6:03.0,,,60-61,,Offensive rebound by C. Capela
5:39.0,,,60-61,,T. Ariza misses 2-pt shot from 16 ft
5:37.0,Defensive rebound by I. Smith,,60-61,,
5:35.0,Turnover by R. Bullock (traveling),,60-61,,
5:35.0,,,60-61,,Houston full timeout
5:35.0,,,60-61,,R. Anderson enters the game for T. Ariza
5:35.0,,,60-61,,G. Green enters the game for E. Gordon
5:35.0,,,60-61,,J. Johnson enters the game for C. Capela
5:35.0,L. Kennard enters the game for A. Drummond,,60-61,,
5:35.0,A. Tolliver enters the game for S. Johnson,,60-61,,
5:20.0,Def 3 sec tech foul by B. Griffin,,60-61,,
5:20.0,,,60-62,1,J. Harden makes technical free throw
5:16.0,,,60-62,,J. Harden misses 3-pt shot from 24 ft
5:14.0,Defensive rebound by L. Kennard,,60-62,,
5:08.0,I. Smith makes 2-pt shot from 1 ft (assist by L. Kennard),2,62-62,,
4:49.0,,,62-62,,G. Green misses 3-pt shot from 25 ft
4:47.0,Defensive rebound by B. Griffin,,62-62,,
4:47.0,,,62-62,,Personal foul by G. Green (drawn by L. Kennard)
4:23.0,B. Griffin misses 3-pt shot from 25 ft,,62-62,,
4:20.0,,,62-62,,Defensive rebound by R. Anderson
4:04.0,,,62-62,,G. Green misses 2-pt shot from 10 ft
4:02.0,,,62-62,,Offensive rebound by R. Anderson
3:56.0,,,62-62,,Shooting foul by I. Smith (drawn by J. Harden)
3:56.0,,,62-63,1,J. Harden makes free throw 1 of 2
3:56.0,,,62-63,,J. Harden misses free throw 2 of 2
3:56.0,Defensive rebound by L. Kennard,,62-63,,
3:43.0,R. Bullock misses 3-pt shot from 26 ft,,62-63,,
3:40.0,,,62-63,,Defensive rebound by R. Anderson
3:34.0,,,62-63,,J. Johnson misses 3-pt shot from 23 ft
3:32.0,Defensive rebound by R. Bullock,,62-63,,
3:20.0,L. Kennard makes 2-pt shot from 17 ft,2,64-63,,
3:04.0,,,64-66,3,J. Johnson makes 3-pt shot from 23 ft (assist by J. Harden)
2:52.0,I. Smith makes 2-pt shot from 6 ft,2,66-66,,
2:34.0,,,66-66,,Shooting foul by B. Griffin (drawn by R. Anderson)
2:34.0,Detroit full timeout,,66-66,,
2:34.0,,,66-66,,R. Anderson misses free throw 1 of 2
2:34.0,,,66-66,,Offensive rebound by Team
2:34.0,,,66-67,1,R. Anderson makes free throw 2 of 2
2:25.0,,,66-67,,Personal foul by J. Johnson (drawn by B. Griffin)
2:25.0,,,66-67,,E. Gordon enters the game for P. Tucker
2:15.0,B. Griffin misses 2-pt shot from 11 ft,,66-67,,
2:12.0,,,66-67,,Defensive rebound by E. Gordon
2:07.0,,,66-67,,E. Gordon misses 2-pt shot at rim
2:05.0,,,66-67,,Offensive rebound by R. Anderson
2:05.0,,,66-69,2,R. Anderson makes 2-pt shot at rim
1:47.0,L. Kennard makes 2-pt shot from 4 ft (assist by B. Griffin),2,68-69,,
1:26.0,,,68-69,,G. Green misses 3-pt shot from 24 ft
1:24.0,Defensive rebound by R. Bullock,,68-69,,
1:17.0,Turnover by I. Smith (bad pass; steal by J. Johnson),,68-69,,
1:07.0,,,68-69,,J. Johnson misses 2-pt shot from 10 ft
1:04.0,Defensive rebound by I. Smith,,68-69,,
1:00.0,B. Griffin misses 3-pt shot from 25 ft,,68-69,,
0:58.0,,,68-69,,Defensive rebound by R. Anderson
0:42.0,,,68-71,2,J. Harden makes 2-pt shot from 1 ft
0:20.0,I. Smith misses 3-pt shot from 22 ft,,68-71,,
0:18.0,,,68-71,,Defensive rebound by J. Harden
0:00.0,,,68-71,,J. Harden misses 3-pt shot from 26 ft
0:00.0,,,68-71,,Offensive rebound by Team
0:00.0,,,68-71,,Technical foul by J. Harden
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,Offensive rebound by Team,,68-71,,
11:43.0,Turnover by L. Kennard (bad pass; steal by G. Green),,68-71,,
11:32.0,Personal foul by A. Drummond (drawn by E. Gordon),,68-71,,
11:26.0,,,68-74,3,T. Ariza makes 3-pt shot from 26 ft (assist by E. Gordon)
11:06.0,R. Jackson misses 2-pt shot from 11 ft,,68-74,,
11:02.0,Offensive rebound by A. Drummond,,68-74,,
11:02.0,A. Drummond misses 2-pt shot at rim,,68-74,,
11:01.0,Offensive rebound by A. Drummond,,68-74,,
11:01.0,A. Drummond misses 2-pt shot at rim,,68-74,,
11:01.0,,,68-74,,Defensive rebound by T. Ariza
10:56.0,,,68-74,,G. Green misses 3-pt shot from 24 ft
10:56.0,Defensive rebound by J. Ennis,,68-74,,
10:40.0,R. Jackson misses 2-pt shot from 18 ft,,68-74,,
10:36.0,Offensive rebound by A. Drummond,,68-74,,
10:36.0,A. Drummond misses 2-pt shot at rim,,68-74,,
10:35.0,,,68-74,,Defensive rebound by J. Johnson
10:30.0,,,68-74,,Shooting foul by L. Kennard (drawn by E. Gordon)
10:30.0,,,68-75,1,E. Gordon makes free throw 1 of 2
10:30.0,,,68-76,1,E. Gordon makes free throw 2 of 2
10:20.0,Shooting foul by R. Anderson (drawn by A. Drummond),,68-76,,
10:20.0,A. Drummond misses free throw 1 of 2,,68-76,,
10:20.0,Offensive rebound by Team,,68-76,,
10:20.0,A. Drummond makes free throw 2 of 2,1,69-76,,
10:01.0,,,69-76,,E. Gordon misses 3-pt shot from 26 ft
9:59.0,Defensive rebound by A. Tolliver,,69-76,,
9:38.0,Shooting foul by G. Green (drawn by J. Ennis),,69-76,,
9:38.0,J. Ennis misses free throw 1 of 2,,69-76,,
9:38.0,Offensive rebound by Team,,69-76,,
9:38.0,J. Ennis makes free throw 2 of 2,1,70-76,,
9:29.0,,,70-76,,R. Anderson misses 3-pt shot from 26 ft
9:28.0,Defensive rebound by J. Ennis,,70-76,,
9:24.0,Offensive foul by A. Drummond (drawn by R. Anderson),,70-76,,
9:24.0,Turnover by A. Drummond (offensive foul),,70-76,,
9:04.0,,,70-76,,R. Anderson misses 2-pt shot from 5 ft (block by J. Ennis)
9:03.0,Defensive rebound by J. Ennis,,70-76,,
8:59.0,L. Kennard misses 3-pt shot from 25 ft,,70-76,,
8:57.0,Offensive rebound by A. Drummond,,70-76,,
8:57.0,Shooting foul by E. Gordon (drawn by A. Drummond),,70-76,,
8:57.0,A. Drummond makes free throw 1 of 2,1,71-76,,
8:57.0,A. Drummond makes free throw 2 of 2,1,72-76,,
8:46.0,,,72-76,,Turnover by E. Gordon (bad pass)
8:34.0,R. Jackson misses 2-pt shot from 2 ft,,72-76,,
8:32.0,,,72-76,,Defensive rebound by G. Green
8:27.0,,,72-79,3,J. Johnson makes 3-pt shot from 24 ft (assist by G. Green)
8:07.0,L. Kennard makes 2-pt shot at rim,2,74-79,,
7:55.0,,,74-79,,G. Green misses 3-pt shot from 23 ft
7:53.0,Defensive rebound by A. Drummond,,74-79,,
7:49.0,R. Jackson misses 3-pt shot from 26 ft,,74-79,,
7:45.0,,,74-79,,Defensive rebound by T. Ariza
7:29.0,,,74-81,2,E. Gordon makes 2-pt shot at rim
7:18.0,,,74-81,,Violation by E. Gordon (kicked ball)
7:18.0,,,74-81,,P. Tucker enters the game for G. Green
7:18.0,I. Smith enters the game for A. Drummond,,74-81,,
7:18.0,B. Griffin enters the game for R. Jackson,,74-81,,
7:05.0,B. Griffin misses 3-pt shot from 22 ft,,74-81,,
7:02.0,Offensive rebound by A. Tolliver,,74-81,,
7:02.0,Turnover by Team (shot clock),,74-81,,
6:53.0,,,74-81,,E. Gordon misses 3-pt shot from 27 ft
6:50.0,Defensive rebound by J. Ennis,,74-81,,
6:46.0,J. Ennis misses 3-pt shot from 26 ft,,74-81,,
6:43.0,,,74-81,,Defensive rebound by E. Gordon
6:38.0,,,74-83,2,E. Gordon makes 2-pt shot at rim
6:38.0,Detroit full timeout,,74-83,,
6:38.0,,,74-83,,C. Capela enters the game for J. Johnson
6:38.0,,,74-83,,J. Harden enters the game for R. Anderson
6:38.0,A. Drummond enters the game for A. Tolliver,,74-83,,
6:38.0,R. Bullock enters the game for J. Ennis,,74-83,,
6:26.0,L. Kennard misses 3-pt shot from 27 ft,,74-83,,
6:23.0,,,74-83,,Defensive rebound by P. Tucker
6:15.0,,,74-83,,Offensive charge foul by C. Capela (drawn by I. Smith)
6:15.0,,,74-83,,Turnover by C. Capela (offensive foul)
5:55.0,I. Smith makes 3-pt shot from 23 ft (assist by L. Kennard),3,77-83,,
5:30.0,,,77-83,,E. Gordon misses 3-pt shot from 25 ft
5:26.0,Defensive rebound by L. Kennard,,77-83,,
5:16.0,I. Smith misses 2-pt shot from 11 ft,,77-83,,
5:14.0,,,77-83,,Defensive rebound by P. Tucker
4:59.0,,,77-83,,E. Gordon misses 3-pt shot from 23 ft
4:55.0,,,77-83,,Offensive rebound by P. Tucker
4:53.0,,,77-86,3,T. Ariza makes 3-pt shot from 24 ft (assist by P. Tucker)
4:30.0,B. Griffin misses 2-pt shot from 7 ft,,77-86,,
4:28.0,Offensive rebound by B. Griffin,,77-86,,
4:28.0,B. Griffin misses 2-pt shot at rim,,77-86,,
4:27.0,Offensive rebound by B. Griffin,,77-86,,
4:26.0,B. Griffin makes 2-pt shot from 1 ft,2,79-86,,
4:19.0,,,79-86,,Turnover by C. Capela (lost ball; steal by L. Kennard)
