time,Chicago,pts.away,score,pts.home,Memphis
6:04.0,Defensive rebound by Z. LaVine,,13-18,,
5:56.0,Z. LaVine misses 2-pt shot from 3 ft,,13-18,,
5:54.0,,,13-18,,Defensive rebound by T. Evans
5:51.0,,,13-20,2,J. Martin makes 2-pt shot from 2 ft (assist by T. Evans)
5:32.0,Turnover by Z. LaVine (bad pass; steal by D. Brooks),,13-20,,
5:30.0,,,13-22,2,T. Evans makes 2-pt shot from 2 ft (assist by D. Brooks)
5:30.0,,,13-22,,Shooting foul by K. Dunn (drawn by T. Evans)
5:30.0,,,13-22,,B. McLemore enters the game for J. Martin
5:30.0,D. Valentine enters the game for D. Nwaba,,13-22,,
5:30.0,,,13-23,1,T. Evans makes free throw 1 of 1
5:10.0,K. Dunn makes 2-pt shot from 9 ft,2,15-23,,
4:57.0,,,15-23,,Turnover by M. Gasol (out of bounds lost ball)
4:57.0,,,15-23,,K. Simmons enters the game for T. Evans
4:45.0,D. Valentine misses 2-pt shot from 6 ft,,15-23,,
4:40.0,,,15-23,,Defensive rebound by D. Brooks
4:35.0,,,15-23,,B. McLemore misses 2-pt shot from 7 ft
4:32.0,Defensive rebound by N. Vonleh,,15-23,,
4:27.0,,,15-23,,Personal foul by B. McLemore (drawn by K. Dunn)
4:11.0,D. Valentine makes 3-pt shot from 23 ft (assist by R. Lopez),3,18-23,,
3:51.0,,,18-26,3,M. Gasol makes 3-pt shot from 25 ft (assist by J. Green)
3:36.0,N. Vonleh misses 3-pt shot from 25 ft,,18-26,,
3:33.0,,,18-26,,Defensive rebound by K. Simmons
3:23.0,,,18-26,,Shooting foul by Z. LaVine (drawn by D. Brooks)
3:23.0,,,18-27,1,D. Brooks makes free throw 1 of 3
3:23.0,,,18-28,1,D. Brooks makes free throw 2 of 3
3:23.0,,,18-28,,C. Parsons enters the game for J. Green
3:23.0,C. Payne enters the game for N. Vonleh,,18-28,,
3:23.0,B. Portis enters the game for K. Dunn,,18-28,,
3:23.0,,,18-29,1,D. Brooks makes free throw 3 of 3
3:09.0,Shooting foul by D. Brooks (drawn by Z. LaVine),,18-29,,
3:09.0,Z. LaVine makes free throw 1 of 3,1,19-29,,
3:09.0,Z. LaVine makes free throw 2 of 3,1,20-29,,
3:09.0,,,20-29,,J. Martin enters the game for D. Brooks
3:09.0,Z. LaVine makes free throw 3 of 3,1,21-29,,
2:51.0,,,21-29,,K. Simmons misses 2-pt shot from 18 ft
2:46.0,Defensive rebound by Z. LaVine,,21-29,,
2:40.0,C. Payne misses 2-pt shot from 9 ft,,21-29,,
2:34.0,,,21-29,,Defensive rebound by M. Gasol
2:29.0,Personal foul by D. Valentine (drawn by B. McLemore),,21-29,,
2:29.0,,,21-29,,D. Davis enters the game for M. Gasol
2:29.0,A. Blakeney enters the game for Z. LaVine,,21-29,,
2:17.0,,,21-29,,D. Davis misses 2-pt shot from 16 ft
2:15.0,Defensive rebound by Team,,21-29,,
2:15.0,,,21-29,,Loose ball foul by B. McLemore (drawn by B. Portis)
2:00.0,R. Lopez misses 2-pt shot from 19 ft,,21-29,,
1:58.0,,,21-29,,Defensive rebound by J. Martin
1:46.0,,,21-29,,C. Parsons misses 2-pt shot from 19 ft
1:42.0,Defensive rebound by D. Valentine,,21-29,,
1:39.0,Shooting foul by B. McLemore (drawn by A. Blakeney),,21-29,,
1:39.0,A. Blakeney makes free throw 1 of 2,1,22-29,,
1:39.0,,,22-29,,W. Selden enters the game for B. McLemore
1:39.0,A. Blakeney misses free throw 2 of 2,,22-29,,
1:37.0,,,22-29,,Defensive rebound by J. Martin
1:18.0,,,22-29,,J. Martin misses 3-pt shot from 25 ft
1:15.0,Defensive rebound by D. Valentine,,22-29,,
1:04.0,B. Portis misses 2-pt shot from 3 ft,,22-29,,
0:59.0,,,22-29,,Defensive rebound by C. Parsons
0:53.0,,,22-29,,C. Parsons misses 2-pt shot from 3 ft
0:49.0,,,22-29,,Offensive rebound by D. Davis
0:49.0,,,22-29,,D. Davis misses 2-pt shot at rim
0:48.0,Defensive rebound by D. Valentine,,22-29,,
0:44.0,Turnover by D. Valentine (lost ball; steal by J. Martin),,22-29,,
0:44.0,Personal foul by D. Valentine (drawn by J. Martin),,22-29,,
0:27.0,,,22-29,,C. Parsons misses 3-pt shot from 25 ft
0:24.0,Defensive rebound by A. Blakeney,,22-29,,
0:05.0,D. Valentine misses 3-pt shot from 24 ft,,22-29,,
0:03.0,Offensive rebound by R. Lopez,,22-29,,
0:03.0,Turnover by Team (shot clock),,22-29,,
0:01.0,,,22-29,,Turnover by W. Selden (bad pass; steal by B. Portis)
0:00.0,B. Portis misses 3-pt shot from 51 ft,,22-29,,
0:00.0,Offensive rebound by Team,,22-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,A. Blakeney makes 2-pt shot from 22 ft,2,24-29,,
11:26.0,,,24-29,,Shooting foul by C. Felicio (drawn by K. Simmons)
11:26.0,,,24-30,1,K. Simmons makes free throw 1 of 2
11:26.0,,,24-31,1,K. Simmons makes free throw 2 of 2
11:06.0,A. Blakeney makes 3-pt shot from 24 ft,3,27-31,,
10:56.0,,,27-31,,Turnover by C. Parsons (bad pass; steal by B. Portis)
10:53.0,B. Portis makes 2-pt shot from 1 ft,2,29-31,,
10:41.0,,,29-33,2,J. Martin makes 2-pt shot from 18 ft (assist by W. Selden)
10:20.0,D. Valentine makes 3-pt shot from 24 ft (assist by B. Portis),3,32-33,,
10:05.0,,,32-33,,W. Selden misses 3-pt shot from 24 ft
10:01.0,Defensive rebound by B. Portis,,32-33,,
9:55.0,,,32-33,,Violation by W. Selden (kicked ball)
9:55.0,,,32-33,,T. Evans enters the game for K. Simmons
9:50.0,B. Portis makes 3-pt shot from 24 ft (assist by D. Valentine),3,35-33,,
9:48.0,,,35-33,,Memphis full timeout
9:48.0,,,35-33,,J. Green enters the game for W. Selden
9:48.0,,,35-33,,B. Weber enters the game for D. Davis
9:48.0,,,35-33,,M. Gasol enters the game for C. Parsons
9:36.0,,,35-33,,Turnover by M. Gasol (bad pass; steal by D. Valentine)
9:17.0,C. Payne misses 3-pt shot from 22 ft,,35-33,,
9:14.0,,,35-33,,Defensive rebound by M. Gasol
9:05.0,,,35-35,2,J. Martin makes 2-pt shot from 18 ft (assist by M. Gasol)
8:50.0,B. Portis misses 3-pt shot from 24 ft,,35-35,,
8:47.0,,,35-35,,Defensive rebound by B. Weber
8:42.0,,,35-35,,M. Gasol misses 3-pt shot from 25 ft
8:38.0,Defensive rebound by D. Valentine,,35-35,,
8:38.0,C. Felicio makes 2-pt shot from 1 ft (assist by D. Valentine),2,37-35,,
8:38.0,Shooting foul by J. Martin (drawn by C. Felicio),,37-35,,
8:38.0,,,37-35,,D. Brooks enters the game for J. Martin
8:38.0,Z. LaVine enters the game for D. Valentine,,37-35,,
8:38.0,C. Felicio misses free throw 1 of 1,,37-35,,
8:36.0,,,37-35,,Defensive rebound by J. Green
8:23.0,,,37-37,2,T. Evans makes 2-pt shot from 8 ft
7:55.0,B. Portis misses 2-pt shot from 10 ft,,37-37,,
7:51.0,,,37-37,,Defensive rebound by M. Gasol
7:38.0,,,37-40,3,T. Evans makes 3-pt shot from 25 ft
7:16.0,Turnover by C. Felicio (lost ball; steal by B. Weber),,37-40,,
7:07.0,Personal foul by A. Blakeney (drawn by T. Evans),,37-40,,
7:01.0,,,37-42,2,M. Gasol makes 2-pt shot from 12 ft (assist by T. Evans)
7:01.0,Chicago full timeout,,37-42,,
7:01.0,K. Dunn enters the game for C. Payne,,37-42,,
6:46.0,Offensive foul by Z. LaVine (drawn by D. Brooks),,37-42,,
6:46.0,Turnover by Z. LaVine (offensive foul),,37-42,,
6:33.0,,,37-42,,Turnover by T. Evans (bad pass; steal by K. Dunn)
6:25.0,C. Felicio makes 2-pt shot from 3 ft (assist by K. Dunn),2,39-42,,
6:25.0,Shooting foul by B. Weber (drawn by C. Felicio),,39-42,,
6:25.0,N. Vonleh enters the game for B. Portis,,39-42,,
6:25.0,C. Felicio misses free throw 1 of 1,,39-42,,
6:22.0,,,39-42,,Defensive rebound by J. Green
6:15.0,,,39-44,2,B. Weber makes 2-pt shot from 10 ft
6:01.0,Shooting foul by B. Weber (drawn by A. Blakeney),,39-44,,
6:01.0,A. Blakeney makes free throw 1 of 3,1,40-44,,
6:01.0,A. Blakeney makes free throw 2 of 3,1,41-44,,
6:01.0,A. Blakeney misses free throw 3 of 3,,41-44,,
6:00.0,,,41-44,,Defensive rebound by M. Gasol
5:45.0,Personal foul by K. Dunn (drawn by M. Gasol),,41-44,,
5:31.0,,,41-44,,J. Green misses 2-pt shot from 18 ft
5:31.0,,,41-44,,Offensive rebound by Team
5:31.0,,,41-44,,Turnover by Team (shot clock)
5:19.0,Shooting foul by M. Gasol (drawn by Z. LaVine),,41-44,,
5:19.0,Z. LaVine makes free throw 1 of 2,1,42-44,,
5:19.0,Z. LaVine makes free throw 2 of 2,1,43-44,,
5:05.0,,,43-44,,D. Brooks misses 3-pt shot from 25 ft
5:01.0,Defensive rebound by N. Vonleh,,43-44,,
4:49.0,N. Vonleh misses 3-pt shot from 25 ft,,43-44,,
4:47.0,,,43-44,,Defensive rebound by B. Weber
4:39.0,,,43-44,,Turnover by T. Evans (bad pass; steal by Z. LaVine)
4:35.0,A. Blakeney misses 3-pt shot from 22 ft (block by J. Green),,43-44,,
4:30.0,,,43-44,,Defensive rebound by T. Evans
4:29.0,,,43-44,,Turnover by T. Evans (bad pass; steal by N. Vonleh)
4:26.0,N. Vonleh makes 2-pt shot from 2 ft,2,45-44,,
4:08.0,,,45-44,,T. Evans misses 2-pt shot from 16 ft
4:05.0,Defensive rebound by K. Dunn,,45-44,,
3:58.0,K. Dunn makes 2-pt shot from 11 ft,2,47-44,,
3:33.0,,,47-47,3,M. Gasol makes 3-pt shot from 24 ft (assist by B. Weber)
3:22.0,Z. LaVine misses 3-pt shot from 25 ft,,47-47,,
3:17.0,,,47-47,,Defensive rebound by M. Gasol
3:07.0,,,47-47,,M. Gasol misses 2-pt shot from 13 ft
3:05.0,Defensive rebound by N. Vonleh,,47-47,,
2:58.0,K. Dunn makes 2-pt shot from 1 ft,2,49-47,,
2:44.0,,,49-49,2,J. Green makes 2-pt shot at rim (assist by M. Gasol)
2:42.0,Chicago full timeout,,49-49,,
2:42.0,,,49-49,,W. Selden enters the game for T. Evans
2:42.0,P. Zipser enters the game for C. Felicio,,49-49,,
2:42.0,B. Portis enters the game for A. Blakeney,,49-49,,
2:30.0,P. Zipser misses 3-pt shot from 22 ft,,49-49,,
2:28.0,,,49-49,,Defensive rebound by B. Weber
2:15.0,,,49-49,,J. Green misses 2-pt shot from 2 ft
2:13.0,Defensive rebound by P. Zipser,,49-49,,
2:09.0,Offensive charge foul by Z. LaVine (drawn by M. Gasol),,49-49,,
2:09.0,Turnover by Z. LaVine (offensive foul),,49-49,,
1:56.0,,,49-51,2,M. Gasol makes 2-pt shot from 16 ft (assist by D. Brooks)
1:40.0,Z. LaVine misses 2-pt shot from 17 ft,,49-51,,
1:35.0,,,49-51,,Defensive rebound by B. Weber
1:35.0,,,49-51,,Turnover by B. Weber (bad pass)
1:19.0,Z. LaVine makes 2-pt shot from 11 ft,2,51-51,,
1:19.0,Shooting foul by J. Green (drawn by Z. LaVine),,51-51,,
1:19.0,Z. LaVine makes free throw 1 of 1,1,52-51,,
1:04.0,,,52-51,,D. Brooks misses 3-pt shot from 25 ft
1:00.0,Defensive rebound by B. Portis,,52-51,,
0:52.0,K. Dunn misses 3-pt shot from 26 ft,,52-51,,
0:49.0,,,52-51,,Defensive rebound by Team
0:40.0,Personal foul by Z. LaVine (drawn by D. Brooks),,52-51,,
0:40.0,D. Valentine enters the game for Z. LaVine,,52-51,,
0:28.0,,,52-51,,Shooting foul by B. Portis (drawn by M. Gasol)
0:28.0,,,52-52,1,M. Gasol makes free throw 1 of 2
0:28.0,,,52-52,,M. Gasol misses free throw 2 of 2
0:26.0,Defensive rebound by P. Zipser,,52-52,,
0:06.0,P. Zipser misses 2-pt shot from 16 ft,,52-52,,
0:06.0,,,52-52,,Defensive rebound by J. Green
0:00.0,,,52-52,,M. Gasol misses 3-pt shot from 45 ft
0:00.0,,,52-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,Z. LaVine makes 3-pt shot from 29 ft (assist by K. Dunn),3,55-52,,
11:28.0,,,55-55,3,T. Evans makes 3-pt shot from 22 ft (assist by M. Gasol)
11:16.0,Z. LaVine misses 2-pt shot from 21 ft,,55-55,,
11:13.0,,,55-55,,Defensive rebound by J. Martin
11:02.0,,,55-57,2,J. Green makes 2-pt shot at rim (assist by M. Gasol)
10:47.0,N. Vonleh makes 3-pt shot from 27 ft (assist by Z. LaVine),3,58-57,,
10:31.0,Personal foul by C. Felicio (drawn by T. Evans),,58-57,,
10:23.0,,,58-57,,J. Martin misses 3-pt shot from 22 ft
10:20.0,Defensive rebound by K. Dunn,,58-57,,
10:19.0,Shooting foul by M. Gasol (drawn by D. Nwaba),,58-57,,
10:19.0,D. Nwaba makes free throw 1 of 2,1,59-57,,
10:19.0,D. Nwaba makes free throw 2 of 2,1,60-57,,
10:06.0,,,60-57,,D. Brooks misses 2-pt shot from 14 ft
10:04.0,Defensive rebound by N. Vonleh,,60-57,,
9:58.0,,,60-57,,Shooting block foul by M. Gasol (drawn by D. Nwaba)
9:58.0,D. Nwaba misses free throw 1 of 2,,60-57,,
9:58.0,Offensive rebound by Team,,60-57,,
9:58.0,,,60-57,,D. Davis enters the game for M. Gasol
9:58.0,D. Nwaba makes free throw 2 of 2,1,61-57,,
9:38.0,,,61-59,2,D. Davis makes 2-pt shot from 1 ft (assist by T. Evans)
9:19.0,D. Nwaba misses 3-pt shot from 24 ft,,61-59,,
9:15.0,,,61-59,,Defensive rebound by T. Evans
9:04.0,,,61-61,2,J. Green makes 2-pt shot at rim (assist by D. Davis)
8:49.0,Z. LaVine misses 3-pt shot from 28 ft,,61-61,,
8:45.0,Offensive rebound by D. Nwaba,,61-61,,
8:41.0,Turnover by K. Dunn (lost ball; steal by T. Evans),,61-61,,
8:35.0,,,61-63,2,D. Davis makes 2-pt shot from 1 ft (assist by T. Evans)
8:16.0,K. Dunn misses 3-pt shot from 25 ft,,61-63,,
8:14.0,,,61-63,,Defensive rebound by D. Davis
7:59.0,,,61-65,2,J. Green makes 2-pt shot at rim (assist by T. Evans)
7:59.0,Chicago full timeout,,61-65,,
7:48.0,Z. LaVine misses 3-pt shot from 22 ft,,61-65,,
7:47.0,Offensive rebound by Team,,61-65,,
7:47.0,,,61-65,,Loose ball foul by D. Davis (drawn by C. Felicio)
7:34.0,D. Nwaba makes 2-pt shot from 1 ft (assist by N. Vonleh),2,63-65,,
7:34.0,Shooting foul by D. Davis (drawn by D. Nwaba),,63-65,,
7:34.0,D. Nwaba makes free throw 1 of 1,1,64-65,,
7:23.0,,,64-65,,Turnover by J. Martin (bad pass; steal by D. Nwaba)
7:23.0,Turnover by D. Nwaba (bad pass),,64-65,,
7:12.0,,,64-65,,J. Martin misses 3-pt shot from 22 ft
7:05.0,,,64-65,,Offensive rebound by J. Green
7:05.0,,,64-65,,J. Green misses 2-pt shot at rim
7:04.0,Defensive rebound by Z. LaVine,,64-65,,
7:01.0,N. Vonleh misses 3-pt shot from 24 ft,,64-65,,
6:58.0,,,64-65,,Defensive rebound by D. Davis
6:50.0,,,64-65,,T. Evans misses 3-pt shot from 24 ft
6:47.0,Defensive rebound by Z. LaVine,,64-65,,
6:25.0,Turnover by Team (shot clock),,64-65,,
6:11.0,,,64-68,3,J. Green makes 3-pt shot from 22 ft (assist by D. Brooks)
5:44.0,Z. LaVine misses 3-pt shot from 24 ft,,64-68,,
5:42.0,,,64-68,,Defensive rebound by T. Evans
5:38.0,,,64-68,,T. Evans misses 2-pt shot from 7 ft
5:35.0,Defensive rebound by N. Vonleh,,64-68,,
5:18.0,D. Nwaba misses 2-pt shot from 12 ft,,64-68,,
5:13.0,Offensive rebound by D. Nwaba,,64-68,,
5:05.0,Z. LaVine makes 3-pt shot from 25 ft (assist by K. Dunn),3,67-68,,
4:48.0,,,67-68,,T. Evans misses 2-pt shot from 8 ft
4:48.0,,,67-68,,Offensive rebound by Team
4:48.0,,,67-68,,B. Weber enters the game for T. Evans
4:48.0,,,67-68,,B. McLemore enters the game for D. Brooks
4:48.0,C. Payne enters the game for C. Felicio,,67-68,,
4:48.0,P. Zipser enters the game for N. Vonleh,,67-68,,
4:48.0,B. Portis enters the game for K. Dunn,,67-68,,
4:48.0,,,67-68,,Offensive foul by D. Davis (drawn by C. Payne)
4:48.0,,,67-68,,Turnover by D. Davis (offensive foul)
4:35.0,Shooting foul by J. Green (drawn by Z. LaVine),,67-68,,
4:35.0,Z. LaVine makes free throw 1 of 2,1,68-68,,
4:35.0,,,68-68,,D. Brooks enters the game for J. Green
4:35.0,D. Valentine enters the game for D. Nwaba,,68-68,,
4:35.0,Z. LaVine makes free throw 2 of 2,1,69-68,,
4:14.0,,,69-68,,Shooting foul by B. Portis (drawn by J. Martin)
4:14.0,,,69-69,1,J. Martin makes free throw 1 of 2
4:14.0,,,69-70,1,J. Martin makes free throw 2 of 2
3:58.0,,,69-70,,Personal foul by B. McLemore (drawn by Z. LaVine)
3:58.0,Z. LaVine makes free throw 1 of 2,1,70-70,,
3:58.0,Z. LaVine makes free throw 2 of 2,1,71-70,,
3:43.0,,,71-70,,J. Martin misses 2-pt shot from 13 ft
3:39.0,Defensive rebound by C. Payne,,71-70,,
3:37.0,Offensive charge foul by D. Valentine (drawn by B. Weber),,71-70,,
3:37.0,Turnover by D. Valentine (offensive foul),,71-70,,
3:23.0,,,71-70,,Turnover by D. Brooks (bad pass; steal by B. Portis)
3:19.0,,,71-70,,Personal foul by J. Martin (drawn by B. Portis)
3:19.0,B. Portis makes free throw 1 of 2,1,72-70,,
3:19.0,A. Blakeney enters the game for Z. LaVine,,72-70,,
3:19.0,B. Portis makes free throw 2 of 2,1,73-70,,
2:57.0,,,73-70,,D. Davis misses 2-pt shot from 6 ft
2:54.0,Defensive rebound by P. Zipser,,73-70,,
2:43.0,B. Portis misses 3-pt shot from 24 ft,,73-70,,
2:40.0,,,73-70,,Defensive rebound by B. McLemore
2:35.0,,,73-70,,Shooting foul by D. Valentine (drawn by D. Brooks)
2:35.0,,,73-70,,Memphis full timeout
2:35.0,,,73-71,1,D. Brooks makes free throw 1 of 2
2:35.0,,,73-72,1,D. Brooks makes free throw 2 of 2
2:22.0,D. Valentine misses 3-pt shot from 27 ft,,73-72,,
2:19.0,,,73-72,,Defensive rebound by D. Davis
1:59.0,,,73-72,,D. Brooks misses 2-pt shot from 13 ft
1:53.0,,,73-72,,Offensive rebound by D. Davis
1:53.0,,,73-74,2,D. Davis makes 2-pt shot at rim
1:42.0,D. Valentine makes 3-pt shot from 25 ft (assist by C. Payne),3,76-74,,
1:26.0,,,76-74,,D. Brooks misses 2-pt shot from 11 ft
1:22.0,Defensive rebound by B. Portis,,76-74,,
1:13.0,A. Blakeney misses 3-pt shot from 22 ft,,76-74,,
1:09.0,,,76-74,,Defensive rebound by D. Davis
1:04.0,,,76-74,,B. Weber misses 2-pt shot from 11 ft
1:02.0,Defensive rebound by B. Portis,,76-74,,
0:50.0,Shooting foul by B. McLemore (drawn by P. Zipser),,76-74,,
0:50.0,P. Zipser makes free throw 1 of 2,1,77-74,,
0:50.0,,,77-74,,T. Evans enters the game for B. McLemore
0:50.0,,,77-74,,W. Selden enters the game for D. Brooks
0:50.0,P. Zipser makes free throw 2 of 2,1,78-74,,
0:33.0,,,78-74,,Turnover by W. Selden (bad pass)
0:27.0,Turnover by B. Portis (traveling),,78-74,,
0:06.0,,,78-74,,Shooting foul by C. Payne (drawn by T. Evans)
0:06.0,,,78-74,,T. Evans misses free throw 1 of 2
0:06.0,,,78-74,,Offensive rebound by Team
0:06.0,,,78-75,1,T. Evans makes free throw 2 of 2
0:02.0,C. Payne misses 2-pt shot from 3 ft,,78-75,,
0:02.0,,,78-75,,Defensive rebound by B. Weber
0:01.0,,,78-75,,J. Martin misses 3-pt shot from 56 ft
0:01.0,,,78-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,78-77,2,M. Gasol makes 2-pt shot from 7 ft (assist by J. Green)
11:24.0,B. Portis makes 2-pt shot from 1 ft (assist by C. Payne),2,80-77,,
11:14.0,,,80-79,2,T. Evans makes 2-pt shot from 6 ft
11:07.0,C. Payne makes 3-pt shot from 25 ft,3,83-79,,
10:53.0,,,83-79,,J. Green misses 2-pt shot from 22 ft
10:50.0,Defensive rebound by D. Valentine,,83-79,,
10:42.0,B. Portis makes 3-pt shot from 25 ft (assist by D. Valentine),3,86-79,,
10:22.0,,,86-81,2,J. Green makes 2-pt shot from 2 ft (assist by W. Selden)
10:11.0,C. Payne misses 2-pt shot from 3 ft,,86-81,,
10:07.0,Offensive rebound by N. Vonleh,,86-81,,
10:07.0,N. Vonleh misses 2-pt shot from 2 ft (block by M. Gasol),,86-81,,
10:07.0,,,86-81,,Defensive rebound by M. Gasol
9:50.0,,,86-81,,Shooting foul by N. Vonleh (drawn by T. Evans)
9:50.0,,,86-82,1,T. Evans makes free throw 1 of 2
9:50.0,K. Dunn enters the game for A. Blakeney,,86-82,,
9:50.0,,,86-83,1,T. Evans makes free throw 2 of 2
9:44.0,D. Valentine makes 3-pt shot from 25 ft (assist by C. Payne),3,89-83,,
9:20.0,,,89-86,3,T. Evans makes 3-pt shot from 25 ft
9:05.0,C. Payne makes 3-pt shot from 24 ft,3,92-86,,
8:51.0,,,92-86,,M. Gasol misses 3-pt shot from 24 ft
8:49.0,,,92-86,,Offensive rebound by J. Green
8:32.0,,,92-89,3,W. Selden makes 3-pt shot from 23 ft (assist by M. Gasol)
8:17.0,D. Valentine makes 3-pt shot from 26 ft (assist by B. Portis),3,95-89,,
8:03.0,,,95-92,3,T. Evans makes 3-pt shot from 24 ft
7:47.0,N. Vonleh misses 3-pt shot from 25 ft,,95-92,,
7:44.0,,,95-92,,Defensive rebound by J. Green
7:32.0,,,95-92,,W. Selden misses 3-pt shot from 24 ft
7:29.0,Defensive rebound by N. Vonleh,,95-92,,
7:26.0,Chicago full timeout,,95-92,,
7:26.0,,,95-92,,D. Brooks enters the game for T. Evans
7:26.0,C. Felicio enters the game for N. Vonleh,,95-92,,
7:26.0,A. Blakeney enters the game for K. Dunn,,95-92,,
7:12.0,Turnover by D. Valentine (bad pass; steal by W. Selden),,95-92,,
7:10.0,Personal take foul by A. Blakeney (drawn by D. Brooks),,95-92,,
6:59.0,,,95-92,,Shooting foul by D. Valentine (drawn by M. Gasol)
6:59.0,,,95-93,1,M. Gasol makes free throw 1 of 2
6:59.0,,,95-93,,M. Gasol misses free throw 2 of 2
6:56.0,Defensive rebound by C. Payne,,95-93,,
6:45.0,B. Portis makes 3-pt shot from 24 ft (assist by D. Valentine),3,98-93,,
6:31.0,,,98-93,,D. Brooks misses 3-pt shot from 24 ft
6:24.0,,,98-93,,Offensive rebound by W. Selden
6:13.0,,,98-93,,M. Gasol misses 2-pt shot from 2 ft
6:09.0,Defensive rebound by B. Portis,,98-93,,
6:06.0,A. Blakeney misses 2-pt shot from 3 ft (block by W. Selden),,98-93,,
6:02.0,Offensive rebound by C. Payne,,98-93,,
6:01.0,B. Portis makes 2-pt shot from 2 ft (assist by C. Payne),2,100-93,,
5:54.0,,,100-93,,Memphis full timeout
5:54.0,,,100-93,,T. Evans enters the game for B. Weber
5:54.0,,,100-93,,J. Martin enters the game for D. Brooks
5:54.0,P. Zipser enters the game for B. Portis,,100-93,,
5:54.0,N. Vonleh enters the game for D. Valentine,,100-93,,
5:40.0,,,100-95,2,M. Gasol makes 2-pt shot from 6 ft (assist by T. Evans)
5:25.0,N. Vonleh misses 3-pt shot from 22 ft,,100-95,,
5:23.0,,,100-95,,Defensive rebound by W. Selden
5:18.0,,,100-95,,T. Evans misses 2-pt shot from 3 ft (block by C. Felicio)
5:18.0,,,100-95,,Offensive rebound by Team
5:07.0,,,100-95,,W. Selden misses 3-pt shot from 23 ft
5:05.0,,,100-95,,Offensive rebound by M. Gasol
5:05.0,,,100-97,2,M. Gasol makes 2-pt shot from 9 ft
