time,Brooklyn,pts.away,score,pts.home,Portland
8:23.0,,,30-34,,Loose ball foul by E. Davis (drawn by R. Hollis-Jefferson)
8:11.0,Turnover by T. Mozgov (step out of bounds),,30-34,,
7:55.0,,,30-36,2,S. Napier makes 2-pt shot from 19 ft
7:34.0,S. Dinwiddie misses 3-pt shot from 24 ft,,30-36,,
7:32.0,,,30-36,,Defensive rebound by E. Turner
7:26.0,,,30-36,,P. Connaughton misses 2-pt shot from 1 ft (block by J. Harris)
7:24.0,Defensive rebound by S. Dinwiddie,,30-36,,
7:23.0,Shooting foul by C. McCollum (drawn by C. LeVert),,30-36,,
7:23.0,C. LeVert misses free throw 1 of 2,,30-36,,
7:23.0,Offensive rebound by Team,,30-36,,
7:23.0,,,30-36,,M. Harkless enters the game for E. Turner
7:23.0,,,30-36,,J. Nurkic enters the game for C. McCollum
7:23.0,,,30-36,,D. Lillard enters the game for E. Davis
7:23.0,D. Russell enters the game for S. Dinwiddie,,30-36,,
7:23.0,Q. Acy enters the game for T. Mozgov,,30-36,,
7:23.0,C. LeVert makes free throw 2 of 2,1,31-36,,
7:06.0,,,31-36,,D. Lillard misses 2-pt shot from 3 ft
7:04.0,Defensive rebound by C. LeVert,,31-36,,
6:58.0,J. Harris makes 3-pt shot from 22 ft (assist by C. LeVert),3,34-36,,
6:37.0,,,34-36,,P. Connaughton misses 2-pt shot from 1 ft
6:35.0,Defensive rebound by J. Harris,,34-36,,
6:24.0,D. Russell makes 3-pt shot from 22 ft (assist by C. LeVert),3,37-36,,
6:04.0,,,37-38,2,J. Nurkic makes 2-pt shot from 3 ft
5:52.0,Turnover by D. Russell (bad pass; steal by S. Napier),,37-38,,
5:49.0,,,37-40,2,S. Napier makes 2-pt shot at rim
5:31.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by C. LeVert),2,39-40,,
5:16.0,,,39-40,,D. Lillard misses 3-pt shot from 24 ft
5:14.0,Defensive rebound by R. Hollis-Jefferson,,39-40,,
5:05.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft,,39-40,,
5:04.0,,,39-40,,Defensive rebound by D. Lillard
4:56.0,,,39-42,2,M. Harkless makes 2-pt shot at rim (assist by P. Connaughton)
4:56.0,Brooklyn full timeout,,39-42,,
4:56.0,,,39-42,,E. Turner enters the game for P. Connaughton
4:56.0,A. Crabbe enters the game for J. Harris,,39-42,,
4:45.0,A. Crabbe misses 3-pt shot from 26 ft,,39-42,,
4:42.0,,,39-42,,Defensive rebound by D. Lillard
4:26.0,,,39-42,,J. Nurkic misses 2-pt shot from 4 ft
4:21.0,Defensive rebound by R. Hollis-Jefferson,,39-42,,
4:15.0,Q. Acy misses 3-pt shot from 22 ft,,39-42,,
4:14.0,,,39-42,,Defensive rebound by M. Harkless
4:06.0,,,39-42,,Turnover by D. Lillard (bad pass; steal by R. Hollis-Jefferson)
4:02.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft,,39-42,,
3:59.0,,,39-42,,Defensive rebound by S. Napier
3:55.0,D. Carroll enters the game for C. LeVert,,39-42,,
3:51.0,,,39-44,2,E. Turner makes 2-pt shot from 1 ft (assist by D. Lillard)
3:36.0,D. Russell misses 2-pt shot from 15 ft,,39-44,,
3:34.0,,,39-44,,Defensive rebound by D. Lillard
3:24.0,,,39-44,,E. Turner misses 2-pt shot from 17 ft
3:20.0,Defensive rebound by A. Crabbe,,39-44,,
3:04.0,D. Carroll misses 3-pt shot from 23 ft,,39-44,,
3:01.0,,,39-44,,Defensive rebound by S. Napier
2:52.0,,,39-46,2,J. Nurkic makes 2-pt shot at rim (assist by S. Napier)
2:43.0,D. Russell misses 2-pt shot from 1 ft,,39-46,,
2:40.0,,,39-46,,Defensive rebound by E. Turner
2:29.0,,,39-46,,J. Nurkic misses 2-pt shot from 1 ft
2:28.0,Defensive rebound by Q. Acy,,39-46,,
2:24.0,D. Russell makes 2-pt shot at rim,2,41-46,,
1:59.0,,,41-46,,J. Nurkic misses 2-pt shot from 9 ft
1:58.0,Defensive rebound by D. Carroll,,41-46,,
1:49.0,D. Russell makes 3-pt shot from 24 ft (assist by Q. Acy),3,44-46,,
1:27.0,,,44-46,,D. Lillard misses 2-pt shot at rim
1:26.0,Defensive rebound by Q. Acy,,44-46,,
1:17.0,D. Carroll misses 3-pt shot from 23 ft,,44-46,,
1:15.0,,,44-46,,Defensive rebound by S. Napier
1:07.0,,,44-48,2,S. Napier makes 2-pt shot at rim
0:51.0,D. Russell misses 3-pt shot from 25 ft,,44-48,,
0:48.0,,,44-48,,Defensive rebound by E. Turner
0:34.0,Personal block foul by Q. Acy (drawn by D. Lillard),,44-48,,
0:34.0,,,44-48,,E. Davis enters the game for S. Napier
0:34.0,,,44-48,,C. McCollum enters the game for J. Nurkic
0:34.0,S. Dinwiddie enters the game for Q. Acy,,44-48,,
0:29.0,,,44-50,2,D. Lillard makes 2-pt shot from 1 ft
0:05.0,D. Russell misses 3-pt shot from 25 ft,,44-50,,
0:01.0,Offensive rebound by R. Hollis-Jefferson,,44-50,,
0:01.0,R. Hollis-Jefferson makes 2-pt shot from 3 ft,2,46-50,,
0:01.0,Personal block foul by D. Russell (drawn by D. Lillard),,46-50,,
0:01.0,,,46-51,1,D. Lillard makes free throw 2 of 2
0:01.0,,,46-52,1,D. Lillard makes free throw 1 of 2
0:01.0,T. Mozgov enters the game for S. Dinwiddie,,46-52,,
0:00.0,A. Crabbe misses 3-pt shot from 51 ft,,46-52,,
0:00.0,Offensive rebound by Team,,46-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,T. Mozgov makes 2-pt shot from 4 ft (assist by A. Crabbe),2,48-52,,
11:29.0,,,48-54,2,J. Nurkic makes 2-pt shot from 2 ft (assist by D. Lillard)
11:17.0,Offensive foul by T. Mozgov (drawn by D. Lillard),,48-54,,
11:17.0,Turnover by T. Mozgov (offensive foul),,48-54,,
11:02.0,,,48-57,3,C. McCollum makes 3-pt shot from 24 ft
10:37.0,T. Mozgov makes 2-pt shot from 1 ft (assist by D. Russell),2,50-57,,
10:19.0,,,50-57,,C. McCollum misses 2-pt shot from 3 ft
10:15.0,,,50-57,,Offensive rebound by J. Nurkic
10:15.0,,,50-59,2,J. Nurkic makes 2-pt shot at rim
10:08.0,D. Russell misses 2-pt shot from 8 ft,,50-59,,
10:04.0,,,50-59,,Defensive rebound by M. Harkless
9:54.0,,,50-59,,J. Nurkic misses 2-pt shot from 3 ft
9:52.0,,,50-59,,Offensive rebound by M. Harkless
9:52.0,,,50-59,,M. Harkless misses 2-pt shot at rim
9:52.0,Defensive rebound by Team,,50-59,,
9:37.0,R. Hollis-Jefferson misses 2-pt shot from 7 ft,,50-59,,
9:37.0,,,50-59,,Defensive rebound by Team
9:37.0,Loose ball foul by T. Mozgov (drawn by J. Nurkic),,50-59,,
9:28.0,,,50-59,,J. Nurkic misses 2-pt shot from 7 ft
9:25.0,Defensive rebound by D. Carroll,,50-59,,
9:22.0,D. Carroll makes 2-pt shot from 2 ft,2,52-59,,
9:22.0,,,52-59,,Violation by J. Nurkic (def goaltending)
9:00.0,,,52-61,2,D. Lillard makes 2-pt shot from 19 ft
8:51.0,D. Russell makes 2-pt shot from 9 ft,2,54-61,,
8:43.0,,,54-61,,D. Lillard misses 3-pt shot from 26 ft
8:40.0,,,54-61,,Offensive rebound by D. Lillard
8:36.0,,,54-61,,M. Harkless misses 3-pt shot from 22 ft
8:34.0,Defensive rebound by T. Mozgov,,54-61,,
8:29.0,R. Hollis-Jefferson misses 3-pt shot from 24 ft,,54-61,,
8:26.0,,,54-61,,Defensive rebound by C. McCollum
8:14.0,,,54-61,,M. Harkless misses 2-pt shot from 1 ft
8:12.0,Defensive rebound by A. Crabbe,,54-61,,
7:58.0,,,54-61,,Personal foul by J. Nurkic (drawn by D. Russell)
7:52.0,D. Russell misses 2-pt shot from 14 ft,,54-61,,
7:48.0,,,54-61,,Defensive rebound by M. Harkless
7:37.0,,,54-61,,Shooting foul by D. Carroll (drawn by M. Harkless)
7:37.0,,,54-62,1,M. Harkless makes free throw 1 of 2
7:37.0,,,54-62,,E. Davis enters the game for J. Nurkic
7:37.0,Q. Acy enters the game for T. Mozgov,,54-62,,
7:37.0,,,54-63,1,M. Harkless makes free throw 2 of 2
7:27.0,Shooting foul by M. Harkless (drawn by R. Hollis-Jefferson),,54-63,,
7:27.0,R. Hollis-Jefferson makes free throw 1 of 2,1,55-63,,
7:27.0,R. Hollis-Jefferson misses free throw 2 of 2,,55-63,,
7:23.0,Offensive rebound by Q. Acy,,55-63,,
7:21.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft,,55-63,,
7:18.0,,,55-63,,Defensive rebound by N. Vonleh
7:09.0,,,55-63,,Shooting foul by A. Crabbe (drawn by C. McCollum)
7:09.0,,,55-64,1,C. McCollum makes free throw 1 of 2
7:09.0,,,55-65,1,C. McCollum makes free throw 2 of 2
7:00.0,A. Crabbe makes 2-pt shot from 1 ft (assist by D. Russell),2,57-65,,
6:37.0,,,57-65,,M. Harkless misses 2-pt shot from 1 ft
6:36.0,,,57-65,,Offensive rebound by E. Davis
6:35.0,,,57-65,,Turnover by E. Davis (bad pass; steal by A. Crabbe)
6:29.0,A. Crabbe makes 2-pt shot from 16 ft (assist by D. Russell),2,59-65,,
6:18.0,,,59-65,,C. McCollum misses 2-pt shot from 15 ft
6:18.0,,,59-65,,Offensive rebound by C. McCollum
6:13.0,,,59-65,,E. Davis misses 2-pt shot from 1 ft
6:12.0,,,59-65,,Offensive rebound by N. Vonleh
6:11.0,,,59-65,,Turnover by C. McCollum (bad pass)
6:11.0,,,59-65,,Portland full timeout
6:00.0,A. Crabbe misses 3-pt shot from 24 ft,,59-65,,
5:56.0,Offensive rebound by D. Carroll,,59-65,,
5:48.0,,,59-65,,Personal foul by N. Vonleh (drawn by R. Hollis-Jefferson)
5:42.0,Q. Acy makes 3-pt shot from 25 ft (assist by D. Russell),3,62-65,,
5:18.0,,,62-65,,P. Connaughton enters the game for C. McCollum
5:18.0,,,62-65,,E. Turner enters the game for M. Harkless
5:14.0,,,62-65,,E. Turner misses 3-pt shot from 23 ft
5:14.0,,,62-65,,Offensive rebound by Team
5:14.0,,,62-65,,Turnover by Team (shot clock)
4:55.0,D. Russell misses 3-pt shot from 25 ft,,62-65,,
4:52.0,Offensive rebound by A. Crabbe,,62-65,,
4:51.0,D. Carroll makes 3-pt shot from 22 ft (assist by A. Crabbe),3,65-65,,
4:33.0,,,65-65,,D. Lillard misses 2-pt shot from 13 ft
4:28.0,Defensive rebound by D. Russell,,65-65,,
4:23.0,D. Carroll misses 3-pt shot from 24 ft,,65-65,,
4:21.0,,,65-65,,Defensive rebound by D. Lillard
4:06.0,,,65-65,,E. Turner misses 3-pt shot from 24 ft
4:02.0,,,65-65,,Offensive rebound by P. Connaughton
4:02.0,,,65-65,,P. Connaughton misses 2-pt shot at rim
4:01.0,Defensive rebound by D. Carroll,,65-65,,
3:59.0,D. Carroll makes 2-pt shot at rim (assist by D. Russell),2,67-65,,
3:59.0,,,67-65,,Portland full timeout
3:59.0,,,67-65,,S. Napier enters the game for N. Vonleh
3:59.0,J. Harris enters the game for D. Russell,,67-65,,
3:59.0,S. Dinwiddie enters the game for R. Hollis-Jefferson,,67-65,,
3:46.0,,,67-65,,Turnover by P. Connaughton (out of bounds lost ball)
3:35.0,Shooting foul by S. Napier (drawn by Q. Acy),,67-65,,
3:35.0,Q. Acy makes free throw 1 of 2,1,68-65,,
3:35.0,Q. Acy makes free throw 2 of 2,1,69-65,,
3:12.0,,,69-65,,Offensive charge foul by P. Connaughton (drawn by D. Carroll)
3:12.0,,,69-65,,Turnover by P. Connaughton (offensive foul)
3:12.0,C. LeVert enters the game for A. Crabbe,,69-65,,
3:12.0,,,69-65,,J. Nurkic enters the game for E. Davis
2:57.0,S. Dinwiddie misses 2-pt shot at rim,,69-65,,
2:55.0,,,69-65,,Defensive rebound by D. Lillard
2:47.0,,,69-65,,S. Napier misses 3-pt shot from 24 ft
2:45.0,Defensive rebound by Q. Acy,,69-65,,
2:22.0,S. Dinwiddie makes 3-pt shot from 28 ft (assist by D. Carroll),3,72-65,,
1:59.0,,,72-65,,E. Turner misses 2-pt shot from 15 ft
1:57.0,Defensive rebound by Q. Acy,,72-65,,
1:49.0,J. Harris misses 3-pt shot from 25 ft,,72-65,,
1:48.0,Offensive rebound by D. Carroll,,72-65,,
1:48.0,D. Carroll misses 2-pt shot at rim,,72-65,,
1:48.0,,,72-65,,Defensive rebound by Team
1:48.0,,,72-65,,C. McCollum enters the game for P. Connaughton
1:48.0,R. Hollis-Jefferson enters the game for D. Carroll,,72-65,,
1:38.0,,,72-67,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
1:22.0,Q. Acy makes 3-pt shot from 25 ft (assist by J. Harris),3,75-67,,
1:06.0,,,75-67,,J. Nurkic misses 2-pt shot from 7 ft
1:04.0,Defensive rebound by R. Hollis-Jefferson,,75-67,,
0:56.0,S. Dinwiddie makes 2-pt shot from 1 ft,2,77-67,,
0:46.0,,,77-67,,D. Lillard misses 2-pt shot from 21 ft
0:43.0,,,77-67,,Offensive rebound by D. Lillard
0:24.0,,,77-70,3,C. McCollum makes 3-pt shot from 24 ft
0:04.0,S. Dinwiddie misses 2-pt shot from 1 ft,,77-70,,
0:02.0,,,77-70,,Defensive rebound by C. McCollum
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,77-70,,M. Harkless misses 2-pt shot from 2 ft (block by J. Harris)
11:43.0,Defensive rebound by C. LeVert,,77-70,,
11:39.0,J. Harris misses 3-pt shot from 24 ft,,77-70,,
11:35.0,,,77-70,,Defensive rebound by E. Turner
11:22.0,,,77-70,,J. Nurkic misses 2-pt shot from 6 ft
11:21.0,Defensive rebound by T. Mozgov,,77-70,,
11:07.0,S. Dinwiddie misses 2-pt shot from 1 ft,,77-70,,
11:07.0,Offensive rebound by T. Mozgov,,77-70,,
11:07.0,Shooting foul by C. McCollum (drawn by T. Mozgov),,77-70,,
11:07.0,T. Mozgov misses free throw 1 of 2,,77-70,,
11:07.0,Offensive rebound by Team,,77-70,,
11:07.0,,,77-70,,E. Davis enters the game for J. Nurkic
11:07.0,T. Mozgov misses free throw 2 of 2,,77-70,,
11:04.0,,,77-70,,Defensive rebound by E. Turner
10:47.0,,,77-72,2,S. Napier makes 2-pt shot from 19 ft
10:31.0,J. Harris makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,79-72,,
10:31.0,Shooting foul by S. Napier (drawn by J. Harris),,79-72,,
10:31.0,J. Harris makes free throw 1 of 1,1,80-72,,
10:15.0,,,80-74,2,E. Turner makes 2-pt shot from 14 ft
9:51.0,Turnover by C. LeVert (bad pass),,80-74,,
9:45.0,,,80-77,3,E. Turner makes 3-pt shot from 22 ft (assist by C. McCollum)
9:26.0,J. Harris misses 2-pt shot at rim (block by E. Davis),,80-77,,
9:23.0,,,80-77,,Defensive rebound by E. Davis
9:14.0,,,80-79,2,C. McCollum makes 2-pt shot from 19 ft
9:12.0,Brooklyn full timeout,,80-79,,
9:12.0,Q. Acy enters the game for T. Mozgov,,80-79,,
8:54.0,Q. Acy misses 2-pt shot from 2 ft,,80-79,,
8:52.0,,,80-79,,Defensive rebound by M. Harkless
8:44.0,,,80-79,,M. Harkless misses 3-pt shot from 25 ft
8:40.0,Defensive rebound by C. LeVert,,80-79,,
8:17.0,S. Dinwiddie makes 2-pt shot from 1 ft,2,82-79,,
7:58.0,,,82-79,,C. McCollum misses 3-pt shot from 24 ft
7:57.0,Defensive rebound by R. Hollis-Jefferson,,82-79,,
7:49.0,C. LeVert misses 3-pt shot from 24 ft,,82-79,,
7:48.0,,,82-79,,Defensive rebound by E. Davis
7:39.0,,,82-82,3,S. Napier makes 3-pt shot from 25 ft
7:29.0,R. Hollis-Jefferson misses 2-pt shot from 4 ft (block by E. Davis),,82-82,,
7:29.0,Offensive rebound by C. LeVert,,82-82,,
7:27.0,C. LeVert makes 2-pt shot from 1 ft,2,84-82,,
7:10.0,,,84-84,2,C. McCollum makes 2-pt shot from 15 ft
6:53.0,S. Dinwiddie misses 2-pt shot from 1 ft (block by M. Harkless),,84-84,,
6:50.0,,,84-84,,Defensive rebound by E. Turner
6:45.0,Personal foul by Q. Acy (drawn by S. Napier),,84-84,,
6:45.0,,,84-84,,D. Lillard enters the game for S. Napier
6:45.0,A. Crabbe enters the game for S. Dinwiddie,,84-84,,
6:45.0,D. Russell enters the game for C. LeVert,,84-84,,
6:37.0,,,84-84,,C. McCollum misses 2-pt shot from 15 ft
6:34.0,Defensive rebound by D. Russell,,84-84,,
6:28.0,,,84-84,,Personal foul by D. Lillard (drawn by D. Russell)
6:28.0,D. Carroll enters the game for J. Harris,,84-84,,
6:24.0,R. Hollis-Jefferson misses 2-pt shot from 4 ft,,84-84,,
6:22.0,,,84-84,,Defensive rebound by E. Davis
6:14.0,,,84-86,2,E. Turner makes 2-pt shot from 7 ft
5:58.0,D. Carroll misses 3-pt shot from 24 ft,,84-86,,
5:57.0,,,84-86,,Defensive rebound by Team
5:40.0,,,84-89,3,D. Lillard makes 3-pt shot from 27 ft (assist by E. Turner)
5:39.0,Brooklyn full timeout,,84-89,,
5:28.0,R. Hollis-Jefferson makes 2-pt shot from 10 ft,2,86-89,,
5:09.0,,,86-89,,M. Harkless misses 2-pt shot from 1 ft
5:06.0,,,86-89,,Offensive rebound by M. Harkless
5:06.0,,,86-89,,M. Harkless misses 2-pt shot at rim
5:06.0,Defensive rebound by R. Hollis-Jefferson,,86-89,,
5:04.0,D. Russell makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson),3,89-89,,
4:42.0,,,89-89,,E. Turner misses 2-pt shot from 3 ft
4:41.0,,,89-89,,Offensive rebound by Team
4:41.0,Loose ball foul by A. Crabbe (drawn by M. Harkless),,89-89,,
4:41.0,S. Dinwiddie enters the game for Q. Acy,,89-89,,
