time,Charlotte,pts.away,score,pts.home,Indiana
5:48.0,Defensive rebound by D. Howard,,19-15,,
5:37.0,D. Howard misses 2-pt shot from 2 ft,,19-15,,
5:34.0,,,19-15,,Defensive rebound by M. Turner
5:19.0,,,19-15,,L. Stephenson misses 3-pt shot from 26 ft
5:18.0,,,19-15,,Offensive rebound by Team
5:06.0,,,19-15,,M. Turner misses 3-pt shot from 27 ft
5:01.0,Defensive rebound by M. Kidd-Gilchrist,,19-15,,
4:57.0,M. Williams misses 3-pt shot from 23 ft,,19-15,,
4:54.0,Offensive rebound by D. Howard,,19-15,,
4:50.0,,,19-15,,Personal foul by D. Collison (drawn by K. Walker)
4:48.0,M. Williams makes 3-pt shot from 26 ft (assist by N. Batum),3,22-15,,
4:34.0,,,22-15,,D. Collison misses 2-pt shot from 18 ft
4:32.0,Defensive rebound by K. Walker,,22-15,,
4:24.0,N. Batum misses 3-pt shot from 27 ft,,22-15,,
4:22.0,,,22-15,,Defensive rebound by L. Stephenson
4:19.0,,,22-15,,Turnover by L. Stephenson (bad pass; steal by M. Williams)
4:16.0,D. Howard misses 2-pt shot from 2 ft (block by L. Stephenson),,22-15,,
4:12.0,Offensive rebound by M. Kidd-Gilchrist,,22-15,,
4:12.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,24-15,,
3:53.0,,,24-15,,C. Joseph enters the game for T. Booker
3:53.0,,,24-15,,D. Sabonis enters the game for G. Robinson
3:53.0,J. Lamb enters the game for M. Williams,,24-15,,
3:53.0,F. Kaminsky enters the game for N. Batum,,24-15,,
3:46.0,,,24-15,,D. Collison misses 2-pt shot from 19 ft
3:46.0,,,24-15,,Offensive rebound by Team
3:46.0,,,24-15,,Turnover by Team (shot clock)
3:34.0,D. Howard misses 2-pt shot from 1 ft (block by M. Turner),,24-15,,
3:30.0,,,24-15,,Defensive rebound by D. Sabonis
3:25.0,,,24-17,2,D. Sabonis makes 2-pt shot from 19 ft (assist by D. Collison)
3:11.0,K. Walker makes 3-pt shot from 26 ft,3,27-17,,
2:52.0,,,27-17,,M. Turner misses 3-pt shot from 27 ft
2:51.0,Defensive rebound by Team,,27-17,,
2:51.0,,,27-17,,Loose ball foul by L. Stephenson (drawn by F. Kaminsky)
2:51.0,Charlotte full timeout,,27-17,,
2:51.0,M. Monk enters the game for M. Kidd-Gilchrist,,27-17,,
2:51.0,J. Stone enters the game for K. Walker,,27-17,,
2:42.0,,,27-17,,Personal foul by M. Turner (drawn by D. Howard)
2:42.0,,,27-17,,J. Young enters the game for D. Collison
2:35.0,F. Kaminsky misses 3-pt shot from 26 ft,,27-17,,
2:32.0,Offensive rebound by J. Stone,,27-17,,
2:30.0,D. Howard makes 2-pt shot from 1 ft (assist by J. Stone),2,29-17,,
2:03.0,,,29-17,,C. Joseph misses 2-pt shot from 4 ft
2:00.0,Defensive rebound by D. Howard,,29-17,,
1:40.0,F. Kaminsky makes 2-pt shot from 15 ft,2,31-17,,
1:22.0,,,31-19,2,D. Sabonis makes 2-pt shot from 13 ft (assist by C. Joseph)
1:05.0,F. Kaminsky misses 2-pt shot from 7 ft,,31-19,,
1:04.0,,,31-19,,Defensive rebound by L. Stephenson
0:58.0,,,31-21,2,L. Stephenson makes 2-pt shot from 1 ft
0:57.0,,,31-21,,Personal foul by J. Young (drawn by M. Monk)
0:57.0,M. Monk makes free throw 1 of 2,1,32-21,,
0:57.0,,,32-21,,T. Leaf enters the game for M. Turner
0:57.0,W. Hernangomez enters the game for D. Howard,,32-21,,
0:57.0,M. Monk makes free throw 2 of 2,1,33-21,,
0:33.0,,,33-23,2,T. Leaf makes 2-pt shot from 11 ft (assist by D. Sabonis)
0:15.0,,,33-23,,Personal foul by D. Sabonis (drawn by W. Hernangomez)
0:15.0,W. Hernangomez misses free throw 1 of 2,,33-23,,
0:15.0,Offensive rebound by Team,,33-23,,
0:15.0,W. Hernangomez makes free throw 2 of 2,1,34-23,,
0:02.0,,,34-25,2,D. Sabonis makes 2-pt shot from 2 ft (assist by C. Joseph)
0:00.0,F. Kaminsky makes 3-pt shot from 43 ft (assist by J. Stone),3,37-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,,,37-27,2,C. Joseph makes 2-pt shot from 17 ft
11:30.0,J. Lamb misses 2-pt shot from 21 ft,,37-27,,
11:28.0,,,37-27,,Defensive rebound by D. Sabonis
11:23.0,,,37-27,,Turnover by C. Joseph (bad pass; steal by J. Lamb)
11:18.0,F. Kaminsky misses 3-pt shot from 26 ft,,37-27,,
11:13.0,,,37-27,,Defensive rebound by D. Sabonis
10:57.0,,,37-27,,G. Robinson misses 2-pt shot from 4 ft (block by W. Hernangomez)
10:57.0,,,37-27,,Offensive rebound by Team
10:51.0,,,37-27,,T. Leaf misses 2-pt shot from 10 ft
10:47.0,,,37-27,,Offensive rebound by G. Robinson
10:47.0,,,37-29,2,G. Robinson makes 2-pt shot at rim
10:30.0,W. Hernangomez misses 2-pt shot from 6 ft,,37-29,,
10:28.0,,,37-29,,Defensive rebound by D. Sabonis
10:19.0,,,37-31,2,D. Sabonis makes 2-pt shot from 7 ft (assist by T. Leaf)
10:04.0,M. Monk makes 2-pt shot from 1 ft,2,39-31,,
9:56.0,,,39-31,,C. Joseph misses 2-pt shot from 16 ft
9:50.0,Defensive rebound by J. Lamb,,39-31,,
9:43.0,W. Hernangomez misses 2-pt shot from 2 ft,,39-31,,
9:39.0,,,39-31,,Defensive rebound by C. Joseph
9:39.0,Personal foul by J. Stone (drawn by C. Joseph),,39-31,,
9:21.0,,,39-31,,T. Leaf misses 2-pt shot at rim
9:18.0,,,39-31,,Offensive rebound by T. Leaf
9:18.0,,,39-33,2,T. Leaf makes 2-pt shot at rim
9:06.0,M. Monk misses 3-pt shot from 28 ft,,39-33,,
9:01.0,,,39-33,,Defensive rebound by G. Robinson
8:42.0,,,39-33,,G. Robinson misses 2-pt shot from 1 ft
8:40.0,Defensive rebound by F. Kaminsky,,39-33,,
8:30.0,F. Kaminsky makes 2-pt shot from 10 ft (assist by J. Lamb),2,41-33,,
8:30.0,Shooting foul by T. Leaf (drawn by F. Kaminsky),,41-33,,
8:30.0,F. Kaminsky makes free throw 1 of 1,1,42-33,,
8:27.0,,,42-33,,Indiana full timeout
8:27.0,,,42-33,,A. Jefferson enters the game for D. Sabonis
8:19.0,,,42-36,3,J. Young makes 3-pt shot from 28 ft (assist by C. Joseph)
8:09.0,,,42-36,,Personal foul by A. Jefferson (drawn by W. Hernangomez)
8:01.0,M. Monk misses 3-pt shot from 23 ft,,42-36,,
7:57.0,,,42-36,,Defensive rebound by A. Jefferson
7:40.0,,,42-36,,J. Young misses 2-pt shot from 1 ft
7:35.0,,,42-36,,Offensive rebound by T. Leaf
7:35.0,,,42-38,2,T. Leaf makes 2-pt shot at rim
7:24.0,M. Monk makes 3-pt shot from 25 ft (assist by J. Stone),3,45-38,,
7:00.0,,,45-38,,J. Young misses 3-pt shot from 26 ft
6:56.0,Defensive rebound by W. Hernangomez,,45-38,,
6:53.0,M. Monk makes 3-pt shot from 27 ft,3,48-38,,
6:33.0,,,48-40,2,A. Jefferson makes 2-pt shot from 18 ft (assist by C. Joseph)
6:16.0,M. Monk misses 3-pt shot from 28 ft,,48-40,,
6:13.0,,,48-40,,Defensive rebound by C. Joseph
6:04.0,,,48-40,,Shooting foul by J. Stone (drawn by T. Leaf)
6:04.0,,,48-41,1,T. Leaf makes free throw 1 of 2
6:04.0,K. Walker enters the game for J. Stone,,48-41,,
6:04.0,,,48-41,,T. Leaf misses free throw 2 of 2
6:04.0,Defensive rebound by W. Hernangomez,,48-41,,
5:48.0,J. Lamb misses 2-pt shot from 3 ft,,48-41,,
5:43.0,Offensive rebound by W. Hernangomez,,48-41,,
5:43.0,W. Hernangomez makes 2-pt shot at rim,2,50-41,,
5:29.0,,,50-43,2,A. Jefferson makes 2-pt shot from 1 ft (assist by J. Young)
5:12.0,M. Monk misses 3-pt shot from 23 ft,,50-43,,
5:08.0,Offensive rebound by F. Kaminsky,,50-43,,
5:08.0,F. Kaminsky makes 2-pt shot at rim,2,52-43,,
4:58.0,,,52-45,2,T. Leaf makes 2-pt shot from 21 ft (assist by C. Joseph)
4:42.0,M. Monk misses 2-pt shot from 7 ft,,52-45,,
4:38.0,Offensive rebound by W. Hernangomez,,52-45,,
4:38.0,W. Hernangomez misses 2-pt shot at rim,,52-45,,
4:36.0,,,52-45,,Defensive rebound by C. Joseph
4:28.0,,,52-45,,Turnover by A. Jefferson (bad pass; steal by W. Hernangomez)
4:22.0,F. Kaminsky makes 2-pt shot from 1 ft (assist by J. Lamb),2,54-45,,
4:10.0,Personal foul by W. Hernangomez (drawn by A. Jefferson),,54-45,,
4:10.0,,,54-45,,L. Stephenson enters the game for J. Young
4:10.0,M. Williams enters the game for M. Monk,,54-45,,
4:10.0,N. Batum enters the game for J. Lamb,,54-45,,
4:10.0,D. Howard enters the game for W. Hernangomez,,54-45,,
4:10.0,M. Kidd-Gilchrist enters the game for F. Kaminsky,,54-45,,
3:55.0,,,54-45,,C. Joseph misses 3-pt shot from 28 ft
3:52.0,Defensive rebound by D. Howard,,54-45,,
3:44.0,K. Walker makes 3-pt shot from 26 ft,3,57-45,,
3:29.0,,,57-45,,Shooting foul by D. Howard (drawn by A. Jefferson)
3:29.0,,,57-46,1,A. Jefferson makes free throw 1 of 2
3:29.0,,,57-46,,T. Booker enters the game for T. Leaf
3:29.0,,,57-47,1,A. Jefferson makes free throw 2 of 2
3:15.0,Turnover by K. Walker (bad pass; steal by L. Stephenson),,57-47,,
3:14.0,Personal foul by D. Howard (drawn by L. Stephenson),,57-47,,
3:14.0,,,57-48,1,L. Stephenson makes free throw 1 of 2
3:14.0,,,57-48,,L. Stephenson misses free throw 2 of 2
3:14.0,Defensive rebound by D. Howard,,57-48,,
3:02.0,N. Batum misses 2-pt shot from 21 ft,,57-48,,
2:59.0,Offensive rebound by D. Howard,,57-48,,
2:49.0,K. Walker misses 3-pt shot from 26 ft,,57-48,,
2:45.0,,,57-48,,Defensive rebound by A. Jefferson
2:40.0,,,57-48,,L. Stephenson misses 2-pt shot from 1 ft (block by M. Williams)
2:36.0,,,57-48,,Offensive rebound by G. Robinson
2:35.0,,,57-48,,C. Joseph misses 3-pt shot from 26 ft
2:35.0,Defensive rebound by Team,,57-48,,
2:35.0,Charlotte full timeout,,57-48,,
2:35.0,,,57-48,,J. Young enters the game for C. Joseph
2:22.0,N. Batum makes 3-pt shot from 26 ft (assist by K. Walker),3,60-48,,
2:06.0,,,60-48,,A. Jefferson misses 2-pt shot from 18 ft
2:03.0,Defensive rebound by M. Williams,,60-48,,
2:02.0,Turnover by N. Batum (bad pass; steal by L. Stephenson),,60-48,,
1:51.0,Personal foul by M. Williams (drawn by L. Stephenson),,60-48,,
1:51.0,,,60-49,1,L. Stephenson makes free throw 1 of 2
1:51.0,,,60-49,,L. Stephenson misses free throw 2 of 2
1:51.0,Defensive rebound by D. Howard,,60-49,,
1:38.0,K. Walker makes 2-pt shot from 9 ft,2,62-49,,
1:20.0,,,62-51,2,J. Young makes 2-pt shot from 18 ft
1:06.0,K. Walker misses 2-pt shot from 12 ft,,62-51,,
1:04.0,,,62-51,,Defensive rebound by L. Stephenson
0:53.0,,,62-53,2,G. Robinson makes 2-pt shot from 3 ft
0:37.0,Shooting foul by A. Jefferson (drawn by D. Howard),,62-53,,
0:37.0,D. Howard makes free throw 1 of 2,1,63-53,,
0:37.0,D. Howard misses free throw 2 of 2,,63-53,,
0:37.0,,,63-53,,Defensive rebound by A. Jefferson
0:20.0,,,63-55,2,J. Young makes 2-pt shot from 1 ft
0:05.0,K. Walker misses 3-pt shot from 25 ft,,63-55,,
0:02.0,,,63-55,,Defensive rebound by G. Robinson
0:00.0,,,63-55,,L. Stephenson misses 3-pt shot from 49 ft
0:00.0,,,63-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,63-55,,D. Collison misses 2-pt shot from 5 ft
11:32.0,Defensive rebound by D. Howard,,63-55,,
11:24.0,D. Howard misses 2-pt shot from 20 ft,,63-55,,
11:20.0,,,63-55,,Defensive rebound by G. Robinson
11:05.0,,,63-55,,G. Robinson misses 3-pt shot from 23 ft
11:04.0,Defensive rebound by M. Williams,,63-55,,
10:42.0,D. Howard makes 2-pt shot from 1 ft,2,65-55,,
10:28.0,,,65-55,,G. Robinson misses 2-pt shot from 13 ft
10:26.0,Defensive rebound by D. Howard,,65-55,,
10:15.0,K. Walker misses 2-pt shot from 1 ft,,65-55,,
10:13.0,,,65-55,,Defensive rebound by M. Turner
10:03.0,,,65-55,,M. Turner misses 2-pt shot from 21 ft
10:00.0,Defensive rebound by M. Kidd-Gilchrist,,65-55,,
9:50.0,N. Batum makes 2-pt shot from 15 ft,2,67-55,,
9:50.0,Shooting foul by G. Robinson (drawn by N. Batum),,67-55,,
9:50.0,N. Batum makes free throw 1 of 1,1,68-55,,
9:34.0,,,68-58,3,D. Collison makes 3-pt shot from 27 ft (assist by M. Turner)
9:20.0,M. Williams misses 2-pt shot from 11 ft,,68-58,,
9:18.0,,,68-58,,Defensive rebound by L. Stephenson
9:13.0,,,68-58,,T. Leaf misses 3-pt shot from 26 ft
9:10.0,,,68-58,,Offensive rebound by L. Stephenson
9:07.0,,,68-61,3,G. Robinson makes 3-pt shot from 23 ft (assist by L. Stephenson)
8:55.0,N. Batum misses 3-pt shot from 28 ft,,68-61,,
8:52.0,,,68-61,,Defensive rebound by D. Collison
8:48.0,,,68-61,,D. Collison misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist)
8:44.0,Defensive rebound by D. Howard,,68-61,,
8:41.0,K. Walker makes 2-pt shot from 1 ft (assist by M. Williams),2,70-61,,
8:26.0,Personal block foul by M. Williams (drawn by T. Leaf),,70-61,,
8:21.0,,,70-61,,L. Stephenson misses 3-pt shot from 26 ft
8:17.0,Defensive rebound by D. Howard,,70-61,,
8:00.0,N. Batum makes 2-pt shot from 19 ft,2,72-61,,
7:48.0,,,72-61,,M. Turner misses 2-pt shot from 19 ft
7:44.0,Defensive rebound by N. Batum,,72-61,,
7:36.0,D. Howard makes 2-pt shot from 18 ft (assist by M. Williams),2,74-61,,
7:11.0,,,74-63,2,T. Leaf makes 2-pt shot from 10 ft (assist by D. Collison)
6:58.0,M. Williams misses 3-pt shot from 29 ft,,74-63,,
6:54.0,Offensive rebound by N. Batum,,74-63,,
6:50.0,M. Williams misses 2-pt shot from 16 ft,,74-63,,
6:46.0,Offensive rebound by M. Williams,,74-63,,
6:46.0,N. Batum makes 2-pt shot from 1 ft (assist by M. Williams),2,76-63,,
6:46.0,Shooting foul by M. Turner (drawn by N. Batum),,76-63,,
6:46.0,,,76-63,,Indiana full timeout
6:46.0,N. Batum makes free throw 1 of 1,1,77-63,,
6:36.0,,,77-63,,T. Leaf misses 3-pt shot from 26 ft
6:33.0,Defensive rebound by K. Walker,,77-63,,
6:26.0,N. Batum misses 2-pt shot from 19 ft,,77-63,,
6:23.0,,,77-63,,Defensive rebound by T. Leaf
6:17.0,,,77-63,,G. Robinson misses 2-pt shot from 19 ft
6:14.0,Defensive rebound by D. Howard,,77-63,,
6:04.0,M. Kidd-Gilchrist makes 2-pt shot at rim,2,79-63,,
5:51.0,,,79-65,2,T. Leaf makes 2-pt shot from 1 ft (assist by L. Stephenson)
5:34.0,D. Howard makes 2-pt shot from 19 ft (assist by K. Walker),2,81-65,,
5:14.0,,,81-67,2,D. Collison makes 2-pt shot from 15 ft
4:56.0,M. Williams misses 3-pt shot from 30 ft,,81-67,,
4:53.0,,,81-67,,Defensive rebound by D. Collison
4:37.0,,,81-67,,Turnover by G. Robinson (lost ball; steal by M. Kidd-Gilchrist)
4:30.0,M. Williams misses 2-pt shot at rim,,81-67,,
4:28.0,,,81-67,,Defensive rebound by D. Collison
4:14.0,,,81-69,2,D. Collison makes 2-pt shot from 20 ft
3:57.0,M. Williams makes 3-pt shot from 30 ft (assist by K. Walker),3,84-69,,
3:45.0,,,84-69,,Turnover by M. Turner (traveling)
3:45.0,,,84-69,,C. Joseph enters the game for G. Robinson
3:45.0,,,84-69,,D. Sabonis enters the game for T. Leaf
3:45.0,F. Kaminsky enters the game for M. Williams,,84-69,,
3:45.0,J. Lamb enters the game for N. Batum,,84-69,,
3:31.0,D. Howard misses 2-pt shot from 7 ft,,84-69,,
3:29.0,,,84-69,,Defensive rebound by L. Stephenson
3:18.0,,,84-69,,D. Collison misses 3-pt shot from 27 ft
3:16.0,Defensive rebound by D. Howard,,84-69,,
3:02.0,D. Howard misses 2-pt shot from 6 ft (block by M. Turner),,84-69,,
3:00.0,,,84-69,,Defensive rebound by L. Stephenson
2:57.0,,,84-69,,D. Sabonis misses 2-pt shot from 11 ft
2:54.0,,,84-69,,Offensive rebound by D. Sabonis
2:54.0,,,84-69,,D. Sabonis misses 2-pt shot at rim
2:53.0,,,84-69,,Offensive rebound by M. Turner
2:52.0,,,84-69,,M. Turner misses 2-pt shot from 3 ft (block by F. Kaminsky)
2:52.0,Defensive rebound by F. Kaminsky,,84-69,,
2:42.0,K. Walker makes 3-pt shot from 27 ft,3,87-69,,
2:29.0,,,87-69,,L. Stephenson misses 2-pt shot from 8 ft
2:29.0,Defensive rebound by Team,,87-69,,
2:29.0,,,87-69,,Loose ball foul by L. Stephenson (drawn by D. Howard)
2:29.0,Charlotte full timeout,,87-69,,
2:29.0,,,87-69,,T. Booker enters the game for M. Turner
2:29.0,J. Stone enters the game for M. Kidd-Gilchrist,,87-69,,
2:29.0,M. Monk enters the game for K. Walker,,87-69,,
2:20.0,J. Lamb misses 2-pt shot from 21 ft,,87-69,,
2:18.0,,,87-69,,Defensive rebound by L. Stephenson
2:07.0,,,87-69,,C. Joseph misses 3-pt shot from 22 ft
2:03.0,Defensive rebound by J. Stone,,87-69,,
1:49.0,D. Howard misses 2-pt shot from 18 ft,,87-69,,
1:46.0,,,87-69,,Defensive rebound by L. Stephenson
1:29.0,,,87-69,,C. Joseph misses 2-pt shot from 3 ft (block by D. Howard)
1:27.0,,,87-69,,Offensive rebound by D. Sabonis
1:21.0,,,87-69,,Turnover by C. Joseph (bad pass; steal by J. Stone)
1:16.0,F. Kaminsky misses 3-pt shot from 27 ft,,87-69,,
1:13.0,Offensive rebound by D. Howard,,87-69,,
1:11.0,F. Kaminsky misses 3-pt shot from 26 ft,,87-69,,
1:09.0,,,87-69,,Defensive rebound by L. Stephenson
0:55.0,,,87-69,,T. Booker misses 2-pt shot from 19 ft
0:52.0,Defensive rebound by J. Stone,,87-69,,
0:48.0,Turnover by M. Monk (bad pass),,87-69,,
0:48.0,,,87-69,,J. Young enters the game for D. Collison
0:32.0,,,87-71,2,T. Booker makes 2-pt shot from 9 ft (assist by C. Joseph)
0:16.0,M. Monk misses 2-pt shot from 14 ft,,87-71,,
0:13.0,,,87-71,,Defensive rebound by D. Sabonis
0:01.0,,,87-71,,L. Stephenson misses 3-pt shot from 23 ft
0:01.0,,,87-71,,Offensive rebound by D. Sabonis
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,M. Monk makes 2-pt shot at rim,2,89-71,,
11:33.0,,,89-74,3,G. Robinson makes 3-pt shot from 23 ft (assist by C. Joseph)
11:16.0,M. Monk makes 2-pt shot from 1 ft,2,91-74,,
11:01.0,,,91-74,,T. Booker misses 2-pt shot from 8 ft
10:58.0,Defensive rebound by W. Hernangomez,,91-74,,
10:48.0,M. Monk misses 3-pt shot from 25 ft,,91-74,,
10:46.0,,,91-74,,Defensive rebound by G. Robinson
10:36.0,,,91-74,,D. Sabonis misses 2-pt shot from 8 ft
10:32.0,,,91-74,,Offensive rebound by T. Booker
10:30.0,,,91-76,2,T. Booker makes 2-pt shot from 2 ft
10:14.0,J. Lamb makes 2-pt shot from 9 ft (assist by F. Kaminsky),2,93-76,,
9:55.0,,,93-78,2,D. Sabonis makes 2-pt shot from 6 ft (assist by T. Booker)
9:40.0,F. Kaminsky makes 2-pt shot from 12 ft (assist by M. Monk),2,95-78,,
9:20.0,,,95-78,,T. Booker misses 3-pt shot from 23 ft
9:16.0,Defensive rebound by J. Lamb,,95-78,,
9:11.0,F. Kaminsky misses 3-pt shot from 26 ft,,95-78,,
9:09.0,,,95-78,,Defensive rebound by G. Robinson
8:57.0,,,95-78,,C. Joseph misses 3-pt shot from 26 ft
8:53.0,Defensive rebound by F. Kaminsky,,95-78,,
8:41.0,W. Hernangomez misses 2-pt shot from 13 ft,,95-78,,
8:38.0,,,95-78,,Defensive rebound by J. Young
8:32.0,,,95-78,,J. Young misses 2-pt shot from 9 ft
8:28.0,Defensive rebound by W. Hernangomez,,95-78,,
8:21.0,W. Hernangomez misses 2-pt shot from 20 ft,,95-78,,
8:20.0,Offensive rebound by Team,,95-78,,
8:20.0,,,95-78,,Loose ball foul by D. Sabonis (drawn by F. Kaminsky)
8:14.0,J. Lamb makes 2-pt shot from 6 ft,2,97-78,,
8:03.0,,,97-78,,D. Sabonis misses 2-pt shot from 3 ft
8:00.0,,,97-78,,Offensive rebound by J. Young
7:49.0,,,97-78,,T. Booker misses 2-pt shot from 1 ft
7:47.0,Defensive rebound by F. Kaminsky,,97-78,,
7:38.0,F. Kaminsky misses 2-pt shot from 6 ft (block by D. Sabonis),,97-78,,
7:35.0,,,97-78,,Defensive rebound by D. Sabonis
7:30.0,,,97-81,3,G. Robinson makes 3-pt shot from 28 ft (assist by C. Joseph)
7:10.0,M. Monk misses 3-pt shot from 24 ft,,97-81,,
7:08.0,,,97-81,,Defensive rebound by D. Sabonis
7:08.0,,,97-81,,Indiana full timeout
7:08.0,,,97-81,,L. Stephenson enters the game for J. Young
7:08.0,,,97-81,,A. Jefferson enters the game for D. Sabonis
7:08.0,,,97-81,,T. Leaf enters the game for T. Booker
6:47.0,,,97-81,,A. Jefferson misses 3-pt shot from 24 ft
6:44.0,Defensive rebound by F. Kaminsky,,97-81,,
6:38.0,J. Lamb misses 3-pt shot from 26 ft,,97-81,,
6:35.0,,,97-81,,Defensive rebound by A. Jefferson
6:21.0,,,97-83,2,C. Joseph makes 2-pt shot from 1 ft
6:06.0,F. Kaminsky makes 2-pt shot from 18 ft,2,99-83,,
5:52.0,,,99-83,,Offensive charge foul by C. Joseph (drawn by M. Monk)
5:52.0,,,99-83,,Turnover by C. Joseph (offensive foul)
5:41.0,M. Monk misses 2-pt shot from 20 ft,,99-83,,
5:39.0,,,99-83,,Defensive rebound by L. Stephenson
5:32.0,,,99-83,,T. Leaf misses 3-pt shot from 23 ft
5:29.0,Defensive rebound by J. Lamb,,99-83,,
5:29.0,Turnover by J. Lamb (bad pass),,99-83,,
5:05.0,,,99-85,2,A. Jefferson makes 2-pt shot from 10 ft
4:45.0,J. Stone makes 3-pt shot from 24 ft (assist by J. Lamb),3,102-85,,
4:25.0,,,102-87,2,A. Jefferson makes 2-pt shot from 8 ft
4:09.0,M. Monk misses 3-pt shot from 26 ft,,102-87,,
4:07.0,,,102-87,,Defensive rebound by A. Jefferson
3:57.0,,,102-89,2,C. Joseph makes 2-pt shot from 19 ft
3:41.0,J. Stone makes 3-pt shot from 23 ft (assist by J. Lamb),3,105-89,,
3:24.0,,,105-89,,T. Leaf misses 2-pt shot from 19 ft
3:21.0,Defensive rebound by J. Stone,,105-89,,
3:14.0,F. Kaminsky makes 3-pt shot from 27 ft (assist by J. Stone),3,108-89,,
3:13.0,,,108-89,,Indiana full timeout
3:13.0,,,108-89,,A. Poythress enters the game for C. Joseph
3:13.0,,,108-89,,J. Young enters the game for T. Leaf
3:13.0,M. Paige enters the game for J. Lamb,,108-89,,
3:01.0,,,108-89,,G. Robinson misses 2-pt shot from 1 ft (block by W. Hernangomez)
2:57.0,Defensive rebound by W. Hernangomez,,108-89,,
2:43.0,F. Kaminsky makes 3-pt shot from 30 ft (assist by J. Stone),3,111-89,,
2:22.0,,,111-91,2,A. Jefferson makes 2-pt shot from 11 ft (assist by G. Robinson)
2:10.0,,,111-91,,Personal foul by L. Stephenson (drawn by M. Monk)
2:10.0,,,111-91,,E. Sumner enters the game for L. Stephenson
2:10.0,,,111-91,,I. Anigbogu enters the game for A. Jefferson
2:02.0,F. Kaminsky makes 2-pt shot from 8 ft (assist by M. Monk),2,113-91,,
1:48.0,,,113-91,,J. Young misses 2-pt shot from 17 ft
