time,Dallas,pts.away,score,pts.home,Oklahoma City
6:40.0,,,42-41,,R. Westbrook enters the game for R. Felton
6:40.0,,,42-41,,S. Adams enters the game for P. George
6:40.0,,,42-41,,C. Anthony enters the game for P. Patterson
6:40.0,D. Smith enters the game for J. Barea,,42-41,,
6:40.0,H. Barnes enters the game for D. Powell,,42-41,,
6:40.0,S. Mejri enters the game for D. Nowitzki,,42-41,,
6:40.0,W. Matthews enters the game for D. Harris,,42-41,,
6:30.0,,,42-41,,J. Grant misses 3-pt shot from 23 ft
6:25.0,,,42-41,,Offensive rebound by C. Anthony
6:16.0,,,42-41,,T. Ferguson misses 3-pt shot from 25 ft
6:13.0,Defensive rebound by Team,,42-41,,
6:01.0,W. Matthews makes 2-pt shot from 8 ft (assist by D. Smith),2,44-41,,
5:39.0,,,44-43,2,R. Westbrook makes 2-pt shot from 13 ft
5:25.0,W. Matthews misses 3-pt shot from 23 ft,,44-43,,
5:21.0,,,44-43,,Defensive rebound by T. Ferguson
5:07.0,,,44-43,,Offensive foul by S. Adams (drawn by S. Mejri)
5:07.0,,,44-43,,Turnover by S. Adams (offensive foul)
4:57.0,S. Mejri makes 2-pt shot at rim (assist by D. Smith),2,46-43,,
4:45.0,,,46-45,2,C. Anthony makes 2-pt shot from 10 ft
4:27.0,D. Smith misses 3-pt shot from 25 ft,,46-45,,
4:25.0,,,46-45,,Defensive rebound by R. Westbrook
4:17.0,,,46-48,3,C. Anthony makes 3-pt shot from 24 ft (assist by R. Westbrook)
4:16.0,Dallas full timeout,,46-48,,
4:16.0,,,46-48,,P. George enters the game for J. Grant
4:16.0,,,46-48,,J. Huestis enters the game for T. Ferguson
4:04.0,Y. Ferrell makes 3-pt shot from 25 ft,3,49-48,,
3:50.0,,,49-48,,Shooting foul by S. Mejri (drawn by R. Westbrook)
3:50.0,,,49-48,,R. Westbrook misses free throw 1 of 2
3:50.0,,,49-48,,Offensive rebound by Team
3:50.0,,,49-48,,R. Westbrook misses free throw 2 of 2
3:47.0,Defensive rebound by S. Mejri,,49-48,,
3:37.0,Turnover by Y. Ferrell (bad pass),,49-48,,
3:28.0,,,49-51,3,C. Anthony makes 3-pt shot from 24 ft (assist by R. Westbrook)
3:04.0,Y. Ferrell misses 3-pt shot from 23 ft,,49-51,,
3:00.0,,,49-51,,Defensive rebound by S. Adams
2:49.0,,,49-51,,Turnover by S. Adams (lost ball; steal by D. Smith)
2:43.0,D. Smith misses 2-pt shot at rim,,49-51,,
2:40.0,Offensive rebound by Y. Ferrell,,49-51,,
2:36.0,Y. Ferrell makes 2-pt shot from 3 ft,2,51-51,,
2:28.0,,,51-53,2,R. Westbrook makes 2-pt shot at rim
2:14.0,D. Smith misses 2-pt shot from 11 ft,,51-53,,
2:13.0,,,51-53,,Defensive rebound by J. Huestis
2:09.0,,,51-55,2,R. Westbrook makes 2-pt shot at rim
2:09.0,Violation by S. Mejri (def goaltending),,51-55,,
1:53.0,H. Barnes makes 3-pt shot from 25 ft,3,54-55,,
1:28.0,,,54-55,,P. George misses 2-pt shot from 6 ft (block by S. Mejri)
1:25.0,Defensive rebound by W. Matthews,,54-55,,
1:17.0,M. Kleber enters the game for S. Mejri,,54-55,,
1:14.0,W. Matthews misses 2-pt shot from 21 ft,,54-55,,
1:12.0,Offensive rebound by Team,,54-55,,
1:12.0,,,54-55,,Loose ball foul by P. George (drawn by W. Matthews)
0:50.0,D. Smith misses 2-pt shot from 5 ft (block by J. Huestis),,54-55,,
0:47.0,,,54-55,,Defensive rebound by R. Westbrook
0:41.0,,,54-58,3,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook)
0:34.0,Y. Ferrell makes 3-pt shot from 26 ft,3,57-58,,
0:29.0,,,57-61,3,C. Anthony makes 3-pt shot from 23 ft (assist by R. Westbrook)
0:06.0,Turnover by D. Smith (lost ball; steal by S. Adams),,57-61,,
0:02.0,,,57-61,,Shooting foul by M. Kleber (drawn by P. George)
0:02.0,,,57-62,1,P. George makes free throw 1 of 2
0:02.0,,,57-63,1,P. George makes free throw 2 of 2
0:00.0,H. Barnes misses 3-pt shot from 49 ft,,57-63,,
0:00.0,Offensive rebound by Team,,57-63,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,H. Barnes misses 2-pt shot from 4 ft,,57-63,,
11:33.0,Offensive rebound by M. Kleber,,57-63,,
11:33.0,M. Kleber makes 2-pt shot at rim,2,59-63,,
11:11.0,,,59-63,,J. Huestis misses 3-pt shot from 25 ft
11:08.0,,,59-63,,Offensive rebound by S. Adams
11:08.0,,,59-65,2,S. Adams makes 2-pt shot from 2 ft
10:47.0,H. Barnes misses 2-pt shot from 10 ft,,59-65,,
10:45.0,,,59-65,,Defensive rebound by P. George
10:41.0,,,59-65,,Turnover by J. Huestis (out of bounds lost ball)
10:24.0,D. Nowitzki makes 2-pt shot from 12 ft (assist by W. Matthews),2,61-65,,
10:10.0,,,61-67,2,R. Westbrook makes 2-pt shot from 9 ft
10:00.0,M. Kleber makes 2-pt shot at rim (assist by D. Smith),2,63-67,,
10:00.0,Shooting foul by P. George (drawn by M. Kleber),,63-67,,
10:00.0,M. Kleber makes free throw 1 of 1,1,64-67,,
9:52.0,,,64-70,3,P. George makes 3-pt shot from 24 ft (assist by R. Westbrook)
9:29.0,D. Nowitzki misses 3-pt shot from 23 ft,,64-70,,
9:28.0,Offensive rebound by H. Barnes,,64-70,,
9:26.0,H. Barnes makes 2-pt shot at rim,2,66-70,,
9:24.0,,,66-70,,Oklahoma City full timeout
9:10.0,,,66-70,,Turnover by R. Westbrook (bad pass)
8:59.0,,,66-70,,Personal foul by S. Adams (drawn by M. Kleber)
8:51.0,D. Smith misses 3-pt shot from 24 ft,,66-70,,
8:47.0,Offensive rebound by M. Kleber,,66-70,,
8:47.0,M. Kleber misses 2-pt shot at rim,,66-70,,
8:46.0,,,66-70,,Defensive rebound by S. Adams
8:39.0,,,66-70,,J. Huestis misses 3-pt shot from 25 ft
8:35.0,Defensive rebound by H. Barnes,,66-70,,
8:25.0,Turnover by H. Barnes (out of bounds lost ball),,66-70,,
8:08.0,,,66-70,,J. Huestis misses 3-pt shot from 25 ft
8:03.0,Defensive rebound by W. Matthews,,66-70,,
7:54.0,M. Kleber makes 2-pt shot at rim (assist by D. Smith),2,68-70,,
7:39.0,,,68-70,,Shooting foul by M. Kleber (drawn by R. Westbrook)
7:39.0,,,68-70,,R. Westbrook misses free throw 1 of 2
7:39.0,,,68-70,,Offensive rebound by Team
7:39.0,,,68-71,1,R. Westbrook makes free throw 2 of 2
7:16.0,H. Barnes makes 2-pt shot from 5 ft,2,70-71,,
6:59.0,,,70-71,,C. Anthony misses 2-pt shot from 9 ft
6:56.0,Defensive rebound by D. Smith,,70-71,,
6:45.0,Turnover by D. Smith (bad pass; steal by J. Huestis),,70-71,,
6:41.0,,,70-73,2,C. Anthony makes 2-pt shot from 1 ft (assist by R. Westbrook)
6:40.0,Dallas full timeout,,70-73,,
6:40.0,,,70-73,,T. Ferguson enters the game for P. George
6:40.0,S. Mejri enters the game for M. Kleber,,70-73,,
6:40.0,Y. Ferrell enters the game for D. Nowitzki,,70-73,,
6:26.0,Turnover by D. Smith (bad pass; steal by R. Westbrook),,70-73,,
6:22.0,,,70-73,,R. Westbrook misses 2-pt shot from 2 ft (block by H. Barnes)
6:22.0,,,70-73,,Offensive rebound by Team
6:22.0,D. Harris enters the game for D. Smith,,70-73,,
6:15.0,,,70-73,,Shooting foul by S. Mejri (drawn by R. Westbrook)
6:15.0,,,70-74,1,R. Westbrook makes free throw 1 of 2
6:15.0,J. Barea enters the game for W. Matthews,,70-74,,
6:15.0,,,70-75,1,R. Westbrook makes free throw 2 of 2
6:05.0,H. Barnes makes 2-pt shot from 19 ft (assist by J. Barea),2,72-75,,
5:46.0,,,72-75,,R. Westbrook misses 2-pt shot from 11 ft
5:40.0,Defensive rebound by H. Barnes,,72-75,,
5:36.0,D. Harris makes 3-pt shot from 22 ft (assist by H. Barnes),3,75-75,,
5:22.0,,,75-75,,Offensive foul by C. Anthony (drawn by Y. Ferrell)
5:22.0,,,75-75,,Turnover by C. Anthony (offensive foul)
5:22.0,,,75-75,,R. Felton enters the game for J. Huestis
5:05.0,Y. Ferrell misses 3-pt shot from 22 ft,,75-75,,
5:03.0,,,75-75,,Defensive rebound by R. Westbrook
4:55.0,,,75-75,,C. Anthony misses 3-pt shot from 24 ft
4:52.0,Defensive rebound by Y. Ferrell,,75-75,,
4:38.0,S. Mejri makes 2-pt shot from 2 ft (assist by J. Barea),2,77-75,,
4:24.0,,,77-75,,R. Westbrook misses 2-pt shot from 20 ft
4:19.0,,,77-75,,Offensive rebound by S. Adams
4:19.0,,,77-77,2,S. Adams makes 2-pt shot at rim
4:10.0,D. Harris makes 3-pt shot from 24 ft (assist by J. Barea),3,80-77,,
3:46.0,,,80-77,,C. Anthony misses 2-pt shot from 8 ft (block by S. Mejri)
3:44.0,Defensive rebound by J. Barea,,80-77,,
3:44.0,,,80-77,,Personal foul by T. Ferguson (drawn by J. Barea)
3:37.0,,,80-77,,Personal foul by T. Ferguson (drawn by D. Harris)
3:37.0,,,80-77,,J. Grant enters the game for C. Anthony
3:24.0,S. Mejri makes 2-pt shot at rim (assist by J. Barea),2,82-77,,
3:06.0,,,82-77,,J. Grant misses 3-pt shot from 25 ft
3:04.0,Defensive rebound by S. Mejri,,82-77,,
2:52.0,Y. Ferrell misses 2-pt shot from 14 ft,,82-77,,
2:49.0,,,82-77,,Defensive rebound by R. Westbrook
2:48.0,Personal foul by D. Harris (drawn by R. Westbrook),,82-77,,
2:37.0,,,82-77,,Turnover by S. Adams (bad pass; steal by Y. Ferrell)
2:29.0,D. Harris misses 3-pt shot from 23 ft,,82-77,,
2:27.0,,,82-77,,Defensive rebound by R. Westbrook
2:18.0,,,82-79,2,R. Westbrook makes 2-pt shot from 19 ft
1:48.0,Turnover by Team (shot clock),,82-79,,
1:48.0,,,82-79,,P. Patterson enters the game for S. Adams
1:48.0,D. Nowitzki enters the game for H. Barnes,,82-79,,
1:48.0,D. Powell enters the game for S. Mejri,,82-79,,
1:39.0,,,82-79,,R. Westbrook misses 3-pt shot from 25 ft
1:37.0,Defensive rebound by D. Powell,,82-79,,
1:19.0,J. Barea misses 3-pt shot from 25 ft,,82-79,,
1:16.0,,,82-79,,Defensive rebound by P. Patterson
1:13.0,,,82-79,,Turnover by R. Westbrook (lost ball; steal by D. Powell)
1:07.0,D. Harris misses 2-pt shot at rim,,82-79,,
1:04.0,,,82-79,,Defensive rebound by T. Ferguson
0:59.0,,,82-81,2,R. Felton makes 2-pt shot from 18 ft
0:44.0,D. Powell makes 2-pt shot at rim (assist by J. Barea),2,84-81,,
0:38.0,Personal foul by Y. Ferrell (drawn by R. Westbrook),,84-81,,
0:27.0,,,84-83,2,R. Felton makes 2-pt shot from 19 ft
0:05.0,D. Powell misses 2-pt shot from 1 ft (block by J. Grant),,84-83,,
0:03.0,,,84-83,,Defensive rebound by R. Westbrook
0:00.0,,,84-85,2,T. Ferguson makes 2-pt shot from 1 ft (assist by R. Westbrook)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,,,84-86,1,R. Felton makes technical free throw
11:46.0,,,84-89,3,R. Felton makes 3-pt shot from 26 ft
11:24.0,D. Nowitzki misses 3-pt shot from 24 ft,,84-89,,
11:22.0,,,84-89,,Defensive rebound by P. Patterson
11:15.0,,,84-89,,R. Felton misses 3-pt shot from 25 ft
11:12.0,Defensive rebound by D. Nowitzki,,84-89,,
11:02.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by J. Barea),2,86-89,,
11:01.0,,,86-89,,Oklahoma City full timeout
10:49.0,,,86-89,,R. Felton misses 2-pt shot from 20 ft
10:45.0,Defensive rebound by D. Nowitzki,,86-89,,
10:32.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by Y. Ferrell),3,89-89,,
10:05.0,,,89-89,,Turnover by T. Ferguson (bad pass)
10:05.0,,,89-89,,P. George enters the game for T. Ferguson
10:05.0,W. Matthews enters the game for D. Harris,,89-89,,
9:41.0,Y. Ferrell misses 3-pt shot from 24 ft,,89-89,,
9:38.0,,,89-89,,Defensive rebound by J. Grant
9:27.0,Personal block foul by W. Matthews (drawn by P. George),,89-89,,
9:20.0,,,89-89,,Turnover by P. George (bad pass; steal by Y. Ferrell)
9:03.0,D. Nowitzki makes 2-pt shot from 14 ft (assist by J. Barea),2,91-89,,
8:46.0,,,91-89,,Shooting foul by W. Matthews (drawn by P. George)
8:46.0,,,91-89,,P. George misses free throw 1 of 2
8:46.0,,,91-89,,Offensive rebound by Team
8:46.0,,,91-89,,R. Westbrook enters the game for R. Felton
8:46.0,,,91-89,,P. George misses free throw 2 of 2
8:46.0,,,91-89,,Offensive rebound by J. Grant
8:37.0,,,91-89,,P. Patterson misses 3-pt shot from 23 ft
8:35.0,Defensive rebound by J. Barea,,91-89,,
8:25.0,D. Nowitzki misses 2-pt shot from 13 ft,,91-89,,
8:23.0,,,91-89,,Defensive rebound by J. Grant
8:18.0,,,91-91,2,R. Westbrook makes 2-pt shot from 1 ft
8:05.0,,,91-91,,Personal block foul by A. Abrines (drawn by W. Matthews)
8:05.0,D. Smith enters the game for Y. Ferrell,,91-91,,
7:56.0,D. Nowitzki misses 3-pt shot from 24 ft,,91-91,,
7:55.0,,,91-91,,Defensive rebound by Team
7:43.0,,,91-93,2,R. Westbrook makes 2-pt shot from 21 ft (assist by P. George)
7:42.0,Dallas full timeout,,91-93,,
7:42.0,,,91-93,,C. Anthony enters the game for J. Grant
7:42.0,H. Barnes enters the game for D. Nowitzki,,91-93,,
7:30.0,H. Barnes misses 3-pt shot from 23 ft,,91-93,,
7:27.0,,,91-93,,Defensive rebound by R. Westbrook
7:12.0,,,91-93,,Shooting foul by D. Smith (drawn by C. Anthony)
7:12.0,,,91-94,1,C. Anthony makes free throw 1 of 2
7:12.0,,,91-94,,S. Adams enters the game for P. Patterson
7:12.0,S. Mejri enters the game for D. Powell,,91-94,,
7:12.0,,,91-94,,C. Anthony misses free throw 2 of 2
7:10.0,Defensive rebound by J. Barea,,91-94,,
6:53.0,J. Barea makes 2-pt shot from 8 ft,2,93-94,,
6:39.0,,,93-94,,R. Westbrook misses 2-pt shot from 20 ft
6:36.0,Defensive rebound by S. Mejri,,93-94,,
6:24.0,J. Barea misses 2-pt shot from 17 ft,,93-94,,
6:20.0,,,93-94,,Defensive rebound by R. Westbrook
6:14.0,,,93-96,2,R. Westbrook makes 2-pt shot from 10 ft
5:57.0,D. Smith misses 2-pt shot from 2 ft (block by P. George),,93-96,,
5:57.0,Offensive rebound by Team,,93-96,,
5:57.0,,,93-96,,R. Felton enters the game for A. Abrines
5:49.0,H. Barnes makes 2-pt shot from 9 ft,2,95-96,,
5:31.0,,,95-96,,C. Anthony misses 2-pt shot from 11 ft
5:28.0,Defensive rebound by J. Barea,,95-96,,
5:14.0,J. Barea makes 2-pt shot from 14 ft,2,97-96,,
4:57.0,,,97-98,2,R. Westbrook makes 2-pt shot from 17 ft
4:53.0,,,97-98,,Personal foul by S. Adams (drawn by S. Mejri)
4:29.0,H. Barnes makes 3-pt shot from 22 ft (assist by D. Smith),3,100-98,,
4:06.0,,,100-98,,R. Westbrook misses 2-pt shot from 1 ft
4:06.0,,,100-98,,Offensive rebound by S. Adams
4:06.0,,,100-100,2,S. Adams makes 2-pt shot from 1 ft
3:38.0,,,100-100,,Personal foul by C. Anthony (drawn by J. Barea)
3:27.0,Shooting foul by C. Anthony (drawn by D. Smith),,100-100,,
3:27.0,D. Smith makes free throw 1 of 2,1,101-100,,
3:27.0,,,101-100,,Oklahoma City full timeout
3:27.0,,,101-100,,J. Grant enters the game for S. Adams
3:27.0,Y. Ferrell enters the game for J. Barea,,101-100,,
3:27.0,D. Smith makes free throw 2 of 2,1,102-100,,
3:15.0,,,102-102,2,R. Westbrook makes 2-pt shot from 19 ft (assist by C. Anthony)
3:14.0,Dallas full timeout,,102-102,,
2:58.0,W. Matthews misses 2-pt shot from 14 ft,,102-102,,
2:56.0,,,102-102,,Defensive rebound by R. Felton
2:46.0,,,102-104,2,R. Westbrook makes 2-pt shot from 20 ft
2:28.0,W. Matthews makes 3-pt shot from 24 ft (assist by H. Barnes),3,105-104,,
2:05.0,,,105-104,,J. Grant misses 3-pt shot from 22 ft
2:03.0,,,105-104,,Offensive rebound by Team
1:54.0,,,105-104,,J. Grant misses 2-pt shot from 2 ft
1:53.0,,,105-104,,Offensive rebound by J. Grant
1:52.0,,,105-106,2,J. Grant makes 2-pt shot from 2 ft
1:39.0,D. Smith makes 3-pt shot from 24 ft (assist by W. Matthews),3,108-106,,
1:27.0,,,108-108,2,R. Westbrook makes 2-pt shot from 2 ft
1:18.0,D. Smith makes 3-pt shot from 25 ft,3,111-108,,
1:04.0,,,111-108,,P. George misses 3-pt shot from 25 ft
1:01.0,Defensive rebound by H. Barnes,,111-108,,
0:46.0,D. Smith misses 2-pt shot from 12 ft,,111-108,,
0:46.0,,,111-108,,Defensive rebound by R. Westbrook
