time,Philadelphia,pts.away,score,pts.home,Indiana
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,27-35,2,A. Jefferson makes 2-pt shot from 9 ft
11:22.0,J. Redick misses 2-pt shot from 17 ft,,27-35,,
11:21.0,,,27-35,,Defensive rebound by A. Jefferson
11:15.0,,,27-35,,A. Jefferson misses 2-pt shot from 19 ft
11:10.0,Defensive rebound by J. Redick,,27-35,,
11:04.0,J. Embiid misses 3-pt shot from 27 ft,,27-35,,
11:01.0,,,27-35,,Defensive rebound by C. Joseph
10:53.0,,,27-37,2,A. Jefferson makes 2-pt shot from 5 ft (assist by C. Joseph)
10:53.0,,,27-37,,Shooting foul by J. Anderson (drawn by A. Jefferson)
10:53.0,J. Bayless enters the game for J. Redick,,27-37,,
10:53.0,,,27-38,1,A. Jefferson makes free throw 1 of 1
10:40.0,J. Embiid misses 2-pt shot from 7 ft,,27-38,,
10:38.0,Offensive rebound by T. Booker,,27-38,,
10:37.0,T. Booker misses 2-pt shot at rim (block by L. Stephenson),,27-38,,
10:37.0,,,27-38,,Defensive rebound by L. Stephenson
10:30.0,,,27-40,2,D. Sabonis makes 2-pt shot at rim (assist by L. Stephenson)
10:29.0,Philadelphia full timeout,,27-40,,
10:29.0,R. Covington enters the game for J. Anderson,,27-40,,
10:17.0,J. Embiid misses 2-pt shot from 17 ft,,27-40,,
10:14.0,,,27-40,,Defensive rebound by L. Stephenson
10:09.0,,,27-40,,Turnover by L. Stephenson (bad pass; steal by J. Embiid)
10:04.0,T. McConnell makes 2-pt shot at rim (assist by J. Bayless),2,29-40,,
9:47.0,,,29-42,2,L. Stephenson makes 2-pt shot from 17 ft
9:39.0,J. Bayless makes 3-pt shot from 23 ft (assist by T. Booker),3,32-42,,
9:26.0,,,32-42,,Turnover by L. Stephenson (bad pass; steal by R. Covington)
9:22.0,Turnover by T. McConnell (bad pass; steal by J. Young),,32-42,,
9:04.0,,,32-42,,Turnover by D. Sabonis (bad pass; steal by R. Covington)
8:59.0,Turnover by J. Embiid (lost ball; steal by C. Joseph),,32-42,,
8:44.0,,,32-44,2,A. Jefferson makes 2-pt shot from 4 ft
8:23.0,J. Bayless misses 2-pt shot from 11 ft,,32-44,,
8:20.0,,,32-44,,Defensive rebound by D. Sabonis
8:00.0,,,32-44,,Turnover by A. Jefferson (lost ball; steal by J. Embiid)
7:54.0,J. Bayless makes 3-pt shot from 26 ft (assist by T. McConnell),3,35-44,,
7:43.0,,,35-44,,Indiana full timeout
7:43.0,,,35-44,,T. Young enters the game for L. Stephenson
7:43.0,,,35-44,,B. Bogdanovic enters the game for A. Jefferson
7:43.0,B. Simmons enters the game for T. McConnell,,35-44,,
7:43.0,A. Johnson enters the game for J. Embiid,,35-44,,
7:43.0,D. Saric enters the game for T. Booker,,35-44,,
7:36.0,,,35-44,,T. Young misses 2-pt shot from 15 ft
7:34.0,Defensive rebound by R. Covington,,35-44,,
7:16.0,J. Bayless makes 3-pt shot from 27 ft,3,38-44,,
7:00.0,,,38-44,,Shooting foul by J. Bayless (drawn by D. Sabonis)
7:00.0,,,38-44,,D. Sabonis misses free throw 1 of 2
7:00.0,,,38-44,,Offensive rebound by Team
7:00.0,,,38-44,,V. Oladipo enters the game for J. Young
7:00.0,,,38-45,1,D. Sabonis makes free throw 2 of 2
6:42.0,B. Simmons misses 2-pt shot from 8 ft,,38-45,,
6:38.0,Offensive rebound by A. Johnson,,38-45,,
6:33.0,D. Saric makes 3-pt shot from 25 ft (assist by A. Johnson),3,41-45,,
6:11.0,,,41-48,3,C. Joseph makes 3-pt shot from 27 ft (assist by T. Young)
5:43.0,D. Saric makes 3-pt shot from 26 ft (assist by B. Simmons),3,44-48,,
5:28.0,,,44-48,,V. Oladipo misses 3-pt shot from 27 ft
5:25.0,Defensive rebound by J. Bayless,,44-48,,
5:18.0,Offensive charge foul by J. Bayless (drawn by T. Young),,44-48,,
5:18.0,Turnover by J. Bayless (offensive foul),,44-48,,
5:18.0,,,44-48,,D. Collison enters the game for C. Joseph
5:18.0,,,44-48,,M. Turner enters the game for D. Sabonis
5:18.0,J. Redick enters the game for J. Bayless,,44-48,,
5:08.0,,,44-50,2,V. Oladipo makes 2-pt shot from 14 ft (assist by M. Turner)
4:54.0,D. Saric makes 2-pt shot from 14 ft (assist by R. Covington),2,46-50,,
4:54.0,Shooting foul by T. Young (drawn by D. Saric),,46-50,,
4:54.0,D. Saric makes free throw 1 of 1,1,47-50,,
4:39.0,,,47-50,,V. Oladipo misses 3-pt shot from 24 ft
4:37.0,Defensive rebound by R. Covington,,47-50,,
4:30.0,R. Covington makes 3-pt shot from 26 ft (assist by B. Simmons),3,50-50,,
4:09.0,,,50-50,,B. Bogdanovic misses 3-pt shot from 23 ft
4:05.0,,,50-50,,Offensive rebound by T. Young
4:05.0,,,50-50,,T. Young misses 2-pt shot at rim
4:03.0,,,50-50,,Offensive rebound by T. Young
4:03.0,,,50-50,,T. Young misses 2-pt shot at rim
4:03.0,Defensive rebound by R. Covington,,50-50,,
3:52.0,Shooting foul by T. Young (drawn by D. Saric),,50-50,,
3:52.0,D. Saric misses free throw 1 of 2,,50-50,,
3:52.0,Offensive rebound by Team,,50-50,,
3:52.0,D. Saric makes free throw 2 of 2,1,51-50,,
3:39.0,,,51-50,,Shooting foul by A. Johnson (drawn by T. Young)
3:39.0,,,51-50,,T. Young misses free throw 1 of 2
3:39.0,,,51-50,,Offensive rebound by Team
3:39.0,,,51-50,,T. Young misses free throw 2 of 2
3:37.0,Defensive rebound by D. Saric,,51-50,,
3:25.0,Turnover by J. Redick (lost ball; steal by V. Oladipo),,51-50,,
3:13.0,,,51-50,,B. Bogdanovic misses 2-pt shot from 3 ft
3:09.0,Defensive rebound by R. Covington,,51-50,,
3:03.0,J. Redick misses 3-pt shot from 23 ft,,51-50,,
3:01.0,,,51-50,,Defensive rebound by M. Turner
2:50.0,,,51-50,,Shooting foul by R. Covington (drawn by B. Bogdanovic)
2:50.0,,,51-51,1,B. Bogdanovic makes free throw 1 of 2
2:50.0,J. Embiid enters the game for A. Johnson,,51-51,,
2:50.0,,,51-52,1,B. Bogdanovic makes free throw 2 of 2
2:34.0,J. Embiid makes 2-pt shot from 1 ft,2,53-52,,
2:23.0,,,53-52,,Turnover by V. Oladipo (bad pass)
2:04.0,Shooting foul by M. Turner (drawn by J. Embiid),,53-52,,
2:04.0,J. Embiid makes free throw 1 of 2,1,54-52,,
2:04.0,,,54-52,,D. Sabonis enters the game for M. Turner
2:04.0,J. Embiid makes free throw 2 of 2,1,55-52,,
1:52.0,,,55-55,3,D. Collison makes 3-pt shot from 27 ft (assist by D. Sabonis)
1:43.0,Turnover by D. Saric (lost ball; steal by D. Collison),,55-55,,
1:39.0,,,55-55,,D. Collison misses 3-pt shot from 25 ft
1:37.0,,,55-55,,Offensive rebound by Team
1:37.0,J. Anderson enters the game for R. Covington,,55-55,,
1:37.0,Technical foul by B. Simmons (drawn by B. Bogdanovic),,55-55,,
1:37.0,,,55-56,1,B. Bogdanovic makes free throw 1 of 1
1:24.0,,,55-58,2,T. Young makes 2-pt shot from 6 ft (assist by D. Sabonis)
1:03.0,,,55-58,,Personal foul by V. Oladipo (drawn by J. Embiid)
0:50.0,D. Saric misses 3-pt shot from 25 ft,,55-58,,
0:49.0,Offensive rebound by Team,,55-58,,
0:49.0,,,55-58,,Loose ball foul by D. Sabonis (drawn by J. Embiid)
0:49.0,J. Embiid makes free throw 1 of 2,1,56-58,,
0:49.0,,,56-58,,L. Stephenson enters the game for T. Young
0:49.0,,,56-58,,A. Jefferson enters the game for D. Sabonis
0:49.0,J. Embiid makes free throw 2 of 2,1,57-58,,
0:36.0,,,57-60,2,V. Oladipo makes 2-pt shot from 6 ft
0:29.0,J. Redick misses 3-pt shot from 26 ft,,57-60,,
0:28.0,,,57-60,,Defensive rebound by Team
0:28.0,Loose ball foul by J. Anderson (drawn by D. Collison),,57-60,,
0:28.0,,,57-61,1,D. Collison makes free throw 1 of 2
0:28.0,,,57-62,1,D. Collison makes free throw 2 of 2
0:10.0,Turnover by J. Redick (lost ball; steal by D. Collison),,57-62,,
0:02.0,,,57-62,,D. Collison misses 2-pt shot from 18 ft
0:02.0,Defensive rebound by D. Saric,,57-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,57-62,,M. Turner misses 2-pt shot from 7 ft
11:43.0,Defensive rebound by B. Simmons,,57-62,,
11:36.0,R. Covington misses 3-pt shot from 27 ft,,57-62,,
11:34.0,,,57-62,,Defensive rebound by V. Oladipo
11:26.0,,,57-62,,V. Oladipo misses 2-pt shot from 4 ft
11:24.0,Defensive rebound by J. Redick,,57-62,,
11:08.0,J. Embiid makes 2-pt shot from 17 ft,2,59-62,,
10:50.0,,,59-62,,M. Turner misses 2-pt shot from 17 ft
10:48.0,Defensive rebound by R. Covington,,59-62,,
10:33.0,Turnover by J. Embiid (lost ball; steal by B. Bogdanovic),,59-62,,
10:20.0,,,59-64,2,V. Oladipo makes 2-pt shot from 18 ft
9:58.0,Turnover by J. Embiid (bad pass; steal by B. Bogdanovic),,59-64,,
9:56.0,,,59-64,,B. Bogdanovic misses 2-pt shot from 1 ft (block by R. Covington)
9:56.0,,,59-64,,Offensive rebound by Team
9:45.0,,,59-64,,Turnover by V. Oladipo (out of bounds lost ball)
9:32.0,B. Simmons misses 2-pt shot from 1 ft (block by T. Young),,59-64,,
9:29.0,Offensive rebound by B. Simmons,,59-64,,
9:24.0,D. Saric misses 3-pt shot from 26 ft,,59-64,,
9:22.0,Offensive rebound by J. Embiid,,59-64,,
9:21.0,J. Embiid misses 2-pt shot at rim,,59-64,,
9:21.0,Offensive rebound by J. Embiid,,59-64,,
9:18.0,J. Embiid makes 2-pt shot at rim,2,61-64,,
8:54.0,Personal block foul by B. Simmons (drawn by B. Bogdanovic),,61-64,,
8:49.0,,,61-64,,V. Oladipo misses 3-pt shot from 25 ft
8:45.0,Defensive rebound by B. Simmons,,61-64,,
8:29.0,D. Saric misses 2-pt shot from 1 ft (block by M. Turner),,61-64,,
8:27.0,,,61-64,,Defensive rebound by B. Bogdanovic
8:10.0,,,61-64,,Turnover by T. Young (bad pass; steal by J. Redick)
8:04.0,R. Covington misses 2-pt shot from 13 ft,,61-64,,
8:02.0,Offensive rebound by Team,,61-64,,
8:00.0,R. Covington misses 2-pt shot from 1 ft,,61-64,,
7:58.0,,,61-64,,Defensive rebound by D. Collison
7:53.0,,,61-67,3,B. Bogdanovic makes 3-pt shot from 22 ft (assist by T. Young)
7:34.0,J. Embiid misses 2-pt shot from 4 ft (block by T. Young),,61-67,,
7:34.0,Offensive rebound by Team,,61-67,,
7:34.0,J. Bayless enters the game for J. Redick,,61-67,,
7:32.0,Shooting foul by V. Oladipo (drawn by D. Saric),,61-67,,
7:32.0,D. Saric makes free throw 1 of 2,1,62-67,,
7:32.0,D. Saric makes free throw 2 of 2,1,63-67,,
7:21.0,,,63-67,,M. Turner misses 3-pt shot from 26 ft
7:17.0,Defensive rebound by J. Embiid,,63-67,,
7:03.0,J. Embiid misses 2-pt shot from 14 ft,,63-67,,
7:02.0,,,63-67,,Defensive rebound by V. Oladipo
7:00.0,,,63-67,,Shooting foul by R. Covington (drawn by V. Oladipo)
7:00.0,,,63-67,,V. Oladipo misses free throw 1 of 2
7:00.0,,,63-67,,Offensive rebound by Team
7:00.0,A. Johnson enters the game for J. Embiid,,63-67,,
7:00.0,,,63-68,1,V. Oladipo makes free throw 2 of 2
6:48.0,D. Saric makes 2-pt shot from 1 ft,2,65-68,,
6:34.0,,,65-68,,V. Oladipo misses 2-pt shot from 20 ft
6:32.0,Defensive rebound by A. Johnson,,65-68,,
6:28.0,J. Bayless misses 2-pt shot from 2 ft (block by V. Oladipo),,65-68,,
6:25.0,,,65-68,,Defensive rebound by D. Collison
6:22.0,,,65-68,,B. Bogdanovic misses 3-pt shot from 23 ft
6:18.0,Defensive rebound by A. Johnson,,65-68,,
6:16.0,J. Bayless misses 3-pt shot from 26 ft,,65-68,,
6:16.0,,,65-68,,Defensive rebound by V. Oladipo
6:13.0,Personal foul by A. Johnson (drawn by V. Oladipo),,65-68,,
6:13.0,,,65-68,,Indiana full timeout
6:00.0,,,65-68,,T. Young misses 2-pt shot from 3 ft
5:56.0,Defensive rebound by B. Simmons,,65-68,,
5:39.0,A. Johnson makes 2-pt shot at rim,2,67-68,,
5:12.0,,,67-68,,B. Bogdanovic misses 2-pt shot from 12 ft
5:08.0,Defensive rebound by D. Saric,,67-68,,
5:00.0,D. Saric misses 3-pt shot from 27 ft,,67-68,,
4:57.0,,,67-68,,Defensive rebound by V. Oladipo
4:36.0,,,67-71,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by M. Turner)
4:09.0,J. Bayless makes 2-pt shot from 21 ft,2,69-71,,
3:52.0,,,69-71,,M. Turner misses 2-pt shot from 2 ft
3:49.0,Defensive rebound by B. Simmons,,69-71,,
3:44.0,Turnover by J. Bayless (lost ball; steal by V. Oladipo),,69-71,,
3:33.0,,,69-71,,B. Bogdanovic misses 3-pt shot from 29 ft
3:31.0,Defensive rebound by A. Johnson,,69-71,,
3:25.0,Philadelphia full timeout,,69-71,,
3:25.0,,,69-71,,L. Stephenson enters the game for V. Oladipo
3:25.0,,,69-71,,C. Joseph enters the game for M. Turner
3:25.0,,,69-71,,D. Sabonis enters the game for B. Bogdanovic
3:25.0,J. Redick enters the game for D. Saric,,69-71,,
3:25.0,T. Booker enters the game for R. Covington,,69-71,,
3:21.0,Shooting foul by L. Stephenson (drawn by B. Simmons),,69-71,,
3:21.0,B. Simmons misses free throw 1 of 2,,69-71,,
3:21.0,Offensive rebound by Team,,69-71,,
3:21.0,J. Anderson enters the game for J. Bayless,,69-71,,
3:21.0,J. Embiid enters the game for A. Johnson,,69-71,,
3:21.0,B. Simmons misses free throw 2 of 2,,69-71,,
3:17.0,,,69-71,,Defensive rebound by L. Stephenson
3:02.0,,,69-71,,D. Collison misses 2-pt shot from 18 ft
2:59.0,Defensive rebound by T. Booker,,69-71,,
2:53.0,B. Simmons misses 2-pt shot from 3 ft (block by D. Collison),,69-71,,
2:50.0,,,69-71,,Defensive rebound by C. Joseph
2:37.0,,,69-71,,L. Stephenson misses 3-pt shot from 25 ft
2:37.0,Defensive rebound by J. Embiid,,69-71,,
2:27.0,J. Anderson makes 2-pt shot from 1 ft (assist by B. Simmons),2,71-71,,
2:08.0,,,71-71,,L. Stephenson misses 2-pt shot from 9 ft
2:08.0,Defensive rebound by Team,,71-71,,
2:08.0,,,71-71,,Loose ball foul by D. Sabonis (drawn by T. Booker)
2:08.0,,,71-71,,A. Jefferson enters the game for T. Young
2:08.0,T. McConnell enters the game for B. Simmons,,71-71,,
1:56.0,Turnover by J. Embiid (lost ball; steal by A. Jefferson),,71-71,,
1:53.0,,,71-73,2,D. Sabonis makes 2-pt shot from 1 ft (assist by D. Collison)
1:53.0,,,71-73,,Shooting foul by T. Booker (drawn by D. Sabonis)
1:53.0,,,71-74,1,D. Sabonis makes free throw 1 of 1
1:41.0,Shooting foul by A. Jefferson (drawn by J. Embiid),,71-74,,
1:41.0,J. Embiid makes free throw 1 of 2,1,72-74,,
1:41.0,J. Embiid makes free throw 2 of 2,1,73-74,,
1:19.0,,,73-74,,Turnover by C. Joseph (bad pass; steal by J. Redick)
1:15.0,T. Booker misses 2-pt shot from 1 ft (block by D. Sabonis),,73-74,,
1:15.0,,,73-74,,Defensive rebound by D. Sabonis
1:15.0,Loose ball foul by J. Embiid (drawn by D. Sabonis),,73-74,,
1:15.0,,,73-75,1,D. Sabonis makes free throw 1 of 2
1:15.0,,,73-76,1,D. Sabonis makes free throw 2 of 2
1:01.0,Turnover by J. Embiid (bad pass),,73-76,,
0:39.0,,,73-76,,L. Stephenson misses 3-pt shot from 28 ft
0:36.0,,,73-76,,Offensive rebound by Team
0:18.0,,,73-76,,A. Jefferson misses 2-pt shot from 17 ft
0:13.0,Defensive rebound by J. Anderson,,73-76,,
0:01.0,J. Embiid makes 2-pt shot from 18 ft (assist by T. McConnell),2,75-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,J. Bayless misses 3-pt shot from 25 ft,,75-76,,
11:36.0,Offensive rebound by T. McConnell,,75-76,,
11:23.0,Turnover by J. Embiid (lost ball; steal by A. Jefferson),,75-76,,
11:00.0,,,75-78,2,L. Stephenson makes 2-pt shot from 22 ft
10:41.0,J. Bayless misses 2-pt shot from 21 ft,,75-78,,
10:38.0,,,75-78,,Defensive rebound by L. Stephenson
10:36.0,Personal foul by T. Booker (drawn by L. Stephenson),,75-78,,
10:24.0,,,75-78,,Turnover by L. Stephenson (bad pass)
10:12.0,J. Bayless misses 2-pt shot from 4 ft,,75-78,,
10:08.0,,,75-78,,Defensive rebound by L. Stephenson
10:02.0,,,75-80,2,A. Jefferson makes 2-pt shot at rim (assist by L. Stephenson)
9:40.0,J. Embiid makes 2-pt shot from 7 ft,2,77-80,,
9:27.0,,,77-83,3,L. Stephenson makes 3-pt shot from 26 ft (assist by D. Collison)
9:25.0,Philadelphia full timeout,,77-83,,
9:09.0,R. Covington misses 3-pt shot from 26 ft,,77-83,,
9:05.0,,,77-83,,Defensive rebound by D. Sabonis
8:48.0,,,77-83,,L. Stephenson misses 2-pt shot from 1 ft
8:45.0,Defensive rebound by T. Booker,,77-83,,
8:44.0,Turnover by T. Booker (lost ball; steal by C. Joseph),,77-83,,
8:40.0,,,77-85,2,L. Stephenson makes 2-pt shot from 2 ft (assist by D. Collison)
8:19.0,T. Booker makes 2-pt shot from 1 ft (assist by R. Covington),2,79-85,,
7:55.0,,,79-87,2,D. Collison makes 2-pt shot from 18 ft (assist by L. Stephenson)
7:38.0,T. Booker misses 2-pt shot from 1 ft,,79-87,,
7:36.0,Offensive rebound by Team,,79-87,,
7:36.0,,,79-87,,T. Young enters the game for A. Jefferson
7:36.0,J. Anderson enters the game for T. McConnell,,79-87,,
7:36.0,A. Johnson enters the game for J. Embiid,,79-87,,
7:36.0,D. Saric enters the game for T. Booker,,79-87,,
7:36.0,B. Simmons enters the game for R. Covington,,79-87,,
7:32.0,Turnover by J. Bayless (step out of bounds),,79-87,,
7:18.0,,,79-87,,Turnover by C. Joseph (out of bounds lost ball)
7:01.0,B. Simmons misses 2-pt shot from 1 ft,,79-87,,
6:58.0,Offensive rebound by B. Simmons,,79-87,,
6:58.0,B. Simmons makes 2-pt shot at rim,2,81-87,,
6:41.0,,,81-87,,D. Sabonis misses 2-pt shot from 1 ft
6:39.0,,,81-87,,Offensive rebound by T. Young
6:34.0,,,81-87,,C. Joseph misses 3-pt shot from 27 ft
6:32.0,,,81-87,,Offensive rebound by D. Sabonis
6:30.0,,,81-87,,Turnover by D. Sabonis (lost ball; steal by B. Simmons)
6:14.0,J. Bayless misses 3-pt shot from 26 ft,,81-87,,
6:12.0,,,81-87,,Defensive rebound by L. Stephenson
6:07.0,,,81-89,2,T. Young makes 2-pt shot from 1 ft (assist by L. Stephenson)
6:06.0,Philadelphia full timeout,,81-89,,
6:06.0,,,81-89,,V. Oladipo enters the game for D. Collison
6:06.0,J. Redick enters the game for J. Bayless,,81-89,,
5:53.0,Turnover by J. Redick (bad pass; steal by T. Young),,81-89,,
5:37.0,,,81-89,,L. Stephenson misses 2-pt shot from 16 ft
5:33.0,Defensive rebound by D. Saric,,81-89,,
5:26.0,D. Saric misses 3-pt shot from 27 ft,,81-89,,
5:24.0,,,81-89,,Defensive rebound by V. Oladipo
5:11.0,,,81-89,,C. Joseph misses 3-pt shot from 23 ft
5:06.0,Defensive rebound by A. Johnson,,81-89,,
5:00.0,,,81-89,,Personal block foul by C. Joseph (drawn by J. Anderson)
5:00.0,J. Embiid enters the game for J. Anderson,,81-89,,
