time,Houston,pts.away,score,pts.home,Boston
5:13.0,,,49-25,1,J. Tatum makes free throw 1 of 2
5:13.0,N. Hilario enters the game for P. Tucker,,49-25,,
5:13.0,,,49-25,,J. Tatum misses free throw 2 of 2
5:11.0,Defensive rebound by R. Anderson,,49-25,,
4:57.0,R. Anderson misses 3-pt shot from 26 ft,,49-25,,
4:55.0,,,49-25,,Defensive rebound by A. Horford
4:48.0,,,49-28,3,K. Irving makes 3-pt shot from 25 ft (assist by A. Horford)
4:30.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden),3,52-28,,
4:30.0,Shooting foul by A. Nader (drawn by T. Ariza),,52-28,,
4:30.0,T. Ariza misses free throw 1 of 1,,52-28,,
4:28.0,,,52-28,,Defensive rebound by A. Nader
4:21.0,,,52-30,2,K. Irving makes 2-pt shot at rim
4:14.0,T. Ariza misses 3-pt shot from 27 ft,,52-30,,
4:11.0,,,52-30,,Defensive rebound by J. Tatum
3:59.0,,,52-30,,Shooting foul by N. Hilario (drawn by J. Tatum)
3:59.0,,,52-31,1,J. Tatum makes free throw 1 of 2
3:59.0,,,52-31,,J. Bird enters the game for S. Larkin
3:59.0,,,52-32,1,J. Tatum makes free throw 2 of 2
3:38.0,Shooting foul by J. Bird (drawn by J. Harden),,52-32,,
3:38.0,J. Harden makes free throw 1 of 2,1,53-32,,
3:38.0,J. Harden makes free throw 2 of 2,1,54-32,,
3:18.0,,,54-32,,Turnover by K. Irving (lost ball; steal by J. Harden)
3:13.0,J. Harden makes 3-pt shot from 27 ft,3,57-32,,
2:57.0,Personal foul by T. Ariza (drawn by J. Tatum),,57-32,,
2:57.0,Houston full timeout,,57-32,,
2:57.0,,,57-32,,M. Smart enters the game for J. Bird
2:57.0,,,57-33,1,J. Tatum makes free throw 1 of 2
2:57.0,,,57-34,1,J. Tatum makes free throw 2 of 2
2:38.0,N. Hilario misses 2-pt shot from 2 ft,,57-34,,
2:36.0,,,57-34,,Defensive rebound by A. Horford
2:34.0,,,57-34,,Turnover by A. Horford (bad pass)
2:20.0,R. Anderson misses 3-pt shot from 27 ft,,57-34,,
2:17.0,,,57-34,,Defensive rebound by A. Nader
2:07.0,,,57-34,,Turnover by K. Irving (bad pass; steal by J. Harden)
2:02.0,T. Ariza makes 3-pt shot from 22 ft (assist by J. Harden),3,60-34,,
1:44.0,,,60-34,,J. Tatum misses 3-pt shot from 23 ft
1:42.0,Defensive rebound by E. Gordon,,60-34,,
1:31.0,Turnover by J. Harden (lost ball; steal by M. Smart),,60-34,,
1:25.0,,,60-36,2,M. Smart makes 2-pt shot at rim
1:08.0,Turnover by R. Anderson (step out of bounds),,60-36,,
0:53.0,,,60-36,,A. Horford misses 3-pt shot from 24 ft
0:50.0,,,60-36,,Offensive rebound by A. Nader
0:50.0,,,60-38,2,A. Nader makes 2-pt shot from 1 ft
0:41.0,E. Gordon misses 3-pt shot from 27 ft (block by A. Nader),,60-38,,
0:38.0,,,60-38,,Defensive rebound by A. Horford
0:29.0,,,60-38,,J. Tatum misses 2-pt shot from 2 ft
0:27.0,Defensive rebound by N. Hilario,,60-38,,
0:09.0,Shooting foul by K. Irving (drawn by J. Harden),,60-38,,
0:09.0,J. Harden makes free throw 1 of 2,1,61-38,,
0:09.0,P. Tucker enters the game for R. Anderson,,61-38,,
0:09.0,J. Harden makes free throw 2 of 2,1,62-38,,
0:01.0,,,62-38,,K. Irving misses 2-pt shot from 2 ft
0:01.0,Defensive rebound by T. Ariza,,62-38,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,Personal foul by R. Anderson (drawn by A. Horford),,62-38,,
11:43.0,,,62-38,,A. Horford misses 3-pt shot from 25 ft
11:41.0,Defensive rebound by R. Anderson,,62-38,,
11:17.0,J. Harden misses 3-pt shot from 27 ft,,62-38,,
11:13.0,,,62-38,,Defensive rebound by M. Smart
11:08.0,,,62-38,,A. Nader misses 3-pt shot from 26 ft
11:05.0,Defensive rebound by E. Gordon,,62-38,,
10:50.0,N. Hilario makes 2-pt shot at rim (assist by J. Harden),2,64-38,,
10:33.0,,,64-38,,A. Nader misses 2-pt shot from 6 ft
10:29.0,,,64-38,,Offensive rebound by A. Nader
10:29.0,,,64-38,,A. Nader misses 2-pt shot at rim
10:27.0,,,64-38,,Offensive rebound by A. Nader
10:24.0,,,64-40,2,A. Horford makes 2-pt shot from 1 ft (assist by M. Smart)
10:00.0,J. Harden misses 2-pt shot from 1 ft,,64-40,,
9:57.0,,,64-40,,Defensive rebound by J. Tatum
9:54.0,,,64-40,,M. Smart misses 3-pt shot from 25 ft
9:53.0,,,64-40,,Offensive rebound by K. Irving
9:51.0,,,64-42,2,K. Irving makes 2-pt shot from 8 ft
9:34.0,Turnover by R. Anderson (lost ball; steal by J. Tatum),,64-42,,
9:34.0,Personal foul by E. Gordon (drawn by J. Tatum),,64-42,,
9:25.0,Personal foul by N. Hilario (drawn by K. Irving),,64-42,,
9:25.0,T. Black enters the game for N. Hilario,,64-42,,
9:10.0,,,64-42,,Turnover by Team (shot clock)
9:01.0,J. Harden makes 3-pt shot from 24 ft (assist by T. Black),3,67-42,,
8:36.0,,,67-42,,M. Smart misses 3-pt shot from 26 ft
8:31.0,Defensive rebound by J. Harden,,67-42,,
8:27.0,Turnover by J. Harden (bad pass; steal by M. Smart),,67-42,,
8:23.0,,,67-42,,J. Tatum misses 3-pt shot from 26 ft
8:20.0,Defensive rebound by R. Anderson,,67-42,,
8:12.0,Loose ball foul by T. Black (drawn by J. Tatum),,67-42,,
8:12.0,Turnover by T. Black (turnover),,67-42,,
7:52.0,,,67-44,2,M. Smart makes 2-pt shot from 1 ft (assist by A. Horford)
7:40.0,E. Gordon makes 2-pt shot from 2 ft (assist by J. Harden),2,69-44,,
7:26.0,,,69-44,,Shooting foul by J. Harden (drawn by K. Irving)
7:26.0,,,69-45,1,K. Irving makes free throw 1 of 2
7:26.0,,,69-46,1,K. Irving makes free throw 2 of 2
7:09.0,E. Gordon misses 3-pt shot from 29 ft,,69-46,,
7:05.0,,,69-46,,Defensive rebound by J. Tatum
6:52.0,,,69-46,,A. Horford misses 2-pt shot from 8 ft
6:50.0,Defensive rebound by T. Ariza,,69-46,,
6:39.0,J. Harden misses 2-pt shot from 2 ft,,69-46,,
6:39.0,Offensive rebound by T. Black,,69-46,,
6:39.0,Shooting foul by K. Irving (drawn by T. Black),,69-46,,
6:39.0,,,69-46,,Boston full timeout
6:39.0,T. Black misses free throw 1 of 2,,69-46,,
6:39.0,Offensive rebound by Team,,69-46,,
6:39.0,T. Black misses free throw 2 of 2,,69-46,,
6:36.0,,,69-46,,Defensive rebound by J. Tatum
6:20.0,,,69-46,,A. Nader misses 3-pt shot from 23 ft
6:16.0,Defensive rebound by T. Black,,69-46,,
6:04.0,Turnover by J. Harden (lost ball; steal by J. Tatum),,69-46,,
6:00.0,,,69-48,2,J. Tatum makes 2-pt shot from 1 ft
5:43.0,T. Black makes 2-pt shot at rim (assist by E. Gordon),2,71-48,,
5:24.0,,,71-48,,M. Smart misses 2-pt shot from 6 ft
5:23.0,,,71-48,,Offensive rebound by K. Irving
5:22.0,,,71-48,,Turnover by A. Nader (step out of bounds)
5:22.0,,,71-48,,A. Baynes enters the game for A. Nader
5:22.0,,,71-48,,M. Morris enters the game for A. Horford
5:22.0,B. Weber enters the game for E. Gordon,,71-48,,
5:22.0,P. Tucker enters the game for R. Anderson,,71-48,,
5:10.0,Turnover by J. Harden (bad pass; steal by K. Irving),,71-48,,
5:06.0,,,71-50,2,K. Irving makes 2-pt shot from 1 ft
4:48.0,J. Harden misses 2-pt shot from 3 ft (block by M. Smart),,71-50,,
4:45.0,,,71-50,,Defensive rebound by M. Morris
4:43.0,,,71-50,,Shooting foul by P. Tucker (drawn by J. Tatum)
4:43.0,,,71-51,1,J. Tatum makes free throw 1 of 3
4:43.0,,,71-52,1,J. Tatum makes free throw 2 of 3
4:43.0,,,71-53,1,J. Tatum makes free throw 3 of 3
4:21.0,B. Weber misses 2-pt shot from 5 ft (block by M. Smart),,71-53,,
4:21.0,Offensive rebound by Team,,71-53,,
4:17.0,T. Black misses 3-pt shot from 26 ft,,71-53,,
4:17.0,Offensive rebound by Team,,71-53,,
4:17.0,Turnover by Team (shot clock),,71-53,,
4:05.0,,,71-53,,K. Irving misses 3-pt shot from 26 ft
4:02.0,Defensive rebound by P. Tucker,,71-53,,
3:56.0,J. Harden misses 2-pt shot from 2 ft,,71-53,,
3:53.0,,,71-53,,Defensive rebound by A. Baynes
3:50.0,Personal foul by T. Black (drawn by K. Irving),,71-53,,
3:50.0,,,71-54,1,K. Irving makes free throw 1 of 2
3:50.0,E. Gordon enters the game for T. Ariza,,71-54,,
3:50.0,G. Green enters the game for T. Black,,71-54,,
3:50.0,R. Anderson enters the game for B. Weber,,71-54,,
3:50.0,,,71-55,1,K. Irving makes free throw 2 of 2
3:36.0,J. Harden misses 3-pt shot from 30 ft,,71-55,,
3:32.0,,,71-55,,Defensive rebound by M. Smart
3:24.0,,,71-58,3,M. Morris makes 3-pt shot from 26 ft (assist by K. Irving)
3:23.0,Houston full timeout,,71-58,,
3:13.0,Turnover by E. Gordon (lost ball; steal by K. Irving),,71-58,,
3:09.0,,,71-60,2,M. Smart makes 2-pt shot from 1 ft (assist by K. Irving)
2:54.0,Shooting foul by M. Smart (drawn by J. Harden),,71-60,,
2:54.0,J. Harden makes free throw 1 of 2,1,72-60,,
2:54.0,,,72-60,,T. Rozier enters the game for J. Tatum
2:54.0,J. Harden makes free throw 2 of 2,1,73-60,,
2:36.0,,,73-62,2,M. Morris makes 2-pt shot from 10 ft (assist by K. Irving)
2:20.0,J. Harden misses 2-pt shot from 1 ft (block by M. Smart),,73-62,,
2:20.0,,,73-62,,Defensive rebound by K. Irving
2:17.0,,,73-62,,Shooting foul by R. Anderson (drawn by K. Irving)
2:17.0,,,73-63,1,K. Irving makes free throw 1 of 2
2:17.0,,,73-64,1,K. Irving makes free throw 2 of 2
1:56.0,Shooting foul by A. Baynes (drawn by J. Harden),,73-64,,
1:56.0,,,73-64,,Technical foul by M. Morris
1:56.0,,,73-64,,Technical foul by Team
1:56.0,J. Harden makes technical free throw,1,74-64,,
1:56.0,J. Harden makes technical free throw,1,75-64,,
1:56.0,J. Harden makes free throw 1 of 2,1,76-64,,
1:56.0,J. Harden makes free throw 2 of 2,1,77-64,,
1:35.0,,,77-64,,K. Irving misses 3-pt shot from 25 ft
1:31.0,,,77-64,,Offensive rebound by A. Baynes
1:24.0,,,77-66,2,K. Irving makes 2-pt shot at rim (assist by T. Rozier)
1:13.0,J. Harden misses 3-pt shot from 28 ft,,77-66,,
1:12.0,Offensive rebound by Team,,77-66,,
1:12.0,,,77-66,,Loose ball foul by A. Baynes (drawn by R. Anderson)
1:12.0,R. Anderson misses free throw 1 of 2,,77-66,,
1:12.0,Offensive rebound by Team,,77-66,,
1:12.0,R. Anderson makes free throw 2 of 2,1,78-66,,
0:50.0,,,78-69,3,T. Rozier makes 3-pt shot from 22 ft
0:37.0,G. Green misses 3-pt shot from 23 ft,,78-69,,
0:33.0,Offensive rebound by R. Anderson,,78-69,,
0:30.0,E. Gordon misses 3-pt shot from 29 ft,,78-69,,
0:30.0,,,78-69,,Defensive rebound by T. Rozier
0:22.0,,,78-69,,K. Irving misses 3-pt shot from 27 ft
0:18.0,,,78-69,,Offensive rebound by K. Irving
0:01.0,,,78-69,,K. Irving misses 2-pt shot from 4 ft (block by P. Tucker)
0:00.0,,,78-69,,Offensive rebound by M. Smart
0:00.0,,,78-69,,M. Smart misses 2-pt shot from 15 ft
0:00.0,,,78-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,E. Gordon makes 3-pt shot from 29 ft,3,81-69,,
11:17.0,,,81-69,,M. Morris misses 2-pt shot from 14 ft
11:16.0,,,81-69,,Offensive rebound by A. Baynes
11:15.0,,,81-71,2,A. Baynes makes 2-pt shot from 1 ft
11:00.0,Turnover by P. Tucker (lost ball; steal by T. Rozier),,81-71,,
11:00.0,Personal foul by P. Tucker (drawn by M. Morris),,81-71,,
10:48.0,,,81-74,3,T. Rozier makes 3-pt shot from 28 ft (assist by S. Larkin)
10:24.0,E. Gordon misses 3-pt shot from 25 ft,,81-74,,
10:22.0,,,81-74,,Defensive rebound by Team
10:03.0,,,81-74,,J. Tatum misses 3-pt shot from 27 ft
10:00.0,Defensive rebound by R. Anderson,,81-74,,
9:49.0,,,81-74,,Personal foul by M. Morris (drawn by P. Tucker)
9:49.0,B. Weber enters the game for P. Tucker,,81-74,,
9:49.0,N. Hilario enters the game for J. Harden,,81-74,,
9:46.0,Shooting foul by A. Baynes (drawn by T. Ariza),,81-74,,
9:46.0,T. Ariza makes free throw 1 of 2,1,82-74,,
9:46.0,T. Ariza makes free throw 2 of 2,1,83-74,,
9:24.0,,,83-74,,T. Rozier misses 3-pt shot from 26 ft
9:22.0,,,83-74,,Offensive rebound by M. Morris
9:20.0,,,83-74,,Shooting foul by R. Anderson (drawn by M. Morris)
