time,New York,pts.away,score,pts.home,Milwaukee
6:17.0,Offensive rebound by E. Kanter,,15-12,,
6:16.0,E. Kanter misses 2-pt shot from 10 ft,,15-12,,
6:13.0,Offensive rebound by E. Kanter,,15-12,,
6:10.0,E. Kanter misses 2-pt shot from 1 ft,,15-12,,
6:10.0,,,15-12,,Defensive rebound by J. Henson
6:03.0,,,15-14,2,K. Middleton makes 2-pt shot from 18 ft
5:51.0,,,15-14,,Personal foul by T. Snell (drawn by J. Jack)
5:51.0,,,15-14,,Milwaukee full timeout
5:45.0,T. Hardaway misses 3-pt shot from 28 ft,,15-14,,
5:43.0,,,15-14,,Defensive rebound by E. Bledsoe
5:37.0,,,15-14,,Turnover by E. Bledsoe (bad pass; steal by J. Jack)
5:27.0,E. Kanter misses 2-pt shot from 4 ft (block by J. Henson),,15-14,,
5:25.0,Offensive rebound by K. Porzingis,,15-14,,
5:25.0,Shooting foul by E. Bledsoe (drawn by T. Hardaway),,15-14,,
5:25.0,T. Hardaway makes free throw 1 of 3,1,16-14,,
5:25.0,T. Hardaway makes free throw 2 of 3,1,17-14,,
5:25.0,,,17-14,,J. Parker enters the game for G. Antetokounmpo
5:25.0,T. Hardaway misses free throw 3 of 3,,17-14,,
5:23.0,,,17-14,,Defensive rebound by Team
5:05.0,,,17-14,,K. Middleton misses 2-pt shot from 7 ft
5:02.0,Defensive rebound by T. Hardaway,,17-14,,
4:57.0,E. Kanter makes 2-pt shot from 1 ft,2,19-14,,
4:57.0,Shooting foul by J. Parker (drawn by E. Kanter),,19-14,,
4:57.0,E. Kanter misses free throw 1 of 1,,19-14,,
4:54.0,,,19-14,,Defensive rebound by J. Parker
4:37.0,,,19-14,,J. Henson misses 2-pt shot from 4 ft
4:36.0,,,19-14,,Offensive rebound by K. Middleton
4:34.0,,,19-16,2,K. Middleton makes 2-pt shot from 2 ft
4:16.0,J. Jack makes 2-pt shot from 16 ft,2,21-16,,
4:02.0,,,21-18,2,J. Parker makes 2-pt shot from 15 ft (assist by T. Snell)
3:46.0,K. Porzingis misses 3-pt shot from 26 ft,,21-18,,
3:41.0,,,21-18,,Defensive rebound by K. Middleton
3:34.0,,,21-21,3,T. Snell makes 3-pt shot from 27 ft (assist by E. Bledsoe)
3:28.0,New York full timeout,,21-21,,
3:28.0,,,21-21,,S. Brown enters the game for E. Bledsoe
3:28.0,,,21-21,,T. Maker enters the game for T. Snell
3:28.0,,,21-21,,M. Dellavedova enters the game for J. Henson
3:28.0,M. Beasley enters the game for E. Kanter,,21-21,,
3:28.0,K. O'Quinn enters the game for K. Porzingis,,21-21,,
3:28.0,F. Ntilikina enters the game for J. Jack,,21-21,,
3:11.0,M. Beasley misses 2-pt shot from 6 ft,,21-21,,
3:06.0,Offensive rebound by M. Beasley,,21-21,,
3:06.0,M. Beasley misses 2-pt shot at rim (block by S. Brown),,21-21,,
3:06.0,,,21-21,,Defensive rebound by T. Maker
3:01.0,Def 3 sec tech foul by K. O'Quinn,,21-21,,
3:01.0,,,21-22,1,K. Middleton makes technical free throw
2:56.0,,,21-22,,J. Parker misses 2-pt shot from 2 ft
2:53.0,Defensive rebound by K. O'Quinn,,21-22,,
2:45.0,K. O'Quinn makes 2-pt shot at rim (assist by F. Ntilikina),2,23-22,,
2:33.0,,,23-22,,Shooting foul by K. O'Quinn (drawn by J. Parker)
2:33.0,,,23-23,1,J. Parker makes free throw 1 of 2
2:33.0,D. McDermott enters the game for T. Hardaway,,23-23,,
2:33.0,,,23-24,1,J. Parker makes free throw 2 of 2
2:09.0,M. Beasley misses 2-pt shot from 8 ft,,23-24,,
2:06.0,,,23-24,,Defensive rebound by K. Middleton
2:02.0,,,23-26,2,J. Parker makes 2-pt shot at rim (assist by K. Middleton)
1:42.0,C. Lee misses 3-pt shot from 23 ft,,23-26,,
1:39.0,,,23-26,,Defensive rebound by M. Dellavedova
1:37.0,,,23-26,,K. Middleton misses 2-pt shot from 2 ft (block by M. Beasley)
1:35.0,Defensive rebound by K. O'Quinn,,23-26,,
1:24.0,D. McDermott makes 2-pt shot at rim (assist by M. Beasley),2,25-26,,
1:11.0,,,25-26,,J. Parker misses 3-pt shot from 26 ft
1:07.0,Defensive rebound by C. Lee,,25-26,,
0:55.0,M. Beasley makes 2-pt shot from 14 ft,2,27-26,,
0:39.0,,,27-26,,Shooting foul by K. O'Quinn (drawn by J. Parker)
0:39.0,,,27-26,,J. Parker misses free throw 1 of 2
0:39.0,,,27-26,,Offensive rebound by Team
0:39.0,,,27-26,,G. Antetokounmpo enters the game for K. Middleton
0:39.0,L. Thomas enters the game for C. Lee,,27-26,,
0:39.0,,,27-27,1,J. Parker makes free throw 2 of 2
0:19.0,F. Ntilikina makes 2-pt shot from 15 ft (assist by D. McDermott),2,29-27,,
0:02.0,,,29-27,,Shooting foul by L. Thomas (drawn by G. Antetokounmpo)
0:02.0,,,29-27,,G. Antetokounmpo misses free throw 1 of 2
0:02.0,,,29-27,,Offensive rebound by Team
0:02.0,,,29-28,1,G. Antetokounmpo makes free throw 2 of 2
0:00.0,L. Thomas misses 3-pt shot from 42 ft (block by G. Antetokounmpo),,29-28,,
0:00.0,Offensive rebound by Team,,29-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Def 3 sec tech foul by L. Thomas,,29-28,,
11:48.0,,,29-29,1,M. Dellavedova makes technical free throw
11:38.0,,,29-29,,M. Dellavedova misses 2-pt shot from 19 ft
11:36.0,Defensive rebound by M. Beasley,,29-29,,
11:29.0,M. Beasley misses 2-pt shot from 4 ft (block by T. Maker),,29-29,,
11:29.0,,,29-29,,Defensive rebound by M. Dellavedova
11:24.0,Personal foul by F. Ntilikina (drawn by J. Parker),,29-29,,
11:24.0,,,29-29,,S. Kilpatrick enters the game for J. Parker
11:10.0,,,29-29,,G. Antetokounmpo misses 2-pt shot from 14 ft
11:07.0,Defensive rebound by M. Beasley,,29-29,,
10:53.0,F. Ntilikina makes 2-pt shot from 10 ft,2,31-29,,
10:39.0,,,31-29,,Shooting foul by M. Beasley (drawn by G. Antetokounmpo)
10:39.0,,,31-30,1,G. Antetokounmpo makes free throw 1 of 2
10:39.0,,,31-30,,G. Antetokounmpo misses free throw 2 of 2
10:37.0,Defensive rebound by K. O'Quinn,,31-30,,
10:15.0,Turnover by M. Beasley (lost ball; steal by S. Brown),,31-30,,
10:07.0,,,31-32,2,T. Maker makes 2-pt shot from 1 ft (assist by S. Brown)
9:51.0,M. Beasley makes 2-pt shot from 1 ft (assist by F. Ntilikina),2,33-32,,
9:35.0,,,33-35,3,T. Maker makes 3-pt shot from 26 ft (assist by M. Dellavedova)
9:25.0,D. McDermott makes 2-pt shot from 1 ft (assist by K. O'Quinn),2,35-35,,
9:08.0,,,35-37,2,G. Antetokounmpo makes 2-pt shot from 20 ft
9:08.0,,,35-38,1,T. Maker makes free throw 1 of 1
9:08.0,Away from play foul by L. Thomas (drawn by T. Maker),,35-38,,
9:08.0,Turnover by L. Thomas (turnover),,35-38,,
8:51.0,Turnover by D. McDermott (bad pass; steal by S. Kilpatrick),,35-38,,
8:51.0,,,35-38,,Shooting foul by F. Ntilikina (drawn by S. Kilpatrick)
8:51.0,,,35-40,2,S. Kilpatrick makes 2-pt shot at rim
8:51.0,,,35-41,1,S. Kilpatrick makes free throw 1 of 1
8:34.0,F. Ntilikina makes 2-pt shot from 1 ft,2,37-41,,
8:16.0,,,37-43,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova)
8:05.0,D. McDermott misses 3-pt shot from 28 ft,,37-43,,
8:03.0,,,37-43,,Defensive rebound by G. Antetokounmpo
8:00.0,,,37-43,,G. Antetokounmpo misses 2-pt shot from 4 ft (block by L. Thomas)
8:00.0,J. Jack enters the game for F. Ntilikina,,37-43,,
8:00.0,Offensive rebound by Team,,37-43,,
7:56.0,Jump ball: G. Antetokounmpo vs. L. Thomas (D. McDermott gains possession),,,,Jump ball: G. Antetokounmpo vs. L. Thomas (D. McDermott gains possession)
7:46.0,Turnover by K. O'Quinn (bad pass),,37-43,,
7:46.0,K. Porzingis enters the game for L. Thomas,,37-43,,
7:23.0,,,37-43,,G. Antetokounmpo misses 2-pt shot from 18 ft
7:19.0,Defensive rebound by K. O'Quinn,,37-43,,
7:11.0,Turnover by J. Jack (bad pass; steal by S. Brown),,37-43,,
7:07.0,,,37-45,2,S. Brown makes 2-pt shot at rim (assist by G. Antetokounmpo)
7:00.0,New York full timeout,,37-45,,
7:00.0,,,37-45,,J. Henson enters the game for T. Maker
7:00.0,,,37-45,,E. Bledsoe enters the game for M. Dellavedova
7:00.0,E. Kanter enters the game for M. Beasley,,37-45,,
7:00.0,T. Hardaway enters the game for K. O'Quinn,,37-45,,
7:00.0,C. Lee enters the game for D. McDermott,,37-45,,
6:49.0,C. Lee misses 2-pt shot from 12 ft,,37-45,,
6:49.0,Offensive rebound by Team,,37-45,,
6:49.0,,,37-45,,Loose ball foul by J. Henson (drawn by E. Kanter)
6:35.0,E. Kanter makes 2-pt shot from 5 ft (assist by J. Jack),2,39-45,,
6:20.0,,,39-45,,S. Kilpatrick misses 3-pt shot from 26 ft
6:17.0,Defensive rebound by J. Jack,,39-45,,
6:15.0,T. Hardaway misses 3-pt shot from 23 ft,,39-45,,
6:13.0,Offensive rebound by E. Kanter,,39-45,,
6:11.0,E. Kanter makes 2-pt shot at rim,2,41-45,,
5:58.0,,,41-45,,G. Antetokounmpo misses 2-pt shot from 1 ft
5:58.0,Defensive rebound by T. Hardaway,,41-45,,
5:52.0,C. Lee makes 2-pt shot from 1 ft (assist by T. Hardaway),2,43-45,,
5:48.0,,,43-45,,Milwaukee full timeout
5:48.0,,,43-45,,K. Middleton enters the game for S. Kilpatrick
5:48.0,,,43-45,,J. Parker enters the game for S. Brown
5:48.0,,,43-45,,T. Snell enters the game for G. Antetokounmpo
5:37.0,,,43-45,,E. Bledsoe misses 2-pt shot from 12 ft
5:35.0,,,43-45,,Offensive rebound by J. Parker
5:34.0,,,43-47,2,J. Parker makes 2-pt shot from 1 ft
5:22.0,,,43-47,,Personal foul by J. Henson (drawn by E. Kanter)
5:15.0,K. Porzingis makes 2-pt shot from 2 ft (assist by J. Jack),2,45-47,,
5:06.0,,,45-49,2,J. Parker makes 2-pt shot from 5 ft
4:47.0,,,45-49,,Personal foul by J. Henson (drawn by E. Kanter)
4:47.0,,,45-49,,G. Antetokounmpo enters the game for J. Henson
4:35.0,T. Hardaway misses 3-pt shot from 26 ft,,45-49,,
4:30.0,Offensive rebound by C. Lee,,45-49,,
4:25.0,K. Porzingis misses 2-pt shot from 9 ft,,45-49,,
4:21.0,,,45-49,,Defensive rebound by G. Antetokounmpo
4:10.0,,,45-49,,E. Bledsoe misses 3-pt shot from 26 ft
4:08.0,Defensive rebound by K. Porzingis,,45-49,,
3:56.0,,,45-49,,Personal foul by E. Bledsoe (drawn by E. Kanter)
3:44.0,K. Porzingis misses 3-pt shot from 26 ft,,45-49,,
3:41.0,,,45-49,,Defensive rebound by T. Snell
3:40.0,Personal block foul by C. Lee (drawn by G. Antetokounmpo),,45-49,,
3:40.0,,,45-49,,G. Antetokounmpo misses free throw 1 of 2
3:40.0,,,45-49,,Offensive rebound by Team
3:40.0,,,45-49,,G. Antetokounmpo misses free throw 2 of 2
3:40.0,Defensive rebound by E. Kanter,,45-49,,
3:34.0,J. Jack misses 2-pt shot from 7 ft,,45-49,,
3:24.0,Offensive rebound by E. Kanter,,45-49,,
3:24.0,E. Kanter makes 2-pt shot at rim,2,47-49,,
3:20.0,,,47-49,,Shooting foul by E. Kanter (drawn by J. Parker)
3:20.0,,,47-49,,J. Parker misses free throw 1 of 2
3:20.0,,,47-49,,Offensive rebound by Team
3:20.0,,,47-50,1,J. Parker makes free throw 2 of 2
3:09.0,,,47-50,,Personal foul by K. Middleton (drawn by T. Hardaway)
3:09.0,T. Hardaway makes free throw 1 of 2,1,48-50,,
3:09.0,T. Hardaway makes free throw 2 of 2,1,49-50,,
2:52.0,,,49-50,,T. Snell misses 3-pt shot from 22 ft
2:49.0,Defensive rebound by E. Kanter,,49-50,,
2:39.0,Turnover by E. Kanter (out of bounds lost ball),,49-50,,
2:27.0,,,49-50,,J. Parker misses 2-pt shot from 8 ft
2:25.0,Defensive rebound by E. Kanter,,49-50,,
2:15.0,T. Hardaway misses 3-pt shot from 28 ft,,49-50,,
2:08.0,Offensive rebound by J. Jack,,49-50,,
2:05.0,C. Lee misses 3-pt shot from 27 ft,,49-50,,
2:02.0,Offensive rebound by J. Jack,,49-50,,
2:01.0,,,49-50,,T. Maker enters the game for J. Parker
1:48.0,Turnover by J. Jack (out of bounds lost ball),,49-50,,
1:31.0,,,49-50,,E. Bledsoe misses 2-pt shot from 1 ft
1:29.0,Defensive rebound by K. Porzingis,,49-50,,
1:23.0,C. Lee makes 2-pt shot from 9 ft,2,51-50,,
1:12.0,,,51-53,3,G. Antetokounmpo makes 3-pt shot from 28 ft (assist by T. Snell)
0:52.0,Shooting foul by E. Bledsoe (drawn by K. Porzingis),,51-53,,
0:52.0,K. Porzingis makes free throw 1 of 2,1,52-53,,
0:52.0,,,52-53,,M. Dellavedova enters the game for E. Bledsoe
0:52.0,K. Porzingis makes free throw 2 of 2,1,53-53,,
0:31.0,,,53-53,,M. Dellavedova misses 3-pt shot from 26 ft
0:28.0,Defensive rebound by E. Kanter,,53-53,,
0:13.0,J. Jack makes 2-pt shot from 1 ft,2,55-53,,
0:01.0,,,55-53,,Shooting foul by C. Lee (drawn by K. Middleton)
0:01.0,,,55-54,1,K. Middleton makes free throw 1 of 2
0:01.0,,,55-55,1,K. Middleton makes free throw 2 of 2
0:00.0,K. Porzingis misses 3-pt shot from 59 ft,,55-55,,
0:00.0,Offensive rebound by Team,,55-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,55-58,3,E. Bledsoe makes 3-pt shot from 22 ft (assist by K. Middleton)
11:21.0,J. Jack misses 2-pt shot from 17 ft,,55-58,,
11:16.0,,,55-58,,Defensive rebound by K. Middleton
11:14.0,,,55-58,,Turnover by G. Antetokounmpo (bad pass)
10:58.0,C. Lee makes 2-pt shot at rim,2,57-58,,
10:43.0,,,57-58,,G. Antetokounmpo misses 3-pt shot from 23 ft
10:40.0,Defensive rebound by J. Jack,,57-58,,
10:34.0,K. Porzingis misses 2-pt shot from 12 ft (block by G. Antetokounmpo),,57-58,,
10:33.0,Offensive rebound by J. Jack,,57-58,,
10:29.0,E. Kanter makes 2-pt shot at rim (assist by J. Jack),2,59-58,,
10:16.0,,,59-58,,Offensive foul by E. Bledsoe (drawn by K. Porzingis)
10:16.0,,,59-58,,Turnover by E. Bledsoe (offensive foul)
9:50.0,J. Jack misses 3-pt shot from 31 ft,,59-58,,
9:50.0,Offensive rebound by Team,,59-58,,
9:50.0,Turnover by Team (shot clock),,59-58,,
9:33.0,,,59-61,3,T. Snell makes 3-pt shot from 22 ft (assist by E. Bledsoe)
9:21.0,T. Hardaway misses 3-pt shot from 27 ft,,59-61,,
9:18.0,,,59-61,,Defensive rebound by K. Middleton
9:08.0,,,59-61,,K. Middleton misses 3-pt shot from 26 ft
9:06.0,Defensive rebound by K. Porzingis,,59-61,,
8:55.0,C. Lee makes 2-pt shot from 1 ft (assist by E. Kanter),2,61-61,,
8:44.0,,,61-63,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by K. Middleton)
8:35.0,Offensive foul by E. Kanter (drawn by E. Bledsoe),,61-63,,
8:35.0,Turnover by E. Kanter (offensive foul),,61-63,,
8:15.0,,,61-63,,G. Antetokounmpo misses 2-pt shot from 4 ft (block by K. Porzingis)
8:12.0,Defensive rebound by C. Lee,,61-63,,
8:07.0,E. Kanter makes 2-pt shot at rim (assist by T. Hardaway),2,63-63,,
8:02.0,Personal foul by J. Jack (drawn by E. Bledsoe),,63-63,,
7:57.0,,,63-63,,G. Antetokounmpo misses 3-pt shot from 26 ft
7:55.0,Defensive rebound by E. Kanter,,63-63,,
7:45.0,Turnover by E. Kanter (bad pass; steal by G. Antetokounmpo),,63-63,,
7:42.0,Personal foul by K. Porzingis (drawn by E. Bledsoe),,63-63,,
7:26.0,,,63-65,2,J. Henson makes 2-pt shot from 3 ft (assist by K. Middleton)
7:15.0,Shooting foul by E. Bledsoe (drawn by J. Jack),,63-65,,
7:15.0,J. Jack makes free throw 1 of 2,1,64-65,,
7:15.0,,,64-65,,M. Dellavedova enters the game for E. Bledsoe
7:15.0,J. Jack makes free throw 2 of 2,1,65-65,,
7:01.0,,,65-67,2,J. Henson makes 2-pt shot from 1 ft (assist by K. Middleton)
6:44.0,C. Lee misses 2-pt shot from 10 ft,,65-67,,
6:41.0,,,65-67,,Defensive rebound by G. Antetokounmpo
6:36.0,,,65-67,,M. Dellavedova misses 3-pt shot from 26 ft
6:36.0,Defensive rebound by C. Lee,,65-67,,
6:23.0,,,65-67,,Milwaukee full timeout
6:23.0,L. Thomas enters the game for C. Lee,,65-67,,
6:13.0,Turnover by E. Kanter (lost ball; steal by J. Henson),,65-67,,
5:54.0,,,65-67,,M. Dellavedova misses 3-pt shot from 27 ft
5:50.0,Defensive rebound by T. Hardaway,,65-67,,
5:48.0,Turnover by T. Hardaway (lost ball; steal by G. Antetokounmpo),,65-67,,
5:46.0,,,65-69,2,G. Antetokounmpo makes 2-pt shot from 1 ft
5:35.0,T. Hardaway misses 3-pt shot from 22 ft,,65-69,,
5:32.0,Offensive rebound by E. Kanter,,65-69,,
5:29.0,T. Hardaway misses 3-pt shot from 25 ft,,65-69,,
5:25.0,,,65-69,,Defensive rebound by G. Antetokounmpo
5:17.0,,,65-71,2,G. Antetokounmpo makes 2-pt shot from 17 ft
5:00.0,,,65-71,,Personal foul by M. Dellavedova (drawn by J. Jack)
5:00.0,,,65-71,,J. Parker enters the game for G. Antetokounmpo
5:00.0,F. Ntilikina enters the game for J. Jack,,65-71,,
4:54.0,K. Porzingis makes 2-pt shot from 13 ft (assist by F. Ntilikina),2,67-71,,
4:34.0,,,67-71,,K. Middleton misses 3-pt shot from 26 ft
4:31.0,Defensive rebound by T. Hardaway,,67-71,,
4:30.0,Turnover by T. Hardaway (bad pass),,67-71,,
4:19.0,,,67-71,,Turnover by M. Dellavedova (bad pass; steal by T. Hardaway)
3:59.0,F. Ntilikina makes 3-pt shot from 26 ft (assist by T. Hardaway),3,70-71,,
3:44.0,,,70-71,,K. Middleton misses 2-pt shot from 14 ft
3:41.0,Defensive rebound by F. Ntilikina,,70-71,,
3:36.0,T. Hardaway misses 2-pt shot from 5 ft,,70-71,,
3:33.0,,,70-71,,Defensive rebound by J. Henson
3:24.0,,,70-71,,J. Henson misses 2-pt shot from 19 ft
3:22.0,Defensive rebound by E. Kanter,,70-71,,
3:02.0,F. Ntilikina misses 2-pt shot from 19 ft,,70-71,,
2:59.0,Offensive rebound by E. Kanter,,70-71,,
2:54.0,New York full timeout,,70-71,,
2:54.0,,,70-71,,S. Brown enters the game for T. Snell
2:54.0,M. Beasley enters the game for K. Porzingis,,70-71,,
2:41.0,T. Hardaway misses 3-pt shot from 27 ft,,70-71,,
2:32.0,Offensive rebound by F. Ntilikina,,70-71,,
2:32.0,F. Ntilikina misses 2-pt shot at rim,,70-71,,
2:31.0,,,70-71,,Defensive rebound by J. Parker
2:31.0,Personal foul by E. Kanter (drawn by J. Henson),,70-71,,
2:31.0,C. Lee enters the game for T. Hardaway,,70-71,,
2:19.0,,,70-71,,J. Henson misses 2-pt shot from 1 ft
2:17.0,Defensive rebound by E. Kanter,,70-71,,
2:04.0,M. Beasley makes 2-pt shot at rim,2,72-71,,
1:43.0,,,72-71,,K. Middleton misses 3-pt shot from 23 ft
1:40.0,,,72-71,,Offensive rebound by S. Brown
1:31.0,,,72-71,,K. Middleton misses 2-pt shot from 3 ft
1:29.0,Defensive rebound by E. Kanter,,72-71,,
1:22.0,M. Beasley misses 2-pt shot from 13 ft,,72-71,,
1:19.0,,,72-71,,Defensive rebound by S. Brown
1:07.0,,,72-74,3,S. Brown makes 3-pt shot from 23 ft (assist by M. Dellavedova)
0:43.0,C. Lee misses 2-pt shot from 18 ft,,72-74,,
0:40.0,,,72-74,,Defensive rebound by M. Dellavedova
0:34.0,,,72-74,,S. Brown misses 3-pt shot from 26 ft
0:31.0,Defensive rebound by M. Beasley,,72-74,,
0:12.0,E. Kanter makes 2-pt shot from 1 ft (assist by F. Ntilikina),2,74-74,,
0:03.0,Personal foul by L. Thomas (drawn by K. Middleton),,74-74,,
0:03.0,,,74-74,,T. Maker enters the game for K. Middleton
0:03.0,,,74-74,,G. Antetokounmpo enters the game for J. Henson
0:03.0,K. O'Quinn enters the game for E. Kanter,,74-74,,
0:00.0,,,74-74,,S. Brown misses 3-pt shot from 25 ft
0:00.0,,,74-74,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,L. Thomas misses 3-pt shot from 23 ft,,74-74,,
11:43.0,,,74-74,,Defensive rebound by S. Brown
11:37.0,,,74-74,,Offensive charge foul by M. Dellavedova (drawn by L. Thomas)
11:37.0,,,74-74,,Turnover by M. Dellavedova (offensive foul)
11:17.0,K. O'Quinn makes 2-pt shot from 14 ft (assist by F. Ntilikina),2,76-74,,
11:00.0,,,76-74,,T. Maker misses 3-pt shot from 26 ft
10:57.0,Defensive rebound by M. Beasley,,76-74,,
10:46.0,C. Lee makes 3-pt shot from 27 ft (assist by K. O'Quinn),3,79-74,,
10:33.0,,,79-76,2,S. Brown makes 2-pt shot at rim (assist by M. Dellavedova)
10:19.0,Turnover by F. Ntilikina (bad pass; steal by T. Maker),,79-76,,
10:14.0,,,79-76,,Turnover by T. Maker (lost ball; steal by K. O'Quinn)
10:02.0,Turnover by F. Ntilikina (bad pass; steal by S. Brown),,79-76,,
10:01.0,,,79-76,,Turnover by S. Brown (bad pass; steal by F. Ntilikina)
10:01.0,New York full timeout,,79-76,,
10:01.0,K. Porzingis enters the game for M. Beasley,,79-76,,
9:49.0,F. Ntilikina misses 2-pt shot from 9 ft,,79-76,,
9:47.0,,,79-76,,Defensive rebound by M. Dellavedova
9:43.0,,,79-76,,Shooting foul by K. Porzingis (drawn by G. Antetokounmpo)
9:43.0,,,79-77,1,G. Antetokounmpo makes free throw 1 of 2
9:43.0,,,79-78,1,G. Antetokounmpo makes free throw 2 of 2
9:20.0,K. Porzingis misses 2-pt shot from 4 ft,,79-78,,
9:14.0,Offensive rebound by L. Thomas,,79-78,,
9:14.0,L. Thomas misses 2-pt shot at rim,,79-78,,
9:13.0,,,79-78,,Defensive rebound by T. Snell
9:08.0,,,79-80,2,S. Brown makes 2-pt shot from 1 ft
8:40.0,F. Ntilikina misses 2-pt shot from 18 ft,,79-80,,
8:37.0,,,79-80,,Defensive rebound by T. Snell
8:15.0,,,79-83,3,M. Dellavedova makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
8:01.0,,,79-83,,Personal foul by S. Brown (drawn by K. Porzingis)
8:01.0,T. Hardaway enters the game for K. O'Quinn,,79-83,,
8:01.0,J. Jack enters the game for L. Thomas,,79-83,,
7:51.0,F. Ntilikina misses 2-pt shot from 1 ft (block by T. Maker),,79-83,,
7:46.0,Offensive rebound by K. Porzingis,,79-83,,
7:45.0,K. Porzingis makes 2-pt shot from 1 ft,2,81-83,,
7:34.0,,,81-83,,Shooting foul by T. Hardaway (drawn by T. Maker)
7:34.0,,,81-83,,T. Maker misses free throw 1 of 2
7:34.0,,,81-83,,Offensive rebound by Team
7:34.0,,,81-83,,E. Bledsoe enters the game for M. Dellavedova
7:34.0,L. Thomas enters the game for F. Ntilikina,,81-83,,
7:34.0,,,81-84,1,T. Maker makes free throw 2 of 2
7:34.0,Violation by K. Porzingis (lane),,81-84,,
7:22.0,Turnover by T. Hardaway (bad pass; steal by G. Antetokounmpo),,81-84,,
7:08.0,,,81-84,,Turnover by G. Antetokounmpo (lost ball; steal by T. Hardaway)
7:08.0,,,81-84,,Personal foul by G. Antetokounmpo (drawn by T. Hardaway)
7:08.0,,,81-84,,K. Middleton enters the game for S. Brown
6:57.0,C. Lee misses 2-pt shot from 16 ft,,81-84,,
6:55.0,,,81-84,,Defensive rebound by G. Antetokounmpo
6:34.0,,,81-84,,E. Bledsoe misses 3-pt shot from 25 ft
6:28.0,Defensive rebound by T. Hardaway,,81-84,,
6:28.0,Shooting foul by E. Bledsoe (drawn by J. Jack),,81-84,,
6:28.0,,,81-84,,M. Dellavedova enters the game for E. Bledsoe
6:28.0,J. Jack makes free throw 1 of 2,1,82-84,,
6:28.0,J. Jack makes free throw 2 of 2,1,83-84,,
6:12.0,,,83-84,,T. Maker misses 3-pt shot from 23 ft
