time,New York,pts.away,score,pts.home,Phoenix
8:41.0,,,14-5,,T. Warren misses 2-pt shot from 11 ft
8:40.0,,,14-5,,Offensive rebound by Team
8:40.0,Loose ball foul by E. Kanter (drawn by G. Monroe),,14-5,,
8:36.0,,,14-5,,Turnover by T. Warren (bad pass)
8:25.0,C. Lee makes 2-pt shot from 14 ft (assist by K. Porzingis),2,16-5,,
8:16.0,,,16-5,,Phoenix full timeout
8:07.0,,,16-7,2,T. Warren makes 2-pt shot from 12 ft (assist by G. Monroe)
7:47.0,K. Porzingis makes 3-pt shot from 25 ft (assist by T. Hardaway),3,19-7,,
7:25.0,,,19-7,,Turnover by G. Monroe (bad pass; steal by T. Hardaway)
7:19.0,C. Lee makes 3-pt shot from 24 ft (assist by T. Hardaway),3,22-7,,
7:08.0,,,22-10,3,T. Daniels makes 3-pt shot from 26 ft
6:47.0,C. Lee misses 2-pt shot from 5 ft,,22-10,,
6:45.0,,,22-10,,Defensive rebound by G. Monroe
6:33.0,,,22-10,,T. Warren misses 2-pt shot at rim
6:32.0,,,22-10,,Offensive rebound by T. Warren
6:32.0,,,22-10,,T. Warren misses 2-pt shot at rim
6:32.0,Defensive rebound by Team,,22-10,,
6:32.0,,,22-10,,D. Bender enters the game for M. Chriss
6:23.0,T. Hardaway misses 3-pt shot from 25 ft,,22-10,,
6:20.0,,,22-10,,Defensive rebound by D. Booker
6:19.0,Personal take foul by J. Jack (drawn by D. Booker),,22-10,,
6:08.0,,,22-12,2,T. Warren makes 2-pt shot from 20 ft
5:47.0,J. Jack misses 2-pt shot from 11 ft,,22-12,,
5:42.0,Offensive rebound by E. Kanter,,22-12,,
5:42.0,E. Kanter makes 2-pt shot at rim,2,24-12,,
5:35.0,,,24-12,,T. Daniels misses 2-pt shot from 16 ft
5:32.0,Defensive rebound by K. Porzingis,,24-12,,
5:28.0,E. Kanter misses 2-pt shot from 1 ft,,24-12,,
5:28.0,Offensive rebound by Team,,24-12,,
5:20.0,T. Hardaway makes 2-pt shot from 3 ft,2,26-12,,
5:05.0,,,26-15,3,T. Daniels makes 3-pt shot from 26 ft
4:45.0,K. Porzingis misses 3-pt shot from 25 ft,,26-15,,
4:43.0,,,26-15,,Defensive rebound by D. Booker
4:36.0,,,26-15,,D. Booker misses 2-pt shot from 6 ft (block by C. Lee)
4:36.0,,,26-15,,Offensive rebound by Team
4:36.0,,,26-15,,J. Dudley enters the game for T. Warren
4:36.0,,,26-15,,I. Canaan enters the game for G. Monroe
4:34.0,,,26-18,3,J. Dudley makes 3-pt shot from 26 ft (assist by D. Booker)
4:22.0,,,26-18,,Personal block foul by I. Canaan (drawn by J. Jack)
4:22.0,F. Ntilikina enters the game for T. Hardaway,,26-18,,
4:22.0,L. Thomas enters the game for J. Jack,,26-18,,
4:15.0,C. Lee misses 2-pt shot from 6 ft,,26-18,,
4:13.0,,,26-18,,Defensive rebound by D. Bender
4:00.0,,,26-18,,D. Bender misses 3-pt shot from 26 ft
3:57.0,Defensive rebound by E. Kanter,,26-18,,
3:49.0,Turnover by K. Porzingis (bad pass),,26-18,,
3:35.0,,,26-18,,D. Booker misses 3-pt shot from 28 ft
3:32.0,Defensive rebound by K. Porzingis,,26-18,,
3:23.0,,,26-18,,Personal foul by I. Canaan (drawn by F. Ntilikina)
3:23.0,F. Ntilikina misses free throw 1 of 2,,26-18,,
3:23.0,Offensive rebound by Team,,26-18,,
3:23.0,F. Ntilikina makes free throw 2 of 2,1,27-18,,
2:59.0,,,27-18,,T. Daniels misses 3-pt shot from 24 ft
2:55.0,Defensive rebound by C. Lee,,27-18,,
2:39.0,Turnover by L. Thomas (bad pass; steal by D. Booker),,27-18,,
2:38.0,Personal foul by L. Thomas (drawn by D. Booker),,27-18,,
2:38.0,New York full timeout,,27-18,,
2:38.0,,,27-18,,J. Jackson enters the game for T. Daniels
2:38.0,M. Beasley enters the game for K. Porzingis,,27-18,,
2:24.0,,,27-20,2,J. Jackson makes 2-pt shot at rim
1:59.0,E. Kanter makes 2-pt shot from 2 ft (assist by C. Lee),2,29-20,,
1:59.0,Shooting foul by D. Bender (drawn by E. Kanter),,29-20,,
1:59.0,E. Kanter makes free throw 1 of 1,1,30-20,,
1:47.0,,,30-23,3,D. Booker makes 3-pt shot from 23 ft (assist by I. Canaan)
1:29.0,Offensive foul by E. Kanter (drawn by D. Bender),,30-23,,
1:29.0,Turnover by E. Kanter (offensive foul),,30-23,,
1:12.0,,,30-23,,Turnover by I. Canaan (bad pass; steal by M. Beasley)
0:50.0,M. Beasley makes 3-pt shot from 22 ft (assist by L. Thomas),3,33-23,,
0:45.0,,,33-23,,J. Jackson misses 2-pt shot from 21 ft
0:41.0,Defensive rebound by E. Kanter,,33-23,,
0:34.0,Turnover by M. Beasley (turnover),,33-23,,
0:34.0,K. O'Quinn enters the game for E. Kanter,,33-23,,
0:30.0,,,33-23,,D. Booker misses 2-pt shot from 12 ft
0:27.0,Defensive rebound by K. O'Quinn,,33-23,,
0:09.0,C. Lee misses 3-pt shot from 25 ft,,33-23,,
0:08.0,,,33-23,,Defensive rebound by Team
0:08.0,Loose ball foul by K. O'Quinn (drawn by D. Bender),,33-23,,
0:06.0,,,33-23,,Turnover by D. Bender (bad pass)
0:02.0,Turnover by F. Ntilikina (bad pass; steal by J. Dudley),,33-23,,
0:00.0,,,33-23,,J. Dudley misses 2-pt shot from 2 ft
0:00.0,,,33-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,33-23,,Turnover by T. Warren (bad pass; steal by M. Beasley)
11:32.0,Turnover by F. Ntilikina (bad pass; steal by J. Jackson),,33-23,,
11:29.0,,,33-25,2,J. Jackson makes 2-pt shot at rim
11:05.0,M. Beasley misses 2-pt shot from 13 ft,,33-25,,
11:02.0,Offensive rebound by K. O'Quinn,,33-25,,
11:01.0,K. O'Quinn misses 2-pt shot from 1 ft,,33-25,,
11:01.0,Offensive rebound by M. Beasley,,33-25,,
10:59.0,,,33-25,,Loose ball foul by J. Dudley (drawn by M. Beasley)
10:59.0,T. Burke enters the game for F. Ntilikina,,33-25,,
10:46.0,T. Burke misses 2-pt shot from 18 ft,,33-25,,
10:46.0,,,33-25,,Defensive rebound by I. Canaan
10:40.0,,,33-25,,Turnover by I. Canaan (bad pass)
10:40.0,D. McDermott enters the game for L. Thomas,,33-25,,
10:28.0,,,33-25,,Personal foul by I. Canaan (drawn by M. Beasley)
10:28.0,,,33-25,,T. Ulis enters the game for I. Canaan
10:23.0,,,33-25,,Personal foul by J. Dudley (drawn by M. Beasley)
10:11.0,T. Burke makes 2-pt shot from 13 ft,2,35-25,,
10:00.0,,,35-27,2,T. Warren makes 2-pt shot from 1 ft (assist by J. Dudley)
9:45.0,M. Beasley makes 2-pt shot from 7 ft,2,37-27,,
9:38.0,,,37-27,,J. Jackson misses 2-pt shot from 1 ft
9:38.0,Defensive rebound by T. Hardaway,,37-27,,
9:32.0,T. Hardaway misses 3-pt shot from 24 ft,,37-27,,
9:32.0,,,37-27,,Defensive rebound by D. Bender
9:20.0,,,37-30,3,T. Warren makes 3-pt shot from 23 ft (assist by J. Dudley)
8:56.0,M. Beasley misses 2-pt shot at rim,,37-30,,
8:56.0,Offensive rebound by Team,,37-30,,
8:56.0,Turnover by D. McDermott (turnover),,37-30,,
8:40.0,,,37-32,2,J. Dudley makes 2-pt shot from 20 ft
8:24.0,D. McDermott misses 3-pt shot from 22 ft,,37-32,,
8:24.0,,,37-32,,Defensive rebound by J. Jackson
8:17.0,,,37-34,2,J. Jackson makes 2-pt shot from 1 ft
8:16.0,New York full timeout,,37-34,,
8:16.0,K. Porzingis enters the game for K. O'Quinn,,37-34,,
7:58.0,T. Hardaway makes 2-pt shot at rim,2,39-34,,
7:36.0,,,39-36,2,T. Ulis makes 2-pt shot from 1 ft
7:13.0,T. Hardaway misses 2-pt shot from 22 ft (block by T. Warren),,39-36,,
7:09.0,,,39-36,,Defensive rebound by J. Jackson
6:59.0,,,39-36,,J. Jackson misses 2-pt shot from 1 ft
6:56.0,,,39-36,,Offensive rebound by T. Warren
6:56.0,,,39-38,2,T. Warren makes 2-pt shot at rim
6:37.0,K. Porzingis misses 2-pt shot from 4 ft,,39-38,,
6:35.0,,,39-38,,Defensive rebound by J. Dudley
6:34.0,Shooting block foul by T. Hardaway (drawn by J. Jackson),,39-38,,
6:34.0,,,39-38,,J. Jackson misses free throw 1 of 2
6:34.0,,,39-38,,Offensive rebound by Team
6:34.0,,,39-38,,G. Monroe enters the game for J. Dudley
6:34.0,E. Kanter enters the game for M. Beasley,,39-38,,
6:34.0,J. Jack enters the game for D. McDermott,,39-38,,
6:34.0,C. Lee enters the game for T. Burke,,39-38,,
6:34.0,,,39-39,1,J. Jackson makes free throw 2 of 2
6:16.0,,,39-39,,Personal foul by D. Bender (drawn by K. Porzingis)
6:16.0,,,39-39,,M. Chriss enters the game for D. Bender
6:09.0,K. Porzingis misses 2-pt shot from 9 ft,,39-39,,
6:07.0,,,39-39,,Defensive rebound by J. Jackson
5:55.0,,,39-39,,T. Warren misses 2-pt shot from 10 ft
5:53.0,Defensive rebound by E. Kanter,,39-39,,
5:42.0,T. Hardaway makes 3-pt shot from 25 ft (assist by C. Lee),3,42-39,,
5:19.0,,,42-39,,T. Ulis misses 3-pt shot from 25 ft
5:17.0,Defensive rebound by C. Lee,,42-39,,
5:13.0,Turnover by C. Lee (bad pass; steal by M. Chriss),,42-39,,
5:13.0,Loose ball foul by J. Jack (drawn by M. Chriss),,42-39,,
5:13.0,,,42-39,,D. Booker enters the game for J. Jackson
5:00.0,,,42-39,,M. Chriss misses 2-pt shot from 20 ft
4:57.0,Defensive rebound by E. Kanter,,42-39,,
4:46.0,J. Jack misses 3-pt shot from 24 ft,,42-39,,
4:41.0,,,42-39,,Defensive rebound by T. Ulis
4:19.0,,,42-39,,Turnover by D. Booker (bad pass; steal by E. Kanter)
4:10.0,J. Jack misses 3-pt shot from 24 ft,,42-39,,
4:06.0,,,42-39,,Defensive rebound by T. Warren
3:58.0,,,42-39,,Phoenix full timeout
3:58.0,,,42-39,,J. Jackson enters the game for T. Ulis
3:49.0,,,42-39,,T. Warren misses 2-pt shot from 6 ft
3:49.0,,,42-39,,Offensive rebound by Team
3:41.0,,,42-39,,M. Chriss misses 2-pt shot from 5 ft (block by K. Porzingis)
3:34.0,,,42-39,,Offensive rebound by G. Monroe
3:34.0,,,42-41,2,G. Monroe makes 2-pt shot at rim
3:16.0,E. Kanter makes 2-pt shot from 14 ft (assist by C. Lee),2,44-41,,
2:57.0,,,44-41,,M. Chriss misses 3-pt shot from 23 ft
2:53.0,Defensive rebound by T. Hardaway,,44-41,,
2:49.0,Shooting foul by M. Chriss (drawn by J. Jack),,44-41,,
2:49.0,J. Jack misses free throw 1 of 2,,44-41,,
2:49.0,Offensive rebound by Team,,44-41,,
2:49.0,,,44-41,,T. Daniels enters the game for M. Chriss
2:49.0,J. Jack makes free throw 2 of 2,1,45-41,,
2:29.0,,,45-41,,D. Booker misses 2-pt shot from 12 ft
2:27.0,Defensive rebound by Team,,45-41,,
2:12.0,C. Lee makes 3-pt shot from 22 ft (assist by J. Jack),3,48-41,,
2:02.0,,,48-41,,Turnover by G. Monroe (bad pass; steal by C. Lee)
1:59.0,E. Kanter makes 2-pt shot at rim (assist by K. Porzingis),2,50-41,,
1:44.0,,,50-44,3,J. Jackson makes 3-pt shot from 26 ft (assist by T. Daniels)
1:35.0,,,50-44,,Personal foul by J. Jackson
1:35.0,,,50-44,,Technical foul by J. Jackson
1:35.0,C. Lee misses technical free throw,,50-44,,
1:35.0,Offensive rebound by Team,,50-44,,
1:35.0,K. Porzingis misses free throw 1 of 2,,50-44,,
1:35.0,Offensive rebound by Team,,50-44,,
1:35.0,K. Porzingis makes free throw 2 of 2,1,51-44,,
1:25.0,,,51-47,3,D. Booker makes 3-pt shot from 26 ft
1:04.0,C. Lee misses 3-pt shot from 22 ft,,51-47,,
1:04.0,Offensive rebound by E. Kanter,,51-47,,
0:57.0,T. Hardaway makes 2-pt shot at rim,2,53-47,,
0:40.0,,,53-47,,J. Jackson misses 2-pt shot from 17 ft
0:37.0,Defensive rebound by J. Jack,,53-47,,
0:29.0,C. Lee misses 3-pt shot from 25 ft,,53-47,,
0:23.0,Offensive rebound by K. Porzingis,,53-47,,
0:23.0,K. Porzingis misses 2-pt shot at rim,,53-47,,
0:22.0,,,53-47,,Defensive rebound by G. Monroe
0:04.0,Personal take foul by C. Lee (drawn by D. Booker),,53-47,,
0:01.0,,,53-49,2,G. Monroe makes 2-pt shot from 3 ft (assist by D. Booker)
0:00.0,T. Hardaway misses 3-pt shot from 63 ft,,53-49,,
0:00.0,Offensive rebound by Team,,53-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,53-49,,T. Warren misses 3-pt shot from 25 ft
11:42.0,,,53-49,,Offensive rebound by Team
11:42.0,Loose ball foul by K. Porzingis (drawn by M. Chriss),,53-49,,
11:40.0,,,53-49,,Offensive foul by D. Booker (drawn by J. Jack)
11:40.0,,,53-49,,Turnover by D. Booker (offensive foul)
11:35.0,,,53-49,,Personal foul by T. Daniels (drawn by C. Lee)
11:22.0,K. Porzingis makes 3-pt shot from 26 ft (assist by E. Kanter),3,56-49,,
11:05.0,,,56-49,,D. Booker misses 2-pt shot from 20 ft
11:02.0,,,56-49,,Offensive rebound by G. Monroe
11:01.0,,,56-51,2,G. Monroe makes 2-pt shot from 4 ft
10:54.0,Turnover by J. Jack (turnover),,56-51,,
10:41.0,,,56-51,,M. Chriss misses 3-pt shot from 23 ft
10:38.0,Defensive rebound by E. Kanter,,56-51,,
10:36.0,,,56-51,,Personal foul by M. Chriss (drawn by K. Porzingis)
10:28.0,K. Porzingis makes 2-pt shot from 19 ft (assist by J. Jack),2,58-51,,
10:10.0,,,58-51,,T. Daniels misses 3-pt shot from 25 ft
10:07.0,Defensive rebound by E. Kanter,,58-51,,
9:58.0,J. Jack misses 2-pt shot from 8 ft,,58-51,,
9:55.0,,,58-51,,Defensive rebound by G. Monroe
9:48.0,,,58-51,,M. Chriss misses 2-pt shot from 1 ft (block by K. Porzingis)
9:45.0,Defensive rebound by C. Lee,,58-51,,
9:44.0,J. Jack makes 2-pt shot at rim,2,60-51,,
9:44.0,Shooting foul by T. Daniels (drawn by J. Jack),,60-51,,
9:44.0,,,60-51,,Technical foul by D. Booker
9:44.0,C. Lee makes technical free throw,1,61-51,,
9:44.0,J. Jack makes free throw 1 of 1,1,62-51,,
9:26.0,,,62-51,,M. Chriss misses 3-pt shot from 25 ft
9:24.0,Defensive rebound by C. Lee,,62-51,,
9:19.0,Turnover by C. Lee (out of bounds lost ball),,62-51,,
9:06.0,,,62-51,,T. Daniels misses 3-pt shot from 25 ft
9:04.0,,,62-51,,Offensive rebound by M. Chriss
9:04.0,Loose ball foul by T. Hardaway (drawn by M. Chriss),,62-51,,
9:04.0,,,62-51,,D. Bender enters the game for M. Chriss
8:57.0,,,62-51,,Turnover by D. Booker (bad pass; steal by T. Hardaway)
8:55.0,,,62-51,,Technical foul by D. Booker (drawn by T. Hardaway)
8:55.0,L. Thomas enters the game for T. Hardaway,,62-51,,
8:55.0,T. Hardaway makes flagrant free throw 1 of 2,1,63-51,,
8:55.0,T. Hardaway makes flagrant free throw 2 of 2,1,64-51,,
8:51.0,,,64-51,,Personal foul by D. Bender (drawn by K. Porzingis)
8:51.0,K. Porzingis makes free throw 1 of 2,1,65-51,,
8:51.0,K. Porzingis misses free throw 2 of 2,,65-51,,
8:48.0,,,65-51,,Defensive rebound by D. Bender
8:43.0,Personal foul by J. Jack (drawn by T. Daniels),,65-51,,
8:30.0,,,65-51,,G. Monroe misses 2-pt shot from 4 ft
8:28.0,Defensive rebound by E. Kanter,,65-51,,
8:24.0,K. Porzingis makes 2-pt shot at rim (assist by C. Lee),2,67-51,,
8:20.0,,,67-51,,Phoenix full timeout
8:20.0,,,67-51,,I. Canaan enters the game for T. Daniels
8:13.0,Personal foul by C. Lee (drawn by D. Booker),,67-51,,
8:13.0,,,67-51,,Offensive foul by D. Bender (drawn by J. Jack)
8:13.0,,,67-51,,Turnover by D. Bender (offensive foul)
8:01.0,C. Lee misses 2-pt shot from 1 ft (block by D. Bender),,67-51,,
7:58.0,,,67-51,,Defensive rebound by G. Monroe
7:46.0,,,67-53,2,D. Booker makes 2-pt shot from 3 ft
7:27.0,E. Kanter misses 2-pt shot from 3 ft,,67-53,,
7:25.0,,,67-53,,Defensive rebound by I. Canaan
7:22.0,,,67-55,2,T. Warren makes 2-pt shot at rim (assist by I. Canaan)
7:22.0,New York full timeout,,67-55,,
7:22.0,,,67-55,,J. Dudley enters the game for D. Bender
7:05.0,J. Jack misses 3-pt shot from 25 ft,,67-55,,
7:02.0,,,67-55,,Defensive rebound by G. Monroe
6:42.0,,,67-55,,I. Canaan misses 2-pt shot from 4 ft (block by L. Thomas)
6:41.0,,,67-55,,Offensive rebound by I. Canaan
6:40.0,,,67-55,,Turnover by Team (shot clock)
6:22.0,K. Porzingis makes 2-pt shot from 18 ft,2,69-55,,
6:07.0,Personal foul by C. Lee (drawn by D. Booker),,69-55,,
6:07.0,,,69-56,1,D. Booker makes free throw 1 of 2
6:07.0,,,69-57,1,D. Booker makes free throw 2 of 2
5:43.0,C. Lee misses 3-pt shot from 26 ft,,69-57,,
5:40.0,,,69-57,,Defensive rebound by G. Monroe
5:30.0,,,69-57,,D. Booker misses 2-pt shot from 9 ft
5:26.0,Defensive rebound by K. Porzingis,,69-57,,
5:16.0,K. Porzingis makes 3-pt shot from 23 ft (assist by J. Jack),3,72-57,,
4:52.0,,,72-57,,Turnover by G. Monroe (bad pass)
4:52.0,T. Burke enters the game for J. Jack,,72-57,,
4:38.0,K. Porzingis misses 2-pt shot from 17 ft,,72-57,,
4:34.0,,,72-57,,Defensive rebound by D. Booker
4:29.0,,,72-57,,I. Canaan misses 2-pt shot from 1 ft
4:26.0,Defensive rebound by E. Kanter,,72-57,,
4:21.0,C. Lee makes 2-pt shot at rim (assist by T. Burke),2,74-57,,
4:04.0,,,74-57,,D. Booker misses 2-pt shot from 1 ft (block by E. Kanter)
4:04.0,,,74-57,,Offensive rebound by Team
4:03.0,,,74-57,,J. Jackson enters the game for D. Booker
4:03.0,T. Hardaway enters the game for C. Lee,,74-57,,
3:56.0,,,74-59,2,T. Warren makes 2-pt shot from 1 ft (assist by J. Dudley)
3:31.0,T. Burke misses 2-pt shot from 9 ft,,74-59,,
3:28.0,,,74-59,,Defensive rebound by G. Monroe
3:22.0,,,74-59,,I. Canaan misses 3-pt shot from 25 ft
3:20.0,Defensive rebound by K. Porzingis,,74-59,,
3:12.0,Shooting foul by I. Canaan (drawn by E. Kanter),,74-59,,
3:12.0,E. Kanter makes free throw 1 of 2,1,75-59,,
3:12.0,E. Kanter misses free throw 2 of 2,,75-59,,
3:07.0,Offensive rebound by L. Thomas,,75-59,,
3:01.0,T. Burke misses 3-pt shot from 24 ft,,75-59,,
2:57.0,,,75-59,,Defensive rebound by T. Warren
2:44.0,,,75-62,3,T. Warren makes 3-pt shot from 22 ft (assist by J. Dudley)
2:27.0,Turnover by T. Burke (out of bounds lost ball),,75-62,,
2:15.0,,,75-64,2,J. Jackson makes 2-pt shot at rim (assist by I. Canaan)
2:04.0,Turnover by T. Burke (bad pass; steal by J. Dudley),,75-64,,
2:04.0,Loose ball foul by K. Porzingis (drawn by J. Dudley),,75-64,,
2:04.0,,,75-65,1,J. Dudley makes free throw 1 of 2
2:04.0,M. Beasley enters the game for K. Porzingis,,75-65,,
2:04.0,,,75-66,1,J. Dudley makes free throw 2 of 2
1:51.0,T. Hardaway makes 2-pt shot from 13 ft,2,77-66,,
1:34.0,,,77-66,,G. Monroe misses 2-pt shot from 1 ft (block by T. Hardaway)
1:34.0,,,77-66,,Offensive rebound by Team
1:31.0,,,77-66,,T. Warren misses 2-pt shot from 18 ft
1:31.0,Defensive rebound by T. Hardaway,,77-66,,
1:15.0,T. Hardaway makes 2-pt shot from 21 ft,2,79-66,,
0:58.0,,,79-66,,Turnover by J. Dudley (traveling)
0:47.0,T. Burke misses 3-pt shot from 22 ft,,79-66,,
0:46.0,,,79-66,,Defensive rebound by Team
0:46.0,Loose ball foul by E. Kanter (drawn by G. Monroe),,79-66,,
0:46.0,,,79-66,,G. Monroe misses free throw 1 of 2
0:46.0,,,79-66,,Offensive rebound by Team
0:46.0,,,79-66,,T. Ulis enters the game for I. Canaan
0:46.0,K. O'Quinn enters the game for E. Kanter,,79-66,,
0:46.0,,,79-67,1,G. Monroe makes free throw 2 of 2
0:30.0,T. Hardaway misses 2-pt shot from 2 ft,,79-67,,
0:28.0,,,79-67,,Defensive rebound by G. Monroe
0:10.0,,,79-67,,T. Warren misses 2-pt shot from 16 ft
0:07.0,Defensive rebound by T. Burke,,79-67,,
0:01.0,L. Thomas makes 2-pt shot from 22 ft (assist by T. Burke),2,81-67,,
0:00.0,,,81-67,,J. Jackson misses 3-pt shot from 49 ft
0:00.0,,,81-67,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,M. Beasley makes 2-pt shot from 13 ft (assist by T. Burke),2,83-67,,
11:29.0,,,83-67,,J. Dudley misses 3-pt shot from 25 ft
11:25.0,Defensive rebound by K. O'Quinn,,83-67,,
11:15.0,T. Burke makes 2-pt shot from 6 ft,2,85-67,,
10:56.0,,,85-67,,J. Jackson misses 2-pt shot from 1 ft
10:54.0,Defensive rebound by L. Thomas,,85-67,,
10:40.0,T. Burke makes 2-pt shot from 1 ft,2,87-67,,
10:27.0,,,87-67,,T. Ulis misses 2-pt shot from 2 ft
10:25.0,Defensive rebound by M. Beasley,,87-67,,
10:17.0,,,87-67,,Personal foul by J. Dudley (drawn by M. Beasley)
10:17.0,D. McDermott enters the game for L. Thomas,,87-67,,
10:05.0,T. Burke makes 2-pt shot from 15 ft (assist by M. Beasley),2,89-67,,
10:03.0,,,89-67,,Phoenix full timeout
10:03.0,,,89-67,,I. Canaan enters the game for T. Ulis
9:52.0,,,89-70,3,T. Daniels makes 3-pt shot from 23 ft (assist by I. Canaan)
9:35.0,T. Burke makes 2-pt shot from 2 ft,2,91-70,,
9:15.0,,,91-72,2,I. Canaan makes 2-pt shot at rim
8:58.0,M. Beasley misses 2-pt shot from 2 ft,,91-72,,
8:56.0,Offensive rebound by M. Beasley,,91-72,,
8:54.0,T. Burke makes 3-pt shot from 26 ft (assist by T. Hardaway),3,94-72,,
8:46.0,,,94-72,,J. Jackson misses 2-pt shot from 11 ft (block by K. O'Quinn)
8:43.0,,,94-72,,Offensive rebound by J. Jackson
8:37.0,,,94-72,,I. Canaan misses 2-pt shot from 1 ft
8:30.0,,,94-72,,Offensive rebound by J. Jackson
8:30.0,,,94-74,2,J. Jackson makes 2-pt shot at rim
8:20.0,T. Burke misses 2-pt shot from 11 ft,,94-74,,
8:17.0,,,94-74,,Defensive rebound by D. Bender
8:14.0,,,94-74,,J. Jackson misses 2-pt shot from 17 ft
8:08.0,Defensive rebound by T. Hardaway,,94-74,,
8:06.0,,,94-74,,Personal foul by T. Daniels (drawn by T. Hardaway)
8:06.0,,,94-74,,M. Chriss enters the game for D. Bender
7:56.0,T. Burke makes 3-pt shot from 25 ft (assist by T. Hardaway),3,97-74,,
7:40.0,Personal foul by T. Hardaway (drawn by M. Chriss),,97-74,,
7:40.0,,,97-74,,T. Warren enters the game for J. Dudley
7:26.0,,,97-74,,I. Canaan misses 3-pt shot from 27 ft
7:21.0,Defensive rebound by T. Hardaway,,97-74,,
7:18.0,T. Hardaway misses 3-pt shot from 24 ft,,97-74,,
7:14.0,Offensive rebound by K. O'Quinn,,97-74,,
7:12.0,Turnover by K. O'Quinn (bad pass; steal by J. Jackson),,97-74,,
7:07.0,Shooting block foul by T. Burke (drawn by M. Chriss),,97-74,,
7:07.0,,,97-74,,M. Chriss misses free throw 1 of 2
7:07.0,,,97-74,,Offensive rebound by Team
7:07.0,,,97-74,,M. Chriss misses free throw 2 of 2
7:03.0,Defensive rebound by T. Hardaway,,97-74,,
6:53.0,D. McDermott makes 2-pt shot at rim (assist by K. O'Quinn),2,99-74,,
6:37.0,,,99-76,2,T. Daniels makes 2-pt shot from 10 ft
6:17.0,D. McDermott misses 2-pt shot from 2 ft,,99-76,,
6:14.0,,,99-76,,Defensive rebound by M. Chriss
6:09.0,,,99-78,2,T. Warren makes 2-pt shot from 1 ft
6:09.0,,,99-78,,Shooting foul by M. Beasley (drawn by T. Warren)
6:09.0,,,99-78,,T. Warren misses free throw 1 of 1
6:07.0,Defensive rebound by Team,,99-78,,
5:51.0,T. Burke makes 2-pt shot from 21 ft,2,101-78,,
5:32.0,,,101-78,,J. Jackson misses 2-pt shot from 18 ft
5:28.0,Defensive rebound by M. Beasley,,101-78,,
5:15.0,K. O'Quinn makes 2-pt shot from 1 ft (assist by D. McDermott),2,103-78,,
5:15.0,,,103-78,,Phoenix full timeout
5:15.0,,,103-78,,D. House enters the game for T. Warren
5:02.0,,,103-78,,T. Daniels misses 3-pt shot from 24 ft
5:00.0,Defensive rebound by Team,,103-78,,
4:44.0,M. Beasley misses 2-pt shot from 1 ft,,103-78,,
4:41.0,Offensive rebound by M. Beasley,,103-78,,
4:41.0,Turnover by M. Beasley (out of bounds lost ball),,103-78,,
4:41.0,,,103-78,,A. Peters enters the game for T. Daniels
4:28.0,,,103-78,,D. House misses 3-pt shot from 24 ft
