time,Utah,pts.away,score,pts.home,Miami
9:19.0,,,56-57,1,G. Dragic makes free throw 1 of 1
9:00.0,D. Mitchell makes 2-pt shot from 21 ft,2,58-57,,
8:45.0,,,58-59,2,G. Dragic makes 2-pt shot from 10 ft
8:22.0,D. Mitchell misses 3-pt shot from 26 ft,,58-59,,
8:22.0,,,58-59,,Defensive rebound by Team
8:11.0,,,58-59,,G. Dragic misses 3-pt shot from 23 ft
8:09.0,Defensive rebound by D. Mitchell,,58-59,,
8:06.0,,,58-59,,Personal foul by G. Dragic (drawn by J. Ingles)
7:58.0,J. Ingles misses 3-pt shot from 24 ft,,58-59,,
7:56.0,,,58-59,,Defensive rebound by G. Dragic
7:43.0,,,58-59,,T. Johnson misses 3-pt shot from 23 ft (block by T. Sefolosha)
7:41.0,Defensive rebound by J. Ingles,,58-59,,
7:34.0,T. Sefolosha makes 2-pt shot from 1 ft (assist by R. Rubio),2,60-59,,
7:16.0,,,60-59,,Turnover by G. Dragic (bad pass; steal by T. Sefolosha)
7:11.0,Shooting foul by K. Olynyk (drawn by D. Favors),,60-59,,
7:11.0,D. Favors makes free throw 1 of 2,1,61-59,,
7:11.0,D. Favors makes free throw 2 of 2,1,62-59,,
6:57.0,,,62-59,,G. Dragic misses 2-pt shot from 7 ft
6:54.0,Defensive rebound by T. Sefolosha,,62-59,,
6:53.0,D. Mitchell makes 2-pt shot at rim (assist by T. Sefolosha),2,64-59,,
6:53.0,,,64-59,,Miami full timeout
6:36.0,,,64-61,2,T. Johnson makes 2-pt shot from 22 ft (assist by H. Whiteside)
6:15.0,Shooting foul by K. Olynyk (drawn by T. Sefolosha),,64-61,,
6:15.0,T. Sefolosha makes free throw 1 of 2,1,65-61,,
6:15.0,T. Sefolosha makes free throw 2 of 2,1,66-61,,
5:58.0,,,66-63,2,T. Johnson makes 2-pt shot from 10 ft
5:46.0,D. Mitchell misses 3-pt shot from 25 ft,,66-63,,
5:42.0,,,66-63,,Defensive rebound by H. Whiteside
5:33.0,,,66-65,2,T. Johnson makes 2-pt shot from 17 ft
5:18.0,Shooting foul by G. Dragic (drawn by R. Rubio),,66-65,,
5:18.0,R. Rubio makes free throw 1 of 2,1,67-65,,
5:18.0,,,67-65,,J. Johnson enters the game for J. Richardson
5:18.0,,,67-65,,W. Ellington enters the game for K. Olynyk
5:18.0,R. Hood enters the game for J. Ingles,,67-65,,
5:18.0,J. Johnson enters the game for T. Sefolosha,,67-65,,
5:18.0,R. Rubio makes free throw 2 of 2,1,68-65,,
4:59.0,,,68-65,,T. Johnson misses 3-pt shot from 24 ft
4:56.0,Defensive rebound by R. Rubio,,68-65,,
4:53.0,J. Johnson misses 3-pt shot from 25 ft,,68-65,,
4:48.0,,,68-65,,Defensive rebound by W. Ellington
4:36.0,,,68-67,2,H. Whiteside makes 2-pt shot from 7 ft (assist by G. Dragic)
4:18.0,,,68-67,,Personal foul by T. Johnson (drawn by R. Hood)
4:18.0,R. Hood makes free throw 1 of 2,1,69-67,,
4:18.0,J. Ingles enters the game for R. Rubio,,69-67,,
4:18.0,R. Hood makes free throw 2 of 2,1,70-67,,
4:07.0,,,70-69,2,J. Johnson makes 2-pt shot from 14 ft (assist by G. Dragic)
3:53.0,Turnover by J. Ingles (step out of bounds),,70-69,,
3:43.0,,,70-69,,J. Johnson misses 3-pt shot from 25 ft
3:40.0,Defensive rebound by J. Ingles,,70-69,,
3:30.0,Turnover by J. Ingles (bad pass; steal by G. Dragic),,70-69,,
3:22.0,,,70-69,,G. Dragic misses 2-pt shot from 1 ft
3:18.0,Defensive rebound by J. Johnson,,70-69,,
3:08.0,J. Johnson misses 2-pt shot from 8 ft,,70-69,,
3:08.0,,,70-69,,Defensive rebound by Team
3:08.0,A. Burks enters the game for J. Ingles,,70-69,,
2:53.0,,,70-69,,Shooting foul by D. Favors (drawn by H. Whiteside)
2:53.0,Utah full timeout,,70-69,,
2:53.0,,,70-69,,J. Richardson enters the game for T. Johnson
2:53.0,R. Rubio enters the game for D. Mitchell,,70-69,,
2:53.0,,,70-70,1,H. Whiteside makes free throw 1 of 2
2:53.0,,,70-71,1,H. Whiteside makes free throw 2 of 2
2:42.0,R. Hood misses 2-pt shot from 15 ft,,70-71,,
2:40.0,,,70-71,,Defensive rebound by H. Whiteside
2:23.0,,,70-71,,G. Dragic misses 3-pt shot from 25 ft
2:20.0,Defensive rebound by J. Johnson,,70-71,,
1:58.0,A. Burks makes 3-pt shot from 25 ft (assist by J. Johnson),3,73-71,,
1:40.0,,,73-74,3,W. Ellington makes 3-pt shot from 25 ft (assist by G. Dragic)
1:15.0,R. Rubio misses 2-pt shot from 10 ft,,73-74,,
1:15.0,Offensive rebound by Team,,73-74,,
1:15.0,,,73-74,,K. Olynyk enters the game for G. Dragic
1:15.0,,,73-74,,D. Jones enters the game for H. Whiteside
1:15.0,E. Udoh enters the game for D. Favors,,73-74,,
1:09.0,J. Johnson makes 2-pt shot from 18 ft,2,75-74,,
0:53.0,,,75-74,,K. Olynyk misses 3-pt shot from 23 ft
0:51.0,,,75-74,,Offensive rebound by J. Johnson
0:50.0,,,75-74,,Turnover by K. Olynyk (bad pass)
0:39.0,R. Hood misses 3-pt shot from 26 ft,,75-74,,
0:36.0,,,75-74,,Defensive rebound by K. Olynyk
0:27.0,,,75-74,,Shooting foul by R. Rubio (drawn by D. Jones)
0:27.0,,,75-74,,D. Jones misses free throw 1 of 2
0:27.0,,,75-74,,Offensive rebound by Team
0:27.0,,,75-74,,D. Jones misses free throw 2 of 2
0:23.0,Defensive rebound by J. Johnson,,75-74,,
0:02.0,R. Hood misses 2-pt shot from 1 ft (block by J. Richardson),,75-74,,
0:01.0,,,75-74,,Defensive rebound by J. Johnson
0:00.0,,,75-74,,J. Johnson misses 3-pt shot from 53 ft
0:00.0,,,75-74,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,75-74,,W. Ellington misses 3-pt shot from 22 ft
11:38.0,Defensive rebound by R. Rubio,,75-74,,
11:27.0,,,75-74,,Personal foul by J. Johnson (drawn by J. Johnson)
11:14.0,J. Johnson makes 2-pt shot from 21 ft,2,77-74,,
11:06.0,Personal foul by J. Johnson (drawn by K. Olynyk),,77-74,,
10:57.0,,,77-77,3,K. Olynyk makes 3-pt shot from 24 ft (assist by J. Richardson)
10:39.0,R. Hood misses 2-pt shot from 2 ft,,77-77,,
10:35.0,,,77-77,,Defensive rebound by J. Johnson
10:29.0,,,77-77,,K. Olynyk misses 3-pt shot from 26 ft
10:29.0,Defensive rebound by Team,,77-77,,
10:16.0,R. Hood misses 2-pt shot from 18 ft,,77-77,,
10:13.0,,,77-77,,Defensive rebound by J. Johnson
10:09.0,,,77-79,2,J. Johnson makes 2-pt shot from 1 ft
9:50.0,J. Johnson misses 2-pt shot from 4 ft,,77-79,,
9:50.0,Offensive rebound by E. Udoh,,77-79,,
9:50.0,,,77-79,,Personal foul by D. Jones (drawn by E. Udoh)
9:50.0,D. Mitchell enters the game for R. Rubio,,77-79,,
9:38.0,R. Hood makes 2-pt shot from 18 ft,2,79-79,,
9:20.0,,,79-79,,J. Richardson misses 3-pt shot from 25 ft
9:18.0,Defensive rebound by E. Udoh,,79-79,,
9:13.0,Shooting foul by D. Jones (drawn by A. Burks),,79-79,,
9:13.0,A. Burks makes free throw 1 of 2,1,80-79,,
9:13.0,T. Sefolosha enters the game for J. Johnson,,80-79,,
9:13.0,A. Burks makes free throw 2 of 2,1,81-79,,
8:57.0,,,81-79,,Shooting foul by E. Udoh (drawn by J. Richardson)
8:57.0,,,81-80,1,J. Richardson makes free throw 1 of 2
8:57.0,,,81-80,,J. Richardson misses free throw 2 of 2
8:54.0,Defensive rebound by T. Sefolosha,,81-80,,
8:37.0,R. Hood makes 2-pt shot from 21 ft (assist by D. Mitchell),2,83-80,,
8:22.0,,,83-80,,W. Ellington misses 3-pt shot from 23 ft
8:20.0,Defensive rebound by R. Hood,,83-80,,
8:03.0,R. Hood makes 3-pt shot from 25 ft,3,86-80,,
7:56.0,,,86-80,,Miami full timeout
7:56.0,,,86-80,,G. Dragic enters the game for W. Ellington
7:56.0,,,86-80,,T. Johnson enters the game for D. Jones
7:31.0,,,86-83,3,J. Johnson makes 3-pt shot from 23 ft
7:20.0,E. Udoh makes 2-pt shot from 1 ft,2,88-83,,
7:20.0,Shooting foul by K. Olynyk (drawn by E. Udoh),,88-83,,
7:20.0,,,88-83,,H. Whiteside enters the game for K. Olynyk
7:20.0,J. Ingles enters the game for R. Hood,,88-83,,
7:20.0,R. Rubio enters the game for A. Burks,,88-83,,
7:20.0,E. Udoh makes free throw 1 of 1,1,89-83,,
7:07.0,,,89-83,,J. Johnson misses 2-pt shot at rim
7:02.0,,,89-83,,Offensive rebound by H. Whiteside
7:02.0,,,89-83,,H. Whiteside misses 2-pt shot at rim
7:02.0,Defensive rebound by R. Rubio,,89-83,,
6:59.0,T. Sefolosha makes 2-pt shot at rim (assist by D. Mitchell),2,91-83,,
6:51.0,Personal foul by D. Mitchell (drawn by T. Johnson),,91-83,,
6:51.0,D. Favors enters the game for E. Udoh,,91-83,,
6:44.0,,,91-85,2,G. Dragic makes 2-pt shot from 1 ft (assist by J. Richardson)
6:28.0,D. Mitchell makes 2-pt shot from 11 ft,2,93-85,,
6:16.0,,,93-85,,G. Dragic misses 2-pt shot from 1 ft
6:12.0,,,93-85,,Offensive rebound by H. Whiteside
6:12.0,,,93-87,2,H. Whiteside makes 2-pt shot at rim
6:08.0,Utah full timeout,,93-87,,
6:08.0,E. Udoh enters the game for D. Favors,,93-87,,
6:03.0,D. Mitchell misses 3-pt shot from 25 ft,,93-87,,
6:01.0,,,93-87,,Defensive rebound by H. Whiteside
5:41.0,,,93-87,,T. Johnson misses 2-pt shot from 18 ft (block by E. Udoh)
5:37.0,Defensive rebound by R. Rubio,,93-87,,
5:29.0,R. Rubio misses 3-pt shot from 26 ft,,93-87,,
5:27.0,,,93-87,,Defensive rebound by H. Whiteside
5:16.0,,,93-87,,H. Whiteside misses 2-pt shot from 18 ft
5:15.0,Defensive rebound by R. Rubio,,93-87,,
4:53.0,R. Rubio misses 2-pt shot from 20 ft (block by J. Richardson),,93-87,,
4:51.0,,,93-87,,Defensive rebound by J. Johnson
4:47.0,,,93-87,,T. Johnson misses 3-pt shot from 23 ft
4:44.0,Defensive rebound by J. Ingles,,93-87,,
4:36.0,Shooting foul by T. Johnson (drawn by T. Sefolosha),,93-87,,
4:36.0,T. Sefolosha makes free throw 1 of 2,1,94-87,,
4:36.0,,,94-87,,K. Olynyk enters the game for H. Whiteside
4:36.0,D. Favors enters the game for R. Rubio,,94-87,,
4:36.0,R. Hood enters the game for E. Udoh,,94-87,,
4:36.0,T. Sefolosha makes free throw 2 of 2,1,95-87,,
4:26.0,,,95-89,2,J. Richardson makes 2-pt shot from 1 ft
4:12.0,Shooting foul by K. Olynyk (drawn by D. Favors),,95-89,,
4:12.0,D. Favors makes free throw 1 of 2,1,96-89,,
4:12.0,,,96-89,,W. Ellington enters the game for J. Johnson
4:12.0,D. Favors misses free throw 2 of 2,,96-89,,
4:09.0,,,96-89,,Defensive rebound by J. Richardson
3:57.0,,,96-89,,G. Dragic misses 3-pt shot from 25 ft
3:54.0,,,96-89,,Offensive rebound by J. Richardson
3:51.0,,,96-92,3,T. Johnson makes 3-pt shot from 25 ft (assist by J. Richardson)
3:32.0,D. Mitchell makes 2-pt shot from 9 ft,2,98-92,,
3:24.0,,,98-92,,J. Richardson misses 3-pt shot from 23 ft
3:21.0,Defensive rebound by J. Ingles,,98-92,,
3:17.0,Utah full timeout,,98-92,,
3:17.0,E. Udoh enters the game for D. Favors,,98-92,,
3:17.0,D. Favors enters the game for E. Udoh,,98-92,,
3:08.0,Turnover by J. Ingles (out of bounds lost ball),,98-92,,
3:04.0,Personal foul by D. Favors (drawn by K. Olynyk),,98-92,,
3:04.0,,,98-92,,Miami full timeout
2:45.0,,,98-94,2,G. Dragic makes 2-pt shot from 1 ft
2:33.0,J. Ingles misses 3-pt shot from 23 ft,,98-94,,
2:31.0,,,98-94,,Defensive rebound by W. Ellington
2:23.0,,,98-94,,G. Dragic misses 2-pt shot from 1 ft
2:23.0,,,98-94,,Offensive rebound by K. Olynyk
2:23.0,,,98-94,,Shooting foul by T. Sefolosha (drawn by K. Olynyk)
2:23.0,,,98-94,,K. Olynyk misses free throw 1 of 2
2:23.0,,,98-94,,Offensive rebound by Team
2:23.0,,,98-95,1,K. Olynyk makes free throw 2 of 2
2:03.0,R. Hood makes 2-pt shot from 10 ft,2,100-95,,
1:49.0,,,100-95,,G. Dragic misses 2-pt shot from 1 ft
1:47.0,Defensive rebound by J. Ingles,,100-95,,
1:28.0,D. Favors misses 2-pt shot from 3 ft,,100-95,,
1:26.0,,,100-95,,Defensive rebound by T. Johnson
1:23.0,,,100-97,2,J. Richardson makes 2-pt shot from 1 ft (assist by T. Johnson)
1:08.0,Turnover by D. Mitchell (out of bounds lost ball),,100-97,,
