time,Charlotte,pts.away,score,pts.home,Atlanta
7:27.0,,,14-9,,Offensive rebound by M. Plumlee
7:26.0,,,14-9,,Turnover by M. Plumlee (lost ball; steal by N. Batum)
7:21.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by N. Batum),2,16-9,,
7:21.0,,,16-9,,Atlanta full timeout
7:21.0,,,16-9,,M. Belinelli enters the game for T. Waller-Prince
7:13.0,,,16-11,2,K. Bazemore makes 2-pt shot from 2 ft (assist by E. Ilyasova)
6:58.0,K. Walker makes 3-pt shot from 24 ft (assist by F. Kaminsky),3,19-11,,
6:45.0,,,19-11,,D. Schroder misses 2-pt shot from 11 ft
6:41.0,Defensive rebound by F. Kaminsky,,19-11,,
6:35.0,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by N. Batum),2,21-11,,
6:11.0,,,21-11,,Shooting foul by D. Howard (drawn by K. Bazemore)
6:11.0,,,21-12,1,K. Bazemore makes free throw 1 of 2
6:11.0,,,21-12,,D. Dedmon enters the game for M. Plumlee
6:11.0,,,21-13,1,K. Bazemore makes free throw 2 of 2
5:59.0,M. Kidd-Gilchrist makes 2-pt shot from 13 ft (assist by N. Batum),2,23-13,,
5:37.0,Personal foul by M. Kidd-Gilchrist (drawn by K. Bazemore),,23-13,,
5:37.0,T. Graham enters the game for F. Kaminsky,,23-13,,
5:28.0,,,23-13,,E. Ilyasova misses 3-pt shot from 25 ft
5:25.0,Defensive rebound by D. Howard,,23-13,,
5:17.0,Turnover by K. Walker (bad pass; steal by M. Belinelli),,23-13,,
5:08.0,,,23-13,,M. Belinelli misses 2-pt shot from 17 ft
5:06.0,Defensive rebound by D. Howard,,23-13,,
4:51.0,N. Batum misses 3-pt shot from 24 ft,,23-13,,
4:47.0,,,23-13,,Defensive rebound by D. Schroder
4:43.0,,,23-15,2,D. Dedmon makes 2-pt shot from 1 ft (assist by D. Schroder)
4:24.0,Shooting foul by D. Dedmon (drawn by T. Graham),,23-15,,
4:24.0,T. Graham makes free throw 1 of 2,1,24-15,,
4:24.0,,,24-15,,T. Waller-Prince enters the game for E. Ilyasova
4:24.0,,,24-15,,J. Collins enters the game for K. Bazemore
4:24.0,T. Graham makes free throw 2 of 2,1,25-15,,
4:06.0,,,25-15,,D. Schroder misses 3-pt shot from 23 ft
4:04.0,Defensive rebound by Team,,25-15,,
3:51.0,J. Lamb enters the game for M. Kidd-Gilchrist,,25-15,,
3:43.0,D. Howard misses 2-pt shot from 11 ft,,25-15,,
3:40.0,,,25-15,,Defensive rebound by D. Dedmon
3:32.0,,,25-17,2,J. Collins makes 2-pt shot from 1 ft (assist by D. Schroder)
3:08.0,D. Howard makes 2-pt shot from 11 ft,2,27-17,,
2:54.0,,,27-19,2,D. Schroder makes 2-pt shot from 3 ft
2:40.0,K. Walker makes 3-pt shot from 25 ft,3,30-19,,
2:29.0,,,30-21,2,M. Belinelli makes 2-pt shot from 13 ft (assist by D. Schroder)
2:14.0,Turnover by N. Batum (bad pass; steal by D. Dedmon),,30-21,,
2:10.0,,,30-23,2,J. Collins makes 2-pt shot from 1 ft (assist by D. Dedmon)
1:48.0,T. Graham makes 2-pt shot from 12 ft (assist by K. Walker),2,32-23,,
1:27.0,,,32-26,3,M. Belinelli makes 3-pt shot from 26 ft (assist by D. Dedmon)
1:15.0,,,32-26,,Personal foul by T. Waller-Prince (drawn by N. Batum)
1:15.0,Charlotte full timeout,,32-26,,
1:15.0,,,32-26,,M. Delaney enters the game for D. Schroder
1:15.0,J. O'Bryant enters the game for D. Howard,,32-26,,
1:15.0,M. Carter-Williams enters the game for K. Walker,,32-26,,
1:06.0,N. Batum misses 3-pt shot from 24 ft,,32-26,,
0:59.0,Jump ball: J. Collins vs. T. Graham (J. O'Bryant gains possession),,,,Jump ball: J. Collins vs. T. Graham (J. O'Bryant gains possession)
0:59.0,Defensive rebound by Team,,32-26,,
0:51.0,Turnover by N. Batum (bad pass),,32-26,,
0:41.0,Personal foul by J. Lamb (drawn by M. Belinelli),,32-26,,
0:32.0,,,32-28,2,M. Belinelli makes 2-pt shot from 20 ft (assist by J. Collins)
0:16.0,J. Lamb makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,35-28,,
0:02.0,,,35-28,,Turnover by M. Delaney (bad pass; steal by N. Batum)
0:00.0,N. Batum misses 3-pt shot from 40 ft,,35-28,,
0:00.0,Offensive rebound by Team,,35-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,35-28,,Shooting foul by J. O'Bryant (drawn by M. Belinelli)
11:45.0,,,35-29,1,M. Belinelli makes free throw 1 of 2
11:45.0,,,35-30,1,M. Belinelli makes free throw 2 of 2
11:26.0,,,35-30,,T. Dorsey enters the game for M. Belinelli
11:21.0,J. O'Bryant makes 2-pt shot from 11 ft,2,37-30,,
11:00.0,,,37-33,3,T. Dorsey makes 3-pt shot from 25 ft (assist by M. Delaney)
10:48.0,,,37-33,,Personal foul by T. Waller-Prince (drawn by J. Lamb)
10:43.0,J. Lamb misses 2-pt shot from 11 ft,,37-33,,
10:39.0,,,37-33,,Defensive rebound by T. Waller-Prince
10:33.0,,,37-33,,M. Delaney misses 2-pt shot from 20 ft
10:30.0,Defensive rebound by M. Kidd-Gilchrist,,37-33,,
10:13.0,F. Kaminsky misses 2-pt shot from 4 ft (block by J. Collins),,37-33,,
10:09.0,Offensive rebound by J. Lamb,,37-33,,
10:07.0,Turnover by Team (shot clock),,37-33,,
9:45.0,,,37-33,,T. Dorsey misses 2-pt shot from 15 ft
9:42.0,Defensive rebound by M. Carter-Williams,,37-33,,
9:40.0,F. Kaminsky makes 3-pt shot from 24 ft (assist by M. Carter-Williams),3,40-33,,
9:25.0,,,40-33,,T. Dorsey misses 3-pt shot from 24 ft
9:22.0,Defensive rebound by F. Kaminsky,,40-33,,
9:14.0,M. Carter-Williams makes 2-pt shot from 19 ft,2,42-33,,
8:51.0,,,42-33,,M. Delaney misses 3-pt shot from 25 ft
8:47.0,Defensive rebound by M. Kidd-Gilchrist,,42-33,,
8:42.0,J. O'Bryant misses 2-pt shot from 20 ft,,42-33,,
8:38.0,,,42-33,,Defensive rebound by M. Muscala
8:33.0,Personal foul by J. Lamb (drawn by T. Dorsey),,42-33,,
8:33.0,,,42-33,,E. Ilyasova enters the game for T. Waller-Prince
8:33.0,,,42-33,,K. Bazemore enters the game for J. Collins
8:27.0,,,42-36,3,M. Muscala makes 3-pt shot from 25 ft (assist by M. Delaney)
8:10.0,J. O'Bryant misses 2-pt shot from 11 ft,,42-36,,
8:06.0,,,42-36,,Defensive rebound by M. Muscala
7:59.0,,,42-39,3,K. Bazemore makes 3-pt shot from 27 ft (assist by M. Muscala)
7:51.0,Charlotte full timeout,,42-39,,
7:51.0,K. Walker enters the game for M. Kidd-Gilchrist,,42-39,,
7:43.0,J. Lamb misses 2-pt shot from 20 ft,,42-39,,
7:41.0,,,42-39,,Defensive rebound by M. Muscala
7:24.0,,,42-39,,M. Delaney misses 2-pt shot from 16 ft
7:21.0,Defensive rebound by M. Carter-Williams,,42-39,,
7:16.0,F. Kaminsky makes 2-pt shot at rim (assist by M. Carter-Williams),2,44-39,,
6:59.0,,,44-39,,E. Ilyasova misses 3-pt shot from 23 ft
6:56.0,Defensive rebound by M. Carter-Williams,,44-39,,
6:49.0,J. O'Bryant makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,47-39,,
6:28.0,,,47-41,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by K. Bazemore)
6:13.0,J. Lamb misses 2-pt shot from 17 ft,,47-41,,
6:10.0,,,47-41,,Defensive rebound by E. Ilyasova
5:57.0,,,47-41,,T. Dorsey misses 3-pt shot from 25 ft
5:54.0,,,47-41,,Offensive rebound by Team
5:54.0,,,47-41,,D. Schroder enters the game for M. Delaney
5:54.0,,,47-41,,J. Collins enters the game for M. Muscala
5:54.0,N. Batum enters the game for J. Lamb,,47-41,,
5:54.0,D. Howard enters the game for J. O'Bryant,,47-41,,
5:54.0,T. Graham enters the game for F. Kaminsky,,47-41,,
5:48.0,,,47-41,,Turnover by K. Bazemore (bad pass; steal by D. Howard)
5:39.0,T. Graham makes 2-pt shot from 2 ft (assist by K. Walker),2,49-41,,
5:27.0,,,49-41,,Turnover by T. Dorsey (bad pass)
5:27.0,,,49-41,,M. Belinelli enters the game for T. Dorsey
5:13.0,Turnover by D. Howard (traveling),,49-41,,
5:02.0,,,49-43,2,D. Schroder makes 2-pt shot from 18 ft
4:46.0,T. Graham makes 3-pt shot from 25 ft (assist by K. Walker),3,52-43,,
4:36.0,,,52-43,,D. Schroder misses 2-pt shot from 12 ft
4:32.0,Defensive rebound by D. Howard,,52-43,,
4:18.0,M. Carter-Williams misses 3-pt shot from 24 ft,,52-43,,
4:14.0,Offensive rebound by T. Graham,,52-43,,
4:13.0,T. Graham misses 2-pt shot at rim,,52-43,,
4:13.0,Offensive rebound by T. Graham,,52-43,,
4:01.0,D. Howard misses 2-pt shot from 10 ft,,52-43,,
4:00.0,Offensive rebound by N. Batum,,52-43,,
3:59.0,N. Batum makes 2-pt shot at rim,2,54-43,,
3:51.0,,,54-43,,Atlanta full timeout
3:51.0,,,54-43,,D. Dedmon enters the game for E. Ilyasova
3:51.0,M. Kidd-Gilchrist enters the game for M. Carter-Williams,,54-43,,
3:51.0,F. Kaminsky enters the game for T. Graham,,54-43,,
3:46.0,Violation by N. Batum (kicked ball),,54-43,,
3:33.0,,,54-45,2,K. Bazemore makes 2-pt shot from 9 ft
3:15.0,D. Howard makes 2-pt shot from 8 ft (assist by N. Batum),2,56-45,,
3:01.0,,,56-45,,Turnover by K. Bazemore (lost ball; steal by M. Kidd-Gilchrist)
2:44.0,D. Howard misses 2-pt shot from 9 ft,,56-45,,
2:43.0,Offensive rebound by N. Batum,,56-45,,
2:43.0,N. Batum makes 2-pt shot at rim,2,58-45,,
2:43.0,K. Walker makes technical free throw,1,59-45,,
2:43.0,,,59-45,,Technical foul by K. Bazemore
2:43.0,K. Walker makes technical free throw,1,60-45,,
2:43.0,,,60-45,,T. Waller-Prince enters the game for K. Bazemore
2:35.0,Personal foul by M. Kidd-Gilchrist (drawn by M. Belinelli),,60-45,,
2:29.0,Personal foul by M. Kidd-Gilchrist (drawn by M. Belinelli),,60-45,,
2:29.0,T. Graham enters the game for M. Kidd-Gilchrist,,60-45,,
2:20.0,,,60-47,2,J. Collins makes 2-pt shot at rim (assist by D. Schroder)
1:56.0,K. Walker misses 2-pt shot from 15 ft,,60-47,,
1:53.0,Offensive rebound by D. Howard,,60-47,,
1:53.0,Shooting foul by J. Collins (drawn by K. Walker),,60-47,,
1:53.0,K. Walker misses free throw 1 of 3,,60-47,,
1:53.0,Offensive rebound by Team,,60-47,,
1:53.0,K. Walker makes free throw 2 of 3,1,61-47,,
1:53.0,K. Walker makes free throw 3 of 3,1,62-47,,
1:46.0,,,62-47,,D. Schroder misses 3-pt shot from 25 ft
1:42.0,Defensive rebound by D. Howard,,62-47,,
1:22.0,F. Kaminsky misses 3-pt shot from 26 ft,,62-47,,
1:18.0,,,62-47,,Defensive rebound by M. Belinelli
1:16.0,,,62-50,3,M. Belinelli makes 3-pt shot from 25 ft
0:48.0,D. Howard misses 2-pt shot from 15 ft,,62-50,,
0:46.0,,,62-50,,Defensive rebound by D. Dedmon
0:39.0,Personal foul by T. Graham (drawn by M. Belinelli),,62-50,,
0:39.0,,,62-51,1,M. Belinelli makes free throw 1 of 2
0:39.0,,,62-52,1,M. Belinelli makes free throw 2 of 2
0:26.0,D. Howard makes 2-pt shot from 1 ft (assist by K. Walker),2,64-52,,
0:07.0,,,64-52,,D. Dedmon misses 2-pt shot from 10 ft
0:04.0,Defensive rebound by N. Batum,,64-52,,
0:00.0,K. Walker misses 2-pt shot from 1 ft,,64-52,,
0:00.0,Offensive rebound by Team,,64-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,64-55,3,M. Muscala makes 3-pt shot from 24 ft (assist by K. Bazemore)
11:22.0,F. Kaminsky misses 2-pt shot from 7 ft (block by M. Muscala),,64-55,,
11:22.0,Offensive rebound by Team,,64-55,,
11:19.0,F. Kaminsky misses 3-pt shot from 24 ft,,64-55,,
11:19.0,Offensive rebound by Team,,64-55,,
11:19.0,Turnover by Team (shot clock),,64-55,,
11:11.0,,,64-55,,M. Muscala misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by F. Kaminsky,,64-55,,
11:03.0,K. Walker misses 3-pt shot from 25 ft,,64-55,,
10:59.0,,,64-55,,Defensive rebound by D. Schroder
10:57.0,,,64-55,,Turnover by D. Schroder (bad pass; steal by F. Kaminsky)
10:43.0,M. Kidd-Gilchrist makes 2-pt shot from 14 ft,2,66-55,,
10:22.0,,,66-55,,D. Schroder misses 2-pt shot from 11 ft
10:19.0,Defensive rebound by D. Howard,,66-55,,
10:15.0,K. Walker misses 3-pt shot from 26 ft,,66-55,,
10:11.0,,,66-55,,Defensive rebound by M. Muscala
10:05.0,,,66-57,2,K. Bazemore makes 2-pt shot from 1 ft (assist by D. Schroder)
10:05.0,,,66-57,,Shooting foul by D. Howard (drawn by K. Bazemore)
10:05.0,,,66-58,1,K. Bazemore makes free throw 1 of 1
9:55.0,K. Walker makes 3-pt shot from 25 ft,3,69-58,,
9:42.0,Personal foul by M. Kidd-Gilchrist (drawn by K. Bazemore),,69-58,,
9:42.0,T. Graham enters the game for M. Kidd-Gilchrist,,69-58,,
9:34.0,,,69-60,2,K. Bazemore makes 2-pt shot from 1 ft (assist by D. Schroder)
9:20.0,,,69-60,,Personal foul by E. Ilyasova (drawn by D. Howard)
9:17.0,,,69-60,,Personal foul by E. Ilyasova (drawn by D. Howard)
9:06.0,Offensive charge foul by D. Howard (drawn by E. Ilyasova),,69-60,,
9:06.0,Turnover by D. Howard (offensive foul),,69-60,,
8:46.0,,,69-63,3,K. Bazemore makes 3-pt shot from 25 ft
8:46.0,,,69-63,,Shooting foul by T. Graham (drawn by K. Bazemore)
8:46.0,,,69-64,1,K. Bazemore makes free throw 1 of 1
8:38.0,K. Walker misses 2-pt shot from 1 ft,,69-64,,
8:38.0,Offensive rebound by D. Howard,,69-64,,
8:37.0,D. Howard makes 2-pt shot at rim,2,71-64,,
8:21.0,,,71-66,2,E. Ilyasova makes 2-pt shot from 15 ft (assist by K. Bazemore)
8:06.0,Shooting foul by M. Muscala (drawn by D. Howard),,71-66,,
8:06.0,D. Howard makes free throw 1 of 2,1,72-66,,
8:06.0,D. Howard makes free throw 2 of 2,1,73-66,,
7:55.0,,,73-69,3,K. Bazemore makes 3-pt shot from 24 ft
7:31.0,T. Graham makes 2-pt shot from 21 ft (assist by F. Kaminsky),2,75-69,,
7:14.0,,,75-71,2,D. Schroder makes 2-pt shot from 19 ft (assist by K. Bazemore)
7:01.0,F. Kaminsky misses 3-pt shot from 25 ft,,75-71,,
6:54.0,Offensive rebound by N. Batum,,75-71,,
6:54.0,N. Batum misses 2-pt shot at rim,,75-71,,
6:54.0,Offensive rebound by N. Batum,,75-71,,
6:53.0,N. Batum makes 2-pt shot at rim,2,77-71,,
6:41.0,,,77-71,,E. Ilyasova misses 3-pt shot from 25 ft
6:38.0,Defensive rebound by D. Howard,,77-71,,
6:32.0,K. Walker misses 2-pt shot from 7 ft (block by E. Ilyasova),,77-71,,
6:29.0,Offensive rebound by D. Howard,,77-71,,
6:28.0,Turnover by D. Howard (bad pass; steal by K. Bazemore),,77-71,,
6:28.0,Personal foul by K. Walker (drawn by D. Schroder),,77-71,,
6:28.0,,,77-71,,Atlanta full timeout
6:28.0,,,77-71,,M. Belinelli enters the game for T. Waller-Prince
6:20.0,,,77-71,,D. Schroder misses 3-pt shot from 24 ft
6:16.0,Defensive rebound by D. Howard,,77-71,,
6:04.0,Turnover by F. Kaminsky (bad pass; steal by M. Muscala),,77-71,,
5:55.0,,,77-74,3,M. Belinelli makes 3-pt shot from 24 ft (assist by D. Schroder)
5:28.0,Turnover by D. Howard (turnover),,77-74,,
5:28.0,,,77-74,,D. Dedmon enters the game for M. Muscala
5:15.0,,,77-76,2,D. Schroder makes 2-pt shot from 10 ft
5:03.0,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum),3,80-76,,
4:44.0,,,80-78,2,E. Ilyasova makes 2-pt shot at rim (assist by K. Bazemore)
4:21.0,T. Graham makes 3-pt shot from 26 ft (assist by N. Batum),3,83-78,,
3:59.0,,,83-78,,T. Waller-Prince enters the game for K. Bazemore
3:59.0,J. Lamb enters the game for F. Kaminsky,,83-78,,
3:58.0,,,83-78,,Shooting foul by N. Batum (drawn by D. Schroder)
3:58.0,,,83-78,,D. Schroder misses free throw 1 of 2
3:58.0,,,83-78,,Offensive rebound by Team
3:58.0,,,83-79,1,D. Schroder makes free throw 2 of 2
3:40.0,N. Batum misses 2-pt shot from 13 ft,,83-79,,
3:36.0,,,83-79,,Defensive rebound by D. Dedmon
3:30.0,,,83-79,,M. Delaney enters the game for D. Schroder
3:25.0,,,83-79,,T. Waller-Prince misses 3-pt shot from 23 ft
3:21.0,Defensive rebound by J. Lamb,,83-79,,
3:02.0,K. Walker makes 3-pt shot from 25 ft (assist by T. Graham),3,86-79,,
2:48.0,,,86-82,3,M. Belinelli makes 3-pt shot from 23 ft (assist by M. Delaney)
2:30.0,J. Lamb makes 2-pt shot from 17 ft,2,88-82,,
2:10.0,,,88-82,,M. Belinelli misses 3-pt shot from 24 ft
2:06.0,Defensive rebound by N. Batum,,88-82,,
2:06.0,Turnover by N. Batum (bad pass; steal by T. Waller-Prince),,88-82,,
2:01.0,,,88-82,,M. Belinelli misses 3-pt shot from 25 ft
1:58.0,Defensive rebound by J. Lamb,,88-82,,
1:50.0,K. Walker makes 3-pt shot from 25 ft,3,91-82,,
1:39.0,,,91-82,,Atlanta full timeout
1:39.0,,,91-82,,J. Collins enters the game for E. Ilyasova
1:39.0,J. O'Bryant enters the game for D. Howard,,91-82,,
1:33.0,Personal foul by J. Lamb (drawn by M. Belinelli),,91-82,,
1:33.0,,,91-83,1,M. Belinelli makes free throw 1 of 2
1:33.0,,,91-84,1,M. Belinelli makes free throw 2 of 2
1:21.0,K. Walker makes 2-pt shot from 6 ft (assist by N. Batum),2,93-84,,
1:08.0,,,93-84,,M. Belinelli misses 2-pt shot from 1 ft
1:06.0,,,93-84,,Offensive rebound by J. Collins
1:06.0,,,93-84,,J. Collins misses 2-pt shot at rim
1:06.0,Defensive rebound by N. Batum,,93-84,,
1:06.0,Turnover by N. Batum (turnover),,93-84,,
0:59.0,,,93-84,,Offensive charge foul by T. Waller-Prince (drawn by J. O'Bryant)
0:59.0,,,93-84,,Turnover by T. Waller-Prince (offensive foul)
0:45.0,Shooting foul by D. Dedmon (drawn by K. Walker),,93-84,,
0:45.0,K. Walker misses free throw 1 of 2,,93-84,,
0:45.0,Offensive rebound by Team,,93-84,,
0:45.0,K. Walker makes free throw 2 of 2,1,94-84,,
0:35.0,,,94-84,,M. Delaney misses 2-pt shot from 4 ft (block by J. O'Bryant)
0:31.0,Defensive rebound by N. Batum,,94-84,,
0:29.0,K. Walker makes 3-pt shot from 25 ft,3,97-84,,
0:05.0,,,97-84,,M. Belinelli misses 2-pt shot from 16 ft
0:02.0,Defensive rebound by N. Batum,,97-84,,
0:00.0,K. Walker misses 3-pt shot from 50 ft,,97-84,,
0:00.0,Offensive rebound by Team,,97-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,97-84,,Personal foul by M. Delaney (drawn by J. Lamb)
11:36.0,J. O'Bryant misses 3-pt shot from 25 ft,,97-84,,
11:33.0,,,97-84,,Defensive rebound by D. Dedmon
11:26.0,,,97-84,,Turnover by M. Belinelli (bad pass; steal by M. Carter-Williams)
11:12.0,K. Walker makes 2-pt shot at rim,2,99-84,,
10:48.0,,,99-84,,Shooting foul by T. Graham (drawn by D. Dedmon)
10:48.0,,,99-85,1,D. Dedmon makes free throw 1 of 2
10:48.0,,,99-86,1,D. Dedmon makes free throw 2 of 2
10:30.0,,,99-86,,Personal foul by T. Dorsey (drawn by J. O'Bryant)
10:21.0,T. Graham misses 3-pt shot from 23 ft,,99-86,,
10:19.0,Offensive rebound by J. O'Bryant,,99-86,,
10:16.0,J. Lamb makes 2-pt shot from 1 ft (assist by J. O'Bryant),2,101-86,,
9:56.0,,,101-88,2,J. Collins makes 2-pt shot from 12 ft (assist by T. Dorsey)
9:42.0,J. Lamb misses 2-pt shot from 6 ft (block by T. Dorsey),,101-88,,
9:41.0,,,101-88,,Defensive rebound by Team
9:41.0,,,101-88,,M. Muscala enters the game for M. Delaney
9:41.0,,,101-88,,K. Bazemore enters the game for D. Dedmon
9:28.0,,,101-88,,T. Dorsey misses 3-pt shot from 25 ft
9:26.0,Defensive rebound by K. Walker,,101-88,,
9:14.0,J. O'Bryant misses 2-pt shot from 15 ft,,101-88,,
9:11.0,,,101-88,,Defensive rebound by M. Belinelli
9:02.0,,,101-88,,M. Belinelli misses 3-pt shot from 24 ft
9:02.0,Defensive rebound by J. Lamb,,101-88,,
8:43.0,M. Carter-Williams misses 3-pt shot from 22 ft,,101-88,,
8:38.0,Offensive rebound by M. Carter-Williams,,101-88,,
8:21.0,M. Carter-Williams misses 3-pt shot from 23 ft,,101-88,,
8:20.0,Offensive rebound by Team,,101-88,,
8:20.0,,,101-88,,D. Schroder enters the game for M. Belinelli
8:20.0,N. Batum enters the game for K. Walker,,101-88,,
8:17.0,T. Graham misses 2-pt shot from 1 ft,,101-88,,
8:13.0,,,101-88,,Defensive rebound by J. Collins
8:06.0,,,101-88,,Shooting foul by J. O'Bryant (drawn by K. Bazemore)
8:06.0,,,101-89,1,K. Bazemore makes free throw 1 of 2
8:06.0,F. Kaminsky enters the game for T. Graham,,101-89,,
8:06.0,,,101-90,1,K. Bazemore makes free throw 2 of 2
7:48.0,Shooting foul by J. Collins (drawn by F. Kaminsky),,101-90,,
7:48.0,F. Kaminsky makes free throw 1 of 2,1,102-90,,
7:48.0,F. Kaminsky misses free throw 2 of 2,,102-90,,
7:46.0,,,102-90,,Defensive rebound by J. Collins
7:32.0,,,102-90,,K. Bazemore misses 3-pt shot from 22 ft
7:31.0,,,102-90,,Offensive rebound by Team
7:31.0,Loose ball foul by J. O'Bryant (drawn by J. Collins),,102-90,,
7:22.0,,,102-92,2,J. Collins makes 2-pt shot at rim (assist by T. Dorsey)
7:01.0,J. Lamb makes 3-pt shot from 24 ft (assist by M. Carter-Williams),3,105-92,,
6:50.0,,,105-92,,Shooting foul by F. Kaminsky (drawn by J. Collins)
6:50.0,,,105-92,,Atlanta full timeout
6:50.0,,,105-92,,E. Ilyasova enters the game for M. Muscala
6:50.0,D. Howard enters the game for J. Lamb,,105-92,,
6:50.0,M. Kidd-Gilchrist enters the game for J. O'Bryant,,105-92,,
6:50.0,K. Walker enters the game for M. Carter-Williams,,105-92,,
6:50.0,,,105-93,1,J. Collins makes free throw 1 of 2
6:50.0,,,105-94,1,J. Collins makes free throw 2 of 2
6:39.0,K. Walker makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist),3,108-94,,
6:24.0,,,108-94,,E. Ilyasova misses 2-pt shot from 18 ft
6:20.0,Defensive rebound by N. Batum,,108-94,,
6:15.0,F. Kaminsky makes 2-pt shot from 1 ft (assist by D. Howard),2,110-94,,
6:15.0,Shooting foul by J. Collins (drawn by F. Kaminsky),,110-94,,
6:15.0,,,110-94,,M. Muscala enters the game for J. Collins
6:15.0,F. Kaminsky makes free throw 1 of 1,1,111-94,,
6:02.0,,,111-96,2,K. Bazemore makes 2-pt shot at rim (assist by D. Schroder)
5:43.0,K. Walker misses 3-pt shot from 25 ft,,111-96,,
5:40.0,,,111-96,,Defensive rebound by K. Bazemore
5:35.0,,,111-96,,K. Bazemore misses 3-pt shot from 24 ft
5:31.0,Defensive rebound by M. Kidd-Gilchrist,,111-96,,
5:23.0,D. Howard makes 2-pt shot from 1 ft (assist by N. Batum),2,113-96,,
5:04.0,,,113-96,,M. Muscala misses 2-pt shot from 19 ft
5:02.0,Defensive rebound by N. Batum,,113-96,,
4:51.0,,,113-96,,M. Belinelli enters the game for T. Dorsey
4:45.0,D. Howard makes 2-pt shot from 1 ft (assist by K. Walker),2,115-96,,
4:45.0,Shooting foul by M. Muscala (drawn by D. Howard),,115-96,,
4:45.0,,,115-96,,D. Dedmon enters the game for E. Ilyasova
4:45.0,D. Howard misses free throw 1 of 1,,115-96,,
4:43.0,,,115-96,,Defensive rebound by M. Belinelli
4:35.0,,,115-99,3,D. Dedmon makes 3-pt shot from 24 ft (assist by D. Schroder)
4:13.0,M. Kidd-Gilchrist misses 2-pt shot from 17 ft,,115-99,,
4:10.0,,,115-99,,Defensive rebound by M. Muscala
4:03.0,,,115-99,,D. Schroder misses 3-pt shot from 25 ft
4:00.0,Defensive rebound by D. Howard,,115-99,,
3:40.0,K. Walker makes 3-pt shot from 25 ft (assist by D. Howard),3,118-99,,
3:35.0,,,118-99,,Atlanta full timeout
3:35.0,,,118-99,,T. Dorsey enters the game for M. Belinelli
3:35.0,,,118-99,,L. Babbitt enters the game for D. Schroder
