time,Milwaukee,pts.away,score,pts.home,Detroit
5:56.0,G. Antetokounmpo makes 2-pt shot from 18 ft (assist by M. Brogdon),2,20-12,,
5:37.0,,,20-12,,Turnover by A. Bradley (bad pass)
5:25.0,G. Antetokounmpo misses 2-pt shot from 11 ft,,20-12,,
5:22.0,,,20-12,,Defensive rebound by T. Harris
5:02.0,,,20-14,2,T. Harris makes 2-pt shot from 1 ft
4:49.0,G. Antetokounmpo misses 2-pt shot from 12 ft,,20-14,,
4:46.0,,,20-14,,Defensive rebound by E. Moreland
4:43.0,,,20-14,,Turnover by R. Jackson (bad pass)
4:23.0,K. Middleton misses 2-pt shot from 20 ft,,20-14,,
4:20.0,,,20-14,,Defensive rebound by S. Johnson
4:11.0,,,20-16,2,R. Jackson makes 2-pt shot from 6 ft
4:01.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Henson),2,22-16,,
3:46.0,,,22-16,,S. Johnson misses 3-pt shot from 23 ft (block by G. Antetokounmpo)
3:41.0,Defensive rebound by J. Henson,,22-16,,
3:38.0,T. Maker enters the game for M. Brogdon,,22-16,,
3:38.0,M. Dellavedova enters the game for J. Henson,,22-16,,
3:32.0,K. Middleton misses 2-pt shot from 8 ft,,22-16,,
3:31.0,,,22-16,,Defensive rebound by E. Moreland
3:17.0,,,22-18,2,E. Moreland makes 2-pt shot from 1 ft (assist by S. Johnson)
3:04.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,22-18,,
3:02.0,,,22-18,,Defensive rebound by R. Jackson
2:53.0,,,22-18,,R. Jackson misses 2-pt shot at rim
2:53.0,,,22-18,,Offensive rebound by Team
2:53.0,Personal foul by T. Maker (drawn by E. Moreland),,22-18,,
2:53.0,,,22-18,,A. Tolliver enters the game for R. Jackson
2:53.0,,,22-18,,I. Smith enters the game for S. Johnson
2:53.0,T. Snell enters the game for D. Liggins,,22-18,,
2:53.0,R. Vaughn enters the game for G. Antetokounmpo,,22-18,,
2:31.0,,,22-20,2,I. Smith makes 2-pt shot from 16 ft
2:16.0,T. Snell makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,24-20,,
2:03.0,,,24-20,,A. Bradley misses 2-pt shot from 6 ft
2:01.0,,,24-20,,Offensive rebound by E. Moreland
1:58.0,,,24-23,3,A. Bradley makes 3-pt shot from 25 ft (assist by I. Smith)
1:45.0,T. Maker misses 3-pt shot from 26 ft,,24-23,,
1:42.0,Offensive rebound by M. Dellavedova,,24-23,,
1:38.0,,,24-23,,Personal foul by E. Moreland (drawn by T. Maker)
1:33.0,Turnover by M. Dellavedova (bad pass; steal by A. Bradley),,24-23,,
1:29.0,,,24-23,,A. Bradley misses 2-pt shot from 3 ft (block by R. Vaughn)
1:29.0,,,24-23,,Offensive rebound by Team
1:12.0,,,24-25,2,A. Tolliver makes 2-pt shot from 1 ft
1:12.0,,,24-25,,Shooting foul by T. Maker (drawn by A. Tolliver)
1:12.0,,,24-26,1,A. Tolliver makes free throw 1 of 1
0:58.0,T. Maker makes 2-pt shot from 1 ft (assist by K. Middleton),2,26-26,,
0:48.0,,,26-26,,T. Harris misses 3-pt shot from 28 ft
0:44.0,Defensive rebound by K. Middleton,,26-26,,
0:31.0,K. Middleton misses 2-pt shot from 13 ft,,26-26,,
0:27.0,Offensive rebound by T. Maker,,26-26,,
0:14.0,K. Middleton misses 2-pt shot from 11 ft,,26-26,,
0:09.0,,,26-26,,Defensive rebound by I. Smith
0:00.0,,,26-26,,T. Harris misses 2-pt shot from 4 ft
0:00.0,,,26-26,,Offensive rebound by E. Moreland
0:00.0,,,26-28,2,E. Moreland makes 2-pt shot at rim
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,26-28,,Turnover by I. Smith (bad pass; steal by T. Snell)
11:27.0,R. Vaughn misses 2-pt shot from 3 ft,,26-28,,
11:22.0,,,26-28,,Defensive rebound by R. Bullock
11:07.0,,,26-30,2,I. Smith makes 2-pt shot from 1 ft
10:49.0,M. Teletovic misses 2-pt shot from 20 ft,,26-30,,
10:49.0,,,26-30,,Defensive rebound by E. Moreland
10:23.0,,,26-32,2,E. Moreland makes 2-pt shot from 6 ft (assist by I. Smith)
10:12.0,Shooting foul by A. Tolliver (drawn by M. Dellavedova),,26-32,,
10:12.0,M. Dellavedova makes free throw 1 of 2,1,27-32,,
10:12.0,M. Dellavedova makes free throw 2 of 2,1,28-32,,
9:58.0,,,28-32,,Turnover by E. Moreland (bad pass; steal by M. Teletovic)
9:51.0,T. Snell makes 3-pt shot from 26 ft (assist by M. Dellavedova),3,31-32,,
9:27.0,,,31-32,,Shooting foul by G. Antetokounmpo (drawn by A. Tolliver)
9:27.0,,,31-33,1,A. Tolliver makes free throw 1 of 3
9:27.0,,,31-33,,A. Tolliver misses free throw 2 of 3
9:27.0,,,31-33,,Offensive rebound by Team
9:27.0,,,31-34,1,A. Tolliver makes free throw 3 of 3
9:10.0,G. Antetokounmpo makes 2-pt shot from 14 ft,2,33-34,,
8:56.0,,,33-34,,Turnover by A. Tolliver (turnover)
8:49.0,Offensive foul by M. Dellavedova (drawn by A. Tolliver),,33-34,,
8:49.0,Turnover by M. Dellavedova (offensive foul),,33-34,,
8:34.0,,,33-34,,L. Galloway misses 3-pt shot from 25 ft
8:31.0,Defensive rebound by M. Dellavedova,,33-34,,
8:17.0,R. Vaughn misses 2-pt shot from 3 ft (block by E. Moreland),,33-34,,
8:17.0,,,33-34,,Defensive rebound by A. Tolliver
8:02.0,,,33-34,,R. Bullock misses 3-pt shot from 23 ft
7:59.0,Defensive rebound by M. Teletovic,,33-34,,
7:49.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,33-34,,
7:47.0,,,33-34,,Defensive rebound by L. Galloway
7:39.0,,,33-34,,A. Tolliver misses 3-pt shot from 27 ft
7:37.0,Defensive rebound by M. Dellavedova,,33-34,,
7:37.0,Offensive foul by M. Dellavedova (drawn by L. Galloway),,33-34,,
7:37.0,Turnover by M. Dellavedova (offensive foul),,33-34,,
7:37.0,,,33-34,,R. Jackson enters the game for I. Smith
7:37.0,,,33-34,,S. Johnson enters the game for R. Bullock
7:37.0,M. Brogdon enters the game for M. Dellavedova,,33-34,,
7:15.0,,,33-34,,L. Galloway misses 3-pt shot from 23 ft
7:12.0,,,33-34,,Offensive rebound by A. Tolliver
7:10.0,,,33-36,2,A. Tolliver makes 2-pt shot from 1 ft
6:49.0,M. Teletovic misses 2-pt shot from 2 ft,,33-36,,
6:49.0,,,33-36,,Defensive rebound by Team
6:49.0,,,33-36,,Detroit full timeout
6:49.0,,,33-36,,A. Drummond enters the game for E. Moreland
6:49.0,J. Henson enters the game for R. Vaughn,,33-36,,
6:49.0,K. Middleton enters the game for M. Teletovic,,33-36,,
6:37.0,,,33-38,2,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson)
6:16.0,J. Henson makes 2-pt shot from 1 ft,2,35-38,,
6:01.0,,,35-38,,A. Tolliver misses 3-pt shot from 25 ft
6:01.0,Defensive rebound by K. Middleton,,35-38,,
5:55.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton),2,37-38,,
5:36.0,,,37-38,,T. Harris enters the game for A. Tolliver
5:27.0,Jump ball: L. Galloway vs. J. Henson (K. Middleton gains possession),,,,Jump ball: L. Galloway vs. J. Henson (K. Middleton gains possession)
5:27.0,,,37-38,,Turnover by L. Galloway (turnover; steal by J. Henson)
5:22.0,G. Antetokounmpo misses 2-pt shot from 18 ft,,37-38,,
5:20.0,Offensive rebound by J. Henson,,37-38,,
5:20.0,,,37-38,,Personal foul by R. Jackson (drawn by J. Henson)
5:20.0,,,37-38,,A. Bradley enters the game for L. Galloway
5:06.0,T. Snell makes 3-pt shot from 23 ft (assist by K. Middleton),3,40-38,,
4:52.0,,,40-38,,S. Johnson misses 3-pt shot from 22 ft
4:49.0,Defensive rebound by J. Henson,,40-38,,
4:38.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,40-38,,
4:34.0,Offensive rebound by K. Middleton,,40-38,,
4:32.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,40-38,,
4:32.0,,,40-38,,Defensive rebound by A. Drummond
4:26.0,,,40-38,,Shooting foul by M. Brogdon (drawn by R. Jackson)
4:26.0,,,40-39,1,R. Jackson makes free throw 1 of 2
4:26.0,,,40-40,1,R. Jackson makes free throw 2 of 2
4:11.0,M. Brogdon misses 2-pt shot from 4 ft (block by A. Drummond),,40-40,,
4:07.0,,,40-40,,Defensive rebound by A. Bradley
3:51.0,,,40-40,,R. Jackson misses 2-pt shot from 9 ft
3:49.0,Defensive rebound by J. Henson,,40-40,,
3:28.0,D. Liggins enters the game for G. Antetokounmpo,,40-40,,
3:26.0,D. Liggins misses 3-pt shot from 57 ft,,40-40,,
3:26.0,Offensive rebound by Team,,40-40,,
3:23.0,Turnover by Team (shot clock),,40-40,,
3:17.0,,,40-43,3,A. Bradley makes 3-pt shot from 24 ft (assist by R. Jackson)
3:00.0,K. Middleton makes 2-pt shot from 13 ft (assist by J. Henson),2,42-43,,
2:47.0,,,42-43,,A. Bradley misses 2-pt shot from 20 ft
2:47.0,,,42-43,,Offensive rebound by A. Drummond
2:31.0,,,42-45,2,A. Drummond makes 2-pt shot from 1 ft (assist by S. Johnson)
2:22.0,J. Henson misses 2-pt shot from 7 ft,,42-45,,
2:20.0,,,42-45,,Defensive rebound by A. Drummond
2:11.0,,,42-47,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
2:11.0,Milwaukee full timeout,,42-47,,
2:11.0,,,42-47,,E. Moreland enters the game for A. Drummond
2:11.0,G. Antetokounmpo enters the game for D. Liggins,,42-47,,
1:55.0,Turnover by K. Middleton (lost ball; steal by S. Johnson),,42-47,,
1:51.0,,,42-49,2,S. Johnson makes 2-pt shot at rim
1:41.0,Turnover by M. Brogdon (step out of bounds),,42-49,,
1:25.0,,,42-51,2,A. Bradley makes 2-pt shot from 21 ft (assist by T. Harris)
1:07.0,M. Brogdon misses 2-pt shot from 5 ft (block by A. Bradley),,42-51,,
1:04.0,Offensive rebound by K. Middleton,,42-51,,
0:59.0,M. Brogdon makes 3-pt shot from 22 ft (assist by G. Antetokounmpo),3,45-51,,
0:40.0,,,45-54,3,T. Harris makes 3-pt shot from 23 ft (assist by A. Bradley)
0:31.0,K. Middleton misses 2-pt shot from 22 ft,,45-54,,
0:31.0,,,45-54,,Defensive rebound by Team
0:31.0,Loose ball foul by J. Henson (drawn by E. Moreland),,45-54,,
0:20.0,,,45-56,2,A. Bradley makes 2-pt shot from 22 ft (assist by E. Moreland)
0:20.0,,,45-56,,Shooting foul by T. Snell (drawn by A. Bradley)
0:20.0,,,45-57,1,A. Bradley makes free throw 1 of 1
0:07.0,Turnover by M. Brogdon (bad pass; steal by A. Bradley),,45-57,,
0:04.0,,,45-59,2,A. Bradley makes 2-pt shot at rim
0:00.0,K. Middleton makes 3-pt shot from 25 ft (assist by M. Brogdon),3,48-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,48-59,,T. Harris misses 3-pt shot from 25 ft
11:42.0,Defensive rebound by J. Henson,,48-59,,
11:22.0,M. Brogdon misses 2-pt shot from 12 ft,,48-59,,
11:17.0,,,48-59,,Defensive rebound by A. Drummond
11:11.0,,,48-61,2,S. Johnson makes 2-pt shot from 17 ft (assist by R. Jackson)
10:49.0,K. Middleton makes 2-pt shot from 14 ft,2,50-61,,
10:25.0,,,50-63,2,A. Bradley makes 2-pt shot from 1 ft (assist by T. Harris)
10:03.0,G. Antetokounmpo misses 2-pt shot from 11 ft,,50-63,,
10:01.0,,,50-63,,Defensive rebound by A. Drummond
9:54.0,Personal foul by K. Middleton (drawn by A. Drummond),,50-63,,
9:46.0,,,50-63,,R. Jackson misses 2-pt shot from 7 ft
9:44.0,,,50-63,,Offensive rebound by R. Jackson
9:43.0,,,50-63,,Shooting foul by K. Middleton (drawn by A. Drummond)
9:43.0,,,50-64,1,A. Drummond makes free throw 1 of 2
9:43.0,,,50-65,1,A. Drummond makes free throw 2 of 2
9:30.0,Turnover by G. Antetokounmpo (lost ball; steal by A. Bradley),,50-65,,
9:30.0,Personal foul by J. Henson (drawn by R. Jackson),,50-65,,
9:10.0,,,50-65,,A. Bradley misses 2-pt shot from 2 ft
9:10.0,Defensive rebound by J. Henson,,50-65,,
9:04.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,50-65,,
9:03.0,,,50-65,,Defensive rebound by S. Johnson
8:47.0,,,50-67,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
8:47.0,Milwaukee full timeout,,50-67,,
8:24.0,T. Snell makes 2-pt shot from 8 ft (assist by G. Antetokounmpo),2,52-67,,
8:03.0,,,52-67,,Shooting foul by K. Middleton (drawn by S. Johnson)
8:03.0,,,52-67,,S. Johnson misses free throw 1 of 2
8:03.0,,,52-67,,Offensive rebound by Team
8:03.0,,,52-67,,S. Johnson misses free throw 2 of 2
8:00.0,Defensive rebound by K. Middleton,,52-67,,
7:45.0,K. Middleton makes 2-pt shot from 19 ft,2,54-67,,
7:32.0,,,54-67,,Shooting foul by M. Brogdon (drawn by A. Drummond)
7:32.0,,,54-68,1,A. Drummond makes free throw 1 of 2
7:32.0,,,54-69,1,A. Drummond makes free throw 2 of 2
7:22.0,T. Snell misses 3-pt shot from 23 ft,,54-69,,
7:19.0,,,54-69,,Defensive rebound by A. Drummond
7:11.0,,,54-69,,A. Drummond misses 2-pt shot from 4 ft
7:10.0,,,54-69,,Offensive rebound by Team
6:57.0,,,54-69,,T. Harris misses 2-pt shot from 7 ft
6:54.0,Defensive rebound by J. Henson,,54-69,,
6:49.0,Shooting foul by S. Johnson (drawn by M. Brogdon),,54-69,,
6:49.0,M. Brogdon makes free throw 1 of 2,1,55-69,,
6:49.0,M. Brogdon makes free throw 2 of 2,1,56-69,,
6:23.0,,,56-69,,R. Jackson misses 3-pt shot from 22 ft (block by G. Antetokounmpo)
6:17.0,Defensive rebound by J. Henson,,56-69,,
6:15.0,M. Brogdon makes 2-pt shot at rim,2,58-69,,
6:04.0,,,58-69,,Shooting foul by J. Henson (drawn by A. Drummond)
6:04.0,,,58-70,1,A. Drummond makes free throw 1 of 2
6:04.0,,,58-71,1,A. Drummond makes free throw 2 of 2
5:44.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,58-71,,
5:40.0,,,58-71,,Defensive rebound by A. Drummond
5:31.0,,,58-71,,S. Johnson misses 2-pt shot from 2 ft
5:31.0,,,58-71,,Offensive rebound by A. Bradley
5:30.0,,,58-71,,A. Bradley misses 2-pt shot from 2 ft
5:30.0,Defensive rebound by J. Henson,,58-71,,
5:21.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton),2,60-71,,
4:58.0,,,60-74,3,R. Jackson makes 3-pt shot from 23 ft (assist by T. Harris)
4:42.0,,,60-74,,Personal foul by S. Johnson (drawn by G. Antetokounmpo)
4:42.0,,,60-74,,I. Smith enters the game for R. Jackson
4:35.0,G. Antetokounmpo makes 2-pt shot from 10 ft (assist by M. Brogdon),2,62-74,,
4:12.0,,,62-74,,S. Johnson misses 3-pt shot from 25 ft
4:09.0,Defensive rebound by M. Brogdon,,62-74,,
4:00.0,M. Brogdon makes 2-pt shot from 2 ft,2,64-74,,
3:41.0,,,64-74,,Turnover by A. Bradley (lost ball; steal by G. Antetokounmpo)
3:38.0,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton),2,66-74,,
3:38.0,,,66-74,,Detroit full timeout
3:38.0,M. Dellavedova enters the game for K. Middleton,,66-74,,
3:23.0,,,66-74,,Turnover by I. Smith (turnover)
3:12.0,M. Brogdon makes 2-pt shot from 5 ft,2,68-74,,
2:51.0,,,68-74,,Shooting foul by M. Dellavedova (drawn by A. Drummond)
2:51.0,,,68-75,1,A. Drummond makes free throw 1 of 2
2:51.0,,,68-75,,A. Tolliver enters the game for S. Johnson
2:51.0,,,68-75,,A. Drummond misses free throw 2 of 2
2:48.0,Defensive rebound by G. Antetokounmpo,,68-75,,
2:35.0,G. Antetokounmpo misses 2-pt shot from 10 ft,,68-75,,
2:33.0,,,68-75,,Defensive rebound by A. Drummond
2:25.0,,,68-77,2,A. Drummond makes 2-pt shot at rim (assist by I. Smith)
2:13.0,T. Snell misses 2-pt shot from 1 ft (block by A. Drummond),,68-77,,
2:10.0,,,68-77,,Defensive rebound by A. Drummond
2:05.0,,,68-77,,A. Bradley misses 3-pt shot from 22 ft
2:05.0,Defensive rebound by Team,,68-77,,
1:52.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Brogdon),2,70-77,,
1:33.0,,,70-79,2,I. Smith makes 2-pt shot at rim (assist by A. Bradley)
1:20.0,M. Brogdon makes 2-pt shot from 19 ft (assist by J. Henson),2,72-79,,
1:00.0,,,72-79,,A. Bradley misses 2-pt shot from 6 ft
0:58.0,Defensive rebound by G. Antetokounmpo,,72-79,,
0:53.0,,,72-79,,L. Galloway enters the game for A. Bradley
0:42.0,G. Antetokounmpo misses 2-pt shot from 10 ft,,72-79,,
0:39.0,Offensive rebound by J. Henson,,72-79,,
0:38.0,J. Henson misses 2-pt shot from 3 ft,,72-79,,
0:38.0,Offensive rebound by Team,,72-79,,
0:31.0,T. Snell misses 3-pt shot from 23 ft,,72-79,,
0:28.0,,,72-79,,Defensive rebound by I. Smith
0:18.0,,,72-79,,Shooting foul by T. Snell (drawn by A. Drummond)
0:18.0,,,72-80,1,A. Drummond makes free throw 1 of 2
0:18.0,,,72-80,,S. Johnson enters the game for T. Harris
0:18.0,M. Teletovic enters the game for J. Henson,,72-80,,
0:18.0,K. Middleton enters the game for G. Antetokounmpo,,72-80,,
0:18.0,T. Maker enters the game for T. Snell,,72-80,,
0:18.0,,,72-81,1,A. Drummond makes free throw 2 of 2
0:05.0,Turnover by M. Brogdon (lost ball; steal by A. Drummond),,72-81,,
0:02.0,,,72-81,,Shooting foul by M. Brogdon (drawn by A. Drummond)
0:02.0,,,72-82,1,A. Drummond makes free throw 1 of 2
0:02.0,,,72-82,,A. Drummond misses free throw 2 of 2
0:00.0,Defensive rebound by K. Middleton,,72-82,,
0:00.0,K. Middleton misses 3-pt shot from 57 ft,,72-82,,
0:00.0,Offensive rebound by Team,,72-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,K. Middleton misses 3-pt shot from 22 ft,,72-82,,
11:38.0,,,72-82,,Defensive rebound by I. Smith
11:35.0,,,72-82,,I. Smith misses 2-pt shot at rim
11:35.0,Defensive rebound by M. Dellavedova,,72-82,,
11:28.0,M. Dellavedova misses 3-pt shot from 25 ft,,72-82,,
11:28.0,,,72-82,,Defensive rebound by E. Moreland
11:12.0,Personal foul by J. Terry (drawn by L. Galloway),,72-82,,
10:56.0,,,72-84,2,S. Johnson makes 2-pt shot from 8 ft
10:40.0,Shooting foul by I. Smith (drawn by K. Middleton),,72-84,,
10:40.0,K. Middleton misses free throw 1 of 2,,72-84,,
10:40.0,Offensive rebound by Team,,72-84,,
10:40.0,K. Middleton makes free throw 2 of 2,1,73-84,,
10:26.0,,,73-86,2,I. Smith makes 2-pt shot from 8 ft
10:08.0,K. Middleton misses 2-pt shot from 16 ft,,73-86,,
10:06.0,,,73-86,,Defensive rebound by E. Moreland
9:54.0,,,73-86,,Turnover by E. Moreland (turnover)
9:29.0,J. Terry misses 3-pt shot from 29 ft,,73-86,,
9:27.0,,,73-86,,Defensive rebound by E. Moreland
9:18.0,,,73-89,3,L. Galloway makes 3-pt shot from 23 ft (assist by I. Smith)
9:15.0,Milwaukee full timeout,,73-89,,
9:04.0,M. Dellavedova misses 2-pt shot from 3 ft,,73-89,,
9:04.0,,,73-89,,Defensive rebound by E. Moreland
9:04.0,Personal foul by T. Maker (drawn by E. Moreland),,73-89,,
8:53.0,,,73-89,,Turnover by A. Tolliver (bad pass; steal by M. Dellavedova)
8:42.0,Turnover by J. Terry (bad pass; steal by L. Galloway),,73-89,,
8:42.0,Personal foul by M. Teletovic (drawn by I. Smith),,73-89,,
8:21.0,,,73-89,,S. Johnson misses 2-pt shot from 8 ft
8:20.0,Defensive rebound by M. Teletovic,,73-89,,
8:14.0,M. Dellavedova misses 3-pt shot from 22 ft,,73-89,,
8:11.0,,,73-89,,Defensive rebound by L. Galloway
8:02.0,,,73-91,2,S. Johnson makes 2-pt shot from 18 ft
7:46.0,M. Dellavedova makes 3-pt shot from 25 ft (assist by M. Teletovic),3,76-91,,
7:30.0,,,76-93,2,I. Smith makes 2-pt shot from 14 ft
7:11.0,T. Maker makes 3-pt shot from 23 ft (assist by M. Teletovic),3,79-93,,
6:48.0,,,79-95,2,L. Galloway makes 2-pt shot from 20 ft
6:31.0,,,79-95,,Personal foul by E. Moreland
6:31.0,G. Antetokounmpo enters the game for M. Dellavedova,,79-95,,
6:31.0,T. Snell enters the game for M. Teletovic,,79-95,,
6:31.0,M. Brogdon enters the game for J. Terry,,79-95,,
6:31.0,,,79-95,,A. Bradley enters the game for L. Galloway
6:20.0,Turnover by T. Maker (bad pass; steal by A. Tolliver),,79-95,,
6:15.0,Personal foul by G. Antetokounmpo (drawn by A. Tolliver),,79-95,,
6:03.0,,,79-95,,A. Bradley misses 2-pt shot from 22 ft
5:59.0,Defensive rebound by G. Antetokounmpo,,79-95,,
5:49.0,T. Maker makes 3-pt shot from 25 ft (assist by M. Brogdon),3,82-95,,
5:49.0,Shooting foul by E. Moreland (drawn by T. Maker),,82-95,,
5:49.0,,,82-95,,A. Drummond enters the game for E. Moreland
5:49.0,T. Maker makes free throw 1 of 1,1,83-95,,
5:33.0,,,83-95,,A. Bradley misses 2-pt shot at rim (block by G. Antetokounmpo)
5:33.0,Defensive rebound by Team,,83-95,,
5:33.0,,,83-95,,R. Jackson enters the game for I. Smith
5:33.0,,,83-95,,T. Harris enters the game for A. Tolliver
5:22.0,G. Antetokounmpo misses 3-pt shot from 27 ft,,83-95,,
5:20.0,,,83-95,,Defensive rebound by A. Drummond
5:05.0,,,83-95,,T. Harris misses 2-pt shot from 10 ft
5:03.0,Defensive rebound by K. Middleton,,83-95,,
4:58.0,K. Middleton makes 2-pt shot from 1 ft (assist by M. Brogdon),2,85-95,,
4:56.0,,,85-95,,Detroit full timeout
4:35.0,,,85-95,,A. Bradley misses 3-pt shot from 24 ft
4:35.0,,,85-95,,Offensive rebound by Team
4:35.0,,,85-95,,Shooting foul by K. Middleton (drawn by A. Drummond)
4:35.0,,,85-96,1,A. Drummond makes free throw 1 of 2
4:35.0,,,85-97,1,A. Drummond makes free throw 2 of 2
4:16.0,K. Middleton misses 2-pt shot from 19 ft,,85-97,,
4:13.0,,,85-97,,Defensive rebound by A. Drummond
4:03.0,,,85-97,,T. Harris misses 3-pt shot from 24 ft
3:59.0,Defensive rebound by T. Maker,,85-97,,
3:47.0,M. Brogdon makes 2-pt shot at rim,2,87-97,,
3:27.0,,,87-97,,Shooting foul by K. Middleton (drawn by A. Drummond)
3:27.0,,,87-98,1,A. Drummond makes free throw 1 of 2
3:27.0,,,87-99,1,A. Drummond makes free throw 2 of 2
3:13.0,G. Antetokounmpo makes 2-pt shot from 11 ft,2,89-99,,
2:56.0,,,89-101,2,T. Harris makes 2-pt shot from 9 ft
2:45.0,G. Antetokounmpo makes 3-pt shot from 26 ft (assist by M. Brogdon),3,92-101,,
2:24.0,,,92-103,2,A. Bradley makes 2-pt shot from 16 ft (assist by R. Jackson)
2:23.0,Milwaukee full timeout,,92-103,,
2:16.0,K. Middleton makes 2-pt shot from 15 ft,2,94-103,,
2:03.0,,,94-103,,A. Drummond misses 2-pt shot from 5 ft (block by G. Antetokounmpo)
1:51.0,,,94-103,,R. Jackson misses 3-pt shot from 28 ft
1:50.0,,,94-103,,Offensive rebound by Team
1:50.0,,,94-103,,Turnover by Team (shot clock)
1:40.0,M. Brogdon misses 3-pt shot from 22 ft,,94-103,,
1:37.0,,,94-103,,Defensive rebound by A. Drummond
1:30.0,,,94-103,,R. Jackson misses 2-pt shot from 2 ft
1:27.0,Defensive rebound by M. Brogdon,,94-103,,
1:23.0,,,94-103,,Detroit full timeout
1:22.0,Turnover by G. Antetokounmpo (lost ball; steal by S. Johnson),,94-103,,
1:03.0,,,94-103,,Turnover by R. Jackson (lost ball; steal by T. Maker)
0:57.0,Turnover by T. Maker (lost ball; steal by S. Johnson),,94-103,,
0:53.0,,,94-105,2,R. Jackson makes 2-pt shot at rim
0:45.0,Shooting foul by S. Johnson (drawn by G. Antetokounmpo),,94-105,,
0:45.0,G. Antetokounmpo makes free throw 1 of 2,1,95-105,,
0:45.0,G. Antetokounmpo makes free throw 2 of 2,1,96-105,,
0:21.0,,,96-105,,R. Jackson misses 2-pt shot from 16 ft
0:21.0,,,96-105,,Offensive rebound by A. Drummond
0:20.0,,,96-105,,Turnover by Team (shot clock)
