time,Indiana,pts.away,score,pts.home,Atlanta
5:44.0,Offensive rebound by T. Young,,9-18,,
5:44.0,M. Turner makes 2-pt shot from 1 ft (assist by T. Young),2,11-18,,
5:44.0,Shooting foul by J. Collins (drawn by M. Turner),,11-18,,
5:44.0,M. Turner makes free throw 1 of 1,1,12-18,,
5:33.0,Personal foul by V. Oladipo (drawn by J. Collins),,12-18,,
5:22.0,Personal foul by D. Collison (drawn by D. Schroder),,12-18,,
5:22.0,C. Joseph enters the game for D. Collison,,12-18,,
5:08.0,,,12-18,,D. Schroder misses 2-pt shot from 1 ft
5:05.0,Defensive rebound by C. Joseph,,12-18,,
4:58.0,M. Turner misses 3-pt shot from 25 ft,,12-18,,
4:54.0,,,12-18,,Defensive rebound by T. Waller-Prince
4:37.0,,,12-18,,E. Ilyasova misses 2-pt shot from 16 ft
4:33.0,Defensive rebound by V. Oladipo,,12-18,,
4:18.0,T. Young misses 2-pt shot from 4 ft,,12-18,,
4:14.0,,,12-18,,Defensive rebound by J. Collins
3:56.0,,,12-20,2,T. Waller-Prince makes 2-pt shot from 1 ft (assist by D. Schroder)
3:46.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by M. Turner),3,15-20,,
3:35.0,,,15-20,,Turnover by J. Collins (bad pass; steal by B. Bogdanovic)
3:33.0,B. Bogdanovic makes 2-pt shot at rim,2,17-20,,
3:33.0,,,17-20,,Atlanta full timeout
3:33.0,,,17-20,,M. Belinelli enters the game for E. Ilyasova
3:33.0,,,17-20,,D. Bembry enters the game for K. Bazemore
3:33.0,L. Stephenson enters the game for T. Young,,17-20,,
3:33.0,D. Sabonis enters the game for B. Bogdanovic,,17-20,,
3:20.0,,,17-20,,Shooting foul by D. Sabonis (drawn by J. Collins)
3:20.0,,,17-21,1,J. Collins makes free throw 1 of 2
3:20.0,,,17-21,,I. Taylor enters the game for D. Schroder
3:20.0,,,17-22,1,J. Collins makes free throw 2 of 2
3:05.0,V. Oladipo makes 2-pt shot from 10 ft,2,19-22,,
3:05.0,Shooting foul by T. Waller-Prince (drawn by V. Oladipo),,19-22,,
3:05.0,,,19-22,,L. Babbitt enters the game for T. Waller-Prince
3:05.0,V. Oladipo makes free throw 1 of 1,1,20-22,,
2:47.0,,,20-24,2,M. Belinelli makes 2-pt shot from 1 ft (assist by I. Taylor)
2:34.0,M. Turner misses 2-pt shot from 19 ft,,20-24,,
2:31.0,,,20-24,,Defensive rebound by M. Belinelli
2:27.0,,,20-24,,M. Belinelli misses 3-pt shot from 26 ft
2:21.0,Defensive rebound by L. Stephenson,,20-24,,
2:18.0,L. Stephenson makes 2-pt shot from 16 ft,2,22-24,,
2:01.0,,,22-24,,I. Taylor misses 3-pt shot from 25 ft
1:58.0,Defensive rebound by L. Stephenson,,22-24,,
1:45.0,D. Sabonis makes 2-pt shot from 10 ft,2,24-24,,
1:26.0,,,24-24,,D. Bembry misses 2-pt shot from 9 ft (block by D. Sabonis)
1:23.0,,,24-24,,Offensive rebound by D. Bembry
1:22.0,,,24-27,3,M. Belinelli makes 3-pt shot from 27 ft (assist by L. Babbitt)
1:01.0,D. Sabonis misses 2-pt shot from 15 ft,,24-27,,
0:58.0,Offensive rebound by M. Turner,,24-27,,
0:58.0,M. Turner makes 2-pt shot at rim,2,26-27,,
0:45.0,,,26-27,,Turnover by D. Bembry (out of bounds lost ball)
0:45.0,,,26-27,,M. Plumlee enters the game for J. Collins
0:45.0,J. Young enters the game for V. Oladipo,,26-27,,
0:33.0,C. Joseph makes 2-pt shot from 15 ft,2,28-27,,
0:19.0,,,28-27,,M. Belinelli misses 2-pt shot from 18 ft
0:15.0,Defensive rebound by D. Sabonis,,28-27,,
0:02.0,C. Joseph misses 3-pt shot from 24 ft (block by I. Taylor),,28-27,,
0:02.0,,,28-27,,Defensive rebound by D. Bembry
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,28-27,,L. Babbitt misses 3-pt shot from 27 ft
11:41.0,Defensive rebound by L. Stephenson,,28-27,,
11:28.0,B. Bogdanovic misses 3-pt shot from 25 ft,,28-27,,
11:23.0,,,28-27,,Defensive rebound by M. Plumlee
11:18.0,,,28-27,,M. Belinelli misses 3-pt shot from 25 ft
11:14.0,Defensive rebound by B. Bogdanovic,,28-27,,
11:06.0,L. Stephenson misses 3-pt shot from 25 ft,,28-27,,
11:03.0,,,28-27,,Defensive rebound by M. Plumlee
10:49.0,,,28-29,2,M. Plumlee makes 2-pt shot from 1 ft (assist by M. Belinelli)
10:29.0,D. Sabonis makes 2-pt shot from 1 ft,2,30-29,,
10:02.0,,,30-31,2,M. Belinelli makes 2-pt shot from 21 ft (assist by D. Bembry)
9:40.0,L. Stephenson makes 2-pt shot from 1 ft (assist by D. Sabonis),2,32-31,,
9:19.0,,,32-31,,Shooting foul by D. Sabonis (drawn by M. Plumlee)
9:19.0,,,32-32,1,M. Plumlee makes free throw 1 of 2
9:19.0,,,32-32,,K. Bazemore enters the game for L. Babbitt
9:19.0,,,32-33,1,M. Plumlee makes free throw 2 of 2
9:08.0,C. Joseph misses 2-pt shot from 12 ft,,32-33,,
9:05.0,,,32-33,,Defensive rebound by K. Bazemore
8:57.0,,,32-33,,M. Plumlee misses 2-pt shot from 1 ft
8:55.0,Defensive rebound by L. Stephenson,,32-33,,
8:41.0,B. Bogdanovic makes 2-pt shot at rim (assist by L. Stephenson),2,34-33,,
8:26.0,,,34-36,3,D. Bembry makes 3-pt shot from 23 ft (assist by M. Plumlee)
8:04.0,,,34-36,,Personal foul by M. Belinelli (drawn by D. Sabonis)
7:35.0,C. Joseph makes 2-pt shot from 4 ft,2,36-36,,
7:15.0,,,36-36,,M. Belinelli misses 2-pt shot from 21 ft
7:12.0,Defensive rebound by L. Stephenson,,36-36,,
6:59.0,C. Joseph misses 2-pt shot from 11 ft,,36-36,,
6:55.0,,,36-36,,Defensive rebound by D. Bembry
6:50.0,,,36-36,,Atlanta full timeout
6:50.0,,,36-36,,E. Ilyasova enters the game for M. Plumlee
6:50.0,,,36-36,,T. Waller-Prince enters the game for I. Taylor
6:50.0,,,36-36,,D. Schroder enters the game for D. Bembry
6:50.0,T. Young enters the game for J. Young,,36-36,,
6:50.0,D. Collison enters the game for B. Bogdanovic,,36-36,,
6:50.0,,,36-36,,J. Collins enters the game for K. Bazemore
6:38.0,,,36-38,2,J. Collins makes 2-pt shot from 19 ft (assist by M. Belinelli)
6:23.0,L. Stephenson makes 2-pt shot from 17 ft (assist by C. Joseph),2,38-38,,
6:07.0,,,38-38,,T. Waller-Prince misses 3-pt shot from 24 ft
6:02.0,,,38-38,,Offensive rebound by J. Collins
6:00.0,,,38-38,,Shooting foul by T. Young (drawn by M. Belinelli)
6:00.0,,,38-39,1,J. Collins makes free throw 1 of 2
6:00.0,,,38-39,,K. Bazemore enters the game for M. Belinelli
6:00.0,V. Oladipo enters the game for C. Joseph,,38-39,,
6:00.0,,,38-40,1,J. Collins makes free throw 2 of 2
5:51.0,,,38-40,,Violation by T. Waller-Prince (kicked ball)
5:40.0,V. Oladipo makes 3-pt shot from 22 ft (assist by L. Stephenson),3,41-40,,
5:26.0,,,41-40,,T. Waller-Prince misses 3-pt shot from 26 ft
5:23.0,Defensive rebound by V. Oladipo,,41-40,,
5:13.0,Shooting foul by E. Ilyasova (drawn by T. Young),,41-40,,
5:13.0,T. Young makes free throw 1 of 2,1,42-40,,
5:13.0,M. Turner enters the game for D. Sabonis,,42-40,,
5:13.0,T. Young makes free throw 2 of 2,1,43-40,,
4:55.0,,,43-40,,D. Schroder misses 2-pt shot from 1 ft
4:54.0,,,43-40,,Offensive rebound by E. Ilyasova
4:54.0,,,43-40,,E. Ilyasova misses 2-pt shot from 1 ft
4:54.0,Defensive rebound by Team,,43-40,,
4:38.0,Turnover by L. Stephenson (lost ball; steal by D. Schroder),,43-40,,
4:34.0,,,43-40,,Turnover by J. Collins (lost ball; steal by V. Oladipo)
4:32.0,,,43-40,,Violation by E. Ilyasova (kicked ball)
4:26.0,V. Oladipo misses 2-pt shot from 12 ft,,43-40,,
4:23.0,,,43-40,,Defensive rebound by T. Waller-Prince
4:14.0,,,43-42,2,D. Schroder makes 2-pt shot from 1 ft
4:01.0,D. Collison makes 2-pt shot from 18 ft,2,45-42,,
3:47.0,,,45-45,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by D. Schroder)
3:40.0,Indiana full timeout,,45-45,,
3:40.0,B. Bogdanovic enters the game for L. Stephenson,,45-45,,
3:28.0,,,45-45,,Personal foul by K. Bazemore (drawn by T. Young)
3:12.0,V. Oladipo misses 2-pt shot from 9 ft,,45-45,,
3:11.0,Offensive rebound by Team,,45-45,,
3:11.0,Turnover by Team (shot clock),,45-45,,
3:04.0,,,45-45,,Shooting foul by M. Turner (drawn by J. Collins)
3:04.0,,,45-45,,M. Belinelli enters the game for K. Bazemore
3:04.0,,,45-46,1,J. Collins makes free throw 1 of 2
3:04.0,,,45-47,1,J. Collins makes free throw 2 of 2
2:51.0,D. Collison misses 2-pt shot from 19 ft,,45-47,,
2:47.0,,,45-47,,Defensive rebound by E. Ilyasova
2:41.0,,,45-49,2,D. Schroder makes 2-pt shot from 1 ft
2:26.0,V. Oladipo misses 2-pt shot from 15 ft,,45-49,,
2:23.0,,,45-49,,Defensive rebound by J. Collins
2:17.0,,,45-49,,D. Schroder misses 3-pt shot from 25 ft
2:13.0,Defensive rebound by D. Collison,,45-49,,
2:00.0,M. Turner makes 2-pt shot from 9 ft,2,47-49,,
1:45.0,,,47-49,,Turnover by J. Collins (bad pass)
1:32.0,B. Bogdanovic misses 3-pt shot from 23 ft,,47-49,,
1:28.0,,,47-49,,Defensive rebound by J. Collins
1:20.0,,,47-49,,Turnover by M. Belinelli (traveling)
1:07.0,M. Turner makes 2-pt shot from 17 ft (assist by D. Collison),2,49-49,,
0:46.0,,,49-49,,T. Waller-Prince misses 3-pt shot from 23 ft
0:44.0,Defensive rebound by T. Young,,49-49,,
0:41.0,Shooting foul by D. Schroder (drawn by B. Bogdanovic),,49-49,,
0:41.0,B. Bogdanovic makes free throw 1 of 2,1,50-49,,
0:41.0,D. Sabonis enters the game for D. Collison,,50-49,,
0:41.0,C. Joseph enters the game for M. Turner,,50-49,,
0:41.0,B. Bogdanovic makes free throw 2 of 2,1,51-49,,
0:30.0,,,51-51,2,D. Schroder makes 2-pt shot from 1 ft
0:30.0,Violation by D. Sabonis (def goaltending),,51-51,,
0:13.0,V. Oladipo makes 2-pt shot at rim,2,53-51,,
0:00.0,,,53-51,,M. Belinelli misses 3-pt shot from 22 ft
0:00.0,,,53-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,53-53,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by K. Bazemore)
11:31.0,Offensive charge foul by T. Young (drawn by E. Ilyasova),,53-53,,
11:31.0,Turnover by T. Young (offensive foul),,53-53,,
11:11.0,,,53-53,,D. Schroder misses 2-pt shot at rim (block by M. Turner)
11:07.0,Defensive rebound by V. Oladipo,,53-53,,
11:04.0,B. Bogdanovic misses 3-pt shot from 24 ft,,53-53,,
10:58.0,Offensive rebound by T. Young,,53-53,,
10:58.0,T. Young makes 2-pt shot at rim,2,55-53,,
10:38.0,,,55-53,,T. Waller-Prince misses 2-pt shot from 10 ft
10:35.0,Defensive rebound by T. Young,,55-53,,
10:34.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by T. Young),2,57-53,,
10:34.0,,,57-53,,Atlanta full timeout
10:17.0,,,57-53,,E. Ilyasova misses 3-pt shot from 25 ft
10:14.0,Defensive rebound by Team,,57-53,,
10:04.0,V. Oladipo misses 2-pt shot from 1 ft (block by M. Plumlee),,57-53,,
10:00.0,,,57-53,,Defensive rebound by D. Schroder
9:57.0,,,57-56,3,K. Bazemore makes 3-pt shot from 24 ft (assist by D. Schroder)
9:39.0,T. Young misses 2-pt shot from 1 ft,,57-56,,
9:34.0,Offensive rebound by M. Turner,,57-56,,
9:34.0,M. Turner makes 2-pt shot at rim,2,59-56,,
9:18.0,,,59-56,,M. Plumlee misses 2-pt shot from 3 ft
9:18.0,,,59-56,,Offensive rebound by Team
9:17.0,Loose ball foul by V. Oladipo (drawn by E. Ilyasova),,59-56,,
9:08.0,,,59-56,,E. Ilyasova misses 3-pt shot from 25 ft
9:08.0,Defensive rebound by M. Turner,,59-56,,
9:00.0,D. Collison makes 2-pt shot from 1 ft,2,61-56,,
8:49.0,,,61-56,,Turnover by M. Plumlee (turnover)
8:37.0,,,61-56,,Personal block foul by E. Ilyasova (drawn by D. Collison)
8:31.0,M. Turner misses 3-pt shot from 25 ft,,61-56,,
8:29.0,,,61-56,,Defensive rebound by E. Ilyasova
8:05.0,,,61-56,,Turnover by Team (shot clock)
7:53.0,M. Turner misses 2-pt shot from 2 ft (block by K. Bazemore),,61-56,,
7:50.0,,,61-56,,Defensive rebound by K. Bazemore
7:46.0,,,61-56,,E. Ilyasova misses 2-pt shot from 1 ft
7:46.0,Defensive rebound by T. Young,,61-56,,
7:38.0,V. Oladipo misses 3-pt shot from 25 ft,,61-56,,
7:38.0,Offensive rebound by T. Young,,61-56,,
7:36.0,Shooting foul by E. Ilyasova (drawn by M. Turner),,61-56,,
7:36.0,M. Turner makes free throw 1 of 2,1,62-56,,
7:36.0,M. Turner makes free throw 2 of 2,1,63-56,,
7:17.0,,,63-56,,E. Ilyasova misses 3-pt shot from 24 ft
7:14.0,,,63-56,,Offensive rebound by M. Plumlee
7:03.0,,,63-56,,Shooting foul by V. Oladipo (drawn by T. Waller-Prince)
7:03.0,,,63-56,,T. Waller-Prince misses free throw 1 of 2
7:03.0,,,63-56,,Offensive rebound by Team
7:03.0,,,63-56,,J. Collins enters the game for M. Plumlee
7:03.0,,,63-57,1,T. Waller-Prince makes free throw 2 of 2
6:40.0,V. Oladipo misses 3-pt shot from 29 ft,,63-57,,
6:37.0,,,63-57,,Defensive rebound by T. Waller-Prince
6:28.0,,,63-57,,Turnover by T. Waller-Prince (lost ball; steal by M. Turner)
6:25.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by V. Oladipo),2,65-57,,
6:02.0,,,65-57,,D. Schroder misses 2-pt shot from 15 ft (block by M. Turner)
6:02.0,,,65-57,,Offensive rebound by Team
6:00.0,,,65-57,,E. Ilyasova misses 2-pt shot from 15 ft
5:57.0,Defensive rebound by V. Oladipo,,65-57,,
5:54.0,D. Collison misses 2-pt shot from 2 ft,,65-57,,
5:52.0,,,65-57,,Defensive rebound by T. Waller-Prince
5:48.0,,,65-59,2,K. Bazemore makes 2-pt shot from 1 ft (assist by T. Waller-Prince)
5:27.0,T. Young misses 2-pt shot from 19 ft,,65-59,,
5:24.0,,,65-59,,Defensive rebound by D. Schroder
5:14.0,,,65-61,2,K. Bazemore makes 2-pt shot from 1 ft
4:49.0,V. Oladipo makes 3-pt shot from 25 ft (assist by T. Young),3,68-61,,
4:26.0,,,68-61,,D. Schroder misses 2-pt shot at rim (block by M. Turner)
4:25.0,,,68-61,,Offensive rebound by J. Collins
4:25.0,,,68-63,2,J. Collins makes 2-pt shot from 2 ft
4:10.0,Shooting foul by T. Waller-Prince (drawn by M. Turner),,68-63,,
4:10.0,M. Turner makes free throw 1 of 2,1,69-63,,
4:10.0,,,69-63,,M. Belinelli enters the game for E. Ilyasova
4:10.0,C. Joseph enters the game for B. Bogdanovic,,69-63,,
4:10.0,M. Turner makes free throw 2 of 2,1,70-63,,
4:10.0,,,70-63,,D. Bembry enters the game for T. Waller-Prince
4:10.0,,,70-63,,M. Delaney enters the game for K. Bazemore
3:57.0,,,70-63,,D. Schroder misses 2-pt shot from 18 ft
3:53.0,Defensive rebound by M. Turner,,70-63,,
3:35.0,D. Collison makes 2-pt shot from 21 ft,2,72-63,,
3:15.0,,,72-65,2,J. Collins makes 2-pt shot from 2 ft (assist by M. Belinelli)
3:06.0,D. Collison misses 2-pt shot from 20 ft,,72-65,,
3:03.0,,,72-65,,Defensive rebound by M. Delaney
2:56.0,,,72-65,,D. Schroder misses 3-pt shot from 25 ft
2:53.0,Defensive rebound by T. Young,,72-65,,
2:37.0,V. Oladipo makes 2-pt shot from 19 ft,2,74-65,,
2:15.0,,,74-67,2,J. Collins makes 2-pt shot from 1 ft (assist by D. Bembry)
2:15.0,Indiana full timeout,,74-67,,
2:15.0,,,74-67,,I. Taylor enters the game for D. Schroder
2:15.0,L. Stephenson enters the game for D. Collison,,74-67,,
2:15.0,D. Sabonis enters the game for T. Young,,74-67,,
2:00.0,,,74-67,,Personal foul by M. Delaney (drawn by V. Oladipo)
2:00.0,J. Young enters the game for V. Oladipo,,74-67,,
1:53.0,L. Stephenson misses 3-pt shot from 23 ft,,74-67,,
1:50.0,,,74-67,,Defensive rebound by I. Taylor
1:34.0,,,74-69,2,M. Belinelli makes 2-pt shot from 12 ft (assist by M. Delaney)
1:10.0,Shooting foul by D. Bembry (drawn by L. Stephenson),,74-69,,
1:10.0,L. Stephenson makes free throw 1 of 2,1,75-69,,
1:10.0,L. Stephenson makes free throw 2 of 2,1,76-69,,
1:00.0,,,76-71,2,M. Delaney makes 2-pt shot from 19 ft (assist by I. Taylor)
0:52.0,Turnover by M. Turner (bad pass; steal by D. Bembry),,76-71,,
0:46.0,,,76-71,,M. Belinelli misses 3-pt shot from 24 ft
0:44.0,,,76-71,,Offensive rebound by J. Collins
0:34.0,,,76-71,,M. Delaney misses 2-pt shot from 18 ft
0:31.0,Defensive rebound by C. Joseph,,76-71,,
0:12.0,Shooting foul by I. Taylor (drawn by M. Turner),,76-71,,
0:12.0,M. Turner makes free throw 1 of 2,1,77-71,,
0:12.0,M. Turner makes free throw 2 of 2,1,78-71,,
0:05.0,,,78-71,,Offensive foul by J. Collins (drawn by C. Joseph)
0:05.0,,,78-71,,Turnover by J. Collins (offensive foul)
0:00.0,C. Joseph misses 2-pt shot from 2 ft (block by J. Collins),,78-71,,
0:00.0,Offensive rebound by Team,,78-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,J. Young makes 3-pt shot from 25 ft (assist by D. Sabonis),3,81-71,,
11:21.0,,,81-71,,Shooting foul by D. Sabonis (drawn by M. Belinelli)
11:21.0,,,81-72,1,M. Belinelli makes free throw 1 of 2
11:21.0,,,81-73,1,M. Belinelli makes free throw 2 of 2
10:58.0,D. Sabonis misses 2-pt shot from 14 ft,,81-73,,
10:54.0,,,81-73,,Defensive rebound by I. Taylor
10:53.0,,,81-73,,Turnover by D. Bembry (traveling)
10:40.0,B. Bogdanovic makes 2-pt shot from 11 ft (assist by C. Joseph),2,83-73,,
10:11.0,,,83-73,,D. Bembry misses 3-pt shot from 24 ft
10:06.0,Defensive rebound by D. Sabonis,,83-73,,
9:48.0,C. Joseph makes 2-pt shot from 14 ft (assist by L. Stephenson),2,85-73,,
9:47.0,,,85-73,,Atlanta full timeout
9:47.0,,,85-73,,D. Schroder enters the game for J. Collins
9:47.0,,,85-73,,M. Plumlee enters the game for I. Taylor
9:47.0,,,85-73,,K. Bazemore enters the game for D. Bembry
9:33.0,,,85-73,,M. Belinelli misses 2-pt shot from 17 ft
9:29.0,Defensive rebound by L. Stephenson,,85-73,,
9:13.0,Turnover by L. Stephenson (turnover),,85-73,,
9:13.0,V. Oladipo enters the game for J. Young,,85-73,,
9:03.0,,,85-76,3,K. Bazemore makes 3-pt shot from 23 ft (assist by D. Schroder)
8:46.0,L. Stephenson makes 2-pt shot from 15 ft,2,87-76,,
8:27.0,,,87-76,,D. Schroder misses 2-pt shot from 2 ft
8:25.0,Defensive rebound by V. Oladipo,,87-76,,
8:19.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by L. Stephenson),2,89-76,,
8:03.0,,,89-78,2,M. Belinelli makes 2-pt shot from 18 ft (assist by M. Delaney)
7:42.0,Shooting foul by K. Bazemore (drawn by V. Oladipo),,89-78,,
7:42.0,V. Oladipo makes free throw 1 of 3,1,90-78,,
7:42.0,V. Oladipo misses free throw 2 of 3,,90-78,,
7:42.0,Offensive rebound by Team,,90-78,,
7:42.0,,,90-78,,T. Waller-Prince enters the game for M. Belinelli
7:42.0,V. Oladipo makes free throw 3 of 3,1,91-78,,
7:27.0,,,91-80,2,M. Plumlee makes 2-pt shot at rim (assist by K. Bazemore)
7:08.0,B. Bogdanovic misses 3-pt shot from 24 ft,,91-80,,
7:06.0,,,91-80,,Defensive rebound by M. Plumlee
7:00.0,,,91-80,,Shooting foul by L. Stephenson (drawn by M. Delaney)
7:00.0,,,91-81,1,M. Delaney makes free throw 1 of 3
7:00.0,,,91-81,,M. Delaney misses free throw 2 of 3
7:00.0,,,91-81,,Offensive rebound by Team
7:00.0,,,91-82,1,M. Delaney makes free throw 3 of 3
6:47.0,V. Oladipo makes 2-pt shot from 11 ft (assist by D. Sabonis),2,93-82,,
6:47.0,Shooting foul by M. Delaney (drawn by V. Oladipo),,93-82,,
6:47.0,V. Oladipo makes free throw 1 of 1,1,94-82,,
6:36.0,,,94-82,,E. Ilyasova enters the game for M. Delaney
6:33.0,,,94-84,2,T. Waller-Prince makes 2-pt shot from 1 ft (assist by K. Bazemore)
6:22.0,C. Joseph makes 2-pt shot from 18 ft,2,96-84,,
6:09.0,,,96-84,,Turnover by D. Schroder (out of bounds lost ball)
6:09.0,T. Young enters the game for B. Bogdanovic,,96-84,,
6:00.0,V. Oladipo makes 3-pt shot from 26 ft,3,99-84,,
5:58.0,,,99-84,,Atlanta full timeout
5:34.0,,,99-84,,K. Bazemore misses 2-pt shot from 2 ft
5:31.0,Defensive rebound by D. Sabonis,,99-84,,
5:27.0,Turnover by V. Oladipo (lost ball; steal by M. Plumlee),,99-84,,
5:21.0,,,99-84,,T. Waller-Prince misses 3-pt shot from 24 ft
5:16.0,,,99-84,,Offensive rebound by D. Schroder
5:07.0,Personal foul by L. Stephenson (drawn by T. Waller-Prince),,99-84,,
5:07.0,,,99-84,,J. Collins enters the game for M. Plumlee
4:57.0,,,99-84,,Turnover by K. Bazemore (bad pass; steal by T. Young)
4:40.0,Turnover by V. Oladipo (bad pass; steal by D. Schroder),,99-84,,
4:40.0,,,99-84,,Atlanta full timeout
4:40.0,,,99-84,,M. Belinelli enters the game for K. Bazemore
4:40.0,B. Bogdanovic enters the game for V. Oladipo,,99-84,,
4:32.0,Personal foul by B. Bogdanovic (drawn by M. Belinelli),,99-84,,
4:24.0,,,99-84,,D. Schroder misses 2-pt shot from 4 ft
4:22.0,,,99-84,,Offensive rebound by E. Ilyasova
4:22.0,,,99-84,,Shooting foul by T. Young (drawn by E. Ilyasova)
4:22.0,,,99-84,,E. Ilyasova misses free throw 1 of 2
4:22.0,,,99-84,,Offensive rebound by Team
4:22.0,,,99-85,1,E. Ilyasova makes free throw 2 of 2
4:11.0,C. Joseph makes 3-pt shot from 24 ft (assist by L. Stephenson),3,102-85,,
3:56.0,,,102-85,,Turnover by E. Ilyasova (bad pass; steal by B. Bogdanovic)
3:44.0,D. Sabonis misses 2-pt shot from 16 ft,,102-85,,
3:40.0,Offensive rebound by D. Sabonis,,102-85,,
3:39.0,B. Bogdanovic misses 2-pt shot from 17 ft,,102-85,,
3:35.0,,,102-85,,Defensive rebound by J. Collins
3:23.0,,,102-85,,T. Waller-Prince misses 2-pt shot at rim (block by L. Stephenson)
3:23.0,,,102-85,,Offensive rebound by Team
3:23.0,,,102-85,,L. Babbitt enters the game for E. Ilyasova
3:23.0,,,102-85,,I. Taylor enters the game for T. Waller-Prince
3:23.0,,,102-85,,D. Bembry enters the game for D. Schroder
3:23.0,M. Turner enters the game for D. Sabonis,,102-85,,
3:16.0,,,102-85,,L. Babbitt misses 3-pt shot from 25 ft
3:13.0,Defensive rebound by M. Turner,,102-85,,
2:55.0,M. Turner makes 3-pt shot from 24 ft (assist by L. Stephenson),3,105-85,,
2:38.0,,,105-85,,I. Taylor misses 2-pt shot from 10 ft
2:35.0,Defensive rebound by L. Stephenson,,105-85,,
2:22.0,Turnover by B. Bogdanovic (traveling),,105-85,,
2:22.0,,,105-85,,M. Delaney enters the game for M. Belinelli
2:12.0,,,105-85,,J. Collins misses 2-pt shot from 14 ft
2:11.0,Defensive rebound by L. Stephenson,,105-85,,
2:11.0,Indiana full timeout,,105-85,,
2:11.0,A. Poythress enters the game for T. Young,,105-85,,
2:11.0,J. Young enters the game for M. Turner,,105-85,,
2:11.0,D. Wilkins enters the game for B. Bogdanovic,,105-85,,
