time,New Orleans,pts.away,score,pts.home,Washington
6:17.0,,,33-58,2,M. Scott makes 2-pt shot from 11 ft (assist by B. Beal)
5:59.0,E. Moore makes 2-pt shot from 7 ft (assist by D. Cousins),2,35-58,,
5:51.0,,,35-58,,Turnover by B. Beal (bad pass; steal by A. Davis)
5:42.0,E. Moore misses 3-pt shot from 26 ft,,35-58,,
5:42.0,Offensive rebound by A. Davis,,35-58,,
5:40.0,A. Davis makes 2-pt shot at rim,2,37-58,,
5:24.0,,,37-58,,J. Meeks misses 3-pt shot from 27 ft
5:21.0,Defensive rebound by D. Cousins,,37-58,,
5:14.0,J. Holiday misses 2-pt shot from 2 ft,,37-58,,
5:12.0,,,37-58,,Defensive rebound by T. Satoransky
4:56.0,,,37-58,,J. Meeks misses 2-pt shot from 6 ft
4:51.0,,,37-58,,Offensive rebound by I. Mahinmi
4:51.0,,,37-60,2,I. Mahinmi makes 2-pt shot at rim
4:40.0,Shooting foul by I. Mahinmi (drawn by D. Cousins),,37-60,,
4:40.0,D. Cousins misses free throw 1 of 2,,37-60,,
4:40.0,Offensive rebound by Team,,37-60,,
4:40.0,,,37-60,,J. Wall enters the game for I. Mahinmi
4:40.0,,,37-60,,M. Gortat enters the game for M. Scott
4:40.0,,,37-60,,M. Morris enters the game for T. Satoransky
4:40.0,I. Clark enters the game for E. Moore,,37-60,,
4:40.0,D. Cousins makes free throw 2 of 2,1,38-60,,
4:21.0,,,38-60,,M. Morris misses 2-pt shot from 16 ft
4:18.0,Defensive rebound by A. Davis,,38-60,,
4:08.0,,,38-60,,Personal foul by M. Gortat (drawn by J. Holiday)
4:08.0,J. Holiday makes free throw 1 of 2,1,39-60,,
4:08.0,,,39-60,,K. Oubre enters the game for J. Meeks
4:08.0,D. Miller enters the game for D. Cunningham,,39-60,,
4:08.0,J. Holiday makes free throw 2 of 2,1,40-60,,
3:58.0,,,40-60,,Turnover by J. Wall (turnover)
3:43.0,Shooting foul by M. Morris (drawn by A. Davis),,40-60,,
3:43.0,A. Davis makes free throw 1 of 2,1,41-60,,
3:43.0,A. Davis makes free throw 2 of 2,1,42-60,,
3:31.0,,,42-60,,Turnover by M. Morris (step out of bounds)
