time,Dallas,pts.away,score,pts.home,LA Clippers
0:55.0,,,29-29,,D. Gallinari enters the game for B. Griffin
0:55.0,,,29-30,1,S. Thornwell makes free throw 2 of 2
0:33.0,H. Barnes misses 3-pt shot from 30 ft,,29-30,,
0:29.0,,,29-30,,Defensive rebound by W. Reed
0:07.0,,,29-32,2,L. Williams makes 2-pt shot from 15 ft
0:04.0,,,29-32,,Personal foul by S. Thornwell (drawn by D. Smith)
0:04.0,,,29-32,,A. Rivers enters the game for L. Williams
0:04.0,,,29-32,,M. Harrell enters the game for W. Reed
0:04.0,D. Nowitzki enters the game for N. Noel,,29-32,,
0:04.0,D. Harris enters the game for J. Barea,,29-32,,
0:04.0,W. Matthews enters the game for M. Kleber,,29-32,,
0:01.0,Turnover by D. Smith (out of bounds lost ball),,29-32,,
0:01.0,,,29-32,,D. Gallinari misses 3-pt shot from 60 ft
0:01.0,,,29-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,D. Smith misses 2-pt shot from 8 ft (block by M. Harrell),,29-32,,
11:38.0,,,29-32,,Defensive rebound by D. Gallinari
11:27.0,,,29-32,,M. Harrell misses 2-pt shot from 5 ft
11:25.0,Defensive rebound by D. Nowitzki,,29-32,,
11:12.0,D. Nowitzki misses 2-pt shot from 18 ft,,29-32,,
11:06.0,,,29-32,,Defensive rebound by M. Harrell
11:06.0,Personal foul by J. Barea (drawn by D. Gallinari),,29-32,,
10:58.0,Personal foul by D. Powell (drawn by S. Thornwell),,29-32,,
10:43.0,,,29-34,2,M. Harrell makes 2-pt shot from 1 ft (assist by L. Williams)
10:31.0,W. Matthews misses 3-pt shot from 24 ft,,29-34,,
10:27.0,Offensive rebound by D. Powell,,29-34,,
10:25.0,W. Matthews misses 2-pt shot from 1 ft,,29-34,,
10:21.0,,,29-34,,Defensive rebound by M. Harrell
10:15.0,,,29-37,3,L. Williams makes 3-pt shot from 25 ft (assist by S. Thornwell)
10:11.0,Dallas full timeout,,29-37,,
10:11.0,D. Harris enters the game for D. Smith,,29-37,,
10:02.0,,,29-37,,Personal foul by W. Johnson (drawn by D. Harris)
9:54.0,W. Matthews makes 2-pt shot from 8 ft (assist by J. Barea),2,31-37,,
9:34.0,,,31-37,,Shooting foul by J. Barea (drawn by L. Williams)
9:34.0,,,31-38,1,L. Williams makes free throw 1 of 2
9:34.0,,,31-39,1,L. Williams makes free throw 2 of 2
9:23.0,,,31-39,,Personal foul by S. Thornwell (drawn by J. Barea)
9:15.0,D. Powell misses 3-pt shot from 24 ft,,31-39,,
9:12.0,,,31-39,,Defensive rebound by L. Williams
9:08.0,,,31-41,2,M. Harrell makes 2-pt shot at rim (assist by L. Williams)
8:53.0,J. Barea misses 3-pt shot from 24 ft,,31-41,,
8:46.0,Offensive rebound by D. Nowitzki,,31-41,,
8:46.0,D. Nowitzki misses 2-pt shot at rim,,31-41,,
8:44.0,,,31-41,,Defensive rebound by D. Gallinari
8:42.0,,,31-43,2,M. Harrell makes 2-pt shot at rim (assist by D. Gallinari)
8:23.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by J. Barea),2,33-43,,
8:09.0,,,33-43,,W. Johnson misses 3-pt shot from 24 ft
8:06.0,Defensive rebound by D. Nowitzki,,33-43,,
7:55.0,D. Nowitzki misses 2-pt shot from 15 ft,,33-43,,
7:50.0,,,33-43,,Defensive rebound by D. Gallinari
7:49.0,Personal foul by J. Barea (drawn by D. Gallinari),,33-43,,
7:49.0,D. Smith enters the game for J. Barea,,33-43,,
7:49.0,Y. Ferrell enters the game for D. Harris,,33-43,,
7:40.0,,,33-43,,L. Williams misses 3-pt shot from 24 ft
7:36.0,Defensive rebound by W. Matthews,,33-43,,
7:32.0,,,33-43,,Def 3 sec tech foul by S. Thornwell
7:32.0,D. Nowitzki makes technical free throw,1,34-43,,
7:32.0,,,34-43,,P. Beverley enters the game for W. Johnson
7:27.0,Y. Ferrell misses 3-pt shot from 24 ft,,34-43,,
7:24.0,,,34-43,,Defensive rebound by D. Gallinari
7:06.0,,,34-43,,D. Gallinari misses 3-pt shot from 25 ft
7:03.0,Defensive rebound by Y. Ferrell,,34-43,,
6:49.0,D. Nowitzki makes 2-pt shot from 16 ft (assist by Y. Ferrell),2,36-43,,
6:43.0,Shooting block foul by D. Powell (drawn by L. Williams),,36-43,,
6:43.0,,,36-44,1,L. Williams makes free throw 1 of 2
6:43.0,,,36-44,,D. Jordan enters the game for S. Thornwell
6:43.0,,,36-44,,A. Rivers enters the game for M. Harrell
6:43.0,M. Kleber enters the game for D. Powell,,36-44,,
6:43.0,N. Noel enters the game for W. Matthews,,36-44,,
6:43.0,H. Barnes enters the game for D. Nowitzki,,36-44,,
6:43.0,,,36-45,1,L. Williams makes free throw 2 of 2
6:26.0,D. Smith misses 3-pt shot from 25 ft,,36-45,,
6:22.0,,,36-45,,Defensive rebound by Team
6:22.0,,,36-45,,B. Griffin enters the game for L. Williams
6:03.0,,,36-45,,B. Griffin misses 3-pt shot from 24 ft
6:01.0,Defensive rebound by Y. Ferrell,,36-45,,
5:55.0,Y. Ferrell misses 2-pt shot from 18 ft,,36-45,,
5:52.0,,,36-45,,Defensive rebound by B. Griffin
5:40.0,,,36-45,,A. Rivers misses 2-pt shot from 14 ft
5:36.0,Defensive rebound by N. Noel,,36-45,,
5:30.0,Turnover by D. Smith (bad pass; steal by D. Gallinari),,36-45,,
5:27.0,,,36-47,2,B. Griffin makes 2-pt shot from 1 ft (assist by D. Gallinari)
5:26.0,Dallas full timeout,,36-47,,
5:26.0,,,36-47,,W. Johnson enters the game for D. Gallinari
5:26.0,D. Harris enters the game for D. Smith,,36-47,,
5:16.0,H. Barnes misses 3-pt shot from 25 ft,,36-47,,
5:14.0,,,36-47,,Defensive rebound by Team
5:14.0,Personal take foul by D. Harris (drawn by D. Jordan),,36-47,,
5:14.0,,,36-48,1,D. Jordan makes free throw 1 of 2
5:14.0,,,36-49,1,D. Jordan makes free throw 2 of 2
4:50.0,D. Harris misses 2-pt shot from 8 ft (block by D. Jordan),,36-49,,
4:48.0,Offensive rebound by D. Harris,,36-49,,
4:48.0,Shooting foul by D. Jordan (drawn by D. Harris),,36-49,,
4:48.0,D. Harris makes free throw 1 of 2,1,37-49,,
4:48.0,D. Harris misses free throw 2 of 2,,37-49,,
4:45.0,,,37-49,,Defensive rebound by D. Jordan
4:31.0,,,37-51,2,A. Rivers makes 2-pt shot at rim (assist by B. Griffin)
4:20.0,,,37-51,,Personal foul by P. Beverley (drawn by H. Barnes)
4:07.0,D. Harris makes 3-pt shot from 27 ft (assist by H. Barnes),3,40-51,,
3:54.0,Personal foul by M. Kleber (drawn by W. Johnson),,40-51,,
3:54.0,,,40-52,1,W. Johnson makes free throw 1 of 2
3:54.0,,,40-53,1,W. Johnson makes free throw 2 of 2
3:41.0,Turnover by H. Barnes (lost ball; steal by B. Griffin),,40-53,,
3:35.0,,,40-55,2,A. Rivers makes 2-pt shot at rim (assist by P. Beverley)
3:21.0,Y. Ferrell misses 2-pt shot from 17 ft,,40-55,,
3:16.0,,,40-55,,Defensive rebound by B. Griffin
3:04.0,,,40-57,2,D. Jordan makes 2-pt shot from 1 ft (assist by A. Rivers)
2:38.0,M. Kleber makes 3-pt shot from 23 ft (assist by Y. Ferrell),3,43-57,,
2:35.0,Personal take foul by D. Harris (drawn by D. Jordan),,43-57,,
2:35.0,,,43-57,,D. Jordan misses free throw 1 of 2
2:35.0,,,43-57,,Offensive rebound by Team
2:35.0,J. Barea enters the game for N. Noel,,43-57,,
2:35.0,D. Smith enters the game for Y. Ferrell,,43-57,,
2:35.0,D. Nowitzki enters the game for M. Kleber,,43-57,,
2:35.0,W. Matthews enters the game for D. Harris,,43-57,,
2:35.0,,,43-58,1,D. Jordan makes free throw 2 of 2
2:23.0,Turnover by D. Smith (bad pass; steal by W. Johnson),,43-58,,
2:19.0,,,43-60,2,W. Johnson makes 2-pt shot from 1 ft (assist by B. Griffin)
2:07.0,Turnover by D. Smith (lost ball; steal by A. Rivers),,43-60,,
2:03.0,,,43-62,2,D. Jordan makes 2-pt shot from 1 ft (assist by A. Rivers)
2:01.0,Dallas full timeout,,43-62,,
2:01.0,,,43-62,,L. Williams enters the game for P. Beverley
1:39.0,D. Smith misses 2-pt shot from 16 ft,,43-62,,
1:32.0,,,43-62,,Defensive rebound by W. Johnson
1:28.0,,,43-62,,Turnover by D. Jordan (bad pass; steal by D. Smith)
1:23.0,D. Smith makes 2-pt shot at rim,2,45-62,,
0:58.0,,,45-65,3,B. Griffin makes 3-pt shot from 25 ft (assist by W. Johnson)
0:46.0,H. Barnes misses 2-pt shot from 17 ft,,45-65,,
0:43.0,,,45-65,,Defensive rebound by L. Williams
0:38.0,,,45-65,,Shooting foul by H. Barnes (drawn by W. Johnson)
0:38.0,,,45-65,,W. Johnson misses free throw 1 of 2
0:38.0,,,45-65,,Offensive rebound by Team
0:38.0,D. Harris enters the game for D. Smith,,45-65,,
0:38.0,,,45-66,1,W. Johnson makes free throw 2 of 2
0:33.0,D. Harris makes 3-pt shot from 25 ft,3,48-66,,
0:25.0,,,48-66,,A. Rivers misses 2-pt shot from 8 ft
0:22.0,Defensive rebound by D. Nowitzki,,48-66,,
0:02.0,D. Nowitzki misses 2-pt shot from 16 ft,,48-66,,
0:02.0,Offensive rebound by Team,,48-66,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,H. Barnes makes 2-pt shot from 4 ft,2,50-66,,
11:20.0,,,50-66,,Shooting foul by D. Harris (drawn by D. Jordan)
11:20.0,,,50-66,,D. Jordan misses free throw 1 of 2
11:20.0,,,50-66,,Offensive rebound by Team
11:20.0,,,50-66,,D. Jordan misses free throw 2 of 2
11:17.0,Defensive rebound by H. Barnes,,50-66,,
11:08.0,H. Barnes makes 2-pt shot from 18 ft (assist by D. Smith),2,52-66,,
10:58.0,,,52-69,3,A. Rivers makes 3-pt shot from 24 ft (assist by B. Griffin)
10:37.0,D. Nowitzki makes 2-pt shot from 16 ft,2,54-69,,
10:20.0,,,54-69,,Turnover by A. Rivers (traveling)
10:01.0,Turnover by D. Nowitzki (lost ball; steal by P. Beverley),,54-69,,
9:56.0,,,54-69,,D. Gallinari misses 3-pt shot from 25 ft
9:50.0,,,54-69,,Offensive rebound by D. Jordan
9:46.0,,,54-71,2,D. Gallinari makes 2-pt shot from 15 ft (assist by P. Beverley)
9:21.0,Turnover by H. Barnes (bad pass; steal by P. Beverley),,54-71,,
9:13.0,,,54-74,3,D. Gallinari makes 3-pt shot from 23 ft (assist by P. Beverley)
9:00.0,,,54-74,,Personal foul by A. Rivers (drawn by D. Harris)
8:48.0,Turnover by D. Smith (lost ball; steal by P. Beverley),,54-74,,
8:43.0,,,54-76,2,D. Jordan makes 2-pt shot from 1 ft (assist by A. Rivers)
8:43.0,Dallas full timeout,,54-76,,
8:22.0,D. Smith misses 3-pt shot from 24 ft,,54-76,,
8:19.0,,,54-76,,Defensive rebound by D. Jordan
8:07.0,,,54-78,2,B. Griffin makes 2-pt shot from 4 ft
7:49.0,D. Smith makes 2-pt shot from 8 ft,2,56-78,,
7:37.0,,,56-78,,A. Rivers misses 2-pt shot from 2 ft (block by D. Harris)
7:34.0,Defensive rebound by D. Nowitzki,,56-78,,
7:31.0,D. Harris misses 3-pt shot from 24 ft,,56-78,,
7:26.0,,,56-78,,Defensive rebound by P. Beverley
7:23.0,,,56-78,,Shooting foul by D. Smith (drawn by P. Beverley)
7:23.0,,,56-79,1,P. Beverley makes free throw 1 of 2
7:23.0,,,56-80,1,P. Beverley makes free throw 2 of 2
7:09.0,,,56-80,,Def 3 sec tech foul by B. Griffin
7:09.0,D. Nowitzki makes technical free throw,1,57-80,,
7:03.0,D. Smith makes 2-pt shot from 1 ft (assist by D. Nowitzki),2,59-80,,
7:03.0,,,59-80,,Shooting block foul by D. Gallinari (drawn by D. Smith)
7:03.0,D. Smith makes free throw 1 of 1,1,60-80,,
6:38.0,,,60-82,2,D. Jordan makes 2-pt shot at rim (assist by D. Gallinari)
6:21.0,,,60-82,,Personal foul by D. Gallinari (drawn by H. Barnes)
6:16.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by W. Matthews),3,63-82,,
