time,Dallas,pts.away,score,pts.home,Boston
3:12.0,,,18-19,,Shooting foul by D. Harris (drawn by J. Tatum)
3:12.0,,,18-19,,J. Tatum misses free throw 1 of 2
3:12.0,,,18-19,,Offensive rebound by Team
3:12.0,D. Nowitzki enters the game for H. Barnes,,18-19,,
3:12.0,,,18-20,1,J. Tatum makes free throw 2 of 2
3:12.0,Dallas full timeout,,18-20,,
2:58.0,D. Nowitzki misses 2-pt shot from 19 ft,,18-20,,
2:54.0,,,18-20,,Defensive rebound by J. Tatum
2:43.0,,,18-22,2,S. Larkin makes 2-pt shot from 1 ft (assist by A. Horford)
2:31.0,J. Barea misses 2-pt shot from 8 ft,,18-22,,
2:28.0,,,18-22,,Defensive rebound by A. Horford
2:18.0,,,18-24,2,A. Horford makes 2-pt shot from 19 ft (assist by T. Rozier)
2:02.0,D. Nowitzki makes 2-pt shot from 20 ft,2,20-24,,
1:48.0,Personal foul by Y. Ferrell (drawn by S. Larkin),,20-24,,
1:48.0,,,20-24,,D. Theis enters the game for A. Horford
1:48.0,,,20-24,,M. Smart enters the game for J. Tatum
1:40.0,,,20-24,,Personal foul by D. Theis (drawn by J. Barea)
1:40.0,,,20-24,,Turnover by D. Theis (turnover)
1:22.0,Turnover by D. Powell (bad pass; steal by S. Larkin),,20-24,,
1:09.0,,,20-24,,S. Larkin misses 2-pt shot from 19 ft
1:04.0,Defensive rebound by J. Barea,,20-24,,
0:59.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by J. Barea),2,22-24,,
0:44.0,,,22-24,,M. Smart misses 2-pt shot from 13 ft
0:41.0,Defensive rebound by J. Barea,,22-24,,
0:36.0,J. Barea makes 3-pt shot from 26 ft,3,25-24,,
0:22.0,,,25-24,,T. Rozier misses 3-pt shot from 25 ft
0:15.0,Defensive rebound by D. Powell,,25-24,,
0:04.0,Shooting foul by S. Larkin (drawn by J. Barea),,25-24,,
0:04.0,J. Barea makes free throw 1 of 2,1,26-24,,
0:04.0,A. Cleveland enters the game for D. Nowitzki,,26-24,,
0:04.0,J. Barea misses free throw 2 of 2,,26-24,,
0:02.0,,,26-24,,Defensive rebound by D. Theis
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,26-24,,G. Yabusele misses 3-pt shot from 24 ft
11:41.0,Defensive rebound by Y. Ferrell,,26-24,,
11:32.0,D. Harris misses 2-pt shot from 3 ft,,26-24,,
11:31.0,Offensive rebound by D. Powell,,26-24,,
11:31.0,D. Powell makes 2-pt shot at rim,2,28-24,,
11:12.0,,,28-24,,S. Larkin misses 3-pt shot from 25 ft
11:09.0,Defensive rebound by D. Nowitzki,,28-24,,
11:02.0,D. Harris makes 2-pt shot from 1 ft (assist by J. Barea),2,30-24,,
10:44.0,,,30-24,,Turnover by M. Smart (traveling)
10:28.0,Turnover by J. Barea (bad pass; steal by S. Larkin),,30-24,,
10:22.0,,,30-24,,D. Theis misses 3-pt shot from 24 ft
10:17.0,,,30-24,,Offensive rebound by G. Yabusele
