time,Detroit,pts.away,score,pts.home,Toronto
4:28.0,Offensive rebound by A. Drummond,,16-16,,
4:27.0,A. Drummond misses 2-pt shot at rim,,16-16,,
4:26.0,Offensive rebound by A. Drummond,,16-16,,
4:25.0,A. Drummond makes 2-pt shot at rim,2,18-16,,
4:10.0,,,18-16,,Turnover by K. Lowry (bad pass; steal by A. Drummond)
4:08.0,A. Drummond misses 2-pt shot from 2 ft (block by S. Ibaka),,18-16,,
4:05.0,,,18-16,,Defensive rebound by K. Lowry
3:58.0,,,18-18,2,D. DeRozan makes 2-pt shot from 19 ft (assist by O. Anunoby)
3:30.0,B. Griffin misses 2-pt shot from 18 ft,,18-18,,
3:25.0,,,18-18,,Defensive rebound by J. Valanciunas
3:19.0,,,18-18,,K. Lowry misses 3-pt shot from 25 ft
3:16.0,,,18-18,,Offensive rebound by K. Lowry
3:16.0,Violation by B. Griffin (kicked ball),,18-18,,
3:16.0,,,18-18,,C. Miles enters the game for O. Anunoby
3:16.0,A. Tolliver enters the game for B. Griffin,,18-18,,
3:06.0,,,18-20,2,S. Ibaka makes 2-pt shot from 4 ft (assist by D. DeRozan)
2:50.0,Turnover by A. Drummond (lost ball; steal by D. DeRozan),,18-20,,
2:47.0,,,18-20,,Shooting foul by I. Smith (drawn by D. DeRozan)
2:47.0,Detroit full timeout,,18-20,,
2:47.0,,,18-20,,J. Poeltl enters the game for K. Lowry
2:47.0,,,18-20,,P. Siakam enters the game for S. Ibaka
2:47.0,,,18-20,,F. VanVleet enters the game for J. Valanciunas
2:47.0,,,18-21,1,D. DeRozan makes free throw 1 of 2
2:47.0,,,18-22,1,D. DeRozan makes free throw 2 of 2
2:34.0,R. Bullock misses 3-pt shot from 24 ft,,18-22,,
2:31.0,Offensive rebound by I. Smith,,18-22,,
2:22.0,I. Smith misses 2-pt shot from 5 ft (block by P. Siakam),,18-22,,
2:20.0,,,18-22,,Defensive rebound by J. Poeltl
2:11.0,,,18-22,,P. Siakam misses 2-pt shot from 11 ft
2:09.0,Defensive rebound by A. Drummond,,18-22,,
1:59.0,Turnover by R. Bullock (lost ball; steal by J. Poeltl),,18-22,,
1:57.0,,,18-24,2,P. Siakam makes 2-pt shot from 2 ft (assist by C. Miles)
1:57.0,,,18-24,,Shooting foul by S. Johnson (drawn by P. Siakam)
1:57.0,D. Buycks enters the game for I. Smith,,18-24,,
1:57.0,,,18-25,1,P. Siakam makes free throw 1 of 1
1:42.0,A. Tolliver makes 3-pt shot from 24 ft (assist by S. Johnson),3,21-25,,
1:26.0,,,21-25,,Turnover by F. VanVleet (bad pass; steal by A. Drummond)
1:17.0,D. Buycks misses 2-pt shot from 16 ft,,21-25,,
1:14.0,,,21-25,,Defensive rebound by J. Poeltl
1:07.0,,,21-25,,C. Miles misses 3-pt shot from 25 ft
1:04.0,Defensive rebound by A. Drummond,,21-25,,
0:51.0,R. Bullock misses 2-pt shot from 15 ft,,21-25,,
0:50.0,,,21-25,,Defensive rebound by F. VanVleet
0:41.0,,,21-27,2,P. Siakam makes 2-pt shot from 4 ft (assist by J. Poeltl)
0:30.0,A. Drummond makes 2-pt shot from 8 ft (assist by D. Buycks),2,23-27,,
0:10.0,,,23-29,2,D. DeRozan makes 2-pt shot from 2 ft
0:10.0,,,23-29,,Shooting foul by A. Tolliver (drawn by D. DeRozan)
0:10.0,L. Kennard enters the game for R. Bullock,,23-29,,
0:10.0,,,23-30,1,D. DeRozan makes free throw 1 of 1
0:01.0,D. Buycks makes 3-pt shot from 25 ft,3,26-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,26-30,,C. Miles misses 3-pt shot from 25 ft
11:43.0,Defensive rebound by S. Johnson,,26-30,,
11:35.0,D. Buycks makes 2-pt shot from 1 ft (assist by B. Griffin),2,28-30,,
11:24.0,,,28-30,,Offensive charge foul by P. Siakam (drawn by D. Buycks)
11:24.0,,,28-30,,Turnover by P. Siakam (offensive foul)
11:07.0,D. Buycks misses 3-pt shot from 24 ft,,28-30,,
11:04.0,,,28-30,,Defensive rebound by P. Siakam
10:54.0,,,28-30,,D. Wright misses 2-pt shot from 3 ft
10:48.0,,,28-30,,Offensive rebound by J. Poeltl
10:48.0,,,28-32,2,J. Poeltl makes 2-pt shot at rim
10:34.0,B. Griffin misses 2-pt shot from 17 ft,,28-32,,
10:31.0,,,28-32,,Defensive rebound by D. Wright
10:27.0,,,28-35,3,C. Miles makes 3-pt shot from 25 ft (assist by D. Wright)
10:14.0,Detroit full timeout,,28-35,,
10:14.0,J. Ennis enters the game for S. Johnson,,28-35,,
9:57.0,B. Griffin misses 2-pt shot from 19 ft,,28-35,,
9:54.0,,,28-35,,Defensive rebound by C. Miles
9:49.0,,,28-37,2,J. Poeltl makes 2-pt shot from 2 ft (assist by P. Siakam)
9:44.0,Turnover by B. Griffin (bad pass; steal by F. VanVleet),,28-37,,
9:35.0,,,28-40,3,D. Wright makes 3-pt shot from 23 ft (assist by P. Siakam)
9:30.0,Detroit full timeout,,28-40,,
9:17.0,L. Kennard misses 2-pt shot from 2 ft (block by D. Wright),,28-40,,
9:17.0,Offensive rebound by Team,,28-40,,
9:14.0,D. Buycks misses 2-pt shot from 2 ft,,28-40,,
9:11.0,Offensive rebound by D. Buycks,,28-40,,
9:06.0,Shooting foul by C. Miles (drawn by D. Buycks),,28-40,,
9:06.0,D. Buycks makes free throw 1 of 2,1,29-40,,
9:06.0,D. Buycks makes free throw 2 of 2,1,30-40,,
8:47.0,,,30-40,,Turnover by D. Wright (step out of bounds)
8:30.0,D. Buycks misses 3-pt shot from 24 ft,,30-40,,
8:29.0,Offensive rebound by Team,,30-40,,
8:29.0,,,30-40,,Loose ball foul by F. VanVleet (drawn by D. Buycks)
8:20.0,B. Griffin makes 2-pt shot from 1 ft (assist by J. Ennis),2,32-40,,
8:07.0,,,32-40,,P. Siakam misses 3-pt shot from 25 ft
8:05.0,Defensive rebound by J. Ennis,,32-40,,
7:44.0,B. Griffin misses 2-pt shot from 18 ft,,32-40,,
7:40.0,,,32-40,,Defensive rebound by C. Miles
7:31.0,,,32-42,2,D. Wright makes 2-pt shot from 2 ft
7:07.0,J. Ennis misses 2-pt shot from 21 ft,,32-42,,
7:04.0,,,32-42,,Defensive rebound by F. VanVleet
6:57.0,,,32-42,,F. VanVleet misses 2-pt shot from 4 ft
6:53.0,Defensive rebound by L. Kennard,,32-42,,
6:47.0,L. Kennard misses 2-pt shot from 21 ft,,32-42,,
6:42.0,,,32-42,,Defensive rebound by J. Poeltl
6:37.0,,,32-44,2,P. Siakam makes 2-pt shot from 1 ft (assist by F. VanVleet)
6:14.0,A. Tolliver makes 2-pt shot from 7 ft (assist by L. Kennard),2,34-44,,
5:59.0,,,34-44,,Turnover by J. Poeltl (lost ball; steal by D. Buycks)
5:56.0,,,34-44,,Personal block foul by D. Wright (drawn by J. Ennis)
5:56.0,J. Ennis makes free throw 1 of 2,1,35-44,,
5:56.0,,,35-44,,S. Ibaka enters the game for C. Miles
5:56.0,,,35-44,,J. Valanciunas enters the game for J. Poeltl
5:56.0,,,35-44,,K. Lowry enters the game for P. Siakam
5:56.0,R. Bullock enters the game for L. Kennard,,35-44,,
5:56.0,I. Smith enters the game for D. Buycks,,35-44,,
5:56.0,A. Drummond enters the game for B. Griffin,,35-44,,
5:56.0,J. Ennis makes free throw 2 of 2,1,36-44,,
5:43.0,,,36-44,,J. Valanciunas misses 3-pt shot from 26 ft
5:40.0,Defensive rebound by J. Ennis,,36-44,,
5:35.0,Turnover by J. Ennis (bad pass; steal by J. Valanciunas),,36-44,,
5:27.0,,,36-44,,S. Ibaka misses 3-pt shot from 25 ft
5:24.0,Defensive rebound by A. Drummond,,36-44,,
5:15.0,A. Tolliver misses 3-pt shot from 23 ft,,36-44,,
5:14.0,Offensive rebound by Team,,36-44,,
5:14.0,,,36-44,,Loose ball foul by F. VanVleet (drawn by A. Drummond)
5:14.0,,,36-44,,D. DeRozan enters the game for F. VanVleet
5:14.0,S. Johnson enters the game for J. Ennis,,36-44,,
5:04.0,A. Drummond misses 2-pt shot from 7 ft,,36-44,,
5:00.0,,,36-44,,Defensive rebound by K. Lowry
4:56.0,,,36-47,3,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan)
4:32.0,A. Drummond makes 2-pt shot from 2 ft,2,38-47,,
4:20.0,,,38-49,2,J. Valanciunas makes 2-pt shot from 10 ft
4:07.0,,,38-49,,Personal block foul by D. Wright (drawn by I. Smith)
4:07.0,I. Smith makes free throw 1 of 2,1,39-49,,
4:07.0,I. Smith misses free throw 2 of 2,,39-49,,
4:05.0,,,39-49,,Defensive rebound by S. Ibaka
3:54.0,,,39-51,2,S. Ibaka makes 2-pt shot from 18 ft
3:37.0,R. Bullock makes 2-pt shot from 1 ft (assist by A. Drummond),2,41-51,,
3:20.0,Personal foul by I. Smith (drawn by D. Wright),,41-51,,
3:20.0,B. Griffin enters the game for A. Tolliver,,41-51,,
3:20.0,,,41-51,,Toronto full timeout
3:20.0,,,41-51,,N. Powell enters the game for D. Wright
3:06.0,Personal foul by B. Griffin (drawn by J. Valanciunas),,41-51,,
3:04.0,,,41-51,,Shooting foul by S. Johnson (drawn by D. DeRozan)
3:04.0,,,41-52,1,D. DeRozan makes free throw 1 of 2
3:04.0,,,41-53,1,D. DeRozan makes free throw 2 of 2
2:53.0,R. Bullock makes 3-pt shot from 23 ft (assist by B. Griffin),3,44-53,,
2:42.0,,,44-53,,K. Lowry misses 2-pt shot from 1 ft
2:40.0,Defensive rebound by I. Smith,,44-53,,
2:38.0,I. Smith makes 2-pt shot from 2 ft,2,46-53,,
2:38.0,,,46-53,,Technical foul by K. Lowry
2:38.0,B. Griffin misses technical free throw,,46-53,,
2:38.0,,,46-53,,Defensive rebound by Team
2:29.0,,,46-53,,D. DeRozan misses 2-pt shot from 9 ft
2:25.0,,,46-53,,Offensive rebound by J. Valanciunas
2:20.0,,,46-56,3,K. Lowry makes 3-pt shot from 25 ft (assist by N. Powell)
2:04.0,,,46-56,,Personal foul by S. Ibaka (drawn by B. Griffin)
2:04.0,B. Griffin makes free throw 1 of 2,1,47-56,,
2:04.0,B. Griffin makes free throw 2 of 2,1,48-56,,
1:50.0,,,48-59,3,S. Ibaka makes 3-pt shot from 24 ft (assist by D. DeRozan)
1:25.0,R. Bullock makes 3-pt shot from 24 ft (assist by B. Griffin),3,51-59,,
1:10.0,,,51-59,,S. Ibaka misses 3-pt shot from 24 ft
1:07.0,Defensive rebound by R. Bullock,,51-59,,
0:56.0,I. Smith makes 2-pt shot from 1 ft (assist by S. Johnson),2,53-59,,
0:38.0,,,53-59,,N. Powell misses 3-pt shot from 24 ft
0:34.0,Defensive rebound by I. Smith,,53-59,,
0:31.0,Turnover by I. Smith (lost ball; steal by S. Ibaka),,53-59,,
0:25.0,,,53-59,,S. Ibaka misses 3-pt shot from 25 ft
0:22.0,Defensive rebound by A. Drummond,,53-59,,
0:04.0,B. Griffin misses 3-pt shot from 25 ft,,53-59,,
0:03.0,,,53-59,,Defensive rebound by Team
0:03.0,Loose ball foul by A. Drummond (drawn by S. Ibaka),,53-59,,
0:03.0,J. Ennis enters the game for S. Johnson,,53-59,,
0:03.0,D. Buycks enters the game for I. Smith,,53-59,,
0:00.0,,,53-59,,J. Valanciunas misses 3-pt shot from 26 ft
0:00.0,,,53-59,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,,,53-59,,K. Lowry misses 2-pt shot from 14 ft
11:32.0,,,53-59,,Offensive rebound by S. Ibaka
11:32.0,,,53-59,,Shooting foul by A. Drummond (drawn by S. Ibaka)
11:32.0,,,53-60,1,S. Ibaka makes free throw 1 of 2
11:32.0,,,53-61,1,S. Ibaka makes free throw 2 of 2
11:13.0,B. Griffin makes 2-pt shot from 19 ft,2,55-61,,
10:56.0,,,55-64,3,S. Ibaka makes 3-pt shot from 24 ft (assist by K. Lowry)
10:38.0,S. Johnson misses 3-pt shot from 25 ft,,55-64,,
10:36.0,,,55-64,,Defensive rebound by J. Valanciunas
10:29.0,,,55-64,,J. Valanciunas misses 2-pt shot from 13 ft
10:26.0,Defensive rebound by S. Johnson,,55-64,,
10:23.0,Turnover by S. Johnson (turnover),,55-64,,
10:08.0,,,55-64,,Shooting foul by I. Smith (drawn by D. DeRozan)
10:08.0,,,55-65,1,D. DeRozan makes free throw 1 of 2
10:08.0,,,55-66,1,D. DeRozan makes free throw 2 of 2
9:56.0,B. Griffin misses 2-pt shot from 18 ft,,55-66,,
9:53.0,,,55-66,,Defensive rebound by S. Ibaka
9:44.0,,,55-68,2,S. Ibaka makes 2-pt shot from 19 ft (assist by K. Lowry)
9:29.0,Turnover by A. Drummond (bad pass; steal by S. Ibaka),,55-68,,
9:24.0,,,55-68,,S. Ibaka misses 3-pt shot from 24 ft
9:21.0,Defensive rebound by A. Drummond,,55-68,,
9:10.0,A. Drummond misses 2-pt shot from 3 ft (block by J. Valanciunas),,55-68,,
9:08.0,,,55-68,,Defensive rebound by S. Ibaka
9:07.0,,,55-68,,Shooting foul by S. Johnson (drawn by D. DeRozan)
9:07.0,,,55-69,1,D. DeRozan makes free throw 1 of 2
9:07.0,,,55-70,1,D. DeRozan makes free throw 2 of 2
9:07.0,Detroit full timeout,,55-70,,
8:52.0,A. Drummond misses 2-pt shot from 6 ft,,55-70,,
8:48.0,,,55-70,,Defensive rebound by D. DeRozan
8:40.0,,,55-72,2,O. Anunoby makes 2-pt shot from 2 ft (assist by D. DeRozan)
8:40.0,,,55-72,,Shooting foul by I. Smith (drawn by O. Anunoby)
8:40.0,,,55-73,1,O. Anunoby makes free throw 1 of 1
8:22.0,S. Johnson misses 2-pt shot from 17 ft,,55-73,,
8:18.0,,,55-73,,Defensive rebound by K. Lowry
8:16.0,,,55-75,2,O. Anunoby makes 2-pt shot from 1 ft (assist by K. Lowry)
8:16.0,Violation by S. Johnson (def goaltending),,55-75,,
7:59.0,I. Smith makes 2-pt shot from 2 ft,2,57-75,,
7:51.0,,,57-78,3,K. Lowry makes 3-pt shot from 24 ft
7:31.0,I. Smith misses 2-pt shot from 16 ft,,57-78,,
7:29.0,,,57-78,,Defensive rebound by K. Lowry
7:23.0,,,57-78,,Turnover by O. Anunoby (bad pass; steal by S. Johnson)
7:20.0,Offensive charge foul by S. Johnson (drawn by K. Lowry),,57-78,,
7:20.0,Turnover by S. Johnson (offensive foul),,57-78,,
7:20.0,D. Buycks enters the game for S. Johnson,,57-78,,
7:20.0,J. Ennis enters the game for I. Smith,,57-78,,
7:05.0,,,57-78,,S. Ibaka misses 3-pt shot from 25 ft
7:03.0,Defensive rebound by A. Drummond,,57-78,,
6:52.0,A. Drummond misses 2-pt shot from 6 ft,,57-78,,
6:49.0,,,57-78,,Defensive rebound by S. Ibaka
6:35.0,,,57-78,,Turnover by J. Valanciunas (lost ball; steal by J. Ennis)
6:31.0,R. Bullock makes 2-pt shot from 2 ft (assist by B. Griffin),2,59-78,,
6:13.0,,,59-81,3,K. Lowry makes 3-pt shot from 22 ft (assist by D. DeRozan)
5:57.0,Shooting foul by J. Valanciunas (drawn by A. Drummond),,59-81,,
5:57.0,A. Drummond makes free throw 1 of 2,1,60-81,,
5:57.0,A. Drummond makes free throw 2 of 2,1,61-81,,
5:48.0,,,61-81,,D. DeRozan misses 2-pt shot at rim
5:45.0,Defensive rebound by A. Drummond,,61-81,,
5:36.0,Offensive charge foul by J. Ennis (drawn by K. Lowry),,61-81,,
5:36.0,Turnover by J. Ennis (offensive foul),,61-81,,
5:29.0,,,61-81,,K. Lowry misses 3-pt shot from 25 ft
5:26.0,Defensive rebound by A. Drummond,,61-81,,
5:20.0,D. Buycks makes 3-pt shot from 25 ft,3,64-81,,
5:09.0,,,64-81,,Shooting foul by J. Ennis (drawn by D. DeRozan)
5:09.0,,,64-82,1,D. DeRozan makes free throw 1 of 2
5:09.0,,,64-82,,J. Poeltl enters the game for J. Valanciunas
5:09.0,,,64-82,,D. DeRozan misses free throw 2 of 2
5:07.0,Defensive rebound by J. Ennis,,64-82,,
4:54.0,A. Drummond makes 2-pt shot from 9 ft,2,66-82,,
4:46.0,Personal foul by D. Buycks (drawn by K. Lowry),,66-82,,
4:46.0,,,66-83,1,K. Lowry makes free throw 1 of 2
4:46.0,,,66-84,1,K. Lowry makes free throw 2 of 2
4:35.0,Shooting foul by K. Lowry (drawn by D. Buycks),,66-84,,
4:35.0,D. Buycks makes free throw 1 of 2,1,67-84,,
4:35.0,D. Buycks makes free throw 2 of 2,1,68-84,,
4:20.0,,,68-84,,Turnover by D. DeRozan (out of bounds lost ball)
3:58.0,R. Bullock misses 3-pt shot from 26 ft,,68-84,,
3:55.0,Offensive rebound by D. Buycks,,68-84,,
3:43.0,D. Buycks misses 2-pt shot from 18 ft,,68-84,,
3:39.0,Offensive rebound by A. Drummond,,68-84,,
3:37.0,A. Drummond misses 2-pt shot from 1 ft,,68-84,,
3:35.0,Offensive rebound by D. Buycks,,68-84,,
3:34.0,R. Bullock misses 3-pt shot from 26 ft,,68-84,,
3:31.0,,,68-84,,Defensive rebound by K. Lowry
3:28.0,,,68-86,2,S. Ibaka makes 2-pt shot from 2 ft (assist by O. Anunoby)
3:11.0,J. Ennis misses 3-pt shot from 22 ft,,68-86,,
3:11.0,,,68-86,,Defensive rebound by Team
3:11.0,,,68-86,,P. Siakam enters the game for S. Ibaka
3:11.0,A. Tolliver enters the game for B. Griffin,,68-86,,
3:04.0,,,68-86,,Turnover by P. Siakam (lost ball; steal by A. Tolliver)
2:41.0,A. Tolliver misses 2-pt shot from 9 ft,,68-86,,
2:40.0,Offensive rebound by A. Drummond,,68-86,,
2:39.0,A. Drummond misses 2-pt shot at rim,,68-86,,
2:38.0,Offensive rebound by A. Drummond,,68-86,,
2:37.0,A. Drummond makes 2-pt shot at rim,2,70-86,,
2:37.0,,,70-86,,Toronto full timeout
2:37.0,,,70-86,,F. VanVleet enters the game for O. Anunoby
2:37.0,,,70-86,,C. Miles enters the game for K. Lowry
2:37.0,L. Kennard enters the game for R. Bullock,,70-86,,
2:15.0,,,70-86,,J. Poeltl misses 2-pt shot from 3 ft (block by A. Drummond)
2:13.0,,,70-86,,Offensive rebound by F. VanVleet
2:13.0,,,70-86,,Shooting foul by L. Kennard (drawn by F. VanVleet)
2:13.0,,,70-88,2,F. VanVleet makes 2-pt shot from 2 ft
2:13.0,,,70-89,1,F. VanVleet makes free throw 1 of 1
1:56.0,Turnover by J. Ennis (bad pass; steal by D. DeRozan),,70-89,,
1:51.0,,,70-89,,C. Miles misses 3-pt shot from 24 ft
1:47.0,,,70-89,,Offensive rebound by P. Siakam
1:32.0,,,70-89,,D. DeRozan misses 2-pt shot from 15 ft
1:29.0,Defensive rebound by L. Kennard,,70-89,,
1:11.0,J. Ennis makes 3-pt shot from 22 ft (assist by D. Buycks),3,73-89,,
0:56.0,,,73-89,,Shooting foul by L. Kennard (drawn by C. Miles)
0:56.0,,,73-90,1,C. Miles makes free throw 1 of 2
0:56.0,,,73-91,1,C. Miles makes free throw 2 of 2
0:41.0,A. Tolliver misses 3-pt shot from 25 ft,,73-91,,
0:41.0,Offensive rebound by D. Buycks,,73-91,,
0:29.0,D. Buycks misses 2-pt shot from 15 ft,,73-91,,
0:29.0,,,73-91,,Defensive rebound by C. Miles
0:08.0,,,73-93,2,D. DeRozan makes 2-pt shot from 5 ft
0:05.0,,,73-93,,Personal foul by P. Siakam (drawn by L. Kennard)
0:00.0,J. Ennis makes 2-pt shot from 1 ft (assist by D. Buycks),2,75-93,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,J. Ennis misses 2-pt shot from 3 ft,,75-93,,
11:34.0,Offensive rebound by J. Ennis,,75-93,,
11:32.0,J. Ennis misses 2-pt shot from 4 ft (block by P. Siakam),,75-93,,
11:32.0,Offensive rebound by J. Ennis,,75-93,,
11:27.0,D. Buycks misses 2-pt shot from 3 ft (block by J. Poeltl),,75-93,,
11:27.0,,,75-93,,Defensive rebound by P. Siakam
11:21.0,,,75-96,3,C. Miles makes 3-pt shot from 25 ft (assist by P. Siakam)
11:03.0,B. Griffin makes 2-pt shot from 2 ft (assist by D. Buycks),2,77-96,,
11:02.0,Technical foul by B. Griffin,,77-96,,
11:02.0,,,77-97,1,C. Miles makes technical free throw
10:42.0,,,77-97,,F. VanVleet misses 3-pt shot from 22 ft
10:42.0,Defensive rebound by J. Ennis,,77-97,,
10:25.0,B. Griffin misses 3-pt shot from 25 ft,,77-97,,
10:21.0,,,77-97,,Defensive rebound by F. VanVleet
10:18.0,,,77-97,,Offensive charge foul by F. VanVleet (drawn by B. Griffin)
10:18.0,,,77-97,,Turnover by F. VanVleet (offensive foul)
10:02.0,Turnover by D. Buycks (bad pass; steal by D. Wright),,77-97,,
10:01.0,Personal foul by L. Kennard (drawn by D. Wright),,77-97,,
9:50.0,,,77-97,,C. Miles misses 3-pt shot from 22 ft
9:48.0,Defensive rebound by A. Tolliver,,77-97,,
9:41.0,J. Ennis makes 3-pt shot from 25 ft (assist by B. Griffin),3,80-97,,
9:27.0,,,80-99,2,J. Poeltl makes 2-pt shot from 1 ft (assist by D. Wright)
9:11.0,,,80-99,,Personal foul by F. VanVleet (drawn by B. Griffin)
9:04.0,D. Buycks misses 2-pt shot from 3 ft,,80-99,,
9:01.0,,,80-99,,Defensive rebound by P. Siakam
8:55.0,,,80-102,3,F. VanVleet makes 3-pt shot from 22 ft (assist by D. Wright)
8:54.0,Detroit full timeout,,80-102,,
8:54.0,,,80-102,,M. Miller enters the game for C. Miles
8:54.0,I. Smith enters the game for L. Kennard,,80-102,,
8:54.0,A. Drummond enters the game for D. Buycks,,80-102,,
8:54.0,R. Bullock enters the game for A. Tolliver,,80-102,,
8:36.0,Turnover by R. Bullock (bad pass; steal by J. Poeltl),,80-102,,
8:11.0,,,80-102,,J. Poeltl misses 2-pt shot from 1 ft
8:09.0,Defensive rebound by B. Griffin,,80-102,,
7:59.0,Shooting foul by P. Siakam (drawn by I. Smith),,80-102,,
7:59.0,I. Smith makes free throw 1 of 2,1,81-102,,
7:59.0,I. Smith misses free throw 2 of 2,,81-102,,
7:57.0,,,81-102,,Defensive rebound by M. Miller
7:42.0,,,81-102,,Shooting foul by B. Griffin (drawn by F. VanVleet)
7:42.0,,,81-103,1,F. VanVleet makes free throw 1 of 2
7:42.0,,,81-104,1,F. VanVleet makes free throw 2 of 2
7:31.0,,,81-104,,Personal foul by M. Miller (drawn by B. Griffin)
7:17.0,A. Drummond misses 2-pt shot from 21 ft,,81-104,,
7:15.0,,,81-104,,Defensive rebound by D. Wright
7:09.0,,,81-104,,F. VanVleet misses 3-pt shot from 24 ft
7:08.0,,,81-104,,Offensive rebound by Team
6:50.0,,,81-107,3,D. Wright makes 3-pt shot from 23 ft (assist by F. VanVleet)
6:29.0,Shooting foul by P. Siakam (drawn by B. Griffin),,81-107,,
6:29.0,,,81-107,,Technical foul by F. VanVleet
6:29.0,B. Griffin misses technical free throw,,81-107,,
6:29.0,Offensive rebound by Team,,81-107,,
6:29.0,B. Griffin makes free throw 1 of 2,1,82-107,,
6:29.0,B. Griffin makes free throw 2 of 2,1,83-107,,
6:17.0,,,83-109,2,J. Poeltl makes 2-pt shot at rim (assist by D. Wright)
6:03.0,Turnover by B. Griffin (bad pass; steal by J. Poeltl),,83-109,,
6:03.0,Personal foul by B. Griffin (drawn by D. Wright),,83-109,,
6:03.0,H. Ellenson enters the game for B. Griffin,,83-109,,
5:51.0,,,83-109,,Turnover by D. Wright (bad pass)
