time,Phoenix,pts.away,score,pts.home,Philadelphia
0:50.0,T. Warren misses 2-pt shot from 10 ft,,24-26,,
0:48.0,Offensive rebound by D. Booker,,24-26,,
0:44.0,D. Booker misses 2-pt shot from 4 ft,,24-26,,
0:41.0,Offensive rebound by T. Warren,,24-26,,
0:40.0,T. Warren misses 2-pt shot from 2 ft (block by J. Embiid),,24-26,,
0:40.0,Offensive rebound by D. Booker,,24-26,,
0:37.0,D. Booker makes 2-pt shot at rim,2,26-26,,
0:31.0,Personal foul by J. Jackson (drawn by J. Redick),,26-26,,
0:31.0,,,26-27,1,J. Redick makes free throw 1 of 2
0:31.0,,,26-28,1,J. Redick makes free throw 2 of 2
0:15.0,Shooting foul by J. Redick (drawn by J. Jackson),,26-28,,
0:15.0,J. Jackson makes free throw 1 of 2,1,27-28,,
0:15.0,,,27-28,,J. Bayless enters the game for T. Luwawu-Cabarrot
0:15.0,T. Daniels enters the game for D. Booker,,27-28,,
0:15.0,J. Jackson makes free throw 2 of 2,1,28-28,,
0:01.0,,,28-28,,N. Stauskas misses 3-pt shot from 24 ft
0:01.0,,,28-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,28-28,,J. Embiid misses 2-pt shot from 12 ft
11:39.0,Defensive rebound by M. James,,28-28,,
11:20.0,Shooting foul by N. Stauskas (drawn by M. James),,28-28,,
11:20.0,M. James makes free throw 1 of 2,1,29-28,,
11:20.0,M. James makes free throw 2 of 2,1,30-28,,
11:03.0,,,30-28,,Turnover by N. Stauskas (lost ball; steal by T. Daniels)
10:58.0,T. Daniels misses 2-pt shot from 5 ft (block by R. Covington),,30-28,,
10:49.0,Offensive rebound by T. Warren,,30-28,,
10:49.0,T. Warren makes 2-pt shot at rim,2,32-28,,
10:42.0,,,32-28,,Shooting foul by T. Chandler (drawn by J. Embiid)
10:42.0,,,32-29,1,J. Embiid makes free throw 1 of 2
10:42.0,,,32-30,1,J. Embiid makes free throw 2 of 2
10:30.0,T. Warren makes 2-pt shot from 11 ft,2,34-30,,
10:14.0,,,34-30,,R. Covington misses 3-pt shot from 25 ft
10:10.0,Defensive rebound by T. Warren,,34-30,,
10:05.0,D. Bender misses 3-pt shot from 25 ft,,34-30,,
10:03.0,,,34-30,,Defensive rebound by J. Embiid
9:59.0,,,34-30,,J. Redick misses 3-pt shot from 25 ft
9:59.0,,,34-30,,Offensive rebound by J. Bayless
9:49.0,,,34-30,,J. Redick misses 3-pt shot from 26 ft
9:45.0,Defensive rebound by T. Chandler,,34-30,,
9:38.0,,,34-30,,B. Simmons enters the game for J. Bayless
9:34.0,T. Warren misses 2-pt shot from 16 ft,,34-30,,
9:30.0,,,34-30,,Defensive rebound by J. Embiid
9:23.0,,,34-30,,B. Simmons misses 2-pt shot from 3 ft (block by D. Bender)
9:21.0,Defensive rebound by T. Daniels,,34-30,,
9:10.0,T. Chandler makes 2-pt shot at rim (assist by M. James),2,36-30,,
9:10.0,,,36-30,,Philadelphia full timeout
9:10.0,,,36-30,,A. Johnson enters the game for J. Embiid
8:56.0,,,36-30,,B. Simmons misses 2-pt shot from 12 ft
8:52.0,Defensive rebound by T. Chandler,,36-30,,
8:45.0,T. Warren misses 2-pt shot from 16 ft,,36-30,,
8:41.0,,,36-30,,Defensive rebound by B. Simmons
8:33.0,,,36-30,,R. Covington misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by Team,,36-30,,
8:32.0,,,36-30,,T. Luwawu-Cabarrot enters the game for J. Redick
8:15.0,M. James misses 2-pt shot from 11 ft,,36-30,,
8:12.0,,,36-30,,Defensive rebound by A. Johnson
8:06.0,,,36-30,,B. Simmons misses 2-pt shot from 12 ft
8:02.0,Defensive rebound by M. James,,36-30,,
7:57.0,Turnover by M. James (lost ball; steal by B. Simmons),,36-30,,
7:53.0,,,36-32,2,B. Simmons makes 2-pt shot at rim (assist by T. Luwawu-Cabarrot)
7:36.0,T. Warren misses 3-pt shot from 25 ft,,36-32,,
7:33.0,Offensive rebound by D. Bender,,36-32,,
7:31.0,D. Bender misses 2-pt shot from 7 ft,,36-32,,
7:31.0,,,36-32,,Defensive rebound by R. Covington
7:25.0,,,36-32,,R. Covington misses 3-pt shot from 26 ft
7:21.0,Defensive rebound by M. James,,36-32,,
7:15.0,T. Daniels makes 3-pt shot from 24 ft (assist by M. James),3,39-32,,
6:57.0,,,39-32,,Turnover by N. Stauskas (traveling)
6:57.0,,,39-32,,J. Bayless enters the game for N. Stauskas
6:57.0,,,39-32,,D. Saric enters the game for R. Covington
6:57.0,M. Chriss enters the game for T. Chandler,,39-32,,
6:57.0,T. Ulis enters the game for T. Daniels,,39-32,,
6:57.0,D. Booker enters the game for D. Bender,,39-32,,
6:57.0,A. Len enters the game for M. James,,39-32,,
6:47.0,T. Warren makes 2-pt shot from 14 ft,2,41-32,,
6:27.0,,,41-35,3,J. Bayless makes 3-pt shot from 25 ft (assist by T. Luwawu-Cabarrot)
6:06.0,A. Len makes 2-pt shot from 3 ft (assist by T. Ulis),2,43-35,,
5:55.0,,,43-35,,J. Bayless misses 2-pt shot from 1 ft
5:53.0,Defensive rebound by A. Len,,43-35,,
5:50.0,T. Warren makes 2-pt shot from 1 ft (assist by T. Ulis),2,45-35,,
5:50.0,,,45-35,,Violation by A. Johnson (def goaltending)
5:30.0,,,45-35,,D. Saric misses 2-pt shot from 8 ft
5:27.0,Defensive rebound by M. Chriss,,45-35,,
5:22.0,D. Booker makes 3-pt shot from 27 ft (assist by M. Chriss),3,48-35,,
5:21.0,,,48-35,,Philadelphia full timeout
5:21.0,,,48-35,,J. Embiid enters the game for A. Johnson
5:21.0,T. Chandler enters the game for T. Warren,,48-35,,
5:21.0,J. Jackson enters the game for A. Len,,48-35,,
5:06.0,,,48-37,2,J. Embiid makes 2-pt shot from 7 ft
4:50.0,D. Booker makes 2-pt shot from 10 ft (assist by M. Chriss),2,50-37,,
4:32.0,,,50-37,,Shooting foul by T. Chandler (drawn by J. Embiid)
4:32.0,,,50-38,1,J. Embiid makes free throw 1 of 2
4:32.0,,,50-38,,J. Redick enters the game for J. Bayless
4:32.0,,,50-38,,R. Covington enters the game for T. Luwawu-Cabarrot
4:32.0,,,50-39,1,J. Embiid makes free throw 2 of 2
4:09.0,D. Booker makes 3-pt shot from 26 ft (assist by T. Ulis),3,53-39,,
3:52.0,,,53-39,,Turnover by R. Covington (bad pass; steal by T. Chandler)
3:48.0,,,53-39,,Personal foul by D. Saric (drawn by M. Chriss)
3:44.0,Turnover by J. Jackson (bad pass; steal by D. Saric),,53-39,,
3:33.0,,,53-41,2,D. Saric makes 2-pt shot from 2 ft (assist by J. Redick)
3:20.0,T. Ulis makes 2-pt shot from 19 ft (assist by T. Chandler),2,55-41,,
3:07.0,,,55-43,2,B. Simmons makes 2-pt shot from 1 ft
2:56.0,T. Chandler makes 2-pt shot from 1 ft (assist by D. Booker),2,57-43,,
2:36.0,,,57-43,,Turnover by B. Simmons (lost ball; steal by T. Chandler)
2:29.0,T. Ulis misses 3-pt shot from 24 ft,,57-43,,
2:26.0,,,57-43,,Defensive rebound by J. Embiid
2:10.0,,,57-43,,J. Embiid misses 2-pt shot from 9 ft
2:09.0,Defensive rebound by M. Chriss,,57-43,,
2:09.0,,,57-43,,Personal foul by J. Embiid (drawn by T. Chandler)
1:57.0,J. Jackson misses 3-pt shot from 26 ft,,57-43,,
1:55.0,Offensive rebound by M. Chriss,,57-43,,
1:54.0,Shooting foul by R. Covington (drawn by M. Chriss),,57-43,,
1:54.0,M. Chriss makes free throw 1 of 2,1,58-43,,
1:54.0,M. Chriss misses free throw 2 of 2,,58-43,,
1:49.0,,,58-43,,Defensive rebound by D. Saric
1:37.0,,,58-43,,B. Simmons misses 2-pt shot from 1 ft (block by M. Chriss)
1:35.0,Defensive rebound by T. Ulis,,58-43,,
1:23.0,T. Ulis misses 2-pt shot from 12 ft,,58-43,,
1:21.0,Offensive rebound by T. Chandler,,58-43,,
1:08.0,D. Booker makes 2-pt shot at rim,2,60-43,,
0:57.0,,,60-45,2,J. Embiid makes 2-pt shot from 20 ft
0:39.0,T. Ulis misses 2-pt shot from 5 ft (block by J. Embiid),,60-45,,
0:39.0,,,60-45,,Defensive rebound by J. Embiid
0:31.0,,,60-45,,R. Covington misses 3-pt shot from 26 ft
0:31.0,,,60-45,,Offensive rebound by R. Covington
0:27.0,,,60-45,,J. Redick misses 3-pt shot from 25 ft
0:27.0,,,60-45,,Offensive rebound by D. Saric
0:07.0,,,60-45,,D. Saric misses 3-pt shot from 25 ft
0:04.0,,,60-45,,Offensive rebound by R. Covington
0:02.0,,,60-47,2,J. Redick makes 2-pt shot from 22 ft (assist by R. Covington)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,60-47,,B. Simmons misses 2-pt shot from 2 ft
11:41.0,,,60-47,,Offensive rebound by B. Simmons
11:41.0,,,60-49,2,B. Simmons makes 2-pt shot at rim
11:34.0,,,60-49,,Violation by B. Simmons (kicked ball)
11:22.0,M. Chriss makes 2-pt shot from 8 ft,2,62-49,,
11:21.0,Personal foul by T. Ulis (drawn by J. Redick),,62-49,,
11:17.0,,,62-51,2,J. Redick makes 2-pt shot from 6 ft (assist by R. Covington)
11:08.0,D. Booker makes 2-pt shot from 9 ft (assist by T. Ulis),2,64-51,,
10:51.0,,,64-53,2,D. Saric makes 2-pt shot from 2 ft
10:37.0,D. Booker makes 2-pt shot from 12 ft,2,66-53,,
10:20.0,,,66-53,,D. Saric misses 2-pt shot from 5 ft (block by M. Chriss)
10:17.0,Defensive rebound by T. Warren,,66-53,,
10:14.0,D. Booker makes 2-pt shot from 13 ft (assist by T. Ulis),2,68-53,,
9:53.0,,,68-55,2,J. Embiid makes 2-pt shot from 1 ft
9:36.0,Shooting foul by J. Redick (drawn by T. Ulis),,68-55,,
9:36.0,T. Ulis makes free throw 1 of 2,1,69-55,,
9:36.0,T. Ulis makes free throw 2 of 2,1,70-55,,
9:27.0,,,70-55,,Shooting foul by T. Ulis (drawn by J. Redick)
9:27.0,,,70-56,1,J. Redick makes free throw 1 of 2
9:27.0,,,70-57,1,J. Redick makes free throw 2 of 2
9:15.0,D. Booker misses 2-pt shot from 10 ft,,70-57,,
9:11.0,,,70-57,,Defensive rebound by B. Simmons
9:06.0,,,70-57,,Turnover by B. Simmons (bad pass; steal by T. Warren)
9:03.0,Turnover by D. Booker (lost ball; steal by B. Simmons),,70-57,,
9:03.0,Violation by D. Booker (kicked ball),,70-57,,
8:48.0,,,70-57,,J. Embiid misses 2-pt shot from 10 ft (block by T. Chandler)
8:45.0,Defensive rebound by T. Chandler,,70-57,,
8:42.0,Turnover by D. Booker (lost ball; steal by J. Redick),,70-57,,
8:36.0,,,70-59,2,J. Redick makes 2-pt shot from 17 ft (assist by B. Simmons)
8:22.0,T. Warren makes 2-pt shot from 16 ft (assist by T. Ulis),2,72-59,,
8:05.0,,,72-59,,J. Embiid misses 2-pt shot from 8 ft
8:00.0,Defensive rebound by T. Warren,,72-59,,
7:59.0,Turnover by T. Warren (bad pass; steal by B. Simmons),,72-59,,
7:45.0,,,72-61,2,J. Redick makes 2-pt shot from 1 ft (assist by D. Saric)
7:23.0,M. Chriss misses 3-pt shot from 22 ft,,72-61,,
7:20.0,Offensive rebound by T. Chandler,,72-61,,
7:18.0,T. Warren makes 2-pt shot from 15 ft (assist by T. Chandler),2,74-61,,
7:18.0,,,74-61,,Philadelphia full timeout
7:18.0,,,74-61,,A. Johnson enters the game for J. Embiid
7:18.0,D. Bender enters the game for M. Chriss,,74-61,,
7:09.0,,,74-61,,Offensive foul by D. Saric (drawn by T. Warren)
7:09.0,,,74-61,,Turnover by D. Saric (offensive foul)
6:50.0,D. Bender makes 3-pt shot from 26 ft (assist by T. Warren),3,77-61,,
6:34.0,,,77-63,2,B. Simmons makes 2-pt shot from 3 ft
6:23.0,T. Warren misses 2-pt shot from 5 ft,,77-63,,
6:20.0,,,77-63,,Defensive rebound by A. Johnson
6:11.0,,,77-63,,Shooting foul by D. Booker (drawn by R. Covington)
6:11.0,,,77-64,1,R. Covington makes free throw 1 of 2
6:11.0,,,77-64,,T. Luwawu-Cabarrot enters the game for D. Saric
6:11.0,,,77-64,,J. Bayless enters the game for J. Redick
6:11.0,A. Len enters the game for T. Chandler,,77-64,,
6:11.0,,,77-65,1,R. Covington makes free throw 2 of 2
5:49.0,T. Warren makes 2-pt shot from 2 ft (assist by T. Ulis),2,79-65,,
5:38.0,,,79-67,2,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft (assist by B. Simmons)
5:29.0,Shooting foul by J. Bayless (drawn by T. Ulis),,79-67,,
5:29.0,T. Ulis makes free throw 1 of 2,1,80-67,,
5:29.0,T. Ulis misses free throw 2 of 2,,80-67,,
5:26.0,,,80-67,,Defensive rebound by J. Bayless
5:11.0,,,80-69,2,B. Simmons makes 2-pt shot from 1 ft
4:51.0,T. Warren makes 2-pt shot at rim,2,82-69,,
4:35.0,,,82-69,,B. Simmons misses 2-pt shot from 6 ft
4:33.0,Defensive rebound by T. Warren,,82-69,,
4:20.0,D. Bender misses 3-pt shot from 22 ft,,82-69,,
4:17.0,,,82-69,,Defensive rebound by A. Johnson
4:08.0,Personal foul by A. Len (drawn by T. Luwawu-Cabarrot),,82-69,,
4:08.0,,,82-69,,J. Embiid enters the game for A. Johnson
4:08.0,,,82-69,,D. Saric enters the game for R. Covington
4:08.0,J. Jackson enters the game for T. Warren,,82-69,,
3:56.0,,,82-69,,J. Embiid misses 2-pt shot from 13 ft
3:54.0,Defensive rebound by D. Booker,,82-69,,
3:33.0,J. Jackson misses 2-pt shot from 16 ft,,82-69,,
3:28.0,,,82-69,,Defensive rebound by J. Embiid
3:20.0,,,82-71,2,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft (assist by D. Saric)
3:20.0,Phoenix full timeout,,82-71,,
3:20.0,T. Warren enters the game for T. Ulis,,82-71,,
3:02.0,D. Booker misses 2-pt shot from 21 ft,,82-71,,
2:58.0,,,82-71,,Defensive rebound by J. Bayless
2:40.0,,,82-71,,B. Simmons misses 2-pt shot from 9 ft
2:37.0,Defensive rebound by D. Booker,,82-71,,
2:29.0,Turnover by J. Jackson (lost ball; steal by B. Simmons),,82-71,,
2:29.0,Personal foul by J. Jackson (drawn by B. Simmons),,82-71,,
2:29.0,,,82-72,1,B. Simmons makes free throw 1 of 2
2:29.0,,,82-73,1,B. Simmons makes free throw 2 of 2
2:22.0,D. Booker misses 2-pt shot from 6 ft,,82-73,,
2:22.0,,,82-73,,Defensive rebound by Team
2:04.0,,,82-73,,D. Saric misses 2-pt shot from 15 ft
2:02.0,Defensive rebound by A. Len,,82-73,,
1:51.0,D. Booker misses 2-pt shot from 18 ft,,82-73,,
1:47.0,Offensive rebound by D. Booker,,82-73,,
1:46.0,A. Len misses 2-pt shot from 4 ft (block by J. Embiid),,82-73,,
1:46.0,,,82-73,,Defensive rebound by B. Simmons
1:42.0,,,82-73,,T. Luwawu-Cabarrot misses 2-pt shot from 5 ft (block by D. Booker)
1:42.0,,,82-73,,Offensive rebound by Team
1:37.0,,,82-73,,D. Saric misses 3-pt shot from 26 ft
1:32.0,,,82-73,,Offensive rebound by T. Luwawu-Cabarrot
1:30.0,,,82-73,,J. Bayless misses 3-pt shot from 27 ft (block by D. Bender)
1:30.0,,,82-73,,Offensive rebound by Team
1:18.0,,,82-75,2,J. Embiid makes 2-pt shot from 6 ft
1:16.0,,,82-75,,Loose ball foul by B. Simmons (drawn by J. Jackson)
0:59.0,T. Warren misses 3-pt shot from 27 ft,,82-75,,
0:56.0,Offensive rebound by J. Jackson,,82-75,,
0:56.0,,,82-75,,Personal foul by T. Luwawu-Cabarrot (drawn by D. Booker)
0:56.0,D. Booker makes free throw 1 of 2,1,83-75,,
0:56.0,D. Booker makes free throw 2 of 2,1,84-75,,
0:38.0,,,84-77,2,J. Embiid makes 2-pt shot from 1 ft
0:32.0,,,84-77,,Personal foul by J. Bayless
0:32.0,,,84-77,,Technical foul by J. Bayless
0:32.0,D. Booker makes technical free throw,1,85-77,,
0:32.0,D. Booker makes free throw 1 of 2,1,86-77,,
0:32.0,T. Chandler enters the game for A. Len,,86-77,,
0:32.0,D. Booker misses free throw 2 of 2,,86-77,,
0:29.0,,,86-77,,Defensive rebound by D. Saric
0:14.0,,,86-77,,Shooting foul by T. Chandler (drawn by J. Embiid)
0:14.0,,,86-78,1,J. Embiid makes free throw 1 of 2
0:14.0,,,86-78,,J. Redick enters the game for J. Bayless
0:14.0,,,86-79,1,J. Embiid makes free throw 2 of 2
0:06.0,D. Booker makes 2-pt shot from 4 ft,2,88-79,,
0:06.0,Shooting foul by B. Simmons (drawn by D. Booker),,88-79,,
0:06.0,D. Booker makes free throw 1 of 1,1,89-79,,
0:01.0,,,89-79,,J. Redick misses 3-pt shot from 25 ft
0:01.0,,,89-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,T. Warren makes 2-pt shot from 21 ft (assist by D. Bender),2,91-79,,
11:27.0,,,91-79,,Turnover by T. Luwawu-Cabarrot (lost ball; steal by J. Jackson)
11:26.0,J. Jackson makes 2-pt shot from 2 ft,2,93-79,,
11:26.0,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Jackson),,93-79,,
11:26.0,J. Jackson misses free throw 1 of 1,,93-79,,
11:23.0,,,93-79,,Defensive rebound by R. Covington
11:03.0,,,93-79,,R. Covington misses 3-pt shot from 26 ft
11:02.0,,,93-79,,Offensive rebound by Team
11:02.0,Loose ball foul by T. Chandler (drawn by J. Embiid),,93-79,,
10:55.0,,,93-81,2,J. Redick makes 2-pt shot from 16 ft (assist by J. Embiid)
10:29.0,D. Bender misses 2-pt shot from 6 ft,,93-81,,
10:27.0,,,93-81,,Defensive rebound by R. Covington
10:19.0,,,93-81,,R. Covington misses 2-pt shot from 4 ft (block by D. Bender)
10:16.0,Defensive rebound by J. Jackson,,93-81,,
10:04.0,T. Ulis misses 2-pt shot from 10 ft,,93-81,,
10:01.0,,,93-81,,Defensive rebound by J. Embiid
9:56.0,,,93-81,,J. Redick misses 3-pt shot from 26 ft
9:50.0,,,93-81,,Offensive rebound by J. Embiid
9:50.0,,,93-81,,J. Embiid misses 2-pt shot at rim
9:49.0,,,93-81,,Offensive rebound by J. Bayless
9:41.0,,,93-81,,J. Embiid misses 2-pt shot from 5 ft
9:41.0,Defensive rebound by T. Warren,,93-81,,
9:22.0,J. Jackson misses 2-pt shot from 17 ft,,93-81,,
9:22.0,,,93-81,,Defensive rebound by J. Embiid
9:05.0,,,93-81,,J. Bayless misses 3-pt shot from 25 ft
8:57.0,,,93-81,,Offensive rebound by J. Embiid
8:53.0,,,93-84,3,J. Redick makes 3-pt shot from 26 ft
8:23.0,Turnover by T. Warren (lost ball; steal by R. Covington),,93-84,,
8:19.0,,,93-84,,J. Bayless misses 3-pt shot from 26 ft
8:15.0,,,93-84,,Offensive rebound by R. Covington
8:14.0,,,93-84,,B. Simmons enters the game for J. Bayless
8:14.0,,,93-84,,A. Johnson enters the game for J. Embiid
8:12.0,,,93-86,2,J. Redick makes 2-pt shot from 11 ft (assist by B. Simmons)
8:11.0,Phoenix full timeout,,93-86,,
8:11.0,D. Booker enters the game for T. Chandler,,93-86,,
8:11.0,A. Len enters the game for T. Warren,,93-86,,
8:01.0,,,93-86,,Technical foul by T. Luwawu-Cabarrot (drawn by D. Booker)
8:01.0,D. Booker makes flagrant free throw 1 of 2,1,94-86,,
8:01.0,D. Booker makes flagrant free throw 2 of 2,1,95-86,,
7:58.0,Turnover by J. Jackson (bad pass; steal by B. Simmons),,95-86,,
7:50.0,,,95-88,2,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft (assist by B. Simmons)
7:36.0,D. Booker makes 2-pt shot from 13 ft (assist by T. Ulis),2,97-88,,
7:17.0,,,97-91,3,J. Redick makes 3-pt shot from 23 ft (assist by R. Covington)
7:03.0,,,97-91,,Personal foul by T. Luwawu-Cabarrot (drawn by D. Booker)
7:03.0,,,97-91,,J. Embiid enters the game for R. Covington
7:03.0,,,97-91,,D. Saric enters the game for A. Johnson
7:03.0,M. Chriss enters the game for D. Bender,,97-91,,
7:03.0,T. Chandler enters the game for A. Len,,97-91,,
6:57.0,J. Jackson misses 2-pt shot from 2 ft,,97-91,,
6:54.0,,,97-91,,Defensive rebound by D. Saric
6:45.0,,,97-91,,B. Simmons misses 2-pt shot from 4 ft
