time,Phoenix,pts.away,score,pts.home,LA Clippers
3:26.0,Defensive rebound by M. James,,14-16,,
3:22.0,Shooting foul by W. Johnson (drawn by A. Len),,14-16,,
3:22.0,A. Len makes free throw 1 of 2,1,15-16,,
3:22.0,,,15-16,,W. Reed enters the game for D. Jordan
3:22.0,J. Jackson enters the game for T. Warren,,15-16,,
3:22.0,A. Len makes free throw 2 of 2,1,16-16,,
2:59.0,,,16-16,,Turnover by B. Griffin (bad pass; steal by M. Chriss)
2:56.0,Turnover by M. Chriss (traveling),,16-16,,
2:56.0,Phoenix full timeout,,16-16,,
2:44.0,,,16-16,,Turnover by A. Rivers (lost ball; steal by M. James)
2:42.0,Turnover by A. Len (bad pass; steal by W. Reed),,16-16,,
2:35.0,,,16-18,2,W. Reed makes 2-pt shot from 5 ft (assist by L. Williams)
2:19.0,Offensive charge foul by J. Jackson (drawn by W. Reed),,16-18,,
2:19.0,Turnover by J. Jackson (offensive foul),,16-18,,
2:19.0,,,16-18,,D. Gallinari enters the game for B. Griffin
2:00.0,,,16-18,,A. Rivers misses 3-pt shot from 26 ft
1:55.0,Defensive rebound by D. Booker,,16-18,,
1:47.0,Turnover by M. James (lost ball; steal by A. Rivers),,16-18,,
1:36.0,,,16-20,2,A. Rivers makes 2-pt shot from 1 ft (assist by W. Johnson)
1:18.0,,,16-20,,Personal foul by A. Rivers (drawn by D. Booker)
1:18.0,D. Booker makes free throw 1 of 2,1,17-20,,
1:18.0,D. Booker makes free throw 2 of 2,1,18-20,,
1:01.0,,,18-23,3,L. Williams makes 3-pt shot from 23 ft (assist by W. Johnson)
0:51.0,D. Booker misses 2-pt shot from 11 ft,,18-23,,
0:46.0,,,18-23,,Defensive rebound by W. Reed
0:38.0,,,18-23,,Turnover by L. Williams (lost ball; steal by J. Jackson)
0:33.0,M. James misses 2-pt shot from 9 ft,,18-23,,
0:27.0,,,18-23,,Defensive rebound by W. Johnson
0:26.0,,,18-23,,W. Johnson misses 3-pt shot from 24 ft
0:21.0,Defensive rebound by A. Len,,18-23,,
0:01.0,D. Booker misses 3-pt shot from 26 ft,,18-23,,
0:01.0,,,18-23,,Defensive rebound by L. Williams
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,D. Bender misses 3-pt shot from 23 ft,,18-23,,
11:42.0,Offensive rebound by A. Len,,18-23,,
11:41.0,T. Daniels makes 3-pt shot from 25 ft (assist by A. Len),3,21-23,,
11:19.0,,,21-23,,A. Rivers misses 2-pt shot from 13 ft
11:16.0,Defensive rebound by A. Len,,21-23,,
11:09.0,Turnover by J. Jackson (bad pass; steal by W. Johnson),,21-23,,
10:57.0,,,21-26,3,D. Gallinari makes 3-pt shot from 24 ft (assist by A. Rivers)
10:43.0,Turnover by T. Daniels (bad pass),,21-26,,
10:25.0,,,21-26,,W. Johnson misses 2-pt shot from 13 ft
10:24.0,Defensive rebound by Team,,21-26,,
10:24.0,,,21-26,,Loose ball foul by W. Reed (drawn by D. Bender)
10:06.0,J. Jackson misses 2-pt shot from 2 ft,,21-26,,
10:06.0,Offensive rebound by Team,,21-26,,
10:06.0,,,21-26,,Loose ball foul by W. Johnson (drawn by A. Len)
10:06.0,,,21-26,,P. Beverley enters the game for W. Johnson
10:01.0,T. Daniels makes 2-pt shot from 10 ft (assist by E. Bledsoe),2,23-26,,
9:50.0,,,23-26,,L. Williams misses 3-pt shot from 24 ft
9:47.0,,,23-26,,Offensive rebound by Team
9:47.0,,,23-26,,D. Jordan enters the game for W. Reed
9:36.0,,,23-28,2,L. Williams makes 2-pt shot from 13 ft (assist by P. Beverley)
9:36.0,,,23-28,,Shooting foul by T. Daniels (drawn by L. Williams)
9:36.0,,,23-29,1,L. Williams makes free throw 1 of 1
9:18.0,A. Len misses 2-pt shot from 18 ft,,23-29,,
9:14.0,,,23-29,,Defensive rebound by D. Gallinari
8:54.0,,,23-31,2,P. Beverley makes 2-pt shot from 1 ft
8:54.0,Phoenix full timeout,,23-31,,
8:40.0,T. Daniels misses 2-pt shot from 12 ft,,23-31,,
8:37.0,,,23-31,,Defensive rebound by D. Gallinari
8:27.0,,,23-33,2,P. Beverley makes 2-pt shot at rim
8:15.0,Turnover by D. Bender (step out of bounds),,23-33,,
8:04.0,,,23-35,2,D. Jordan makes 2-pt shot from 1 ft (assist by A. Rivers)
7:47.0,Shooting foul by D. Jordan (drawn by J. Jackson),,23-35,,
7:47.0,J. Jackson makes free throw 1 of 2,1,24-35,,
7:47.0,D. Booker enters the game for T. Daniels,,24-35,,
7:47.0,T. Warren enters the game for D. Bender,,24-35,,
7:47.0,J. Jackson makes free throw 2 of 2,1,25-35,,
7:38.0,,,25-35,,L. Williams misses 2-pt shot from 1 ft
7:36.0,Defensive rebound by A. Len,,25-35,,
7:34.0,,,25-35,,Personal foul by L. Williams (drawn by D. Booker)
7:34.0,,,25-35,,M. Teodosic enters the game for L. Williams
7:34.0,,,25-35,,B. Griffin enters the game for A. Rivers
7:16.0,J. Jackson misses 2-pt shot from 14 ft,,25-35,,
7:13.0,,,25-35,,Defensive rebound by B. Griffin
7:02.0,,,25-35,,Shooting foul by T. Warren (drawn by B. Griffin)
7:02.0,,,25-36,1,B. Griffin makes free throw 1 of 2
7:02.0,,,25-37,1,B. Griffin makes free throw 2 of 2
6:39.0,Turnover by E. Bledsoe (bad pass; steal by P. Beverley),,25-37,,
6:36.0,,,25-37,,Shooting foul by T. Warren (drawn by B. Griffin)
6:36.0,,,25-38,1,B. Griffin makes free throw 1 of 2
6:36.0,M. Chriss enters the game for T. Warren,,25-38,,
6:36.0,T. Chandler enters the game for A. Len,,25-38,,
6:36.0,,,25-39,1,B. Griffin makes free throw 2 of 2
6:23.0,M. Chriss makes 3-pt shot from 26 ft (assist by D. Booker),3,28-39,,
6:14.0,,,28-39,,Offensive charge foul by P. Beverley (drawn by M. Chriss)
6:14.0,,,28-39,,Turnover by P. Beverley (offensive foul)
5:50.0,E. Bledsoe makes 2-pt shot from 17 ft,2,30-39,,
5:39.0,Def 3 sec tech foul by T. Chandler,,30-39,,
5:39.0,,,30-40,1,D. Gallinari makes technical free throw
5:36.0,Personal foul by D. Booker (drawn by M. Teodosic),,30-40,,
5:27.0,,,30-42,2,B. Griffin makes 2-pt shot from 2 ft
5:11.0,J. Jackson makes 3-pt shot from 25 ft (assist by D. Booker),3,33-42,,
4:54.0,,,33-42,,D. Gallinari misses 2-pt shot from 13 ft
4:47.0,,,33-42,,Offensive rebound by D. Jordan
4:47.0,,,33-44,2,D. Jordan makes 2-pt shot at rim
4:32.0,D. Booker makes 2-pt shot from 5 ft,2,35-44,,
4:17.0,,,35-47,3,B. Griffin makes 3-pt shot from 25 ft (assist by M. Teodosic)
3:57.0,D. Booker misses 2-pt shot from 16 ft,,35-47,,
3:53.0,Offensive rebound by D. Booker,,35-47,,
3:51.0,D. Booker makes 2-pt shot from 11 ft,2,37-47,,
3:31.0,,,37-47,,D. Gallinari misses 3-pt shot from 24 ft
3:28.0,Defensive rebound by D. Booker,,37-47,,
3:26.0,D. Booker misses 2-pt shot from 15 ft,,37-47,,
3:22.0,,,37-47,,Defensive rebound by D. Gallinari
3:08.0,,,37-50,3,M. Teodosic makes 3-pt shot from 25 ft (assist by B. Griffin)
2:52.0,M. Chriss misses 3-pt shot from 23 ft,,37-50,,
2:49.0,,,37-50,,Defensive rebound by P. Beverley
2:40.0,,,37-50,,D. Gallinari misses 3-pt shot from 26 ft
2:35.0,Defensive rebound by T. Chandler,,37-50,,
2:34.0,D. Booker makes 2-pt shot from 2 ft (assist by J. Jackson),2,39-50,,
2:34.0,,,39-50,,LA Clippers full timeout
2:34.0,,,39-50,,A. Rivers enters the game for M. Teodosic
2:34.0,T. Warren enters the game for M. Chriss,,39-50,,
2:19.0,,,39-50,,Turnover by B. Griffin (lost ball; steal by J. Jackson)
2:06.0,Turnover by D. Booker (bad pass; steal by P. Beverley),,39-50,,
2:01.0,,,39-50,,Shooting foul by J. Jackson (drawn by B. Griffin)
2:01.0,,,39-51,1,B. Griffin makes free throw 1 of 2
2:01.0,M. Chriss enters the game for J. Jackson,,39-51,,
2:01.0,,,39-52,1,B. Griffin makes free throw 2 of 2
1:38.0,M. Chriss misses 2-pt shot from 2 ft,,39-52,,
1:33.0,Offensive rebound by T. Chandler,,39-52,,
1:33.0,T. Chandler misses 2-pt shot at rim,,39-52,,
1:33.0,Offensive rebound by T. Chandler,,39-52,,
1:28.0,T. Chandler makes 2-pt shot at rim,2,41-52,,
1:28.0,,,41-52,,Shooting foul by T. Warren (drawn by P. Beverley)
1:28.0,,,41-53,1,P. Beverley makes free throw 1 of 2
1:28.0,,,41-53,,L. Williams enters the game for D. Gallinari
1:28.0,T. Daniels enters the game for T. Warren,,41-53,,
1:28.0,,,41-53,,P. Beverley misses free throw 2 of 2
1:25.0,Defensive rebound by T. Chandler,,41-53,,
1:13.0,Shooting foul by A. Rivers (drawn by E. Bledsoe),,41-53,,
1:13.0,E. Bledsoe makes free throw 1 of 2,1,42-53,,
1:13.0,E. Bledsoe makes free throw 2 of 2,1,43-53,,
1:01.0,,,43-53,,L. Williams misses 3-pt shot from 23 ft
0:59.0,Defensive rebound by M. Chriss,,43-53,,
0:51.0,Shooting foul by B. Griffin (drawn by M. Chriss),,43-53,,
0:51.0,M. Chriss makes free throw 1 of 2,1,44-53,,
0:51.0,M. Chriss misses free throw 2 of 2,,44-53,,
0:48.0,,,44-53,,Defensive rebound by D. Jordan
0:37.0,,,44-53,,A. Rivers misses 2-pt shot from 1 ft
0:33.0,Defensive rebound by T. Chandler,,44-53,,
0:33.0,Offensive charge foul by E. Bledsoe (drawn by P. Beverley),,44-53,,
0:33.0,Turnover by E. Bledsoe (offensive foul),,44-53,,
0:28.0,,,44-55,2,P. Beverley makes 2-pt shot from 1 ft
0:04.0,E. Bledsoe misses 2-pt shot from 2 ft,,44-55,,
0:04.0,Offensive rebound by Team,,44-55,,
0:04.0,Turnover by Team (shot clock),,44-55,,
0:00.0,,,44-58,3,B. Griffin makes 3-pt shot from 26 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,D. Booker misses 3-pt shot from 25 ft,,44-58,,
11:41.0,,,44-58,,Defensive rebound by B. Griffin
11:34.0,,,44-58,,B. Griffin misses 2-pt shot from 6 ft
11:31.0,Defensive rebound by T. Warren,,44-58,,
11:26.0,J. Jackson misses 3-pt shot from 25 ft,,44-58,,
11:22.0,,,44-58,,Defensive rebound by D. Jordan
11:15.0,,,44-58,,P. Beverley misses 2-pt shot from 1 ft
11:12.0,Defensive rebound by T. Chandler,,44-58,,
11:10.0,E. Bledsoe misses 3-pt shot from 25 ft,,44-58,,
11:04.0,,,44-58,,Defensive rebound by P. Beverley
10:47.0,,,44-58,,D. Gallinari misses 2-pt shot from 10 ft
10:44.0,Defensive rebound by T. Chandler,,44-58,,
10:23.0,J. Jackson misses 3-pt shot from 27 ft,,44-58,,
10:19.0,,,44-58,,Defensive rebound by B. Griffin
10:03.0,,,44-58,,D. Jordan misses 2-pt shot from 7 ft
10:00.0,Defensive rebound by T. Warren,,44-58,,
9:47.0,J. Jackson misses 3-pt shot from 25 ft,,44-58,,
9:43.0,,,44-58,,Defensive rebound by B. Griffin
9:35.0,Personal foul by J. Jackson (drawn by D. Gallinari),,44-58,,
9:23.0,,,44-60,2,B. Griffin makes 2-pt shot from 20 ft
9:02.0,T. Warren misses 2-pt shot from 7 ft,,44-60,,
8:59.0,,,44-60,,Defensive rebound by D. Gallinari
8:56.0,,,44-60,,Turnover by D. Gallinari (bad pass; steal by J. Jackson)
8:52.0,J. Jackson misses 2-pt shot at rim (block by B. Griffin),,44-60,,
8:48.0,,,44-60,,Defensive rebound by D. Gallinari
8:40.0,,,44-60,,Shooting foul by T. Warren (drawn by B. Griffin)
8:40.0,,,44-61,1,B. Griffin makes free throw 1 of 2
8:40.0,M. Chriss enters the game for T. Warren,,44-61,,
8:40.0,,,44-62,1,B. Griffin makes free throw 2 of 2
8:29.0,Turnover by E. Bledsoe (bad pass; steal by B. Griffin),,44-62,,
8:29.0,,,44-62,,Shooting foul by M. Chriss (drawn by B. Griffin)
8:29.0,,,44-63,1,B. Griffin makes free throw 1 of 2
8:29.0,,,44-64,1,B. Griffin makes free throw 2 of 2
8:29.0,Phoenix full timeout,,44-64,,
8:12.0,J. Jackson misses 2-pt shot from 4 ft,,44-64,,
8:10.0,,,44-64,,Defensive rebound by B. Griffin
8:06.0,,,44-64,,D. Gallinari misses 3-pt shot from 24 ft
8:00.0,,,44-64,,Offensive rebound by D. Jordan
8:00.0,,,44-64,,D. Jordan misses 2-pt shot at rim
7:59.0,Defensive rebound by T. Chandler,,44-64,,
7:55.0,T. Chandler makes 2-pt shot at rim (assist by E. Bledsoe),2,46-64,,
7:39.0,,,46-64,,Shooting foul by M. Chriss (drawn by A. Rivers)
7:39.0,,,46-64,,A. Rivers misses free throw 1 of 2
7:39.0,,,46-64,,Offensive rebound by Team
7:39.0,,,46-65,1,A. Rivers makes free throw 2 of 2
7:17.0,D. Booker misses 2-pt shot from 7 ft,,46-65,,
7:14.0,,,46-65,,Defensive rebound by D. Jordan
7:01.0,,,46-68,3,P. Beverley makes 3-pt shot from 26 ft (assist by B. Griffin)
6:54.0,,,46-68,,Personal foul by P. Beverley (drawn by E. Bledsoe)
6:45.0,Turnover by E. Bledsoe (lost ball; steal by P. Beverley),,46-68,,
6:41.0,,,46-70,2,B. Griffin makes 2-pt shot from 1 ft (assist by D. Gallinari)
6:40.0,Phoenix full timeout,,46-70,,
6:40.0,A. Len enters the game for M. Chriss,,46-70,,
6:24.0,,,46-70,,Personal foul by P. Beverley (drawn by A. Len)
6:12.0,Turnover by D. Booker (bad pass; steal by P. Beverley),,46-70,,
6:07.0,,,46-72,2,D. Jordan makes 2-pt shot at rim (assist by P. Beverley)
5:55.0,,,46-72,,Personal foul by D. Gallinari (drawn by A. Len)
5:55.0,M. James enters the game for E. Bledsoe,,46-72,,
5:48.0,M. James makes 2-pt shot from 11 ft (assist by A. Len),2,48-72,,
5:42.0,,,48-72,,Turnover by P. Beverley (bad pass)
5:37.0,,,48-72,,Personal foul by A. Rivers (drawn by D. Booker)
5:26.0,A. Len makes 2-pt shot from 2 ft,2,50-72,,
5:08.0,,,50-72,,A. Rivers misses 2-pt shot from 14 ft
5:04.0,,,50-72,,Offensive rebound by A. Rivers
5:03.0,Personal foul by A. Len (drawn by B. Griffin),,50-72,,
5:03.0,,,50-72,,L. Williams enters the game for A. Rivers
5:03.0,,,50-73,1,B. Griffin makes free throw 1 of 2
5:03.0,,,50-73,,B. Griffin misses free throw 2 of 2
5:00.0,Defensive rebound by T. Chandler,,50-73,,
4:42.0,A. Len makes 2-pt shot from 1 ft (assist by M. James),2,52-73,,
4:42.0,Shooting foul by L. Williams (drawn by A. Len),,52-73,,
4:42.0,A. Len makes free throw 1 of 1,1,53-73,,
4:20.0,,,53-73,,D. Gallinari misses 3-pt shot from 26 ft
4:17.0,,,53-73,,Offensive rebound by D. Jordan
4:17.0,,,53-73,,Shooting foul by M. James (drawn by L. Williams)
4:17.0,,,53-74,1,L. Williams makes free throw 1 of 2
4:17.0,,,53-74,,L. Williams misses free throw 2 of 2
4:14.0,Defensive rebound by T. Chandler,,53-74,,
4:01.0,A. Len misses 2-pt shot from 20 ft,,53-74,,
3:56.0,,,53-74,,Defensive rebound by D. Jordan
3:51.0,,,53-76,2,D. Gallinari makes 2-pt shot at rim
3:42.0,,,53-76,,Personal foul by P. Beverley (drawn by D. Booker)
3:42.0,D. Booker makes free throw 1 of 2,1,54-76,,
3:42.0,,,54-76,,A. Rivers enters the game for P. Beverley
3:42.0,D. Booker misses free throw 2 of 2,,54-76,,
3:40.0,,,54-76,,Defensive rebound by D. Gallinari
3:27.0,,,54-78,2,B. Griffin makes 2-pt shot at rim
3:03.0,M. James misses 2-pt shot from 2 ft,,54-78,,
3:00.0,,,54-78,,Defensive rebound by D. Gallinari
2:59.0,,,54-78,,D. Gallinari misses 3-pt shot from 25 ft
2:55.0,Defensive rebound by M. James,,54-78,,
2:44.0,Shooting foul by D. Jordan (drawn by J. Jackson),,54-78,,
2:44.0,J. Jackson misses free throw 1 of 2,,54-78,,
2:44.0,Offensive rebound by Team,,54-78,,
2:44.0,,,54-78,,W. Johnson enters the game for D. Jordan
2:44.0,,,54-78,,W. Reed enters the game for D. Gallinari
2:44.0,T. Warren enters the game for T. Chandler,,54-78,,
2:44.0,J. Jackson misses free throw 2 of 2,,54-78,,
2:41.0,,,54-78,,Defensive rebound by B. Griffin
2:33.0,,,54-78,,A. Rivers misses 3-pt shot from 26 ft
2:32.0,,,54-78,,Offensive rebound by B. Griffin
2:32.0,Personal foul by J. Jackson (drawn by B. Griffin),,54-78,,
2:32.0,,,54-79,1,B. Griffin makes free throw 1 of 2
2:32.0,D. Bender enters the game for J. Jackson,,54-79,,
2:32.0,,,54-79,,B. Griffin misses free throw 2 of 2
2:29.0,Defensive rebound by A. Len,,54-79,,
2:22.0,M. James makes 2-pt shot from 1 ft,2,56-79,,
2:22.0,Shooting foul by W. Reed (drawn by M. James),,56-79,,
2:22.0,M. James makes free throw 1 of 1,1,57-79,,
2:08.0,,,57-79,,L. Williams misses 2-pt shot from 9 ft
2:00.0,,,57-79,,Offensive rebound by W. Reed
2:00.0,,,57-81,2,W. Reed makes 2-pt shot at rim
1:51.0,D. Booker misses 2-pt shot from 15 ft,,57-81,,
1:47.0,,,57-81,,Defensive rebound by W. Reed
1:44.0,,,57-81,,B. Griffin misses 2-pt shot from 2 ft
1:44.0,Defensive rebound by A. Len,,57-81,,
1:44.0,,,57-81,,Personal foul by B. Griffin (drawn by A. Len)
1:44.0,A. Len misses free throw 1 of 2,,57-81,,
1:44.0,Offensive rebound by Team,,57-81,,
1:44.0,,,57-81,,S. Dekker enters the game for B. Griffin
1:44.0,A. Len makes free throw 2 of 2,1,58-81,,
1:25.0,,,58-83,2,A. Rivers makes 2-pt shot from 1 ft
1:10.0,D. Booker makes 2-pt shot from 15 ft (assist by M. James),2,60-83,,
1:00.0,,,60-85,2,L. Williams makes 2-pt shot from 2 ft
0:52.0,A. Len makes 2-pt shot from 1 ft (assist by M. James),2,62-85,,
0:36.0,,,62-88,3,S. Dekker makes 3-pt shot from 25 ft
0:28.0,Offensive charge foul by T. Warren (drawn by W. Reed),,62-88,,
0:28.0,Turnover by T. Warren (offensive foul),,62-88,,
0:08.0,,,62-90,2,W. Reed makes 2-pt shot from 1 ft (assist by L. Williams)
0:02.0,,,62-90,,Personal block foul by W. Reed (drawn by M. James)
0:02.0,M. James makes free throw 1 of 2,1,63-90,,
0:02.0,M. James makes free throw 2 of 2,1,64-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,64-92,2,W. Reed makes 2-pt shot at rim (assist by A. Rivers)
11:20.0,M. James misses 2-pt shot from 20 ft,,64-92,,
11:17.0,,,64-92,,Defensive rebound by W. Johnson
11:10.0,,,64-94,2,W. Reed makes 2-pt shot at rim (assist by L. Williams)
11:10.0,Phoenix full timeout,,64-94,,
10:58.0,Shooting foul by W. Reed (drawn by A. Len),,64-94,,
10:58.0,A. Len makes free throw 1 of 2,1,65-94,,
10:58.0,A. Len makes free throw 2 of 2,1,66-94,,
10:44.0,,,66-96,2,L. Williams makes 2-pt shot from 8 ft (assist by S. Dekker)
10:17.0,A. Len misses 2-pt shot from 5 ft,,66-96,,
10:15.0,,,66-96,,Defensive rebound by S. Dekker
10:13.0,,,66-96,,Turnover by A. Rivers (out of bounds lost ball)
9:54.0,T. Warren makes 2-pt shot from 13 ft,2,68-96,,
9:32.0,,,68-96,,S. Dekker misses 2-pt shot from 2 ft (block by A. Len)
9:28.0,,,68-96,,Offensive rebound by W. Reed
9:25.0,,,68-96,,L. Williams misses 3-pt shot from 30 ft
9:20.0,Defensive rebound by D. Bender,,68-96,,
9:14.0,Turnover by D. Bender (bad pass; steal by W. Johnson),,68-96,,
9:04.0,,,68-98,2,L. Williams makes 2-pt shot from 6 ft (assist by A. Rivers)
8:51.0,T. Warren makes 2-pt shot from 11 ft (assist by D. Bender),2,70-98,,
8:34.0,,,70-100,2,W. Reed makes 2-pt shot from 5 ft (assist by L. Williams)
8:22.0,Shooting foul by A. Rivers (drawn by T. Warren),,70-100,,
8:22.0,T. Warren misses free throw 1 of 2,,70-100,,
8:22.0,Offensive rebound by Team,,70-100,,
8:22.0,T. Warren makes free throw 2 of 2,1,71-100,,
8:05.0,,,71-102,2,W. Johnson makes 2-pt shot from 22 ft (assist by L. Williams)
7:55.0,T. Daniels misses 3-pt shot from 27 ft,,71-102,,
7:53.0,,,71-102,,Defensive rebound by W. Johnson
7:49.0,,,71-102,,Shooting foul by T. Warren (drawn by W. Johnson)
7:49.0,J. Jackson enters the game for T. Warren,,71-102,,
7:49.0,,,71-102,,W. Johnson misses free throw 1 of 2
7:49.0,,,71-102,,Offensive rebound by Team
7:49.0,T. Ulis enters the game for T. Daniels,,71-102,,
7:49.0,,,71-103,1,W. Johnson makes free throw 2 of 2
7:29.0,Shooting foul by W. Johnson (drawn by J. Jackson),,71-103,,
7:29.0,J. Jackson misses free throw 1 of 2,,71-103,,
7:29.0,Offensive rebound by Team,,71-103,,
7:29.0,,,71-103,,M. Harrell enters the game for W. Reed
7:29.0,J. Jackson makes free throw 2 of 2,1,72-103,,
7:20.0,,,72-103,,Shooting foul by M. James (drawn by A. Rivers)
7:20.0,,,72-103,,A. Rivers misses free throw 1 of 2
7:20.0,,,72-103,,Offensive rebound by Team
7:20.0,,,72-103,,A. Rivers misses free throw 2 of 2
7:15.0,,,72-103,,Offensive rebound by S. Dekker
7:15.0,,,72-103,,S. Dekker misses 2-pt shot at rim
7:14.0,Defensive rebound by A. Len,,72-103,,
7:09.0,J. Jackson makes 3-pt shot from 25 ft (assist by M. James),3,75-103,,
6:52.0,,,75-103,,S. Dekker misses 3-pt shot from 25 ft
6:50.0,Defensive rebound by J. Jackson,,75-103,,
6:38.0,,,75-103,,Personal foul by S. Dekker (drawn by T. Ulis)
6:38.0,,,75-103,,S. Thornwell enters the game for W. Johnson
6:25.0,Shooting foul by L. Williams (drawn by T. Ulis),,75-103,,
6:25.0,T. Ulis makes free throw 1 of 2,1,76-103,,
6:25.0,T. Ulis makes free throw 2 of 2,1,77-103,,
6:10.0,Personal foul by J. Jackson (drawn by M. Harrell),,77-103,,
6:10.0,,,77-103,,B. Johnson enters the game for A. Rivers
6:10.0,D. Jones enters the game for J. Jackson,,77-103,,
6:08.0,Personal block foul by T. Ulis (drawn by L. Williams),,77-103,,
