time,Denver,pts.away,score,pts.home,Charlotte
1:13.0,E. Mudiay misses 2-pt shot from 2 ft,,17-25,,
1:13.0,Offensive rebound by Team,,17-25,,
1:13.0,,,17-25,,Loose ball foul by T. Graham (drawn by M. Plumlee)
1:13.0,M. Plumlee misses free throw 2 of 2,,17-25,,
1:13.0,,,17-25,,Defensive rebound by M. Monk
1:13.0,M. Plumlee makes free throw 1 of 2,1,18-25,,
0:53.0,,,18-25,,J. O'Bryant misses 2-pt shot from 13 ft
0:49.0,Defensive rebound by W. Barton,,18-25,,
0:45.0,W. Barton makes 2-pt shot from 1 ft,2,20-25,,
0:38.0,,,20-25,,F. Kaminsky misses 2-pt shot from 1 ft
0:38.0,Defensive rebound by N. Jokic,,20-25,,
0:29.0,E. Mudiay misses 2-pt shot from 17 ft,,20-25,,
0:29.0,,,20-25,,Defensive rebound by D. Bacon
0:10.0,Personal foul by E. Mudiay (drawn by J. O'Bryant),,20-25,,
0:06.0,,,20-27,2,M. Monk makes 2-pt shot from 1 ft
0:00.0,N. Jokic makes 3-pt shot from 31 ft (assist by E. Mudiay),3,23-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,W. Barton misses 2-pt shot from 1 ft,,23-27,,
11:36.0,,,23-27,,Defensive rebound by J. O'Bryant
11:31.0,,,23-27,,M. Monk misses 3-pt shot from 25 ft
11:29.0,,,23-27,,Offensive rebound by Team
11:26.0,Jump ball: T. Graham vs. K. Faried,,,,Jump ball: T. Graham vs. K. Faried
11:23.0,,,23-27,,F. Kaminsky misses 3-pt shot from 26 ft
11:19.0,Defensive rebound by E. Mudiay,,23-27,,
11:13.0,E. Mudiay misses 2-pt shot from 3 ft,,23-27,,
11:13.0,,,23-27,,Defensive rebound by Team
11:05.0,Violation by W. Barton (kicked ball),,23-27,,
10:58.0,,,23-29,2,M. Monk makes 2-pt shot from 18 ft (assist by J. O'Bryant)
10:44.0,W. Barton misses 3-pt shot from 25 ft,,23-29,,
10:42.0,,,23-29,,Defensive rebound by Team
10:27.0,,,23-31,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by D. Bacon)
10:23.0,Denver full timeout,,23-31,,
10:08.0,N. Jokic misses 2-pt shot from 9 ft,,23-31,,
10:05.0,,,23-31,,Defensive rebound by T. Graham
9:58.0,,,23-31,,J. O'Bryant misses 3-pt shot from 25 ft
9:54.0,Defensive rebound by W. Barton,,23-31,,
9:47.0,E. Mudiay misses 3-pt shot from 26 ft,,23-31,,
9:42.0,,,23-31,,Defensive rebound by D. Bacon
9:35.0,,,23-33,2,D. Bacon makes 2-pt shot from 14 ft
9:31.0,Turnover by E. Mudiay (bad pass),,23-33,,
9:31.0,,,23-33,,Charlotte full timeout
9:31.0,,,23-33,,J. Lamb enters the game for T. Graham
9:19.0,,,23-35,2,F. Kaminsky makes 2-pt shot from 2 ft
9:06.0,N. Jokic makes 2-pt shot at rim (assist by W. Barton),2,25-35,,
9:06.0,Shooting foul by D. Bacon (drawn by N. Jokic),,25-35,,
9:06.0,N. Jokic makes free throw 1 of 1,1,26-35,,
8:56.0,,,26-35,,Turnover by J. O'Bryant (traveling)
8:48.0,W. Barton misses 2-pt shot from 13 ft,,26-35,,
8:45.0,Offensive rebound by K. Faried,,26-35,,
8:41.0,E. Mudiay misses 2-pt shot from 14 ft,,26-35,,
8:40.0,Offensive rebound by E. Mudiay,,26-35,,
8:39.0,E. Mudiay misses 2-pt shot at rim (block by D. Bacon),,26-35,,
8:33.0,,,26-35,,Defensive rebound by D. Bacon
8:27.0,,,26-38,3,M. Monk makes 3-pt shot from 26 ft
8:17.0,,,26-38,,Personal foul by M. Monk (drawn by E. Mudiay)
8:17.0,,,26-38,,K. Walker enters the game for D. Bacon
8:17.0,P. Millsap enters the game for E. Mudiay,,26-38,,
8:17.0,J. Murray enters the game for K. Faried,,26-38,,
8:05.0,P. Millsap misses 3-pt shot from 23 ft,,26-38,,
8:01.0,Offensive rebound by J. Murray,,26-38,,
7:59.0,M. Beasley misses 3-pt shot from 25 ft,,26-38,,
7:50.0,Offensive rebound by M. Beasley,,26-38,,
7:47.0,,,26-38,,Personal foul by F. Kaminsky (drawn by N. Jokic)
7:42.0,J. Murray misses 3-pt shot from 25 ft,,26-38,,
7:38.0,,,26-38,,Defensive rebound by F. Kaminsky
7:27.0,,,26-41,3,F. Kaminsky makes 3-pt shot from 27 ft (assist by J. Lamb)
7:14.0,J. Murray makes 2-pt shot from 8 ft,2,28-41,,
6:54.0,,,28-43,2,F. Kaminsky makes 2-pt shot from 12 ft
6:42.0,N. Jokic makes 2-pt shot from 10 ft (assist by J. Murray),2,30-43,,
6:27.0,,,30-46,3,M. Monk makes 3-pt shot from 25 ft (assist by F. Kaminsky)
6:16.0,J. Murray misses 2-pt shot from 15 ft,,30-46,,
6:10.0,Offensive rebound by N. Jokic,,30-46,,
6:07.0,J. Murray misses 2-pt shot from 10 ft,,30-46,,
6:05.0,Offensive rebound by N. Jokic,,30-46,,
6:03.0,M. Beasley makes 2-pt shot from 1 ft (assist by J. Murray),2,32-46,,
5:46.0,,,32-46,,J. O'Bryant misses 3-pt shot from 22 ft
5:41.0,,,32-46,,Offensive rebound by F. Kaminsky
5:38.0,,,32-46,,M. Monk misses 3-pt shot from 25 ft
5:36.0,Defensive rebound by W. Barton,,32-46,,
5:31.0,W. Barton misses 3-pt shot from 25 ft,,32-46,,
5:29.0,,,32-46,,Defensive rebound by M. Monk
5:29.0,Personal foul by W. Barton (drawn by M. Monk),,32-46,,
5:29.0,,,32-46,,D. Howard enters the game for J. O'Bryant
5:29.0,M. Plumlee enters the game for W. Barton,,32-46,,
5:29.0,G. Harris enters the game for N. Jokic,,32-46,,
5:29.0,W. Chandler enters the game for M. Beasley,,32-46,,
5:08.0,,,32-46,,Turnover by K. Walker (bad pass; steal by M. Plumlee)
5:02.0,W. Chandler misses 3-pt shot from 23 ft,,32-46,,
5:02.0,Offensive rebound by Team,,32-46,,
4:53.0,G. Harris misses 2-pt shot from 17 ft,,32-46,,
4:48.0,Offensive rebound by J. Murray,,32-46,,
4:42.0,M. Plumlee misses 2-pt shot from 13 ft,,32-46,,
4:38.0,,,32-46,,Defensive rebound by D. Howard
4:25.0,,,32-48,2,J. Lamb makes 2-pt shot from 14 ft
4:00.0,Turnover by Team (shot clock),,32-48,,
4:00.0,,,32-48,,M. Williams enters the game for M. Monk
4:00.0,,,32-48,,D. Bacon enters the game for F. Kaminsky
3:51.0,,,32-48,,Shooting foul by W. Chandler (drawn by D. Howard)
3:51.0,,,32-49,1,D. Howard makes free throw 1 of 2
3:51.0,N. Jokic enters the game for M. Plumlee,,32-49,,
3:51.0,,,32-49,,D. Howard misses free throw 2 of 2
3:48.0,Defensive rebound by W. Chandler,,32-49,,
3:35.0,P. Millsap misses 2-pt shot from 8 ft (block by J. Lamb),,32-49,,
3:35.0,Offensive rebound by Team,,32-49,,
3:30.0,P. Millsap makes 2-pt shot from 2 ft (assist by J. Murray),2,34-49,,
3:15.0,,,34-49,,Turnover by D. Howard (bad pass; steal by J. Murray)
3:08.0,G. Harris makes 3-pt shot from 23 ft (assist by W. Chandler),3,37-49,,
2:42.0,,,37-51,2,K. Walker makes 2-pt shot from 12 ft
2:29.0,G. Harris misses 2-pt shot from 12 ft,,37-51,,
2:26.0,Offensive rebound by N. Jokic,,37-51,,
2:22.0,J. Murray misses 3-pt shot from 22 ft,,37-51,,
2:19.0,,,37-51,,Defensive rebound by M. Williams
2:07.0,,,37-54,3,J. Lamb makes 3-pt shot from 25 ft (assist by K. Walker)
1:50.0,J. Murray misses 2-pt shot from 19 ft,,37-54,,
1:47.0,,,37-54,,Defensive rebound by D. Howard
1:42.0,,,37-56,2,M. Williams makes 2-pt shot from 1 ft (assist by J. Lamb)
1:41.0,Denver full timeout,,37-56,,
1:41.0,,,37-56,,F. Kaminsky enters the game for D. Howard
1:27.0,Turnover by J. Murray (traveling),,37-56,,
1:10.0,,,37-59,3,D. Bacon makes 3-pt shot from 22 ft (assist by F. Kaminsky)
0:59.0,G. Harris misses 3-pt shot from 27 ft,,37-59,,
0:56.0,,,37-59,,Defensive rebound by K. Walker
0:56.0,Personal foul by G. Harris (drawn by K. Walker),,37-59,,
0:48.0,,,37-62,3,F. Kaminsky makes 3-pt shot from 26 ft (assist by K. Walker)
0:32.0,Turnover by G. Harris (traveling),,37-62,,
0:14.0,,,37-62,,J. Lamb misses 3-pt shot from 24 ft
0:10.0,Defensive rebound by W. Chandler,,37-62,,
0:03.0,G. Harris misses 2-pt shot at rim,,37-62,,
0:02.0,Offensive rebound by G. Harris,,37-62,,
0:02.0,G. Harris makes 2-pt shot at rim,2,39-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,N. Jokic makes 2-pt shot from 7 ft (assist by W. Chandler),2,41-62,,
11:25.0,,,41-62,,M. Kidd-Gilchrist misses 2-pt shot from 21 ft
11:23.0,Defensive rebound by P. Millsap,,41-62,,
11:23.0,,,41-62,,Loose ball foul by D. Howard (drawn by N. Jokic)
11:03.0,Turnover by N. Jokic (traveling),,41-62,,
10:53.0,,,41-62,,Shooting foul by N. Jokic (drawn by D. Howard)
10:53.0,,,41-63,1,D. Howard makes free throw 1 of 2
10:53.0,,,41-64,1,D. Howard makes free throw 2 of 2
10:41.0,,,41-64,,Personal foul by M. Williams (drawn by P. Millsap)
10:38.0,G. Harris misses 2-pt shot from 8 ft,,41-64,,
10:35.0,,,41-64,,Defensive rebound by D. Howard
10:25.0,Personal foul by J. Murray (drawn by M. Kidd-Gilchrist),,41-64,,
10:16.0,,,41-67,3,J. Lamb makes 3-pt shot from 24 ft
9:59.0,G. Harris makes 2-pt shot from 12 ft,2,43-67,,
9:34.0,,,43-67,,Shooting foul by J. Murray (drawn by J. Lamb)
9:34.0,,,43-68,1,J. Lamb makes free throw 1 of 2
9:34.0,,,43-69,1,J. Lamb makes free throw 2 of 2
9:19.0,N. Jokic makes 2-pt shot from 9 ft,2,45-69,,
9:07.0,,,45-69,,Turnover by D. Howard (turnover)
8:56.0,G. Harris misses 3-pt shot from 28 ft,,45-69,,
8:52.0,,,45-69,,Defensive rebound by D. Howard
8:48.0,,,45-69,,Shooting foul by N. Jokic (drawn by D. Howard)
8:48.0,,,45-69,,D. Howard misses free throw 1 of 2
8:48.0,,,45-69,,Offensive rebound by Team
8:48.0,,,45-70,1,D. Howard makes free throw 2 of 2
8:30.0,P. Millsap misses 3-pt shot from 26 ft,,45-70,,
8:27.0,,,45-70,,Defensive rebound by J. Lamb
8:24.0,,,45-72,2,M. Williams makes 2-pt shot from 1 ft (assist by J. Lamb)
8:05.0,N. Jokic misses 2-pt shot from 1 ft,,45-72,,
8:00.0,Offensive rebound by N. Jokic,,45-72,,
8:00.0,N. Jokic makes 2-pt shot at rim,2,47-72,,
7:52.0,,,47-72,,K. Walker misses 2-pt shot from 19 ft
7:49.0,Defensive rebound by G. Harris,,47-72,,
7:41.0,W. Chandler misses 2-pt shot from 2 ft,,47-72,,
7:38.0,Offensive rebound by W. Chandler,,47-72,,
7:36.0,G. Harris makes 3-pt shot from 26 ft (assist by W. Chandler),3,50-72,,
7:22.0,,,50-74,2,M. Kidd-Gilchrist makes 2-pt shot from 17 ft (assist by J. Lamb)
6:58.0,N. Jokic misses 2-pt shot from 12 ft,,50-74,,
6:55.0,,,50-74,,Defensive rebound by D. Howard
6:46.0,,,50-74,,M. Williams misses 3-pt shot from 23 ft
6:43.0,Defensive rebound by N. Jokic,,50-74,,
6:37.0,W. Chandler misses 3-pt shot from 24 ft,,50-74,,
6:37.0,,,50-74,,Defensive rebound by Team
6:37.0,,,50-74,,Charlotte full timeout
6:19.0,,,50-74,,M. Kidd-Gilchrist misses 3-pt shot from 23 ft
6:16.0,,,50-74,,Offensive rebound by M. Williams
6:14.0,,,50-74,,Turnover by M. Williams (bad pass; steal by G. Harris)
6:11.0,Turnover by W. Chandler (bad pass),,50-74,,
5:56.0,,,50-74,,D. Bacon enters the game for M. Kidd-Gilchrist
5:49.0,,,50-74,,D. Howard misses 2-pt shot from 1 ft
5:44.0,Defensive rebound by W. Chandler,,50-74,,
5:40.0,W. Chandler makes 2-pt shot from 19 ft,2,52-74,,
5:09.0,,,52-76,2,D. Howard makes 2-pt shot from 2 ft (assist by J. Lamb)
4:59.0,N. Jokic makes 2-pt shot from 20 ft (assist by J. Murray),2,54-76,,
4:43.0,,,54-76,,Shooting foul by W. Chandler (drawn by D. Howard)
4:43.0,,,54-76,,D. Howard misses free throw 1 of 2
4:43.0,,,54-76,,Offensive rebound by Team
4:43.0,,,54-76,,F. Kaminsky enters the game for M. Williams
4:43.0,M. Plumlee enters the game for P. Millsap,,54-76,,
4:43.0,W. Barton enters the game for J. Murray,,54-76,,
4:43.0,,,54-77,1,D. Howard makes free throw 2 of 2
4:23.0,G. Harris misses 2-pt shot from 9 ft,,54-77,,
4:19.0,Offensive rebound by M. Plumlee,,54-77,,
4:19.0,M. Plumlee makes 2-pt shot at rim,2,56-77,,
4:11.0,,,56-77,,Turnover by D. Howard (turnover)
3:57.0,W. Barton misses 2-pt shot from 5 ft,,56-77,,
3:55.0,,,56-77,,Defensive rebound by J. Lamb
3:52.0,,,56-77,,K. Walker misses 2-pt shot at rim
3:48.0,Defensive rebound by N. Jokic,,56-77,,
3:48.0,Turnover by G. Harris (lost ball; steal by J. Lamb),,56-77,,
3:48.0,Personal foul by G. Harris (drawn by J. Lamb),,56-77,,
3:48.0,,,56-78,1,J. Lamb makes free throw 1 of 2
3:48.0,,,56-78,,M. Monk enters the game for K. Walker
3:48.0,J. Murray enters the game for N. Jokic,,56-78,,
3:48.0,,,56-79,1,J. Lamb makes free throw 2 of 2
3:34.0,M. Plumlee makes 2-pt shot from 3 ft (assist by G. Harris),2,58-79,,
3:21.0,,,58-79,,D. Howard misses 2-pt shot at rim
3:21.0,,,58-79,,Offensive rebound by D. Howard
3:21.0,,,58-79,,Shooting foul by M. Plumlee (drawn by D. Howard)
3:21.0,,,58-79,,D. Howard misses free throw 1 of 2
3:21.0,,,58-79,,Offensive rebound by Team
3:21.0,,,58-80,1,D. Howard makes free throw 2 of 2
3:10.0,W. Chandler misses 2-pt shot from 5 ft,,58-80,,
3:06.0,,,58-80,,Defensive rebound by D. Howard
2:56.0,,,58-83,3,M. Monk makes 3-pt shot from 26 ft (assist by D. Bacon)
2:39.0,W. Barton misses 2-pt shot from 3 ft (block by D. Howard),,58-83,,
2:35.0,,,58-83,,Defensive rebound by D. Howard
2:28.0,,,58-83,,Turnover by J. Lamb (bad pass; steal by M. Plumlee)
2:25.0,G. Harris makes 2-pt shot at rim (assist by W. Barton),2,60-83,,
2:09.0,,,60-83,,Turnover by D. Howard (lost ball; steal by M. Plumlee)
2:06.0,Shooting foul by J. Lamb (drawn by J. Murray),,60-83,,
2:06.0,Denver full timeout,,60-83,,
2:06.0,,,60-83,,T. Graham enters the game for J. Lamb
2:06.0,J. Murray makes free throw 1 of 2,1,61-83,,
2:06.0,J. Murray makes free throw 2 of 2,1,62-83,,
1:51.0,,,62-83,,Turnover by M. Monk (bad pass; steal by W. Barton)
1:33.0,J. Murray misses 2-pt shot from 12 ft,,62-83,,
1:28.0,Offensive rebound by W. Barton,,62-83,,
1:27.0,G. Harris makes 3-pt shot from 25 ft (assist by W. Barton),3,65-83,,
1:10.0,,,65-85,2,F. Kaminsky makes 2-pt shot from 15 ft
0:58.0,,,65-85,,Personal foul by D. Bacon (drawn by G. Harris)
0:58.0,E. Mudiay enters the game for J. Murray,,65-85,,
0:53.0,Shooting foul by D. Howard (drawn by W. Barton),,65-85,,
0:53.0,W. Barton misses free throw 1 of 2,,65-85,,
0:53.0,Offensive rebound by Team,,65-85,,
0:53.0,,,65-85,,J. O'Bryant enters the game for D. Howard
0:53.0,W. Barton misses free throw 2 of 2,,65-85,,
0:51.0,,,65-85,,Defensive rebound by F. Kaminsky
0:37.0,,,65-85,,T. Graham misses 2-pt shot from 17 ft
0:33.0,Defensive rebound by M. Plumlee,,65-85,,
0:29.0,W. Barton misses 2-pt shot from 1 ft,,65-85,,
0:27.0,,,65-85,,Defensive rebound by T. Graham
0:08.0,,,65-85,,M. Monk misses 2-pt shot from 19 ft
0:05.0,Defensive rebound by W. Barton,,65-85,,
0:00.0,G. Harris makes 3-pt shot from 31 ft (assist by W. Barton),3,68-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Personal foul by W. Chandler (drawn by M. Monk),,68-85,,
11:40.0,,,68-85,,F. Kaminsky misses 3-pt shot from 24 ft
11:38.0,Defensive rebound by Team,,68-85,,
11:24.0,W. Chandler makes 2-pt shot at rim,2,70-85,,
11:12.0,Personal foul by W. Barton (drawn by F. Kaminsky),,70-85,,
11:04.0,,,70-85,,F. Kaminsky misses 2-pt shot from 7 ft (block by W. Chandler)
11:00.0,Defensive rebound by M. Plumlee,,70-85,,
10:56.0,W. Barton makes 2-pt shot from 2 ft,2,72-85,,
10:56.0,,,72-85,,Charlotte full timeout
10:56.0,,,72-85,,K. Walker enters the game for D. Bacon
10:38.0,,,72-87,2,K. Walker makes 2-pt shot from 19 ft
10:23.0,W. Barton makes 2-pt shot from 2 ft,2,74-87,,
9:58.0,,,74-87,,Turnover by F. Kaminsky (traveling)
9:50.0,Offensive charge foul by M. Plumlee (drawn by J. O'Bryant),,74-87,,
9:50.0,Turnover by M. Plumlee (offensive foul),,74-87,,
9:40.0,,,74-87,,K. Walker misses 2-pt shot from 2 ft
9:38.0,Defensive rebound by M. Plumlee,,74-87,,
9:35.0,E. Mudiay misses 3-pt shot from 23 ft,,74-87,,
9:31.0,,,74-87,,Defensive rebound by K. Walker
9:23.0,,,74-90,3,K. Walker makes 3-pt shot from 25 ft
9:12.0,M. Plumlee makes 2-pt shot from 2 ft (assist by W. Chandler),2,76-90,,
9:12.0,Shooting foul by F. Kaminsky (drawn by M. Plumlee),,76-90,,
9:12.0,M. Plumlee misses free throw 1 of 1,,76-90,,
9:09.0,,,76-90,,Defensive rebound by F. Kaminsky
9:00.0,,,76-90,,M. Monk misses 3-pt shot from 25 ft
8:54.0,Defensive rebound by W. Barton,,76-90,,
8:47.0,W. Chandler makes 3-pt shot from 25 ft (assist by W. Barton),3,79-90,,
8:30.0,,,79-92,2,F. Kaminsky makes 2-pt shot from 3 ft
8:18.0,Turnover by E. Mudiay (bad pass; steal by M. Monk),,79-92,,
8:12.0,,,79-94,2,M. Monk makes 2-pt shot from 20 ft
8:12.0,Denver full timeout,,79-94,,
8:01.0,W. Chandler misses 2-pt shot from 18 ft,,79-94,,
7:59.0,,,79-94,,Defensive rebound by K. Walker
7:45.0,,,79-94,,M. Monk misses 3-pt shot from 24 ft
7:42.0,Defensive rebound by M. Plumlee,,79-94,,
7:31.0,W. Chandler misses 2-pt shot from 8 ft,,79-94,,
7:28.0,Offensive rebound by E. Mudiay,,79-94,,
7:28.0,Shooting foul by J. O'Bryant (drawn by E. Mudiay),,79-94,,
7:28.0,E. Mudiay makes free throw 1 of 2,1,80-94,,
7:28.0,,,80-94,,D. Howard enters the game for J. O'Bryant
7:28.0,G. Harris enters the game for M. Beasley,,80-94,,
7:28.0,E. Mudiay makes free throw 2 of 2,1,81-94,,
7:20.0,,,81-94,,Shooting foul by W. Barton (drawn by K. Walker)
7:20.0,,,81-95,1,K. Walker makes free throw 1 of 3
7:20.0,,,81-96,1,K. Walker makes free throw 2 of 3
7:20.0,N. Jokic enters the game for W. Chandler,,81-96,,
7:20.0,P. Millsap enters the game for M. Plumlee,,81-96,,
7:20.0,,,81-97,1,K. Walker makes free throw 3 of 3
7:01.0,E. Mudiay misses 2-pt shot from 3 ft (block by D. Howard),,81-97,,
6:57.0,,,81-97,,Defensive rebound by D. Howard
6:50.0,Personal foul by E. Mudiay (drawn by D. Howard),,81-97,,
6:50.0,J. Murray enters the game for E. Mudiay,,81-97,,
6:46.0,,,81-97,,T. Graham misses 2-pt shot from 2 ft
6:43.0,Defensive rebound by W. Barton,,81-97,,
6:34.0,J. Murray misses 2-pt shot from 13 ft,,81-97,,
6:32.0,,,81-97,,Defensive rebound by K. Walker
6:32.0,Personal foul by W. Barton (drawn by K. Walker),,81-97,,
6:32.0,,,81-98,1,K. Walker makes free throw 1 of 2
6:32.0,,,81-98,,M. Williams enters the game for T. Graham
6:32.0,,,81-99,1,K. Walker makes free throw 2 of 2
6:19.0,G. Harris misses 3-pt shot from 23 ft,,81-99,,
6:13.0,Offensive rebound by J. Murray,,81-99,,
6:13.0,J. Murray makes 2-pt shot at rim,2,83-99,,
6:05.0,Violation by P. Millsap (kicked ball),,83-99,,
6:02.0,,,83-101,2,D. Howard makes 2-pt shot from 1 ft (assist by F. Kaminsky)
6:02.0,,,83-101,,Shooting foul by N. Jokic (drawn by D. Howard)
6:02.0,,,83-102,1,D. Howard makes free throw 1 of 1
5:55.0,J. Murray misses 3-pt shot from 26 ft,,83-102,,
5:51.0,,,83-102,,Defensive rebound by D. Howard
5:42.0,,,83-102,,F. Kaminsky misses 3-pt shot from 25 ft
5:38.0,,,83-102,,Offensive rebound by M. Williams
5:37.0,,,83-102,,K. Walker misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by N. Jokic,,83-102,,
5:29.0,Turnover by P. Millsap (lost ball; steal by M. Williams),,83-102,,
5:16.0,,,83-102,,F. Kaminsky misses 2-pt shot from 11 ft
5:13.0,Defensive rebound by N. Jokic,,83-102,,
5:02.0,P. Millsap misses 3-pt shot from 23 ft,,83-102,,
4:59.0,,,83-102,,Defensive rebound by M. Williams
