time,Portland,pts.away,score,pts.home,Minnesota
5:17.0,,,41-40,2,J. Teague makes 2-pt shot from 6 ft
5:01.0,J. Nurkic misses 2-pt shot from 2 ft,,41-40,,
4:59.0,,,41-40,,Defensive rebound by K. Towns
4:52.0,,,41-40,,K. Towns misses 2-pt shot from 1 ft
4:49.0,,,41-40,,Offensive rebound by T. Gibson
4:49.0,,,41-42,2,T. Gibson makes 2-pt shot from 2 ft
4:49.0,Portland full timeout,,41-42,,
4:29.0,E. Turner makes 3-pt shot from 25 ft (assist by D. Lillard),3,44-42,,
4:06.0,,,44-42,,J. Teague misses 2-pt shot from 6 ft (block by J. Nurkic)
4:06.0,,,44-42,,Offensive rebound by Team
4:03.0,,,44-42,,J. Butler misses 3-pt shot from 22 ft (block by E. Turner)
4:03.0,,,44-42,,Offensive rebound by Team
4:02.0,,,44-44,2,A. Wiggins makes 2-pt shot from 2 ft (assist by J. Butler)
3:40.0,S. Napier makes 2-pt shot from 20 ft,2,46-44,,
3:16.0,,,46-44,,A. Wiggins misses 2-pt shot from 7 ft
3:13.0,Defensive rebound by D. Lillard,,46-44,,
3:06.0,J. Nurkic misses 2-pt shot from 7 ft,,46-44,,
3:04.0,,,46-44,,Defensive rebound by T. Gibson
2:53.0,,,46-47,3,J. Teague makes 3-pt shot from 25 ft
2:33.0,S. Napier makes 3-pt shot from 24 ft (assist by E. Turner),3,49-47,,
2:19.0,,,49-49,2,J. Teague makes 2-pt shot from 4 ft
2:08.0,Turnover by D. Lillard (bad pass; steal by K. Towns),,49-49,,
2:01.0,,,49-49,,J. Teague misses 2-pt shot from 4 ft
1:59.0,Defensive rebound by D. Lillard,,49-49,,
1:57.0,Turnover by D. Lillard (bad pass; steal by J. Butler),,49-49,,
1:53.0,,,49-49,,J. Teague misses 3-pt shot from 23 ft
1:50.0,Defensive rebound by A. Aminu,,49-49,,
1:34.0,Turnover by D. Lillard (bad pass),,49-49,,
1:34.0,C. McCollum enters the game for S. Napier,,49-49,,
1:23.0,,,49-51,2,J. Butler makes 2-pt shot from 7 ft (assist by K. Towns)
1:04.0,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard),2,51-51,,
0:46.0,,,51-51,,K. Towns misses 2-pt shot from 4 ft
0:44.0,Defensive rebound by J. Nurkic,,51-51,,
0:37.0,D. Lillard makes 3-pt shot from 25 ft,3,54-51,,
0:25.0,,,54-51,,J. Butler misses 2-pt shot from 6 ft (block by J. Nurkic)
0:22.0,Defensive rebound by J. Nurkic,,54-51,,
0:06.0,,,54-51,,Personal take foul by J. Teague (drawn by D. Lillard)
0:06.0,S. Napier enters the game for E. Turner,,54-51,,
0:00.0,S. Napier misses 2-pt shot from 7 ft,,54-51,,
0:00.0,,,54-51,,Defensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,54-54,3,K. Towns makes 3-pt shot from 24 ft (assist by J. Butler)
11:23.0,D. Lillard makes 2-pt shot from 20 ft (assist by C. McCollum),2,56-54,,
11:07.0,,,56-56,2,J. Teague makes 2-pt shot from 19 ft
10:56.0,J. Nurkic makes 2-pt shot from 8 ft (assist by D. Lillard),2,58-56,,
10:41.0,,,58-56,,K. Towns misses 3-pt shot from 25 ft
10:37.0,,,58-56,,Offensive rebound by A. Wiggins
10:37.0,,,58-58,2,A. Wiggins makes 2-pt shot at rim
10:20.0,J. Nurkic makes 2-pt shot from 1 ft (assist by C. McCollum),2,60-58,,
10:06.0,,,60-58,,T. Gibson misses 2-pt shot from 16 ft
10:04.0,,,60-58,,Offensive rebound by K. Towns
10:03.0,,,60-58,,K. Towns misses 2-pt shot from 1 ft (block by J. Nurkic)
10:03.0,Defensive rebound by D. Lillard,,60-58,,
9:55.0,D. Lillard makes 2-pt shot from 1 ft,2,62-58,,
9:36.0,,,62-60,2,J. Butler makes 2-pt shot from 16 ft
9:19.0,C. McCollum misses 3-pt shot from 24 ft,,62-60,,
9:17.0,,,62-60,,Defensive rebound by Team
9:05.0,,,62-62,2,J. Butler makes 2-pt shot from 1 ft
8:52.0,D. Lillard misses 3-pt shot from 25 ft,,62-62,,
8:49.0,,,62-62,,Defensive rebound by J. Butler
8:43.0,,,62-64,2,J. Butler makes 2-pt shot from 5 ft (assist by J. Teague)
8:21.0,C. McCollum makes 2-pt shot from 1 ft,2,64-64,,
8:15.0,,,64-64,,A. Wiggins misses 2-pt shot from 20 ft
8:13.0,Defensive rebound by D. Lillard,,64-64,,
8:07.0,D. Lillard makes 2-pt shot from 1 ft,2,66-64,,
7:56.0,Shooting block foul by D. Lillard (drawn by J. Butler),,66-64,,
7:56.0,,,66-65,1,J. Butler makes free throw 2 of 2
7:56.0,,,66-66,1,J. Butler makes free throw 1 of 2
7:38.0,Shooting foul by J. Teague (drawn by J. Nurkic),,66-66,,
7:38.0,J. Nurkic makes free throw 1 of 2,1,67-66,,
7:38.0,J. Nurkic makes free throw 2 of 2,1,68-66,,
7:32.0,,,68-66,,Turnover by J. Teague (bad pass; steal by E. Turner)
7:24.0,,,68-66,,Personal foul by T. Gibson (drawn by A. Aminu)
7:14.0,A. Aminu misses 2-pt shot from 5 ft,,68-66,,
7:10.0,Offensive rebound by J. Nurkic,,68-66,,
7:10.0,J. Nurkic makes 2-pt shot at rim,2,70-66,,
6:56.0,,,70-66,,A. Wiggins misses 2-pt shot from 14 ft
6:53.0,Defensive rebound by J. Nurkic,,70-66,,
6:48.0,Turnover by D. Lillard (bad pass; steal by A. Wiggins),,70-66,,
6:44.0,,,70-68,2,A. Wiggins makes 2-pt shot from 7 ft
6:44.0,,,70-68,,Shooting foul by D. Lillard (drawn by A. Wiggins)
6:44.0,,,70-68,,Minnesota full timeout
6:44.0,,,70-69,1,A. Wiggins makes free throw 1 of 1
6:33.0,D. Lillard misses 3-pt shot from 24 ft,,70-69,,
6:30.0,,,70-69,,Defensive rebound by J. Butler
6:08.0,,,70-69,,J. Butler misses 2-pt shot from 19 ft
6:05.0,Defensive rebound by A. Aminu,,70-69,,
5:59.0,A. Aminu misses 3-pt shot from 25 ft,,70-69,,
5:56.0,,,70-69,,Defensive rebound by J. Butler
5:51.0,,,70-71,2,J. Butler makes 2-pt shot from 1 ft
5:27.0,E. Turner makes 2-pt shot from 10 ft,2,72-71,,
5:03.0,,,72-71,,Turnover by J. Teague (bad pass; steal by A. Aminu)
4:59.0,A. Aminu makes 2-pt shot from 1 ft,2,74-71,,
4:37.0,,,74-71,,K. Towns misses 2-pt shot from 10 ft
4:32.0,,,74-71,,Offensive rebound by J. Butler
4:32.0,,,74-71,,J. Butler misses 2-pt shot at rim
4:31.0,Defensive rebound by J. Nurkic,,74-71,,
4:27.0,C. McCollum makes 2-pt shot from 11 ft,2,76-71,,
4:19.0,,,76-71,,Minnesota full timeout
4:19.0,,,76-71,,G. Dieng enters the game for K. Towns
4:19.0,E. Davis enters the game for J. Nurkic,,76-71,,
4:19.0,Z. Collins enters the game for E. Turner,,76-71,,
4:11.0,,,76-71,,Shooting foul by Z. Collins (drawn by J. Butler)
4:11.0,,,76-71,,J. Butler misses free throw 1 of 2
4:11.0,,,76-71,,Offensive rebound by Team
4:11.0,,,76-72,1,J. Butler makes free throw 2 of 2
3:58.0,Offensive foul by C. McCollum (drawn by T. Gibson),,76-72,,
3:58.0,Turnover by C. McCollum (offensive foul),,76-72,,
3:43.0,,,76-72,,G. Dieng misses 2-pt shot from 21 ft
3:41.0,Defensive rebound by D. Lillard,,76-72,,
3:34.0,D. Lillard misses 3-pt shot from 24 ft,,76-72,,
3:32.0,Offensive rebound by Team,,76-72,,
3:24.0,D. Lillard misses 2-pt shot from 6 ft,,76-72,,
3:21.0,,,76-72,,Defensive rebound by G. Dieng
3:13.0,,,76-74,2,J. Teague makes 2-pt shot from 1 ft
2:53.0,A. Aminu misses 3-pt shot from 25 ft,,76-74,,
2:49.0,,,76-74,,Defensive rebound by J. Teague
2:42.0,,,76-74,,T. Gibson misses 2-pt shot from 5 ft
2:39.0,Defensive rebound by C. McCollum,,76-74,,
2:30.0,D. Lillard misses 2-pt shot from 1 ft,,76-74,,
2:28.0,,,76-74,,Defensive rebound by Team
2:28.0,,,76-74,,J. Crawford enters the game for J. Butler
2:28.0,S. Napier enters the game for C. McCollum,,76-74,,
2:10.0,,,76-74,,G. Dieng misses 2-pt shot from 19 ft
2:09.0,Defensive rebound by D. Lillard,,76-74,,
1:59.0,S. Napier makes 2-pt shot from 16 ft,2,78-74,,
1:44.0,,,78-74,,Shooting foul by Z. Collins (drawn by A. Wiggins)
1:44.0,,,78-74,,A. Wiggins misses free throw 1 of 2
1:44.0,,,78-74,,Offensive rebound by Team
1:44.0,,,78-74,,A. Wiggins misses free throw 2 of 2
1:42.0,Defensive rebound by A. Aminu,,78-74,,
1:24.0,A. Aminu misses 2-pt shot from 2 ft (block by T. Gibson),,78-74,,
1:22.0,,,78-74,,Defensive rebound by A. Wiggins
1:15.0,,,78-74,,A. Wiggins misses 3-pt shot from 25 ft
1:10.0,Defensive rebound by A. Aminu,,78-74,,
1:03.0,Z. Collins makes 2-pt shot from 2 ft (assist by D. Lillard),2,80-74,,
0:58.0,,,80-74,,Turnover by T. Gibson (bad pass; steal by E. Davis)
0:55.0,D. Lillard makes 3-pt shot from 25 ft (assist by E. Davis),3,83-74,,
0:55.0,,,83-74,,Minnesota full timeout
0:55.0,Portland full timeout,,83-74,,
0:55.0,E. Turner enters the game for A. Aminu,,83-74,,
0:39.0,,,83-76,2,J. Crawford makes 2-pt shot from 18 ft
0:33.0,D. Lillard misses 2-pt shot at rim,,83-76,,
0:33.0,Offensive rebound by E. Davis,,83-76,,
0:33.0,E. Davis makes 2-pt shot at rim,2,85-76,,
0:17.0,,,85-76,,A. Wiggins misses 3-pt shot from 24 ft
0:15.0,Defensive rebound by Z. Collins,,85-76,,
0:05.0,,,85-76,,Personal take foul by J. Teague (drawn by D. Lillard)
0:05.0,C. McCollum enters the game for Z. Collins,,85-76,,
0:05.0,,,85-76,,M. Georges-Hunt enters the game for G. Dieng
0:00.0,C. McCollum misses 2-pt shot from 18 ft,,85-76,,
0:00.0,Offensive rebound by Team,,85-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,Z. Collins misses 3-pt shot from 23 ft,,85-76,,
11:38.0,,,85-76,,Defensive rebound by Team
11:38.0,Loose ball foul by E. Turner (drawn by T. Jones),,85-76,,
11:18.0,,,85-76,,J. Crawford misses 3-pt shot from 24 ft
11:15.0,,,85-76,,Offensive rebound by Team
11:13.0,,,85-79,3,K. Towns makes 3-pt shot from 24 ft (assist by T. Jones)
10:56.0,S. Napier makes 2-pt shot from 18 ft (assist by E. Turner),2,87-79,,
10:38.0,,,87-81,2,J. Crawford makes 2-pt shot from 16 ft
10:16.0,C. McCollum misses 2-pt shot from 5 ft,,87-81,,
10:12.0,Offensive rebound by E. Davis,,87-81,,
10:12.0,E. Davis makes 2-pt shot at rim,2,89-81,,
9:54.0,,,89-83,2,J. Crawford makes 2-pt shot from 17 ft
9:37.0,,,89-83,,Personal foul by M. Georges-Hunt (drawn by E. Turner)
9:29.0,S. Napier makes 2-pt shot from 1 ft (assist by E. Turner),2,91-83,,
9:19.0,,,91-85,2,J. Crawford makes 2-pt shot from 19 ft
8:54.0,C. McCollum misses 2-pt shot from 21 ft,,91-85,,
8:49.0,Offensive rebound by E. Davis,,91-85,,
8:49.0,E. Davis makes 2-pt shot at rim,2,93-85,,
8:38.0,,,93-85,,Turnover by J. Crawford (bad pass; steal by C. McCollum)
8:35.0,Turnover by S. Napier (out of bounds lost ball),,93-85,,
8:21.0,,,93-85,,Shooting foul by Z. Collins (drawn by K. Towns)
8:21.0,,,93-86,1,K. Towns makes free throw 1 of 2
8:21.0,,,93-87,1,K. Towns makes free throw 2 of 2
8:07.0,S. Napier makes 2-pt shot from 23 ft,2,95-87,,
7:43.0,,,95-87,,J. Crawford misses 2-pt shot from 20 ft
7:40.0,Defensive rebound by E. Turner,,95-87,,
7:31.0,,,95-87,,Personal foul by M. Georges-Hunt (drawn by E. Turner)
7:31.0,,,95-87,,J. Teague enters the game for M. Georges-Hunt
7:31.0,,,95-87,,J. Butler enters the game for T. Jones
7:31.0,D. Lillard enters the game for S. Napier,,95-87,,
7:28.0,Z. Collins makes 2-pt shot from 1 ft (assist by E. Turner),2,97-87,,
7:02.0,,,97-90,3,J. Crawford makes 3-pt shot from 30 ft (assist by G. Dieng)
6:48.0,,,97-90,,Personal foul by K. Towns (drawn by Z. Collins)
6:48.0,,,97-90,,Minnesota full timeout
6:48.0,,,97-90,,T. Gibson enters the game for G. Dieng
6:48.0,S. Napier enters the game for C. McCollum,,97-90,,
6:48.0,A. Aminu enters the game for E. Davis,,97-90,,
6:48.0,J. Nurkic enters the game for Z. Collins,,97-90,,
6:44.0,Offensive foul by J. Nurkic (drawn by J. Teague),,97-90,,
6:44.0,Turnover by J. Nurkic (offensive foul),,97-90,,
6:31.0,,,97-92,2,J. Crawford makes 2-pt shot from 20 ft (assist by T. Gibson)
6:17.0,Offensive foul by E. Turner,,97-92,,
6:17.0,Turnover by E. Turner (offensive foul),,97-92,,
6:17.0,Technical foul by E. Turner,,97-92,,
6:17.0,,,97-93,1,J. Butler makes technical free throw
6:07.0,,,97-93,,Offensive foul by T. Gibson (drawn by E. Turner)
6:07.0,,,97-93,,Turnover by T. Gibson (offensive foul)
5:59.0,Turnover by D. Lillard (out of bounds lost ball),,97-93,,
5:51.0,,,97-93,,K. Towns misses 3-pt shot from 24 ft
5:50.0,Defensive rebound by Team,,97-93,,
5:34.0,Turnover by D. Lillard (bad pass; steal by J. Crawford),,97-93,,
5:31.0,,,97-95,2,J. Butler makes 2-pt shot at rim (assist by J. Crawford)
5:31.0,Portland full timeout,,97-95,,
5:31.0,C. McCollum enters the game for S. Napier,,97-95,,
5:14.0,D. Lillard makes 2-pt shot from 12 ft (assist by J. Nurkic),2,99-95,,
5:00.0,,,99-97,2,J. Crawford makes 2-pt shot from 20 ft
4:37.0,C. McCollum makes 2-pt shot from 5 ft,2,101-97,,
4:19.0,,,101-99,2,J. Butler makes 2-pt shot from 2 ft (assist by K. Towns)
4:00.0,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard),2,103-99,,
3:43.0,,,103-101,2,J. Butler makes 2-pt shot from 6 ft
3:25.0,,,103-101,,Personal foul by J. Crawford (drawn by D. Lillard)
3:25.0,,,103-101,,A. Wiggins enters the game for T. Gibson
3:14.0,D. Lillard makes 2-pt shot at rim,2,105-101,,
2:49.0,,,105-103,2,J. Crawford makes 2-pt shot from 13 ft (assist by J. Teague)
2:49.0,,,105-103,,Shooting foul by C. McCollum (drawn by J. Crawford)
2:49.0,,,105-104,1,J. Crawford makes free throw 1 of 1
2:34.0,D. Lillard misses 2-pt shot from 17 ft,,105-104,,
2:31.0,,,105-104,,Defensive rebound by J. Crawford
2:21.0,,,105-104,,Offensive foul by K. Towns (drawn by E. Turner)
2:21.0,,,105-104,,Turnover by K. Towns (offensive foul)
2:07.0,C. McCollum misses 3-pt shot from 26 ft,,105-104,,
2:06.0,,,105-104,,Defensive rebound by Team
1:48.0,,,105-104,,J. Teague misses 3-pt shot from 25 ft
1:43.0,,,105-104,,Offensive rebound by K. Towns
1:40.0,,,105-104,,J. Crawford misses 3-pt shot from 25 ft
1:39.0,,,105-104,,Offensive rebound by Team
1:39.0,Jump ball: K. Towns vs. J. Nurkic,,,,Jump ball: K. Towns vs. J. Nurkic
1:39.0,Loose ball foul by J. Nurkic (drawn by K. Towns),,105-104,,
1:25.0,,,105-104,,J. Butler misses 2-pt shot from 17 ft
1:22.0,Defensive rebound by J. Nurkic,,105-104,,
1:06.0,A. Aminu misses 2-pt shot from 3 ft (block by A. Wiggins),,105-104,,
1:03.0,,,105-104,,Defensive rebound by A. Wiggins
1:00.0,,,105-104,,Shooting foul by C. McCollum (drawn by J. Butler)
1:00.0,,,105-105,1,J. Butler makes free throw 1 of 2
1:00.0,,,105-105,,T. Gibson enters the game for J. Crawford
1:00.0,,,105-106,1,J. Butler makes free throw 2 of 2
0:44.0,C. McCollum makes 2-pt shot from 20 ft (assist by D. Lillard),2,107-106,,
0:31.0,,,107-106,,J. Butler misses 2-pt shot from 18 ft
0:28.0,Defensive rebound by E. Turner,,107-106,,
0:10.0,D. Lillard misses 2-pt shot at rim,,107-106,,
0:08.0,,,107-106,,Defensive rebound by T. Gibson
0:08.0,,,107-106,,Minnesota full timeout
0:08.0,,,107-106,,J. Crawford enters the game for T. Gibson
0:02.0,,,107-106,,Shooting foul by A. Aminu (drawn by J. Butler)
0:02.0,,,107-107,1,J. Butler makes free throw 1 of 2
0:02.0,,,107-107,,T. Gibson enters the game for J. Crawford
0:02.0,,,107-108,1,J. Butler makes free throw 2 of 2
0:02.0,Portland full timeout,,107-108,,
0:00.0,D. Lillard misses 3-pt shot from 26 ft,,107-108,,
0:00.0,Offensive rebound by Team,,107-108,,
