time,Portland,pts.away,score,pts.home,Chicago
4:09.0,,,23-15,2,J. Holiday makes 2-pt shot from 17 ft
3:55.0,A. Aminu misses 3-pt shot from 25 ft,,23-15,,
3:55.0,,,23-15,,Defensive rebound by D. Nwaba
3:49.0,,,23-17,2,R. Lopez makes 2-pt shot from 16 ft (assist by J. Grant)
3:28.0,P. Connaughton misses 2-pt shot from 2 ft (block by R. Lopez),,23-17,,
3:28.0,Offensive rebound by A. Aminu,,23-17,,
3:28.0,A. Aminu makes 2-pt shot from 1 ft,2,25-17,,
3:28.0,Shooting foul by L. Markkanen (drawn by A. Aminu),,25-17,,
3:28.0,,,25-17,,N. Mirotic enters the game for L. Markkanen
3:28.0,A. Aminu makes free throw 1 of 1,1,26-17,,
3:28.0,E. Davis enters the game for J. Nurkic,,26-17,,
3:14.0,,,26-17,,J. Holiday misses 3-pt shot from 25 ft
3:13.0,Z. Collins enters the game for A. Aminu,,26-17,,
3:13.0,Offensive rebound by Team,,26-17,,
2:56.0,C. McCollum misses 3-pt shot from 23 ft,,26-17,,
2:56.0,,,26-17,,Defensive rebound by N. Mirotic
2:51.0,,,26-19,2,N. Mirotic makes 2-pt shot from 21 ft (assist by J. Holiday)
2:38.0,Z. Collins misses 3-pt shot from 25 ft,,26-19,,
2:35.0,,,26-19,,Defensive rebound by D. Nwaba
2:30.0,,,26-19,,N. Mirotic misses 3-pt shot from 25 ft
2:30.0,Defensive rebound by C. McCollum,,26-19,,
2:19.0,C. McCollum misses 2-pt shot from 1 ft,,26-19,,
2:19.0,Offensive rebound by E. Davis,,26-19,,
2:17.0,Portland full timeout,,26-19,,
2:17.0,,,26-19,,B. Portis enters the game for R. Lopez
2:07.0,Z. Collins makes 2-pt shot from 4 ft (assist by C. McCollum),2,28-19,,
1:48.0,,,28-19,,J. Holiday misses 2-pt shot from 6 ft
1:47.0,Defensive rebound by E. Davis,,28-19,,
1:33.0,E. Turner misses 2-pt shot from 11 ft,,28-19,,
1:33.0,,,28-19,,Defensive rebound by J. Grant
1:13.0,,,28-21,2,B. Portis makes 2-pt shot from 1 ft
0:56.0,Shooting foul by J. Grant (drawn by P. Connaughton),,28-21,,
0:56.0,P. Connaughton makes free throw 1 of 3,1,29-21,,
0:56.0,P. Connaughton makes free throw 2 of 3,1,30-21,,
0:56.0,,,30-21,,P. Zipser enters the game for J. Holiday
0:56.0,S. Napier enters the game for E. Turner,,30-21,,
0:56.0,M. Harkless enters the game for C. McCollum,,30-21,,
0:56.0,P. Connaughton makes free throw 3 of 3,1,31-21,,
0:40.0,Personal foul by Z. Collins (drawn by N. Mirotic),,31-21,,
0:32.0,,,31-21,,Offensive foul by B. Portis (drawn by S. Napier)
0:32.0,,,31-21,,Turnover by B. Portis (offensive foul)
0:07.0,Turnover by P. Connaughton (bad pass; steal by N. Mirotic),,31-21,,
0:05.0,,,31-23,2,D. Nwaba makes 2-pt shot at rim
0:00.0,S. Napier misses 2-pt shot from 7 ft,,31-23,,
0:00.0,Offensive rebound by Team,,31-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:53.0,,,31-23,,D. Nwaba misses 2-pt shot from 1 ft (block by E. Davis)
11:52.0,,,31-23,,Offensive rebound by B. Portis
11:51.0,,,31-23,,B. Portis misses 2-pt shot from 1 ft
11:50.0,,,31-23,,Offensive rebound by B. Portis
11:41.0,,,31-25,2,B. Portis makes 2-pt shot at rim
11:41.0,Offensive foul by M. Harkless (drawn by J. Grant),,31-25,,
11:41.0,Turnover by M. Harkless (offensive foul),,31-25,,
11:33.0,,,31-27,2,B. Portis makes 2-pt shot from 20 ft (assist by N. Mirotic)
11:09.0,E. Davis makes 2-pt shot at rim (assist by S. Napier),2,33-27,,
10:53.0,,,33-29,2,N. Mirotic makes 2-pt shot from 9 ft (assist by B. Portis)
10:38.0,Z. Collins makes 2-pt shot from 1 ft (assist by S. Napier),2,35-29,,
10:22.0,,,35-29,,J. Grant misses 2-pt shot from 13 ft
10:20.0,Defensive rebound by P. Connaughton,,35-29,,
10:09.0,M. Harkless misses 3-pt shot from 23 ft,,35-29,,
10:05.0,,,35-29,,Defensive rebound by N. Mirotic
9:57.0,,,35-29,,N. Mirotic misses 2-pt shot from 23 ft
9:55.0,Defensive rebound by E. Davis,,35-29,,
9:41.0,Z. Collins misses 3-pt shot from 22 ft,,35-29,,
9:38.0,Offensive rebound by E. Davis,,35-29,,
9:36.0,E. Davis misses 2-pt shot from 12 ft,,35-29,,
9:36.0,Offensive rebound by E. Davis,,35-29,,
9:24.0,Shooting foul by D. Nwaba (drawn by S. Napier),,35-29,,
9:24.0,S. Napier makes free throw 1 of 2,1,36-29,,
9:24.0,,,36-29,,D. Valentine enters the game for D. Nwaba
9:24.0,S. Napier makes free throw 2 of 2,1,37-29,,
9:13.0,,,37-31,2,D. Valentine makes 2-pt shot from 16 ft (assist by B. Portis)
8:59.0,P. Connaughton misses 3-pt shot from 23 ft,,37-31,,
8:55.0,,,37-31,,Defensive rebound by N. Mirotic
8:39.0,,,37-31,,N. Mirotic misses 2-pt shot from 12 ft
8:39.0,,,37-31,,Offensive rebound by B. Portis
8:39.0,,,37-33,2,B. Portis makes 2-pt shot at rim
8:39.0,,,37-33,,Shooting foul by Z. Collins (drawn by B. Portis)
8:39.0,A. Aminu enters the game for Z. Collins,,37-33,,
8:39.0,,,37-34,1,B. Portis makes free throw 1 of 1
8:27.0,S. Napier misses 2-pt shot from 11 ft,,37-34,,
8:24.0,,,37-34,,Defensive rebound by N. Mirotic
8:15.0,,,37-36,2,J. Grant makes 2-pt shot from 1 ft (assist by N. Mirotic)
8:15.0,Portland full timeout,,37-36,,
7:53.0,M. Harkless misses 2-pt shot from 1 ft,,37-36,,
7:52.0,Offensive rebound by E. Davis,,37-36,,
7:51.0,E. Davis misses 2-pt shot from 1 ft,,37-36,,
7:51.0,,,37-36,,Defensive rebound by N. Mirotic
7:42.0,,,37-36,,Turnover by J. Grant (bad pass; steal by M. Harkless)
7:38.0,,,37-36,,Personal foul by P. Zipser (drawn by M. Harkless)
7:38.0,J. Nurkic enters the game for E. Davis,,37-36,,
7:26.0,A. Aminu misses 2-pt shot from 7 ft,,37-36,,
7:21.0,Offensive rebound by J. Nurkic,,37-36,,
7:20.0,J. Nurkic misses 2-pt shot from 2 ft,,37-36,,
7:20.0,,,37-36,,Defensive rebound by P. Zipser
7:03.0,,,37-36,,N. Mirotic misses 3-pt shot from 25 ft
7:03.0,Defensive rebound by A. Aminu,,37-36,,
6:49.0,Turnover by J. Nurkic (bad pass; steal by J. Grant),,37-36,,
6:46.0,,,37-38,2,P. Zipser makes 2-pt shot at rim (assist by D. Valentine)
6:29.0,S. Napier misses 3-pt shot from 24 ft,,37-38,,
6:28.0,,,37-38,,Defensive rebound by Team
6:28.0,C. McCollum enters the game for P. Connaughton,,37-38,,
6:20.0,,,37-38,,Turnover by N. Mirotic (lost ball; steal by S. Napier)
6:15.0,A. Aminu misses 2-pt shot from 1 ft,,37-38,,
6:13.0,,,37-38,,Defensive rebound by B. Portis
6:06.0,,,37-38,,P. Zipser misses 3-pt shot from 25 ft
6:06.0,Defensive rebound by S. Napier,,37-38,,
5:55.0,S. Napier makes 2-pt shot at rim,2,39-38,,
5:44.0,,,39-40,2,N. Mirotic makes 2-pt shot from 2 ft (assist by D. Valentine)
5:30.0,S. Napier misses 3-pt shot from 24 ft,,39-40,,
5:30.0,,,39-40,,Defensive rebound by N. Mirotic
5:21.0,,,39-43,3,N. Mirotic makes 3-pt shot from 25 ft
5:01.0,C. McCollum misses 2-pt shot from 15 ft,,39-43,,
5:01.0,,,39-43,,Defensive rebound by D. Valentine
4:55.0,,,39-43,,D. Valentine misses 2-pt shot from 2 ft
4:55.0,Defensive rebound by Team,,39-43,,
4:55.0,,,39-43,,Loose ball foul by P. Zipser (drawn by C. McCollum)
4:55.0,,,39-43,,L. Markkanen enters the game for J. Grant
4:55.0,,,39-43,,J. Holiday enters the game for B. Portis
4:55.0,,,39-43,,K. Dunn enters the game for P. Zipser
4:55.0,,,39-43,,R. Lopez enters the game for N. Mirotic
4:55.0,E. Turner enters the game for M. Harkless,,39-43,,
4:41.0,J. Nurkic misses 2-pt shot from 1 ft,,39-43,,
4:41.0,,,39-43,,Defensive rebound by Team
4:26.0,,,39-43,,D. Valentine misses 3-pt shot from 25 ft
4:26.0,Defensive rebound by Team,,39-43,,
4:09.0,C. McCollum misses 2-pt shot from 1 ft,,39-43,,
4:09.0,,,39-43,,Defensive rebound by D. Valentine
3:58.0,,,39-43,,R. Lopez misses 2-pt shot from 5 ft
3:58.0,,,39-43,,Offensive rebound by D. Valentine
3:55.0,,,39-45,2,K. Dunn makes 2-pt shot from 11 ft (assist by D. Valentine)
3:55.0,,,39-45,,Shooting foul by E. Turner (drawn by K. Dunn)
3:55.0,P. Connaughton enters the game for S. Napier,,39-45,,
3:55.0,,,39-46,1,K. Dunn makes free throw 1 of 1
3:39.0,C. McCollum makes 2-pt shot from 6 ft,2,41-46,,
3:30.0,,,41-46,,R. Lopez misses 2-pt shot from 20 ft
3:30.0,Defensive rebound by A. Aminu,,41-46,,
3:22.0,E. Turner makes 2-pt shot from 14 ft,2,43-46,,
3:07.0,,,43-46,,J. Holiday misses 2-pt shot from 1 ft
3:07.0,Defensive rebound by J. Nurkic,,43-46,,
2:56.0,E. Turner makes 2-pt shot from 15 ft,2,45-46,,
2:54.0,,,45-46,,Chicago full timeout
2:54.0,,,45-46,,D. Nwaba enters the game for D. Valentine
2:41.0,,,45-46,,L. Markkanen misses 2-pt shot from 11 ft
2:41.0,Defensive rebound by C. McCollum,,45-46,,
2:32.0,Shooting foul by J. Holiday (drawn by J. Nurkic),,45-46,,
2:32.0,J. Nurkic misses free throw 1 of 2,,45-46,,
2:32.0,Offensive rebound by Team,,45-46,,
2:32.0,J. Nurkic makes free throw 2 of 2,1,46-46,,
2:18.0,,,46-46,,Turnover by K. Dunn (lost ball; steal by J. Nurkic)
2:09.0,J. Nurkic misses 2-pt shot from 3 ft,,46-46,,
2:07.0,,,46-46,,Defensive rebound by L. Markkanen
1:52.0,,,46-49,3,L. Markkanen makes 3-pt shot from 25 ft (assist by K. Dunn)
1:29.0,C. McCollum makes 3-pt shot from 26 ft (assist by A. Aminu),3,49-49,,
1:16.0,,,49-51,2,J. Holiday makes 2-pt shot from 19 ft (assist by R. Lopez)
0:56.0,P. Connaughton makes 3-pt shot from 26 ft (assist by E. Turner),3,52-51,,
0:44.0,,,52-53,2,J. Holiday makes 2-pt shot from 18 ft
0:34.0,C. McCollum misses 3-pt shot from 25 ft,,52-53,,
0:31.0,,,52-53,,Defensive rebound by L. Markkanen
0:25.0,,,52-53,,K. Dunn misses 2-pt shot from 12 ft
0:22.0,Defensive rebound by P. Connaughton,,52-53,,
0:04.0,P. Connaughton misses 3-pt shot from 25 ft,,52-53,,
0:04.0,,,52-53,,Defensive rebound by J. Holiday
0:00.0,,,52-53,,L. Markkanen misses 3-pt shot from 39 ft
0:00.0,,,52-53,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,52-55,2,K. Dunn makes 2-pt shot from 1 ft (assist by J. Holiday)
11:28.0,J. Nurkic misses 2-pt shot from 4 ft,,52-55,,
11:28.0,,,52-55,,Defensive rebound by L. Markkanen
11:13.0,,,52-57,2,R. Lopez makes 2-pt shot from 2 ft
10:53.0,E. Turner makes 2-pt shot from 2 ft,2,54-57,,
10:53.0,Shooting foul by D. Nwaba (drawn by E. Turner),,54-57,,
10:53.0,E. Turner makes free throw 1 of 1,1,55-57,,
10:39.0,,,55-59,2,R. Lopez makes 2-pt shot from 17 ft (assist by K. Dunn)
10:28.0,,,55-59,,Violation by D. Nwaba (kicked ball)
10:19.0,Turnover by J. Nurkic (turnover),,55-59,,
10:10.0,,,55-59,,Shooting foul by C. McCollum (drawn by J. Holiday)
10:10.0,,,55-60,1,J. Holiday makes free throw 1 of 3
10:10.0,,,55-61,1,J. Holiday makes free throw 2 of 3
10:10.0,,,55-62,1,J. Holiday makes free throw 3 of 3
9:51.0,J. Nurkic misses 2-pt shot from 3 ft,,55-62,,
9:44.0,Offensive rebound by J. Nurkic,,55-62,,
9:44.0,J. Nurkic makes 2-pt shot at rim,2,57-62,,
9:32.0,,,57-62,,K. Dunn misses 3-pt shot from 22 ft
9:28.0,Defensive rebound by C. McCollum,,57-62,,
9:22.0,A. Aminu makes 2-pt shot from 1 ft (assist by J. Nurkic),2,59-62,,
9:09.0,,,59-62,,D. Nwaba misses 2-pt shot from 2 ft
9:09.0,,,59-62,,Offensive rebound by D. Nwaba
9:06.0,,,59-62,,J. Holiday misses 3-pt shot from 24 ft
9:06.0,Defensive rebound by E. Turner,,59-62,,
8:57.0,E. Turner misses 2-pt shot from 5 ft,,59-62,,
8:57.0,,,59-62,,Defensive rebound by J. Holiday
8:53.0,,,59-62,,Shooting foul by E. Turner (drawn by D. Nwaba)
8:53.0,,,59-62,,D. Nwaba misses free throw 1 of 2
8:53.0,,,59-62,,Offensive rebound by Team
8:53.0,,,59-63,1,D. Nwaba makes free throw 2 of 2
8:43.0,S. Napier misses 3-pt shot from 25 ft,,59-63,,
8:43.0,,,59-63,,Defensive rebound by J. Holiday
8:32.0,,,59-63,,D. Nwaba misses 2-pt shot from 5 ft
8:28.0,,,59-63,,Offensive rebound by R. Lopez
8:25.0,,,59-66,3,L. Markkanen makes 3-pt shot from 25 ft (assist by R. Lopez)
8:17.0,,,59-66,,Personal foul by L. Markkanen (drawn by C. McCollum)
8:09.0,C. McCollum makes 2-pt shot from 1 ft (assist by S. Napier),2,61-66,,
7:55.0,,,61-66,,L. Markkanen misses 2-pt shot from 21 ft
7:52.0,Defensive rebound by J. Nurkic,,61-66,,
7:42.0,C. McCollum makes 3-pt shot from 26 ft (assist by J. Nurkic),3,64-66,,
7:41.0,,,64-66,,Chicago full timeout
7:23.0,,,64-66,,R. Lopez misses 2-pt shot from 18 ft
7:19.0,,,64-66,,Offensive rebound by D. Nwaba
7:18.0,,,64-66,,Offensive charge foul by K. Dunn (drawn by S. Napier)
7:18.0,,,64-66,,Turnover by K. Dunn (offensive foul)
7:01.0,J. Nurkic makes 2-pt shot from 3 ft,2,66-66,,
6:49.0,,,66-69,3,K. Dunn makes 3-pt shot from 25 ft (assist by J. Holiday)
6:33.0,C. McCollum misses 3-pt shot from 25 ft,,66-69,,
6:33.0,,,66-69,,Defensive rebound by L. Markkanen
6:27.0,,,66-71,2,L. Markkanen makes 2-pt shot from 19 ft
6:11.0,E. Turner misses 2-pt shot from 8 ft,,66-71,,
6:06.0,,,66-71,,Defensive rebound by J. Holiday
5:53.0,,,66-71,,R. Lopez misses 2-pt shot from 8 ft
5:53.0,Defensive rebound by J. Nurkic,,66-71,,
5:38.0,J. Nurkic misses 2-pt shot from 7 ft,,66-71,,
5:37.0,,,66-71,,Defensive rebound by K. Dunn
5:37.0,Personal foul by J. Nurkic (drawn by K. Dunn),,66-71,,
5:26.0,,,66-71,,Shooting foul by S. Napier (drawn by R. Lopez)
5:26.0,,,66-72,1,R. Lopez makes free throw 1 of 2
5:26.0,P. Connaughton enters the game for S. Napier,,66-72,,
5:26.0,,,66-72,,R. Lopez misses free throw 2 of 2
5:24.0,Defensive rebound by J. Nurkic,,66-72,,
5:07.0,A. Aminu misses 3-pt shot from 24 ft,,66-72,,
5:07.0,,,66-72,,Defensive rebound by L. Markkanen
4:59.0,,,66-72,,K. Dunn misses 2-pt shot from 10 ft
4:59.0,Defensive rebound by E. Turner,,66-72,,
4:47.0,P. Connaughton makes 2-pt shot from 1 ft (assist by E. Turner),2,68-72,,
4:47.0,Shooting foul by R. Lopez (drawn by P. Connaughton),,68-72,,
4:47.0,P. Connaughton makes free throw 1 of 1,1,69-72,,
4:33.0,,,69-72,,K. Dunn misses 2-pt shot from 11 ft
4:33.0,,,69-72,,Offensive rebound by R. Lopez
4:27.0,,,69-72,,R. Lopez misses 2-pt shot at rim
4:27.0,Defensive rebound by J. Nurkic,,69-72,,
4:13.0,C. McCollum makes 2-pt shot from 2 ft,2,71-72,,
3:59.0,,,71-72,,Shooting foul by J. Nurkic (drawn by L. Markkanen)
3:59.0,,,71-73,1,L. Markkanen makes free throw 1 of 2
3:59.0,,,71-73,,D. Valentine enters the game for D. Nwaba
3:59.0,,,71-73,,L. Markkanen misses free throw 2 of 2
3:56.0,Defensive rebound by A. Aminu,,71-73,,
3:45.0,Shooting foul by J. Holiday (drawn by C. McCollum),,71-73,,
3:45.0,C. McCollum misses free throw 1 of 2,,71-73,,
3:45.0,Offensive rebound by Team,,71-73,,
3:45.0,,,71-73,,N. Mirotic enters the game for L. Markkanen
3:45.0,C. McCollum makes free throw 2 of 2,1,72-73,,
3:32.0,Personal foul by A. Aminu (drawn by N. Mirotic),,72-73,,
3:32.0,,,72-74,1,N. Mirotic makes free throw 1 of 2
3:32.0,,,72-74,,B. Portis enters the game for R. Lopez
3:32.0,E. Davis enters the game for A. Aminu,,72-74,,
3:32.0,Z. Collins enters the game for J. Nurkic,,72-74,,
3:32.0,,,72-75,1,N. Mirotic makes free throw 2 of 2
3:16.0,C. McCollum makes 3-pt shot from 26 ft (assist by E. Turner),3,75-75,,
2:59.0,,,75-75,,D. Valentine misses 3-pt shot from 23 ft
2:56.0,Defensive rebound by Z. Collins,,75-75,,
2:46.0,Turnover by C. McCollum (bad pass; steal by K. Dunn),,75-75,,
2:39.0,,,75-75,,D. Valentine misses 2-pt shot from 1 ft
2:36.0,,,75-75,,Offensive rebound by K. Dunn
2:35.0,,,75-77,2,K. Dunn makes 2-pt shot from 1 ft
2:21.0,C. McCollum misses 2-pt shot from 18 ft (block by K. Dunn),,75-77,,
2:17.0,,,75-77,,Defensive rebound by N. Mirotic
2:13.0,,,75-77,,D. Valentine misses 3-pt shot from 23 ft
2:08.0,,,75-77,,Offensive rebound by B. Portis
2:07.0,,,75-77,,B. Portis misses 2-pt shot from 3 ft
2:07.0,,,75-77,,Offensive rebound by B. Portis
1:56.0,,,75-80,3,N. Mirotic makes 3-pt shot from 26 ft (assist by B. Portis)
1:54.0,Portland full timeout,,75-80,,
1:54.0,,,75-80,,J. Grant enters the game for K. Dunn
1:54.0,S. Napier enters the game for E. Turner,,75-80,,
1:31.0,E. Davis misses 2-pt shot from 3 ft (block by B. Portis),,75-80,,
1:26.0,Offensive rebound by E. Davis,,75-80,,
1:25.0,E. Davis makes 2-pt shot from 1 ft,2,77-80,,
1:18.0,,,77-83,3,B. Portis makes 3-pt shot from 25 ft (assist by J. Grant)
0:56.0,C. McCollum makes 3-pt shot from 25 ft (assist by P. Connaughton),3,80-83,,
0:45.0,,,80-86,3,J. Holiday makes 3-pt shot from 23 ft (assist by D. Valentine)
0:33.0,C. McCollum misses 3-pt shot from 25 ft,,80-86,,
0:30.0,,,80-86,,Defensive rebound by B. Portis
0:24.0,,,80-86,,Shooting foul by S. Napier (drawn by J. Grant)
0:24.0,,,80-86,,J. Grant misses free throw 1 of 2
0:24.0,,,80-86,,Offensive rebound by Team
0:24.0,,,80-87,1,J. Grant makes free throw 2 of 2
0:02.0,S. Napier makes 3-pt shot from 25 ft (assist by C. McCollum),3,83-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,P. Connaughton makes 2-pt shot from 4 ft (assist by Z. Collins),2,85-87,,
11:29.0,,,85-87,,Shooting foul by Z. Collins (drawn by N. Mirotic)
11:29.0,,,85-88,1,N. Mirotic makes free throw 1 of 2
11:29.0,,,85-89,1,N. Mirotic makes free throw 2 of 2
11:07.0,Z. Collins misses 3-pt shot from 22 ft,,85-89,,
11:03.0,,,85-89,,Defensive rebound by N. Mirotic
10:57.0,,,85-89,,P. Zipser misses 2-pt shot from 16 ft
10:57.0,Defensive rebound by Z. Collins,,85-89,,
10:48.0,S. Napier misses 2-pt shot from 9 ft,,85-89,,
10:48.0,,,85-89,,Defensive rebound by N. Mirotic
10:34.0,,,85-91,2,N. Mirotic makes 2-pt shot from 1 ft (assist by B. Portis)
10:12.0,P. Connaughton misses 2-pt shot from 19 ft,,85-91,,
10:10.0,,,85-91,,Defensive rebound by Team
10:10.0,C. McCollum enters the game for P. Connaughton,,85-91,,
10:10.0,A. Aminu enters the game for Z. Collins,,85-91,,
10:02.0,,,85-91,,J. Grant misses 2-pt shot from 7 ft
10:00.0,Defensive rebound by A. Aminu,,85-91,,
9:53.0,A. Aminu makes 3-pt shot from 25 ft (assist by C. McCollum),3,88-91,,
9:33.0,,,88-93,2,B. Portis makes 2-pt shot from 1 ft (assist by D. Valentine)
9:12.0,A. Aminu makes 3-pt shot from 24 ft (assist by S. Napier),3,91-93,,
8:56.0,,,91-93,,B. Portis misses 2-pt shot from 7 ft
8:56.0,Defensive rebound by E. Davis,,91-93,,
8:45.0,Offensive charge foul by A. Aminu (drawn by N. Mirotic),,91-93,,
8:45.0,Turnover by A. Aminu (offensive foul),,91-93,,
8:29.0,,,91-93,,N. Mirotic misses 2-pt shot from 3 ft (block by E. Davis)
8:25.0,,,91-93,,Offensive rebound by N. Mirotic
8:24.0,,,91-93,,N. Mirotic misses 2-pt shot from 1 ft (block by E. Davis)
8:24.0,Defensive rebound by S. Napier,,91-93,,
8:10.0,,,91-93,,Personal foul by D. Valentine (drawn by C. McCollum)
7:59.0,Shooting foul by J. Grant (drawn by S. Napier),,91-93,,
7:59.0,S. Napier makes free throw 1 of 2,1,92-93,,
7:59.0,,,92-93,,K. Dunn enters the game for J. Grant
7:59.0,J. Nurkic enters the game for E. Davis,,92-93,,
7:59.0,S. Napier makes free throw 2 of 2,1,93-93,,
7:48.0,,,93-93,,N. Mirotic misses 3-pt shot from 24 ft
7:45.0,Defensive rebound by S. Napier,,93-93,,
7:35.0,C. McCollum misses 2-pt shot from 6 ft,,93-93,,
7:35.0,Offensive rebound by J. Nurkic,,93-93,,
7:34.0,J. Nurkic makes 2-pt shot from 1 ft,2,95-93,,
7:34.0,,,95-93,,Chicago full timeout
7:34.0,,,95-93,,L. Markkanen enters the game for B. Portis
7:34.0,,,95-93,,J. Holiday enters the game for P. Zipser
7:34.0,,,95-93,,R. Lopez enters the game for N. Mirotic
7:22.0,,,95-93,,K. Dunn misses 2-pt shot from 2 ft (block by J. Nurkic)
7:22.0,,,95-93,,Offensive rebound by Team
7:15.0,,,95-93,,K. Dunn misses 2-pt shot from 12 ft
7:13.0,Defensive rebound by M. Harkless,,95-93,,
7:02.0,J. Nurkic misses 2-pt shot from 2 ft,,95-93,,
6:57.0,Offensive rebound by J. Nurkic,,95-93,,
6:57.0,J. Nurkic misses 2-pt shot at rim,,95-93,,
6:55.0,,,95-93,,Defensive rebound by L. Markkanen
6:53.0,,,95-96,3,D. Valentine makes 3-pt shot from 24 ft
6:29.0,S. Napier misses 2-pt shot from 2 ft (block by R. Lopez),,95-96,,
6:29.0,Offensive rebound by Team,,95-96,,
6:29.0,E. Turner enters the game for M. Harkless,,95-96,,
6:25.0,A. Aminu misses 2-pt shot from 6 ft,,95-96,,
6:25.0,Offensive rebound by S. Napier,,95-96,,
6:11.0,C. McCollum misses 2-pt shot from 9 ft,,95-96,,
6:10.0,,,95-96,,Defensive rebound by Team
6:00.0,,,95-96,,Shooting foul by A. Aminu (drawn by R. Lopez)
6:00.0,,,95-97,1,R. Lopez makes free throw 1 of 2
6:00.0,,,95-98,1,R. Lopez makes free throw 2 of 2
5:44.0,Turnover by C. McCollum (bad pass; steal by D. Valentine),,95-98,,
