time,Golden State,pts.away,score,pts.home,Atlanta
4:45.0,,,23-16,,D. Schroder misses 3-pt shot from 24 ft
4:43.0,,,23-16,,Offensive rebound by D. Dedmon
4:43.0,,,23-18,2,D. Dedmon makes 2-pt shot from 1 ft
4:43.0,Violation by J. McGee (def goaltending),,23-18,,
4:43.0,Golden State full timeout,,23-18,,
4:43.0,,,23-18,,T. Dorsey enters the game for D. Dedmon
4:43.0,,,23-18,,M. Muscala enters the game for K. Bazemore
4:43.0,Z. Pachulia enters the game for D. Green,,23-18,,
4:43.0,A. Iguodala enters the game for J. McGee,,23-18,,
4:27.0,K. Durant makes 2-pt shot from 14 ft (assist by A. Iguodala),2,25-18,,
4:13.0,,,25-20,2,J. Collins makes 2-pt shot from 1 ft (assist by D. Schroder)
3:54.0,A. Iguodala misses 2-pt shot from 16 ft,,25-20,,
3:51.0,,,25-20,,Defensive rebound by T. Waller-Prince
3:43.0,,,25-20,,T. Waller-Prince misses 2-pt shot from 1 ft
3:40.0,Defensive rebound by A. Iguodala,,25-20,,
3:37.0,K. Thompson misses 3-pt shot from 25 ft,,25-20,,
3:32.0,,,25-20,,Defensive rebound by T. Dorsey
3:20.0,,,25-22,2,D. Schroder makes 2-pt shot from 1 ft
2:59.0,A. Iguodala misses 3-pt shot from 23 ft,,25-22,,
2:56.0,,,25-22,,Defensive rebound by J. Collins
2:50.0,,,25-24,2,J. Collins makes 2-pt shot at rim (assist by D. Schroder)
2:33.0,S. Curry misses 2-pt shot from 1 ft,,25-24,,
2:28.0,,,25-24,,Defensive rebound by D. Schroder
2:23.0,,,25-24,,T. Waller-Prince misses 2-pt shot from 7 ft
2:19.0,Defensive rebound by Z. Pachulia,,25-24,,
2:13.0,Z. Pachulia makes 2-pt shot from 12 ft (assist by A. Iguodala),2,27-24,,
1:55.0,,,27-24,,Shooting foul by A. Iguodala (drawn by D. Schroder)
1:55.0,,,27-25,1,D. Schroder makes free throw 1 of 2
1:55.0,,,27-25,,M. Plumlee enters the game for T. Waller-Prince
1:55.0,,,27-25,,I. Taylor enters the game for J. Collins
1:55.0,,,27-25,,J. Morris enters the game for T. Dorsey
1:55.0,N. Young enters the game for K. Thompson,,27-25,,
1:55.0,D. Green enters the game for K. Durant,,27-25,,
1:55.0,,,27-26,1,D. Schroder makes free throw 2 of 2
1:44.0,S. Curry misses 2-pt shot at rim,,27-26,,
1:43.0,,,27-26,,Defensive rebound by Team
1:43.0,,,27-26,,T. Dorsey enters the game for D. Schroder
1:31.0,,,27-28,2,I. Taylor makes 2-pt shot from 9 ft
1:22.0,Golden State full timeout,,27-28,,
1:22.0,Q. Cook enters the game for S. Curry,,27-28,,
1:10.0,Turnover by A. Iguodala (turnover),,27-28,,
0:56.0,,,27-30,2,M. Plumlee makes 2-pt shot from 12 ft (assist by T. Dorsey)
0:41.0,A. Iguodala makes 3-pt shot from 25 ft (assist by Z. Pachulia),3,30-30,,
0:28.0,,,30-30,,I. Taylor misses 2-pt shot at rim
0:24.0,Defensive rebound by Z. Pachulia,,30-30,,
0:06.0,N. Young makes 3-pt shot from 24 ft (assist by A. Iguodala),3,33-30,,
0:00.0,,,33-30,,Shooting foul by Q. Cook (drawn by I. Taylor)
0:00.0,,,33-31,1,I. Taylor makes free throw 1 of 2
0:00.0,,,33-31,,I. Taylor misses free throw 2 of 2
0:00.0,Defensive rebound by D. Green,,33-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,N. Young makes 3-pt shot from 25 ft (assist by D. West),3,36-31,,
11:40.0,,,36-31,,Turnover by I. Taylor (step out of bounds)
11:40.0,,,36-31,,M. Delaney enters the game for T. Dorsey
11:26.0,D. West misses 2-pt shot from 8 ft,,36-31,,
11:26.0,Offensive rebound by Team,,36-31,,
11:26.0,,,36-31,,Loose ball foul by I. Taylor (drawn by D. Green)
11:18.0,,,36-31,,Personal foul by M. Delaney (drawn by N. Young)
11:12.0,Shooting foul by M. Delaney (drawn by N. Young),,36-31,,
11:12.0,N. Young makes free throw 1 of 2,1,37-31,,
11:12.0,N. Young makes free throw 2 of 2,1,38-31,,
11:02.0,,,38-31,,M. Muscala misses 3-pt shot from 25 ft
10:57.0,Defensive rebound by A. Iguodala,,38-31,,
10:53.0,D. West makes 2-pt shot from 11 ft (assist by N. Young),2,40-31,,
10:33.0,,,40-31,,M. Delaney misses 2-pt shot from 22 ft
10:32.0,Defensive rebound by Team,,40-31,,
10:26.0,N. Young makes 3-pt shot from 22 ft (assist by D. West),3,43-31,,
10:23.0,,,43-31,,Atlanta full timeout
10:23.0,,,43-31,,D. Dedmon enters the game for J. Morris
10:23.0,,,43-31,,K. Bazemore enters the game for M. Muscala
10:23.0,O. Casspi enters the game for A. Iguodala,,43-31,,
10:08.0,,,43-31,,I. Taylor misses 2-pt shot from 7 ft
10:05.0,Defensive rebound by D. Green,,43-31,,
9:46.0,Q. Cook misses 3-pt shot from 23 ft,,43-31,,
9:40.0,,,43-31,,Defensive rebound by M. Plumlee
9:18.0,,,43-31,,D. Dedmon misses 3-pt shot from 24 ft
9:18.0,,,43-31,,Offensive rebound by Team
9:18.0,,,43-31,,Turnover by Team (shot clock)
9:04.0,D. West misses 2-pt shot from 11 ft,,43-31,,
9:00.0,,,43-31,,Defensive rebound by I. Taylor
8:52.0,Loose ball foul by D. West (drawn by M. Delaney),,43-31,,
8:45.0,,,43-31,,M. Plumlee misses 2-pt shot from 1 ft
8:42.0,Defensive rebound by Q. Cook,,43-31,,
8:42.0,,,43-31,,Personal foul by I. Taylor (drawn by Q. Cook)
8:42.0,,,43-31,,J. Collins enters the game for M. Plumlee
8:36.0,Turnover by D. West (bad pass),,43-31,,
8:25.0,,,43-33,2,D. Dedmon makes 2-pt shot from 15 ft (assist by I. Taylor)
8:08.0,Turnover by D. Green (bad pass; steal by D. Dedmon),,43-33,,
8:04.0,,,43-35,2,K. Bazemore makes 2-pt shot from 22 ft (assist by M. Delaney)
7:54.0,Turnover by Q. Cook (traveling),,43-35,,
7:54.0,K. Thompson enters the game for D. Green,,43-35,,
7:54.0,K. Durant enters the game for N. Young,,43-35,,
7:41.0,,,43-35,,D. Dedmon misses 2-pt shot from 13 ft
7:38.0,,,43-35,,Offensive rebound by D. Dedmon
7:34.0,,,43-35,,K. Bazemore misses 2-pt shot from 1 ft
7:34.0,,,43-35,,Offensive rebound by Team
7:34.0,Loose ball foul by D. West (drawn by D. Dedmon),,43-35,,
7:27.0,,,43-35,,Turnover by I. Taylor (lost ball; steal by D. West)
7:23.0,Turnover by K. Durant (bad pass; steal by K. Bazemore),,43-35,,
7:18.0,,,43-38,3,K. Bazemore makes 3-pt shot from 25 ft
7:18.0,Golden State full timeout,,43-38,,
7:18.0,,,43-38,,D. Schroder enters the game for I. Taylor
7:18.0,S. Curry enters the game for Q. Cook,,43-38,,
7:01.0,K. Thompson misses 3-pt shot from 25 ft,,43-38,,
6:57.0,,,43-38,,Defensive rebound by M. Delaney
6:48.0,,,43-38,,K. Bazemore misses 3-pt shot from 25 ft
6:45.0,Defensive rebound by O. Casspi,,43-38,,
6:37.0,O. Casspi misses 3-pt shot from 24 ft,,43-38,,
6:33.0,,,43-38,,Defensive rebound by K. Bazemore
6:22.0,,,43-40,2,D. Schroder makes 2-pt shot from 1 ft
6:01.0,K. Thompson makes 2-pt shot from 14 ft,2,45-40,,
5:44.0,,,45-40,,D. Dedmon misses 2-pt shot from 11 ft
5:41.0,Defensive rebound by D. West,,45-40,,
5:29.0,S. Curry makes 3-pt shot from 25 ft (assist by K. Durant),3,48-40,,
5:13.0,,,48-42,2,D. Schroder makes 2-pt shot from 18 ft
4:53.0,S. Curry makes 2-pt shot from 17 ft (assist by K. Durant),2,50-42,,
4:53.0,Shooting foul by D. Schroder (drawn by S. Curry),,50-42,,
4:53.0,,,50-42,,T. Waller-Prince enters the game for M. Delaney
4:53.0,D. Green enters the game for D. West,,50-42,,
4:53.0,J. Bell enters the game for O. Casspi,,50-42,,
4:53.0,S. Curry makes free throw 1 of 1,1,51-42,,
4:47.0,Personal foul by K. Thompson (drawn by D. Schroder),,51-42,,
4:38.0,,,51-42,,J. Collins misses 2-pt shot from 2 ft
4:31.0,Defensive rebound by J. Bell,,51-42,,
4:23.0,S. Curry makes 3-pt shot from 24 ft (assist by K. Durant),3,54-42,,
4:13.0,,,54-42,,T. Waller-Prince misses 3-pt shot from 24 ft
4:10.0,,,54-42,,Offensive rebound by J. Collins
4:08.0,,,54-45,3,K. Bazemore makes 3-pt shot from 24 ft (assist by J. Collins)
3:51.0,J. Bell misses 2-pt shot from 1 ft (block by J. Collins),,54-45,,
3:47.0,,,54-45,,Defensive rebound by J. Collins
3:45.0,,,54-48,3,K. Bazemore makes 3-pt shot from 24 ft (assist by D. Schroder)
3:27.0,S. Curry makes 2-pt shot from 1 ft (assist by D. Green),2,56-48,,
3:26.0,,,56-48,,Atlanta full timeout
3:26.0,,,56-48,,M. Muscala enters the game for D. Dedmon
3:13.0,,,56-48,,K. Bazemore misses 2-pt shot from 13 ft
3:11.0,,,56-48,,Offensive rebound by Team
3:00.0,,,56-48,,Turnover by T. Waller-Prince (bad pass; steal by D. Green)
2:58.0,J. Bell misses 2-pt shot from 1 ft (block by K. Bazemore),,56-48,,
2:58.0,Offensive rebound by Team,,56-48,,
2:55.0,K. Durant makes 2-pt shot from 18 ft (assist by S. Curry),2,58-48,,
2:37.0,,,58-48,,M. Muscala misses 3-pt shot from 22 ft (block by K. Thompson)
2:37.0,,,58-48,,Offensive rebound by Team
2:37.0,A. Iguodala enters the game for K. Thompson,,58-48,,
2:31.0,,,58-48,,D. Schroder misses 2-pt shot from 22 ft
2:27.0,Defensive rebound by A. Iguodala,,58-48,,
2:14.0,Turnover by A. Iguodala (out of bounds lost ball),,58-48,,
2:00.0,,,58-48,,Turnover by K. Bazemore (bad pass; steal by S. Curry)
1:51.0,S. Curry misses 3-pt shot from 25 ft,,58-48,,
1:46.0,Offensive rebound by J. Bell,,58-48,,
1:46.0,J. Bell misses 2-pt shot at rim,,58-48,,
1:45.0,,,58-48,,Defensive rebound by J. Collins
1:45.0,,,58-48,,Turnover by J. Collins (bad pass; steal by S. Curry)
1:45.0,Shooting foul by K. Bazemore (drawn by S. Curry),,58-48,,
1:45.0,S. Curry makes free throw 1 of 2,1,59-48,,
1:45.0,,,59-48,,D. Dedmon enters the game for J. Collins
1:45.0,,,59-48,,T. Dorsey enters the game for K. Bazemore
1:45.0,K. Thompson enters the game for J. Bell,,59-48,,
1:45.0,S. Curry makes free throw 2 of 2,1,60-48,,
1:24.0,,,60-50,2,D. Schroder makes 2-pt shot from 1 ft
1:04.0,S. Curry misses 3-pt shot from 24 ft,,60-50,,
1:01.0,,,60-50,,Defensive rebound by T. Waller-Prince
0:50.0,,,60-50,,T. Dorsey misses 2-pt shot from 23 ft
0:48.0,Defensive rebound by K. Thompson,,60-50,,
0:39.0,K. Durant misses 2-pt shot from 6 ft,,60-50,,
0:36.0,,,60-50,,Defensive rebound by M. Muscala
0:27.0,,,60-50,,Turnover by D. Schroder (bad pass)
0:27.0,N. Young enters the game for A. Iguodala,,60-50,,
0:27.0,,,60-50,,M. Delaney enters the game for M. Muscala
0:04.0,S. Curry makes 2-pt shot from 3 ft (assist by D. Green),2,62-50,,
0:02.0,Personal take foul by D. Green (drawn by D. Schroder),,62-50,,
0:02.0,A. Iguodala enters the game for K. Thompson,,62-50,,
0:02.0,J. Bell enters the game for S. Curry,,62-50,,
0:02.0,Q. Cook enters the game for D. Green,,62-50,,
0:00.0,,,62-50,,T. Waller-Prince misses 2-pt shot from 16 ft
0:00.0,,,62-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,J. McGee misses 2-pt shot from 1 ft,,62-50,,
11:41.0,,,62-50,,Defensive rebound by Team
11:25.0,,,62-50,,D. Dedmon misses 2-pt shot from 7 ft
11:22.0,Defensive rebound by J. McGee,,62-50,,
11:17.0,S. Curry makes 3-pt shot from 24 ft (assist by K. Durant),3,65-50,,
10:52.0,,,65-50,,K. Bazemore misses 3-pt shot from 25 ft
10:49.0,Defensive rebound by K. Durant,,65-50,,
10:43.0,S. Curry misses 3-pt shot from 23 ft,,65-50,,
10:38.0,,,65-50,,Defensive rebound by D. Schroder
10:36.0,,,65-50,,Shooting foul by D. Green (drawn by D. Dedmon)
10:36.0,,,65-51,1,D. Dedmon makes free throw 1 of 2
10:36.0,,,65-52,1,D. Dedmon makes free throw 2 of 2
10:19.0,,,65-52,,Personal foul by D. Schroder (drawn by S. Curry)
10:11.0,K. Durant makes 2-pt shot from 20 ft (assist by S. Curry),2,67-52,,
9:54.0,,,67-52,,D. Dedmon misses 3-pt shot from 24 ft
9:50.0,Defensive rebound by D. Green,,67-52,,
9:43.0,S. Curry misses 3-pt shot from 22 ft,,67-52,,
9:40.0,,,67-52,,Defensive rebound by D. Dedmon
9:37.0,,,67-52,,T. Waller-Prince misses 3-pt shot from 25 ft
9:35.0,,,67-52,,Offensive rebound by Team
9:35.0,Loose ball foul by J. McGee (drawn by D. Dedmon),,67-52,,
9:27.0,,,67-52,,D. Dedmon misses 2-pt shot from 14 ft
9:23.0,Defensive rebound by J. McGee,,67-52,,
9:18.0,Turnover by D. Green (lost ball; steal by T. Waller-Prince),,67-52,,
9:12.0,,,67-55,3,T. Waller-Prince makes 3-pt shot from 24 ft (assist by D. Schroder)
9:05.0,Turnover by J. McGee (bad pass; steal by K. Bazemore),,67-55,,
8:57.0,,,67-55,,Shooting foul by K. Durant (drawn by K. Bazemore)
8:57.0,,,67-56,1,K. Bazemore makes free throw 1 of 2
8:57.0,Z. Pachulia enters the game for J. McGee,,67-56,,
8:57.0,,,67-57,1,K. Bazemore makes free throw 2 of 2
8:45.0,K. Thompson makes 2-pt shot from 19 ft (assist by S. Curry),2,69-57,,
8:33.0,,,69-57,,T. Waller-Prince misses 3-pt shot from 28 ft
8:29.0,Defensive rebound by S. Curry,,69-57,,
8:25.0,K. Durant makes 2-pt shot from 19 ft,2,71-57,,
7:58.0,,,71-57,,D. Dedmon misses 3-pt shot from 22 ft
7:54.0,Defensive rebound by D. Green,,71-57,,
7:52.0,Turnover by K. Durant (traveling),,71-57,,
7:42.0,,,71-60,3,K. Bazemore makes 3-pt shot from 25 ft (assist by D. Dedmon)
7:25.0,K. Thompson makes 2-pt shot from 18 ft (assist by K. Durant),2,73-60,,
7:08.0,,,73-62,2,K. Bazemore makes 2-pt shot from 1 ft
7:08.0,,,73-62,,Shooting foul by Z. Pachulia (drawn by K. Bazemore)
7:08.0,,,73-63,1,K. Bazemore makes free throw 1 of 1
7:00.0,Offensive foul by K. Thompson (drawn by K. Bazemore),,73-63,,
7:00.0,Turnover by K. Thompson (offensive foul),,73-63,,
6:38.0,,,73-65,2,K. Bazemore makes 2-pt shot from 19 ft
6:24.0,,,73-65,,Personal foul by T. Waller-Prince (drawn by K. Durant)
6:24.0,,,73-65,,Atlanta full timeout
6:24.0,,,73-65,,M. Muscala enters the game for D. Dedmon
6:24.0,,,73-65,,M. Delaney enters the game for D. Schroder
6:24.0,Q. Cook enters the game for S. Curry,,73-65,,
6:13.0,K. Thompson makes 2-pt shot from 15 ft (assist by Z. Pachulia),2,75-65,,
5:58.0,,,75-65,,T. Waller-Prince misses 3-pt shot from 25 ft
5:54.0,Defensive rebound by Z. Pachulia,,75-65,,
5:48.0,K. Durant misses 3-pt shot from 25 ft,,75-65,,
5:46.0,,,75-65,,Defensive rebound by J. Collins
5:37.0,,,75-65,,T. Waller-Prince misses 3-pt shot from 24 ft
5:34.0,Defensive rebound by Z. Pachulia,,75-65,,
5:25.0,Shooting foul by K. Bazemore (drawn by K. Thompson),,75-65,,
5:25.0,K. Thompson makes free throw 1 of 2,1,76-65,,
5:25.0,A. Iguodala enters the game for D. Green,,76-65,,
5:25.0,K. Thompson misses free throw 2 of 2,,76-65,,
5:22.0,,,76-65,,Defensive rebound by J. Collins
5:10.0,,,76-65,,Shooting foul by K. Thompson (drawn by M. Delaney)
5:10.0,,,76-66,1,M. Delaney makes free throw 1 of 3
5:10.0,,,76-67,1,M. Delaney makes free throw 2 of 3
5:10.0,N. Young enters the game for K. Thompson,,76-67,,
5:10.0,,,76-68,1,M. Delaney makes free throw 3 of 3
4:53.0,,,76-68,,Personal foul by J. Collins (drawn by A. Iguodala)
4:49.0,K. Durant makes 2-pt shot from 13 ft (assist by Z. Pachulia),2,78-68,,
4:40.0,,,78-70,2,J. Collins makes 2-pt shot from 1 ft (assist by M. Delaney)
4:40.0,,,78-70,,Shooting foul by A. Iguodala (drawn by J. Collins)
4:40.0,,,78-70,,D. Schroder enters the game for K. Bazemore
4:40.0,J. Bell enters the game for Z. Pachulia,,78-70,,
4:40.0,,,78-71,1,J. Collins makes free throw 1 of 1
4:30.0,K. Durant makes 2-pt shot from 15 ft,2,80-71,,
4:09.0,,,80-71,,Turnover by J. Collins (traveling)
3:55.0,Q. Cook makes 2-pt shot from 15 ft (assist by J. Bell),2,82-71,,
3:42.0,,,82-71,,D. Schroder misses 3-pt shot from 24 ft
3:40.0,Defensive rebound by Team,,82-71,,
3:40.0,,,82-71,,M. Plumlee enters the game for T. Waller-Prince
3:40.0,,,82-71,,J. Morris enters the game for J. Collins
3:27.0,K. Durant misses 2-pt shot from 16 ft,,82-71,,
3:23.0,,,82-71,,Defensive rebound by M. Muscala
3:11.0,,,82-74,3,D. Schroder makes 3-pt shot from 24 ft (assist by M. Delaney)
2:52.0,N. Young misses 3-pt shot from 22 ft,,82-74,,
2:48.0,,,82-74,,Defensive rebound by D. Schroder
2:44.0,,,82-74,,D. Schroder misses 3-pt shot from 25 ft
2:40.0,Defensive rebound by J. Bell,,82-74,,
2:37.0,Shooting foul by D. Schroder (drawn by Q. Cook),,82-74,,
2:37.0,Golden State full timeout,,82-74,,
2:37.0,Q. Cook makes free throw 1 of 2,1,83-74,,
2:37.0,Q. Cook makes free throw 2 of 2,1,84-74,,
2:28.0,,,84-74,,Turnover by D. Schroder (bad pass; steal by J. Bell)
2:25.0,Turnover by J. Bell (bad pass),,84-74,,
2:13.0,,,84-74,,Offensive foul by M. Muscala (drawn by N. Young)
2:13.0,,,84-74,,Turnover by M. Muscala (offensive foul)
1:54.0,N. Young makes 3-pt shot from 24 ft (assist by A. Iguodala),3,87-74,,
1:33.0,,,87-76,2,J. Morris makes 2-pt shot from 12 ft (assist by M. Delaney)
1:16.0,A. Iguodala misses 3-pt shot from 24 ft,,87-76,,
1:12.0,,,87-76,,Defensive rebound by D. Schroder
0:56.0,,,87-76,,J. Morris misses 2-pt shot from 4 ft (block by K. Durant)
0:56.0,Defensive rebound by J. Bell,,87-76,,
0:49.0,Turnover by J. Bell (bad pass; steal by M. Delaney),,87-76,,
0:48.0,,,87-79,3,M. Delaney makes 3-pt shot from 23 ft
0:38.0,K. Durant makes 2-pt shot from 12 ft,2,89-79,,
0:29.0,,,89-81,2,D. Schroder makes 2-pt shot from 6 ft
0:13.0,,,89-81,,Personal foul by M. Delaney (drawn by K. Durant)
0:13.0,K. Durant makes free throw 1 of 2,1,90-81,,
0:13.0,D. Green enters the game for J. Bell,,90-81,,
0:13.0,,,90-81,,T. Waller-Prince enters the game for M. Plumlee
0:13.0,K. Durant misses free throw 2 of 2,,90-81,,
0:12.0,,,90-81,,Defensive rebound by T. Waller-Prince
0:00.0,,,90-84,2,D. Schroder makes 3-pt shot from 35 ft (assist by M. Muscala)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,90-84,,D. Schroder misses 3-pt shot from 22 ft
11:47.0,,,90-84,,Offensive rebound by Team
11:47.0,Loose ball foul by N. Young (drawn by M. Muscala),,90-84,,
11:32.0,,,90-84,,Turnover by Team (shot clock)
11:20.0,D. West misses 2-pt shot from 20 ft,,90-84,,
11:15.0,,,90-84,,Defensive rebound by M. Muscala
10:59.0,,,90-84,,Turnover by D. Schroder (bad pass; steal by D. West)
10:48.0,D. West makes 2-pt shot from 12 ft,2,92-84,,
10:29.0,,,92-84,,Turnover by D. Schroder (lost ball; steal by N. Young)
10:23.0,N. Young misses 3-pt shot from 25 ft,,92-84,,
10:19.0,,,92-84,,Defensive rebound by J. Morris
10:09.0,,,92-87,3,M. Muscala makes 3-pt shot from 22 ft (assist by I. Taylor)
9:47.0,Shooting foul by D. Dedmon (drawn by D. West),,92-87,,
9:47.0,D. West makes free throw 1 of 2,1,93-87,,
9:47.0,,,93-87,,T. Dorsey enters the game for D. Schroder
9:47.0,D. West makes free throw 2 of 2,1,94-87,,
9:31.0,,,94-87,,Offensive foul by D. Dedmon (drawn by N. Young)
9:31.0,,,94-87,,Turnover by D. Dedmon (offensive foul)
9:15.0,K. Thompson misses 2-pt shot from 19 ft,,94-87,,
9:12.0,,,94-87,,Defensive rebound by D. Dedmon
8:57.0,,,94-87,,I. Taylor misses 2-pt shot from 1 ft
8:54.0,Defensive rebound by D. Green,,94-87,,
8:47.0,N. Young makes 2-pt shot from 18 ft (assist by D. Green),2,96-87,,
8:45.0,,,96-87,,Atlanta full timeout
8:45.0,,,96-87,,K. Bazemore enters the game for T. Dorsey
8:27.0,,,96-87,,K. Bazemore misses 2-pt shot from 19 ft
8:24.0,Defensive rebound by D. West,,96-87,,
8:02.0,D. Green misses 3-pt shot from 28 ft,,96-87,,
7:59.0,,,96-87,,Defensive rebound by M. Muscala
7:40.0,,,96-87,,J. Morris misses 2-pt shot from 19 ft
7:37.0,Defensive rebound by A. Iguodala,,96-87,,
7:32.0,D. West makes 2-pt shot from 1 ft (assist by A. Iguodala),2,98-87,,
7:15.0,,,98-87,,K. Bazemore misses 2-pt shot from 7 ft
7:11.0,Defensive rebound by D. Green,,98-87,,
7:06.0,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green),3,101-87,,
7:05.0,,,101-87,,Atlanta full timeout
7:05.0,,,101-87,,T. Waller-Prince enters the game for J. Morris
7:05.0,,,101-87,,D. Schroder enters the game for I. Taylor
7:05.0,,,101-87,,J. Collins enters the game for M. Muscala
6:57.0,,,101-90,3,T. Waller-Prince makes 3-pt shot from 24 ft (assist by D. Schroder)
6:31.0,N. Young misses 3-pt shot from 22 ft,,101-90,,
6:27.0,,,101-90,,Defensive rebound by D. Dedmon
6:18.0,,,101-90,,D. Schroder misses 2-pt shot from 21 ft (block by A. Iguodala)
6:18.0,Defensive rebound by K. Thompson,,101-90,,
6:13.0,A. Iguodala makes 2-pt shot from 1 ft (assist by K. Thompson),2,103-90,,
5:53.0,,,103-92,2,J. Collins makes 2-pt shot from 12 ft
5:42.0,D. West misses 2-pt shot from 19 ft,,103-92,,
5:39.0,,,103-92,,Defensive rebound by J. Collins
5:29.0,,,103-94,2,J. Collins makes 2-pt shot at rim (assist by D. Schroder)
5:13.0,Turnover by D. West (bad pass),,103-94,,
5:13.0,K. Durant enters the game for N. Young,,103-94,,
4:59.0,,,103-94,,T. Waller-Prince misses 2-pt shot from 1 ft
4:56.0,Defensive rebound by K. Durant,,103-94,,
4:52.0,D. Green makes 2-pt shot at rim (assist by A. Iguodala),2,105-94,,
4:43.0,,,105-94,,D. Schroder misses 2-pt shot from 17 ft
4:37.0,Defensive rebound by K. Durant,,105-94,,
4:32.0,Turnover by D. Green (bad pass; steal by D. Dedmon),,105-94,,
4:25.0,,,105-97,3,K. Bazemore makes 3-pt shot from 22 ft (assist by T. Waller-Prince)
4:24.0,Golden State full timeout,,105-97,,
4:24.0,,,105-97,,M. Delaney enters the game for D. Dedmon
4:24.0,N. Young enters the game for D. West,,105-97,,
4:11.0,K. Durant misses 3-pt shot from 24 ft,,105-97,,
4:03.0,Offensive rebound by A. Iguodala,,105-97,,
4:03.0,A. Iguodala makes 2-pt shot at rim,2,107-97,,
