time,Oklahoma City,pts.away,score,pts.home,New Orleans
5:02.0,Oklahoma City full timeout,,25-10,,
5:02.0,,,25-10,,J. Nelson enters the game for R. Rondo
5:02.0,,,25-10,,D. Miller enters the game for E. Moore
4:54.0,,,25-10,,Personal block foul by D. Cousins (drawn by R. Westbrook)
4:47.0,A. Abrines makes 2-pt shot from 13 ft (assist by R. Westbrook),2,27-10,,
4:31.0,,,27-10,,Turnover by D. Miller (bad pass; steal by A. Roberson)
4:23.0,J. Grant makes 2-pt shot from 1 ft (assist by A. Abrines),2,29-10,,
3:56.0,,,29-10,,J. Holiday misses 2-pt shot from 21 ft
3:54.0,Defensive rebound by C. Anthony,,29-10,,
3:45.0,J. Grant misses 3-pt shot from 27 ft,,29-10,,
3:43.0,,,29-10,,Defensive rebound by A. Davis
3:30.0,,,29-12,2,J. Holiday makes 2-pt shot from 1 ft (assist by D. Cousins)
3:21.0,A. Abrines misses 2-pt shot from 4 ft (block by D. Cousins),,29-12,,
3:19.0,,,29-12,,Defensive rebound by D. Miller
3:13.0,,,29-14,2,J. Holiday makes 2-pt shot from 1 ft (assist by D. Miller)
2:59.0,A. Abrines misses 3-pt shot from 27 ft,,29-14,,
2:58.0,,,29-14,,Defensive rebound by D. Cousins
2:49.0,,,29-17,3,J. Holiday makes 3-pt shot from 22 ft (assist by D. Cousins)
2:33.0,R. Westbrook makes 2-pt shot from 18 ft,2,31-17,,
2:18.0,,,31-17,,J. Holiday misses 2-pt shot from 1 ft
2:15.0,Defensive rebound by R. Westbrook,,31-17,,
2:09.0,,,31-17,,Personal foul by D. Miller (drawn by A. Abrines)
2:09.0,,,31-17,,D. Cunningham enters the game for A. Davis
2:09.0,R. Felton enters the game for R. Westbrook,,31-17,,
2:09.0,P. George enters the game for C. Anthony,,31-17,,
2:09.0,P. Patterson enters the game for A. Roberson,,31-17,,
1:56.0,P. George misses 2-pt shot from 18 ft,,31-17,,
1:54.0,,,31-17,,Defensive rebound by D. Cousins
1:48.0,,,31-17,,D. Cousins misses 2-pt shot from 1 ft
1:47.0,,,31-17,,Offensive rebound by D. Cousins
1:46.0,,,31-17,,D. Cousins misses 2-pt shot from 2 ft
1:45.0,,,31-17,,Offensive rebound by D. Cousins
1:44.0,,,31-19,2,D. Cousins makes 2-pt shot at rim
1:27.0,Turnover by J. Grant (lost ball; steal by J. Nelson),,31-19,,
1:11.0,,,31-19,,Shooting foul by P. Patterson (drawn by D. Cousins)
1:11.0,,,31-20,1,D. Cousins makes free throw 1 of 2
1:11.0,,,31-20,,T. Allen enters the game for J. Holiday
1:11.0,D. Johnson enters the game for J. Grant,,31-20,,
1:11.0,,,31-21,1,D. Cousins makes free throw 2 of 2
1:03.0,R. Felton makes 2-pt shot from 20 ft,2,33-21,,
0:40.0,Jump ball: T. Allen vs. P. George (A. Abrines gains possession),,,,Jump ball: T. Allen vs. P. George (A. Abrines gains possession)
0:37.0,,,33-21,,Turnover by T. Allen (turnover; steal by P. George)
0:28.0,D. Johnson misses 2-pt shot from 2 ft,,33-21,,
0:27.0,Offensive rebound by D. Johnson,,33-21,,
0:23.0,D. Johnson misses 2-pt shot from 2 ft,,33-21,,
0:21.0,,,33-21,,Defensive rebound by D. Miller
0:01.0,,,33-24,3,D. Miller makes 3-pt shot from 23 ft (assist by D. Cousins)
0:00.0,Turnover by P. Patterson (bad pass; steal by T. Allen),,33-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,33-27,3,D. Miller makes 3-pt shot from 25 ft (assist by A. Davis)
11:34.0,A. Abrines misses 3-pt shot from 23 ft,,33-27,,
11:30.0,,,33-27,,Defensive rebound by D. Cunningham
11:27.0,,,33-29,2,J. Nelson makes 2-pt shot from 22 ft
11:16.0,P. George makes 2-pt shot from 21 ft,2,35-29,,
11:05.0,Personal foul by D. Johnson (drawn by A. Davis),,35-29,,
11:05.0,J. Grant enters the game for A. Abrines,,35-29,,
11:05.0,J. Huestis enters the game for D. Johnson,,35-29,,
10:58.0,Def 3 sec tech foul by P. George,,35-29,,
10:58.0,,,35-29,,A. Davis misses technical free throw
10:58.0,,,35-29,,Offensive rebound by Team
10:51.0,,,35-31,2,J. Nelson makes 2-pt shot from 23 ft
10:37.0,P. George misses 3-pt shot from 25 ft,,35-31,,
10:34.0,,,35-31,,Defensive rebound by D. Miller
10:25.0,,,35-33,2,T. Allen makes 2-pt shot at rim (assist by D. Miller)
10:09.0,J. Huestis misses 3-pt shot from 22 ft,,35-33,,
10:04.0,,,35-33,,Defensive rebound by D. Cunningham
10:00.0,,,35-33,,D. Miller misses 3-pt shot from 25 ft
9:55.0,Defensive rebound by J. Huestis,,35-33,,
9:49.0,R. Felton misses 2-pt shot at rim,,35-33,,
9:42.0,,,35-33,,Defensive rebound by A. Davis
9:34.0,,,35-33,,Shooting foul by P. Patterson (drawn by A. Davis)
9:34.0,,,35-34,1,A. Davis makes free throw 1 of 2
9:34.0,,,35-35,1,A. Davis makes free throw 2 of 2
9:23.0,P. George makes 2-pt shot from 17 ft,2,37-35,,
9:06.0,,,37-35,,Turnover by D. Cunningham (bad pass; steal by R. Felton)
9:03.0,,,37-35,,Personal foul by J. Nelson (drawn by J. Grant)
9:00.0,,,37-35,,Personal foul by A. Davis (drawn by P. George)
9:00.0,R. Westbrook enters the game for J. Huestis,,37-35,,
8:51.0,P. George misses 2-pt shot from 3 ft,,37-35,,
8:47.0,,,37-35,,Defensive rebound by J. Nelson
8:39.0,,,37-37,2,A. Davis makes 2-pt shot from 4 ft (assist by J. Nelson)
8:39.0,,,37-37,,Shooting foul by P. Patterson (drawn by A. Davis)
8:39.0,,,37-38,1,A. Davis makes free throw 1 of 1
8:33.0,,,37-38,,Personal foul by T. Allen (drawn by J. Grant)
8:33.0,C. Anthony enters the game for P. Patterson,,37-38,,
8:24.0,Turnover by R. Westbrook (step out of bounds),,37-38,,
8:09.0,,,37-38,,Turnover by D. Miller (lost ball; steal by P. George)
8:02.0,J. Grant makes 2-pt shot from 1 ft (assist by P. George),2,39-38,,
7:46.0,,,39-38,,Turnover by J. Nelson (bad pass)
7:35.0,C. Anthony misses 3-pt shot from 23 ft,,39-38,,
7:31.0,,,39-38,,Defensive rebound by T. Allen
7:24.0,,,39-40,2,A. Davis makes 2-pt shot from 2 ft (assist by T. Allen)
7:24.0,,,39-40,,Shooting foul by C. Anthony (drawn by A. Davis)
7:24.0,,,39-40,,R. Rondo enters the game for J. Nelson
7:24.0,A. Roberson enters the game for P. George,,39-40,,
7:24.0,,,39-41,1,A. Davis makes free throw 1 of 1
7:17.0,Shooting foul by D. Miller (drawn by R. Felton),,39-41,,
7:17.0,,,39-41,,D. Cousins enters the game for D. Miller
7:17.0,,,39-41,,J. Holiday enters the game for A. Davis
7:17.0,S. Adams enters the game for J. Grant,,39-41,,
7:17.0,R. Felton makes free throw 2 of 2,1,40-41,,
7:17.0,R. Felton makes free throw 1 of 2,1,41-41,,
6:44.0,,,41-41,,D. Cousins misses 2-pt shot from 1 ft
6:39.0,Defensive rebound by C. Anthony,,41-41,,
6:39.0,,,41-41,,Violation by J. Holiday (kicked ball)
6:39.0,,,41-41,,New Orleans full timeout
6:39.0,,,41-41,,E. Moore enters the game for T. Allen
6:28.0,R. Westbrook makes 2-pt shot from 20 ft,2,43-41,,
6:12.0,,,43-41,,D. Cousins misses 3-pt shot from 25 ft
6:06.0,Defensive rebound by R. Felton,,43-41,,
6:02.0,R. Westbrook misses 2-pt shot from 18 ft,,43-41,,
5:59.0,Offensive rebound by Team,,43-41,,
5:59.0,,,43-41,,A. Davis enters the game for D. Cunningham
5:39.0,,,43-41,,Turnover by A. Davis (bad pass; steal by R. Westbrook)
5:35.0,R. Felton misses 3-pt shot from 25 ft,,43-41,,
5:29.0,Offensive rebound by C. Anthony,,43-41,,
5:28.0,C. Anthony misses 2-pt shot from 1 ft,,43-41,,
5:23.0,Offensive rebound by C. Anthony,,43-41,,
5:22.0,C. Anthony makes 2-pt shot from 1 ft,2,45-41,,
5:10.0,,,45-41,,D. Cousins misses 2-pt shot from 4 ft
5:07.0,Defensive rebound by C. Anthony,,45-41,,
5:03.0,P. George enters the game for R. Felton,,45-41,,
4:57.0,Shooting foul by J. Holiday (drawn by R. Westbrook),,45-41,,
4:57.0,R. Westbrook makes free throw 1 of 2,1,46-41,,
4:57.0,R. Westbrook makes free throw 2 of 2,1,47-41,,
4:52.0,,,47-43,2,D. Cousins makes 2-pt shot at rim (assist by R. Rondo)
4:36.0,C. Anthony makes 2-pt shot from 14 ft (assist by P. George),2,49-43,,
4:17.0,,,49-45,2,D. Cousins makes 2-pt shot from 2 ft (assist by J. Holiday)
4:01.0,Shooting foul by J. Holiday (drawn by C. Anthony),,49-45,,
4:01.0,C. Anthony makes free throw 1 of 2,1,50-45,,
4:01.0,C. Anthony misses free throw 2 of 2,,50-45,,
3:58.0,,,50-45,,Defensive rebound by A. Davis
3:50.0,,,50-47,2,E. Moore makes 2-pt shot from 22 ft
3:31.0,R. Westbrook makes 3-pt shot from 25 ft,3,53-47,,
3:24.0,,,53-49,2,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo)
3:15.0,P. George misses 3-pt shot from 25 ft,,53-49,,
3:15.0,Offensive rebound by P. George,,53-49,,
3:15.0,Oklahoma City full timeout,,53-49,,
3:06.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,55-49,,
2:49.0,Jump ball: A. Davis vs. A. Roberson (R. Rondo gains possession),,,,Jump ball: A. Davis vs. A. Roberson (R. Rondo gains possession)
2:44.0,,,55-49,,Turnover by R. Rondo (bad pass; steal by C. Anthony)
2:42.0,C. Anthony misses 2-pt shot from 20 ft,,55-49,,
2:40.0,,,55-49,,Defensive rebound by A. Davis
2:33.0,,,55-51,2,D. Cousins makes 2-pt shot at rim (assist by R. Rondo)
2:13.0,C. Anthony makes 2-pt shot from 1 ft,2,57-51,,
2:02.0,,,57-51,,J. Holiday misses 3-pt shot from 25 ft
2:00.0,Defensive rebound by C. Anthony,,57-51,,
1:47.0,S. Adams makes 2-pt shot from 6 ft (assist by R. Westbrook),2,59-51,,
1:31.0,,,59-51,,A. Davis misses 2-pt shot from 12 ft
1:28.0,Defensive rebound by P. George,,59-51,,
1:24.0,Shooting foul by A. Davis (drawn by S. Adams),,59-51,,
1:24.0,S. Adams misses free throw 1 of 2,,59-51,,
1:24.0,Offensive rebound by Team,,59-51,,
1:24.0,S. Adams makes free throw 2 of 2,1,60-51,,
1:12.0,,,60-51,,D. Cousins misses 2-pt shot from 2 ft (block by S. Adams)
1:12.0,,,60-51,,Offensive rebound by Team
1:12.0,D. Johnson enters the game for S. Adams,,60-51,,
1:09.0,,,60-51,,R. Rondo misses 2-pt shot from 19 ft
1:07.0,,,60-51,,Offensive rebound by Team
1:07.0,Loose ball foul by D. Johnson (drawn by D. Cousins),,60-51,,
1:07.0,,,60-52,1,D. Cousins makes free throw 1 of 2
1:07.0,,,60-53,1,D. Cousins makes free throw 2 of 2
0:58.0,Shooting foul by E. Moore (drawn by R. Westbrook),,60-53,,
0:58.0,R. Westbrook makes free throw 1 of 2,1,61-53,,
0:58.0,,,61-53,,J. Nelson enters the game for J. Holiday
0:58.0,R. Westbrook makes free throw 2 of 2,1,62-53,,
0:47.0,Def 3 sec tech foul by C. Anthony,,62-53,,
0:47.0,,,62-54,1,A. Davis makes technical free throw
0:39.0,,,62-54,,Shooting foul by D. Johnson (drawn by A. Davis)
0:39.0,,,62-55,1,A. Davis makes free throw 1 of 2
0:39.0,,,62-55,,A. Davis misses free throw 2 of 2
0:36.0,Defensive rebound by R. Westbrook,,62-55,,
0:33.0,R. Westbrook misses 3-pt shot from 25 ft,,62-55,,
0:27.0,,,62-55,,Defensive rebound by A. Davis
0:14.0,,,62-55,,Shooting foul by C. Anthony (drawn by A. Davis)
0:14.0,,,62-56,1,A. Davis makes free throw 1 of 2
0:14.0,,,62-56,,D. Cunningham enters the game for D. Cousins
0:14.0,,,62-56,,T. Allen enters the game for J. Nelson
0:14.0,A. Abrines enters the game for A. Roberson,,62-56,,
0:14.0,,,62-57,1,A. Davis makes free throw 2 of 2
0:04.0,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook),3,65-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,65-59,2,J. Holiday makes 2-pt shot from 8 ft
11:23.0,R. Westbrook misses 3-pt shot from 26 ft,,65-59,,
11:17.0,,,65-59,,Defensive rebound by E. Moore
11:13.0,,,65-59,,D. Cousins misses 3-pt shot from 26 ft
11:08.0,Defensive rebound by R. Westbrook,,65-59,,
11:05.0,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook),2,67-59,,
10:39.0,,,67-59,,D. Cousins misses 3-pt shot from 25 ft
10:38.0,Defensive rebound by A. Roberson,,67-59,,
10:32.0,Turnover by A. Roberson (bad pass; steal by E. Moore),,67-59,,
10:26.0,,,67-61,2,E. Moore makes 2-pt shot from 1 ft
10:06.0,Turnover by S. Adams (lost ball; steal by D. Cousins),,67-61,,
10:00.0,,,67-63,2,D. Cousins makes 2-pt shot from 2 ft (assist by J. Holiday)
10:00.0,Oklahoma City full timeout,,67-63,,
9:48.0,C. Anthony misses 3-pt shot from 24 ft,,67-63,,
9:44.0,,,67-63,,Defensive rebound by D. Cousins
9:31.0,,,67-63,,E. Moore misses 3-pt shot from 24 ft
9:27.0,Defensive rebound by R. Westbrook,,67-63,,
9:10.0,R. Westbrook misses 2-pt shot from 19 ft,,67-63,,
9:06.0,,,67-63,,Defensive rebound by D. Cousins
9:00.0,,,67-63,,J. Holiday misses 3-pt shot from 25 ft
8:55.0,Defensive rebound by R. Westbrook,,67-63,,
8:51.0,Offensive charge foul by R. Westbrook (drawn by D. Cousins),,67-63,,
8:51.0,Turnover by R. Westbrook (offensive foul),,67-63,,
8:37.0,,,67-65,2,D. Cousins makes 2-pt shot from 1 ft
8:36.0,Violation by A. Roberson (def goaltending),,67-65,,
8:24.0,P. George misses 2-pt shot from 2 ft,,67-65,,
8:24.0,S. Adams makes 2-pt shot from 1 ft,2,69-65,,
8:19.0,Offensive rebound by S. Adams,,69-65,,
8:08.0,,,69-65,,D. Cousins misses 3-pt shot from 24 ft
8:03.0,Defensive rebound by C. Anthony,,69-65,,
7:56.0,Shooting foul by R. Rondo (drawn by R. Westbrook),,69-65,,
7:56.0,R. Westbrook makes free throw 1 of 2,1,70-65,,
7:56.0,R. Westbrook misses free throw 2 of 2,,70-65,,
7:52.0,,,70-65,,Defensive rebound by J. Holiday
7:30.0,,,70-67,2,R. Rondo makes 2-pt shot from 1 ft
7:11.0,P. George makes 2-pt shot from 6 ft,2,72-67,,
6:57.0,,,72-67,,E. Moore misses 2-pt shot from 11 ft
6:53.0,Defensive rebound by R. Westbrook,,72-67,,
6:51.0,P. George misses 2-pt shot from 18 ft,,72-67,,
6:47.0,Offensive rebound by Team,,72-67,,
6:44.0,Shooting foul by E. Moore (drawn by R. Westbrook),,72-67,,
6:44.0,R. Westbrook makes free throw 1 of 2,1,73-67,,
6:44.0,A. Abrines enters the game for P. George,,73-67,,
6:44.0,R. Westbrook makes free throw 2 of 2,1,74-67,,
6:36.0,,,74-67,,A. Davis misses 3-pt shot from 25 ft
6:34.0,Defensive rebound by Team,,74-67,,
6:13.0,C. Anthony makes 2-pt shot from 15 ft,2,76-67,,
5:58.0,,,76-69,2,A. Davis makes 2-pt shot at rim (assist by R. Rondo)
5:35.0,R. Westbrook misses 2-pt shot from 20 ft,,76-69,,
5:31.0,,,76-69,,Defensive rebound by R. Rondo
5:25.0,,,76-72,3,J. Holiday makes 3-pt shot from 25 ft (assist by R. Rondo)
5:04.0,C. Anthony misses 3-pt shot from 24 ft,,76-72,,
5:01.0,Offensive rebound by R. Westbrook,,76-72,,
5:00.0,R. Westbrook misses 2-pt shot from 1 ft,,76-72,,
5:00.0,,,76-72,,Defensive rebound by D. Cousins
5:00.0,,,76-72,,Technical foul by D. Cousins (drawn by R. Westbrook)
5:00.0,,,76-72,,Turnover by D. Cousins (turnover)
5:00.0,R. Westbrook makes technical free throw,1,77-72,,
5:00.0,R. Westbrook misses technical free throw,,77-72,,
5:00.0,Offensive rebound by Team,,77-72,,
5:00.0,,,77-72,,J. Nelson enters the game for D. Cousins
5:00.0,,,77-72,,D. Miller enters the game for R. Rondo
5:00.0,,,77-72,,D. Cunningham enters the game for J. Holiday
4:47.0,S. Adams misses 2-pt shot from 1 ft,,77-72,,
4:44.0,,,77-72,,Defensive rebound by A. Davis
4:29.0,,,77-75,2,J. Nelson makes 3-pt shot from 32 ft (assist by D. Miller)
4:15.0,Shooting foul by J. Nelson (drawn by A. Abrines),,77-75,,
4:15.0,A. Abrines makes free throw 1 of 2,1,78-75,,
4:15.0,J. Grant enters the game for S. Adams,,78-75,,
4:15.0,A. Abrines makes free throw 2 of 2,1,79-75,,
4:01.0,,,79-75,,D. Cunningham misses 3-pt shot from 22 ft
3:58.0,,,79-75,,Offensive rebound by D. Miller
3:54.0,,,79-78,3,E. Moore makes 3-pt shot from 25 ft (assist by D. Miller)
3:45.0,,,79-78,,Personal foul by D. Cunningham (drawn by C. Anthony)
3:45.0,C. Anthony makes free throw 2 of 2,1,80-78,,
3:45.0,C. Anthony makes free throw 1 of 2,1,81-78,,
3:32.0,,,81-81,3,D. Miller makes 3-pt shot from 25 ft (assist by J. Nelson)
3:11.0,Turnover by C. Anthony (traveling),,81-81,,
3:11.0,P. Patterson enters the game for C. Anthony,,81-81,,
3:11.0,,,81-81,,Turnover by A. Davis (offensive goaltending)
2:58.0,,,81-81,,New Orleans full timeout
2:58.0,R. Felton enters the game for A. Abrines,,81-81,,
2:58.0,P. George enters the game for A. Roberson,,81-81,,
2:40.0,R. Westbrook misses 3-pt shot from 26 ft,,81-81,,
2:37.0,,,81-81,,Defensive rebound by A. Davis
2:21.0,,,81-81,,A. Davis misses 2-pt shot from 13 ft
2:19.0,,,81-81,,Offensive rebound by D. Cunningham
2:17.0,,,81-81,,Turnover by D. Cunningham (lost ball; steal by R. Westbrook)
2:17.0,Turnover by R. Westbrook (traveling),,81-81,,
2:17.0,,,81-81,,T. Allen enters the game for E. Moore
2:12.0,,,81-83,2,J. Nelson makes 2-pt shot from 2 ft (assist by A. Davis)
1:55.0,R. Felton misses 3-pt shot from 23 ft,,81-83,,
1:52.0,,,81-83,,Defensive rebound by T. Allen
1:36.0,,,81-83,,Turnover by A. Davis (turnover)
1:14.0,J. Grant makes 2-pt shot from 7 ft,2,83-83,,
0:59.0,,,83-85,2,T. Allen makes 2-pt shot at rim (assist by A. Davis)
0:52.0,R. Westbrook misses 2-pt shot from 21 ft,,83-85,,
0:44.0,,,83-85,,Defensive rebound by D. Miller
0:41.0,,,83-85,,Turnover by A. Davis (traveling)
0:31.0,Shooting foul by A. Davis (drawn by J. Grant),,83-85,,
0:31.0,J. Grant makes free throw 1 of 2,1,84-85,,
0:31.0,J. Grant misses free throw 2 of 2,,84-85,,
0:29.0,,,84-85,,Defensive rebound by D. Cunningham
0:18.0,,,84-85,,Turnover by J. Nelson (lost ball; steal by P. George)
0:05.0,,,84-85,,Personal foul by J. Nelson (drawn by P. George)
0:05.0,P. George makes free throw 1 of 2,1,85-85,,
0:05.0,,,85-85,,E. Moore enters the game for T. Allen
0:05.0,A. Roberson enters the game for R. Westbrook,,85-85,,
0:05.0,P. George makes free throw 2 of 2,1,86-85,,
0:00.0,Personal take foul by A. Roberson (drawn by E. Moore),,86-85,,
0:00.0,,,86-87,2,A. Davis makes 2-pt shot from 1 ft (assist by J. Nelson)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,P. Patterson misses 2-pt shot from 10 ft,,86-87,,
11:40.0,,,86-87,,Defensive rebound by D. Miller
11:30.0,Away from play foul by P. Patterson (drawn by A. Davis),,86-87,,
11:00.0,,,86-89,2,D. Miller makes 2-pt shot from 11 ft (assist by J. Nelson)
10:46.0,P. George misses 3-pt shot from 24 ft,,86-89,,
10:43.0,,,86-89,,Defensive rebound by T. Allen
10:32.0,,,86-89,,A. Davis misses 2-pt shot from 20 ft
10:31.0,,,86-89,,Offensive rebound by T. Allen
10:31.0,,,86-91,2,T. Allen makes 2-pt shot from 1 ft
10:31.0,,,86-91,,Shooting foul by A. Roberson (drawn by T. Allen)
10:31.0,,,86-91,,T. Allen misses free throw 1 of 1
10:28.0,Defensive rebound by P. George,,86-91,,
10:20.0,,,86-91,,Personal foul by D. Cunningham (drawn by P. George)
10:20.0,A. Abrines enters the game for A. Roberson,,86-91,,
10:09.0,R. Felton misses 3-pt shot from 28 ft,,86-91,,
10:06.0,,,86-91,,Defensive rebound by T. Allen
9:50.0,Personal foul by P. George (drawn by A. Davis),,86-91,,
9:38.0,,,86-91,,J. Nelson misses 3-pt shot from 33 ft
9:32.0,Defensive rebound by A. Abrines,,86-91,,
9:29.0,Oklahoma City full timeout,,86-91,,
9:29.0,,,86-91,,J. Holiday enters the game for D. Cunningham
9:17.0,Shooting foul by J. Holiday (drawn by J. Grant),,86-91,,
9:17.0,J. Grant misses free throw 1 of 2,,86-91,,
9:17.0,Offensive rebound by Team,,86-91,,
9:17.0,J. Grant makes free throw 2 of 2,1,87-91,,
9:08.0,Personal foul by R. Felton (drawn by A. Davis),,87-91,,
9:08.0,,,87-91,,R. Rondo enters the game for J. Nelson
8:56.0,,,87-93,2,J. Holiday makes 2-pt shot from 1 ft
8:36.0,J. Grant makes 2-pt shot from 2 ft,2,89-93,,
8:19.0,,,89-93,,J. Holiday misses 3-pt shot from 26 ft
8:17.0,Defensive rebound by R. Felton,,89-93,,
8:08.0,R. Felton makes 2-pt shot from 18 ft,2,91-93,,
7:52.0,Personal foul by A. Abrines (drawn by A. Davis),,91-93,,
7:52.0,,,91-93,,A. Davis misses free throw 1 of 2
7:52.0,,,91-93,,Offensive rebound by Team
7:52.0,,,91-93,,E. Moore enters the game for D. Miller
7:52.0,S. Adams enters the game for J. Grant,,91-93,,
7:52.0,R. Westbrook enters the game for P. George,,91-93,,
7:52.0,C. Anthony enters the game for P. Patterson,,91-93,,
7:52.0,,,91-94,1,A. Davis makes free throw 2 of 2
7:41.0,A. Abrines misses 3-pt shot from 26 ft,,91-94,,
7:37.0,,,91-94,,Defensive rebound by A. Davis
7:29.0,,,91-94,,A. Davis misses 2-pt shot from 20 ft
7:25.0,Defensive rebound by R. Westbrook,,91-94,,
7:21.0,Turnover by C. Anthony (lost ball; steal by J. Holiday),,91-94,,
7:16.0,,,91-94,,E. Moore misses 3-pt shot from 23 ft
7:06.0,,,91-94,,Offensive rebound by A. Davis
7:06.0,,,91-96,2,A. Davis makes 2-pt shot at rim
7:03.0,C. Anthony misses 3-pt shot from 25 ft,,91-96,,
6:58.0,,,91-96,,Defensive rebound by J. Holiday
6:55.0,,,91-96,,T. Allen misses 2-pt shot from 1 ft
6:50.0,Defensive rebound by R. Westbrook,,91-96,,
