time,New Orleans,pts.away,score,pts.home,Chicago
7:56.0,Defensive rebound by J. Holiday,,23-22,,
7:50.0,J. Nelson makes 2-pt shot from 12 ft (assist by J. Holiday),2,25-22,,
7:48.0,,,25-22,,Chicago full timeout
7:48.0,,,25-22,,L. Markkanen enters the game for P. Zipser
7:48.0,I. Clark enters the game for J. Nelson,,25-22,,
7:35.0,,,25-22,,D. Valentine misses 2-pt shot from 10 ft
7:33.0,Defensive rebound by A. Davis,,25-22,,
7:29.0,J. Holiday misses 2-pt shot from 9 ft,,25-22,,
7:26.0,,,25-22,,Defensive rebound by C. Felicio
7:18.0,,,25-22,,L. Markkanen misses 2-pt shot from 1 ft (block by A. Davis)
7:12.0,,,25-22,,C. Felicio misses 2-pt shot from 1 ft
7:12.0,,,25-22,,Offensive rebound by C. Felicio
7:11.0,,,25-22,,Offensive rebound by C. Felicio
7:10.0,,,25-22,,C. Felicio misses 2-pt shot at rim
7:09.0,Defensive rebound by A. Davis,,25-22,,
7:03.0,Turnover by A. Davis (lost ball; steal by K. Dunn),,25-22,,
6:56.0,,,25-24,2,K. Dunn makes 2-pt shot at rim
6:43.0,,,25-24,,Def 3 sec tech foul by D. Valentine
6:43.0,I. Clark misses technical free throw,,25-24,,
6:43.0,Offensive rebound by Team,,25-24,,
6:43.0,,,25-24,,J. Holiday enters the game for D. Valentine
6:43.0,D. Cousins enters the game for D. Miller,,25-24,,
6:29.0,D. Cousins misses 3-pt shot from 26 ft (block by D. Nwaba),,25-24,,
6:29.0,Offensive rebound by Team,,25-24,,
6:29.0,Turnover by Team (shot clock),,25-24,,
6:16.0,,,25-24,,J. Holiday misses 3-pt shot from 24 ft
6:13.0,Defensive rebound by D. Cousins,,25-24,,
6:05.0,D. Cousins misses 2-pt shot from 3 ft,,25-24,,
6:02.0,,,25-24,,Defensive rebound by C. Felicio
5:57.0,,,25-24,,K. Dunn misses 2-pt shot from 13 ft
5:57.0,Defensive rebound by Team,,25-24,,
5:57.0,,,25-24,,Loose ball foul by C. Felicio (drawn by D. Cousins)
5:57.0,,,25-24,,J. Grant enters the game for C. Felicio
5:57.0,,,25-24,,R. Lopez enters the game for K. Dunn
5:57.0,D. Miller enters the game for A. Davis,,25-24,,
5:52.0,New Orleans full timeout,,25-24,,
5:52.0,D. Cunningham enters the game for T. Allen,,25-24,,
5:39.0,Turnover by D. Cousins (bad pass; steal by J. Holiday),,25-24,,
5:35.0,,,25-24,,J. Holiday misses 2-pt shot at rim
5:33.0,Defensive rebound by I. Clark,,25-24,,
5:30.0,D. Miller misses 3-pt shot from 26 ft,,25-24,,
5:25.0,Offensive rebound by D. Cunningham,,25-24,,
5:18.0,D. Cousins makes 2-pt shot from 2 ft (assist by D. Miller),2,27-24,,
4:55.0,,,27-27,3,D. Nwaba makes 3-pt shot from 22 ft (assist by L. Markkanen)
4:37.0,I. Clark misses 2-pt shot from 17 ft (block by J. Holiday),,27-27,,
4:34.0,,,27-27,,Defensive rebound by L. Markkanen
4:31.0,,,27-27,,L. Markkanen misses 3-pt shot from 24 ft
4:27.0,Defensive rebound by D. Cunningham,,27-27,,
4:19.0,J. Holiday makes 2-pt shot from 1 ft,2,29-27,,
3:57.0,,,29-27,,J. Grant misses 3-pt shot from 24 ft
3:54.0,,,29-27,,Offensive rebound by R. Lopez
3:50.0,,,29-27,,Turnover by R. Lopez (lost ball; steal by D. Cunningham)
3:44.0,D. Cousins makes 2-pt shot from 1 ft (assist by I. Clark),2,31-27,,
3:19.0,,,31-27,,J. Holiday misses 2-pt shot from 2 ft
3:17.0,,,31-27,,Offensive rebound by J. Holiday
3:17.0,,,31-27,,J. Holiday misses 2-pt shot at rim
3:15.0,,,31-27,,Offensive rebound by D. Nwaba
3:14.0,,,31-29,2,D. Nwaba makes 2-pt shot from 1 ft
3:08.0,D. Cousins misses 2-pt shot from 2 ft,,31-29,,
3:08.0,,,31-29,,Defensive rebound by J. Holiday
2:58.0,,,31-29,,L. Markkanen misses 2-pt shot from 2 ft
2:58.0,,,31-29,,Offensive rebound by L. Markkanen
2:58.0,,,31-29,,Shooting foul by D. Miller (drawn by L. Markkanen)
2:58.0,,,31-30,1,L. Markkanen makes free throw 1 of 2
2:58.0,,,31-30,,D. Valentine enters the game for D. Nwaba
2:58.0,J. Nelson enters the game for J. Holiday,,31-30,,
2:58.0,A. Davis enters the game for D. Miller,,31-30,,
2:58.0,,,31-31,1,L. Markkanen makes free throw 2 of 2
2:39.0,D. Cousins misses 2-pt shot from 1 ft,,31-31,,
2:37.0,,,31-31,,Defensive rebound by R. Lopez
2:23.0,,,31-31,,Turnover by J. Holiday (lost ball; steal by D. Cousins)
2:10.0,I. Clark misses 3-pt shot from 27 ft,,31-31,,
2:08.0,,,31-31,,Defensive rebound by L. Markkanen
2:01.0,,,31-31,,L. Markkanen misses 3-pt shot from 25 ft
1:58.0,Defensive rebound by D. Cousins,,31-31,,
1:55.0,A. Davis makes 2-pt shot from 1 ft (assist by D. Cousins),2,33-31,,
1:35.0,,,33-31,,R. Lopez misses 2-pt shot from 21 ft
1:30.0,,,33-31,,Offensive rebound by J. Grant
1:29.0,,,33-33,2,D. Valentine makes 2-pt shot from 18 ft (assist by J. Grant)
1:10.0,D. Cunningham makes 2-pt shot from 1 ft (assist by J. Nelson),2,35-33,,
0:55.0,,,35-35,2,D. Valentine makes 2-pt shot from 20 ft
0:49.0,Turnover by J. Nelson (bad pass; steal by D. Valentine),,35-35,,
0:45.0,,,35-37,2,J. Grant makes 2-pt shot from 1 ft (assist by D. Valentine)
0:45.0,Shooting block foul by A. Davis (drawn by J. Grant),,35-37,,
0:45.0,J. Holiday enters the game for I. Clark,,35-37,,
0:45.0,,,35-38,1,J. Grant makes free throw 1 of 1
0:29.0,J. Nelson makes 3-pt shot from 25 ft (assist by J. Holiday),3,38-38,,
0:05.0,,,38-38,,Turnover by D. Valentine (out of bounds lost ball)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,D. Cousins misses 3-pt shot from 26 ft,,38-38,,
11:41.0,,,38-38,,Defensive rebound by J. Grant
11:30.0,,,38-38,,J. Holiday misses 2-pt shot from 20 ft
11:26.0,Defensive rebound by A. Davis,,38-38,,
11:18.0,J. Holiday makes 2-pt shot from 21 ft (assist by D. Cousins),2,40-38,,
10:59.0,,,40-38,,J. Holiday misses 2-pt shot from 3 ft
10:57.0,Defensive rebound by E. Moore,,40-38,,
10:36.0,D. Cousins misses 2-pt shot from 3 ft,,40-38,,
10:36.0,,,40-38,,Defensive rebound by Team
10:25.0,,,40-40,2,L. Markkanen makes 2-pt shot from 1 ft
10:17.0,Turnover by D. Cousins (traveling),,40-40,,
9:58.0,,,40-42,2,R. Lopez makes 2-pt shot from 23 ft (assist by J. Grant)
9:42.0,J. Holiday makes 2-pt shot from 1 ft,2,42-42,,
9:29.0,,,42-45,3,J. Holiday makes 3-pt shot from 25 ft (assist by L. Markkanen)
9:10.0,D. Cunningham misses 2-pt shot at rim (block by L. Markkanen),,42-45,,
9:06.0,,,42-45,,Defensive rebound by D. Nwaba
9:03.0,,,42-45,,D. Nwaba misses 2-pt shot from 1 ft
8:58.0,Defensive rebound by D. Cunningham,,42-45,,
8:49.0,J. Holiday misses 2-pt shot from 1 ft (block by J. Grant),,42-45,,
8:45.0,,,42-45,,Defensive rebound by D. Nwaba
8:34.0,,,42-45,,D. Nwaba misses 2-pt shot from 1 ft
8:32.0,,,42-45,,Offensive rebound by J. Grant
8:25.0,,,42-47,2,D. Nwaba makes 2-pt shot from 1 ft (assist by J. Holiday)
8:06.0,Shooting foul by R. Lopez (drawn by D. Cousins),,42-47,,
8:06.0,D. Cousins misses free throw 1 of 2,,42-47,,
8:06.0,Offensive rebound by Team,,42-47,,
8:06.0,D. Cousins makes free throw 2 of 2,1,43-47,,
7:56.0,,,43-49,2,J. Grant makes 2-pt shot from 17 ft (assist by L. Markkanen)
7:37.0,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday),2,45-49,,
7:22.0,,,45-49,,Turnover by R. Lopez (bad pass; steal by E. Moore)
7:18.0,Turnover by A. Davis (lost ball; steal by D. Nwaba),,45-49,,
7:14.0,,,45-49,,L. Markkanen misses 3-pt shot from 25 ft
7:12.0,Defensive rebound by A. Davis,,45-49,,
6:59.0,D. Cunningham misses 3-pt shot from 24 ft,,45-49,,
6:54.0,,,45-49,,Defensive rebound by J. Holiday
6:51.0,,,45-51,2,J. Holiday makes 2-pt shot from 1 ft
6:38.0,Shooting foul by R. Lopez (drawn by A. Davis),,45-51,,
6:38.0,,,45-51,,Chicago full timeout
6:38.0,J. Nelson enters the game for D. Cousins,,45-51,,
6:38.0,D. Miller enters the game for E. Moore,,45-51,,
6:38.0,A. Davis makes free throw 1 of 2,1,46-51,,
6:38.0,A. Davis makes free throw 2 of 2,1,47-51,,
6:25.0,,,47-54,3,J. Holiday makes 3-pt shot from 24 ft (assist by J. Grant)
6:14.0,,,47-54,,Personal foul by D. Nwaba (drawn by A. Davis)
6:07.0,Turnover by D. Cunningham (traveling),,47-54,,
5:55.0,,,47-54,,J. Grant misses 2-pt shot from 2 ft
5:55.0,,,47-54,,Offensive rebound by R. Lopez
5:54.0,,,47-54,,R. Lopez misses 2-pt shot at rim
5:54.0,,,47-54,,Offensive rebound by Team
5:49.0,,,47-56,2,J. Holiday makes 2-pt shot from 3 ft (assist by J. Grant)
5:42.0,J. Holiday misses 2-pt shot from 17 ft,,47-56,,
5:42.0,,,47-56,,Defensive rebound by J. Holiday
5:31.0,,,47-56,,J. Holiday misses 3-pt shot from 25 ft
5:27.0,Defensive rebound by D. Cunningham,,47-56,,
5:20.0,A. Davis misses 2-pt shot from 6 ft,,47-56,,
5:17.0,Offensive rebound by J. Holiday,,47-56,,
5:17.0,J. Holiday misses 2-pt shot at rim,,47-56,,
5:17.0,,,47-56,,Defensive rebound by J. Holiday
5:17.0,,,47-56,,Offensive charge foul by D. Nwaba (drawn by J. Nelson)
5:17.0,,,47-56,,Turnover by D. Nwaba (offensive foul)
5:17.0,,,47-56,,Chicago full timeout
5:17.0,,,47-56,,D. Valentine enters the game for D. Nwaba
5:17.0,T. Allen enters the game for D. Cunningham,,47-56,,
4:59.0,Turnover by D. Miller (lost ball; steal by J. Holiday),,47-56,,
4:48.0,,,47-56,,Offensive foul by L. Markkanen (drawn by T. Allen)
4:48.0,,,47-56,,Turnover by L. Markkanen (offensive foul)
4:48.0,,,47-56,,P. Zipser enters the game for L. Markkanen
4:27.0,J. Holiday misses 2-pt shot from 1 ft,,47-56,,
4:24.0,Offensive rebound by A. Davis,,47-56,,
4:23.0,A. Davis makes 2-pt shot at rim,2,49-56,,
4:09.0,,,49-56,,R. Lopez misses 2-pt shot from 4 ft
4:07.0,Defensive rebound by A. Davis,,49-56,,
4:03.0,J. Nelson misses 2-pt shot from 21 ft,,49-56,,
4:00.0,,,49-56,,Defensive rebound by R. Lopez
3:52.0,Personal foul by T. Allen (drawn by D. Valentine),,49-56,,
3:37.0,,,49-56,,D. Valentine misses 3-pt shot from 23 ft
3:30.0,Defensive rebound by D. Miller,,49-56,,
3:28.0,J. Holiday misses 3-pt shot from 25 ft,,49-56,,
3:25.0,,,49-56,,Defensive rebound by D. Valentine
3:06.0,,,49-58,2,P. Zipser makes 2-pt shot from 1 ft (assist by D. Valentine)
2:51.0,D. Miller makes 3-pt shot from 24 ft (assist by J. Nelson),3,52-58,,
2:35.0,,,52-58,,R. Lopez misses 2-pt shot from 20 ft
2:32.0,,,52-58,,Offensive rebound by P. Zipser
2:32.0,,,52-60,2,P. Zipser makes 2-pt shot from 2 ft
2:20.0,A. Davis makes 3-pt shot from 25 ft (assist by J. Nelson),3,55-60,,
2:02.0,,,55-60,,Shooting foul by J. Holiday (drawn by R. Lopez)
2:02.0,,,55-60,,R. Lopez misses free throw 1 of 2
2:02.0,,,55-60,,Offensive rebound by Team
2:02.0,,,55-60,,K. Dunn enters the game for J. Grant
2:02.0,D. Cousins enters the game for T. Allen,,55-60,,
2:02.0,,,55-61,1,R. Lopez makes free throw 2 of 2
1:49.0,A. Davis misses 2-pt shot from 3 ft,,55-61,,
1:39.0,,,55-61,,Defensive rebound by R. Lopez
1:34.0,,,55-61,,P. Zipser misses 2-pt shot from 6 ft
1:30.0,Defensive rebound by J. Nelson,,55-61,,
1:27.0,Turnover by J. Holiday (bad pass; steal by K. Dunn),,55-61,,
1:22.0,,,55-64,3,D. Valentine makes 3-pt shot from 25 ft (assist by K. Dunn)
1:07.0,J. Nelson misses 2-pt shot from 1 ft,,55-64,,
1:04.0,,,55-64,,Defensive rebound by P. Zipser
1:01.0,,,55-64,,K. Dunn misses 3-pt shot from 22 ft
1:01.0,Defensive rebound by J. Holiday,,55-64,,
0:41.0,D. Miller makes 2-pt shot from 20 ft,2,57-64,,
0:27.0,,,57-64,,Turnover by R. Lopez (turnover)
0:10.0,J. Holiday misses 3-pt shot from 23 ft,,57-64,,
0:07.0,,,57-64,,Defensive rebound by K. Dunn
0:03.0,,,57-64,,Turnover by D. Valentine (lost ball; steal by J. Nelson)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,57-64,,K. Dunn misses 2-pt shot from 21 ft
11:37.0,Defensive rebound by J. Nelson,,57-64,,
11:24.0,D. Cousins makes 2-pt shot from 2 ft (assist by I. Clark),2,59-64,,
