time,Orlando,pts.away,score,pts.home,Chicago
10:22.0,,,24-35,,Defensive rebound by B. Portis
10:16.0,,,24-38,3,B. Portis makes 3-pt shot from 26 ft (assist by D. Nwaba)
10:15.0,Orlando full timeout,,24-38,,
9:59.0,D. Augustin makes 3-pt shot from 26 ft,3,27-38,,
9:39.0,,,27-41,3,N. Mirotic makes 3-pt shot from 23 ft (assist by B. Portis)
9:14.0,S. Mack misses 2-pt shot from 7 ft,,27-41,,
9:12.0,,,27-41,,Defensive rebound by D. Nwaba
9:05.0,,,27-43,2,N. Mirotic makes 2-pt shot from 1 ft (assist by D. Nwaba)
8:58.0,D. Augustin makes 3-pt shot from 24 ft (assist by J. Isaac),3,30-43,,
8:44.0,,,30-45,2,J. Grant makes 2-pt shot at rim
8:22.0,Shooting foul by D. Nwaba (drawn by S. Mack),,30-45,,
8:22.0,S. Mack makes free throw 1 of 2,1,31-45,,
8:22.0,J. Simmons enters the game for A. Afflalo,,31-45,,
8:22.0,N. Vucevic enters the game for B. Biyombo,,31-45,,
8:22.0,S. Mack makes free throw 2 of 2,1,32-45,,
8:12.0,,,32-45,,B. Portis misses 3-pt shot from 24 ft
8:08.0,Defensive rebound by S. Mack,,32-45,,
8:07.0,Turnover by S. Mack (lost ball; steal by D. Nwaba),,32-45,,
8:07.0,,,32-45,,Offensive charge foul by D. Nwaba (drawn by D. Augustin)
8:07.0,,,32-45,,Turnover by D. Nwaba (offensive foul)
8:07.0,E. Payton enters the game for S. Mack,,32-45,,
7:50.0,J. Isaac makes 2-pt shot from 1 ft (assist by N. Vucevic),2,34-45,,
7:33.0,Violation by D. Augustin (kicked ball),,34-45,,
7:17.0,,,34-45,,N. Mirotic misses 3-pt shot from 26 ft
7:15.0,,,34-45,,Offensive rebound by P. Zipser
7:13.0,,,34-45,,P. Zipser misses 2-pt shot from 3 ft
7:13.0,Defensive rebound by N. Vucevic,,34-45,,
7:05.0,,,34-45,,Personal foul by D. Nwaba (drawn by J. Isaac)
7:05.0,,,34-45,,D. Valentine enters the game for D. Nwaba
7:05.0,,,34-45,,L. Markkanen enters the game for N. Mirotic
7:05.0,M. Hezonja enters the game for J. Isaac,,34-45,,
6:54.0,J. Simmons misses 2-pt shot from 1 ft,,34-45,,
6:52.0,,,34-45,,Defensive rebound by B. Portis
6:48.0,Personal foul by M. Hezonja (drawn by L. Markkanen),,34-45,,
6:38.0,,,34-47,2,B. Portis makes 2-pt shot from 2 ft (assist by J. Grant)
6:22.0,N. Vucevic misses 2-pt shot from 3 ft,,34-47,,
6:20.0,,,34-47,,Defensive rebound by D. Valentine
6:13.0,,,34-49,2,B. Portis makes 2-pt shot from 4 ft (assist by D. Valentine)
6:02.0,M. Hezonja misses 3-pt shot from 26 ft,,34-49,,
6:02.0,,,34-49,,Defensive rebound by P. Zipser
5:54.0,,,34-49,,Offensive foul by P. Zipser (drawn by E. Payton)
5:54.0,,,34-49,,Turnover by P. Zipser (offensive foul)
5:54.0,,,34-49,,K. Dunn enters the game for J. Grant
5:37.0,Turnover by N. Vucevic (bad pass; steal by K. Dunn),,34-49,,
5:30.0,,,34-49,,D. Valentine misses 2-pt shot from 18 ft
5:28.0,Defensive rebound by J. Simmons,,34-49,,
5:14.0,E. Payton makes 2-pt shot from 1 ft,2,36-49,,
5:03.0,,,36-49,,K. Dunn misses 3-pt shot from 22 ft
5:00.0,Defensive rebound by E. Payton,,36-49,,
4:53.0,E. Payton makes 2-pt shot at rim,2,38-49,,
4:53.0,Shooting foul by L. Markkanen (drawn by E. Payton),,38-49,,
4:53.0,,,38-49,,R. Lopez enters the game for B. Portis
4:53.0,,,38-49,,J. Holiday enters the game for P. Zipser
4:53.0,E. Payton misses free throw 1 of 1,,38-49,,
4:50.0,,,38-49,,Defensive rebound by L. Markkanen
4:36.0,Personal foul by N. Vucevic (drawn by L. Markkanen),,38-49,,
4:30.0,,,38-49,,D. Valentine misses 3-pt shot from 24 ft
4:28.0,,,38-49,,Offensive rebound by R. Lopez
4:22.0,,,38-49,,Turnover by D. Valentine (bad pass; steal by D. Augustin)
4:16.0,M. Hezonja misses 3-pt shot from 25 ft,,38-49,,
4:12.0,,,38-49,,Defensive rebound by K. Dunn
4:11.0,,,38-49,,Turnover by K. Dunn (lost ball; steal by D. Augustin)
4:07.0,N. Vucevic misses 3-pt shot from 25 ft,,38-49,,
4:07.0,Offensive rebound by Team,,38-49,,
4:07.0,,,38-49,,Loose ball foul by L. Markkanen (drawn by M. Hezonja)
4:02.0,E. Payton makes 2-pt shot from 1 ft,2,40-49,,
4:02.0,,,40-49,,Chicago full timeout
3:48.0,,,40-52,3,D. Valentine makes 3-pt shot from 23 ft (assist by K. Dunn)
3:27.0,D. Augustin misses 3-pt shot from 24 ft,,40-52,,
3:25.0,,,40-52,,Defensive rebound by R. Lopez
3:10.0,,,40-52,,R. Lopez misses 2-pt shot from 19 ft
3:07.0,Defensive rebound by E. Payton,,40-52,,
2:58.0,N. Vucevic makes 2-pt shot from 6 ft (assist by E. Payton),2,42-52,,
2:34.0,,,42-52,,L. Markkanen misses 2-pt shot from 5 ft
2:32.0,Defensive rebound by N. Vucevic,,42-52,,
2:28.0,M. Hezonja makes 2-pt shot from 1 ft (assist by E. Payton),2,44-52,,
2:20.0,,,44-54,2,J. Holiday makes 2-pt shot from 21 ft
2:06.0,E. Payton makes 2-pt shot from 1 ft,2,46-54,,
1:50.0,,,46-54,,K. Dunn misses 2-pt shot from 11 ft
1:44.0,Defensive rebound by E. Payton,,46-54,,
1:34.0,N. Vucevic makes 2-pt shot from 1 ft (assist by E. Payton),2,48-54,,
1:18.0,,,48-54,,Turnover by K. Dunn (bad pass)
1:18.0,,,48-54,,J. Grant enters the game for L. Markkanen
1:18.0,,,48-54,,N. Mirotic enters the game for K. Dunn
0:57.0,M. Hezonja misses 3-pt shot from 26 ft,,48-54,,
0:57.0,,,48-54,,Defensive rebound by Team
0:57.0,B. Biyombo enters the game for N. Vucevic,,48-54,,
0:51.0,,,48-57,3,J. Holiday makes 3-pt shot from 24 ft (assist by J. Grant)
0:40.0,J. Simmons misses 2-pt shot from 5 ft,,48-57,,
0:36.0,,,48-57,,Defensive rebound by D. Valentine
0:16.0,,,48-59,2,J. Grant makes 2-pt shot at rim
0:02.0,J. Simmons misses 2-pt shot from 9 ft,,48-59,,
0:02.0,,,48-59,,Defensive rebound by N. Mirotic
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,J. Simmons makes 2-pt shot from 1 ft,2,50-59,,
11:36.0,Personal foul by M. Hezonja (drawn by L. Markkanen),,50-59,,
11:32.0,,,50-59,,Shooting foul by E. Payton (drawn by K. Dunn)
11:32.0,,,50-60,1,K. Dunn makes free throw 1 of 2
11:32.0,,,50-61,1,K. Dunn makes free throw 2 of 2
11:12.0,J. Simmons makes 2-pt shot from 20 ft (assist by N. Vucevic),2,52-61,,
10:55.0,,,52-63,2,D. Valentine makes 2-pt shot from 1 ft (assist by K. Dunn)
10:44.0,W. Iwundu misses 3-pt shot from 25 ft,,52-63,,
10:41.0,,,52-63,,Defensive rebound by K. Dunn
10:35.0,,,52-63,,K. Dunn misses 3-pt shot from 25 ft
10:34.0,Defensive rebound by Team,,52-63,,
10:16.0,N. Vucevic misses 2-pt shot from 13 ft,,52-63,,
10:14.0,,,52-63,,Defensive rebound by K. Dunn
10:05.0,,,52-65,2,R. Lopez makes 2-pt shot from 3 ft (assist by K. Dunn)
9:53.0,E. Payton misses 2-pt shot from 3 ft (block by R. Lopez),,52-65,,
9:53.0,Offensive rebound by Team,,52-65,,
9:51.0,Turnover by J. Simmons (bad pass; steal by K. Dunn),,52-65,,
9:40.0,,,52-67,2,L. Markkanen makes 2-pt shot from 14 ft (assist by K. Dunn)
9:38.0,Orlando full timeout,,52-67,,
9:15.0,N. Vucevic misses 2-pt shot from 20 ft,,52-67,,
9:12.0,,,52-67,,Defensive rebound by D. Valentine
9:02.0,,,52-70,3,J. Holiday makes 3-pt shot from 24 ft (assist by D. Valentine)
8:46.0,N. Vucevic misses 3-pt shot from 26 ft,,52-70,,
8:43.0,,,52-70,,Defensive rebound by D. Valentine
8:37.0,,,52-70,,D. Valentine misses 2-pt shot from 13 ft
8:35.0,Defensive rebound by Team,,52-70,,
8:35.0,J. Isaac enters the game for M. Hezonja,,52-70,,
8:17.0,J. Simmons misses 3-pt shot from 25 ft,,52-70,,
8:13.0,,,52-70,,Defensive rebound by R. Lopez
7:51.0,,,52-70,,L. Markkanen misses 3-pt shot from 27 ft
7:48.0,Defensive rebound by N. Vucevic,,52-70,,
7:42.0,E. Payton misses 2-pt shot from 15 ft,,52-70,,
7:38.0,,,52-70,,Defensive rebound by L. Markkanen
7:31.0,,,52-70,,R. Lopez misses 2-pt shot from 8 ft
7:29.0,Defensive rebound by N. Vucevic,,52-70,,
7:25.0,E. Payton makes 2-pt shot from 4 ft (assist by N. Vucevic),2,54-70,,
7:04.0,,,54-72,2,K. Dunn makes 2-pt shot from 1 ft (assist by J. Holiday)
7:04.0,,,54-72,,Shooting foul by N. Vucevic (drawn by K. Dunn)
7:04.0,,,54-73,1,K. Dunn makes free throw 1 of 1
6:49.0,,,54-73,,Def 3 sec tech foul by D. Valentine
6:49.0,N. Vucevic makes technical free throw,1,55-73,,
6:37.0,W. Iwundu misses 2-pt shot from 21 ft,,55-73,,
6:32.0,,,55-73,,Defensive rebound by J. Holiday
6:26.0,,,55-75,2,K. Dunn makes 2-pt shot from 8 ft
6:09.0,W. Iwundu misses 3-pt shot from 25 ft,,55-75,,
6:07.0,,,55-75,,Defensive rebound by K. Dunn
6:00.0,,,55-75,,R. Lopez misses 2-pt shot from 18 ft
5:58.0,,,55-75,,Offensive rebound by K. Dunn
5:57.0,,,55-77,2,K. Dunn makes 2-pt shot from 15 ft
5:57.0,Orlando full timeout,,55-77,,
5:57.0,D. Augustin enters the game for W. Iwundu,,55-77,,
5:40.0,J. Isaac misses 2-pt shot from 2 ft (block by L. Markkanen),,55-77,,
5:37.0,,,55-77,,Defensive rebound by R. Lopez
5:33.0,,,55-77,,K. Dunn misses 3-pt shot from 26 ft
5:30.0,Defensive rebound by N. Vucevic,,55-77,,
5:18.0,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Payton),2,57-77,,
4:57.0,,,57-77,,L. Markkanen misses 2-pt shot from 18 ft
4:55.0,Defensive rebound by J. Simmons,,57-77,,
4:35.0,J. Isaac misses 2-pt shot from 3 ft (block by J. Holiday),,57-77,,
4:32.0,,,57-77,,Defensive rebound by R. Lopez
4:31.0,,,57-79,2,L. Markkanen makes 2-pt shot at rim (assist by J. Holiday)
4:31.0,,,57-79,,Shooting foul by N. Vucevic (drawn by L. Markkanen)
4:31.0,B. Biyombo enters the game for J. Isaac,,57-79,,
4:31.0,A. Afflalo enters the game for N. Vucevic,,57-79,,
4:31.0,,,57-80,1,L. Markkanen makes free throw 1 of 1
4:21.0,,,57-80,,Personal foul by D. Valentine (drawn by D. Augustin)
4:21.0,,,57-80,,N. Mirotic enters the game for L. Markkanen
4:13.0,Turnover by D. Augustin (bad pass; steal by K. Dunn),,57-80,,
4:07.0,,,57-82,2,N. Mirotic makes 2-pt shot at rim (assist by D. Valentine)
3:56.0,A. Afflalo misses 2-pt shot from 12 ft,,57-82,,
3:56.0,,,57-82,,Defensive rebound by N. Mirotic
3:45.0,,,57-84,2,N. Mirotic makes 2-pt shot from 1 ft (assist by D. Valentine)
3:30.0,E. Payton makes 2-pt shot from 1 ft,2,59-84,,
3:22.0,,,59-86,2,D. Valentine makes 2-pt shot from 1 ft (assist by J. Holiday)
3:22.0,Orlando full timeout,,59-86,,
3:22.0,,,59-86,,D. Nwaba enters the game for D. Valentine
3:22.0,J. Artis enters the game for E. Payton,,59-86,,
3:22.0,S. Mack enters the game for J. Simmons,,59-86,,
3:10.0,,,59-86,,Personal foul by K. Dunn (drawn by S. Mack)
3:02.0,A. Afflalo misses 2-pt shot from 17 ft,,59-86,,
2:59.0,,,59-86,,Defensive rebound by N. Mirotic
2:40.0,,,59-86,,R. Lopez misses 2-pt shot from 5 ft
2:38.0,Defensive rebound by S. Mack,,59-86,,
2:26.0,A. Afflalo makes 2-pt shot from 19 ft (assist by D. Augustin),2,61-86,,
2:06.0,,,61-86,,J. Holiday misses 3-pt shot from 22 ft
2:02.0,Defensive rebound by J. Artis,,61-86,,
1:50.0,B. Biyombo makes 2-pt shot at rim (assist by A. Afflalo),2,63-86,,
1:33.0,,,63-88,2,K. Dunn makes 2-pt shot from 5 ft
1:15.0,D. Augustin misses 3-pt shot from 24 ft,,63-88,,
1:10.0,,,63-88,,Defensive rebound by N. Mirotic
1:03.0,,,63-88,,R. Lopez misses 2-pt shot from 1 ft
1:00.0,,,63-88,,Offensive rebound by R. Lopez
1:00.0,,,63-88,,R. Lopez misses 2-pt shot from 1 ft
1:00.0,Defensive rebound by J. Artis,,63-88,,
1:00.0,,,63-88,,Personal foul by N. Mirotic (drawn by J. Artis)
1:00.0,,,63-88,,J. Grant enters the game for K. Dunn
1:00.0,,,63-88,,B. Portis enters the game for R. Lopez
0:44.0,Turnover by S. Mack (bad pass),,63-88,,
0:34.0,Personal foul by A. Afflalo (drawn by B. Portis),,63-88,,
0:34.0,,,63-89,1,B. Portis makes free throw 1 of 2
0:34.0,,,63-89,,P. Zipser enters the game for J. Holiday
0:34.0,,,63-90,1,B. Portis makes free throw 2 of 2
0:28.0,J. Artis misses 3-pt shot from 24 ft,,63-90,,
0:23.0,,,63-90,,Defensive rebound by N. Mirotic
0:20.0,,,63-90,,Offensive charge foul by B. Portis (drawn by D. Augustin)
0:20.0,,,63-90,,Turnover by B. Portis (offensive foul)
0:00.0,Shooting foul by D. Nwaba (drawn by D. Augustin),,63-90,,
0:00.0,D. Augustin makes free throw 1 of 3,1,64-90,,
0:00.0,D. Augustin makes free throw 2 of 3,1,65-90,,
0:00.0,D. Augustin makes free throw 3 of 3,1,66-90,,
0:00.0,,,66-90,,J. Grant misses 3-pt shot at rim
0:00.0,,,66-90,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,66-90,,B. Portis misses 2-pt shot from 10 ft
11:33.0,Defensive rebound by N. Vucevic,,66-90,,
11:20.0,Turnover by D. Augustin (bad pass; steal by D. Nwaba),,66-90,,
11:04.0,,,66-90,,Shooting foul by J. Simmons (drawn by B. Portis)
11:04.0,,,66-91,1,B. Portis makes free throw 1 of 2
11:04.0,,,66-92,1,B. Portis makes free throw 2 of 2
10:50.0,J. Artis misses 2-pt shot from 9 ft,,66-92,,
10:48.0,,,66-92,,Defensive rebound by B. Portis
10:40.0,,,66-95,3,N. Mirotic makes 3-pt shot from 26 ft (assist by J. Grant)
10:25.0,J. Artis misses 2-pt shot from 3 ft (block by J. Grant),,66-95,,
10:25.0,Offensive rebound by Team,,66-95,,
10:22.0,J. Simmons misses 2-pt shot from 16 ft,,66-95,,
10:19.0,,,66-95,,Defensive rebound by J. Grant
10:18.0,,,66-95,,Turnover by J. Grant (bad pass; steal by D. Augustin)
10:14.0,N. Vucevic makes 2-pt shot from 1 ft (assist by J. Artis),2,68-95,,
9:57.0,,,68-95,,P. Zipser misses 2-pt shot from 11 ft
9:53.0,Defensive rebound by N. Vucevic,,68-95,,
9:46.0,J. Artis makes 2-pt shot from 5 ft (assist by S. Mack),2,70-95,,
9:23.0,,,70-95,,J. Grant misses 2-pt shot from 18 ft
9:17.0,,,70-95,,Offensive rebound by D. Nwaba
9:17.0,,,70-97,2,D. Nwaba makes 2-pt shot at rim
9:12.0,N. Vucevic misses 2-pt shot from 1 ft (block by N. Mirotic),,70-97,,
9:09.0,,,70-97,,Defensive rebound by N. Mirotic
9:03.0,,,70-97,,P. Zipser misses 3-pt shot from 25 ft
9:03.0,,,70-97,,Offensive rebound by B. Portis
9:01.0,,,70-97,,B. Portis misses 2-pt shot from 2 ft (block by J. Simmons)
9:01.0,Defensive rebound by Team,,70-97,,
9:01.0,Technical foul by N. Vucevic,,70-97,,
9:01.0,,,70-98,1,N. Mirotic makes technical free throw
9:01.0,E. Payton enters the game for S. Mack,,70-98,,
8:41.0,N. Vucevic misses 2-pt shot from 14 ft,,70-98,,
8:37.0,,,70-98,,Defensive rebound by B. Portis
8:17.0,,,70-100,2,J. Grant makes 2-pt shot from 20 ft (assist by N. Mirotic)
7:54.0,J. Artis makes 2-pt shot from 2 ft (assist by J. Simmons),2,72-100,,
7:40.0,,,72-100,,Turnover by N. Mirotic (bad pass)
7:28.0,E. Payton misses 3-pt shot from 23 ft,,72-100,,
7:19.0,,,72-100,,Defensive rebound by J. Grant
7:19.0,Personal foul by E. Payton (drawn by D. Nwaba),,72-100,,
7:10.0,,,72-102,2,N. Mirotic makes 2-pt shot from 1 ft (assist by D. Nwaba)
6:49.0,J. Artis misses 3-pt shot from 25 ft,,72-102,,
6:49.0,Offensive rebound by N. Vucevic,,72-102,,
6:44.0,N. Vucevic makes 2-pt shot from 2 ft,2,74-102,,
6:29.0,,,74-102,,B. Portis misses 3-pt shot from 24 ft
6:29.0,Defensive rebound by J. Simmons,,74-102,,
6:24.0,,,74-102,,Personal foul by P. Zipser (drawn by J. Simmons)
6:24.0,,,74-102,,Chicago full timeout
6:24.0,,,74-102,,Q. Pondexter enters the game for B. Portis
6:24.0,,,74-102,,C. Felicio enters the game for N. Mirotic
6:24.0,M. Hezonja enters the game for D. Augustin,,74-102,,
6:24.0,S. Mack enters the game for N. Vucevic,,74-102,,
6:24.0,A. Payne enters the game for J. Simmons,,74-102,,
6:24.0,W. Iwundu enters the game for E. Payton,,74-102,,
6:12.0,Shooting foul by Q. Pondexter (drawn by S. Mack),,74-102,,
6:12.0,S. Mack makes free throw 1 of 2,1,75-102,,
6:12.0,S. Mack makes free throw 2 of 2,1,76-102,,
5:47.0,,,76-102,,Turnover by Team (shot clock)
5:37.0,M. Hezonja misses 2-pt shot from 17 ft,,76-102,,
5:33.0,Offensive rebound by W. Iwundu,,76-102,,
5:27.0,M. Hezonja makes 2-pt shot from 1 ft,2,78-102,,
5:13.0,,,78-102,,Q. Pondexter misses 3-pt shot from 23 ft
5:09.0,Defensive rebound by J. Artis,,78-102,,
4:53.0,S. Mack misses 3-pt shot from 25 ft,,78-102,,
4:53.0,Offensive rebound by Team,,78-102,,
4:53.0,,,78-102,,Loose ball foul by J. Grant (drawn by A. Payne)
4:45.0,A. Payne makes 2-pt shot from 20 ft (assist by S. Mack),2,80-102,,
4:31.0,,,80-102,,Turnover by C. Felicio (turnover)
4:22.0,Shooting foul by P. Zipser (drawn by A. Payne),,80-102,,
4:22.0,A. Payne misses free throw 1 of 2,,80-102,,
4:22.0,Offensive rebound by Team,,80-102,,
4:22.0,,,80-102,,D. Valentine enters the game for D. Nwaba
4:22.0,A. Payne makes free throw 2 of 2,1,81-102,,
