time,LA Lakers,pts.away,score,pts.home,Cleveland
5:30.0,,,14-9,,L. James misses 3-pt shot from 26 ft
5:27.0,Defensive rebound by B. Ingram,,14-9,,
5:20.0,L. Nance makes 2-pt shot from 7 ft (assist by B. Ingram),2,16-9,,
5:06.0,,,16-11,2,K. Love makes 2-pt shot from 16 ft (assist by L. James)
4:59.0,B. Lopez misses 2-pt shot from 2 ft (block by J. Smith),,16-11,,
4:55.0,,,16-11,,Defensive rebound by K. Love
4:53.0,,,16-13,2,L. James makes 2-pt shot from 1 ft (assist by J. Calderon)
4:32.0,L. Ball misses 3-pt shot from 25 ft,,16-13,,
4:31.0,Offensive rebound by L. Nance,,16-13,,
4:26.0,J. Hart makes 2-pt shot from 1 ft (assist by L. Ball),2,18-13,,
4:03.0,,,18-16,3,J. Calderon makes 3-pt shot from 25 ft (assist by K. Love)
3:49.0,B. Lopez makes 2-pt shot from 8 ft (assist by L. Ball),2,20-16,,
3:29.0,,,20-16,,L. James misses 2-pt shot from 2 ft
3:27.0,Defensive rebound by B. Ingram,,20-16,,
3:20.0,J. Hart misses 2-pt shot from 3 ft,,20-16,,
3:18.0,,,20-16,,Defensive rebound by K. Love
3:16.0,,,20-18,2,L. James makes 2-pt shot from 1 ft (assist by K. Love)
3:16.0,LA Lakers full timeout,,20-18,,
3:16.0,,,20-18,,D. Wade enters the game for J. Calderon
3:16.0,,,20-18,,J. Green enters the game for J. Crowder
3:16.0,J. Clarkson enters the game for J. Hart,,20-18,,
3:16.0,K. Kuzma enters the game for L. Nance,,20-18,,
3:03.0,Offensive foul by B. Lopez (drawn by K. Love),,20-18,,
3:03.0,Turnover by B. Lopez (offensive foul),,20-18,,
2:49.0,,,20-18,,K. Love misses 2-pt shot from 3 ft (block by B. Lopez)
2:47.0,Defensive rebound by L. Ball,,20-18,,
2:39.0,J. Clarkson misses 3-pt shot from 24 ft,,20-18,,
2:36.0,,,20-18,,Defensive rebound by L. James
2:29.0,,,20-18,,Turnover by L. James (bad pass; steal by B. Ingram)
2:25.0,B. Lopez makes 2-pt shot from 3 ft (assist by L. Ball),2,22-18,,
2:09.0,,,22-21,3,K. Love makes 3-pt shot from 25 ft (assist by D. Wade)
1:52.0,K. Kuzma makes 2-pt shot from 1 ft (assist by L. Ball),2,24-21,,
1:38.0,Personal foul by L. Ball (drawn by K. Love),,24-21,,
1:38.0,,,24-21,,K. Korver enters the game for K. Love
1:38.0,,,24-21,,C. Frye enters the game for J. Smith
1:38.0,J. Randle enters the game for B. Lopez,,24-21,,
1:28.0,,,24-21,,Shooting foul by K. Kuzma (drawn by D. Wade)
1:28.0,,,24-21,,D. Wade misses free throw 1 of 2
1:28.0,,,24-21,,Offensive rebound by Team
1:28.0,,,24-22,1,D. Wade makes free throw 2 of 2
1:10.0,J. Clarkson misses 3-pt shot from 22 ft,,24-22,,
1:06.0,,,24-22,,Defensive rebound by K. Korver
1:02.0,,,24-22,,Offensive foul by J. Green (drawn by J. Randle)
1:02.0,,,24-22,,Turnover by J. Green (offensive foul)
0:51.0,J. Randle misses 2-pt shot from 16 ft,,24-22,,
0:48.0,,,24-22,,Defensive rebound by L. James
0:34.0,,,24-22,,C. Frye misses 2-pt shot at rim
0:31.0,Defensive rebound by B. Ingram,,24-22,,
0:26.0,J. Randle misses 2-pt shot from 1 ft,,24-22,,
0:24.0,Offensive rebound by J. Randle,,24-22,,
0:23.0,J. Randle makes 2-pt shot from 2 ft,2,26-22,,
0:00.0,,,26-24,2,L. James makes 2-pt shot from 7 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,26-24,,Shooting foul by J. Hart (drawn by D. Wade)
11:47.0,,,26-25,1,D. Wade makes free throw 1 of 2
11:47.0,,,26-26,1,D. Wade makes free throw 2 of 2
11:32.0,J. Clarkson makes 3-pt shot from 24 ft (assist by K. Kuzma),3,29-26,,
11:15.0,Personal foul by C. Brewer (drawn by J. Green),,29-26,,
11:09.0,,,29-28,2,K. Korver makes 2-pt shot from 20 ft (assist by D. Wade)
10:46.0,C. Brewer makes 2-pt shot from 1 ft (assist by J. Hart),2,31-28,,
10:31.0,,,31-28,,D. Wade misses 2-pt shot from 7 ft
10:29.0,,,31-28,,Offensive rebound by C. Frye
10:27.0,,,31-28,,C. Frye misses 2-pt shot from 3 ft
10:27.0,Defensive rebound by J. Hart,,31-28,,
10:23.0,Shooting foul by C. Osman (drawn by J. Hart),,31-28,,
10:23.0,J. Hart makes free throw 1 of 2,1,32-28,,
10:23.0,J. Hart makes free throw 2 of 2,1,33-28,,
10:12.0,,,33-28,,J. Green misses 2-pt shot from 1 ft
10:12.0,Defensive rebound by Team,,33-28,,
9:59.0,J. Randle makes 2-pt shot from 1 ft (assist by J. Clarkson),2,35-28,,
9:44.0,,,35-28,,D. Wade misses 2-pt shot at rim
9:41.0,Defensive rebound by K. Kuzma,,35-28,,
9:39.0,C. Brewer misses 3-pt shot from 25 ft,,35-28,,
9:34.0,Offensive rebound by J. Hart,,35-28,,
9:29.0,J. Clarkson makes 2-pt shot from 1 ft (assist by J. Randle),2,37-28,,
9:29.0,,,37-28,,Cleveland full timeout
9:11.0,,,37-28,,D. Wade misses 2-pt shot from 12 ft
9:11.0,,,37-28,,Offensive rebound by Team
9:11.0,Loose ball foul by C. Brewer (drawn by C. Frye),,37-28,,
9:04.0,,,37-30,2,J. Green makes 2-pt shot from 7 ft (assist by D. Wade)
8:48.0,J. Clarkson misses 3-pt shot from 24 ft,,37-30,,
8:45.0,,,37-30,,Defensive rebound by J. Green
8:40.0,,,37-30,,J. Green misses 2-pt shot from 1 ft
8:38.0,,,37-30,,Offensive rebound by D. Wade
8:35.0,,,37-30,,C. Frye misses 3-pt shot from 26 ft
8:35.0,Defensive rebound by J. Randle,,37-30,,
8:27.0,J. Hart misses 2-pt shot from 2 ft,,37-30,,
8:25.0,Offensive rebound by K. Kuzma,,37-30,,
8:20.0,Turnover by K. Kuzma (lost ball; steal by C. Frye),,37-30,,
8:15.0,,,37-33,3,K. Korver makes 3-pt shot from 24 ft (assist by D. Wade)
8:13.0,LA Lakers full timeout,,37-33,,
8:02.0,K. Kuzma misses 2-pt shot from 8 ft,,37-33,,
8:01.0,,,37-33,,Defensive rebound by Team
7:48.0,Def 3 sec tech foul by C. Brewer,,37-33,,
7:48.0,,,37-34,1,K. Korver makes technical free throw
7:40.0,,,37-34,,D. Wade misses 2-pt shot from 1 ft
7:37.0,Defensive rebound by J. Hart,,37-34,,
7:37.0,,,37-34,,Personal foul by C. Osman (drawn by C. Brewer)
7:37.0,,,37-34,,K. Love enters the game for C. Frye
7:37.0,,,37-34,,L. James enters the game for C. Osman
7:37.0,B. Ingram enters the game for C. Brewer,,37-34,,
7:24.0,K. Kuzma makes 2-pt shot from 4 ft (assist by J. Randle),2,39-34,,
7:18.0,,,39-34,,Offensive foul by K. Love (drawn by J. Hart)
7:18.0,,,39-34,,Turnover by K. Love (offensive foul)
7:04.0,J. Clarkson makes 2-pt shot from 12 ft,2,41-34,,
6:55.0,,,41-37,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
6:39.0,,,41-37,,Personal foul by K. Love (drawn by J. Clarkson)
6:39.0,,,41-37,,J. Smith enters the game for D. Wade
6:39.0,L. Ball enters the game for J. Hart,,41-37,,
6:28.0,K. Kuzma misses 3-pt shot from 25 ft,,41-37,,
6:24.0,,,41-37,,Defensive rebound by L. James
6:18.0,,,41-37,,K. Korver misses 3-pt shot from 25 ft
6:15.0,Defensive rebound by K. Kuzma,,41-37,,
6:11.0,Turnover by L. Ball (lost ball; steal by L. James),,41-37,,
6:08.0,,,41-37,,Shooting foul by K. Kuzma (drawn by L. James)
6:08.0,,,41-37,,L. James misses free throw 1 of 2
6:08.0,,,41-37,,Offensive rebound by Team
6:08.0,B. Lopez enters the game for J. Randle,,41-37,,
6:08.0,,,41-38,1,L. James makes free throw 2 of 2
5:53.0,B. Ingram makes 2-pt shot from 11 ft (assist by L. Ball),2,43-38,,
5:42.0,,,43-38,,J. Smith misses 2-pt shot from 1 ft
5:40.0,,,43-38,,Offensive rebound by J. Smith
5:39.0,,,43-40,2,L. James makes 2-pt shot at rim (assist by J. Smith)
5:39.0,LA Lakers full timeout,,43-40,,
5:39.0,,,43-40,,J. Crowder enters the game for J. Green
5:17.0,J. Clarkson makes 2-pt shot from 21 ft,2,45-40,,
4:58.0,,,45-43,3,J. Smith makes 3-pt shot from 23 ft
4:53.0,Shooting foul by K. Korver (drawn by B. Lopez),,45-43,,
4:53.0,B. Lopez misses free throw 1 of 2,,45-43,,
4:53.0,Offensive rebound by Team,,45-43,,
4:53.0,,,45-43,,J. Calderon enters the game for K. Korver
4:53.0,B. Lopez misses free throw 2 of 2,,45-43,,
4:53.0,,,45-43,,Defensive rebound by Team
4:41.0,,,45-45,2,J. Crowder makes 2-pt shot from 1 ft (assist by L. James)
4:41.0,Violation by B. Lopez (def goaltending),,45-45,,
4:32.0,Turnover by K. Kuzma (out of bounds lost ball),,45-45,,
4:25.0,,,45-48,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
4:08.0,J. Clarkson makes 2-pt shot from 5 ft,2,47-48,,
3:56.0,,,47-51,3,J. Calderon makes 3-pt shot from 25 ft
3:43.0,B. Ingram makes 2-pt shot from 2 ft (assist by J. Clarkson),2,49-51,,
3:15.0,,,49-54,3,L. James makes 3-pt shot from 28 ft (assist by J. Crowder)
3:00.0,L. Ball makes 2-pt shot from 22 ft (assist by B. Ingram),2,51-54,,
2:49.0,,,51-54,,L. James misses 3-pt shot from 22 ft
2:47.0,Defensive rebound by J. Clarkson,,51-54,,
2:42.0,J. Clarkson misses 2-pt shot from 18 ft,,51-54,,
2:40.0,Offensive rebound by K. Kuzma,,51-54,,
2:40.0,K. Kuzma makes 2-pt shot at rim,2,53-54,,
2:40.0,,,53-54,,Cleveland full timeout
2:40.0,L. Nance enters the game for K. Kuzma,,53-54,,
2:27.0,,,53-54,,K. Love misses 3-pt shot from 26 ft
2:24.0,Defensive rebound by L. Ball,,53-54,,
2:17.0,B. Lopez misses 2-pt shot from 1 ft,,53-54,,
2:15.0,,,53-54,,Defensive rebound by J. Calderon
2:11.0,,,53-57,3,J. Smith makes 3-pt shot from 24 ft (assist by L. James)
1:52.0,B. Lopez makes 2-pt shot from 10 ft (assist by B. Ingram),2,55-57,,
1:31.0,,,55-57,,J. Crowder misses 3-pt shot from 25 ft
1:29.0,,,55-57,,Offensive rebound by J. Calderon
1:25.0,,,55-59,2,K. Love makes 2-pt shot from 1 ft (assist by J. Calderon)
1:08.0,Shooting foul by J. Crowder (drawn by B. Ingram),,55-59,,
1:08.0,B. Ingram makes free throw 1 of 2,1,56-59,,
1:08.0,,,56-59,,C. Frye enters the game for K. Love
1:08.0,,,56-59,,J. Green enters the game for J. Crowder
1:08.0,K. Kuzma enters the game for B. Lopez,,56-59,,
1:08.0,B. Ingram makes free throw 2 of 2,1,57-59,,
1:00.0,,,57-61,2,L. James makes 2-pt shot from 1 ft
0:46.0,L. Nance misses 2-pt shot at rim,,57-61,,
0:44.0,,,57-61,,Defensive rebound by J. Calderon
0:39.0,,,57-61,,J. Green misses 2-pt shot from 2 ft
0:35.0,,,57-61,,Offensive rebound by J. Green
0:35.0,,,57-63,2,J. Green makes 2-pt shot at rim
0:32.0,J. Clarkson misses 3-pt shot from 30 ft,,57-63,,
0:29.0,Offensive rebound by L. Nance,,57-63,,
0:06.0,B. Ingram makes 3-pt shot from 25 ft,3,60-63,,
0:01.0,,,60-63,,J. Calderon misses 3-pt shot from 27 ft
0:00.0,Defensive rebound by B. Ingram,,60-63,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,60-63,,Shooting foul by B. Ingram (drawn by K. Love)
11:46.0,,,60-64,1,K. Love makes free throw 1 of 2
11:46.0,,,60-65,1,K. Love makes free throw 2 of 2
11:34.0,Turnover by L. Ball (bad pass; steal by L. James),,60-65,,
11:18.0,,,60-67,2,J. Crowder makes 2-pt shot from 1 ft (assist by J. Calderon)
11:05.0,B. Ingram makes 2-pt shot from 4 ft,2,62-67,,
10:42.0,,,62-70,3,J. Crowder makes 3-pt shot from 23 ft (assist by L. James)
10:29.0,B. Lopez misses 3-pt shot from 27 ft,,62-70,,
10:25.0,,,62-70,,Defensive rebound by K. Love
10:14.0,,,62-70,,L. James misses 3-pt shot from 25 ft
10:11.0,Defensive rebound by L. Ball,,62-70,,
10:07.0,B. Ingram makes 2-pt shot from 1 ft (assist by L. Ball),2,64-70,,
9:49.0,,,64-72,2,K. Love makes 2-pt shot from 6 ft (assist by J. Calderon)
9:36.0,Turnover by L. Ball (bad pass; steal by J. Calderon),,64-72,,
9:18.0,,,64-72,,Turnover by L. James (bad pass; steal by L. Nance)
9:13.0,J. Hart makes 2-pt shot from 21 ft (assist by B. Ingram),2,66-72,,
8:47.0,,,66-72,,Turnover by J. Smith (bad pass; steal by L. Ball)
8:42.0,B. Ingram makes 3-pt shot from 23 ft (assist by L. Nance),3,69-72,,
8:42.0,,,69-72,,Cleveland full timeout
8:28.0,,,69-72,,J. Crowder misses 3-pt shot from 25 ft
8:26.0,Defensive rebound by J. Hart,,69-72,,
8:19.0,Turnover by L. Ball (bad pass),,69-72,,
8:01.0,,,69-75,3,J. Calderon makes 3-pt shot from 23 ft (assist by J. Smith)
7:52.0,Turnover by L. Ball (step out of bounds),,69-75,,
7:42.0,Personal foul by L. Nance (drawn by J. Calderon),,69-75,,
7:30.0,,,69-78,3,J. Calderon makes 3-pt shot from 25 ft (assist by L. James)
7:17.0,Turnover by B. Ingram (bad pass; steal by K. Love),,69-78,,
7:08.0,,,69-78,,J. Calderon misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by J. Hart,,69-78,,
6:54.0,,,69-78,,Personal foul by J. Calderon (drawn by L. Nance)
6:49.0,L. Ball misses 3-pt shot from 29 ft,,69-78,,
6:45.0,Offensive rebound by L. Nance,,69-78,,
6:36.0,B. Ingram makes 2-pt shot from 18 ft,2,71-78,,
6:11.0,,,71-78,,J. Crowder misses 3-pt shot from 25 ft
6:11.0,Defensive rebound by J. Hart,,71-78,,
6:09.0,Turnover by J. Hart (bad pass; steal by J. Calderon),,71-78,,
6:07.0,,,71-78,,Turnover by J. Calderon (lost ball; steal by L. Nance)
6:03.0,J. Hart makes 2-pt shot from 1 ft (assist by B. Lopez),2,73-78,,
5:36.0,,,73-80,2,J. Crowder makes 2-pt shot from 1 ft (assist by J. Calderon)
5:30.0,L. Nance makes 2-pt shot from 1 ft (assist by L. Ball),2,75-80,,
5:10.0,Personal foul by B. Lopez (drawn by J. Crowder),,75-80,,
5:10.0,K. Kuzma enters the game for B. Lopez,,75-80,,
4:55.0,,,75-80,,Turnover by Team (shot clock)
4:51.0,Offensive charge foul by L. Ball (drawn by J. Calderon),,75-80,,
4:51.0,Turnover by L. Ball (offensive foul),,75-80,,
4:38.0,,,75-80,,Shooting foul by L. Nance (drawn by L. James)
4:38.0,,,75-81,1,L. James makes free throw 1 of 2
4:38.0,,,75-82,1,L. James makes free throw 2 of 2
4:28.0,B. Ingram misses 2-pt shot from 21 ft,,75-82,,
4:24.0,,,75-82,,Defensive rebound by L. James
4:22.0,,,75-84,2,K. Love makes 2-pt shot at rim (assist by L. James)
4:22.0,LA Lakers full timeout,,75-84,,
4:22.0,,,75-84,,J. Green enters the game for J. Crowder
4:22.0,J. Clarkson enters the game for J. Hart,,75-84,,
3:59.0,B. Ingram misses 2-pt shot from 8 ft,,75-84,,
3:57.0,Offensive rebound by L. Nance,,75-84,,
3:56.0,L. Nance misses 2-pt shot from 10 ft (block by L. James),,75-84,,
3:56.0,Offensive rebound by L. Ball,,75-84,,
3:54.0,K. Kuzma misses 2-pt shot from 6 ft,,75-84,,
3:53.0,B. Ingram misses 2-pt shot from 4 ft,,75-84,,
3:53.0,Offensive rebound by B. Ingram,,75-84,,
3:50.0,Offensive rebound by L. Nance,,75-84,,
3:44.0,K. Kuzma misses 2-pt shot from 1 ft,,75-84,,
3:44.0,,,75-84,,Defensive rebound by J. Green
3:37.0,Personal foul by L. Ball (drawn by K. Love),,75-84,,
3:37.0,,,75-85,1,K. Love makes free throw 1 of 2
3:37.0,,,75-86,1,K. Love makes free throw 2 of 2
3:27.0,Turnover by J. Clarkson (traveling),,75-86,,
3:18.0,,,75-86,,L. James misses 3-pt shot from 24 ft
3:15.0,Defensive rebound by K. Kuzma,,75-86,,
3:02.0,L. Ball makes 3-pt shot from 26 ft (assist by L. Nance),3,78-86,,
2:55.0,,,78-86,,Turnover by L. James (bad pass)
2:46.0,B. Ingram makes 3-pt shot from 23 ft (assist by J. Clarkson),3,81-86,,
2:29.0,,,81-88,2,J. Calderon makes 2-pt shot at rim
2:18.0,Shooting foul by J. Smith (drawn by L. Nance),,81-88,,
2:18.0,L. Nance misses free throw 1 of 2,,81-88,,
2:18.0,Offensive rebound by Team,,81-88,,
2:18.0,,,81-88,,D. Wade enters the game for J. Calderon
2:18.0,L. Nance misses free throw 2 of 2,,81-88,,
2:16.0,,,81-88,,Defensive rebound by L. James
2:07.0,,,81-88,,Shooting foul by B. Ingram (drawn by L. James)
2:07.0,,,81-89,1,L. James makes free throw 1 of 2
2:07.0,J. Randle enters the game for L. Nance,,81-89,,
2:07.0,,,81-89,,L. James misses free throw 2 of 2
2:05.0,Defensive rebound by J. Randle,,81-89,,
1:58.0,K. Kuzma misses 3-pt shot from 28 ft,,81-89,,
1:54.0,,,81-89,,Defensive rebound by K. Love
1:37.0,,,81-92,3,K. Love makes 3-pt shot from 24 ft (assist by J. Smith)
1:22.0,L. Ball makes 3-pt shot from 24 ft (assist by B. Ingram),3,84-92,,
1:00.0,,,84-92,,D. Wade misses 2-pt shot from 12 ft
0:58.0,Defensive rebound by L. Ball,,84-92,,
0:58.0,,,84-92,,Personal foul by J. Green (drawn by L. Ball)
0:58.0,,,84-92,,K. Korver enters the game for J. Smith
0:58.0,,,84-92,,C. Osman enters the game for L. James
0:44.0,L. Ball misses 3-pt shot from 29 ft,,84-92,,
0:39.0,,,84-92,,Defensive rebound by K. Love
0:33.0,,,84-92,,D. Wade misses 3-pt shot from 22 ft
0:30.0,Defensive rebound by J. Randle,,84-92,,
0:24.0,K. Kuzma makes 2-pt shot from 4 ft (assist by J. Randle),2,86-92,,
0:03.0,,,86-94,2,K. Love makes 2-pt shot from 13 ft
0:00.0,J. Clarkson misses 3-pt shot from 27 ft,,86-94,,
0:00.0,Offensive rebound by Team,,86-94,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,Offensive foul by J. Randle (drawn by C. Osman),,86-94,,
11:52.0,Turnover by J. Randle (offensive foul),,86-94,,
11:34.0,,,86-96,2,J. Green makes 2-pt shot at rim
11:20.0,J. Hart makes 3-pt shot from 26 ft (assist by C. Brewer),3,89-96,,
11:01.0,,,89-98,2,K. Korver makes 2-pt shot from 22 ft (assist by D. Wade)
10:47.0,J. Randle makes 2-pt shot from 10 ft (assist by J. Hart),2,91-98,,
10:47.0,Shooting foul by C. Osman (drawn by J. Randle),,91-98,,
10:47.0,J. Randle makes free throw 1 of 1,1,92-98,,
10:21.0,,,92-98,,J. Green misses 2-pt shot from 17 ft
10:19.0,Defensive rebound by J. Hart,,92-98,,
10:14.0,J. Clarkson misses 2-pt shot from 18 ft,,92-98,,
10:11.0,,,92-98,,Defensive rebound by J. Green
10:07.0,,,92-98,,K. Korver misses 3-pt shot from 25 ft
10:07.0,,,92-98,,Offensive rebound by J. Green
10:01.0,,,92-98,,J. Crowder misses 3-pt shot from 23 ft
10:01.0,,,92-98,,Offensive rebound by Team
9:58.0,,,92-100,2,K. Korver makes 2-pt shot from 17 ft (assist by J. Crowder)
9:34.0,J. Hart misses 2-pt shot from 1 ft,,92-100,,
9:31.0,,,92-100,,Defensive rebound by J. Green
9:28.0,,,92-102,2,C. Osman makes 2-pt shot at rim (assist by D. Wade)
9:28.0,LA Lakers full timeout,,92-102,,
9:11.0,Shooting foul by J. Crowder (drawn by K. Kuzma),,92-102,,
9:11.0,K. Kuzma makes free throw 1 of 2,1,93-102,,
9:11.0,K. Kuzma makes free throw 2 of 2,1,94-102,,
8:59.0,,,94-102,,Turnover by D. Wade (bad pass; steal by C. Brewer)
8:51.0,J. Randle makes 2-pt shot from 7 ft,2,96-102,,
8:33.0,,,96-102,,Turnover by D. Wade (traveling)
8:17.0,C. Brewer makes 2-pt shot at rim (assist by J. Clarkson),2,98-102,,
8:04.0,,,98-102,,Offensive foul by J. Crowder (drawn by C. Brewer)
8:04.0,,,98-102,,Turnover by J. Crowder (offensive foul)
8:04.0,,,98-102,,L. James enters the game for J. Crowder
8:04.0,B. Ingram enters the game for C. Brewer,,98-102,,
7:54.0,Turnover by J. Randle (bad pass; steal by C. Osman),,98-102,,
7:47.0,,,98-104,2,D. Wade makes 2-pt shot from 9 ft (assist by L. James)
7:31.0,Turnover by K. Kuzma (lost ball; steal by K. Korver),,98-104,,
7:29.0,,,98-106,2,C. Osman makes 2-pt shot from 1 ft (assist by L. James)
7:14.0,Turnover by J. Clarkson (out of bounds lost ball),,98-106,,
7:14.0,,,98-106,,K. Love enters the game for C. Osman
7:14.0,L. Ball enters the game for J. Clarkson,,98-106,,
6:59.0,,,98-106,,Turnover by L. James (bad pass)
6:48.0,K. Kuzma misses 3-pt shot from 25 ft,,98-106,,
6:43.0,,,98-106,,Defensive rebound by L. James
6:34.0,,,98-109,3,D. Wade makes 3-pt shot from 26 ft
6:14.0,,,98-109,,Def 3 sec tech foul by D. Wade
6:14.0,K. Kuzma makes technical free throw,1,99-109,,
6:12.0,,,99-109,,Violation by K. Love (kicked ball)
6:06.0,K. Kuzma makes 3-pt shot from 28 ft (assist by L. Ball),3,102-109,,
5:47.0,,,102-109,,J. Green misses 3-pt shot from 23 ft
5:42.0,Defensive rebound by L. Ball,,102-109,,
5:38.0,Turnover by K. Kuzma (bad pass; steal by K. Love),,102-109,,
5:27.0,,,102-109,,Shooting foul by J. Hart (drawn by K. Love)
5:27.0,,,102-110,1,K. Love makes free throw 1 of 2
5:27.0,,,102-111,1,K. Love makes free throw 2 of 2
5:14.0,J. Randle makes 2-pt shot from 1 ft,2,104-111,,
4:57.0,,,104-111,,J. Green misses 2-pt shot from 8 ft
4:55.0,Defensive rebound by L. Ball,,104-111,,
4:47.0,J. Randle misses 2-pt shot from 7 ft (block by L. James),,104-111,,
4:47.0,,,104-111,,Defensive rebound by L. James
4:41.0,,,104-113,2,D. Wade makes 2-pt shot at rim (assist by L. James)
4:29.0,J. Randle makes 2-pt shot from 2 ft (assist by L. Ball),2,106-113,,
4:03.0,,,106-113,,L. James misses 3-pt shot from 25 ft
3:59.0,Defensive rebound by J. Hart,,106-113,,
3:54.0,K. Kuzma makes 2-pt shot from 7 ft (assist by B. Ingram),2,108-113,,
3:54.0,,,108-113,,Cleveland full timeout
3:54.0,,,108-113,,J. Smith enters the game for J. Green
3:30.0,,,108-113,,L. James misses 2-pt shot from 13 ft (block by J. Randle)
3:30.0,,,108-113,,K. Love misses 2-pt shot from 1 ft
3:30.0,,,108-113,,Offensive rebound by Team
3:30.0,,,108-113,,Offensive rebound by K. Love
3:29.0,,,108-113,,Turnover by Team (shot clock)
3:19.0,K. Kuzma misses 2-pt shot from 8 ft (block by K. Korver),,108-113,,
