time,Dallas,pts.away,score,pts.home,Memphis
4:48.0,,,10-15,,T. Evans enters the game for M. Conley
4:48.0,J. Barea enters the game for D. Smith,,10-15,,
4:48.0,S. Mejri enters the game for D. Powell,,10-15,,
4:48.0,,,10-16,1,M. Gasol makes free throw 1 of 1
4:27.0,Turnover by Y. Ferrell (bad pass; steal by M. Chalmers),,10-16,,
4:23.0,,,10-18,2,J. Ennis makes 2-pt shot from 1 ft (assist by M. Chalmers)
4:21.0,Dallas full timeout,,10-18,,
4:10.0,M. Kleber misses 3-pt shot from 27 ft,,10-18,,
4:07.0,Offensive rebound by S. Mejri,,10-18,,
4:03.0,Y. Ferrell misses 3-pt shot from 25 ft,,10-18,,
4:03.0,,,10-18,,Defensive rebound by Team
3:44.0,,,10-20,2,M. Gasol makes 2-pt shot at rim
3:40.0,,,10-20,,Technical foul by Team
3:40.0,,,10-21,1,M. Gasol makes technical free throw
3:40.0,,,10-21,,D. Brooks enters the game for J. Martin
3:40.0,,,10-21,,C. Parsons enters the game for J. Ennis
3:26.0,H. Barnes misses 3-pt shot from 23 ft,,10-21,,
3:26.0,S. Mejri misses 2-pt shot at rim,,10-21,,
3:26.0,,,10-21,,Defensive rebound by M. Gasol
3:23.0,Defensive rebound by S. Mejri,,10-21,,
3:13.0,,,10-21,,M. Gasol misses 2-pt shot from 6 ft
3:10.0,Defensive rebound by M. Kleber,,10-21,,
3:04.0,J. Barea misses 3-pt shot from 25 ft,,10-21,,
3:02.0,,,10-21,,Defensive rebound by M. Gasol
2:42.0,,,10-23,2,D. Brooks makes 2-pt shot from 17 ft (assist by C. Parsons)
2:28.0,Turnover by J. Barea (bad pass),,10-23,,
2:28.0,,,10-23,,B. Wright enters the game for M. Gasol
2:28.0,D. Nowitzki enters the game for H. Barnes,,10-23,,
2:28.0,W. Matthews enters the game for M. Kleber,,10-23,,
2:19.0,,,10-23,,C. Parsons misses 3-pt shot from 25 ft
2:15.0,,,10-23,,Offensive rebound by B. Wright
2:15.0,,,10-23,,B. Wright misses 2-pt shot at rim
2:15.0,,,10-23,,Offensive rebound by T. Evans
2:12.0,,,10-23,,T. Evans misses 2-pt shot at rim (block by S. Mejri)
2:12.0,Defensive rebound by S. Mejri,,10-23,,
2:05.0,D. Nowitzki makes 2-pt shot from 12 ft (assist by Y. Ferrell),2,12-23,,
1:44.0,,,12-23,,M. Chalmers misses 3-pt shot from 26 ft
1:41.0,Defensive rebound by D. Nowitzki,,12-23,,
1:22.0,J. Barea misses 2-pt shot from 12 ft,,12-23,,
1:19.0,Offensive rebound by S. Mejri,,12-23,,
1:18.0,S. Mejri misses 2-pt shot at rim,,12-23,,
1:18.0,Offensive rebound by S. Mejri,,12-23,,
1:14.0,S. Mejri makes 2-pt shot at rim,2,14-23,,
1:06.0,,,14-23,,Turnover by D. Brooks (bad pass)
1:03.0,,,14-23,,Personal foul by M. Chalmers (drawn by S. Mejri)
0:58.0,Y. Ferrell misses 2-pt shot from 18 ft,,14-23,,
0:56.0,,,14-23,,Defensive rebound by B. Wright
0:34.0,,,14-26,3,D. Brooks makes 3-pt shot from 22 ft (assist by M. Chalmers)
0:22.0,J. Barea misses 3-pt shot from 25 ft,,14-26,,
0:19.0,,,14-26,,Defensive rebound by D. Brooks
0:00.0,,,14-28,2,T. Evans makes 2-pt shot at rim
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,14-28,,T. Evans misses 3-pt shot from 26 ft
11:41.0,Defensive rebound by Team,,14-28,,
11:27.0,D. Nowitzki misses 2-pt shot from 17 ft,,14-28,,
11:23.0,,,14-28,,Defensive rebound by M. Chalmers
11:07.0,,,14-31,3,C. Parsons makes 3-pt shot from 24 ft
10:53.0,,,14-31,,Personal foul by M. Chalmers (drawn by D. Smith)
10:42.0,D. Nowitzki makes 2-pt shot from 13 ft,2,16-31,,
10:21.0,,,16-33,2,T. Evans makes 2-pt shot from 1 ft (assist by M. Chalmers)
10:21.0,Violation by S. Mejri (def goaltending),,16-33,,
10:05.0,D. Nowitzki misses 2-pt shot from 13 ft,,16-33,,
10:02.0,,,16-33,,Defensive rebound by D. Brooks
9:54.0,,,16-35,2,B. Wright makes 2-pt shot from 1 ft (assist by M. Chalmers)
9:54.0,,,16-35,,Shooting foul by D. Smith (drawn by B. Wright)
9:54.0,Dallas full timeout,,16-35,,
9:54.0,,,16-36,1,B. Wright makes free throw 1 of 1
9:43.0,,,16-36,,Personal foul by D. Brooks (drawn by W. Matthews)
9:43.0,N. Noel enters the game for D. Nowitzki,,16-36,,
9:43.0,H. Barnes enters the game for S. Mejri,,16-36,,
9:37.0,N. Noel misses 2-pt shot from 1 ft,,16-36,,
9:29.0,,,16-36,,Defensive rebound by D. Brooks
9:29.0,,,16-38,2,D. Brooks makes 2-pt shot at rim (assist by M. Chalmers)
9:29.0,,,16-38,,Shooting foul by N. Noel (drawn by D. Brooks)
9:29.0,D. Powell enters the game for N. Noel,,16-38,,
9:29.0,,,16-38,,D. Brooks misses free throw 1 of 1
9:27.0,Defensive rebound by D. Powell,,16-38,,
9:12.0,Turnover by W. Matthews (bad pass),,16-38,,
9:01.0,,,16-38,,M. Chalmers misses 3-pt shot from 25 ft
8:58.0,Defensive rebound by D. Powell,,16-38,,
8:44.0,D. Powell misses 3-pt shot from 25 ft,,16-38,,
8:42.0,,,16-38,,Defensive rebound by B. Wright
8:31.0,,,16-38,,T. Evans misses 2-pt shot from 2 ft
8:28.0,Defensive rebound by D. Powell,,16-38,,
8:17.0,J. Barea misses 2-pt shot at rim,,16-38,,
8:14.0,Offensive rebound by D. Powell,,16-38,,
8:13.0,J. Barea misses 3-pt shot from 23 ft,,16-38,,
8:07.0,,,16-38,,Defensive rebound by B. Wright
7:58.0,,,16-38,,C. Parsons misses 3-pt shot from 23 ft
7:55.0,Defensive rebound by W. Matthews,,16-38,,
7:49.0,,,16-38,,Personal foul by M. Chalmers (drawn by D. Smith)
7:49.0,,,16-38,,M. Gasol enters the game for M. Chalmers
7:49.0,,,16-38,,A. Harrison enters the game for T. Evans
7:49.0,,,16-38,,M. Conley enters the game for B. Wright
7:49.0,Y. Ferrell enters the game for J. Barea,,16-38,,
7:33.0,D. Smith makes 2-pt shot from 10 ft,2,18-38,,
7:15.0,,,18-38,,Shooting foul by Y. Ferrell (drawn by A. Harrison)
7:15.0,,,18-39,1,A. Harrison makes free throw 1 of 2
7:15.0,,,18-39,,J. Martin enters the game for C. Parsons
7:15.0,,,18-40,1,A. Harrison makes free throw 2 of 2
7:07.0,D. Smith misses 3-pt shot from 25 ft,,18-40,,
7:04.0,Offensive rebound by Y. Ferrell,,18-40,,
7:03.0,Y. Ferrell misses 2-pt shot at rim,,18-40,,
7:03.0,,,18-40,,Defensive rebound by M. Gasol
6:55.0,,,18-40,,M. Gasol misses 3-pt shot from 24 ft
6:51.0,,,18-40,,Offensive rebound by J. Martin
6:47.0,,,18-40,,Turnover by M. Conley (lost ball; steal by W. Matthews)
6:43.0,W. Matthews misses 2-pt shot from 1 ft (block by J. Martin),,18-40,,
6:39.0,Offensive rebound by H. Barnes,,18-40,,
6:39.0,H. Barnes makes 2-pt shot at rim,2,20-40,,
6:39.0,Technical foul by W. Matthews,,20-40,,
6:39.0,,,20-41,1,M. Gasol makes technical free throw
6:39.0,,,20-41,,J. Ennis enters the game for D. Brooks
6:39.0,M. Kleber enters the game for W. Matthews,,20-41,,
6:39.0,Technical foul by D. Nowitzki,,20-41,,
6:39.0,,,20-42,1,M. Gasol makes technical free throw
6:26.0,,,20-42,,Turnover by A. Harrison (bad pass)
6:12.0,H. Barnes misses 2-pt shot from 14 ft,,20-42,,
6:09.0,,,20-42,,Defensive rebound by J. Martin
5:55.0,,,20-42,,M. Conley misses 3-pt shot from 22 ft
5:53.0,Defensive rebound by H. Barnes,,20-42,,
5:50.0,Shooting foul by J. Martin (drawn by D. Smith),,20-42,,
5:50.0,D. Smith misses free throw 1 of 2,,20-42,,
5:50.0,Offensive rebound by Team,,20-42,,
5:50.0,D. Smith makes free throw 2 of 2,1,21-42,,
5:33.0,,,21-42,,J. Martin misses 2-pt shot from 14 ft
5:30.0,Defensive rebound by H. Barnes,,21-42,,
5:25.0,D. Smith misses 2-pt shot from 1 ft (block by J. Martin),,21-42,,
5:22.0,Offensive rebound by Team,,21-42,,
5:15.0,Jump ball: M. Gasol vs. D. Powell (M. Kleber gains possession),,,,Jump ball: M. Gasol vs. D. Powell (M. Kleber gains possession)
5:11.0,Y. Ferrell misses 2-pt shot from 1 ft,,21-42,,
5:10.0,Offensive rebound by M. Kleber,,21-42,,
5:10.0,M. Kleber misses 2-pt shot at rim,,21-42,,
5:10.0,Offensive rebound by M. Kleber,,21-42,,
5:10.0,Shooting foul by M. Gasol (drawn by M. Kleber),,21-42,,
5:10.0,M. Kleber misses free throw 1 of 2,,21-42,,
5:10.0,Offensive rebound by Team,,21-42,,
5:10.0,M. Kleber makes free throw 2 of 2,1,22-42,,
4:54.0,,,22-42,,A. Harrison misses 3-pt shot from 22 ft
4:51.0,Defensive rebound by Y. Ferrell,,22-42,,
4:37.0,M. Kleber makes 3-pt shot from 23 ft (assist by D. Smith),3,25-42,,
4:28.0,,,25-42,,Memphis full timeout
4:15.0,,,25-42,,M. Gasol misses 2-pt shot from 7 ft (block by M. Kleber)
4:11.0,Defensive rebound by M. Kleber,,25-42,,
4:09.0,D. Smith misses 2-pt shot at rim (block by J. Martin),,25-42,,
4:09.0,Offensive rebound by Team,,25-42,,
4:07.0,M. Kleber misses 3-pt shot from 22 ft,,25-42,,
4:04.0,Offensive rebound by D. Powell,,25-42,,
4:02.0,M. Kleber makes 2-pt shot from 1 ft (assist by D. Powell),2,27-42,,
3:43.0,,,27-42,,A. Harrison misses 3-pt shot from 23 ft
3:41.0,Defensive rebound by D. Smith,,27-42,,
3:27.0,M. Kleber misses 3-pt shot from 24 ft,,27-42,,
3:24.0,,,27-42,,Defensive rebound by J. Ennis
3:17.0,,,27-42,,Turnover by J. Martin (traveling)
3:17.0,,,27-42,,D. Brooks enters the game for A. Harrison
3:17.0,W. Matthews enters the game for D. Smith,,27-42,,
3:17.0,D. Nowitzki enters the game for D. Powell,,27-42,,
3:17.0,J. Barea enters the game for M. Kleber,,27-42,,
3:07.0,Turnover by D. Nowitzki (bad pass),,27-42,,
2:59.0,,,27-42,,Offensive foul by M. Gasol (drawn by W. Matthews)
2:59.0,,,27-42,,Turnover by M. Gasol (offensive foul)
2:45.0,Y. Ferrell misses 2-pt shot from 10 ft,,27-42,,
2:42.0,,,27-42,,Defensive rebound by J. Martin
2:34.0,,,27-42,,Shooting foul by D. Nowitzki (drawn by M. Gasol)
2:34.0,,,27-43,1,M. Gasol makes free throw 1 of 2
2:34.0,G. Clavell enters the game for Y. Ferrell,,27-43,,
2:34.0,,,27-44,1,M. Gasol makes free throw 2 of 2
2:14.0,H. Barnes makes 2-pt shot from 14 ft (assist by J. Barea),2,29-44,,
1:55.0,,,29-44,,J. Martin misses 3-pt shot from 25 ft
1:52.0,Defensive rebound by H. Barnes,,29-44,,
1:42.0,Shooting foul by D. Brooks (drawn by H. Barnes),,29-44,,
1:42.0,H. Barnes makes free throw 1 of 2,1,30-44,,
1:42.0,,,30-44,,T. Evans enters the game for M. Gasol
1:42.0,H. Barnes makes free throw 2 of 2,1,31-44,,
1:22.0,,,31-44,,Shooting foul by H. Barnes (drawn by M. Conley)
1:22.0,,,31-45,1,M. Conley makes free throw 1 of 2
1:22.0,,,31-46,1,M. Conley makes free throw 2 of 2
1:16.0,J. Barea misses 2-pt shot from 4 ft,,31-46,,
1:13.0,,,31-46,,Defensive rebound by J. Martin
1:04.0,Personal foul by G. Clavell (drawn by M. Conley),,31-46,,
1:04.0,Dallas full timeout,,31-46,,
1:04.0,,,31-47,1,M. Conley makes free throw 1 of 2
1:04.0,,,31-48,1,M. Conley makes free throw 2 of 2
0:58.0,W. Matthews makes 2-pt shot from 18 ft (assist by J. Barea),2,33-48,,
0:48.0,,,33-48,,D. Brooks misses 2-pt shot at rim
0:44.0,Defensive rebound by D. Nowitzki,,33-48,,
0:43.0,Turnover by D. Nowitzki (lost ball; steal by D. Brooks),,33-48,,
0:29.0,,,33-51,3,M. Conley makes 3-pt shot from 25 ft (assist by T. Evans)
0:17.0,Shooting foul by J. Ennis (drawn by D. Nowitzki),,33-51,,
0:17.0,D. Nowitzki makes free throw 1 of 2,1,34-51,,
0:17.0,Y. Ferrell enters the game for J. Barea,,34-51,,
0:17.0,D. Nowitzki makes free throw 2 of 2,1,35-51,,
0:01.0,,,35-54,3,T. Evans makes 3-pt shot from 25 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,35-54,,J. Martin misses 2-pt shot from 1 ft
11:36.0,Defensive rebound by N. Noel,,35-54,,
11:26.0,D. Nowitzki makes 2-pt shot from 14 ft (assist by D. Smith),2,37-54,,
11:01.0,,,37-56,2,M. Gasol makes 2-pt shot from 11 ft (assist by J. Ennis)
10:51.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Smith),3,40-56,,
10:37.0,,,40-56,,Turnover by M. Gasol (bad pass; steal by D. Nowitzki)
10:22.0,D. Nowitzki misses 2-pt shot from 18 ft,,40-56,,
10:19.0,Offensive rebound by N. Noel,,40-56,,
10:19.0,N. Noel misses 2-pt shot at rim,,40-56,,
10:19.0,Offensive rebound by N. Noel,,40-56,,
10:19.0,,,40-56,,Personal foul by J. Martin (drawn by N. Noel)
10:14.0,H. Barnes makes 2-pt shot at rim (assist by N. Noel),2,42-56,,
10:14.0,,,42-56,,Memphis full timeout
9:55.0,,,42-56,,A. Harrison misses 3-pt shot from 26 ft
9:51.0,Defensive rebound by D. Smith,,42-56,,
9:47.0,Turnover by D. Smith (bad pass; steal by M. Conley),,42-56,,
9:42.0,,,42-56,,Turnover by A. Harrison (lost ball; steal by D. Smith)
9:32.0,D. Nowitzki misses 3-pt shot from 25 ft,,42-56,,
9:30.0,,,42-56,,Defensive rebound by M. Conley
9:23.0,,,42-56,,M. Gasol misses 3-pt shot from 25 ft
9:19.0,,,42-56,,Offensive rebound by J. Ennis
9:16.0,,,42-56,,M. Conley misses 3-pt shot from 25 ft
9:12.0,,,42-56,,Offensive rebound by J. Martin
9:12.0,,,42-56,,J. Martin misses 2-pt shot at rim
9:12.0,Defensive rebound by D. Nowitzki,,42-56,,
9:06.0,,,42-56,,Personal foul by M. Conley (drawn by D. Smith)
8:58.0,W. Matthews misses 3-pt shot from 25 ft,,42-56,,
8:55.0,,,42-56,,Defensive rebound by M. Gasol
8:46.0,,,42-58,2,M. Gasol makes 2-pt shot from 13 ft (assist by M. Conley)
8:26.0,Turnover by N. Noel (bad pass; steal by A. Harrison),,42-58,,
8:16.0,Personal foul by W. Matthews (drawn by M. Conley),,42-58,,
8:08.0,,,42-58,,Shooting foul by W. Matthews (drawn by M. Conley)
8:08.0,,,42-59,1,M. Conley makes free throw 1 of 2
8:08.0,,,42-60,1,M. Conley makes free throw 2 of 2
7:49.0,H. Barnes misses 2-pt shot from 20 ft,,42-60,,
7:45.0,Offensive rebound by Team,,42-60,,
7:39.0,N. Noel makes 2-pt shot at rim,2,44-60,,
7:12.0,,,44-62,2,M. Gasol makes 2-pt shot from 10 ft
7:00.0,Turnover by H. Barnes (out of bounds lost ball),,44-62,,
6:45.0,,,44-64,2,M. Gasol makes 2-pt shot from 11 ft
6:44.0,Dallas full timeout,,44-64,,
6:31.0,D. Smith makes 2-pt shot at rim (assist by N. Noel),2,46-64,,
6:31.0,Shooting foul by J. Ennis (drawn by D. Smith),,46-64,,
6:31.0,D. Smith misses free throw 1 of 1,,46-64,,
6:28.0,,,46-64,,Defensive rebound by M. Gasol
6:12.0,,,46-64,,A. Harrison misses 3-pt shot from 23 ft
6:09.0,Defensive rebound by N. Noel,,46-64,,
5:53.0,,,46-64,,Personal foul by A. Harrison (drawn by W. Matthews)
5:45.0,W. Matthews makes 3-pt shot from 22 ft (assist by D. Smith),3,49-64,,
5:29.0,,,49-66,2,A. Harrison makes 2-pt shot at rim (assist by M. Gasol)
5:10.0,W. Matthews makes 3-pt shot from 26 ft (assist by D. Smith),3,52-66,,
4:57.0,,,52-68,2,M. Conley makes 2-pt shot from 3 ft (assist by M. Gasol)
4:43.0,H. Barnes misses 3-pt shot from 23 ft,,52-68,,
4:40.0,Offensive rebound by N. Noel,,52-68,,
4:40.0,N. Noel makes 2-pt shot at rim,2,54-68,,
4:40.0,Shooting foul by J. Martin (drawn by N. Noel),,54-68,,
4:40.0,,,54-68,,M. Chalmers enters the game for M. Conley
4:40.0,N. Noel makes free throw 1 of 1,1,55-68,,
4:24.0,,,55-68,,Turnover by J. Ennis (lost ball; steal by D. Nowitzki)
4:18.0,D. Smith misses 2-pt shot from 1 ft (block by J. Martin),,55-68,,
4:11.0,,,55-68,,Defensive rebound by M. Gasol
4:09.0,,,55-68,,M. Gasol misses 2-pt shot from 10 ft
4:05.0,Defensive rebound by D. Nowitzki,,55-68,,
3:58.0,H. Barnes makes 2-pt shot from 16 ft (assist by W. Matthews),2,57-68,,
3:35.0,Personal foul by D. Nowitzki (drawn by A. Harrison),,57-68,,
3:35.0,,,57-68,,D. Brooks enters the game for A. Harrison
3:35.0,,,57-68,,T. Evans enters the game for J. Ennis
3:35.0,Y. Ferrell enters the game for D. Smith,,57-68,,
3:35.0,J. Barea enters the game for D. Nowitzki,,57-68,,
3:27.0,,,57-68,,Turnover by M. Gasol (bad pass)
3:15.0,H. Barnes misses 2-pt shot from 12 ft,,57-68,,
3:11.0,,,57-68,,Defensive rebound by M. Gasol
3:07.0,,,57-70,2,T. Evans makes 2-pt shot at rim
2:41.0,W. Matthews misses 2-pt shot at rim,,57-70,,
2:38.0,Offensive rebound by N. Noel,,57-70,,
2:37.0,N. Noel misses 2-pt shot at rim (block by J. Martin),,57-70,,
2:34.0,Offensive rebound by H. Barnes,,57-70,,
2:32.0,W. Matthews makes 3-pt shot from 23 ft (assist by H. Barnes),3,60-70,,
2:23.0,,,60-70,,M. Chalmers misses 3-pt shot from 26 ft
2:19.0,Defensive rebound by H. Barnes,,60-70,,
2:16.0,,,60-70,,Personal foul by J. Martin (drawn by Y. Ferrell)
2:16.0,Y. Ferrell makes free throw 1 of 2,1,61-70,,
2:16.0,,,61-70,,C. Parsons enters the game for J. Martin
2:16.0,,,61-70,,B. Wright enters the game for M. Gasol
2:16.0,S. Mejri enters the game for N. Noel,,61-70,,
2:16.0,Y. Ferrell makes free throw 2 of 2,1,62-70,,
2:07.0,,,62-70,,M. Chalmers misses 2-pt shot from 7 ft
2:04.0,Defensive rebound by J. Barea,,62-70,,
1:57.0,W. Matthews makes 3-pt shot from 26 ft (assist by J. Barea),3,65-70,,
1:36.0,,,65-70,,D. Brooks misses 2-pt shot from 19 ft
1:34.0,,,65-70,,Offensive rebound by M. Chalmers
1:33.0,,,65-72,2,B. Wright makes 2-pt shot at rim (assist by M. Chalmers)
1:14.0,W. Matthews misses 3-pt shot from 25 ft,,65-72,,
1:11.0,,,65-72,,Defensive rebound by D. Brooks
1:08.0,,,65-72,,Shooting foul by Y. Ferrell (drawn by T. Evans)
1:08.0,,,65-73,1,T. Evans makes free throw 1 of 2
1:08.0,,,65-74,1,T. Evans makes free throw 2 of 2
0:51.0,H. Barnes makes 2-pt shot from 12 ft,2,67-74,,
0:51.0,Shooting foul by M. Chalmers (drawn by H. Barnes),,67-74,,
0:51.0,H. Barnes makes free throw 1 of 1,1,68-74,,
0:40.0,,,68-74,,Turnover by T. Evans (turnover)
0:31.0,H. Barnes misses 2-pt shot from 21 ft,,68-74,,
0:28.0,,,68-74,,Defensive rebound by T. Evans
0:08.0,,,68-76,2,T. Evans makes 2-pt shot from 22 ft
0:01.0,Turnover by J. Barea (bad pass; steal by T. Evans),,68-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,J. Barea misses 3-pt shot from 25 ft,,68-76,,
11:34.0,,,68-76,,Defensive rebound by T. Evans
11:26.0,,,68-79,3,T. Evans makes 3-pt shot from 25 ft
11:03.0,,,68-79,,Personal foul by C. Parsons (drawn by J. Barea)
11:03.0,M. Kleber enters the game for S. Mejri,,68-79,,
10:50.0,D. Smith makes 2-pt shot from 12 ft,2,70-79,,
10:34.0,,,70-82,3,T. Evans makes 3-pt shot from 25 ft
10:21.0,D. Powell makes 2-pt shot from 5 ft (assist by D. Smith),2,72-82,,
10:00.0,,,72-82,,T. Evans misses 3-pt shot from 25 ft
9:57.0,Defensive rebound by J. Barea,,72-82,,
9:45.0,Turnover by D. Smith (bad pass; steal by D. Brooks),,72-82,,
9:41.0,,,72-82,,Turnover by M. Chalmers (bad pass; steal by Y. Ferrell)
9:33.0,J. Barea makes 3-pt shot from 24 ft,3,75-82,,
9:03.0,,,75-82,,D. Brooks misses 2-pt shot from 22 ft
9:01.0,Defensive rebound by D. Powell,,75-82,,
8:53.0,Shooting foul by T. Evans (drawn by Y. Ferrell),,75-82,,
8:53.0,Y. Ferrell makes free throw 1 of 2,1,76-82,,
8:53.0,Y. Ferrell makes free throw 2 of 2,1,77-82,,
8:37.0,,,77-82,,D. Brooks misses 3-pt shot from 25 ft
8:33.0,Defensive rebound by D. Smith,,77-82,,
8:31.0,,,77-82,,Personal foul by D. Brooks (drawn by M. Kleber)
8:31.0,,,77-82,,M. Gasol enters the game for M. Chalmers
8:31.0,,,77-82,,M. Conley enters the game for B. Wright
8:14.0,Y. Ferrell misses 3-pt shot from 25 ft,,77-82,,
8:12.0,Offensive rebound by D. Powell,,77-82,,
8:05.0,M. Kleber misses 3-pt shot from 26 ft,,77-82,,
8:05.0,,,77-82,,Defensive rebound by C. Parsons
7:42.0,,,77-82,,Turnover by M. Conley (bad pass; steal by D. Powell)
7:38.0,M. Kleber misses 2-pt shot from 1 ft (block by C. Parsons),,77-82,,
7:38.0,Offensive rebound by Team,,77-82,,
7:35.0,J. Barea makes 3-pt shot from 25 ft (assist by M. Kleber),2,80-82,,
7:18.0,Personal foul by J. Barea (drawn by M. Conley),,80-82,,
7:08.0,,,80-82,,M. Conley misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by J. Barea,,80-82,,
6:58.0,J. Barea misses 3-pt shot from 25 ft,,80-82,,
6:55.0,,,80-82,,Defensive rebound by T. Evans
6:51.0,,,80-82,,Turnover by T. Evans (lost ball; steal by Y. Ferrell)
6:51.0,,,80-82,,Memphis full timeout
6:51.0,,,80-82,,M. Chalmers enters the game for D. Brooks
6:51.0,W. Matthews enters the game for D. Smith,,80-82,,
6:51.0,D. Nowitzki enters the game for M. Kleber,,80-82,,
6:48.0,Jump ball: C. Parsons vs. J. Barea (M. Gasol gains possession),,,,Jump ball: C. Parsons vs. J. Barea (M. Gasol gains possession)
6:48.0,Turnover by J. Barea (turnover; steal by C. Parsons),,80-82,,
6:32.0,,,80-82,,J. Martin enters the game for C. Parsons
6:27.0,,,80-82,,M. Conley misses 3-pt shot from 25 ft
6:23.0,,,80-82,,Offensive rebound by T. Evans
6:10.0,,,80-82,,Shooting foul by D. Nowitzki (drawn by M. Gasol)
6:10.0,,,80-83,1,M. Gasol makes free throw 1 of 2
6:10.0,H. Barnes enters the game for D. Powell,,80-83,,
6:10.0,N. Noel enters the game for Y. Ferrell,,80-83,,
6:10.0,,,80-84,1,M. Gasol makes free throw 2 of 2
