time,Orlando,pts.away,score,pts.home,Denver
2:21.0,,,19-29,,N. Jokic enters the game for P. Millsap
2:21.0,B. Biyombo enters the game for N. Vucevic,,19-29,,
2:21.0,A. Afflalo enters the game for E. Fournier,,19-29,,
2:14.0,,,19-31,2,J. Murray makes 2-pt shot from 11 ft
1:58.0,J. Simmons misses 2-pt shot from 7 ft,,19-31,,
1:58.0,,,19-31,,Defensive rebound by N. Jokic
1:52.0,,,19-34,3,E. Mudiay makes 3-pt shot from 27 ft
1:49.0,Orlando full timeout,,19-34,,
1:37.0,Turnover by J. Simmons (lost ball; steal by N. Jokic),,19-34,,
1:35.0,,,19-34,,Shooting foul by J. Simmons (drawn by J. Murray)
1:35.0,,,19-35,1,J. Murray makes free throw 1 of 2
1:35.0,,,19-35,,J. Murray misses free throw 2 of 2
1:32.0,Defensive rebound by A. Gordon,,19-35,,
1:23.0,B. Biyombo makes 2-pt shot from 7 ft (assist by A. Gordon),2,21-35,,
1:01.0,,,21-35,,E. Mudiay misses 2-pt shot from 3 ft
0:59.0,Defensive rebound by J. Isaac,,21-35,,
0:57.0,Turnover by J. Isaac (bad pass; steal by M. Plumlee),,21-35,,
0:42.0,,,21-35,,Shooting foul by J. Simmons (drawn by W. Barton)
0:42.0,,,21-35,,W. Barton misses free throw 1 of 2
0:42.0,,,21-35,,Offensive rebound by Team
0:42.0,,,21-35,,M. Beasley enters the game for J. Murray
0:42.0,,,21-36,1,W. Barton makes free throw 2 of 2
0:27.0,J. Simmons makes 2-pt shot from 3 ft,2,23-36,,
0:04.0,,,23-39,3,N. Jokic makes 3-pt shot from 24 ft
0:02.0,,,23-39,,Personal foul by E. Mudiay (drawn by A. Gordon)
0:00.0,J. Simmons misses 3-pt shot from 25 ft,,23-39,,
0:00.0,Offensive rebound by Team,,23-39,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,23-39,,N. Jokic misses 2-pt shot from 7 ft
11:43.0,Defensive rebound by A. Afflalo,,23-39,,
11:36.0,J. Simmons misses 3-pt shot from 26 ft,,23-39,,
11:32.0,,,23-39,,Defensive rebound by K. Faried
11:29.0,,,23-39,,Turnover by K. Faried (bad pass; steal by J. Simmons)
11:24.0,J. Isaac makes 2-pt shot from 3 ft (assist by T. Ross),2,25-39,,
10:59.0,,,25-39,,N. Jokic misses 2-pt shot from 4 ft
10:59.0,Defensive rebound by Team,,25-39,,
10:45.0,Shooting foul by K. Faried (drawn by J. Simmons),,25-39,,
10:45.0,J. Simmons misses free throw 1 of 2,,25-39,,
10:45.0,Offensive rebound by Team,,25-39,,
10:45.0,J. Simmons makes free throw 2 of 2,1,26-39,,
10:29.0,,,26-39,,E. Mudiay misses 2-pt shot from 22 ft
10:26.0,,,26-39,,Offensive rebound by N. Jokic
10:24.0,,,26-39,,N. Jokic misses 2-pt shot from 4 ft
10:24.0,,,26-39,,Offensive rebound by N. Jokic
10:21.0,,,26-39,,N. Jokic misses 2-pt shot from 3 ft (block by J. Isaac)
10:21.0,Defensive rebound by B. Biyombo,,26-39,,
10:21.0,,,26-39,,Personal foul by N. Jokic
10:21.0,,,26-39,,Technical foul by N. Jokic
10:21.0,T. Ross misses technical free throw,,26-39,,
10:21.0,Offensive rebound by Team,,26-39,,
10:04.0,A. Afflalo misses 2-pt shot from 14 ft,,26-39,,
10:02.0,,,26-39,,Defensive rebound by N. Jokic
9:50.0,,,26-41,2,W. Chandler makes 2-pt shot from 21 ft
9:36.0,B. Biyombo misses 2-pt shot from 4 ft,,26-41,,
9:34.0,,,26-41,,Defensive rebound by M. Beasley
9:29.0,,,26-41,,M. Beasley misses 3-pt shot from 26 ft
9:26.0,Defensive rebound by T. Ross,,26-41,,
9:19.0,T. Ross misses 2-pt shot from 9 ft,,26-41,,
9:17.0,,,26-41,,Defensive rebound by N. Jokic
9:12.0,,,26-43,2,K. Faried makes 2-pt shot from 3 ft (assist by N. Jokic)
8:50.0,T. Ross misses 3-pt shot from 26 ft,,26-43,,
8:48.0,,,26-43,,Defensive rebound by K. Faried
8:41.0,,,26-43,,Shooting foul by J. Isaac (drawn by N. Jokic)
8:41.0,,,26-44,1,N. Jokic makes free throw 1 of 2
8:41.0,,,26-44,,N. Jokic misses free throw 2 of 2
8:39.0,Defensive rebound by J. Isaac,,26-44,,
8:28.0,B. Biyombo misses 2-pt shot from 1 ft,,26-44,,
8:28.0,Offensive rebound by J. Simmons,,26-44,,
8:27.0,J. Simmons misses 2-pt shot at rim,,26-44,,
8:26.0,,,26-44,,Defensive rebound by N. Jokic
8:17.0,,,26-46,2,K. Faried makes 2-pt shot from 4 ft (assist by E. Mudiay)
8:14.0,Orlando full timeout,,26-46,,
8:14.0,M. Speights enters the game for J. Isaac,,26-46,,
8:04.0,J. Simmons misses 2-pt shot from 4 ft (block by N. Jokic),,26-46,,
8:00.0,,,26-46,,Defensive rebound by E. Mudiay
7:52.0,,,26-46,,Turnover by W. Chandler (bad pass; steal by A. Afflalo)
7:39.0,J. Simmons misses 2-pt shot from 5 ft,,26-46,,
7:35.0,Offensive rebound by J. Simmons,,26-46,,
7:35.0,J. Simmons misses 2-pt shot at rim,,26-46,,
7:34.0,,,26-46,,Defensive rebound by E. Mudiay
7:28.0,,,26-46,,M. Beasley misses 3-pt shot from 26 ft
7:25.0,Defensive rebound by A. Afflalo,,26-46,,
7:16.0,M. Speights misses 3-pt shot from 26 ft,,26-46,,
7:12.0,,,26-46,,Defensive rebound by N. Jokic
6:56.0,,,26-46,,K. Faried misses 2-pt shot from 5 ft
6:54.0,,,26-46,,Offensive rebound by M. Beasley
6:53.0,,,26-48,2,M. Beasley makes 2-pt shot from 2 ft
6:42.0,Turnover by M. Speights (bad pass; steal by K. Faried),,26-48,,
6:37.0,,,26-50,2,K. Faried makes 2-pt shot from 2 ft (assist by E. Mudiay)
6:23.0,Turnover by T. Ross (bad pass; steal by N. Jokic),,26-50,,
6:23.0,Personal foul by T. Ross (drawn by N. Jokic),,26-50,,
6:23.0,,,26-50,,P. Millsap enters the game for N. Jokic
6:23.0,,,26-50,,W. Barton enters the game for M. Beasley
6:23.0,S. Mack enters the game for A. Afflalo,,26-50,,
6:23.0,A. Gordon enters the game for B. Biyombo,,26-50,,
6:23.0,E. Fournier enters the game for J. Simmons,,26-50,,
6:06.0,Personal foul by E. Fournier (drawn by P. Millsap),,26-50,,
6:06.0,,,26-51,1,P. Millsap makes free throw 1 of 2
6:06.0,,,26-52,1,P. Millsap makes free throw 2 of 2
5:56.0,M. Speights makes 3-pt shot from 25 ft (assist by S. Mack),3,29-52,,
5:42.0,,,29-54,2,E. Mudiay makes 2-pt shot from 3 ft
5:33.0,M. Speights misses 3-pt shot from 26 ft,,29-54,,
5:33.0,,,29-54,,Defensive rebound by K. Faried
5:21.0,,,29-54,,Shooting foul by M. Speights (drawn by W. Chandler)
5:21.0,,,29-55,1,W. Chandler makes free throw 1 of 2
5:21.0,,,29-55,,J. Murray enters the game for E. Mudiay
5:21.0,N. Vucevic enters the game for M. Speights,,29-55,,
5:21.0,,,29-56,1,W. Chandler makes free throw 2 of 2
5:03.0,S. Mack misses 3-pt shot from 26 ft,,29-56,,
5:00.0,,,29-56,,Defensive rebound by W. Barton
4:51.0,,,29-56,,W. Barton misses 3-pt shot from 25 ft
4:46.0,Defensive rebound by S. Mack,,29-56,,
4:42.0,A. Gordon makes 3-pt shot from 26 ft,3,32-56,,
4:12.0,,,32-59,3,J. Murray makes 3-pt shot from 27 ft
3:53.0,T. Ross makes 2-pt shot from 7 ft (assist by N. Vucevic),2,34-59,,
3:29.0,,,34-59,,J. Murray misses 3-pt shot from 26 ft
3:27.0,Defensive rebound by A. Gordon,,34-59,,
3:22.0,,,34-59,,Denver full timeout
3:22.0,,,34-59,,N. Jokic enters the game for K. Faried
3:22.0,J. Simmons enters the game for T. Ross,,34-59,,
3:21.0,A. Gordon makes 2-pt shot from 2 ft,2,36-59,,
3:07.0,,,36-61,2,P. Millsap makes 2-pt shot from 11 ft
2:47.0,E. Fournier makes 2-pt shot from 8 ft,2,38-61,,
2:37.0,,,38-61,,Shooting foul by N. Vucevic (drawn by N. Jokic)
2:37.0,,,38-62,1,N. Jokic makes free throw 1 of 2
2:37.0,,,38-63,1,N. Jokic makes free throw 2 of 2
2:22.0,E. Fournier makes 3-pt shot from 26 ft,3,41-63,,
2:00.0,,,41-65,2,W. Chandler makes 2-pt shot from 4 ft
1:52.0,A. Gordon makes 2-pt shot from 1 ft (assist by S. Mack),2,43-65,,
1:31.0,,,43-65,,P. Millsap misses 3-pt shot from 26 ft
1:28.0,Defensive rebound by N. Vucevic,,43-65,,
1:20.0,N. Vucevic makes 2-pt shot from 2 ft (assist by S. Mack),2,45-65,,
1:20.0,Shooting foul by J. Murray (drawn by N. Vucevic),,45-65,,
1:20.0,J. Isaac enters the game for J. Simmons,,45-65,,
1:20.0,N. Vucevic misses free throw 1 of 1,,45-65,,
1:16.0,,,45-65,,Defensive rebound by N. Jokic
1:08.0,,,45-68,3,J. Murray makes 3-pt shot from 25 ft
0:55.0,S. Mack makes 2-pt shot from 2 ft,2,47-68,,
0:39.0,,,47-70,2,P. Millsap makes 2-pt shot from 3 ft
0:28.0,E. Fournier misses 3-pt shot from 27 ft,,47-70,,
0:26.0,,,47-70,,Defensive rebound by Team
0:04.0,Jump ball: W. Chandler vs. J. Isaac (A. Gordon gains possession),,,,Jump ball: W. Chandler vs. J. Isaac (A. Gordon gains possession)
0:04.0,,,47-70,,Turnover by W. Chandler (turnover; steal by J. Isaac)
0:00.0,S. Mack misses 2-pt shot from 7 ft,,47-70,,
0:00.0,Offensive rebound by Team,,47-70,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,47-72,2,P. Millsap makes 2-pt shot from 8 ft
11:21.0,E. Fournier makes 2-pt shot from 6 ft (assist by A. Gordon),2,49-72,,
11:11.0,,,49-72,,J. Murray misses 2-pt shot from 4 ft
11:11.0,,,49-72,,Offensive rebound by N. Jokic
11:10.0,,,49-72,,N. Jokic misses 2-pt shot at rim
11:10.0,,,49-72,,Offensive rebound by N. Jokic
11:09.0,,,49-74,2,N. Jokic makes 2-pt shot at rim
10:56.0,N. Vucevic makes 2-pt shot from 4 ft (assist by E. Fournier),2,51-74,,
10:41.0,,,51-76,2,J. Murray makes 2-pt shot from 3 ft (assist by N. Jokic)
10:41.0,Orlando full timeout,,51-76,,
10:21.0,N. Vucevic makes 2-pt shot from 6 ft (assist by A. Gordon),2,53-76,,
9:55.0,,,53-76,,Turnover by W. Chandler (turnover)
9:39.0,Shooting foul by W. Chandler (drawn by A. Gordon),,53-76,,
9:39.0,A. Gordon makes free throw 1 of 2,1,54-76,,
9:39.0,A. Gordon makes free throw 2 of 2,1,55-76,,
9:16.0,,,55-79,3,J. Murray makes 3-pt shot from 27 ft (assist by N. Jokic)
8:58.0,E. Fournier makes 2-pt shot from 4 ft,2,57-79,,
8:58.0,,,57-79,,Denver full timeout
8:38.0,,,57-79,,Shooting foul by N. Vucevic (drawn by P. Millsap)
8:38.0,,,57-79,,P. Millsap misses free throw 1 of 2
8:38.0,,,57-79,,Offensive rebound by Team
8:38.0,,,57-80,1,P. Millsap makes free throw 2 of 2
8:23.0,A. Gordon makes 2-pt shot from 23 ft (assist by E. Fournier),2,59-80,,
8:09.0,,,59-80,,Shooting foul by S. Mack (drawn by W. Barton)
8:09.0,,,59-81,1,W. Barton makes free throw 1 of 2
8:09.0,J. Simmons enters the game for S. Mack,,59-81,,
8:09.0,,,59-82,1,W. Barton makes free throw 2 of 2
7:50.0,E. Fournier misses 2-pt shot from 16 ft,,59-82,,
7:46.0,,,59-82,,Defensive rebound by P. Millsap
7:30.0,,,59-84,2,W. Barton makes 2-pt shot from 3 ft (assist by J. Murray)
7:16.0,N. Vucevic misses 2-pt shot from 7 ft,,59-84,,
7:13.0,,,59-84,,Defensive rebound by W. Barton
7:07.0,,,59-86,2,J. Murray makes 2-pt shot from 9 ft (assist by W. Barton)
7:07.0,,,59-86,,Shooting foul by N. Vucevic (drawn by J. Murray)
7:07.0,,,59-87,1,J. Murray makes free throw 1 of 1
6:51.0,N. Vucevic misses 3-pt shot from 26 ft,,59-87,,
6:48.0,Offensive rebound by N. Vucevic,,59-87,,
6:38.0,Turnover by A. Gordon (lost ball; steal by P. Millsap),,59-87,,
6:32.0,,,59-89,2,W. Chandler makes 2-pt shot from 2 ft (assist by P. Millsap)
6:29.0,,,59-89,,Personal foul by N. Jokic (drawn by E. Fournier)
6:20.0,T. Ross makes 2-pt shot from 16 ft (assist by A. Gordon),2,61-89,,
5:53.0,,,61-89,,J. Murray misses 2-pt shot from 11 ft
5:49.0,Defensive rebound by E. Fournier,,61-89,,
5:37.0,A. Gordon misses 3-pt shot from 22 ft,,61-89,,
5:35.0,,,61-89,,Defensive rebound by Team
5:22.0,,,61-89,,P. Millsap misses 3-pt shot from 26 ft
5:19.0,Defensive rebound by N. Vucevic,,61-89,,
5:12.0,Turnover by J. Simmons (traveling),,61-89,,
5:12.0,,,61-89,,M. Plumlee enters the game for N. Jokic
5:12.0,,,61-89,,E. Mudiay enters the game for J. Murray
5:01.0,,,61-89,,W. Barton misses 3-pt shot from 26 ft
4:58.0,Defensive rebound by N. Vucevic,,61-89,,
4:53.0,T. Ross makes 3-pt shot from 26 ft,3,64-89,,
4:35.0,,,64-91,2,M. Plumlee makes 2-pt shot from 2 ft (assist by P. Millsap)
4:25.0,T. Ross misses 3-pt shot from 25 ft (block by W. Barton),,64-91,,
4:21.0,,,64-91,,Defensive rebound by P. Millsap
4:19.0,,,64-91,,Turnover by P. Millsap (bad pass; steal by T. Ross)
4:07.0,N. Vucevic misses 2-pt shot from 15 ft,,64-91,,
4:03.0,,,64-91,,Defensive rebound by W. Barton
3:57.0,,,64-91,,Shooting foul by N. Vucevic (drawn by W. Barton)
3:57.0,,,64-92,1,W. Barton makes free throw 1 of 2
3:57.0,J. Isaac enters the game for A. Gordon,,64-92,,
3:57.0,A. Afflalo enters the game for N. Vucevic,,64-92,,
3:57.0,M. Speights enters the game for E. Fournier,,64-92,,
3:57.0,B. Biyombo enters the game for T. Ross,,64-92,,
3:57.0,,,64-93,1,W. Barton makes free throw 2 of 2
3:42.0,A. Afflalo makes 3-pt shot from 23 ft (assist by J. Simmons),3,67-93,,
3:19.0,,,67-93,,W. Barton misses 2-pt shot from 16 ft
3:16.0,Defensive rebound by A. Afflalo,,67-93,,
3:08.0,J. Simmons makes 2-pt shot from 4 ft,2,69-93,,
3:08.0,Shooting foul by E. Mudiay (drawn by J. Simmons),,69-93,,
3:08.0,J. Simmons makes free throw 1 of 1,1,70-93,,
2:54.0,,,70-93,,E. Mudiay misses 2-pt shot from 7 ft
2:52.0,Defensive rebound by A. Afflalo,,70-93,,
2:25.0,B. Biyombo misses 2-pt shot from 6 ft (block by P. Millsap),,70-93,,
2:21.0,,,70-93,,Defensive rebound by P. Millsap
2:20.0,,,70-93,,E. Mudiay misses 3-pt shot from 26 ft
2:14.0,Defensive rebound by A. Afflalo,,70-93,,
2:13.0,M. Speights makes 2-pt shot from 4 ft (assist by J. Simmons),2,72-93,,
2:12.0,,,72-93,,Denver full timeout
2:12.0,,,72-93,,N. Jokic enters the game for P. Millsap
2:00.0,Personal foul by M. Speights (drawn by N. Jokic),,72-93,,
2:00.0,,,72-94,1,N. Jokic makes free throw 1 of 2
2:00.0,,,72-95,1,N. Jokic makes free throw 2 of 2
1:49.0,M. Speights makes 3-pt shot from 29 ft (assist by J. Simmons),3,75-95,,
1:49.0,Shooting foul by W. Chandler (drawn by M. Speights),,75-95,,
1:49.0,M. Speights misses free throw 1 of 1,,75-95,,
1:46.0,,,75-95,,Defensive rebound by N. Jokic
1:25.0,,,75-95,,E. Mudiay misses 2-pt shot from 5 ft (block by B. Biyombo)
1:21.0,Defensive rebound by A. Afflalo,,75-95,,
1:19.0,A. Afflalo makes 2-pt shot from 4 ft,2,77-95,,
1:05.0,,,77-98,3,W. Barton makes 3-pt shot from 25 ft (assist by W. Chandler)
0:48.0,B. Biyombo misses 2-pt shot from 7 ft,,77-98,,
0:45.0,,,77-98,,Defensive rebound by N. Jokic
0:35.0,,,77-98,,W. Chandler misses 3-pt shot from 25 ft
0:31.0,,,77-98,,Offensive rebound by M. Plumlee
0:18.0,,,77-98,,Turnover by W. Barton (bad pass)
0:00.0,J. Simmons misses 2-pt shot from 9 ft,,77-98,,
0:00.0,Offensive rebound by J. Simmons,,77-98,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,J. Simmons makes 2-pt shot from 5 ft,2,79-98,,
11:47.0,Shooting foul by J. Murray (drawn by J. Simmons),,79-98,,
11:47.0,J. Simmons makes free throw 1 of 1,1,80-98,,
11:34.0,Personal foul by B. Biyombo (drawn by N. Jokic),,80-98,,
11:26.0,,,80-100,2,E. Mudiay makes 2-pt shot from 3 ft (assist by P. Millsap)
11:14.0,J. Simmons makes 2-pt shot from 5 ft,2,82-100,,
11:06.0,,,82-100,,E. Mudiay misses 2-pt shot from 2 ft
11:06.0,Defensive rebound by M. Speights,,82-100,,
11:00.0,M. Speights misses 3-pt shot from 26 ft,,82-100,,
10:56.0,,,82-100,,Defensive rebound by J. Murray
10:43.0,,,82-100,,P. Millsap misses 3-pt shot from 26 ft
10:39.0,Defensive rebound by J. Isaac,,82-100,,
10:34.0,J. Simmons makes 2-pt shot from 19 ft,2,84-100,,
10:33.0,,,84-100,,Denver full timeout
10:17.0,,,84-100,,J. Murray misses 2-pt shot from 11 ft
10:15.0,Defensive rebound by J. Isaac,,84-100,,
9:55.0,M. Speights makes 2-pt shot from 3 ft (assist by B. Biyombo),2,86-100,,
9:36.0,,,86-100,,Shooting foul by A. Afflalo (drawn by P. Millsap)
9:36.0,,,86-101,1,P. Millsap makes free throw 1 of 2
9:36.0,,,86-101,,P. Millsap misses free throw 2 of 2
9:34.0,Defensive rebound by B. Biyombo,,86-101,,
9:24.0,Turnover by J. Simmons (lost ball; steal by N. Jokic),,86-101,,
9:20.0,,,86-101,,P. Millsap misses 2-pt shot from 2 ft
9:19.0,,,86-101,,Offensive rebound by E. Mudiay
9:19.0,,,86-101,,E. Mudiay misses 2-pt shot from 3 ft (block by J. Isaac)
9:19.0,,,86-101,,Offensive rebound by J. Murray
9:10.0,,,86-103,2,E. Mudiay makes 2-pt shot from 3 ft (assist by N. Jokic)
9:10.0,,,86-103,,Shooting foul by M. Speights (drawn by E. Mudiay)
9:10.0,Orlando full timeout,,86-103,,
9:10.0,A. Gordon enters the game for J. Isaac,,86-103,,
9:10.0,,,86-104,1,E. Mudiay makes free throw 1 of 1
8:50.0,A. Gordon misses 2-pt shot from 18 ft,,86-104,,
8:47.0,,,86-104,,Defensive rebound by N. Jokic
8:38.0,,,86-104,,P. Millsap misses 2-pt shot from 6 ft
8:36.0,Defensive rebound by B. Biyombo,,86-104,,
8:29.0,M. Speights misses 3-pt shot from 25 ft,,86-104,,
8:24.0,Offensive rebound by B. Biyombo,,86-104,,
8:21.0,J. Simmons makes 3-pt shot from 24 ft (assist by A. Afflalo),3,89-104,,
8:01.0,,,89-104,,J. Murray misses 3-pt shot from 26 ft
8:01.0,Defensive rebound by A. Afflalo,,89-104,,
7:53.0,Shooting foul by P. Millsap (drawn by J. Simmons),,89-104,,
7:53.0,J. Simmons makes free throw 1 of 3,1,90-104,,
7:53.0,J. Simmons makes free throw 2 of 3,1,91-104,,
7:53.0,T. Ross enters the game for A. Afflalo,,91-104,,
7:53.0,E. Fournier enters the game for B. Biyombo,,91-104,,
7:53.0,J. Simmons misses free throw 3 of 3,,91-104,,
7:52.0,,,91-104,,Defensive rebound by N. Jokic
7:45.0,,,91-104,,Turnover by J. Murray (lost ball; steal by M. Speights)
7:30.0,Offensive charge foul by E. Fournier (drawn by J. Murray),,91-104,,
7:30.0,Turnover by E. Fournier (offensive foul),,91-104,,
7:30.0,,,91-104,,W. Barton enters the game for E. Mudiay
7:23.0,,,91-104,,Turnover by N. Jokic (bad pass)
7:04.0,J. Simmons misses 2-pt shot from 4 ft,,91-104,,
7:01.0,,,91-104,,Defensive rebound by P. Millsap
6:47.0,,,91-106,2,P. Millsap makes 2-pt shot from 1 ft (assist by W. Barton)
6:29.0,T. Ross misses 3-pt shot from 26 ft,,91-106,,
6:26.0,,,91-106,,Defensive rebound by W. Barton
6:15.0,Personal foul by J. Simmons (drawn by W. Barton),,91-106,,
6:15.0,N. Vucevic enters the game for M. Speights,,91-106,,
6:15.0,S. Mack enters the game for J. Simmons,,91-106,,
6:09.0,,,91-108,2,W. Chandler makes 2-pt shot from 7 ft (assist by P. Millsap)
6:09.0,,,91-108,,Shooting foul by T. Ross (drawn by W. Chandler)
6:09.0,,,91-109,1,W. Chandler makes free throw 1 of 1
5:55.0,Turnover by E. Fournier (lost ball; steal by N. Jokic),,91-109,,
5:53.0,,,91-109,,Shooting foul by T. Ross (drawn by W. Barton)
5:53.0,,,91-110,1,W. Barton makes free throw 1 of 2
5:53.0,,,91-110,,W. Barton misses free throw 2 of 2
5:51.0,Defensive rebound by N. Vucevic,,91-110,,
5:32.0,Turnover by N. Vucevic (bad pass; steal by W. Barton),,91-110,,
5:24.0,,,91-112,2,W. Barton makes 2-pt shot from 2 ft (assist by P. Millsap)
5:24.0,Orlando full timeout,,91-112,,
5:24.0,M. Speights enters the game for A. Gordon,,91-112,,
5:24.0,B. Biyombo enters the game for E. Fournier,,91-112,,
5:24.0,A. Afflalo enters the game for T. Ross,,91-112,,
5:24.0,M. Hezonja enters the game for N. Vucevic,,91-112,,
5:11.0,A. Afflalo misses 2-pt shot from 11 ft,,91-112,,
5:06.0,Offensive rebound by B. Biyombo,,91-112,,
5:06.0,B. Biyombo misses 2-pt shot at rim,,91-112,,
5:05.0,,,91-112,,Defensive rebound by P. Millsap
4:53.0,,,91-114,2,W. Barton makes 2-pt shot from 1 ft
4:52.0,,,91-114,,W. Barton misses 2-pt shot from 1 ft
4:47.0,,,91-114,,Offensive rebound by W. Barton
4:37.0,B. Biyombo makes 2-pt shot from 7 ft (assist by S. Mack),2,93-114,,
4:17.0,,,93-114,,P. Millsap misses 3-pt shot from 26 ft
4:14.0,Defensive rebound by M. Speights,,93-114,,
4:05.0,,,93-114,,Personal foul by J. Murray (drawn by A. Afflalo)
3:59.0,M. Hezonja misses 3-pt shot from 26 ft,,93-114,,
3:56.0,,,93-114,,Defensive rebound by W. Barton
