time,Oklahoma City,pts.away,score,pts.home,Brooklyn
6:41.0,,,8-7,,Brooklyn full timeout
6:41.0,,,8-7,,J. Allen enters the game for A. Crabbe
6:41.0,,,8-7,,J. Harris enters the game for T. Zeller
6:30.0,R. Westbrook misses 3-pt shot from 25 ft,,8-7,,
6:27.0,Offensive rebound by A. Roberson,,8-7,,
6:26.0,C. Anthony misses 3-pt shot from 25 ft,,8-7,,
6:24.0,Offensive rebound by C. Anthony,,8-7,,
6:23.0,C. Anthony misses 2-pt shot from 19 ft,,8-7,,
6:20.0,,,8-7,,Defensive rebound by J. Allen
6:03.0,,,8-7,,D. Carroll misses 2-pt shot from 19 ft
6:00.0,Defensive rebound by R. Westbrook,,8-7,,
5:56.0,R. Westbrook makes 2-pt shot at rim,2,10-7,,
5:54.0,,,10-7,,Brooklyn full timeout
5:54.0,,,10-7,,Q. Acy enters the game for R. Hollis-Jefferson
5:49.0,,,10-7,,Turnover by J. Harris (bad pass)
5:36.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,12-7,,
5:20.0,,,12-7,,D. Carroll misses 3-pt shot from 24 ft
5:15.0,Defensive rebound by S. Adams,,12-7,,
5:08.0,C. Anthony misses 2-pt shot from 18 ft (block by D. Carroll),,12-7,,
5:08.0,Offensive rebound by A. Abrines,,12-7,,
5:08.0,,,12-7,,Personal foul by J. Harris (drawn by A. Abrines)
5:08.0,P. Patterson enters the game for C. Anthony,,12-7,,
5:02.0,R. Westbrook makes 2-pt shot from 12 ft,2,14-7,,
4:49.0,Shooting block foul by R. Westbrook (drawn by Q. Acy),,14-7,,
4:49.0,,,14-8,1,Q. Acy makes free throw 1 of 2
4:49.0,,,14-9,1,Q. Acy makes free throw 2 of 2
4:38.0,S. Adams makes 2-pt shot at rim (assist by A. Abrines),2,16-9,,
4:19.0,,,16-9,,C. LeVert misses 2-pt shot from 1 ft (block by A. Roberson)
4:17.0,Defensive rebound by A. Roberson,,16-9,,
4:12.0,A. Abrines makes 3-pt shot from 21 ft (assist by P. Patterson),3,19-9,,
3:54.0,,,19-12,3,J. Harris makes 3-pt shot from 24 ft (assist by C. LeVert)
3:40.0,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook),2,21-12,,
3:40.0,Shooting foul by J. Allen (drawn by A. Roberson),,21-12,,
3:40.0,,,21-12,,S. Dinwiddie enters the game for D. Carroll
3:40.0,R. Felton enters the game for R. Westbrook,,21-12,,
3:40.0,A. Roberson makes free throw 1 of 1,1,22-12,,
3:27.0,,,22-15,3,C. LeVert makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
3:05.0,Offensive charge foul by A. Roberson (drawn by C. LeVert),,22-15,,
3:05.0,Turnover by A. Roberson (offensive foul),,22-15,,
3:05.0,K. Singler enters the game for S. Adams,,22-15,,
3:05.0,C. Anthony enters the game for A. Roberson,,22-15,,
2:52.0,,,22-15,,Q. Acy misses 2-pt shot at rim
2:50.0,Defensive rebound by K. Singler,,22-15,,
2:43.0,P. Patterson makes 2-pt shot at rim (assist by R. Felton),2,24-15,,
2:33.0,,,24-15,,Q. Acy misses 3-pt shot from 24 ft
2:33.0,Defensive rebound by A. Abrines,,24-15,,
2:27.0,,,24-15,,Personal foul by Q. Acy (drawn by C. Anthony)
2:27.0,C. Anthony misses free throw 1 of 2,,24-15,,
2:27.0,Offensive rebound by Team,,24-15,,
2:27.0,T. Ferguson enters the game for A. Abrines,,24-15,,
2:27.0,C. Anthony makes free throw 2 of 2,1,25-15,,
2:12.0,Personal foul by K. Singler (drawn by Q. Acy),,25-15,,
2:06.0,,,25-15,,Offensive foul by S. Dinwiddie (drawn by R. Felton)
2:06.0,,,25-15,,Turnover by S. Dinwiddie (offensive foul)
2:06.0,,,25-15,,A. Crabbe enters the game for S. Dinwiddie
1:46.0,K. Singler makes 3-pt shot from 24 ft (assist by C. Anthony),3,28-15,,
1:30.0,,,28-15,,Turnover by A. Crabbe (bad pass; steal by T. Ferguson)
1:24.0,R. Felton misses 2-pt shot from 16 ft,,28-15,,
1:21.0,,,28-15,,Defensive rebound by C. LeVert
1:15.0,,,28-15,,Turnover by A. Crabbe (bad pass; steal by P. Patterson)
0:58.0,T. Ferguson makes 2-pt shot from 23 ft,2,30-15,,
0:42.0,Shooting block foul by T. Ferguson (drawn by J. Harris),,30-15,,
0:42.0,,,30-16,1,J. Harris makes free throw 1 of 2
0:42.0,,,30-17,1,J. Harris makes free throw 2 of 2
0:35.0,P. Patterson makes 3-pt shot from 24 ft (assist by R. Felton),3,33-17,,
0:28.0,,,33-20,3,A. Crabbe makes 3-pt shot from 22 ft (assist by C. LeVert)
0:05.0,C. Anthony misses 2-pt shot from 1 ft (block by J. Allen),,33-20,,
0:02.0,,,33-20,,Defensive rebound by Q. Acy
0:00.0,,,33-20,,A. Crabbe misses 3-pt shot from 25 ft
0:00.0,,,33-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,K. Singler misses 2-pt shot from 1 ft (block by J. Allen),,33-20,,
11:40.0,,,33-20,,Defensive rebound by A. Crabbe
11:39.0,,,33-22,2,C. LeVert makes 2-pt shot at rim (assist by A. Crabbe)
11:20.0,C. Anthony makes 2-pt shot from 15 ft,2,35-22,,
11:09.0,,,35-25,3,Q. Acy makes 3-pt shot from 24 ft (assist by C. LeVert)
10:51.0,R. Felton makes 2-pt shot from 18 ft,2,37-25,,
10:31.0,,,37-25,,J. Harris misses 2-pt shot from 17 ft
10:30.0,Defensive rebound by C. Anthony,,37-25,,
10:22.0,C. Anthony misses 2-pt shot from 20 ft,,37-25,,
10:19.0,,,37-25,,Defensive rebound by A. Crabbe
10:12.0,,,37-25,,C. LeVert misses 3-pt shot from 24 ft
10:10.0,Defensive rebound by R. Felton,,37-25,,
10:06.0,Oklahoma City full timeout,,37-25,,
10:06.0,,,37-25,,R. Hollis-Jefferson enters the game for J. Allen
10:06.0,,,37-25,,T. Mozgov enters the game for C. LeVert
10:06.0,,,37-25,,S. Dinwiddie enters the game for Q. Acy
10:00.0,Shooting foul by J. Harris (drawn by K. Singler),,37-25,,
10:00.0,K. Singler misses free throw 1 of 2,,37-25,,
10:00.0,Offensive rebound by Team,,37-25,,
10:00.0,K. Singler misses free throw 2 of 2,,37-25,,
9:55.0,,,37-25,,Defensive rebound by S. Dinwiddie
9:50.0,,,37-25,,J. Harris misses 3-pt shot from 23 ft
9:44.0,Defensive rebound by K. Singler,,37-25,,
9:35.0,R. Felton misses 3-pt shot from 24 ft,,37-25,,
9:30.0,,,37-25,,Defensive rebound by R. Hollis-Jefferson
9:23.0,,,37-25,,R. Hollis-Jefferson misses 2-pt shot from 16 ft
9:21.0,Defensive rebound by R. Felton,,37-25,,
9:16.0,K. Singler makes 2-pt shot from 4 ft (assist by R. Felton),2,39-25,,
9:16.0,Shooting foul by S. Dinwiddie (drawn by K. Singler),,39-25,,
9:16.0,,,39-25,,Brooklyn full timeout
9:16.0,,,39-25,,C. LeVert enters the game for S. Dinwiddie
9:16.0,R. Westbrook enters the game for R. Felton,,39-25,,
9:16.0,S. Adams enters the game for C. Anthony,,39-25,,
9:16.0,K. Singler makes free throw 1 of 1,1,40-25,,
8:57.0,Technical foul by S. Adams,,40-25,,
8:57.0,,,40-26,1,C. LeVert makes free throw 1 of 1
8:57.0,,,40-26,,Shooting foul by S. Adams (drawn by C. LeVert)
8:57.0,,,40-26,,C. LeVert misses free throw 1 of 2
8:57.0,,,40-26,,Offensive rebound by Team
8:57.0,,,40-27,1,C. LeVert makes free throw 2 of 2
8:43.0,T. Ferguson misses 3-pt shot from 25 ft,,40-27,,
8:38.0,,,40-27,,Defensive rebound by C. LeVert
8:31.0,,,40-30,3,A. Crabbe makes 3-pt shot from 23 ft (assist by J. Harris)
8:21.0,R. Westbrook makes 2-pt shot from 17 ft,2,42-30,,
8:11.0,,,42-32,2,C. LeVert makes 2-pt shot at rim (assist by R. Hollis-Jefferson)
7:49.0,Turnover by S. Adams (turnover),,42-32,,
7:49.0,A. Roberson enters the game for T. Ferguson,,42-32,,
7:38.0,,,42-34,2,C. LeVert makes 2-pt shot at rim
7:37.0,Oklahoma City full timeout,,42-34,,
7:37.0,,,42-34,,D. Carroll enters the game for J. Harris
7:37.0,C. Anthony enters the game for P. Patterson,,42-34,,
7:21.0,Jump ball: C. LeVert vs. S. Adams (D. Carroll gains possession),,,,Jump ball: C. LeVert vs. S. Adams (D. Carroll gains possession)
7:21.0,Turnover by S. Adams (turnover; steal by C. LeVert),,42-34,,
7:07.0,,,42-34,,A. Crabbe misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by R. Westbrook,,42-34,,
7:02.0,,,42-34,,Shooting block foul by C. LeVert (drawn by R. Westbrook)
7:02.0,R. Westbrook misses free throw 1 of 2,,42-34,,
7:02.0,Offensive rebound by Team,,42-34,,
7:02.0,R. Westbrook makes free throw 2 of 2,1,43-34,,
6:49.0,,,43-34,,T. Mozgov misses 2-pt shot from 12 ft
6:48.0,Defensive rebound by S. Adams,,43-34,,
6:44.0,Turnover by R. Westbrook (bad pass),,43-34,,
6:23.0,,,43-34,,A. Crabbe misses 3-pt shot from 24 ft
6:21.0,,,43-34,,Offensive rebound by T. Mozgov
6:17.0,,,43-34,,D. Carroll misses 3-pt shot from 23 ft
6:15.0,Defensive rebound by S. Adams,,43-34,,
6:10.0,R. Westbrook makes 2-pt shot from 19 ft,2,45-34,,
6:10.0,Shooting foul by A. Crabbe (drawn by R. Westbrook),,45-34,,
6:10.0,A. Abrines enters the game for K. Singler,,45-34,,
6:10.0,R. Westbrook makes free throw 1 of 1,1,46-34,,
5:58.0,,,46-34,,T. Mozgov misses 3-pt shot from 22 ft
5:56.0,Defensive rebound by C. Anthony,,46-34,,
5:54.0,Turnover by C. Anthony (bad pass; steal by R. Hollis-Jefferson),,46-34,,
5:48.0,,,46-36,2,A. Crabbe makes 2-pt shot from 9 ft (assist by C. LeVert)
5:24.0,C. Anthony misses 2-pt shot from 2 ft (block by R. Hollis-Jefferson),,46-36,,
5:22.0,,,46-36,,Defensive rebound by R. Hollis-Jefferson
5:16.0,,,46-36,,D. Carroll misses 3-pt shot from 22 ft
5:14.0,Defensive rebound by A. Roberson,,46-36,,
5:06.0,C. Anthony misses 2-pt shot from 20 ft,,46-36,,
5:03.0,,,46-36,,Defensive rebound by T. Mozgov
4:44.0,,,46-38,2,T. Mozgov makes 2-pt shot at rim (assist by C. LeVert)
4:24.0,R. Westbrook misses 2-pt shot from 16 ft,,46-38,,
4:21.0,Offensive rebound by C. Anthony,,46-38,,
4:14.0,R. Westbrook makes 2-pt shot from 1 ft (assist by A. Roberson),2,48-38,,
3:55.0,,,48-40,2,C. LeVert makes 2-pt shot from 17 ft
3:47.0,A. Abrines makes 2-pt shot at rim (assist by R. Westbrook),2,50-40,,
3:20.0,,,50-42,2,D. Carroll makes 2-pt shot from 11 ft
3:06.0,A. Abrines misses 3-pt shot from 24 ft,,50-42,,
3:04.0,,,50-42,,Defensive rebound by T. Mozgov
3:00.0,,,50-42,,Turnover by D. Carroll (lost ball; steal by A. Abrines)
3:00.0,,,50-42,,Violation by D. Carroll (kicked ball)
3:00.0,,,50-42,,T. Zeller enters the game for T. Mozgov
3:00.0,,,50-42,,J. Harris enters the game for C. LeVert
2:44.0,R. Westbrook makes 2-pt shot from 18 ft,2,52-42,,
2:19.0,,,52-42,,T. Zeller misses 2-pt shot from 13 ft
2:17.0,Defensive rebound by C. Anthony,,52-42,,
2:11.0,C. Anthony makes 2-pt shot from 19 ft,2,54-42,,
1:55.0,,,54-42,,J. Harris misses 3-pt shot from 24 ft
1:53.0,Defensive rebound by C. Anthony,,54-42,,
1:38.0,C. Anthony makes 2-pt shot from 17 ft,2,56-42,,
1:24.0,,,56-42,,A. Crabbe misses 2-pt shot from 20 ft
1:22.0,,,56-42,,Offensive rebound by T. Zeller
1:22.0,,,56-44,2,T. Zeller makes 2-pt shot at rim
1:22.0,,,56-44,,Shooting foul by C. Anthony (drawn by T. Zeller)
1:22.0,,,56-45,1,T. Zeller makes free throw 1 of 1
1:02.0,R. Westbrook misses 2-pt shot at rim,,56-45,,
1:00.0,,,56-45,,Defensive rebound by T. Zeller
0:49.0,,,56-47,2,J. Harris makes 2-pt shot at rim (assist by R. Hollis-Jefferson)
0:40.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,58-47,,
0:40.0,Shooting foul by T. Zeller (drawn by S. Adams),,58-47,,
0:40.0,,,58-47,,Q. Acy enters the game for R. Hollis-Jefferson
0:40.0,S. Adams misses free throw 1 of 1,,58-47,,
0:39.0,,,58-47,,Defensive rebound by T. Zeller
0:24.0,,,58-49,2,T. Zeller makes 2-pt shot from 1 ft
0:01.0,R. Westbrook misses 3-pt shot from 25 ft,,58-49,,
0:01.0,,,58-49,,Defensive rebound by J. Harris
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,S. Adams misses 2-pt shot from 6 ft,,58-49,,
11:40.0,,,58-49,,Defensive rebound by T. Zeller
11:29.0,,,58-51,2,D. Carroll makes 2-pt shot at rim (assist by S. Dinwiddie)
11:16.0,S. Adams misses 2-pt shot from 6 ft,,58-51,,
11:14.0,,,58-51,,Defensive rebound by R. Hollis-Jefferson
11:05.0,,,58-53,2,T. Zeller makes 2-pt shot from 2 ft (assist by S. Dinwiddie)
11:05.0,,,58-53,,Shooting foul by C. Anthony (drawn by T. Zeller)
11:05.0,,,58-54,1,T. Zeller makes free throw 1 of 1
10:51.0,A. Abrines misses 2-pt shot from 11 ft,,58-54,,
10:48.0,,,58-54,,Defensive rebound by T. Zeller
10:38.0,,,58-54,,S. Dinwiddie misses 3-pt shot from 27 ft
10:36.0,Defensive rebound by C. Anthony,,58-54,,
10:32.0,Offensive foul by S. Adams (drawn by S. Dinwiddie),,58-54,,
10:32.0,Turnover by S. Adams (offensive foul),,58-54,,
10:20.0,,,58-56,2,D. Carroll makes 2-pt shot from 1 ft
10:20.0,,,58-56,,Shooting foul by A. Abrines (drawn by D. Carroll)
10:20.0,,,58-56,,D. Carroll misses free throw 1 of 1
10:18.0,Defensive rebound by R. Westbrook,,58-56,,
10:08.0,S. Adams misses 2-pt shot from 10 ft,,58-56,,
10:06.0,,,58-56,,Defensive rebound by D. Carroll
9:59.0,,,58-56,,S. Dinwiddie misses 2-pt shot from 5 ft (block by A. Abrines)
9:59.0,Defensive rebound by Team,,58-56,,
9:47.0,,,58-56,,Personal foul by D. Carroll (drawn by S. Adams)
9:43.0,R. Westbrook misses 2-pt shot from 17 ft,,58-56,,
9:41.0,Offensive rebound by S. Adams,,58-56,,
9:34.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,60-56,,
9:15.0,,,60-56,,Shooting foul by A. Abrines (drawn by A. Crabbe)
9:15.0,,,60-57,1,A. Crabbe makes free throw 1 of 2
9:15.0,,,60-57,,A. Crabbe misses free throw 2 of 2
9:12.0,Defensive rebound by C. Anthony,,60-57,,
9:02.0,R. Westbrook misses 2-pt shot from 14 ft,,60-57,,
8:59.0,,,60-57,,Defensive rebound by D. Carroll
8:52.0,,,60-57,,Turnover by D. Carroll (bad pass)
8:34.0,C. Anthony misses 2-pt shot from 14 ft,,60-57,,
8:28.0,,,60-57,,Defensive rebound by D. Carroll
8:24.0,,,60-57,,Turnover by R. Hollis-Jefferson (lost ball; steal by A. Roberson)
8:12.0,R. Westbrook misses 2-pt shot from 2 ft,,60-57,,
8:11.0,,,60-57,,Defensive rebound by T. Zeller
8:11.0,Personal foul by R. Westbrook (drawn by T. Zeller),,60-57,,
7:55.0,,,60-59,2,R. Hollis-Jefferson makes 2-pt shot from 15 ft (assist by S. Dinwiddie)
7:40.0,,,60-59,,Personal foul by R. Hollis-Jefferson (drawn by C. Anthony)
7:40.0,,,60-59,,C. LeVert enters the game for A. Crabbe
7:40.0,N. Collison enters the game for S. Adams,,60-59,,
7:33.0,R. Westbrook misses 2-pt shot from 1 ft,,60-59,,
7:32.0,Offensive rebound by N. Collison,,60-59,,
7:32.0,,,60-59,,Personal foul by S. Dinwiddie (drawn by N. Collison)
7:32.0,,,60-59,,J. Harris enters the game for S. Dinwiddie
7:24.0,A. Abrines misses 2-pt shot from 1 ft,,60-59,,
7:22.0,,,60-59,,Defensive rebound by J. Harris
7:22.0,,,60-59,,Turnover by D. Carroll (out of bounds lost ball)
7:18.0,R. Westbrook misses 3-pt shot from 24 ft,,60-59,,
7:16.0,,,60-59,,Defensive rebound by T. Zeller
6:57.0,,,60-59,,T. Zeller misses 3-pt shot from 22 ft
6:54.0,,,60-59,,Offensive rebound by D. Carroll
6:51.0,,,60-61,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by D. Carroll)
6:33.0,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook),2,62-61,,
6:19.0,,,62-63,2,R. Hollis-Jefferson makes 2-pt shot from 16 ft
6:03.0,R. Westbrook makes 3-pt shot from 24 ft (assist by C. Anthony),3,65-63,,
6:02.0,,,65-63,,Brooklyn full timeout
6:02.0,,,65-63,,J. Allen enters the game for D. Carroll
6:02.0,,,65-63,,A. Crabbe enters the game for T. Zeller
6:02.0,K. Singler enters the game for C. Anthony,,65-63,,
6:02.0,P. Patterson enters the game for A. Abrines,,65-63,,
5:47.0,,,65-63,,A. Crabbe misses 3-pt shot from 24 ft
5:44.0,Defensive rebound by P. Patterson,,65-63,,
5:28.0,R. Westbrook misses 2-pt shot from 9 ft,,65-63,,
5:23.0,Offensive rebound by N. Collison,,65-63,,
5:23.0,N. Collison makes 2-pt shot at rim,2,67-63,,
5:18.0,Personal foul by K. Singler (drawn by C. LeVert),,67-63,,
5:18.0,,,67-64,1,C. LeVert makes free throw 1 of 2
5:18.0,,,67-64,,Q. Acy enters the game for R. Hollis-Jefferson
5:18.0,,,67-65,1,C. LeVert makes free throw 2 of 2
5:04.0,A. Roberson misses 3-pt shot from 24 ft,,67-65,,
5:01.0,,,67-65,,Defensive rebound by C. LeVert
4:53.0,,,67-65,,Q. Acy misses 3-pt shot from 24 ft
4:50.0,Defensive rebound by K. Singler,,67-65,,
4:46.0,R. Westbrook misses 2-pt shot from 18 ft,,67-65,,
4:44.0,,,67-65,,Defensive rebound by Team
4:23.0,,,67-68,3,Q. Acy makes 3-pt shot from 25 ft (assist by C. LeVert)
4:10.0,Turnover by N. Collison (bad pass),,67-68,,
4:10.0,T. Ferguson enters the game for A. Roberson,,67-68,,
3:55.0,,,67-68,,Turnover by A. Crabbe (bad pass; steal by P. Patterson)
3:51.0,R. Westbrook misses 2-pt shot from 2 ft (block by C. LeVert),,67-68,,
3:51.0,Offensive rebound by Team,,67-68,,
3:46.0,K. Singler misses 2-pt shot from 13 ft,,67-68,,
3:44.0,,,67-68,,Defensive rebound by C. LeVert
3:39.0,,,67-68,,J. Harris misses 3-pt shot from 25 ft
3:37.0,Defensive rebound by R. Westbrook,,67-68,,
3:29.0,R. Westbrook makes 3-pt shot from 24 ft (assist by N. Collison),3,70-68,,
3:14.0,,,70-71,3,A. Crabbe makes 3-pt shot from 25 ft (assist by C. LeVert)
3:02.0,,,70-71,,D. Carroll enters the game for A. Crabbe
3:00.0,Jump ball: J. Harris vs. N. Collison (R. Westbrook gains possession),,,,Jump ball: J. Harris vs. N. Collison (R. Westbrook gains possession)
2:57.0,Shooting foul by C. LeVert (drawn by R. Westbrook),,70-71,,
2:57.0,Oklahoma City full timeout,,70-71,,
2:57.0,,,70-71,,R. Hollis-Jefferson enters the game for J. Harris
2:57.0,R. Westbrook makes free throw 1 of 2,1,71-71,,
2:57.0,R. Westbrook makes free throw 2 of 2,1,72-71,,
2:42.0,Shooting block foul by K. Singler (drawn by R. Hollis-Jefferson),,72-71,,
2:42.0,,,72-71,,R. Hollis-Jefferson misses free throw 1 of 2
2:42.0,,,72-71,,Offensive rebound by Team
2:42.0,R. Felton enters the game for R. Westbrook,,72-71,,
2:42.0,,,72-71,,J. Harris enters the game for C. LeVert
2:42.0,,,72-71,,R. Hollis-Jefferson misses free throw 2 of 2
2:40.0,Defensive rebound by N. Collison,,72-71,,
2:22.0,R. Felton makes 2-pt shot from 20 ft,2,74-71,,
2:02.0,,,74-71,,R. Hollis-Jefferson misses 2-pt shot from 6 ft
2:00.0,,,74-71,,Offensive rebound by J. Allen
1:56.0,,,74-71,,J. Harris misses 3-pt shot from 26 ft
1:56.0,,,74-71,,Offensive rebound by Team
1:56.0,,,74-71,,Turnover by Team (shot clock)
1:37.0,N. Collison misses 2-pt shot from 23 ft,,74-71,,
1:34.0,,,74-71,,Defensive rebound by D. Carroll
1:23.0,,,74-71,,Turnover by Q. Acy (traveling)
1:12.0,K. Singler misses 2-pt shot from 1 ft,,74-71,,
1:12.0,Offensive rebound by Team,,74-71,,
1:03.0,R. Felton makes 2-pt shot from 20 ft,2,76-71,,
0:53.0,Personal foul by R. Felton (drawn by J. Harris),,76-71,,
0:53.0,,,76-71,,J. Harris misses free throw 1 of 2
0:53.0,,,76-71,,Offensive rebound by Team
0:53.0,,,76-71,,J. Harris misses free throw 2 of 2
0:52.0,Defensive rebound by P. Patterson,,76-71,,
0:35.0,R. Felton makes 3-pt shot from 24 ft,3,79-71,,
0:18.0,,,79-74,3,Q. Acy makes 3-pt shot from 25 ft (assist by D. Carroll)
0:04.0,R. Felton misses 3-pt shot from 25 ft,,79-74,,
0:01.0,,,79-74,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,79-76,2,J. Allen makes 2-pt shot from 1 ft (assist by C. LeVert)
11:28.0,P. Patterson makes 2-pt shot at rim,2,81-76,,
11:01.0,,,81-78,2,R. Hollis-Jefferson makes 2-pt shot from 17 ft
10:38.0,Turnover by T. Ferguson (bad pass; steal by C. LeVert),,81-78,,
10:35.0,Personal foul by T. Ferguson (drawn by Q. Acy),,81-78,,
10:27.0,,,81-80,2,C. LeVert makes 2-pt shot from 8 ft
10:12.0,K. Singler misses 3-pt shot from 24 ft,,81-80,,
10:09.0,,,81-80,,Defensive rebound by J. Allen
10:00.0,,,81-80,,Shooting foul by P. Patterson (drawn by R. Hollis-Jefferson)
10:00.0,,,81-81,1,R. Hollis-Jefferson makes free throw 1 of 2
10:00.0,,,81-82,1,R. Hollis-Jefferson makes free throw 2 of 2
9:53.0,Offensive foul by P. Patterson (drawn by R. Hollis-Jefferson),,81-82,,
9:53.0,Turnover by P. Patterson (offensive foul),,81-82,,
9:44.0,,,81-84,2,J. Allen makes 2-pt shot at rim (assist by C. LeVert)
9:24.0,T. Ferguson misses 3-pt shot from 22 ft,,81-84,,
9:21.0,,,81-84,,Defensive rebound by J. Harris
9:12.0,,,81-84,,R. Hollis-Jefferson misses 2-pt shot from 1 ft
9:08.0,Defensive rebound by R. Felton,,81-84,,
8:57.0,K. Singler makes 3-pt shot from 24 ft (assist by C. Anthony),3,84-84,,
8:39.0,Personal foul by R. Felton (drawn by C. LeVert),,84-84,,
8:39.0,,,84-84,,T. Zeller enters the game for R. Hollis-Jefferson
8:39.0,,,84-84,,A. Crabbe enters the game for J. Allen
8:39.0,R. Westbrook enters the game for K. Singler,,84-84,,
8:39.0,A. Roberson enters the game for T. Ferguson,,84-84,,
8:36.0,,,84-84,,Offensive foul by T. Zeller (drawn by R. Felton)
8:36.0,,,84-84,,Turnover by T. Zeller (offensive foul)
8:24.0,,,84-84,,Personal block foul by C. LeVert (drawn by R. Westbrook)
8:24.0,,,84-84,,S. Dinwiddie enters the game for C. LeVert
