time,Golden State,pts.away,score,pts.home,Orlando
1:44.0,,,36-28,1,A. Afflalo makes free throw 1 of 2
1:44.0,,,36-29,1,A. Afflalo makes free throw 2 of 2
1:34.0,,,36-29,,Personal foul by E. Payton (drawn by S. Curry)
1:27.0,J. Bell makes 2-pt shot at rim (assist by S. Curry),2,38-29,,
1:11.0,,,38-29,,A. Afflalo misses 2-pt shot from 16 ft
1:07.0,,,38-29,,Offensive rebound by B. Biyombo
1:01.0,,,38-31,2,B. Biyombo makes 2-pt shot from 2 ft
0:57.0,D. Green misses 2-pt shot from 13 ft,,38-31,,
0:55.0,Offensive rebound by Team,,38-31,,
0:48.0,S. Curry misses 3-pt shot from 25 ft,,38-31,,
0:48.0,,,38-31,,Defensive rebound by E. Payton
0:41.0,,,38-31,,E. Payton misses 2-pt shot from 9 ft (block by J. Bell)
0:41.0,,,38-31,,Offensive rebound by E. Payton
0:30.0,,,38-31,,D. Augustin misses 2-pt shot from 1 ft (block by J. Bell)
0:27.0,,,38-31,,Offensive rebound by D. Augustin
0:25.0,,,38-31,,Turnover by D. Augustin (bad pass; steal by S. Curry)
0:07.0,S. Curry makes 3-pt shot from 29 ft,3,41-31,,
0:00.0,,,41-34,3,D. Augustin makes 3-pt shot from 23 ft (assist by E. Payton)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,41-34,,J. Simmons misses 3-pt shot from 29 ft
11:32.0,Defensive rebound by S. Livingston,,41-34,,
11:18.0,K. Thompson misses 2-pt shot from 15 ft,,41-34,,
11:13.0,,,41-34,,Defensive rebound by J. Simmons
11:05.0,,,41-34,,Turnover by D. Augustin (bad pass; steal by D. West)
11:02.0,Shooting foul by M. Hezonja (drawn by O. Casspi),,41-34,,
11:02.0,O. Casspi makes free throw 1 of 2,1,42-34,,
11:02.0,O. Casspi makes free throw 2 of 2,1,43-34,,
10:53.0,,,43-34,,Shooting foul by D. West (drawn by B. Biyombo)
10:53.0,,,43-35,1,B. Biyombo makes free throw 1 of 2
10:53.0,,,43-36,1,B. Biyombo makes free throw 2 of 2
10:40.0,D. West misses 2-pt shot from 10 ft,,43-36,,
10:37.0,,,43-36,,Defensive rebound by B. Biyombo
10:20.0,,,43-36,,B. Biyombo misses 2-pt shot from 3 ft (block by D. West)
10:16.0,,,43-36,,Offensive rebound by D. Augustin
10:15.0,,,43-36,,D. Augustin misses 2-pt shot from 14 ft
10:15.0,,,43-36,,Offensive rebound by Team
10:15.0,,,43-36,,Turnover by Team (shot clock)
10:05.0,Offensive charge foul by D. West (drawn by B. Biyombo),,43-36,,
10:05.0,Turnover by D. West (offensive foul),,43-36,,
9:51.0,,,43-38,2,J. Simmons makes 2-pt shot from 10 ft (assist by D. Augustin)
9:38.0,D. Green misses 2-pt shot from 3 ft (block by B. Biyombo),,43-38,,
9:38.0,Offensive rebound by Team,,43-38,,
9:34.0,Turnover by S. Livingston (bad pass; steal by D. Augustin),,43-38,,
9:28.0,,,43-38,,D. Augustin misses 2-pt shot from 2 ft
9:26.0,Defensive rebound by D. West,,43-38,,
9:24.0,Turnover by D. Green (bad pass),,43-38,,
9:08.0,,,43-38,,A. Afflalo misses 2-pt shot from 21 ft
9:06.0,Defensive rebound by D. Green,,43-38,,
9:02.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green),3,46-38,,
9:01.0,,,46-38,,Orlando full timeout
8:49.0,,,46-38,,J. Simmons misses 2-pt shot from 17 ft
8:45.0,Defensive rebound by O. Casspi,,46-38,,
8:34.0,O. Casspi makes 3-pt shot from 25 ft (assist by D. West),3,49-38,,
8:16.0,,,49-38,,M. Hezonja misses 3-pt shot from 22 ft
8:13.0,,,49-38,,Offensive rebound by M. Hezonja
8:09.0,,,49-40,2,J. Simmons makes 2-pt shot from 18 ft
7:52.0,Turnover by S. Livingston (bad pass),,49-40,,
7:52.0,P. McCaw enters the game for O. Casspi,,49-40,,
7:52.0,K. Durant enters the game for D. Green,,49-40,,
7:36.0,,,49-42,2,D. Augustin makes 2-pt shot from 21 ft
7:23.0,D. West misses 2-pt shot from 9 ft,,49-42,,
7:19.0,,,49-42,,Defensive rebound by B. Biyombo
7:06.0,,,49-42,,Turnover by J. Simmons (out of bounds lost ball)
6:52.0,S. Livingston misses 2-pt shot from 11 ft,,49-42,,
6:49.0,,,49-42,,Defensive rebound by M. Hezonja
6:39.0,,,49-44,2,D. Augustin makes 2-pt shot at rim
6:30.0,,,49-44,,Personal foul by M. Hezonja (drawn by K. Durant)
6:30.0,Golden State full timeout,,49-44,,
6:30.0,,,49-44,,E. Fournier enters the game for A. Afflalo
6:30.0,,,49-44,,A. Gordon enters the game for M. Hezonja
6:30.0,S. Curry enters the game for D. West,,49-44,,
6:30.0,J. Bell enters the game for K. Thompson,,49-44,,
6:21.0,K. Durant misses 3-pt shot from 25 ft,,49-44,,
6:16.0,Offensive rebound by S. Livingston,,49-44,,
6:07.0,J. Bell makes 2-pt shot from 1 ft (assist by S. Curry),2,51-44,,
5:51.0,,,51-44,,Turnover by A. Gordon (out of bounds lost ball)
5:48.0,Turnover by S. Curry (bad pass),,51-44,,
5:34.0,,,51-44,,E. Fournier misses 3-pt shot from 25 ft
5:31.0,,,51-44,,Offensive rebound by B. Biyombo
5:30.0,,,51-46,2,B. Biyombo makes 2-pt shot from 2 ft
5:17.0,J. Bell misses 2-pt shot at rim (block by A. Gordon),,51-46,,
5:17.0,Offensive rebound by J. Bell,,51-46,,
5:13.0,K. Durant makes 2-pt shot from 2 ft (assist by P. McCaw),2,53-46,,
5:13.0,,,53-46,,E. Payton enters the game for B. Biyombo
5:13.0,,,53-46,,N. Vucevic enters the game for D. Augustin
5:13.0,Shooting foul by J. Simmons (drawn by K. Durant),,53-46,,
5:13.0,K. Durant makes free throw 1 of 1,1,54-46,,
5:02.0,,,54-46,,A. Gordon misses 3-pt shot from 24 ft
5:01.0,Defensive rebound by S. Curry,,54-46,,
4:49.0,Turnover by K. Durant (bad pass; steal by A. Gordon),,54-46,,
4:44.0,,,54-46,,Turnover by E. Fournier (turnover)
4:28.0,P. McCaw makes 3-pt shot from 22 ft (assist by K. Durant),3,57-46,,
4:13.0,,,57-49,3,A. Gordon makes 3-pt shot from 24 ft (assist by E. Fournier)
3:56.0,S. Curry makes 2-pt shot from 2 ft,2,59-49,,
3:49.0,,,59-51,2,E. Payton makes 2-pt shot from 2 ft
3:45.0,Turnover by S. Curry (lost ball; steal by E. Payton),,59-51,,
3:39.0,,,59-51,,E. Payton misses 2-pt shot from 1 ft (block by K. Durant)
3:39.0,,,59-51,,Offensive rebound by A. Gordon
3:39.0,,,59-53,2,A. Gordon makes 2-pt shot from 2 ft
3:39.0,Golden State full timeout,,59-53,,
3:39.0,D. Green enters the game for J. Bell,,59-53,,
3:39.0,K. Thompson enters the game for S. Livingston,,59-53,,
3:24.0,P. McCaw makes 2-pt shot at rim (assist by D. Green),2,61-53,,
3:10.0,,,61-55,2,N. Vucevic makes 2-pt shot from 1 ft (assist by E. Fournier)
2:54.0,D. Green makes 3-pt shot from 25 ft (assist by S. Curry),3,64-55,,
2:34.0,,,64-55,,A. Gordon misses 2-pt shot from 17 ft
2:30.0,,,64-55,,Offensive rebound by E. Fournier
2:28.0,,,64-57,2,E. Fournier makes 2-pt shot from 5 ft
2:17.0,D. Green makes 3-pt shot from 25 ft (assist by S. Curry),3,67-57,,
2:17.0,,,67-57,,Orlando full timeout
2:17.0,,,67-57,,M. Hezonja enters the game for N. Vucevic
2:00.0,,,67-59,2,M. Hezonja makes 2-pt shot from 3 ft (assist by E. Fournier)
1:45.0,P. McCaw makes 3-pt shot from 22 ft (assist by S. Curry),3,70-59,,
1:38.0,,,70-61,2,E. Payton makes 2-pt shot from 1 ft
1:17.0,Shooting foul by E. Payton (drawn by K. Durant),,70-61,,
1:17.0,K. Durant makes free throw 1 of 2,1,71-61,,
1:17.0,,,71-61,,A. Afflalo enters the game for E. Payton
1:17.0,,,71-61,,D. Augustin enters the game for E. Fournier
1:17.0,K. Durant makes free throw 2 of 2,1,72-61,,
1:03.0,,,72-61,,Turnover by J. Simmons (bad pass; steal by S. Curry)
1:03.0,Shooting foul by D. Augustin (drawn by S. Curry),,72-61,,
1:03.0,S. Curry makes free throw 1 of 2,1,73-61,,
1:03.0,S. Curry makes free throw 2 of 2,1,74-61,,
0:42.0,,,74-63,2,D. Augustin makes 2-pt shot at rim
0:36.0,K. Durant makes 2-pt shot at rim (assist by S. Curry),2,76-63,,
0:27.0,,,76-63,,A. Gordon misses 3-pt shot from 26 ft
0:25.0,Defensive rebound by S. Curry,,76-63,,
0:09.0,S. Curry misses 3-pt shot from 27 ft,,76-63,,
0:06.0,Offensive rebound by P. McCaw,,76-63,,
0:05.0,D. Green makes 2-pt shot from 1 ft (assist by P. McCaw),2,78-63,,
0:02.0,Personal foul by D. Green (drawn by A. Gordon),,78-63,,
0:02.0,J. Bell enters the game for D. Green,,78-63,,
0:00.0,,,78-63,,J. Simmons misses 2-pt shot from 8 ft (block by P. McCaw)
0:00.0,,,78-63,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,78-63,,E. Payton misses 2-pt shot from 10 ft
11:44.0,Defensive rebound by Z. Pachulia,,78-63,,
11:23.0,S. Curry misses 2-pt shot from 15 ft,,78-63,,
11:20.0,,,78-63,,Defensive rebound by N. Vucevic
11:17.0,,,78-63,,Shooting foul by K. Durant (drawn by J. Simmons)
11:17.0,,,78-64,1,J. Simmons makes free throw 1 of 2
11:17.0,,,78-64,,J. Simmons misses free throw 2 of 2
11:14.0,,,78-64,,Offensive rebound by N. Vucevic
11:10.0,,,78-64,,E. Fournier misses 2-pt shot from 6 ft
11:07.0,Defensive rebound by Z. Pachulia,,78-64,,
10:54.0,K. Durant makes 2-pt shot from 10 ft (assist by D. Green),2,80-64,,
10:45.0,,,80-67,3,A. Gordon makes 3-pt shot from 23 ft (assist by E. Fournier)
10:34.0,Z. Pachulia misses 2-pt shot from 2 ft (block by A. Gordon),,80-67,,
10:31.0,,,80-67,,Defensive rebound by N. Vucevic
10:29.0,Violation by S. Curry (kicked ball),,80-67,,
10:19.0,,,80-67,,E. Fournier misses 2-pt shot from 11 ft
10:15.0,Defensive rebound by Z. Pachulia,,80-67,,
10:12.0,S. Curry misses 2-pt shot from 12 ft,,80-67,,
10:12.0,,,80-67,,Defensive rebound by A. Gordon
10:05.0,,,80-67,,A. Gordon misses 3-pt shot from 25 ft
10:05.0,Defensive rebound by K. Durant,,80-67,,
9:49.0,Turnover by D. Green (lost ball; steal by E. Payton),,80-67,,
9:44.0,,,80-69,2,A. Gordon makes 2-pt shot at rim (assist by E. Payton)
9:44.0,Golden State full timeout,,80-69,,
9:31.0,Turnover by D. Green (bad pass),,80-69,,
9:22.0,,,80-71,2,J. Simmons makes 2-pt shot from 2 ft
9:22.0,,,80-71,,Shooting foul by D. Green (drawn by J. Simmons)
9:22.0,,,80-72,1,J. Simmons makes free throw 1 of 1
9:07.0,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry),2,82-72,,
8:57.0,,,82-74,2,A. Gordon makes 2-pt shot from 19 ft (assist by E. Payton)
8:44.0,K. Thompson makes 2-pt shot from 15 ft (assist by D. Green),2,84-74,,
8:31.0,,,84-74,,J. Simmons misses 3-pt shot from 25 ft
8:27.0,Defensive rebound by S. Curry,,84-74,,
8:20.0,K. Thompson misses 3-pt shot from 26 ft,,84-74,,
8:20.0,,,84-74,,Defensive rebound by E. Payton
7:56.0,,,84-74,,J. Simmons misses 2-pt shot from 12 ft
7:54.0,Defensive rebound by Z. Pachulia,,84-74,,
7:33.0,D. Green misses 3-pt shot from 26 ft,,84-74,,
7:30.0,,,84-74,,Defensive rebound by A. Gordon
7:25.0,,,84-74,,E. Fournier misses 2-pt shot from 5 ft (block by Z. Pachulia)
7:25.0,,,84-74,,Offensive rebound by Team
7:12.0,,,84-74,,J. Simmons misses 3-pt shot from 23 ft
7:09.0,Defensive rebound by K. Durant,,84-74,,
6:53.0,K. Thompson makes 2-pt shot at rim (assist by Z. Pachulia),2,86-74,,
6:44.0,,,86-74,,Turnover by E. Payton (lost ball; steal by S. Curry)
6:44.0,,,86-74,,Personal foul by E. Payton (drawn by K. Durant)
6:30.0,K. Durant makes 2-pt shot from 1 ft (assist by K. Thompson),2,88-74,,
6:28.0,,,88-74,,Orlando full timeout
6:15.0,,,88-74,,A. Gordon misses 2-pt shot from 18 ft
6:11.0,Defensive rebound by Z. Pachulia,,88-74,,
5:55.0,S. Curry makes 2-pt shot from 17 ft (assist by D. Green),2,90-74,,
5:35.0,,,90-74,,J. Simmons misses 3-pt shot from 25 ft
5:32.0,Defensive rebound by Z. Pachulia,,90-74,,
5:22.0,S. Curry makes 2-pt shot from 2 ft (assist by K. Thompson),2,92-74,,
5:14.0,,,92-77,3,A. Gordon makes 3-pt shot from 24 ft (assist by E. Payton)
5:02.0,D. Green makes 2-pt shot from 1 ft (assist by Z. Pachulia),2,94-77,,
4:55.0,Personal foul by K. Durant (drawn by E. Fournier),,94-77,,
4:55.0,O. Casspi enters the game for D. Green,,94-77,,
4:55.0,J. Bell enters the game for Z. Pachulia,,94-77,,
4:43.0,,,94-77,,E. Fournier misses 2-pt shot from 3 ft (block by J. Bell)
4:40.0,Defensive rebound by O. Casspi,,94-77,,
4:29.0,K. Thompson makes 2-pt shot from 16 ft (assist by K. Durant),2,96-77,,
4:15.0,,,96-77,,N. Vucevic misses 3-pt shot from 25 ft
4:12.0,Defensive rebound by S. Curry,,96-77,,
4:06.0,Turnover by O. Casspi (bad pass; steal by E. Fournier),,96-77,,
3:57.0,,,96-79,2,A. Gordon makes 2-pt shot from 16 ft
3:34.0,O. Casspi makes 2-pt shot from 12 ft (assist by K. Thompson),2,98-79,,
3:20.0,,,98-82,3,E. Fournier makes 3-pt shot from 24 ft (assist by E. Payton)
3:10.0,S. Curry misses 2-pt shot from 23 ft,,98-82,,
3:08.0,,,98-82,,Defensive rebound by N. Vucevic
3:00.0,,,98-84,2,E. Payton makes 2-pt shot at rim
2:41.0,J. Bell misses 2-pt shot from 1 ft,,98-84,,
2:39.0,,,98-84,,Defensive rebound by A. Gordon
2:37.0,,,98-84,,J. Simmons misses 2-pt shot from 1 ft
2:35.0,,,98-84,,Offensive rebound by A. Gordon
2:20.0,,,98-84,,Shooting foul by J. Bell (drawn by J. Simmons)
2:20.0,,,98-85,1,J. Simmons makes free throw 1 of 2
2:20.0,,,98-85,,D. Augustin enters the game for E. Payton
2:20.0,,,98-85,,B. Biyombo enters the game for N. Vucevic
2:20.0,D. Green enters the game for K. Thompson,,98-85,,
2:20.0,P. McCaw enters the game for K. Durant,,98-85,,
2:20.0,,,98-86,1,J. Simmons makes free throw 2 of 2
2:06.0,S. Curry misses 2-pt shot from 1 ft (block by J. Simmons),,98-86,,
2:03.0,,,98-86,,Defensive rebound by A. Gordon
1:56.0,,,98-86,,E. Fournier misses 3-pt shot from 25 ft
1:56.0,,,98-86,,Offensive rebound by Team
1:56.0,,,98-86,,A. Afflalo enters the game for J. Simmons
1:49.0,,,98-86,,E. Fournier misses 2-pt shot from 7 ft
1:47.0,Defensive rebound by J. Bell,,98-86,,
1:42.0,S. Curry misses 3-pt shot from 22 ft,,98-86,,
1:39.0,,,98-86,,Defensive rebound by B. Biyombo
1:18.0,,,98-88,2,E. Fournier makes 2-pt shot from 2 ft (assist by D. Augustin)
0:58.0,S. Curry makes 2-pt shot from 14 ft (assist by D. Green),2,100-88,,
0:45.0,,,100-91,3,A. Gordon makes 3-pt shot from 25 ft (assist by E. Fournier)
0:33.0,S. Curry misses 2-pt shot from 3 ft,,100-91,,
0:33.0,Offensive rebound by J. Bell,,100-91,,
0:32.0,J. Bell makes 2-pt shot from 2 ft,2,102-91,,
0:08.0,,,102-91,,A. Gordon misses 2-pt shot from 19 ft
0:05.0,Defensive rebound by O. Casspi,,102-91,,
0:00.0,P. McCaw misses 3-pt shot from 26 ft,,102-91,,
0:00.0,Offensive rebound by Team,,102-91,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,K. Thompson makes 2-pt shot from 15 ft,2,104-91,,
11:24.0,Personal foul by S. Livingston (drawn by D. Augustin),,104-91,,
11:22.0,,,104-91,,J. Simmons enters the game for E. Fournier
11:07.0,,,104-91,,J. Simmons misses 2-pt shot from 12 ft
11:04.0,Defensive rebound by D. West,,104-91,,
10:57.0,K. Thompson misses 2-pt shot from 20 ft,,104-91,,
10:54.0,,,104-91,,Defensive rebound by J. Simmons
10:48.0,,,104-91,,J. Simmons misses 2-pt shot from 1 ft
10:45.0,Defensive rebound by O. Casspi,,104-91,,
10:38.0,O. Casspi makes 2-pt shot from 11 ft (assist by S. Livingston),2,106-91,,
10:23.0,,,106-91,,Turnover by D. Augustin (lost ball; steal by S. Livingston)
10:23.0,,,106-91,,Personal foul by D. Augustin (drawn by S. Livingston)
10:06.0,S. Livingston misses 2-pt shot from 10 ft,,106-91,,
10:02.0,,,106-91,,Defensive rebound by M. Hezonja
10:00.0,,,106-91,,Shooting foul by K. Thompson (drawn by J. Simmons)
10:00.0,,,106-92,1,J. Simmons makes free throw 1 of 2
10:00.0,,,106-93,1,J. Simmons makes free throw 2 of 2
9:47.0,D. Green makes 2-pt shot from 1 ft (assist by D. West),2,108-93,,
9:29.0,,,108-93,,Offensive foul by B. Biyombo (drawn by D. Green)
9:29.0,,,108-93,,Turnover by B. Biyombo (offensive foul)
9:29.0,,,108-93,,A. Gordon enters the game for M. Hezonja
9:19.0,Shooting foul by B. Biyombo (drawn by K. Thompson),,108-93,,
9:19.0,K. Thompson makes free throw 1 of 2,1,109-93,,
9:19.0,,,109-93,,E. Fournier enters the game for A. Afflalo
9:19.0,K. Thompson makes free throw 2 of 2,1,110-93,,
8:59.0,,,110-96,3,D. Augustin makes 3-pt shot from 26 ft
8:49.0,,,110-96,,Personal foul by J. Simmons (drawn by S. Livingston)
8:40.0,K. Thompson makes 3-pt shot from 26 ft (assist by D. West),3,113-96,,
8:27.0,,,113-96,,A. Gordon misses 2-pt shot from 1 ft
8:26.0,Defensive rebound by D. West,,113-96,,
8:22.0,D. West makes 2-pt shot from 1 ft (assist by O. Casspi),2,115-96,,
8:22.0,,,115-96,,Orlando full timeout
8:22.0,P. McCaw enters the game for O. Casspi,,115-96,,
8:08.0,,,115-98,2,J. Simmons makes 2-pt shot from 11 ft
7:44.0,K. Thompson makes 2-pt shot from 1 ft (assist by D. West),2,117-98,,
7:27.0,K. Durant enters the game for D. Green,,117-98,,
7:17.0,,,117-98,,D. Augustin misses 2-pt shot from 10 ft
7:16.0,,,117-98,,Offensive rebound by B. Biyombo
7:16.0,,,117-98,,Shooting foul by K. Durant (drawn by B. Biyombo)
7:16.0,,,117-98,,B. Biyombo misses free throw 1 of 2
7:16.0,,,117-98,,Offensive rebound by Team
7:16.0,,,117-98,,E. Payton enters the game for D. Augustin
7:16.0,,,117-99,1,B. Biyombo makes free throw 2 of 2
6:55.0,K. Durant misses 3-pt shot from 26 ft,,117-99,,
6:52.0,,,117-99,,Defensive rebound by B. Biyombo
6:39.0,,,117-101,2,E. Payton makes 2-pt shot from 9 ft
6:22.0,Turnover by D. West (bad pass),,117-101,,
6:22.0,,,117-101,,N. Vucevic enters the game for B. Biyombo
6:22.0,J. Bell enters the game for D. West,,117-101,,
6:07.0,,,117-103,2,N. Vucevic makes 2-pt shot from 8 ft (assist by A. Gordon)
6:02.0,Golden State full timeout,,117-103,,
6:02.0,S. Curry enters the game for K. Thompson,,117-103,,
5:56.0,J. Bell makes 2-pt shot from 1 ft (assist by K. Durant),2,119-103,,
5:38.0,,,119-103,,A. Gordon misses 3-pt shot from 25 ft
5:37.0,Defensive rebound by Team,,119-103,,
5:17.0,,,119-103,,Personal foul by E. Payton (drawn by K. Durant)
5:14.0,S. Curry misses 3-pt shot from 26 ft,,119-103,,
5:10.0,,,119-103,,Defensive rebound by N. Vucevic
5:07.0,,,119-105,2,E. Payton makes 2-pt shot from 2 ft
5:07.0,Violation by J. Bell (def goaltending),,119-105,,
4:52.0,K. Durant makes 2-pt shot from 12 ft (assist by S. Curry),2,121-105,,
4:52.0,Technical foul by K. Durant,,121-105,,
4:52.0,,,121-106,1,E. Fournier makes technical free throw
4:52.0,D. Green enters the game for K. Durant,,121-106,,
4:41.0,,,121-108,2,A. Gordon makes 2-pt shot from 1 ft
4:41.0,,,121-108,,Shooting foul by S. Curry (drawn by A. Gordon)
4:41.0,,,121-108,,A. Gordon misses free throw 1 of 1
4:35.0,Defensive rebound by D. Green,,121-108,,
4:28.0,J. Bell makes 2-pt shot at rim (assist by S. Curry),2,123-108,,
4:19.0,Personal foul by P. McCaw (drawn by E. Payton),,123-108,,
4:19.0,,,123-108,,E. Payton misses free throw 1 of 2
4:19.0,,,123-108,,Offensive rebound by Team
4:19.0,K. Thompson enters the game for S. Livingston,,123-108,,
4:19.0,,,123-108,,E. Payton misses free throw 2 of 2
4:12.0,,,123-108,,Offensive rebound by E. Payton
4:10.0,,,123-108,,Turnover by E. Payton (lost ball; steal by J. Bell)
4:05.0,K. Thompson makes 3-pt shot from 26 ft (assist by P. McCaw),3,126-108,,
3:57.0,,,126-108,,J. Simmons misses 2-pt shot at rim
3:57.0,Defensive rebound by J. Bell,,126-108,,
3:46.0,Turnover by S. Curry (turnover),,126-108,,
3:31.0,,,126-108,,Turnover by E. Fournier (bad pass; steal by D. Green)
3:29.0,J. Bell makes 2-pt shot from 2 ft (assist by D. Green),2,128-108,,
3:29.0,,,128-108,,Orlando full timeout
