time,Brooklyn,pts.away,score,pts.home,Toronto
0:33.0,Defensive rebound by D. Cunningham,,62-57,,
0:21.0,D. Russell makes 2-pt shot from 2 ft,2,64-57,,
0:02.0,,,64-57,,Shooting foul by D. Cunningham (drawn by J. Valanciunas)
0:02.0,,,64-58,1,J. Valanciunas makes free throw 1 of 2
0:02.0,,,64-58,,P. Siakam enters the game for S. Ibaka
0:02.0,C. LeVert enters the game for D. Russell,,64-58,,
0:02.0,,,64-59,1,J. Valanciunas makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,,,64-62,3,K. Lowry makes 3-pt shot from 27 ft (assist by O. Anunoby)
11:28.0,Shooting foul by K. Lowry (drawn by D. Carroll),,64-62,,
11:28.0,D. Carroll misses free throw 1 of 2,,64-62,,
11:28.0,Offensive rebound by Team,,64-62,,
11:28.0,D. Carroll makes free throw 2 of 2,1,65-62,,
11:18.0,,,65-62,,D. DeRozan misses 2-pt shot from 18 ft
11:15.0,Defensive rebound by R. Hollis-Jefferson,,65-62,,
11:07.0,Shooting foul by D. DeRozan (drawn by R. Hollis-Jefferson),,65-62,,
11:07.0,R. Hollis-Jefferson makes free throw 1 of 2,1,66-62,,
11:07.0,R. Hollis-Jefferson misses free throw 2 of 2,,66-62,,
11:04.0,,,66-62,,Defensive rebound by J. Valanciunas
10:56.0,,,66-64,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by K. Lowry)
10:40.0,D. Russell makes 2-pt shot from 11 ft,2,68-64,,
10:29.0,,,68-64,,J. Valanciunas misses 3-pt shot from 27 ft
10:26.0,,,68-64,,Offensive rebound by J. Valanciunas
10:20.0,,,68-66,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. DeRozan)
10:07.0,Shooting foul by J. Valanciunas (drawn by J. Allen),,68-66,,
10:07.0,J. Allen makes free throw 1 of 2,1,69-66,,
10:07.0,J. Allen makes free throw 2 of 2,1,70-66,,
9:49.0,,,70-66,,Shooting foul by J. Allen (drawn by D. DeRozan)
9:49.0,,,70-66,,D. DeRozan misses free throw 1 of 2
9:49.0,,,70-66,,Offensive rebound by Team
9:49.0,,,70-67,1,D. DeRozan makes free throw 2 of 2
9:41.0,A. Crabbe makes 3-pt shot from 24 ft (assist by D. Russell),3,73-67,,
9:18.0,,,73-67,,S. Ibaka misses 2-pt shot from 15 ft
9:15.0,Defensive rebound by R. Hollis-Jefferson,,73-67,,
9:05.0,D. Carroll makes 2-pt shot from 8 ft,2,75-67,,
8:55.0,,,75-67,,Turnover by J. Valanciunas (bad pass)
8:55.0,,,75-67,,Loose ball foul by O. Anunoby (drawn by D. Carroll)
8:37.0,J. Allen misses 2-pt shot from 10 ft,,75-67,,
8:34.0,,,75-67,,Defensive rebound by S. Ibaka
8:26.0,,,75-67,,D. DeRozan misses 2-pt shot from 8 ft
8:25.0,Defensive rebound by J. Allen,,75-67,,
8:22.0,D. Carroll misses 3-pt shot from 25 ft (block by O. Anunoby),,75-67,,
8:21.0,Offensive rebound by Team,,75-67,,
8:14.0,A. Crabbe makes 3-pt shot from 25 ft (assist by D. Russell),3,78-67,,
8:13.0,,,78-67,,Toronto full timeout
8:13.0,,,78-67,,L. Nogueira enters the game for D. DeRozan
8:13.0,,,78-67,,D. Wright enters the game for J. Valanciunas
8:13.0,,,78-67,,P. Siakam enters the game for O. Anunoby
8:13.0,,,78-67,,F. VanVleet enters the game for S. Ibaka
8:01.0,,,78-67,,L. Nogueira misses 2-pt shot from 3 ft
7:59.0,Defensive rebound by D. Russell,,78-67,,
7:55.0,D. Russell misses 2-pt shot from 2 ft,,78-67,,
7:51.0,Offensive rebound by D. Russell,,78-67,,
7:51.0,D. Russell misses 2-pt shot at rim,,78-67,,
7:50.0,,,78-67,,Defensive rebound by F. VanVleet
7:34.0,,,78-70,3,F. VanVleet makes 3-pt shot from 23 ft (assist by K. Lowry)
7:17.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by D. Russell),2,80-70,,
7:17.0,Shooting foul by P. Siakam (drawn by R. Hollis-Jefferson),,80-70,,
7:17.0,R. Hollis-Jefferson makes free throw 1 of 1,1,81-70,,
7:05.0,,,81-70,,Turnover by L. Nogueira (bad pass)
6:44.0,Turnover by R. Hollis-Jefferson (bad pass),,81-70,,
6:25.0,,,81-70,,F. VanVleet misses 3-pt shot from 23 ft
6:23.0,Defensive rebound by J. Allen,,81-70,,
6:17.0,A. Crabbe misses 3-pt shot from 25 ft,,81-70,,
6:13.0,,,81-70,,Defensive rebound by P. Siakam
6:09.0,,,81-70,,P. Siakam misses 2-pt shot from 2 ft (block by J. Allen)
6:07.0,Defensive rebound by D. Russell,,81-70,,
5:57.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft,2,83-70,,
5:45.0,,,83-70,,D. Wright misses 2-pt shot from 2 ft (block by J. Allen)
5:43.0,Defensive rebound by D. Russell,,83-70,,
5:39.0,D. Carroll misses 3-pt shot from 23 ft,,83-70,,
5:36.0,,,83-70,,Defensive rebound by F. VanVleet
5:32.0,,,83-70,,Shooting foul by D. Carroll (drawn by F. VanVleet)
5:32.0,,,83-70,,F. VanVleet misses free throw 1 of 2
5:32.0,,,83-70,,Offensive rebound by Team
5:32.0,D. Cunningham enters the game for D. Carroll,,83-70,,
5:32.0,S. Dinwiddie enters the game for J. Allen,,83-70,,
5:32.0,,,83-70,,F. VanVleet misses free throw 2 of 2
5:30.0,Defensive rebound by D. Russell,,83-70,,
5:17.0,D. Russell misses 2-pt shot from 2 ft (block by L. Nogueira),,83-70,,
5:15.0,,,83-70,,Defensive rebound by P. Siakam
5:13.0,,,83-72,2,F. VanVleet makes 2-pt shot from 2 ft (assist by P. Siakam)
5:13.0,Brooklyn full timeout,,83-72,,
5:13.0,C. LeVert enters the game for D. Russell,,83-72,,
5:13.0,J. Harris enters the game for A. Crabbe,,83-72,,
4:59.0,R. Hollis-Jefferson makes 2-pt shot from 12 ft (assist by C. LeVert),2,85-72,,
4:40.0,,,85-72,,P. Siakam misses 2-pt shot from 7 ft
4:35.0,Defensive rebound by S. Dinwiddie,,85-72,,
4:26.0,,,85-72,,Personal foul by K. Lowry (drawn by S. Dinwiddie)
4:26.0,S. Dinwiddie misses free throw 1 of 2,,85-72,,
4:26.0,Offensive rebound by Team,,85-72,,
4:26.0,S. Dinwiddie makes free throw 2 of 2,1,86-72,,
4:16.0,,,86-72,,Shooting foul by D. Cunningham (drawn by L. Nogueira)
4:16.0,,,86-73,1,L. Nogueira makes free throw 1 of 2
4:16.0,,,86-73,,L. Nogueira misses free throw 2 of 2
4:14.0,Defensive rebound by R. Hollis-Jefferson,,86-73,,
4:03.0,Turnover by J. Harris (lost ball; steal by L. Nogueira),,86-73,,
4:00.0,,,86-73,,F. VanVleet misses 3-pt shot from 26 ft
3:57.0,Defensive rebound by J. Harris,,86-73,,
3:42.0,Turnover by J. Harris (step out of bounds),,86-73,,
3:32.0,,,86-76,3,K. Lowry makes 3-pt shot from 27 ft
3:11.0,D. Cunningham misses 3-pt shot from 22 ft,,86-76,,
3:09.0,,,86-76,,Defensive rebound by L. Nogueira
3:03.0,Personal foul by S. Dinwiddie (drawn by K. Lowry),,86-76,,
2:54.0,,,86-76,,F. VanVleet misses 2-pt shot from 2 ft
2:51.0,Defensive rebound by D. Cunningham,,86-76,,
2:44.0,R. Hollis-Jefferson makes 2-pt shot from 3 ft (assist by S. Dinwiddie),2,88-76,,
2:31.0,,,88-76,,Turnover by K. Lowry (bad pass; steal by S. Dinwiddie)
2:29.0,Shooting foul by P. Siakam (drawn by S. Dinwiddie),,88-76,,
2:29.0,S. Dinwiddie misses free throw 1 of 2,,88-76,,
2:29.0,Offensive rebound by Team,,88-76,,
2:29.0,D. Carroll enters the game for R. Hollis-Jefferson,,88-76,,
2:29.0,S. Dinwiddie makes free throw 2 of 2,1,89-76,,
2:17.0,,,89-78,2,K. Lowry makes 2-pt shot from 1 ft (assist by D. Wright)
1:58.0,C. LeVert misses 2-pt shot from 13 ft,,89-78,,
1:54.0,,,89-78,,Defensive rebound by D. Wright
1:47.0,,,89-78,,K. Lowry misses 2-pt shot from 2 ft (block by D. Cunningham)
1:47.0,,,89-78,,Offensive rebound by Team
1:46.0,Personal foul by S. Dinwiddie (drawn by K. Lowry),,89-78,,
1:46.0,,,89-79,1,K. Lowry makes free throw 1 of 2
1:46.0,,,89-80,1,K. Lowry makes free throw 2 of 2
1:22.0,S. Dinwiddie misses 3-pt shot from 25 ft,,89-80,,
1:22.0,Offensive rebound by Team,,89-80,,
1:22.0,Turnover by Team (shot clock),,89-80,,
1:22.0,,,89-80,,D. DeRozan enters the game for K. Lowry
1:04.0,,,89-82,2,F. VanVleet makes 2-pt shot from 1 ft
1:04.0,Violation by D. Cunningham (def goaltending),,89-82,,
0:53.0,D. Cunningham misses 3-pt shot from 25 ft,,89-82,,
0:51.0,,,89-82,,Defensive rebound by P. Siakam
0:38.0,,,89-82,,D. DeRozan misses 3-pt shot from 24 ft
0:35.0,,,89-82,,Offensive rebound by F. VanVleet
0:25.0,,,89-84,2,D. DeRozan makes 2-pt shot from 2 ft
0:01.0,C. LeVert makes 2-pt shot from 8 ft,2,91-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,J. Harris makes 2-pt shot from 2 ft (assist by C. LeVert),2,93-84,,
11:23.0,,,93-84,,Shooting foul by D. Cunningham (drawn by D. DeRozan)
11:23.0,,,93-85,1,D. DeRozan makes free throw 1 of 2
11:23.0,,,93-85,,D. DeRozan misses free throw 2 of 2
11:20.0,Defensive rebound by D. Carroll,,93-85,,
11:02.0,Shooting foul by S. Ibaka (drawn by S. Dinwiddie),,93-85,,
11:02.0,S. Dinwiddie misses free throw 1 of 2,,93-85,,
11:02.0,Offensive rebound by Team,,93-85,,
11:02.0,S. Dinwiddie misses free throw 2 of 2,,93-85,,
11:00.0,,,93-85,,Defensive rebound by P. Siakam
10:43.0,,,93-87,2,D. DeRozan makes 2-pt shot from 8 ft
10:18.0,S. Dinwiddie makes 2-pt shot from 11 ft,2,95-87,,
9:59.0,,,95-89,2,D. DeRozan makes 2-pt shot from 3 ft
9:40.0,Offensive charge foul by J. Harris (drawn by D. DeRozan),,95-89,,
9:40.0,Turnover by J. Harris (offensive foul),,95-89,,
9:40.0,,,95-89,,K. Lowry enters the game for D. Wright
9:27.0,,,95-89,,P. Siakam misses 2-pt shot from 2 ft (block by D. Carroll)
9:27.0,,,95-89,,Offensive rebound by P. Siakam
9:27.0,,,95-89,,Shooting foul by C. LeVert (drawn by P. Siakam)
9:27.0,,,95-90,1,P. Siakam makes free throw 1 of 2
9:27.0,,,95-90,,P. Siakam misses free throw 2 of 2
9:24.0,Defensive rebound by D. Cunningham,,95-90,,
9:10.0,C. LeVert misses 2-pt shot from 2 ft (block by S. Ibaka),,95-90,,
9:07.0,,,95-90,,Defensive rebound by K. Lowry
9:04.0,,,95-92,2,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry)
9:03.0,Brooklyn full timeout,,95-92,,
9:03.0,A. Crabbe enters the game for S. Dinwiddie,,95-92,,
9:03.0,J. Allen enters the game for D. Carroll,,95-92,,
9:03.0,D. Russell enters the game for J. Harris,,95-92,,
9:03.0,R. Hollis-Jefferson enters the game for D. Cunningham,,95-92,,
8:48.0,,,95-92,,Personal foul by F. VanVleet (drawn by R. Hollis-Jefferson)
8:41.0,J. Allen misses 2-pt shot from 2 ft,,95-92,,
8:39.0,,,95-92,,Defensive rebound by F. VanVleet
8:36.0,Personal foul by A. Crabbe (drawn by K. Lowry),,95-92,,
8:29.0,,,95-94,2,D. DeRozan makes 2-pt shot from 3 ft
8:12.0,D. Russell misses 3-pt shot from 25 ft,,95-94,,
8:09.0,,,95-94,,Defensive rebound by K. Lowry
8:01.0,,,95-94,,D. DeRozan misses 2-pt shot from 10 ft
7:59.0,Defensive rebound by R. Hollis-Jefferson,,95-94,,
7:45.0,Shooting foul by F. VanVleet (drawn by D. Russell),,95-94,,
7:45.0,D. Russell misses free throw 1 of 2,,95-94,,
7:45.0,Offensive rebound by Team,,95-94,,
7:45.0,D. Russell misses free throw 2 of 2,,95-94,,
7:43.0,,,95-94,,Defensive rebound by D. DeRozan
7:37.0,,,95-94,,Toronto full timeout
7:20.0,,,95-94,,S. Ibaka misses 2-pt shot from 11 ft
7:20.0,,,95-94,,Offensive rebound by Team
7:20.0,,,95-94,,Turnover by Team (shot clock)
7:06.0,D. Russell makes 2-pt shot from 6 ft,2,97-94,,
6:51.0,,,97-94,,Toronto full timeout
6:41.0,,,97-94,,D. DeRozan misses 3-pt shot from 26 ft
6:38.0,Defensive rebound by D. Russell,,97-94,,
6:17.0,C. LeVert misses 3-pt shot from 24 ft,,97-94,,
6:16.0,,,97-94,,Defensive rebound by Team
6:16.0,Loose ball foul by R. Hollis-Jefferson (drawn by P. Siakam),,97-94,,
6:03.0,,,97-94,,D. DeRozan misses 2-pt shot from 2 ft
6:00.0,Defensive rebound by D. Russell,,97-94,,
5:57.0,A. Crabbe misses 3-pt shot from 28 ft,,97-94,,
5:54.0,,,97-94,,Defensive rebound by K. Lowry
