time,Sacramento,pts.away,score,pts.home,Indiana
0:29.0,K. Koufos makes free throw 2 of 2,1,11-24,,
0:12.0,,,11-24,,Turnover by C. Joseph (bad pass; steal by J. Jackson)
0:01.0,D. Fox makes 2-pt shot from 13 ft,2,13-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,13-24,,T. Leaf misses 2-pt shot from 3 ft
11:44.0,Defensive rebound by K. Koufos,,13-24,,
11:33.0,M. Richardson makes 2-pt shot from 8 ft,2,15-24,,
11:18.0,,,15-27,3,T. Leaf makes 3-pt shot from 27 ft (assist by L. Stephenson)
10:56.0,D. Fox makes 2-pt shot from 19 ft (assist by K. Koufos),2,17-27,,
10:29.0,,,17-27,,C. Joseph misses 2-pt shot from 18 ft
10:29.0,,,17-27,,Offensive rebound by Team
10:29.0,,,17-27,,Turnover by Team (shot clock)
10:24.0,Offensive foul by M. Richardson (drawn by L. Stephenson),,17-27,,
10:24.0,Turnover by M. Richardson (offensive foul),,17-27,,
10:07.0,,,17-27,,A. Jefferson misses 2-pt shot from 7 ft
10:04.0,Defensive rebound by M. Richardson,,17-27,,
9:56.0,D. Fox misses 2-pt shot from 14 ft,,17-27,,
9:53.0,,,17-27,,Defensive rebound by T. Leaf
9:46.0,,,17-27,,T. Leaf misses 2-pt shot from 1 ft
9:42.0,Defensive rebound by M. Richardson,,17-27,,
9:36.0,M. Richardson misses 2-pt shot from 2 ft (block by L. Stephenson),,17-27,,
9:36.0,Offensive rebound by Team,,17-27,,
9:22.0,K. Koufos misses 2-pt shot from 5 ft (block by A. Jefferson),,17-27,,
9:22.0,Offensive rebound by Team,,17-27,,
9:21.0,D. Fox misses 3-pt shot from 22 ft,,17-27,,
9:18.0,,,17-27,,Defensive rebound by C. Joseph
9:11.0,,,17-27,,C. Joseph misses 3-pt shot from 28 ft
9:06.0,,,17-27,,Offensive rebound by A. Jefferson
9:01.0,,,17-29,2,A. Jefferson makes 2-pt shot at rim
8:52.0,M. Richardson misses 2-pt shot from 8 ft,,17-29,,
8:52.0,Offensive rebound by S. Labissiere,,17-29,,
8:48.0,Jump ball: T. Leaf vs. S. Labissiere (J. Jackson gains possession),,,,Jump ball: T. Leaf vs. S. Labissiere (J. Jackson gains possession)
8:48.0,Defensive rebound by S. Labissiere,,17-29,,
8:47.0,J. Jackson misses 2-pt shot from 12 ft,,17-29,,
8:43.0,,,17-29,,Defensive rebound by T. Leaf
8:31.0,Personal block foul by K. Koufos (drawn by C. Joseph),,17-29,,
8:31.0,,,17-29,,B. Bogdanovic enters the game for C. Joseph
8:31.0,,,17-29,,D. Sabonis enters the game for A. Jefferson
8:31.0,W. Cauley-Stein enters the game for K. Koufos,,17-29,,
8:19.0,,,17-31,2,D. Sabonis makes 2-pt shot at rim (assist by B. Bogdanovic)
8:06.0,Sacramento full timeout,,17-31,,
7:56.0,Shooting foul by D. Sabonis (drawn by W. Cauley-Stein),,17-31,,
7:56.0,W. Cauley-Stein makes free throw 1 of 2,1,18-31,,
7:56.0,,,18-31,,T. Young enters the game for T. Leaf
7:56.0,Z. Randolph enters the game for S. Labissiere,,18-31,,
7:56.0,W. Cauley-Stein makes free throw 2 of 2,1,19-31,,
7:39.0,,,19-33,2,D. Sabonis makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
7:13.0,G. Hill enters the game for D. Fox,,19-33,,
7:13.0,B. Bogdanovic enters the game for J. Jackson,,19-33,,
7:09.0,G. Hill makes 2-pt shot at rim (assist by M. Richardson),2,21-33,,
7:06.0,,,21-33,,Turnover by D. Sabonis (bad pass; steal by W. Cauley-Stein)
7:02.0,B. Bogdanovic misses 3-pt shot from 28 ft,,21-33,,
7:02.0,,,21-33,,Defensive rebound by L. Stephenson
6:53.0,,,21-35,2,L. Stephenson makes 2-pt shot from 1 ft
6:53.0,,,21-35,,Shooting foul by M. Richardson (drawn by L. Stephenson)
6:53.0,,,21-35,,L. Stephenson misses free throw 1 of 1
6:50.0,Defensive rebound by Z. Randolph,,21-35,,
6:34.0,Z. Randolph makes 2-pt shot from 5 ft (assist by B. Bogdanovic),2,23-35,,
6:17.0,Personal foul by B. Bogdanovic (drawn by B. Bogdanovic),,23-35,,
6:17.0,,,23-35,,V. Oladipo enters the game for L. Stephenson
6:17.0,B. Hield enters the game for M. Richardson,,23-35,,
6:04.0,,,23-35,,B. Bogdanovic misses 2-pt shot from 1 ft (block by W. Cauley-Stein)
6:01.0,,,23-35,,Offensive rebound by D. Sabonis
6:00.0,,,23-38,3,T. Young makes 3-pt shot from 27 ft (assist by D. Sabonis)
5:42.0,Turnover by Z. Randolph (bad pass; steal by T. Young),,23-38,,
5:39.0,,,23-41,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by V. Oladipo)
5:23.0,Turnover by G. Hill (out of bounds lost ball),,23-41,,
5:02.0,,,23-41,,Turnover by D. Sabonis (bad pass)
4:56.0,Turnover by G. Hill (lost ball; steal by D. Collison),,23-41,,
4:52.0,,,23-41,,D. Collison misses 2-pt shot at rim
4:51.0,,,23-41,,Offensive rebound by T. Young
4:51.0,,,23-43,2,T. Young makes 2-pt shot at rim
4:51.0,Sacramento full timeout,,23-43,,
4:37.0,Turnover by Z. Randolph (lost ball; steal by T. Young),,23-43,,
4:33.0,,,23-43,,B. Bogdanovic misses 3-pt shot from 26 ft
4:30.0,Defensive rebound by G. Hill,,23-43,,
4:25.0,B. Hield misses 3-pt shot from 24 ft,,23-43,,
4:25.0,,,23-43,,Defensive rebound by D. Sabonis
4:00.0,,,23-46,3,V. Oladipo makes 3-pt shot from 28 ft (assist by D. Sabonis)
3:39.0,B. Hield makes 2-pt shot from 1 ft (assist by W. Cauley-Stein),2,25-46,,
3:34.0,,,25-46,,Indiana full timeout
3:34.0,,,25-46,,C. Joseph enters the game for D. Collison
3:27.0,Violation by W. Cauley-Stein (kicked ball),,25-46,,
3:19.0,,,25-46,,T. Young misses 3-pt shot from 29 ft
3:16.0,,,25-46,,Offensive rebound by V. Oladipo
3:16.0,,,25-46,,V. Oladipo misses 2-pt shot at rim
3:15.0,Defensive rebound by W. Cauley-Stein,,25-46,,
2:58.0,B. Hield misses 2-pt shot from 11 ft,,25-46,,
2:55.0,Offensive rebound by W. Cauley-Stein,,25-46,,
2:55.0,W. Cauley-Stein misses 2-pt shot at rim,,25-46,,
2:54.0,,,25-46,,Defensive rebound by D. Sabonis
2:36.0,,,25-48,2,B. Bogdanovic makes 2-pt shot from 8 ft
2:21.0,,,25-48,,Personal foul by B. Bogdanovic (drawn by B. Bogdanovic)
2:12.0,B. Hield misses 3-pt shot from 27 ft,,25-48,,
2:09.0,,,25-48,,Defensive rebound by C. Joseph
2:02.0,,,25-50,2,V. Oladipo makes 2-pt shot from 1 ft (assist by D. Sabonis)
1:51.0,G. Hill misses 2-pt shot from 18 ft,,25-50,,
1:49.0,Offensive rebound by Team,,25-50,,
1:49.0,,,25-50,,Loose ball foul by T. Young (drawn by Z. Randolph)
1:25.0,B. Bogdanovic makes 3-pt shot from 26 ft,3,28-50,,
1:19.0,,,28-52,2,B. Bogdanovic makes 2-pt shot from 12 ft
0:56.0,Turnover by B. Hield (step out of bounds),,28-52,,
0:37.0,,,28-55,3,B. Bogdanovic makes 3-pt shot from 27 ft (assist by V. Oladipo)
0:17.0,G. Hill makes 2-pt shot from 1 ft,2,30-55,,
0:10.0,,,30-55,,Turnover by C. Joseph (bad pass; steal by B. Hield)
0:01.0,G. Hill misses 3-pt shot from 27 ft,,30-55,,
0:01.0,Offensive rebound by Team,,30-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Personal foul by B. Bogdanovic (drawn by T. Young),,30-55,,
11:35.0,,,30-55,,B. Bogdanovic misses 2-pt shot from 16 ft
11:33.0,Defensive rebound by Z. Randolph,,30-55,,
11:15.0,Z. Randolph misses 3-pt shot from 22 ft,,30-55,,
11:09.0,Offensive rebound by B. Hield,,30-55,,
10:58.0,B. Bogdanovic misses 2-pt shot from 16 ft,,30-55,,
10:56.0,,,30-55,,Defensive rebound by V. Oladipo
10:50.0,,,30-58,3,T. Young makes 3-pt shot from 25 ft (assist by B. Bogdanovic)
10:31.0,Offensive foul by W. Cauley-Stein (drawn by B. Bogdanovic),,30-58,,
10:31.0,Turnover by W. Cauley-Stein (offensive foul),,30-58,,
10:16.0,,,30-58,,T. Young misses 2-pt shot at rim
10:14.0,Defensive rebound by G. Hill,,30-58,,
10:07.0,G. Hill makes 2-pt shot from 1 ft,2,32-58,,
9:56.0,,,32-58,,Turnover by D. Sabonis (traveling)
9:47.0,G. Hill misses 2-pt shot from 16 ft,,32-58,,
9:44.0,Offensive rebound by W. Cauley-Stein,,32-58,,
9:39.0,B. Hield misses 3-pt shot from 22 ft,,32-58,,
9:37.0,,,32-58,,Defensive rebound by D. Sabonis
9:33.0,,,32-58,,V. Oladipo misses 2-pt shot from 2 ft (block by W. Cauley-Stein)
9:30.0,,,32-58,,Offensive rebound by B. Bogdanovic
9:16.0,,,32-58,,V. Oladipo misses 3-pt shot from 26 ft
9:13.0,Defensive rebound by G. Hill,,32-58,,
9:07.0,Z. Randolph makes 2-pt shot from 7 ft (assist by G. Hill),2,34-58,,
8:53.0,,,34-58,,V. Oladipo misses 3-pt shot from 27 ft
8:51.0,Defensive rebound by Z. Randolph,,34-58,,
8:43.0,G. Hill makes 2-pt shot from 7 ft,2,36-58,,
8:18.0,,,36-60,2,D. Sabonis makes 2-pt shot from 3 ft (assist by D. Collison)
7:55.0,W. Cauley-Stein makes 2-pt shot from 19 ft,2,38-60,,
7:42.0,,,38-60,,B. Bogdanovic misses 3-pt shot from 28 ft (block by B. Bogdanovic)
7:40.0,Defensive rebound by W. Cauley-Stein,,38-60,,
7:22.0,Turnover by Z. Randolph (bad pass; steal by T. Young),,38-60,,
7:22.0,,,38-60,,Shooting foul by B. Hield (drawn by T. Young)
7:22.0,,,38-60,,T. Young misses free throw 1 of 2
7:22.0,,,38-60,,Offensive rebound by Team
7:22.0,,,38-61,1,T. Young makes free throw 2 of 2
7:05.0,Turnover by B. Hield (lost ball; steal by T. Young),,38-61,,
7:00.0,,,38-61,,Shooting foul by Z. Randolph (drawn by V. Oladipo)
7:00.0,,,38-62,1,V. Oladipo makes free throw 1 of 2
7:00.0,,,38-63,1,V. Oladipo makes free throw 2 of 2
6:46.0,B. Hield makes 2-pt shot at rim,2,40-63,,
6:35.0,,,40-63,,D. Collison misses 3-pt shot from 26 ft
6:33.0,Defensive rebound by W. Cauley-Stein,,40-63,,
6:29.0,B. Hield misses 2-pt shot at rim,,40-63,,
6:29.0,,,40-63,,Defensive rebound by T. Young
6:23.0,,,40-63,,Indiana full timeout
6:10.0,,,40-63,,Shooting foul by W. Cauley-Stein (drawn by V. Oladipo)
6:10.0,,,40-64,1,V. Oladipo makes free throw 1 of 2
6:10.0,,,40-65,1,V. Oladipo makes free throw 2 of 2
6:00.0,,,40-65,,Personal foul by B. Bogdanovic (drawn by Z. Randolph)
5:46.0,Turnover by Team (shot clock),,40-65,,
5:35.0,,,40-65,,B. Bogdanovic misses 3-pt shot from 26 ft
5:32.0,Defensive rebound by W. Cauley-Stein,,40-65,,
5:17.0,Z. Randolph misses 2-pt shot from 11 ft,,40-65,,
5:10.0,Offensive rebound by Z. Randolph,,40-65,,
5:08.0,Z. Randolph makes 2-pt shot at rim,2,42-65,,
4:56.0,,,42-65,,Turnover by D. Collison (traveling)
4:44.0,G. Hill misses 2-pt shot from 14 ft,,42-65,,
4:42.0,,,42-65,,Defensive rebound by D. Sabonis
4:32.0,,,42-65,,D. Collison misses 2-pt shot from 2 ft
4:29.0,Defensive rebound by W. Cauley-Stein,,42-65,,
4:24.0,G. Hill misses 2-pt shot from 2 ft,,42-65,,
4:23.0,,,42-65,,Defensive rebound by V. Oladipo
4:17.0,,,42-65,,Turnover by V. Oladipo (bad pass; steal by W. Cauley-Stein)
4:14.0,,,42-65,,L. Stephenson enters the game for D. Sabonis
4:14.0,,,42-65,,C. Joseph enters the game for B. Bogdanovic
4:14.0,,,42-65,,A. Jefferson enters the game for D. Collison
4:14.0,D. Fox enters the game for W. Cauley-Stein,,42-65,,
4:14.0,K. Koufos enters the game for B. Hield,,42-65,,
4:03.0,D. Fox misses 2-pt shot from 21 ft,,42-65,,
3:59.0,,,42-65,,Defensive rebound by T. Young
3:46.0,,,42-65,,T. Young misses 3-pt shot from 26 ft
3:44.0,Defensive rebound by K. Koufos,,42-65,,
3:32.0,Z. Randolph makes 2-pt shot from 16 ft (assist by B. Bogdanovic),2,44-65,,
3:10.0,,,44-65,,A. Jefferson misses 2-pt shot from 1 ft (block by K. Koufos)
3:09.0,Defensive rebound by Team,,44-65,,
2:57.0,Z. Randolph makes 2-pt shot from 6 ft,2,46-65,,
2:39.0,,,46-67,2,A. Jefferson makes 2-pt shot from 9 ft
2:19.0,D. Fox misses 2-pt shot from 22 ft,,46-67,,
2:16.0,,,46-67,,Defensive rebound by L. Stephenson
2:10.0,,,46-67,,Shooting foul by G. Hill (drawn by L. Stephenson)
2:10.0,Sacramento full timeout,,46-67,,
2:10.0,,,46-67,,J. Young enters the game for V. Oladipo
2:10.0,S. Labissiere enters the game for B. Bogdanovic,,46-67,,
2:10.0,J. Jackson enters the game for Z. Randolph,,46-67,,
2:10.0,,,46-68,1,L. Stephenson makes free throw 1 of 2
2:10.0,,,46-69,1,L. Stephenson makes free throw 2 of 2
2:03.0,,,46-69,,Personal foul by J. Young (drawn by D. Fox)
2:03.0,,,46-69,,T. Leaf enters the game for T. Young
1:55.0,G. Hill misses 2-pt shot from 13 ft,,46-69,,
1:51.0,,,46-69,,Defensive rebound by L. Stephenson
1:38.0,,,46-69,,A. Jefferson misses 2-pt shot from 10 ft
1:35.0,Defensive rebound by S. Labissiere,,46-69,,
1:19.0,J. Jackson misses 3-pt shot from 24 ft,,46-69,,
1:16.0,,,46-69,,Defensive rebound by C. Joseph
1:05.0,,,46-69,,J. Young misses 3-pt shot from 26 ft
1:02.0,Defensive rebound by K. Koufos,,46-69,,
0:45.0,S. Labissiere makes 2-pt shot from 1 ft,2,48-69,,
0:45.0,Shooting foul by A. Jefferson (drawn by S. Labissiere),,48-69,,
0:45.0,M. Richardson enters the game for G. Hill,,48-69,,
0:45.0,S. Labissiere misses free throw 1 of 1,,48-69,,
0:43.0,,,48-69,,Defensive rebound by J. Young
0:22.0,,,48-69,,C. Joseph misses 2-pt shot from 20 ft
0:19.0,Defensive rebound by S. Labissiere,,48-69,,
0:01.0,D. Fox misses 2-pt shot from 10 ft (block by A. Jefferson),,48-69,,
0:01.0,,,48-69,,Defensive rebound by J. Young
0:00.0,,,48-69,,J. Young misses 3-pt shot from 45 ft
0:00.0,,,48-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,S. Labissiere makes 2-pt shot from 1 ft,2,50-69,,
11:25.0,,,50-69,,T. Leaf misses 2-pt shot from 7 ft
11:24.0,,,50-69,,Offensive rebound by A. Jefferson
11:22.0,,,50-69,,A. Jefferson misses 2-pt shot from 2 ft
11:22.0,Defensive rebound by S. Labissiere,,50-69,,
11:17.0,M. Richardson misses 3-pt shot from 24 ft,,50-69,,
11:13.0,,,50-69,,Defensive rebound by L. Stephenson
11:11.0,,,50-69,,J. Young misses 2-pt shot from 1 ft
11:11.0,Defensive rebound by M. Richardson,,50-69,,
11:03.0,D. Fox makes 2-pt shot from 2 ft,2,52-69,,
10:44.0,,,52-72,3,C. Joseph makes 3-pt shot from 27 ft (assist by A. Jefferson)
10:25.0,Turnover by D. Fox (bad pass; steal by A. Jefferson),,52-72,,
10:20.0,,,52-74,2,T. Leaf makes 2-pt shot from 1 ft (assist by L. Stephenson)
10:20.0,,,52-74,,Shooting foul by S. Labissiere (drawn by T. Leaf)
10:20.0,,,52-74,,T. Leaf misses free throw 1 of 1
10:17.0,Defensive rebound by S. Labissiere,,52-74,,
10:00.0,J. Jackson makes 3-pt shot from 25 ft (assist by D. Fox),3,55-74,,
9:44.0,,,55-74,,J. Young misses 2-pt shot from 19 ft
9:43.0,,,55-74,,Offensive rebound by T. Leaf
9:40.0,,,55-74,,L. Stephenson misses 3-pt shot from 22 ft
9:38.0,Defensive rebound by D. Fox,,55-74,,
9:33.0,D. Fox misses 2-pt shot from 11 ft,,55-74,,
9:31.0,Offensive rebound by Team,,55-74,,
9:23.0,,,55-74,,Personal foul by T. Leaf (drawn by S. Labissiere)
9:15.0,,,55-74,,Personal foul by T. Leaf (drawn by S. Labissiere)
9:01.0,S. Labissiere misses 2-pt shot from 11 ft,,55-74,,
8:59.0,,,55-74,,Defensive rebound by L. Stephenson
8:56.0,Personal take foul by D. Fox (drawn by L. Stephenson),,55-74,,
8:54.0,,,55-76,2,C. Joseph makes 2-pt shot at rim (assist by L. Stephenson)
8:43.0,D. Fox misses 2-pt shot from 3 ft (block by A. Jefferson),,55-76,,
8:40.0,Offensive rebound by K. Koufos,,55-76,,
8:36.0,M. Richardson misses 2-pt shot from 13 ft,,55-76,,
8:33.0,,,55-76,,Defensive rebound by A. Jefferson
8:26.0,,,55-76,,T. Leaf misses 2-pt shot from 13 ft
8:24.0,,,55-76,,Offensive rebound by A. Jefferson
8:18.0,,,55-78,2,L. Stephenson makes 2-pt shot from 20 ft
8:16.0,Sacramento full timeout,,55-78,,
8:16.0,,,55-78,,B. Bogdanovic enters the game for J. Young
8:02.0,K. Koufos makes 2-pt shot at rim (assist by D. Fox),2,57-78,,
7:50.0,,,57-78,,Turnover by T. Leaf (traveling)
7:34.0,M. Richardson misses 2-pt shot at rim (block by L. Stephenson),,57-78,,
7:30.0,,,57-78,,Defensive rebound by A. Jefferson
7:25.0,,,57-78,,B. Bogdanovic misses 2-pt shot from 8 ft
7:21.0,,,57-78,,Offensive rebound by A. Jefferson
7:21.0,,,57-78,,A. Jefferson misses 2-pt shot at rim
7:20.0,Defensive rebound by K. Koufos,,57-78,,
7:14.0,S. Labissiere misses 2-pt shot from 17 ft,,57-78,,
7:12.0,,,57-78,,Defensive rebound by A. Jefferson
7:01.0,,,57-78,,Turnover by L. Stephenson (bad pass; steal by K. Koufos)
6:57.0,J. Jackson makes 2-pt shot from 1 ft (assist by D. Fox),2,59-78,,
6:39.0,,,59-81,3,B. Bogdanovic makes 3-pt shot from 27 ft (assist by T. Leaf)
6:22.0,S. Labissiere makes 2-pt shot from 8 ft,2,61-81,,
6:12.0,,,61-81,,Shooting foul by J. Jackson (drawn by B. Bogdanovic)
6:12.0,,,61-82,1,B. Bogdanovic makes free throw 1 of 2
6:12.0,,,61-82,,D. Sabonis enters the game for A. Jefferson
6:12.0,,,61-83,1,B. Bogdanovic makes free throw 2 of 2
6:00.0,D. Fox makes 2-pt shot from 17 ft,2,63-83,,
5:40.0,,,63-83,,Offensive foul by D. Sabonis (drawn by M. Richardson)
5:40.0,,,63-83,,Turnover by D. Sabonis (offensive foul)
5:31.0,J. Jackson misses 2-pt shot from 7 ft,,63-83,,
5:28.0,,,63-83,,Defensive rebound by D. Sabonis
5:21.0,,,63-86,3,C. Joseph makes 3-pt shot from 26 ft (assist by L. Stephenson)
5:07.0,S. Labissiere misses 2-pt shot from 11 ft,,63-86,,
5:04.0,,,63-86,,Defensive rebound by D. Sabonis
4:58.0,,,63-88,2,T. Leaf makes 2-pt shot from 2 ft (assist by L. Stephenson)
4:55.0,Sacramento full timeout,,63-88,,
4:55.0,,,63-88,,I. Anigbogu enters the game for B. Bogdanovic
4:55.0,,,63-88,,D. Wilkins enters the game for D. Sabonis
4:55.0,F. Mason enters the game for J. Jackson,,63-88,,
4:55.0,G. Papagiannis enters the game for K. Koufos,,63-88,,
4:43.0,D. Fox makes 2-pt shot from 8 ft,2,65-88,,
4:24.0,,,65-88,,D. Wilkins misses 3-pt shot from 27 ft
4:21.0,,,65-88,,Offensive rebound by L. Stephenson
4:20.0,,,65-88,,L. Stephenson misses 2-pt shot from 1 ft
4:20.0,,,65-88,,Offensive rebound by T. Leaf
4:15.0,,,65-91,3,C. Joseph makes 3-pt shot from 27 ft (assist by T. Leaf)
4:00.0,Shooting foul by T. Leaf (drawn by S. Labissiere),,65-91,,
4:00.0,S. Labissiere makes free throw 1 of 2,1,66-91,,
4:00.0,,,66-91,,J. Young enters the game for C. Joseph
