time,Brooklyn,pts.away,score,pts.home,Memphis
8:11.0,,,6-9,2,C. Parsons makes 2-pt shot from 1 ft
7:53.0,R. Hollis-Jefferson misses 2-pt shot from 11 ft,,6-9,,
7:50.0,,,6-9,,Defensive rebound by M. Gasol
7:44.0,,,6-9,,M. Gasol misses 3-pt shot from 25 ft
7:44.0,,,6-9,,Offensive rebound by J. Green
7:41.0,,,6-9,,J. Green misses 2-pt shot at rim (block by J. Harris)
7:41.0,,,6-9,,Offensive rebound by Team
7:29.0,,,6-11,2,M. Gasol makes 2-pt shot from 2 ft
7:11.0,Offensive foul by R. Hollis-Jefferson (drawn by M. Chalmers),,6-11,,
7:11.0,Turnover by R. Hollis-Jefferson (offensive foul),,6-11,,
6:56.0,,,6-13,2,M. Gasol makes 2-pt shot at rim
6:37.0,J. Harris makes 3-pt shot from 23 ft (assist by D. Carroll),3,9-13,,
6:17.0,,,9-15,2,J. Green makes 2-pt shot from 1 ft
6:16.0,Brooklyn full timeout,,9-15,,
6:16.0,,,9-15,,T. Evans enters the game for M. Chalmers
6:16.0,T. Booker enters the game for R. Hollis-Jefferson,,9-15,,
6:02.0,D. Carroll misses 3-pt shot from 24 ft,,9-15,,
5:59.0,,,9-15,,Defensive rebound by J. Green
5:44.0,,,9-15,,Turnover by M. Gasol (turnover)
5:44.0,,,9-15,,Loose ball foul by M. Gasol (drawn by J. Harris)
5:24.0,S. Dinwiddie misses 3-pt shot from 27 ft,,9-15,,
5:23.0,,,9-15,,Defensive rebound by Team
5:23.0,,,9-15,,B. McLemore enters the game for C. Parsons
5:11.0,,,9-15,,Turnover by D. Brooks (traveling)
5:11.0,C. LeVert enters the game for J. Harris,,9-15,,
4:47.0,Turnover by Team (shot clock),,9-15,,
4:45.0,S. Dinwiddie misses 2-pt shot from 20 ft,,9-15,,
4:45.0,Offensive rebound by Team,,9-15,,
4:33.0,,,9-17,2,M. Gasol makes 2-pt shot from 8 ft (assist by J. Green)
4:17.0,T. Booker makes 2-pt shot from 6 ft,2,11-17,,
4:02.0,,,11-17,,Turnover by M. Gasol (bad pass; steal by C. LeVert)
3:50.0,Shooting foul by T. Evans (drawn by S. Dinwiddie),,11-17,,
3:50.0,S. Dinwiddie misses free throw 1 of 2,,11-17,,
3:50.0,Offensive rebound by Team,,11-17,,
3:50.0,,,11-17,,J. Martin enters the game for J. Green
3:50.0,S. Dinwiddie makes free throw 2 of 2,1,12-17,,
3:36.0,,,12-17,,B. McLemore misses 3-pt shot from 25 ft
3:33.0,,,12-17,,Offensive rebound by D. Brooks
3:33.0,,,12-17,,D. Brooks misses 2-pt shot at rim (block by D. Carroll)
3:33.0,Defensive rebound by Team,,12-17,,
3:33.0,S. Kilpatrick enters the game for S. Dinwiddie,,12-17,,
3:23.0,Turnover by C. LeVert (bad pass; steal by D. Brooks),,12-17,,
3:14.0,,,12-17,,Turnover by B. McLemore (bad pass; steal by T. Booker)
2:55.0,,,12-17,,Memphis full timeout
2:55.0,,,12-17,,A. Harrison enters the game for D. Brooks
2:51.0,Turnover by Team (shot clock),,12-17,,
2:44.0,J. Harris enters the game for D. Carroll,,12-17,,
2:34.0,,,12-17,,Offensive charge foul by J. Martin (drawn by T. Booker)
2:34.0,,,12-17,,Turnover by J. Martin (offensive foul)
2:22.0,Turnover by S. Kilpatrick (lost ball; steal by B. McLemore),,12-17,,
2:04.0,,,12-20,3,T. Evans makes 3-pt shot from 25 ft (assist by B. McLemore)
1:37.0,S. Kilpatrick misses 2-pt shot from 21 ft,,12-20,,
1:35.0,Offensive rebound by J. Allen,,12-20,,
1:34.0,J. Allen misses 2-pt shot at rim (block by M. Gasol),,12-20,,
1:34.0,,,12-20,,Defensive rebound by T. Evans
1:29.0,,,12-20,,T. Evans misses 2-pt shot from 1 ft
1:29.0,Defensive rebound by J. Allen,,12-20,,
1:22.0,C. LeVert misses 3-pt shot from 22 ft,,12-20,,
1:22.0,Offensive rebound by J. Allen,,12-20,,
1:21.0,Shooting foul by J. Martin (drawn by J. Allen),,12-20,,
1:21.0,J. Allen makes free throw 1 of 2,1,13-20,,
1:21.0,,,13-20,,D. Davis enters the game for M. Gasol
1:21.0,J. Allen makes free throw 2 of 2,1,14-20,,
1:13.0,Personal foul by S. Kilpatrick (drawn by A. Harrison),,14-20,,
1:01.0,,,14-20,,Shooting foul by J. Allen (drawn by T. Evans)
1:01.0,,,14-21,1,T. Evans makes free throw 1 of 2
1:01.0,,,14-22,1,T. Evans makes free throw 2 of 2
0:43.0,S. Kilpatrick makes 3-pt shot from 24 ft (assist by C. LeVert),3,17-22,,
0:29.0,,,17-22,,J. Martin misses 3-pt shot from 23 ft
0:26.0,Defensive rebound by S. Kilpatrick,,17-22,,
0:23.0,S. Kilpatrick makes 2-pt shot at rim,2,19-22,,
0:00.0,,,19-22,,A. Harrison misses 3-pt shot from 25 ft
0:00.0,,,19-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Shooting foul by T. Evans (drawn by J. Harris),,19-22,,
11:49.0,J. Harris misses free throw 1 of 2,,19-22,,
11:49.0,Offensive rebound by Team,,19-22,,
11:49.0,J. Harris makes free throw 2 of 2,1,20-22,,
11:37.0,,,20-22,,T. Evans misses 3-pt shot from 27 ft
11:34.0,Defensive rebound by Team,,20-22,,
11:19.0,C. LeVert misses 2-pt shot from 11 ft,,20-22,,
11:16.0,Offensive rebound by Team,,20-22,,
11:12.0,S. Kilpatrick misses 3-pt shot from 23 ft,,20-22,,
11:09.0,,,20-22,,Defensive rebound by C. Parsons
11:01.0,,,20-24,2,C. Parsons makes 2-pt shot from 1 ft
10:51.0,J. Harris makes 3-pt shot from 25 ft,3,23-24,,
10:34.0,,,23-24,,Offensive charge foul by A. Harrison (drawn by J. Harris)
10:34.0,,,23-24,,Turnover by A. Harrison (offensive foul)
10:22.0,T. Booker misses 2-pt shot from 1 ft (block by D. Davis),,23-24,,
10:18.0,,,23-24,,Defensive rebound by D. Davis
10:15.0,,,23-27,3,C. Parsons makes 3-pt shot from 25 ft (assist by D. Davis)
10:02.0,Shooting foul by C. Parsons (drawn by R. Hollis-Jefferson),,23-27,,
10:02.0,R. Hollis-Jefferson makes free throw 1 of 2,1,24-27,,
10:02.0,T. Mozgov enters the game for T. Booker,,24-27,,
10:02.0,R. Hollis-Jefferson makes free throw 2 of 2,1,25-27,,
9:48.0,,,25-27,,C. Parsons misses 2-pt shot from 1 ft
9:44.0,,,25-27,,Offensive rebound by C. Parsons
9:44.0,,,25-29,2,C. Parsons makes 2-pt shot at rim
9:27.0,T. Mozgov misses 2-pt shot from 1 ft,,25-29,,
9:23.0,Offensive rebound by T. Mozgov,,25-29,,
9:23.0,T. Mozgov misses 2-pt shot at rim,,25-29,,
9:22.0,,,25-29,,Defensive rebound by T. Evans
9:18.0,,,25-32,3,T. Evans makes 3-pt shot from 25 ft
9:18.0,Brooklyn full timeout,,25-32,,
9:11.0,R. Hollis-Jefferson makes 2-pt shot at rim,2,27-32,,
9:11.0,Shooting foul by A. Harrison (drawn by R. Hollis-Jefferson),,27-32,,
9:11.0,R. Hollis-Jefferson misses free throw 1 of 1,,27-32,,
9:08.0,,,27-32,,Defensive rebound by C. Parsons
9:00.0,,,27-32,,B. McLemore misses 3-pt shot from 23 ft
8:56.0,Defensive rebound by S. Kilpatrick,,27-32,,
8:44.0,T. Mozgov makes 2-pt shot from 1 ft (assist by C. LeVert),2,29-32,,
8:29.0,,,29-32,,C. Parsons misses 3-pt shot from 25 ft
8:27.0,Defensive rebound by J. Harris,,29-32,,
8:23.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft,,29-32,,
8:20.0,,,29-32,,Defensive rebound by B. McLemore
8:17.0,,,29-35,3,C. Parsons makes 3-pt shot from 25 ft (assist by B. McLemore)
8:16.0,Brooklyn full timeout,,29-35,,
8:16.0,,,29-35,,M. Gasol enters the game for D. Davis
8:16.0,,,29-35,,D. Brooks enters the game for B. McLemore
8:16.0,D. Carroll enters the game for R. Hollis-Jefferson,,29-35,,
8:02.0,J. Harris misses 3-pt shot from 25 ft,,29-35,,
8:00.0,,,29-35,,Defensive rebound by C. Parsons
7:42.0,,,29-35,,M. Gasol misses 2-pt shot from 19 ft
7:40.0,Defensive rebound by D. Carroll,,29-35,,
7:31.0,S. Kilpatrick misses 2-pt shot from 19 ft,,29-35,,
7:27.0,,,29-35,,Defensive rebound by C. Parsons
7:21.0,,,29-35,,T. Evans misses 3-pt shot from 25 ft
7:17.0,Defensive rebound by S. Kilpatrick,,29-35,,
7:07.0,D. Carroll makes 2-pt shot from 11 ft (assist by T. Mozgov),2,31-35,,
6:50.0,,,31-35,,Turnover by C. Parsons (bad pass; steal by D. Carroll)
6:47.0,D. Carroll misses 2-pt shot at rim,,31-35,,
6:43.0,,,31-35,,Defensive rebound by T. Evans
6:39.0,,,31-35,,T. Evans misses 2-pt shot from 1 ft (block by T. Mozgov)
6:33.0,Defensive rebound by T. Mozgov,,31-35,,
6:25.0,,,31-35,,Personal foul by D. Brooks (drawn by D. Carroll)
6:25.0,,,31-35,,M. Chalmers enters the game for T. Evans
6:25.0,S. Dinwiddie enters the game for C. LeVert,,31-35,,
6:25.0,,,31-35,,J. Green enters the game for C. Parsons
6:18.0,Turnover by S. Dinwiddie (bad pass),,31-35,,
6:01.0,,,31-35,,M. Gasol misses 2-pt shot from 13 ft
5:58.0,Defensive rebound by S. Kilpatrick,,31-35,,
5:55.0,,,31-35,,Personal foul by J. Green (drawn by D. Carroll)
5:55.0,D. Carroll makes free throw 1 of 2,1,32-35,,
5:55.0,C. LeVert enters the game for J. Harris,,32-35,,
5:55.0,D. Carroll makes free throw 2 of 2,1,33-35,,
5:36.0,,,33-35,,M. Gasol misses 2-pt shot from 19 ft
5:32.0,Defensive rebound by S. Kilpatrick,,33-35,,
5:18.0,D. Carroll misses 2-pt shot from 19 ft,,33-35,,
5:15.0,,,33-35,,Defensive rebound by M. Gasol
5:07.0,Personal foul by S. Dinwiddie (drawn by M. Chalmers),,33-35,,
5:00.0,Personal foul by T. Mozgov (drawn by M. Gasol),,33-35,,
4:49.0,,,33-35,,Turnover by M. Gasol (lost ball; steal by C. LeVert)
4:45.0,C. LeVert makes 2-pt shot at rim,2,35-35,,
4:28.0,,,35-37,2,M. Gasol makes 2-pt shot from 15 ft (assist by M. Chalmers)
4:10.0,Offensive charge foul by D. Carroll (drawn by A. Harrison),,35-37,,
4:10.0,Turnover by D. Carroll (offensive foul),,35-37,,
4:10.0,,,35-37,,T. Evans enters the game for A. Harrison
4:10.0,T. Booker enters the game for T. Mozgov,,35-37,,
3:57.0,,,35-37,,Turnover by D. Brooks (bad pass; steal by D. Carroll)
3:51.0,Turnover by D. Carroll (lost ball; steal by M. Gasol),,35-37,,
3:34.0,,,35-37,,Turnover by T. Evans (bad pass)
3:19.0,C. LeVert misses 2-pt shot at rim,,35-37,,
3:18.0,Offensive rebound by T. Booker,,35-37,,
3:18.0,T. Booker makes 2-pt shot at rim,2,37-37,,
3:18.0,,,37-37,,Memphis full timeout
3:02.0,,,37-37,,M. Chalmers misses 2-pt shot from 12 ft (block by S. Dinwiddie)
2:57.0,Defensive rebound by S. Dinwiddie,,37-37,,
2:56.0,Turnover by S. Dinwiddie (lost ball; steal by M. Chalmers),,37-37,,
2:51.0,,,37-39,2,J. Green makes 2-pt shot from 14 ft (assist by M. Chalmers)
2:34.0,Offensive foul by T. Booker (drawn by D. Brooks),,37-39,,
2:34.0,Turnover by T. Booker (offensive foul),,37-39,,
2:34.0,J. Harris enters the game for S. Kilpatrick,,37-39,,
2:21.0,,,37-41,2,T. Evans makes 2-pt shot from 1 ft
2:10.0,C. LeVert makes 3-pt shot from 22 ft (assist by S. Dinwiddie),3,40-41,,
1:51.0,,,40-43,2,T. Evans makes 2-pt shot from 21 ft (assist by M. Gasol)
1:39.0,D. Carroll makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,43-43,,
1:21.0,,,43-45,2,M. Gasol makes 2-pt shot from 6 ft (assist by J. Green)
1:01.0,J. Harris misses 2-pt shot from 8 ft,,43-45,,
1:01.0,Offensive rebound by T. Booker,,43-45,,
0:56.0,C. LeVert makes 2-pt shot at rim (assist by T. Booker),2,45-45,,
0:46.0,,,45-45,,M. Gasol misses 3-pt shot from 26 ft
0:43.0,Defensive rebound by D. Carroll,,45-45,,
0:39.0,Turnover by C. LeVert (bad pass),,45-45,,
0:27.0,,,45-45,,Shooting foul by T. Booker (drawn by M. Gasol)
0:27.0,,,45-46,1,M. Gasol makes free throw 1 of 2
0:27.0,,,45-46,,A. Harrison enters the game for M. Chalmers
0:27.0,,,45-47,1,M. Gasol makes free throw 2 of 2
0:03.0,T. Booker makes 2-pt shot from 4 ft (assist by C. LeVert),2,47-47,,
0:00.0,,,47-47,,D. Brooks misses 3-pt shot from 46 ft
0:00.0,,,47-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,T. Zeller makes 3-pt shot from 22 ft (assist by T. Booker),3,50-47,,
11:15.0,,,50-47,,J. Green misses 3-pt shot from 25 ft (block by T. Booker)
11:10.0,Defensive rebound by J. Harris,,50-47,,
11:08.0,D. Carroll makes 3-pt shot from 22 ft (assist by T. Booker),3,53-47,,
10:53.0,,,53-49,2,D. Brooks makes 2-pt shot from 1 ft
10:45.0,Shooting foul by T. Evans (drawn by S. Dinwiddie),,53-49,,
10:45.0,S. Dinwiddie makes free throw 1 of 2,1,54-49,,
10:45.0,S. Dinwiddie makes free throw 2 of 2,1,55-49,,
10:31.0,,,55-49,,M. Gasol misses 2-pt shot from 21 ft
10:28.0,,,55-49,,Offensive rebound by J. Green
10:26.0,,,55-49,,J. Green misses 2-pt shot from 13 ft
10:23.0,Defensive rebound by J. Harris,,55-49,,
10:11.0,S. Dinwiddie misses 2-pt shot at rim,,55-49,,
10:07.0,Offensive rebound by T. Zeller,,55-49,,
10:07.0,T. Zeller misses 2-pt shot at rim,,55-49,,
10:07.0,Offensive rebound by J. Harris,,55-49,,
10:00.0,T. Zeller makes 2-pt shot at rim (assist by J. Harris),2,57-49,,
9:56.0,,,57-49,,Memphis full timeout
9:47.0,,,57-49,,T. Evans misses 2-pt shot from 7 ft (block by S. Dinwiddie)
9:43.0,,,57-49,,Offensive rebound by M. Chalmers
9:40.0,,,57-49,,Offensive foul by M. Gasol (drawn by J. Harris)
9:40.0,,,57-49,,Turnover by M. Gasol (offensive foul)
9:17.0,S. Dinwiddie makes 2-pt shot at rim,2,59-49,,
9:03.0,,,59-49,,D. Brooks misses 2-pt shot from 21 ft
9:00.0,Defensive rebound by T. Booker,,59-49,,
8:55.0,S. Dinwiddie makes 3-pt shot from 26 ft,3,62-49,,
8:26.0,,,62-49,,M. Gasol misses 2-pt shot from 8 ft
8:24.0,Defensive rebound by T. Booker,,62-49,,
8:16.0,,,62-49,,Personal foul by M. Gasol (drawn by T. Zeller)
8:06.0,J. Harris misses 3-pt shot from 25 ft,,62-49,,
8:02.0,Offensive rebound by T. Zeller,,62-49,,
8:01.0,Turnover by T. Zeller (bad pass; steal by D. Brooks),,62-49,,
7:57.0,,,62-49,,T. Evans misses 2-pt shot from 1 ft
7:54.0,Defensive rebound by J. Harris,,62-49,,
7:54.0,Brooklyn full timeout,,62-49,,
7:47.0,,,62-49,,Violation by M. Gasol (kicked ball)
7:34.0,S. Dinwiddie misses 3-pt shot from 26 ft,,62-49,,
7:32.0,,,62-49,,Defensive rebound by M. Gasol
7:20.0,,,62-51,2,T. Evans makes 2-pt shot from 21 ft
6:55.0,D. Carroll makes 2-pt shot from 10 ft (assist by S. Dinwiddie),2,64-51,,
6:39.0,,,64-51,,T. Evans misses 2-pt shot from 2 ft
6:36.0,Defensive rebound by T. Booker,,64-51,,
6:30.0,J. Harris makes 3-pt shot from 22 ft (assist by S. Dinwiddie),3,67-51,,
6:17.0,,,67-51,,Memphis full timeout
6:17.0,,,67-51,,J. Martin enters the game for J. Green
6:17.0,,,67-51,,A. Harrison enters the game for T. Evans
6:17.0,C. LeVert enters the game for D. Carroll,,67-51,,
6:07.0,,,67-51,,A. Harrison misses 2-pt shot from 18 ft
6:05.0,Defensive rebound by T. Zeller,,67-51,,
5:54.0,Turnover by J. Harris (lost ball; steal by M. Chalmers),,67-51,,
5:52.0,,,67-51,,Shooting foul by S. Dinwiddie (drawn by A. Harrison)
5:52.0,,,67-52,1,A. Harrison makes free throw 1 of 2
5:52.0,,,67-52,,J. Ennis enters the game for D. Brooks
5:52.0,,,67-53,1,A. Harrison makes free throw 2 of 2
5:29.0,Turnover by T. Zeller (offensive goaltending),,67-53,,
5:13.0,,,67-53,,M. Gasol misses 2-pt shot from 12 ft
5:11.0,Defensive rebound by T. Booker,,67-53,,
4:50.0,T. Booker misses 2-pt shot from 10 ft,,67-53,,
4:47.0,,,67-53,,Defensive rebound by M. Gasol
4:40.0,,,67-53,,A. Harrison misses 2-pt shot from 1 ft
4:38.0,Defensive rebound by J. Harris,,67-53,,
4:29.0,J. Harris misses 2-pt shot from 18 ft,,67-53,,
4:26.0,,,67-53,,Defensive rebound by J. Martin
4:24.0,Personal foul by S. Dinwiddie (drawn by M. Gasol),,67-53,,
4:24.0,,,67-53,,B. McLemore enters the game for M. Chalmers
4:11.0,,,67-53,,M. Gasol misses 2-pt shot from 11 ft
4:07.0,Defensive rebound by C. LeVert,,67-53,,
3:56.0,T. Booker makes 2-pt shot from 6 ft,2,69-53,,
3:38.0,,,69-53,,Shooting foul by T. Zeller (drawn by M. Gasol)
3:38.0,,,69-54,1,M. Gasol makes free throw 1 of 2
3:38.0,D. Carroll enters the game for T. Booker,,69-54,,
3:38.0,,,69-55,1,M. Gasol makes free throw 2 of 2
3:20.0,D. Carroll makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,72-55,,
3:05.0,Personal foul by S. Dinwiddie (drawn by A. Harrison),,72-55,,
3:05.0,,,72-55,,D. Davis enters the game for M. Gasol
3:05.0,T. Mozgov enters the game for S. Dinwiddie,,72-55,,
3:05.0,S. Kilpatrick enters the game for T. Zeller,,72-55,,
2:56.0,,,72-55,,J. Ennis misses 3-pt shot from 25 ft
2:53.0,Defensive rebound by T. Mozgov,,72-55,,
2:43.0,,,72-55,,Personal foul by J. Martin (drawn by T. Mozgov)
2:34.0,C. LeVert misses 2-pt shot from 12 ft,,72-55,,
2:32.0,,,72-55,,Defensive rebound by J. Martin
2:25.0,,,72-55,,J. Martin misses 2-pt shot from 6 ft
2:25.0,,,72-55,,Offensive rebound by Team
2:18.0,,,72-55,,Turnover by D. Davis (lost ball; steal by C. LeVert)
2:14.0,S. Kilpatrick misses 2-pt shot at rim (block by J. Martin),,72-55,,
2:11.0,,,72-55,,Defensive rebound by Team
1:56.0,,,72-55,,B. McLemore misses 2-pt shot from 15 ft
1:52.0,Defensive rebound by D. Carroll,,72-55,,
1:45.0,S. Kilpatrick misses 2-pt shot at rim,,72-55,,
1:41.0,Offensive rebound by T. Mozgov,,72-55,,
1:40.0,T. Mozgov makes 2-pt shot at rim,2,74-55,,
1:29.0,,,74-57,2,D. Davis makes 2-pt shot from 1 ft (assist by J. Ennis)
1:20.0,C. LeVert makes 2-pt shot at rim,2,76-57,,
1:05.0,,,76-60,3,J. Martin makes 3-pt shot from 25 ft (assist by A. Harrison)
0:57.0,Turnover by C. LeVert (bad pass; steal by D. Davis),,76-60,,
0:53.0,,,76-60,,Shooting foul by S. Kilpatrick (drawn by B. McLemore)
0:53.0,,,76-61,1,B. McLemore makes free throw 1 of 2
0:53.0,T. Booker enters the game for J. Harris,,76-61,,
0:53.0,,,76-62,1,B. McLemore makes free throw 2 of 2
0:33.0,D. Carroll makes 2-pt shot from 1 ft,2,78-62,,
0:33.0,Shooting foul by D. Davis (drawn by D. Carroll),,78-62,,
0:33.0,D. Carroll makes free throw 1 of 1,1,79-62,,
0:23.0,,,79-65,3,A. Harrison makes 3-pt shot from 25 ft
0:00.0,C. LeVert misses 3-pt shot from 25 ft,,79-65,,
0:00.0,Offensive rebound by Team,,79-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,79-67,2,J. Green makes 2-pt shot from 5 ft
11:21.0,S. Kilpatrick makes 3-pt shot from 23 ft (assist by D. Carroll),3,82-67,,
11:10.0,,,82-67,,Turnover by A. Harrison (bad pass; steal by C. LeVert)
11:10.0,,,82-67,,Personal foul by A. Harrison (drawn by C. LeVert)
10:47.0,T. Mozgov misses 3-pt shot from 23 ft,,82-67,,
10:43.0,,,82-67,,Defensive rebound by D. Davis
10:35.0,,,82-69,2,B. McLemore makes 2-pt shot from 21 ft
10:19.0,Brooklyn full timeout,,82-69,,
10:19.0,,,82-69,,T. Evans enters the game for A. Harrison
10:07.0,S. Kilpatrick misses 3-pt shot from 26 ft,,82-69,,
10:04.0,,,82-69,,Defensive rebound by J. Ennis
9:52.0,,,82-71,2,B. McLemore makes 2-pt shot from 20 ft (assist by T. Evans)
9:37.0,D. Carroll misses 3-pt shot from 25 ft,,82-71,,
9:35.0,,,82-71,,Defensive rebound by T. Evans
9:24.0,,,82-73,2,J. Green makes 2-pt shot at rim
9:08.0,Turnover by S. Kilpatrick (out of bounds lost ball),,82-73,,
9:08.0,S. Dinwiddie enters the game for D. Carroll,,82-73,,
9:08.0,T. Booker enters the game for J. Allen,,82-73,,
8:51.0,,,82-75,2,D. Davis makes 2-pt shot at rim (assist by T. Evans)
8:25.0,S. Dinwiddie misses 3-pt shot from 22 ft,,82-75,,
8:25.0,,,82-75,,Defensive rebound by Team
8:25.0,Loose ball foul by T. Mozgov (drawn by D. Davis),,82-75,,
8:08.0,,,82-75,,J. Ennis misses 2-pt shot from 9 ft (block by C. LeVert)
8:08.0,,,82-75,,Offensive rebound by T. Evans
8:03.0,,,82-77,2,J. Ennis makes 2-pt shot from 12 ft (assist by T. Evans)
7:47.0,,,82-77,,Personal foul by J. Green (drawn by T. Booker)
7:47.0,T. Zeller enters the game for S. Kilpatrick,,82-77,,
7:47.0,J. Harris enters the game for T. Mozgov,,82-77,,
7:40.0,Shooting foul by D. Davis (drawn by T. Booker),,82-77,,
7:40.0,T. Booker makes free throw 1 of 2,1,83-77,,
7:40.0,T. Booker makes free throw 2 of 2,1,84-77,,
7:29.0,,,84-77,,B. McLemore misses 3-pt shot from 25 ft
7:27.0,Defensive rebound by S. Dinwiddie,,84-77,,
7:13.0,J. Harris makes 3-pt shot from 25 ft (assist by T. Booker),3,87-77,,
7:05.0,,,87-77,,Memphis full timeout
6:53.0,,,87-80,3,J. Green makes 3-pt shot from 25 ft (assist by B. McLemore)
6:26.0,J. Harris misses 3-pt shot from 26 ft,,87-80,,
6:23.0,,,87-80,,Defensive rebound by D. Davis
6:18.0,,,87-80,,B. McLemore misses 3-pt shot from 26 ft
6:13.0,Defensive rebound by T. Booker,,87-80,,
6:03.0,T. Booker misses 2-pt shot from 7 ft,,87-80,,
5:59.0,,,87-80,,Defensive rebound by D. Davis
5:52.0,,,87-80,,T. Evans misses 2-pt shot at rim
5:50.0,Defensive rebound by Team,,87-80,,
5:50.0,,,87-80,,Loose ball foul by B. McLemore (drawn by S. Dinwiddie)
5:50.0,D. Carroll enters the game for C. LeVert,,87-80,,
5:26.0,T. Booker misses 2-pt shot from 18 ft,,87-80,,
5:21.0,Offensive rebound by D. Carroll,,87-80,,
5:16.0,S. Dinwiddie misses 3-pt shot from 25 ft,,87-80,,
5:16.0,Offensive rebound by T. Zeller,,87-80,,
4:57.0,Shooting foul by D. Davis (drawn by T. Booker),,87-80,,
4:57.0,T. Booker makes free throw 1 of 2,1,88-80,,
4:57.0,T. Booker makes free throw 2 of 2,1,89-80,,
4:44.0,,,89-80,,B. McLemore misses 2-pt shot from 1 ft
4:42.0,,,89-80,,Offensive rebound by J. Green
4:42.0,,,89-80,,J. Green misses 2-pt shot at rim
4:42.0,,,89-80,,Offensive rebound by B. McLemore
4:42.0,Personal foul by T. Booker (drawn by B. McLemore),,89-80,,
4:33.0,,,89-80,,J. Ennis misses 3-pt shot from 25 ft
4:30.0,,,89-80,,Offensive rebound by J. Green
4:25.0,,,89-80,,T. Evans misses 3-pt shot from 25 ft
4:20.0,Defensive rebound by T. Booker,,89-80,,
4:02.0,Turnover by D. Carroll (step out of bounds),,89-80,,
3:47.0,,,89-82,2,B. McLemore makes 2-pt shot from 5 ft
3:30.0,T. Booker makes 2-pt shot at rim (assist by S. Dinwiddie),2,91-82,,
3:20.0,,,91-82,,Memphis full timeout
3:09.0,,,91-82,,Offensive charge foul by J. Green (drawn by T. Zeller)
3:09.0,,,91-82,,Turnover by J. Green (offensive foul)
2:47.0,S. Dinwiddie misses 2-pt shot from 1 ft,,91-82,,
2:43.0,Offensive rebound by T. Booker,,91-82,,
2:43.0,T. Booker makes 2-pt shot at rim,2,93-82,,
2:37.0,,,93-82,,Shooting foul by T. Booker (drawn by T. Evans)
2:37.0,,,93-83,1,T. Evans makes free throw 1 of 2
2:37.0,,,93-84,1,T. Evans makes free throw 2 of 2
2:13.0,T. Zeller makes 2-pt shot at rim (assist by S. Dinwiddie),2,95-84,,
2:01.0,,,95-84,,Shooting foul by S. Dinwiddie (drawn by T. Evans)
2:01.0,,,95-85,1,T. Evans makes free throw 1 of 2
2:01.0,,,95-85,,T. Evans misses free throw 2 of 2
