time,Miami,pts.away,score,pts.home,Oklahoma City
6:50.0,,,26-33,,Defensive rebound by J. Grant
6:33.0,,,26-35,2,J. Grant makes 2-pt shot at rim (assist by R. Felton)
6:28.0,Miami full timeout,,26-35,,
6:28.0,,,26-35,,C. Brewer enters the game for R. Felton
6:28.0,,,26-35,,S. Adams enters the game for T. Ferguson
6:28.0,,,26-35,,R. Westbrook enters the game for P. Patterson
6:28.0,J. Richardson enters the game for D. Wade,,26-35,,
6:11.0,K. Olynyk misses 2-pt shot from 9 ft,,26-35,,
6:08.0,,,26-35,,Defensive rebound by R. Westbrook
5:58.0,,,26-38,3,A. Abrines makes 3-pt shot from 25 ft (assist by R. Westbrook)
5:33.0,K. Olynyk makes 3-pt shot from 22 ft (assist by W. Ellington),3,29-38,,
5:22.0,,,29-38,,S. Adams misses 2-pt shot at rim
5:19.0,Defensive rebound by J. Winslow,,29-38,,
5:14.0,J. Winslow misses 2-pt shot from 1 ft,,29-38,,
5:12.0,,,29-38,,Defensive rebound by S. Adams
5:03.0,,,29-38,,A. Abrines misses 3-pt shot from 24 ft
5:01.0,Defensive rebound by W. Ellington,,29-38,,
4:45.0,J. Richardson makes 2-pt shot from 1 ft,2,31-38,,
4:30.0,,,31-38,,J. Grant misses 3-pt shot from 22 ft
4:27.0,,,31-38,,Offensive rebound by S. Adams
4:26.0,Personal foul by K. Olynyk (drawn by S. Adams),,31-38,,
4:26.0,G. Dragic enters the game for W. Ellington,,31-38,,
4:26.0,J. Johnson enters the game for K. Olynyk,,31-38,,
4:26.0,B. Adebayo enters the game for J. Winslow,,31-38,,
4:26.0,,,31-38,,P. George enters the game for A. Abrines
4:26.0,,,31-38,,C. Anthony enters the game for J. Grant
4:26.0,K. Olynyk enters the game for B. Adebayo,,31-38,,
4:19.0,,,31-38,,R. Westbrook misses 2-pt shot from 1 ft
4:16.0,Defensive rebound by G. Dragic,,31-38,,
4:15.0,J. Richardson misses 2-pt shot from 1 ft,,31-38,,
4:15.0,,,31-38,,Defensive rebound by S. Adams
3:54.0,,,31-40,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
3:34.0,,,31-40,,Personal foul by P. George (drawn by J. Johnson)
3:24.0,K. Olynyk makes 2-pt shot from 21 ft (assist by G. Dragic),2,33-40,,
3:02.0,,,33-40,,P. George misses 2-pt shot from 14 ft
2:58.0,Defensive rebound by T. Johnson,,33-40,,
2:56.0,J. Richardson makes 2-pt shot at rim (assist by T. Johnson),2,35-40,,
2:43.0,,,35-40,,Turnover by P. George (bad pass)
2:23.0,J. Johnson misses 2-pt shot from 4 ft,,35-40,,
2:20.0,,,35-40,,Defensive rebound by R. Westbrook
2:14.0,,,35-40,,Shooting foul by K. Olynyk (drawn by S. Adams)
2:14.0,,,35-41,1,S. Adams makes free throw 1 of 2
2:14.0,J. Winslow enters the game for J. Johnson,,35-41,,
2:14.0,B. Adebayo enters the game for K. Olynyk,,35-41,,
2:14.0,,,35-42,1,S. Adams makes free throw 2 of 2
1:57.0,J. Richardson misses 3-pt shot from 25 ft,,35-42,,
1:54.0,,,35-42,,Defensive rebound by C. Brewer
1:37.0,,,35-42,,C. Anthony misses 2-pt shot from 7 ft
1:35.0,Defensive rebound by T. Johnson,,35-42,,
1:19.0,B. Adebayo misses 2-pt shot from 1 ft,,35-42,,
1:18.0,,,35-42,,Defensive rebound by S. Adams
1:18.0,Personal foul by J. Winslow (drawn by S. Adams),,35-42,,
1:18.0,W. Ellington enters the game for T. Johnson,,35-42,,
1:11.0,Personal foul by J. Richardson (drawn by P. George),,35-42,,
1:11.0,,,35-43,1,P. George makes free throw 1 of 2
1:11.0,,,35-44,1,P. George makes free throw 2 of 2
0:54.0,W. Ellington makes 3-pt shot from 24 ft,3,38-44,,
0:47.0,Violation by W. Ellington (kicked ball),,38-44,,
0:37.0,,,38-44,,S. Adams misses 2-pt shot from 9 ft
0:35.0,Defensive rebound by J. Winslow,,38-44,,
0:13.0,G. Dragic makes 2-pt shot from 1 ft (assist by B. Adebayo),2,40-44,,
0:01.0,,,40-44,,Turnover by R. Westbrook (bad pass; steal by J. Winslow)
0:00.0,J. Winslow misses 3-pt shot from 44 ft,,40-44,,
0:00.0,Offensive rebound by Team,,40-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,J. Richardson misses 3-pt shot from 23 ft,,40-44,,
11:34.0,,,40-44,,Defensive rebound by C. Anthony
11:18.0,,,40-44,,P. George misses 2-pt shot from 17 ft
11:14.0,Defensive rebound by J. Johnson,,40-44,,
11:04.0,G. Dragic makes 2-pt shot from 4 ft,2,42-44,,
10:46.0,,,42-44,,C. Anthony misses 2-pt shot from 20 ft
10:45.0,Defensive rebound by Team,,42-44,,
10:36.0,T. Johnson misses 2-pt shot from 4 ft,,42-44,,
10:33.0,,,42-44,,Defensive rebound by C. Brewer
10:27.0,,,42-44,,Shooting foul by T. Johnson (drawn by R. Westbrook)
10:27.0,,,42-45,1,R. Westbrook makes free throw 1 of 2
10:27.0,,,42-46,1,R. Westbrook makes free throw 2 of 2
10:12.0,Turnover by J. Johnson (lost ball; steal by R. Westbrook),,42-46,,
10:08.0,,,42-46,,Turnover by C. Anthony (bad pass)
9:53.0,J. Johnson misses 3-pt shot from 25 ft,,42-46,,
9:48.0,,,42-46,,Defensive rebound by C. Brewer
9:33.0,,,42-46,,S. Adams misses 2-pt shot from 8 ft
9:32.0,Defensive rebound by Team,,42-46,,
9:32.0,,,42-46,,Loose ball foul by S. Adams (drawn by J. Richardson)
9:23.0,G. Dragic misses 3-pt shot from 24 ft,,42-46,,
9:20.0,,,42-46,,Defensive rebound by C. Anthony
9:14.0,,,42-46,,Shooting foul by J. Johnson (drawn by C. Anthony)
9:14.0,,,42-47,1,C. Anthony makes free throw 1 of 2
9:14.0,,,42-48,1,C. Anthony makes free throw 2 of 2
9:09.0,Shooting foul by S. Adams (drawn by J. Johnson),,42-48,,
9:09.0,J. Johnson makes free throw 1 of 2,1,43-48,,
9:09.0,,,43-48,,Oklahoma City full timeout
9:09.0,J. Johnson makes free throw 2 of 2,1,44-48,,
8:50.0,,,44-48,,Turnover by R. Westbrook (lost ball; steal by G. Dragic)
8:45.0,T. Johnson misses 2-pt shot at rim,,44-48,,
8:42.0,,,44-48,,Defensive rebound by S. Adams
8:39.0,,,44-48,,C. Brewer misses 2-pt shot at rim
8:35.0,,,44-48,,Offensive rebound by S. Adams
8:35.0,,,44-48,,S. Adams misses 2-pt shot at rim
8:34.0,,,44-48,,Offensive rebound by S. Adams
8:34.0,,,44-50,2,S. Adams makes 2-pt shot at rim
8:17.0,Turnover by J. Johnson (lost ball; steal by P. George),,44-50,,
8:13.0,,,44-50,,C. Brewer misses 3-pt shot from 22 ft
8:09.0,Defensive rebound by T. Johnson,,44-50,,
8:01.0,G. Dragic misses 2-pt shot from 13 ft,,44-50,,
8:00.0,Offensive rebound by G. Dragic,,44-50,,
7:59.0,G. Dragic makes 2-pt shot from 3 ft,2,46-50,,
7:46.0,,,46-50,,R. Westbrook misses 2-pt shot from 12 ft
7:46.0,Defensive rebound by B. Adebayo,,46-50,,
7:39.0,,,46-50,,Personal foul by R. Westbrook (drawn by G. Dragic)
7:35.0,,,46-50,,Personal foul by P. George (drawn by J. Richardson)
7:24.0,Shooting foul by R. Westbrook (drawn by G. Dragic),,46-50,,
7:24.0,G. Dragic makes free throw 1 of 2,1,47-50,,
7:24.0,G. Dragic makes free throw 2 of 2,1,48-50,,
7:08.0,,,48-50,,C. Brewer misses 2-pt shot from 1 ft
7:06.0,Defensive rebound by T. Johnson,,48-50,,
7:03.0,G. Dragic makes 2-pt shot at rim,2,50-50,,
6:44.0,,,50-50,,P. George misses 3-pt shot from 25 ft
6:42.0,Defensive rebound by B. Adebayo,,50-50,,
6:25.0,B. Adebayo misses 2-pt shot from 5 ft,,50-50,,
6:23.0,,,50-50,,Defensive rebound by R. Westbrook
6:19.0,Shooting block foul by G. Dragic (drawn by R. Westbrook),,50-50,,
6:19.0,,,50-51,1,R. Westbrook makes free throw 1 of 2
6:19.0,,,50-52,1,R. Westbrook makes free throw 2 of 2
6:05.0,G. Dragic makes 3-pt shot from 24 ft,3,53-52,,
5:52.0,,,53-54,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
5:37.0,T. Johnson makes 3-pt shot from 22 ft (assist by G. Dragic),3,56-54,,
5:30.0,,,56-54,,Shooting foul by B. Adebayo (drawn by S. Adams)
5:30.0,,,56-54,,S. Adams misses free throw 1 of 2
5:30.0,,,56-54,,Offensive rebound by Team
5:30.0,,,56-54,,T. Ferguson enters the game for C. Brewer
5:30.0,,,56-54,,S. Adams misses free throw 2 of 2
5:28.0,Defensive rebound by B. Adebayo,,56-54,,
5:13.0,G. Dragic misses 2-pt shot from 7 ft,,56-54,,
5:09.0,,,56-54,,Defensive rebound by P. George
5:05.0,,,56-54,,R. Westbrook misses 2-pt shot from 20 ft
5:03.0,Defensive rebound by T. Johnson,,56-54,,
4:43.0,J. Richardson misses 2-pt shot from 21 ft,,56-54,,
4:41.0,,,56-54,,Defensive rebound by R. Westbrook
4:32.0,,,56-56,2,S. Adams makes 2-pt shot from 5 ft
4:30.0,Miami full timeout,,56-56,,
4:30.0,J. Winslow enters the game for J. Richardson,,56-56,,
4:30.0,K. Olynyk enters the game for B. Adebayo,,56-56,,
4:12.0,J. Winslow misses 3-pt shot from 23 ft,,56-56,,
4:09.0,,,56-56,,Defensive rebound by R. Westbrook
3:55.0,,,56-58,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
3:41.0,K. Olynyk misses 3-pt shot from 24 ft,,56-58,,
3:40.0,,,56-58,,Defensive rebound by C. Anthony
3:25.0,,,56-58,,P. George misses 3-pt shot from 25 ft
3:23.0,,,56-58,,Offensive rebound by Team
3:23.0,Loose ball foul by K. Olynyk (drawn by S. Adams),,56-58,,
3:23.0,,,56-59,1,S. Adams makes free throw 1 of 2
3:23.0,D. Wade enters the game for T. Johnson,,56-59,,
3:23.0,,,56-59,,S. Adams misses free throw 2 of 2
3:21.0,Defensive rebound by J. Johnson,,56-59,,
3:13.0,J. Johnson misses 2-pt shot at rim,,56-59,,
3:09.0,Offensive rebound by G. Dragic,,56-59,,
3:09.0,G. Dragic misses 2-pt shot at rim,,56-59,,
3:09.0,,,56-59,,Defensive rebound by S. Adams
3:06.0,,,56-61,2,R. Westbrook makes 2-pt shot at rim
2:56.0,,,56-61,,Personal foul by P. George (drawn by K. Olynyk)
2:56.0,K. Olynyk makes free throw 1 of 2,1,57-61,,
2:56.0,W. Ellington enters the game for J. Johnson,,57-61,,
2:56.0,K. Olynyk makes free throw 2 of 2,1,58-61,,
2:56.0,,,58-61,,J. Grant enters the game for S. Adams
2:43.0,,,58-61,,C. Anthony misses 3-pt shot from 24 ft
2:40.0,Defensive rebound by K. Olynyk,,58-61,,
2:35.0,D. Wade misses 2-pt shot from 16 ft,,58-61,,
2:31.0,,,58-61,,Defensive rebound by Team
2:22.0,,,58-61,,R. Westbrook misses 2-pt shot from 13 ft
2:19.0,Defensive rebound by K. Olynyk,,58-61,,
2:02.0,J. Winslow makes 2-pt shot from 1 ft (assist by K. Olynyk),2,60-61,,
2:02.0,Shooting foul by R. Westbrook (drawn by J. Winslow),,60-61,,
2:02.0,,,60-61,,P. Patterson enters the game for R. Westbrook
2:02.0,J. Winslow makes free throw 1 of 1,1,61-61,,
2:02.0,,,61-61,,R. Felton enters the game for C. Anthony
1:50.0,,,61-61,,P. George misses 2-pt shot from 1 ft (block by J. Winslow)
1:48.0,Defensive rebound by D. Wade,,61-61,,
1:45.0,W. Ellington makes 3-pt shot from 23 ft (assist by D. Wade),3,64-61,,
1:24.0,Shooting block foul by K. Olynyk (drawn by P. George),,64-61,,
1:24.0,,,64-61,,P. George misses free throw 1 of 2
1:24.0,,,64-61,,Offensive rebound by Team
1:24.0,B. Adebayo enters the game for K. Olynyk,,64-61,,
1:24.0,,,64-62,1,P. George makes free throw 2 of 2
1:07.0,Shooting foul by P. Patterson (drawn by G. Dragic),,64-62,,
1:07.0,G. Dragic makes free throw 1 of 2,1,65-62,,
1:07.0,G. Dragic makes free throw 2 of 2,1,66-62,,
0:55.0,,,66-62,,R. Felton misses 3-pt shot from 27 ft
0:52.0,Defensive rebound by W. Ellington,,66-62,,
0:39.0,G. Dragic misses 2-pt shot from 2 ft,,66-62,,
0:37.0,,,66-62,,Defensive rebound by P. George
0:24.0,,,66-62,,J. Grant misses 2-pt shot from 1 ft
0:22.0,,,66-62,,Offensive rebound by P. Patterson
0:22.0,,,66-62,,P. Patterson misses 2-pt shot from 1 ft
0:22.0,,,66-62,,Offensive rebound by P. Patterson
0:22.0,,,66-64,2,P. Patterson makes 2-pt shot from 1 ft
0:00.0,G. Dragic misses 3-pt shot from 23 ft,,66-64,,
0:00.0,Offensive rebound by Team,,66-64,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:54.0,,,66-64,,P. George misses 3-pt shot from 25 ft
11:50.0,Defensive rebound by B. Adebayo,,66-64,,
11:28.0,B. Adebayo misses 2-pt shot from 20 ft,,66-64,,
11:26.0,Offensive rebound by Team,,66-64,,
11:26.0,Turnover by Team (shot clock),,66-64,,
11:13.0,,,66-66,2,J. Grant makes 2-pt shot at rim
10:46.0,D. Wade makes 2-pt shot from 1 ft,2,68-66,,
10:32.0,,,68-66,,P. George misses 3-pt shot from 25 ft
10:30.0,Defensive rebound by B. Adebayo,,68-66,,
10:18.0,D. Wade misses 2-pt shot from 1 ft (block by J. Grant),,68-66,,
10:16.0,Offensive rebound by B. Adebayo,,68-66,,
10:16.0,,,68-66,,Personal foul by P. George (drawn by B. Adebayo)
10:16.0,,,68-66,,A. Abrines enters the game for P. George
10:06.0,W. Ellington makes 3-pt shot from 24 ft,3,71-66,,
9:51.0,,,71-69,3,R. Felton makes 3-pt shot from 24 ft
9:30.0,J. Winslow misses 3-pt shot from 22 ft,,71-69,,
9:29.0,Offensive rebound by Team,,71-69,,
9:29.0,,,71-69,,Loose ball foul by T. Ferguson (drawn by J. Richardson)
9:26.0,Turnover by J. Richardson (traveling),,71-69,,
9:13.0,,,71-71,2,R. Felton makes 2-pt shot from 4 ft
8:51.0,D. Wade misses 2-pt shot from 12 ft,,71-71,,
8:46.0,Offensive rebound by B. Adebayo,,71-71,,
8:46.0,B. Adebayo misses 2-pt shot at rim,,71-71,,
8:45.0,,,71-71,,Defensive rebound by P. Patterson
8:43.0,,,71-73,2,R. Felton makes 2-pt shot from 1 ft
8:43.0,,,71-73,,Shooting foul by D. Wade (drawn by R. Felton)
8:43.0,,,71-73,,R. Westbrook enters the game for T. Ferguson
8:43.0,K. Olynyk enters the game for B. Adebayo,,71-73,,
8:43.0,,,71-74,1,R. Felton makes free throw 1 of 1
8:43.0,Miami full timeout,,71-74,,
8:23.0,J. Richardson misses 2-pt shot from 10 ft,,71-74,,
8:20.0,,,71-74,,Defensive rebound by R. Westbrook
8:08.0,,,71-74,,R. Felton misses 2-pt shot from 20 ft
8:08.0,,,71-74,,Offensive rebound by Team
8:08.0,Loose ball foul by K. Olynyk (drawn by P. Patterson),,71-74,,
8:08.0,J. Johnson enters the game for K. Olynyk,,71-74,,
7:59.0,,,71-76,2,R. Westbrook makes 2-pt shot from 18 ft
7:36.0,J. Winslow makes 2-pt shot from 1 ft (assist by J. Richardson),2,73-76,,
7:09.0,,,73-76,,R. Felton misses 2-pt shot from 12 ft
7:09.0,Defensive rebound by Team,,73-76,,
7:09.0,,,73-76,,Loose ball foul by P. Patterson (drawn by J. Richardson)
7:09.0,,,73-76,,S. Adams enters the game for P. Patterson
6:58.0,D. Wade makes 2-pt shot at rim,2,75-76,,
6:50.0,,,75-79,3,A. Abrines makes 3-pt shot from 23 ft (assist by R. Westbrook)
6:33.0,J. Johnson misses 2-pt shot from 2 ft,,75-79,,
6:32.0,,,75-79,,Defensive rebound by R. Westbrook
6:32.0,Personal take foul by J. Winslow (drawn by R. Westbrook),,75-79,,
6:32.0,,,75-79,,C. Brewer enters the game for R. Felton
6:32.0,G. Dragic enters the game for D. Wade,,75-79,,
6:22.0,,,75-79,,J. Grant misses 3-pt shot from 23 ft
6:18.0,Defensive rebound by J. Johnson,,75-79,,
6:08.0,W. Ellington makes 3-pt shot from 24 ft (assist by J. Johnson),3,78-79,,
5:51.0,,,78-82,3,C. Brewer makes 3-pt shot from 22 ft (assist by S. Adams)
5:24.0,J. Winslow makes 2-pt shot from 1 ft (assist by G. Dragic),2,80-82,,
5:10.0,,,80-85,3,R. Westbrook makes 3-pt shot from 25 ft
4:55.0,Shooting foul by A. Abrines (drawn by J. Winslow),,80-85,,
4:55.0,J. Winslow makes free throw 1 of 2,1,81-85,,
4:55.0,,,81-85,,P. George enters the game for A. Abrines
4:55.0,,,81-85,,C. Anthony enters the game for J. Grant
4:55.0,J. Winslow misses free throw 2 of 2,,81-85,,
4:53.0,,,81-85,,Defensive rebound by C. Anthony
4:44.0,,,81-87,2,R. Westbrook makes 2-pt shot from 21 ft
4:27.0,J. Johnson makes 2-pt shot at rim (assist by G. Dragic),2,83-87,,
4:27.0,Shooting foul by R. Westbrook (drawn by J. Johnson),,83-87,,
4:27.0,J. Johnson makes free throw 1 of 1,1,84-87,,
4:13.0,,,84-89,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
4:13.0,,,84-89,,Shooting foul by J. Winslow (drawn by S. Adams)
4:13.0,,,84-89,,S. Adams misses free throw 1 of 1
4:13.0,,,84-89,,Offensive rebound by P. George
4:08.0,,,84-91,2,R. Westbrook makes 2-pt shot from 1 ft (assist by P. George)
