time,Detroit,pts.away,score,pts.home,LA Clippers
3:51.0,,,20-15,,A. Rivers misses 2-pt shot from 1 ft
3:49.0,Defensive rebound by J. Leuer,,20-15,,
3:45.0,T. Harris makes 2-pt shot from 6 ft,2,22-15,,
3:25.0,,,22-15,,B. Griffin misses 2-pt shot from 1 ft
3:16.0,,,22-15,,Offensive rebound by D. Jordan
3:16.0,,,22-15,,D. Jordan misses 2-pt shot at rim
3:15.0,,,22-15,,Offensive rebound by A. Rivers
3:15.0,,,22-18,3,A. Rivers makes 3-pt shot from 25 ft (assist by D. Gallinari)
3:01.0,A. Bradley misses 3-pt shot from 25 ft,,22-18,,
2:58.0,,,22-18,,Defensive rebound by B. Griffin
2:58.0,Personal foul by T. Harris (drawn by D. Jordan),,22-18,,
2:58.0,Detroit full timeout,,22-18,,
2:58.0,,,22-18,,S. Thornwell enters the game for D. Gallinari
2:58.0,,,22-18,,W. Johnson enters the game for B. Griffin
2:58.0,I. Smith enters the game for R. Jackson,,22-18,,
2:58.0,H. Ellenson enters the game for S. Johnson,,22-18,,
2:58.0,R. Bullock enters the game for T. Harris,,22-18,,
2:58.0,,,22-18,,D. Jordan misses free throw 1 of 2
2:58.0,,,22-18,,Offensive rebound by Team
2:58.0,,,22-19,1,D. Jordan makes free throw 2 of 2
2:49.0,A. Bradley misses 2-pt shot from 9 ft (block by S. Thornwell),,22-19,,
2:46.0,,,22-19,,Defensive rebound by L. Williams
2:37.0,,,22-19,,W. Johnson misses 3-pt shot from 24 ft
2:32.0,Defensive rebound by H. Ellenson,,22-19,,
2:25.0,J. Leuer misses 2-pt shot from 16 ft,,22-19,,
2:21.0,,,22-19,,Defensive rebound by W. Johnson
2:14.0,,,22-21,2,L. Williams makes 2-pt shot from 2 ft
2:05.0,Offensive foul by H. Ellenson (drawn by S. Thornwell),,22-21,,
2:05.0,Turnover by H. Ellenson (offensive foul),,22-21,,
1:49.0,,,22-21,,W. Johnson misses 2-pt shot from 9 ft
1:44.0,Defensive rebound by H. Ellenson,,22-21,,
1:40.0,H. Ellenson misses 3-pt shot from 25 ft,,22-21,,
1:36.0,,,22-21,,Defensive rebound by L. Williams
1:32.0,,,22-23,2,D. Jordan makes 2-pt shot from 1 ft (assist by L. Williams)
1:19.0,H. Ellenson misses 2-pt shot from 17 ft,,22-23,,
1:15.0,,,22-23,,Defensive rebound by D. Jordan
0:59.0,Personal foul by H. Ellenson (drawn by S. Thornwell),,22-23,,
0:59.0,,,22-23,,S. Thornwell misses free throw 1 of 2
0:59.0,,,22-23,,Offensive rebound by Team
0:59.0,,,22-23,,S. Dekker enters the game for D. Jordan
0:59.0,,,22-23,,W. Reed enters the game for A. Rivers
0:59.0,,,22-24,1,S. Thornwell makes free throw 2 of 2
0:45.0,Shooting foul by S. Thornwell (drawn by A. Bradley),,22-24,,
0:45.0,A. Bradley misses free throw 1 of 2,,22-24,,
0:45.0,Offensive rebound by Team,,22-24,,
0:45.0,A. Bradley makes free throw 2 of 2,1,23-24,,
0:40.0,,,23-24,,Turnover by L. Williams (bad pass)
0:31.0,A. Bradley makes 2-pt shot from 2 ft (assist by J. Leuer),2,25-24,,
0:19.0,,,25-24,,L. Williams misses 2-pt shot from 2 ft
0:16.0,Defensive rebound by J. Leuer,,25-24,,
0:01.0,I. Smith makes 2-pt shot from 18 ft,2,27-24,,
0:00.0,,,27-24,,S. Dekker misses 3-pt shot from 51 ft
0:00.0,,,27-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,L. Galloway misses 3-pt shot from 25 ft,,27-24,,
11:37.0,,,27-24,,Defensive rebound by W. Johnson
11:30.0,,,27-26,2,W. Reed makes 2-pt shot from 2 ft (assist by P. Beverley)
11:17.0,I. Smith makes 2-pt shot from 1 ft,2,29-26,,
11:07.0,Shooting block foul by J. Leuer (drawn by L. Williams),,29-26,,
11:07.0,,,29-27,1,L. Williams makes free throw 2 of 2
11:07.0,,,29-28,1,L. Williams makes free throw 1 of 2
10:49.0,I. Smith makes 2-pt shot from 15 ft,2,31-28,,
10:42.0,,,31-28,,Turnover by W. Reed (lost ball; steal by H. Ellenson)
10:36.0,R. Bullock misses 2-pt shot from 1 ft (block by W. Reed),,31-28,,
10:31.0,Offensive rebound by J. Leuer,,31-28,,
10:30.0,J. Leuer misses 2-pt shot from 1 ft,,31-28,,
10:30.0,,,31-28,,Defensive rebound by W. Johnson
10:23.0,,,31-31,3,L. Williams makes 3-pt shot from 24 ft (assist by W. Johnson)
10:16.0,H. Ellenson misses 2-pt shot from 9 ft,,31-31,,
10:13.0,Offensive rebound by H. Ellenson,,31-31,,
10:13.0,H. Ellenson misses 2-pt shot at rim,,31-31,,
10:13.0,,,31-31,,Defensive rebound by Team
10:13.0,,,31-31,,B. Griffin enters the game for S. Dekker
9:58.0,,,31-33,2,W. Reed makes 2-pt shot from 6 ft (assist by L. Williams)
9:54.0,Detroit full timeout,,31-33,,
9:42.0,Shooting foul by W. Reed (drawn by J. Leuer),,31-33,,
9:42.0,J. Leuer makes free throw 1 of 2,1,32-33,,
9:42.0,J. Leuer makes free throw 2 of 2,1,33-33,,
9:26.0,,,33-33,,L. Williams misses 3-pt shot from 22 ft
9:20.0,Defensive rebound by R. Bullock,,33-33,,
9:14.0,R. Bullock misses 3-pt shot from 25 ft,,33-33,,
9:11.0,,,33-33,,Defensive rebound by W. Johnson
9:02.0,,,33-35,2,B. Griffin makes 2-pt shot at rim
8:50.0,,,33-35,,Shooting block foul by W. Reed (drawn by R. Bullock)
8:50.0,R. Bullock makes free throw 1 of 2,1,34-35,,
8:50.0,T. Harris enters the game for H. Ellenson,,34-35,,
8:50.0,A. Drummond enters the game for J. Leuer,,34-35,,
8:50.0,R. Bullock misses free throw 2 of 2,,34-35,,
8:42.0,,,34-35,,Defensive rebound by W. Reed
8:36.0,Def 3 sec tech foul by A. Drummond,,34-35,,
8:36.0,,,34-36,1,L. Williams makes technical free throw
8:28.0,Personal foul by T. Harris (drawn by B. Griffin),,34-36,,
8:28.0,J. Leuer enters the game for T. Harris,,34-36,,
8:22.0,,,34-36,,Shooting foul by J. Leuer (drawn by B. Griffin)
8:22.0,,,34-37,1,B. Griffin makes free throw 1 of 2
8:22.0,S. Johnson enters the game for R. Bullock,,34-37,,
8:22.0,,,34-37,,B. Griffin misses free throw 2 of 2
8:17.0,Defensive rebound by A. Drummond,,34-37,,
8:04.0,Shooting foul by W. Johnson (drawn by S. Johnson),,34-37,,
8:04.0,S. Johnson misses free throw 1 of 2,,34-37,,
8:04.0,Offensive rebound by Team,,34-37,,
8:04.0,S. Johnson makes free throw 2 of 2,1,35-37,,
7:53.0,,,35-40,3,B. Griffin makes 3-pt shot from 25 ft (assist by P. Beverley)
7:35.0,Offensive charge foul by J. Leuer (drawn by W. Reed),,35-40,,
7:35.0,Turnover by J. Leuer (offensive foul),,35-40,,
7:35.0,,,35-40,,D. Gallinari enters the game for W. Johnson
7:35.0,H. Ellenson enters the game for J. Leuer,,35-40,,
7:24.0,,,35-40,,L. Williams misses 3-pt shot from 22 ft
7:19.0,Defensive rebound by L. Galloway,,35-40,,
7:16.0,L. Galloway makes 2-pt shot from 19 ft,2,37-40,,
6:51.0,,,37-40,,Turnover by W. Reed (traveling)
6:51.0,,,37-40,,A. Rivers enters the game for L. Williams
6:51.0,,,37-40,,D. Jordan enters the game for W. Reed
6:40.0,S. Johnson misses 3-pt shot from 24 ft,,37-40,,
6:36.0,,,37-40,,Defensive rebound by B. Griffin
6:28.0,,,37-40,,B. Griffin misses 2-pt shot from 5 ft (block by A. Drummond)
6:24.0,,,37-40,,Offensive rebound by B. Griffin
6:22.0,,,37-42,2,B. Griffin makes 2-pt shot at rim
6:10.0,H. Ellenson misses 3-pt shot from 24 ft,,37-42,,
6:06.0,,,37-42,,Defensive rebound by D. Jordan
6:02.0,,,37-42,,D. Gallinari misses 3-pt shot from 24 ft
5:58.0,Defensive rebound by I. Smith,,37-42,,
5:55.0,L. Galloway misses 3-pt shot from 25 ft,,37-42,,
5:50.0,,,37-42,,Defensive rebound by B. Griffin
5:42.0,Personal foul by H. Ellenson (drawn by B. Griffin),,37-42,,
5:42.0,,,37-43,1,B. Griffin makes free throw 2 of 2
5:42.0,,,37-44,1,B. Griffin makes free throw 1 of 2
5:42.0,A. Tolliver enters the game for H. Ellenson,,37-44,,
5:42.0,R. Jackson enters the game for I. Smith,,37-44,,
5:31.0,R. Jackson misses 3-pt shot from 26 ft,,37-44,,
5:25.0,Offensive rebound by R. Jackson,,37-44,,
5:10.0,R. Jackson misses 2-pt shot from 9 ft,,37-44,,
5:05.0,,,37-44,,Defensive rebound by D. Gallinari
4:51.0,,,37-44,,B. Griffin misses 2-pt shot from 6 ft
4:51.0,,,37-44,,Offensive rebound by Team
4:51.0,Loose ball foul by A. Tolliver (drawn by B. Griffin),,37-44,,
4:51.0,,,37-44,,B. Griffin misses free throw 1 of 2
4:51.0,,,37-44,,Offensive rebound by Team
4:51.0,A. Bradley enters the game for L. Galloway,,37-44,,
4:51.0,,,37-45,1,B. Griffin makes free throw 2 of 2
4:40.0,A. Bradley makes 2-pt shot from 15 ft (assist by R. Jackson),2,39-45,,
4:15.0,,,39-45,,P. Beverley misses 3-pt shot from 25 ft
4:12.0,Defensive rebound by A. Bradley,,39-45,,
4:09.0,A. Bradley makes 2-pt shot from 14 ft,2,41-45,,
3:42.0,,,41-45,,Turnover by P. Beverley (bad pass; steal by S. Johnson)
3:31.0,Turnover by A. Drummond (lost ball; steal by P. Beverley),,41-45,,
3:19.0,,,41-47,2,D. Jordan makes 2-pt shot from 2 ft (assist by P. Beverley)
3:19.0,,,41-47,,Shooting foul by A. Bradley (drawn by D. Jordan)
3:19.0,,,41-47,,D. Jordan misses free throw 1 of 1
3:14.0,Defensive rebound by A. Drummond,,41-47,,
3:03.0,A. Bradley misses 2-pt shot from 17 ft,,41-47,,
2:57.0,,,41-47,,Defensive rebound by D. Jordan
2:48.0,,,41-47,,B. Griffin misses 2-pt shot from 1 ft (block by A. Tolliver)
2:44.0,Defensive rebound by A. Drummond,,41-47,,
2:39.0,R. Jackson misses 2-pt shot from 10 ft,,41-47,,
2:39.0,Offensive rebound by Team,,41-47,,
2:39.0,,,41-47,,Loose ball foul by B. Griffin (drawn by A. Drummond)
2:39.0,,,41-47,,LA Clippers full timeout
2:36.0,,,41-47,,Personal foul by A. Rivers (drawn by A. Bradley)
2:36.0,A. Bradley makes free throw 1 of 2,1,42-47,,
2:36.0,A. Bradley makes free throw 2 of 2,1,43-47,,
2:13.0,,,43-47,,Turnover by D. Gallinari (bad pass; steal by A. Bradley)
2:06.0,Turnover by A. Bradley (bad pass; steal by A. Rivers),,43-47,,
1:56.0,,,43-47,,B. Griffin misses 2-pt shot from 1 ft
1:54.0,Defensive rebound by A. Drummond,,43-47,,
1:47.0,A. Tolliver misses 3-pt shot from 26 ft,,43-47,,
1:42.0,,,43-47,,Defensive rebound by A. Rivers
1:36.0,,,43-47,,Turnover by A. Rivers (lost ball; steal by A. Bradley)
1:34.0,A. Bradley misses 2-pt shot at rim,,43-47,,
1:29.0,Offensive rebound by A. Bradley,,43-47,,
1:28.0,A. Bradley misses 2-pt shot at rim (block by P. Beverley),,43-47,,
1:28.0,Offensive rebound by R. Jackson,,43-47,,
1:18.0,R. Jackson makes 2-pt shot from 12 ft,2,45-47,,
1:03.0,,,45-47,,Shooting foul by R. Jackson (drawn by A. Rivers)
1:03.0,,,45-48,1,A. Rivers makes free throw 1 of 2
1:03.0,E. Moreland enters the game for A. Drummond,,45-48,,
1:03.0,,,45-49,1,A. Rivers makes free throw 2 of 2
0:49.0,A. Bradley misses 2-pt shot from 7 ft,,45-49,,
0:45.0,Offensive rebound by A. Tolliver,,45-49,,
0:45.0,A. Tolliver misses 2-pt shot at rim,,45-49,,
0:43.0,,,45-49,,Defensive rebound by B. Griffin
0:39.0,,,45-52,3,A. Rivers makes 3-pt shot from 23 ft (assist by D. Gallinari)
0:32.0,Turnover by R. Jackson (lost ball; steal by A. Rivers),,45-52,,
0:24.0,,,45-55,3,A. Rivers makes 3-pt shot from 23 ft
0:00.0,A. Tolliver misses 3-pt shot from 25 ft,,45-55,,
0:00.0,Offensive rebound by Team,,45-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,A. Drummond makes 2-pt shot from 5 ft,2,47-55,,
11:12.0,,,47-55,,Turnover by Team (shot clock)
11:10.0,,,47-55,,B. Griffin misses 3-pt shot from 22 ft
11:10.0,,,47-55,,Offensive rebound by Team
10:59.0,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson),2,49-55,,
10:36.0,,,49-55,,Turnover by P. Beverley (bad pass; steal by A. Bradley)
10:28.0,A. Bradley misses 2-pt shot from 14 ft,,49-55,,
10:22.0,,,49-55,,Defensive rebound by D. Gallinari
10:07.0,,,49-55,,A. Rivers misses 2-pt shot from 11 ft
10:03.0,Defensive rebound by A. Drummond,,49-55,,
9:49.0,T. Harris makes 3-pt shot from 25 ft,3,52-55,,
9:47.0,,,52-55,,LA Clippers full timeout
9:27.0,,,52-58,3,B. Griffin makes 3-pt shot from 24 ft (assist by P. Beverley)
9:06.0,T. Harris makes 3-pt shot from 25 ft (assist by A. Tolliver),3,55-58,,
8:54.0,Personal foul by T. Harris (drawn by D. Gallinari),,55-58,,
8:50.0,,,55-58,,Offensive foul by D. Jordan (drawn by R. Jackson)
8:50.0,,,55-58,,Turnover by D. Jordan (offensive foul)
8:28.0,A. Drummond makes 2-pt shot from 9 ft,2,57-58,,
8:17.0,,,57-58,,Turnover by B. Griffin (bad pass)
7:53.0,T. Harris misses 2-pt shot at rim,,57-58,,
7:47.0,Offensive rebound by A. Drummond,,57-58,,
7:47.0,A. Drummond misses 2-pt shot at rim,,57-58,,
7:46.0,,,57-58,,Defensive rebound by B. Griffin
7:43.0,,,57-58,,D. Gallinari misses 3-pt shot from 22 ft
7:40.0,Defensive rebound by A. Drummond,,57-58,,
7:36.0,R. Jackson misses 3-pt shot from 25 ft,,57-58,,
7:32.0,Offensive rebound by A. Drummond,,57-58,,
7:26.0,Turnover by A. Bradley (offensive goaltending),,57-58,,
7:15.0,,,57-61,3,P. Beverley makes 3-pt shot from 25 ft (assist by B. Griffin)
6:56.0,A. Tolliver misses 3-pt shot from 25 ft,,57-61,,
6:53.0,,,57-61,,Defensive rebound by D. Gallinari
6:37.0,,,57-64,3,A. Rivers makes 3-pt shot from 23 ft (assist by P. Beverley)
6:27.0,Detroit full timeout,,57-64,,
6:27.0,I. Smith enters the game for R. Jackson,,57-64,,
6:08.0,I. Smith misses 3-pt shot from 25 ft,,57-64,,
6:04.0,,,57-64,,Defensive rebound by D. Gallinari
5:55.0,,,57-67,3,D. Gallinari makes 3-pt shot from 26 ft (assist by P. Beverley)
5:40.0,A. Tolliver misses 3-pt shot from 24 ft,,57-67,,
5:37.0,,,57-67,,Defensive rebound by P. Beverley
5:29.0,,,57-67,,D. Gallinari misses 3-pt shot from 24 ft
5:24.0,,,57-67,,Offensive rebound by A. Rivers
5:12.0,,,57-67,,D. Gallinari misses 2-pt shot from 1 ft (block by A. Drummond)
5:09.0,Defensive rebound by A. Drummond,,57-67,,
5:07.0,T. Harris misses 3-pt shot from 27 ft,,57-67,,
5:05.0,,,57-67,,Defensive rebound by Team
5:05.0,Loose ball foul by A. Tolliver (drawn by D. Jordan),,57-67,,
4:54.0,,,57-70,3,D. Gallinari makes 3-pt shot from 24 ft (assist by P. Beverley)
4:28.0,A. Drummond misses 2-pt shot at rim,,57-70,,
4:28.0,Offensive rebound by A. Drummond,,57-70,,
4:27.0,A. Drummond misses 2-pt shot at rim,,57-70,,
4:27.0,Offensive rebound by A. Drummond,,57-70,,
4:27.0,,,57-70,,L. Williams enters the game for P. Beverley
4:21.0,A. Bradley misses 2-pt shot from 16 ft,,57-70,,
4:21.0,,,57-70,,Defensive rebound by D. Gallinari
4:14.0,,,57-70,,Turnover by D. Gallinari (bad pass)
4:04.0,Shooting foul by D. Jordan (drawn by A. Drummond),,57-70,,
4:04.0,A. Drummond makes free throw 1 of 2,1,58-70,,
4:04.0,A. Drummond misses free throw 2 of 2,,58-70,,
4:01.0,,,58-70,,Defensive rebound by A. Rivers
3:56.0,Personal foul by A. Tolliver (drawn by B. Griffin),,58-70,,
3:48.0,,,58-70,,D. Gallinari misses 3-pt shot from 24 ft
3:43.0,Defensive rebound by A. Drummond,,58-70,,
3:39.0,I. Smith misses 2-pt shot from 2 ft (block by D. Jordan),,58-70,,
3:39.0,Offensive rebound by T. Harris,,58-70,,
3:36.0,T. Harris makes 2-pt shot at rim,2,60-70,,
3:17.0,,,60-70,,B. Griffin misses 3-pt shot from 25 ft
3:12.0,Defensive rebound by I. Smith,,60-70,,
3:10.0,A. Drummond makes 2-pt shot at rim (assist by I. Smith),2,62-70,,
2:50.0,,,62-70,,A. Rivers misses 2-pt shot from 10 ft
2:46.0,,,62-70,,Offensive rebound by D. Jordan
2:40.0,,,62-70,,Turnover by L. Williams (bad pass; steal by A. Drummond)
2:37.0,Shooting foul by D. Gallinari (drawn by T. Harris),,62-70,,
2:37.0,T. Harris makes free throw 1 of 2,1,63-70,,
2:37.0,,,63-70,,S. Thornwell enters the game for D. Gallinari
2:37.0,,,63-70,,W. Johnson enters the game for A. Rivers
2:37.0,L. Galloway enters the game for A. Bradley,,63-70,,
2:37.0,T. Harris makes free throw 2 of 2,1,64-70,,
2:14.0,,,64-72,2,B. Griffin makes 2-pt shot from 1 ft
2:04.0,Shooting foul by W. Johnson (drawn by A. Tolliver),,64-72,,
2:04.0,A. Tolliver misses free throw 1 of 3,,64-72,,
2:04.0,Offensive rebound by Team,,64-72,,
2:04.0,A. Tolliver makes free throw 2 of 3,1,65-72,,
2:04.0,,,65-72,,W. Reed enters the game for D. Jordan
2:04.0,J. Leuer enters the game for A. Drummond,,65-72,,
2:04.0,A. Tolliver misses free throw 3 of 3,,65-72,,
2:00.0,,,65-72,,Defensive rebound by B. Griffin
1:53.0,,,65-72,,W. Johnson misses 3-pt shot from 25 ft
1:50.0,Defensive rebound by Team,,65-72,,
1:50.0,S. Johnson enters the game for T. Harris,,65-72,,
1:37.0,J. Leuer misses 2-pt shot from 17 ft,,65-72,,
1:35.0,,,65-72,,Defensive rebound by W. Reed
1:23.0,,,65-72,,L. Williams misses 2-pt shot from 7 ft
1:21.0,,,65-72,,Offensive rebound by B. Griffin
1:21.0,,,65-72,,B. Griffin misses 2-pt shot at rim
1:21.0,Defensive rebound by A. Tolliver,,65-72,,
1:16.0,Jump ball: B. Griffin vs. A. Tolliver (J. Leuer gains possession),,,,Jump ball: B. Griffin vs. A. Tolliver (J. Leuer gains possession)
1:03.0,,,65-72,,Personal foul by B. Griffin (drawn by A. Tolliver)
1:03.0,,,65-72,,D. Gallinari enters the game for B. Griffin
0:50.0,I. Smith makes 2-pt shot from 19 ft,2,67-72,,
0:45.0,,,67-72,,L. Williams misses 2-pt shot from 2 ft (block by J. Leuer)
0:45.0,Defensive rebound by Team,,67-72,,
0:45.0,H. Ellenson enters the game for A. Tolliver,,67-72,,
0:27.0,Turnover by H. Ellenson (turnover),,67-72,,
0:06.0,,,67-72,,D. Gallinari misses 2-pt shot from 13 ft
0:03.0,Defensive rebound by H. Ellenson,,67-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,67-72,,W. Johnson misses 2-pt shot from 18 ft
11:41.0,,,67-72,,Offensive rebound by S. Thornwell
11:33.0,,,67-72,,L. Williams misses 3-pt shot from 26 ft
11:30.0,Defensive rebound by H. Ellenson,,67-72,,
11:27.0,L. Galloway makes 3-pt shot from 23 ft (assist by R. Jackson),3,70-72,,
11:04.0,,,70-72,,W. Reed misses 2-pt shot from 9 ft
11:01.0,,,70-72,,Offensive rebound by W. Johnson
10:58.0,,,70-74,2,W. Johnson makes 2-pt shot from 6 ft
10:44.0,L. Galloway misses 3-pt shot from 25 ft,,70-74,,
10:41.0,,,70-74,,Defensive rebound by W. Johnson
10:29.0,,,70-74,,W. Johnson misses 2-pt shot from 1 ft
10:26.0,Defensive rebound by J. Leuer,,70-74,,
10:20.0,R. Jackson makes 2-pt shot from 15 ft,2,72-74,,
10:00.0,,,72-74,,W. Johnson misses 3-pt shot from 23 ft
9:57.0,,,72-74,,Offensive rebound by S. Thornwell
9:55.0,,,72-76,2,S. Thornwell makes 2-pt shot at rim
9:38.0,J. Leuer misses 2-pt shot from 16 ft,,72-76,,
9:34.0,,,72-76,,Defensive rebound by W. Johnson
9:31.0,,,72-76,,Offensive charge foul by W. Reed (drawn by L. Galloway)
9:31.0,,,72-76,,Turnover by W. Reed (offensive foul)
9:31.0,,,72-76,,P. Beverley enters the game for W. Johnson
9:17.0,L. Galloway makes 2-pt shot from 17 ft,2,74-76,,
8:58.0,,,74-76,,S. Thornwell misses 3-pt shot from 24 ft
8:55.0,Defensive rebound by S. Johnson,,74-76,,
8:51.0,S. Johnson misses 2-pt shot from 2 ft,,74-76,,
8:47.0,,,74-76,,Defensive rebound by S. Thornwell
8:44.0,,,74-76,,S. Thornwell misses 2-pt shot from 1 ft
8:41.0,Defensive rebound by J. Leuer,,74-76,,
8:39.0,S. Johnson makes 3-pt shot from 23 ft (assist by R. Jackson),3,77-76,,
8:37.0,,,77-76,,LA Clippers full timeout
8:37.0,,,77-76,,D. Jordan enters the game for S. Thornwell
8:37.0,,,77-76,,B. Griffin enters the game for W. Reed
8:37.0,A. Drummond enters the game for H. Ellenson,,77-76,,
8:37.0,A. Tolliver enters the game for J. Leuer,,77-76,,
8:17.0,,,77-76,,D. Gallinari misses 2-pt shot from 16 ft
8:13.0,,,77-76,,Offensive rebound by D. Jordan
8:08.0,,,77-76,,B. Griffin misses 3-pt shot from 26 ft
8:05.0,Defensive rebound by R. Jackson,,77-76,,
7:59.0,L. Galloway makes 3-pt shot from 25 ft (assist by A. Tolliver),3,80-76,,
7:43.0,,,80-78,2,L. Williams makes 2-pt shot from 19 ft
7:20.0,L. Galloway makes 3-pt shot from 24 ft (assist by R. Jackson),3,83-78,,
6:58.0,,,83-81,3,P. Beverley makes 3-pt shot from 24 ft (assist by L. Williams)
6:45.0,Offensive foul by R. Jackson (drawn by P. Beverley),,83-81,,
6:45.0,Turnover by R. Jackson (offensive foul),,83-81,,
6:45.0,,,83-81,,A. Rivers enters the game for L. Williams
6:25.0,,,83-81,,A. Rivers misses 3-pt shot from 22 ft
6:21.0,Defensive rebound by A. Tolliver,,83-81,,
6:14.0,R. Jackson misses 2-pt shot from 18 ft,,83-81,,
6:10.0,,,83-81,,Defensive rebound by D. Jordan
6:06.0,,,83-81,,D. Gallinari misses 3-pt shot from 26 ft
6:02.0,Defensive rebound by A. Drummond,,83-81,,
5:55.0,A. Tolliver makes 2-pt shot at rim (assist by R. Jackson),2,85-81,,
5:31.0,,,85-81,,Turnover by D. Gallinari (bad pass; steal by R. Jackson)
5:25.0,L. Galloway misses 3-pt shot from 26 ft,,85-81,,
5:22.0,Offensive rebound by A. Tolliver,,85-81,,
