time,Detroit,pts.away,score,pts.home,Philadelphia
2:06.0,,,21-28,1,T. Luwawu-Cabarrot makes free throw 2 of 2
1:45.0,L. Kennard makes 2-pt shot from 12 ft (assist by I. Smith),2,23-28,,
1:32.0,Personal foul by A. Bradley (drawn by J. Redick),,23-28,,
1:32.0,,,23-29,1,J. Embiid makes free throw 1 of 2
1:32.0,,,23-29,,N. Stauskas enters the game for T. Luwawu-Cabarrot
1:32.0,L. Galloway enters the game for A. Bradley,,23-29,,
1:32.0,A. Drummond enters the game for E. Moreland,,23-29,,
1:32.0,,,23-30,1,J. Embiid makes free throw 2 of 2
1:20.0,A. Drummond makes 2-pt shot at rim (assist by L. Kennard),2,25-30,,
1:09.0,Personal foul by L. Galloway (drawn by J. Redick),,25-30,,
1:09.0,,,25-31,1,J. Redick makes free throw 1 of 2
1:09.0,,,25-32,1,J. Redick makes free throw 2 of 2
0:56.0,Turnover by A. Tolliver (bad pass; steal by J. Embiid),,25-32,,
0:47.0,,,25-32,,J. Redick misses 3-pt shot from 24 ft
0:45.0,,,25-32,,Offensive rebound by D. Saric
0:29.0,,,25-32,,J. Embiid misses 3-pt shot from 29 ft
0:29.0,Defensive rebound by A. Drummond,,25-32,,
0:07.0,L. Galloway misses 3-pt shot from 23 ft,,25-32,,
0:07.0,,,25-32,,Defensive rebound by D. Saric
0:01.0,,,25-32,,J. Bayless misses 2-pt shot from 4 ft
0:01.0,,,25-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,L. Galloway makes 3-pt shot from 26 ft (assist by I. Smith),3,28-32,,
11:31.0,,,28-34,2,J. Embiid makes 2-pt shot from 12 ft
11:13.0,I. Smith misses 3-pt shot from 25 ft,,28-34,,
11:09.0,,,28-34,,Defensive rebound by B. Simmons
11:04.0,,,28-34,,J. Redick misses 3-pt shot from 26 ft
11:01.0,Defensive rebound by I. Smith,,28-34,,
10:56.0,Turnover by I. Smith (out of bounds lost ball),,28-34,,
10:41.0,,,28-34,,Turnover by R. Covington (bad pass; steal by A. Drummond)
10:39.0,Shooting foul by R. Covington (drawn by A. Drummond),,28-34,,
10:39.0,A. Drummond misses free throw 1 of 2,,28-34,,
10:39.0,Offensive rebound by Team,,28-34,,
10:39.0,A. Drummond makes free throw 2 of 2,1,29-34,,
10:28.0,,,29-36,2,J. Redick makes 2-pt shot from 14 ft (assist by N. Stauskas)
10:12.0,A. Drummond makes 2-pt shot from 3 ft,2,31-36,,
9:54.0,,,31-36,,J. Embiid misses 2-pt shot from 4 ft (block by A. Drummond)
9:51.0,Defensive rebound by A. Drummond,,31-36,,
9:49.0,I. Smith misses 2-pt shot from 4 ft,,31-36,,
9:49.0,,,31-36,,Defensive rebound by Team
9:49.0,Loose ball foul by A. Drummond (drawn by J. Embiid),,31-36,,
9:49.0,,,31-36,,J. Bayless enters the game for J. Redick
9:38.0,,,31-38,2,B. Simmons makes 2-pt shot from 4 ft
9:25.0,L. Galloway misses 3-pt shot from 25 ft,,31-38,,
9:22.0,,,31-38,,Defensive rebound by B. Simmons
9:19.0,,,31-38,,R. Covington misses 3-pt shot from 26 ft
9:15.0,Defensive rebound by A. Tolliver,,31-38,,
9:06.0,L. Kennard makes 2-pt shot from 3 ft (assist by A. Drummond),2,33-38,,
9:06.0,,,33-38,,Philadelphia full timeout
9:06.0,S. Johnson enters the game for L. Galloway,,33-38,,
9:06.0,T. Harris enters the game for A. Tolliver,,33-38,,
8:51.0,,,33-41,3,R. Covington makes 3-pt shot from 25 ft (assist by B. Simmons)
8:29.0,T. Harris makes 2-pt shot from 13 ft,2,35-41,,
8:02.0,,,35-43,2,J. Embiid makes 2-pt shot at rim
7:36.0,A. Drummond misses 2-pt shot from 4 ft,,35-43,,
7:35.0,Offensive rebound by Team,,35-43,,
7:35.0,,,35-43,,T. Luwawu-Cabarrot enters the game for N. Stauskas
7:35.0,,,35-43,,A. Johnson enters the game for J. Embiid
7:35.0,E. Moreland enters the game for A. Drummond,,35-43,,
7:29.0,Turnover by Team (shot clock),,35-43,,
7:23.0,,,35-43,,J. Bayless misses 2-pt shot from 17 ft (block by I. Smith)
7:14.0,,,35-43,,Offensive rebound by A. Johnson
7:13.0,,,35-46,3,R. Covington makes 3-pt shot from 25 ft (assist by A. Johnson)
6:58.0,L. Kennard misses 3-pt shot from 26 ft,,35-46,,
6:55.0,,,35-46,,Defensive rebound by R. Covington
6:47.0,,,35-46,,T. Luwawu-Cabarrot misses 3-pt shot from 23 ft
6:47.0,,,35-46,,Offensive rebound by R. Covington
6:35.0,,,35-46,,A. Johnson misses 2-pt shot from 8 ft
6:35.0,Defensive rebound by T. Harris,,35-46,,
6:29.0,I. Smith misses 2-pt shot from 3 ft,,35-46,,
6:29.0,Offensive rebound by E. Moreland,,35-46,,
6:29.0,Shooting foul by T. Luwawu-Cabarrot (drawn by E. Moreland),,35-46,,
6:29.0,,,35-46,,D. Saric enters the game for R. Covington
6:29.0,A. Bradley enters the game for L. Kennard,,35-46,,
6:29.0,E. Moreland makes free throw 1 of 2,1,36-46,,
6:29.0,E. Moreland misses free throw 2 of 2,,36-46,,
6:25.0,Offensive rebound by T. Harris,,36-46,,
6:08.0,T. Harris misses 3-pt shot from 26 ft,,36-46,,
6:08.0,,,36-46,,Defensive rebound by Team
5:53.0,,,36-48,2,D. Saric makes 2-pt shot from 2 ft (assist by A. Johnson)
5:46.0,Detroit full timeout,,36-48,,
5:46.0,,,36-48,,J. Redick enters the game for B. Simmons
5:46.0,R. Jackson enters the game for I. Smith,,36-48,,
5:29.0,Shooting foul by J. Redick (drawn by R. Jackson),,36-48,,
5:29.0,R. Jackson misses free throw 1 of 2,,36-48,,
5:29.0,Offensive rebound by Team,,36-48,,
5:29.0,L. Kennard enters the game for S. Johnson,,36-48,,
5:29.0,R. Jackson makes free throw 2 of 2,1,37-48,,
5:15.0,,,37-48,,T. Luwawu-Cabarrot misses 2-pt shot from 3 ft
5:15.0,,,37-48,,Offensive rebound by Team
5:15.0,B. Marjanovic enters the game for E. Moreland,,37-48,,
5:11.0,,,37-50,2,J. Bayless makes 2-pt shot from 2 ft (assist by J. Redick)
4:48.0,B. Marjanovic makes 2-pt shot from 7 ft,2,39-50,,
4:34.0,,,39-52,2,J. Redick makes 2-pt shot from 11 ft (assist by A. Johnson)
4:23.0,A. Bradley misses 2-pt shot from 14 ft,,39-52,,
4:20.0,,,39-52,,Defensive rebound by J. Redick
4:12.0,,,39-52,,Turnover by D. Saric (bad pass; steal by L. Kennard)
4:11.0,,,39-52,,Personal foul by J. Redick (drawn by L. Kennard)
4:11.0,,,39-52,,J. Embiid enters the game for A. Johnson
4:11.0,,,39-52,,R. Covington enters the game for T. Luwawu-Cabarrot
4:03.0,Turnover by B. Marjanovic (turnover),,39-52,,
3:57.0,,,39-52,,Offensive foul by J. Embiid (drawn by A. Bradley)
3:57.0,,,39-52,,Turnover by J. Embiid (offensive foul)
3:57.0,,,39-52,,B. Simmons enters the game for J. Bayless
3:46.0,A. Bradley misses 2-pt shot from 11 ft,,39-52,,
3:42.0,,,39-52,,Defensive rebound by B. Simmons
3:38.0,,,39-54,2,D. Saric makes 2-pt shot from 3 ft (assist by B. Simmons)
3:38.0,,,39-54,,Shooting foul by B. Marjanovic (drawn by D. Saric)
3:38.0,S. Johnson enters the game for L. Kennard,,39-54,,
3:38.0,,,39-55,1,D. Saric makes free throw 1 of 1
3:25.0,R. Jackson makes 2-pt shot from 14 ft,2,41-55,,
3:25.0,,,41-55,,Philadelphia full timeout
3:10.0,,,41-55,,J. Embiid misses 2-pt shot from 8 ft
3:06.0,Defensive rebound by R. Jackson,,41-55,,
3:00.0,B. Marjanovic makes 2-pt shot from 3 ft (assist by R. Jackson),2,43-55,,
2:48.0,,,43-55,,R. Covington misses 3-pt shot from 25 ft
2:45.0,,,43-55,,Offensive rebound by B. Simmons
2:40.0,,,43-57,2,R. Covington makes 2-pt shot from 17 ft (assist by J. Redick)
2:12.0,S. Johnson misses 2-pt shot from 11 ft,,43-57,,
2:10.0,Offensive rebound by B. Marjanovic,,43-57,,
2:10.0,,,43-57,,Personal foul by B. Simmons (drawn by B. Marjanovic)
2:10.0,B. Marjanovic makes free throw 1 of 2,1,44-57,,
2:10.0,B. Marjanovic makes free throw 2 of 2,1,45-57,,
1:52.0,A. Tolliver enters the game for A. Bradley,,45-57,,
1:52.0,L. Kennard enters the game for T. Harris,,45-57,,
1:49.0,,,45-57,,Shooting foul by B. Marjanovic (drawn by J. Embiid)
1:49.0,,,45-58,1,J. Embiid makes free throw 1 of 2
1:49.0,,,45-59,1,J. Embiid makes free throw 2 of 2
1:34.0,Turnover by R. Jackson (lost ball; steal by R. Covington),,45-59,,
1:29.0,,,45-61,2,J. Redick makes 2-pt shot from 14 ft (assist by R. Covington)
1:04.0,Turnover by B. Marjanovic (out of bounds lost ball),,45-61,,
0:55.0,,,45-61,,R. Covington misses 3-pt shot from 25 ft
0:52.0,,,45-61,,Offensive rebound by J. Embiid
0:52.0,,,45-61,,J. Embiid misses 2-pt shot from 2 ft
0:52.0,Defensive rebound by B. Marjanovic,,45-61,,
0:41.0,B. Marjanovic misses 2-pt shot from 3 ft (block by B. Simmons),,45-61,,
0:41.0,Offensive rebound by Team,,45-61,,
0:41.0,,,45-61,,A. Johnson enters the game for J. Redick
0:41.0,,,45-61,,J. Bayless enters the game for J. Embiid
0:36.0,Turnover by L. Kennard (bad pass; steal by A. Johnson),,45-61,,
0:30.0,,,45-61,,R. Covington misses 2-pt shot from 14 ft
0:27.0,Defensive rebound by Team,,45-61,,
0:27.0,,,45-61,,Loose ball foul by D. Saric (drawn by S. Johnson)
0:27.0,S. Johnson makes free throw 1 of 2,1,46-61,,
0:27.0,,,46-61,,J. Embiid enters the game for A. Johnson
0:27.0,S. Johnson makes free throw 2 of 2,1,47-61,,
0:11.0,,,47-61,,J. Bayless misses 3-pt shot from 24 ft
0:09.0,,,47-61,,Offensive rebound by Team
0:09.0,,,47-61,,J. Redick enters the game for J. Bayless
0:06.0,,,47-61,,J. Embiid misses 3-pt shot from 25 ft
0:05.0,,,47-61,,Offensive rebound by D. Saric
0:05.0,Personal foul by R. Jackson (drawn by D. Saric),,47-61,,
0:05.0,,,47-62,1,D. Saric makes free throw 1 of 2
0:05.0,,,47-62,,A. Johnson enters the game for J. Embiid
0:05.0,,,47-62,,J. Bayless enters the game for J. Redick
0:05.0,I. Smith enters the game for R. Jackson,,47-62,,
0:05.0,,,47-63,1,D. Saric makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,A. Bradley misses 3-pt shot from 26 ft,,47-63,,
11:47.0,,,47-63,,Defensive rebound by B. Simmons
11:32.0,,,47-65,2,J. Embiid makes 2-pt shot from 18 ft
11:10.0,T. Harris misses 2-pt shot from 17 ft,,47-65,,
11:08.0,,,47-65,,Defensive rebound by D. Saric
10:52.0,Personal foul by A. Bradley (drawn by J. Redick),,47-65,,
10:41.0,,,47-65,,J. Embiid misses 2-pt shot from 9 ft
10:38.0,Defensive rebound by A. Drummond,,47-65,,
10:30.0,S. Johnson makes 3-pt shot from 23 ft (assist by T. Harris),3,50-65,,
10:07.0,,,50-65,,D. Saric misses 3-pt shot from 27 ft
10:02.0,Defensive rebound by S. Johnson,,50-65,,
9:55.0,R. Jackson misses 2-pt shot from 14 ft,,50-65,,
9:53.0,,,50-65,,Defensive rebound by D. Saric
9:40.0,,,50-65,,R. Covington misses 3-pt shot from 23 ft
9:34.0,,,50-65,,Offensive rebound by B. Simmons
9:30.0,,,50-65,,Turnover by D. Saric (bad pass; steal by A. Drummond)
9:23.0,Turnover by R. Jackson (bad pass; steal by R. Covington),,50-65,,
9:15.0,,,50-65,,B. Simmons misses 2-pt shot from 7 ft
9:12.0,Defensive rebound by S. Johnson,,50-65,,
9:07.0,R. Jackson makes 3-pt shot from 23 ft (assist by S. Johnson),3,53-65,,
9:06.0,,,53-65,,Philadelphia full timeout
8:50.0,,,53-67,2,J. Embiid makes 2-pt shot from 2 ft (assist by J. Redick)
8:50.0,Violation by A. Drummond (def goaltending),,53-67,,
8:38.0,R. Jackson makes 3-pt shot from 25 ft (assist by A. Bradley),3,56-67,,
8:15.0,,,56-67,,J. Embiid misses 2-pt shot from 3 ft
8:13.0,Defensive rebound by T. Harris,,56-67,,
8:07.0,T. Harris misses 3-pt shot from 25 ft,,56-67,,
8:06.0,Offensive rebound by Team,,56-67,,
8:06.0,,,56-67,,Loose ball foul by J. Embiid (drawn by A. Drummond)
8:06.0,,,56-67,,A. Johnson enters the game for J. Embiid
8:06.0,Turnover by Team (turnover),,56-67,,
7:59.0,,,56-67,,Turnover by B. Simmons (bad pass)
7:49.0,Shooting foul by A. Johnson (drawn by R. Jackson),,56-67,,
7:49.0,R. Jackson makes free throw 1 of 2,1,57-67,,
7:49.0,R. Jackson makes free throw 2 of 2,1,58-67,,
7:35.0,,,58-67,,D. Saric misses 3-pt shot from 24 ft
7:32.0,Defensive rebound by R. Jackson,,58-67,,
7:26.0,A. Drummond misses 2-pt shot from 7 ft,,58-67,,
7:21.0,,,58-67,,Defensive rebound by R. Covington
7:12.0,,,58-67,,Turnover by B. Simmons (lost ball; steal by A. Drummond)
7:09.0,Shooting foul by B. Simmons (drawn by T. Harris),,58-67,,
7:09.0,T. Harris makes free throw 1 of 2,1,59-67,,
7:09.0,,,59-67,,J. Bayless enters the game for J. Redick
7:09.0,T. Harris makes free throw 2 of 2,1,60-67,,
6:57.0,Personal foul by A. Drummond (drawn by R. Covington),,60-67,,
6:42.0,,,60-67,,Turnover by Team (shot clock)
6:32.0,A. Bradley misses 3-pt shot from 27 ft,,60-67,,
6:28.0,,,60-67,,Defensive rebound by D. Saric
6:21.0,,,60-67,,B. Simmons misses 2-pt shot from 4 ft
6:21.0,,,60-67,,Offensive rebound by Team
6:21.0,Loose ball foul by S. Johnson (drawn by A. Johnson),,60-67,,
6:21.0,,,60-67,,T. Luwawu-Cabarrot enters the game for D. Saric
6:11.0,,,60-67,,J. Bayless misses 2-pt shot from 1 ft
6:06.0,,,60-67,,Offensive rebound by A. Johnson
6:06.0,,,60-67,,A. Johnson misses 2-pt shot at rim
6:05.0,,,60-67,,Offensive rebound by A. Johnson
6:02.0,,,60-70,3,R. Covington makes 3-pt shot from 27 ft (assist by A. Johnson)
5:50.0,Turnover by R. Jackson (out of bounds lost ball),,60-70,,
5:41.0,,,60-70,,Turnover by R. Covington (bad pass)
5:32.0,Turnover by R. Jackson (bad pass; steal by T. Luwawu-Cabarrot),,60-70,,
5:29.0,,,60-70,,Turnover by J. Bayless (traveling)
5:22.0,Shooting foul by A. Johnson (drawn by T. Harris),,60-70,,
5:22.0,T. Harris makes free throw 1 of 2,1,61-70,,
5:22.0,L. Kennard enters the game for A. Bradley,,61-70,,
5:22.0,T. Harris makes free throw 2 of 2,1,62-70,,
5:10.0,,,62-70,,A. Johnson misses 2-pt shot from 2 ft
5:06.0,Defensive rebound by A. Drummond,,62-70,,
4:49.0,R. Jackson makes 2-pt shot from 12 ft,2,64-70,,
4:35.0,,,64-73,3,R. Covington makes 3-pt shot from 25 ft (assist by A. Johnson)
4:21.0,R. Jackson makes 2-pt shot from 11 ft,2,66-73,,
4:04.0,,,66-73,,R. Covington misses 2-pt shot from 10 ft
3:58.0,,,66-73,,Offensive rebound by R. Covington
3:58.0,,,66-73,,R. Covington misses 2-pt shot at rim
3:57.0,Defensive rebound by A. Drummond,,66-73,,
3:46.0,T. Harris makes 2-pt shot from 8 ft (assist by A. Drummond),2,68-73,,
3:42.0,,,68-73,,J. Redick enters the game for B. Simmons
3:42.0,I. Smith enters the game for R. Jackson,,68-73,,
3:29.0,,,68-76,3,J. Redick makes 3-pt shot from 25 ft (assist by J. Bayless)
3:13.0,,,68-76,,Personal foul by A. Johnson (drawn by A. Drummond)
3:13.0,,,68-76,,D. Saric enters the game for A. Johnson
3:13.0,A. Drummond makes free throw 1 of 2,1,69-76,,
3:13.0,,,69-76,,J. Embiid enters the game for R. Covington
3:13.0,L. Galloway enters the game for S. Johnson,,69-76,,
3:13.0,A. Drummond makes free throw 2 of 2,1,70-76,,
2:56.0,,,70-76,,Turnover by J. Embiid (bad pass; steal by I. Smith)
2:52.0,T. Harris makes 2-pt shot from 3 ft (assist by I. Smith),2,72-76,,
2:52.0,Shooting foul by T. Luwawu-Cabarrot (drawn by T. Harris),,72-76,,
2:52.0,Detroit full timeout,,72-76,,
2:52.0,T. Harris makes free throw 1 of 1,1,73-76,,
2:33.0,,,73-78,2,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft (assist by J. Redick)
2:18.0,L. Galloway misses 3-pt shot from 25 ft,,73-78,,
2:18.0,,,73-78,,Defensive rebound by J. Embiid
2:04.0,,,73-78,,Turnover by T. Luwawu-Cabarrot (bad pass)
1:55.0,T. Harris makes 2-pt shot from 21 ft,2,75-78,,
1:42.0,,,75-78,,J. Embiid misses 3-pt shot from 25 ft
1:42.0,Defensive rebound by L. Galloway,,75-78,,
1:33.0,Shooting foul by J. Redick (drawn by A. Drummond),,75-78,,
1:33.0,A. Drummond makes free throw 1 of 2,1,76-78,,
1:33.0,,,76-78,,N. Stauskas enters the game for T. Luwawu-Cabarrot
1:33.0,A. Drummond misses free throw 2 of 2,,76-78,,
1:31.0,,,76-78,,Defensive rebound by D. Saric
1:22.0,,,76-80,2,J. Redick makes 2-pt shot from 16 ft
1:10.0,,,76-80,,Personal foul by D. Saric (drawn by T. Harris)
1:10.0,T. Harris misses free throw 1 of 2,,76-80,,
1:10.0,Offensive rebound by Team,,76-80,,
1:10.0,T. Harris makes free throw 2 of 2,1,77-80,,
0:56.0,,,77-80,,J. Embiid misses 2-pt shot from 1 ft
0:53.0,Defensive rebound by I. Smith,,77-80,,
0:49.0,L. Kennard makes 3-pt shot from 26 ft (assist by I. Smith),3,80-80,,
0:30.0,,,80-80,,Turnover by J. Embiid (lost ball; steal by T. Harris)
0:25.0,Turnover by T. Harris (bad pass; steal by N. Stauskas),,80-80,,
0:05.0,,,80-80,,J. Bayless misses 2-pt shot from 20 ft
0:02.0,Defensive rebound by A. Drummond,,80-80,,
0:01.0,A. Drummond misses 3-pt shot from 53 ft,,80-80,,
0:01.0,Offensive rebound by Team,,80-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,80-82,2,J. Embiid makes 2-pt shot at rim (assist by R. Covington)
11:29.0,L. Galloway misses 2-pt shot from 18 ft,,80-82,,
11:26.0,,,80-82,,Defensive rebound by J. Embiid
11:15.0,,,80-82,,N. Stauskas misses 2-pt shot at rim
11:15.0,Defensive rebound by A. Drummond,,80-82,,
11:05.0,L. Galloway misses 3-pt shot from 23 ft,,80-82,,
11:02.0,Offensive rebound by L. Galloway,,80-82,,
10:54.0,L. Galloway misses 3-pt shot from 25 ft,,80-82,,
10:51.0,,,80-82,,Defensive rebound by R. Covington
10:40.0,,,80-82,,Turnover by J. Embiid (lost ball; steal by A. Drummond)
10:40.0,,,80-82,,Personal foul by J. Embiid (drawn by A. Drummond)
10:40.0,,,80-82,,J. Bayless enters the game for N. Stauskas
10:40.0,L. Kennard enters the game for L. Galloway,,80-82,,
10:28.0,Shooting foul by R. Covington (drawn by L. Kennard),,80-82,,
10:28.0,L. Kennard makes free throw 1 of 2,1,81-82,,
10:28.0,,,81-82,,A. Johnson enters the game for J. Embiid
10:28.0,L. Kennard makes free throw 2 of 2,1,82-82,,
10:14.0,,,82-82,,R. Covington misses 3-pt shot from 22 ft
10:11.0,Defensive rebound by L. Kennard,,82-82,,
10:04.0,A. Drummond makes 2-pt shot from 1 ft (assist by L. Kennard),2,84-82,,
9:52.0,,,84-82,,B. Simmons misses 2-pt shot from 11 ft
9:50.0,,,84-82,,Offensive rebound by B. Simmons
9:48.0,,,84-82,,J. Bayless misses 3-pt shot from 23 ft
9:48.0,Defensive rebound by S. Johnson,,84-82,,
9:38.0,Turnover by L. Kennard (lost ball; steal by J. Redick),,84-82,,
9:35.0,,,84-82,,Shooting foul by A. Tolliver (drawn by J. Bayless)
9:35.0,,,84-83,1,J. Bayless makes free throw 1 of 2
9:35.0,,,84-84,1,J. Bayless makes free throw 2 of 2
9:19.0,L. Kennard misses 2-pt shot from 7 ft,,84-84,,
9:16.0,,,84-84,,Defensive rebound by R. Covington
9:10.0,,,84-86,2,J. Redick makes 2-pt shot from 21 ft
8:50.0,Turnover by A. Drummond (turnover),,84-86,,
8:38.0,,,84-86,,J. Redick misses 2-pt shot from 23 ft
8:36.0,Defensive rebound by A. Drummond,,84-86,,
8:25.0,L. Kennard misses 2-pt shot from 4 ft,,84-86,,
8:22.0,Offensive rebound by A. Drummond,,84-86,,
8:22.0,A. Drummond makes 2-pt shot at rim,2,86-86,,
8:14.0,,,86-86,,Turnover by B. Simmons (bad pass; steal by A. Drummond)
